# _root_ herri bazkarian bapo jan ostean , ezkio-itsaso eta legazpi pasa , eta zumarraga-urretxura iritsi ziren .
#goldHeads=2,4,4,12,4,5,8,10,8,12,10,0,14,12,14,15,
#predictedHeads=2,4,4,12,4,5,8,10,10,12,10,0,14,12,14,15,
(5,14),-1.88643 # DEPENDENCYPART_ARC
(5,15),-2.09267 # DEPENDENCYPART_ARC
(5,16),-0.646248 # DEPENDENCYPART_ARC
(6,1),-0.877473 # DEPENDENCYPART_ARC
(6,2),-0.770166 # DEPENDENCYPART_ARC
(6,3),-0.739498 # DEPENDENCYPART_ARC
(6,4),-0.131153 # DEPENDENCYPART_ARC
(6,5),0.0898382 # DEPENDENCYPART_ARC
(6,7),-0.203048 # DEPENDENCYPART_ARC
(6,8),-0.963082 # DEPENDENCYPART_ARC
(6,9),-0.633464 # DEPENDENCYPART_ARC
(6,10),-0.494488 # DEPENDENCYPART_ARC
(6,11),-0.569064 # DEPENDENCYPART_ARC
(6,12),-1.02808 # DEPENDENCYPART_ARC
(6,13),-1.13816 # DEPENDENCYPART_ARC
(6,14),-0.82171 # DEPENDENCYPART_ARC
(6,15),-0.720391 # DEPENDENCYPART_ARC
(6,16),-0.843267 # DEPENDENCYPART_ARC
(7,1),-1.64416 # DEPENDENCYPART_ARC
(7,2),-3.46467 # DEPENDENCYPART_ARC
(7,3),-1.46161 # DEPENDENCYPART_ARC
(7,4),-1.68069 # DEPENDENCYPART_ARC
(7,5),-2.40985 # DEPENDENCYPART_ARC
(7,6),-0.000576111 # DEPENDENCYPART_ARC
(7,8),0.00389915 # DEPENDENCYPART_ARC
(7,9),0.166103 # DEPENDENCYPART_ARC
(7,10),-1.06204 # DEPENDENCYPART_ARC
(7,11),-1.10286 # DEPENDENCYPART_ARC
(7,12),-1.25927 # DEPENDENCYPART_ARC
(7,13),-0.434588 # DEPENDENCYPART_ARC
(7,14),-1.63953 # DEPENDENCYPART_ARC
(7,15),-2.04375 # DEPENDENCYPART_ARC
(7,16),-1.11182 # DEPENDENCYPART_ARC
(8,1),-0.286699 # DEPENDENCYPART_ARC
(8,2),-1.03388 # DEPENDENCYPART_ARC
(8,3),-0.68297 # DEPENDENCYPART_ARC
(8,4),-0.226869 # DEPENDENCYPART_ARC
(8,5),0.658276 # DEPENDENCYPART_ARC
(8,6),-1.01459 # DEPENDENCYPART_ARC
(8,7),2.91161 # DEPENDENCYPART_ARC
(8,9),3.13363 # DEPENDENCYPART_ARC
(8,10),-0.117332 # DEPENDENCYPART_ARC
(8,11),-0.366684 # DEPENDENCYPART_ARC
(8,12),-0.198609 # DEPENDENCYPART_ARC
(8,13),0.56401 # DEPENDENCYPART_ARC
(8,14),-0.998796 # DEPENDENCYPART_ARC
(8,15),-0.734169 # DEPENDENCYPART_ARC
(8,16),-0.768625 # DEPENDENCYPART_ARC
(9,1),-2.43342 # DEPENDENCYPART_ARC
(9,2),-5.53135 # DEPENDENCYPART_ARC
(9,3),-2.23727 # DEPENDENCYPART_ARC
(9,4),-2.70833 # DEPENDENCYPART_ARC
(9,5),-5.37055 # DEPENDENCYPART_ARC
(9,6),-2.26193 # DEPENDENCYPART_ARC
(9,7),-2.17539 # DEPENDENCYPART_ARC
(9,8),-1.13381 # DEPENDENCYPART_ARC
(9,10),-1.49101 # DEPENDENCYPART_ARC
(9,11),-0.690799 # DEPENDENCYPART_ARC
(9,12),-1.51657 # DEPENDENCYPART_ARC
(9,13),-1.02268 # DEPENDENCYPART_ARC
(9,14),-3.11266 # DEPENDENCYPART_ARC
(9,15),-3.32868 # DEPENDENCYPART_ARC
(9,16),-1.33426 # DEPENDENCYPART_ARC
(10,1),0.221617 # DEPENDENCYPART_ARC
(10,2),1.11979 # DEPENDENCYPART_ARC
(10,3),0.40196 # DEPENDENCYPART_ARC
(10,4),0.130978 # DEPENDENCYPART_ARC
(10,5),0.737147 # DEPENDENCYPART_ARC
(10,6),-0.656101 # DEPENDENCYPART_ARC
(10,7),0.779227 # DEPENDENCYPART_ARC
(10,8),1.31292 # DEPENDENCYPART_ARC
(10,9),3.2059 # DEPENDENCYPART_ARC
(10,11),1.99211 # DEPENDENCYPART_ARC
(10,12),-0.0458217 # DEPENDENCYPART_ARC
(10,13),0.0609198 # DEPENDENCYPART_ARC
(10,14),-0.501768 # DEPENDENCYPART_ARC
(10,15),0.32664 # DEPENDENCYPART_ARC
(10,16),-0.288343 # DEPENDENCYPART_ARC
(11,1),-1.41977 # DEPENDENCYPART_ARC
(11,2),-1.38896 # DEPENDENCYPART_ARC
(11,3),-1.41677 # DEPENDENCYPART_ARC
(11,4),-1.16377 # DEPENDENCYPART_ARC
(11,5),-1.44427 # DEPENDENCYPART_ARC
(11,6),-1.67961 # DEPENDENCYPART_ARC
(11,7),-1.05235 # DEPENDENCYPART_ARC
(11,8),-0.482819 # DEPENDENCYPART_ARC
(11,9),-0.727837 # DEPENDENCYPART_ARC
(11,10),-0.137414 # DEPENDENCYPART_ARC
(11,12),-0.452831 # DEPENDENCYPART_ARC
(11,13),-1.2936 # DEPENDENCYPART_ARC
(11,14),-0.81493 # DEPENDENCYPART_ARC
(11,15),-0.93789 # DEPENDENCYPART_ARC
(11,16),-0.798221 # DEPENDENCYPART_ARC
(12,1),-0.697884 # DEPENDENCYPART_ARC
(12,2),-1.61059 # DEPENDENCYPART_ARC
(12,3),-0.508258 # DEPENDENCYPART_ARC
(12,4),0.28161 # DEPENDENCYPART_ARC
(12,5),-0.775197 # DEPENDENCYPART_ARC
(12,6),-1.32562 # DEPENDENCYPART_ARC
(12,7),0.453818 # DEPENDENCYPART_ARC
(12,8),-0.0262768 # DEPENDENCYPART_ARC
(12,9),0.718027 # DEPENDENCYPART_ARC
(12,10),1.82771 # DEPENDENCYPART_ARC
(12,11),-0.122087 # DEPENDENCYPART_ARC
(12,13),0.370275 # DEPENDENCYPART_ARC
(12,14),1.05249 # DEPENDENCYPART_ARC
(12,15),0.0200609 # DEPENDENCYPART_ARC
(12,16),-0.106425 # DEPENDENCYPART_ARC
(13,1),-2.84274 # DEPENDENCYPART_ARC
(13,2),-6.53867 # DEPENDENCYPART_ARC
(13,3),-2.1911 # DEPENDENCYPART_ARC
(13,4),-3.72159 # DEPENDENCYPART_ARC
(13,5),-6.15157 # DEPENDENCYPART_ARC
(13,6),-2.63863 # DEPENDENCYPART_ARC
(13,7),-3.50737 # DEPENDENCYPART_ARC
(13,8),-2.26807 # DEPENDENCYPART_ARC
(13,9),-4.95678 # DEPENDENCYPART_ARC
(13,10),-3.61712 # DEPENDENCYPART_ARC
(13,11),-1.88506 # DEPENDENCYPART_ARC
(13,12),-1.32769 # DEPENDENCYPART_ARC
(13,14),-2.06781 # DEPENDENCYPART_ARC
(13,15),-2.1142 # DEPENDENCYPART_ARC
(13,16),-0.746723 # DEPENDENCYPART_ARC
(14,1),-1.03213 # DEPENDENCYPART_ARC
(14,2),-0.386216 # DEPENDENCYPART_ARC
(14,3),-0.940166 # DEPENDENCYPART_ARC
(14,4),-0.227161 # DEPENDENCYPART_ARC
(14,5),-0.588382 # DEPENDENCYPART_ARC
(14,6),-1.532 # DEPENDENCYPART_ARC
(14,7),-1.05036 # DEPENDENCYPART_ARC
(14,8),0.292535 # DEPENDENCYPART_ARC
(14,9),0.277596 # DEPENDENCYPART_ARC
(14,10),0.636061 # DEPENDENCYPART_ARC
(14,11),-0.74209 # DEPENDENCYPART_ARC
(14,12),0.213976 # DEPENDENCYPART_ARC
(14,13),2.30142 # DEPENDENCYPART_ARC
(14,15),2.07755 # DEPENDENCYPART_ARC
(14,16),0.0224051 # DEPENDENCYPART_ARC
(15,1),-1.34252 # DEPENDENCYPART_ARC
(15,2),-1.36245 # DEPENDENCYPART_ARC
(15,3),-1.50236 # DEPENDENCYPART_ARC
(15,4),-1.92178 # DEPENDENCYPART_ARC
(15,5),-1.40175 # DEPENDENCYPART_ARC
(15,6),-1.90509 # DEPENDENCYPART_ARC
(15,7),-1.20361 # DEPENDENCYPART_ARC
(15,8),-1.5087 # DEPENDENCYPART_ARC
(15,9),-1.09506 # DEPENDENCYPART_ARC
(15,10),-1.93709 # DEPENDENCYPART_ARC
(15,11),-1.52253 # DEPENDENCYPART_ARC
(15,12),-1.20979 # DEPENDENCYPART_ARC
(15,13),-0.639164 # DEPENDENCYPART_ARC
(15,14),-0.819403 # DEPENDENCYPART_ARC
(15,16),1.71651 # DEPENDENCYPART_ARC
(16,1),-1.39306 # DEPENDENCYPART_ARC
(16,2),-1.27159 # DEPENDENCYPART_ARC
(16,3),-1.33812 # DEPENDENCYPART_ARC
(16,4),-1.62585 # DEPENDENCYPART_ARC
(16,5),-1.58365 # DEPENDENCYPART_ARC
(16,6),-1.4702 # DEPENDENCYPART_ARC
(16,7),-1.21004 # DEPENDENCYPART_ARC
(16,8),-0.830759 # DEPENDENCYPART_ARC
(16,9),-0.9263 # DEPENDENCYPART_ARC
(16,10),-1.44493 # DEPENDENCYPART_ARC
(16,11),-1.35959 # DEPENDENCYPART_ARC
(16,12),-0.598237 # DEPENDENCYPART_ARC
(16,13),-0.367107 # DEPENDENCYPART_ARC
(16,14),-0.808423 # DEPENDENCYPART_ARC
(16,15),-0.0636358 # DEPENDENCYPART_ARC
