# _root_ umeak ginen artean , eta gauzak betirako zirela uste_genuen , eta ziur nengoen gure konplizitatea ez zuela ezerk zirdinduko .
#goldHeads=2,5,2,3,0,8,8,9,5,9,0,13,5,15,19,19,19,19,13,19,
#predictedHeads=2,5,2,3,0,8,8,9,11,9,0,13,11,15,19,19,19,19,13,19,
(2,6),0.332526 # DEPENDENCYPART_ARC
(2,7),-0.520583 # DEPENDENCYPART_ARC
(2,8),-0.379939 # DEPENDENCYPART_ARC
(2,9),0.0389083 # DEPENDENCYPART_ARC
(2,10),-0.700645 # DEPENDENCYPART_ARC
(2,11),-1.00338 # DEPENDENCYPART_ARC
(2,12),-0.189599 # DEPENDENCYPART_ARC
(2,13),-0.699545 # DEPENDENCYPART_ARC
(2,14),-1.6243 # DEPENDENCYPART_ARC
(2,15),-1.11783 # DEPENDENCYPART_ARC
(2,16),-0.984481 # DEPENDENCYPART_ARC
(2,17),-0.57421 # DEPENDENCYPART_ARC
(2,18),-1.21554 # DEPENDENCYPART_ARC
(2,19),-0.448383 # DEPENDENCYPART_ARC
(2,20),-1.11799 # DEPENDENCYPART_ARC
(3,1),-0.561018 # DEPENDENCYPART_ARC
(3,2),-0.11515 # DEPENDENCYPART_ARC
(3,4),1.4305 # DEPENDENCYPART_ARC
(3,5),-0.449 # DEPENDENCYPART_ARC
(3,6),-0.833116 # DEPENDENCYPART_ARC
(3,7),-0.8419 # DEPENDENCYPART_ARC
(3,8),-0.83172 # DEPENDENCYPART_ARC
(3,9),-1.15109 # DEPENDENCYPART_ARC
(3,10),-0.43293 # DEPENDENCYPART_ARC
(3,11),-0.753676 # DEPENDENCYPART_ARC
(3,12),-1.59445 # DEPENDENCYPART_ARC
(3,13),-1.03906 # DEPENDENCYPART_ARC
(3,14),-1.41179 # DEPENDENCYPART_ARC
(3,15),-1.3324 # DEPENDENCYPART_ARC
(3,16),-1.5097 # DEPENDENCYPART_ARC
(3,17),-1.19692 # DEPENDENCYPART_ARC
(3,19),-1.54668 # DEPENDENCYPART_ARC
(3,20),-0.728542 # DEPENDENCYPART_ARC
(4,1),-1.05863 # DEPENDENCYPART_ARC
(4,2),-0.640028 # DEPENDENCYPART_ARC
(4,5),-0.738009 # DEPENDENCYPART_ARC
(4,6),-1.60687 # DEPENDENCYPART_ARC
(4,8),-1.15239 # DEPENDENCYPART_ARC
(4,9),-1.52053 # DEPENDENCYPART_ARC
(4,11),-1.74519 # DEPENDENCYPART_ARC
(4,12),-1.77204 # DEPENDENCYPART_ARC
(4,13),-1.2501 # DEPENDENCYPART_ARC
(4,15),-1.99757 # DEPENDENCYPART_ARC
(4,17),-1.90179 # DEPENDENCYPART_ARC
(4,19),-1.87383 # DEPENDENCYPART_ARC
(5,1),0.0232209 # DEPENDENCYPART_ARC
(5,2),0.8292 # DEPENDENCYPART_ARC
(5,3),-0.0937548 # DEPENDENCYPART_ARC
(5,4),-0.171595 # DEPENDENCYPART_ARC
(5,6),1.05522 # DEPENDENCYPART_ARC
(5,7),-0.524479 # DEPENDENCYPART_ARC
(5,8),1.06515 # DEPENDENCYPART_ARC
(5,9),1.38572 # DEPENDENCYPART_ARC
(5,10),-0.63257 # DEPENDENCYPART_ARC
(5,11),-0.545803 # DEPENDENCYPART_ARC
(5,12),-0.761556 # DEPENDENCYPART_ARC
(5,13),0.329005 # DEPENDENCYPART_ARC
(5,14),-1.87823 # DEPENDENCYPART_ARC
(5,15),-1.12138 # DEPENDENCYPART_ARC
(5,16),-1.17592 # DEPENDENCYPART_ARC
(5,17),-0.753864 # DEPENDENCYPART_ARC
(5,18),-1.4799 # DEPENDENCYPART_ARC
(5,19),-0.208699 # DEPENDENCYPART_ARC
(5,20),-1.03469 # DEPENDENCYPART_ARC
(6,1),-3.91944 # DEPENDENCYPART_ARC
(6,2),-2.15779 # DEPENDENCYPART_ARC
(6,3),-1.83581 # DEPENDENCYPART_ARC
(6,4),-1.784 # DEPENDENCYPART_ARC
(6,5),-0.997287 # DEPENDENCYPART_ARC
(6,7),0.0464259 # DEPENDENCYPART_ARC
(6,8),-1.85417 # DEPENDENCYPART_ARC
(6,9),-1.73857 # DEPENDENCYPART_ARC
(6,10),-1.32204 # DEPENDENCYPART_ARC
(6,11),-1.00692 # DEPENDENCYPART_ARC
(6,12),-2.37861 # DEPENDENCYPART_ARC
(6,13),-2.20271 # DEPENDENCYPART_ARC
(6,14),-2.21964 # DEPENDENCYPART_ARC
(6,15),-2.54963 # DEPENDENCYPART_ARC
(6,16),-2.74919 # DEPENDENCYPART_ARC
(6,17),-1.5242 # DEPENDENCYPART_ARC
(6,18),-2.41232 # DEPENDENCYPART_ARC
(6,19),-2.42982 # DEPENDENCYPART_ARC
(6,20),-1.7041 # DEPENDENCYPART_ARC
(7,1),-1.12832 # DEPENDENCYPART_ARC
(7,2),-1.1731 # DEPENDENCYPART_ARC
(7,3),-0.743681 # DEPENDENCYPART_ARC
(7,4),-0.737522 # DEPENDENCYPART_ARC
(7,5),-0.440497 # DEPENDENCYPART_ARC
(7,6),0.105999 # DEPENDENCYPART_ARC
(7,8),0.527074 # DEPENDENCYPART_ARC
(7,9),-0.885716 # DEPENDENCYPART_ARC
(7,10),-0.148276 # DEPENDENCYPART_ARC
(7,11),-0.579538 # DEPENDENCYPART_ARC
(7,12),-1.26937 # DEPENDENCYPART_ARC
(7,13),-0.86117 # DEPENDENCYPART_ARC
(7,14),-1.26505 # DEPENDENCYPART_ARC
(7,15),-1.0692 # DEPENDENCYPART_ARC
(7,16),-1.27642 # DEPENDENCYPART_ARC
(7,17),-1.03936 # DEPENDENCYPART_ARC
(7,19),-1.40533 # DEPENDENCYPART_ARC
(7,20),-0.757431 # DEPENDENCYPART_ARC
(8,1),0.624523 # DEPENDENCYPART_ARC
(8,2),-1.03755 # DEPENDENCYPART_ARC
(8,3),0.0076511 # DEPENDENCYPART_ARC
(8,4),-0.984377 # DEPENDENCYPART_ARC
(8,5),0.030589 # DEPENDENCYPART_ARC
(8,6),2.89019 # DEPENDENCYPART_ARC
(8,7),1.37591 # DEPENDENCYPART_ARC
(8,9),-1.00988 # DEPENDENCYPART_ARC
(8,10),-0.236405 # DEPENDENCYPART_ARC
(8,11),-0.0414444 # DEPENDENCYPART_ARC
(8,12),-0.441223 # DEPENDENCYPART_ARC
(8,13),-1.44176 # DEPENDENCYPART_ARC
(8,14),-2.284 # DEPENDENCYPART_ARC
(8,15),-0.597076 # DEPENDENCYPART_ARC
(8,16),-1.27685 # DEPENDENCYPART_ARC
(8,17),-1.17135 # DEPENDENCYPART_ARC
(8,18),-1.3495 # DEPENDENCYPART_ARC
(8,19),-1.85429 # DEPENDENCYPART_ARC
(8,20),-1.24745 # DEPENDENCYPART_ARC
(9,1),0.124501 # DEPENDENCYPART_ARC
(9,2),-0.389533 # DEPENDENCYPART_ARC
(9,3),-0.235356 # DEPENDENCYPART_ARC
(9,4),-0.892849 # DEPENDENCYPART_ARC
(9,5),-0.222427 # DEPENDENCYPART_ARC
(9,6),0.863104 # DEPENDENCYPART_ARC
(9,7),0.590347 # DEPENDENCYPART_ARC
(9,8),3.18093 # DEPENDENCYPART_ARC
(9,10),1.77282 # DEPENDENCYPART_ARC
(9,11),-0.0918166 # DEPENDENCYPART_ARC
(9,12),-0.200865 # DEPENDENCYPART_ARC
(9,13),-0.550388 # DEPENDENCYPART_ARC
(9,14),-2.90371 # DEPENDENCYPART_ARC
(9,15),-1.83707 # DEPENDENCYPART_ARC
(9,16),-1.2973 # DEPENDENCYPART_ARC
(9,17),-0.436701 # DEPENDENCYPART_ARC
(9,18),-0.996896 # DEPENDENCYPART_ARC
(9,19),0.298878 # DEPENDENCYPART_ARC
(9,20),-0.0271705 # DEPENDENCYPART_ARC
(10,1),-1.5303 # DEPENDENCYPART_ARC
(10,2),-1.08778 # DEPENDENCYPART_ARC
(10,5),-0.796749 # DEPENDENCYPART_ARC
(10,6),-1.07285 # DEPENDENCYPART_ARC
(10,8),-0.526271 # DEPENDENCYPART_ARC
(10,9),-0.0357463 # DEPENDENCYPART_ARC
(10,11),-0.329428 # DEPENDENCYPART_ARC
(10,12),-0.944295 # DEPENDENCYPART_ARC
(10,13),-0.427607 # DEPENDENCYPART_ARC
(10,15),-1.28642 # DEPENDENCYPART_ARC
(10,17),-1.37899 # DEPENDENCYPART_ARC
(10,19),-1.28246 # DEPENDENCYPART_ARC
(11,1),-1.34487 # DEPENDENCYPART_ARC
(11,2),-0.0579443 # DEPENDENCYPART_ARC
(11,3),-0.488905 # DEPENDENCYPART_ARC
(11,4),-1.27136 # DEPENDENCYPART_ARC
(11,5),-0.142961 # DEPENDENCYPART_ARC
(11,6),-0.753384 # DEPENDENCYPART_ARC
(11,7),-0.398558 # DEPENDENCYPART_ARC
(11,8),1.06211 # DEPENDENCYPART_ARC
(11,9),1.3865 # DEPENDENCYPART_ARC
(11,10),-0.0531903 # DEPENDENCYPART_ARC
(11,12),1.25144 # DEPENDENCYPART_ARC
(11,13),0.836036 # DEPENDENCYPART_ARC
(11,14),-1.45675 # DEPENDENCYPART_ARC
(11,15),-0.139542 # DEPENDENCYPART_ARC
(11,16),-0.816087 # DEPENDENCYPART_ARC
(11,17),-0.530005 # DEPENDENCYPART_ARC
(11,18),-1.13571 # DEPENDENCYPART_ARC
(11,19),0.314251 # DEPENDENCYPART_ARC
(11,20),-0.59945 # DEPENDENCYPART_ARC
(12,1),-2.0381 # DEPENDENCYPART_ARC
(12,2),-2.64539 # DEPENDENCYPART_ARC
(12,3),-1.66506 # DEPENDENCYPART_ARC
(12,4),-2.12277 # DEPENDENCYPART_ARC
(12,5),-1.94463 # DEPENDENCYPART_ARC
(12,6),-1.44931 # DEPENDENCYPART_ARC
(12,7),-1.25863 # DEPENDENCYPART_ARC
(12,8),-1.79952 # DEPENDENCYPART_ARC
(12,9),-1.96257 # DEPENDENCYPART_ARC
(12,10),-1.56842 # DEPENDENCYPART_ARC
(12,11),-0.515033 # DEPENDENCYPART_ARC
(12,13),0.51939 # DEPENDENCYPART_ARC
(12,15),-0.891305 # DEPENDENCYPART_ARC
(12,16),-0.955066 # DEPENDENCYPART_ARC
(12,17),-0.579682 # DEPENDENCYPART_ARC
(12,19),-1.21038 # DEPENDENCYPART_ARC
(12,20),-0.374343 # DEPENDENCYPART_ARC
(13,1),-0.682588 # DEPENDENCYPART_ARC
(13,2),-0.577904 # DEPENDENCYPART_ARC
(13,3),-0.142287 # DEPENDENCYPART_ARC
(13,4),-1.1248 # DEPENDENCYPART_ARC
(13,5),-0.198212 # DEPENDENCYPART_ARC
(13,6),0.139775 # DEPENDENCYPART_ARC
(13,7),-0.0412838 # DEPENDENCYPART_ARC
(13,8),0.313426 # DEPENDENCYPART_ARC
(13,9),-0.612821 # DEPENDENCYPART_ARC
(13,10),-0.364137 # DEPENDENCYPART_ARC
(13,11),0.480727 # DEPENDENCYPART_ARC
(13,12),1.98705 # DEPENDENCYPART_ARC
(13,14),0.444975 # DEPENDENCYPART_ARC
(13,15),0.750683 # DEPENDENCYPART_ARC
(13,16),-0.0532731 # DEPENDENCYPART_ARC
(13,17),-0.227651 # DEPENDENCYPART_ARC
(13,18),-0.179888 # DEPENDENCYPART_ARC
(13,19),0.651259 # DEPENDENCYPART_ARC
(13,20),-0.250133 # DEPENDENCYPART_ARC
(14,1),-3.36795 # DEPENDENCYPART_ARC
(14,3),-1.54148 # DEPENDENCYPART_ARC
(14,4),-1.49803 # DEPENDENCYPART_ARC
(14,6),-3.25512 # DEPENDENCYPART_ARC
(14,7),-1.35413 # DEPENDENCYPART_ARC
(14,10),-1.22565 # DEPENDENCYPART_ARC
(14,12),-0.887998 # DEPENDENCYPART_ARC
(14,15),-0.429559 # DEPENDENCYPART_ARC
(14,19),-1.55114 # DEPENDENCYPART_ARC
(14,20),-0.412595 # DEPENDENCYPART_ARC
(15,1),-3.17587 # DEPENDENCYPART_ARC
(15,2),-1.95556 # DEPENDENCYPART_ARC
(15,3),-1.2049 # DEPENDENCYPART_ARC
(15,4),-1.60685 # DEPENDENCYPART_ARC
(15,5),-1.58862 # DEPENDENCYPART_ARC
(15,6),-2.28439 # DEPENDENCYPART_ARC
(15,7),-1.05582 # DEPENDENCYPART_ARC
(15,8),-2.17199 # DEPENDENCYPART_ARC
(15,9),-1.46605 # DEPENDENCYPART_ARC
(15,10),-1.33282 # DEPENDENCYPART_ARC
(15,11),-1.00871 # DEPENDENCYPART_ARC
(15,12),-0.842547 # DEPENDENCYPART_ARC
(15,13),-0.267826 # DEPENDENCYPART_ARC
(15,14),2.17193 # DEPENDENCYPART_ARC
(15,16),-0.649536 # DEPENDENCYPART_ARC
(15,17),-1.30525 # DEPENDENCYPART_ARC
(15,18),-1.59027 # DEPENDENCYPART_ARC
(15,19),-1.76942 # DEPENDENCYPART_ARC
(15,20),-1.12283 # DEPENDENCYPART_ARC
(16,1),-1.75585 # DEPENDENCYPART_ARC
(16,2),-2.16804 # DEPENDENCYPART_ARC
(16,4),-1.63926 # DEPENDENCYPART_ARC
(16,5),-1.58481 # DEPENDENCYPART_ARC
(16,6),-1.90032 # DEPENDENCYPART_ARC
(16,8),-2.05553 # DEPENDENCYPART_ARC
(16,10),-1.39596 # DEPENDENCYPART_ARC
(16,11),-1.23313 # DEPENDENCYPART_ARC
(16,12),-1.66833 # DEPENDENCYPART_ARC
(16,13),-1.45911 # DEPENDENCYPART_ARC
(16,15),-0.395686 # DEPENDENCYPART_ARC
(16,19),-0.876616 # DEPENDENCYPART_ARC
(16,20),-0.363491 # DEPENDENCYPART_ARC
(17,1),-2.22825 # DEPENDENCYPART_ARC
(17,2),-1.53833 # DEPENDENCYPART_ARC
(17,3),-1.35479 # DEPENDENCYPART_ARC
(17,4),-1.72119 # DEPENDENCYPART_ARC
(17,5),-1.99577 # DEPENDENCYPART_ARC
(17,6),-1.80903 # DEPENDENCYPART_ARC
(17,7),-1.26958 # DEPENDENCYPART_ARC
(17,8),-1.2505 # DEPENDENCYPART_ARC
(17,9),-1.47085 # DEPENDENCYPART_ARC
(17,10),-1.56924 # DEPENDENCYPART_ARC
(17,11),-1.81313 # DEPENDENCYPART_ARC
(17,12),-2.19756 # DEPENDENCYPART_ARC
(17,13),-1.07626 # DEPENDENCYPART_ARC
(17,14),-0.921696 # DEPENDENCYPART_ARC
(17,15),-0.703268 # DEPENDENCYPART_ARC
(17,16),-0.42934 # DEPENDENCYPART_ARC
(17,19),-1.14053 # DEPENDENCYPART_ARC
(17,20),-0.302226 # DEPENDENCYPART_ARC
(18,1),-1.2929 # DEPENDENCYPART_ARC
(18,3),-0.91643 # DEPENDENCYPART_ARC
(18,4),-1.13301 # DEPENDENCYPART_ARC
(18,6),-1.10834 # DEPENDENCYPART_ARC
(18,7),-0.933556 # DEPENDENCYPART_ARC
(18,10),-0.920645 # DEPENDENCYPART_ARC
(18,12),-1.20879 # DEPENDENCYPART_ARC
(18,15),-0.438348 # DEPENDENCYPART_ARC
(18,16),0.301077 # DEPENDENCYPART_ARC
(18,19),-0.430432 # DEPENDENCYPART_ARC
(18,20),-0.0793741 # DEPENDENCYPART_ARC
(19,1),-0.823769 # DEPENDENCYPART_ARC
(19,2),-1.2856 # DEPENDENCYPART_ARC
(19,3),-0.929972 # DEPENDENCYPART_ARC
(19,4),-1.03918 # DEPENDENCYPART_ARC
(19,5),-0.777096 # DEPENDENCYPART_ARC
(19,6),0.0485374 # DEPENDENCYPART_ARC
(19,7),-0.686196 # DEPENDENCYPART_ARC
(19,8),-0.388403 # DEPENDENCYPART_ARC
(19,9),-1.52215 # DEPENDENCYPART_ARC
(19,10),-0.866516 # DEPENDENCYPART_ARC
(19,11),-0.521567 # DEPENDENCYPART_ARC
(19,12),-0.129738 # DEPENDENCYPART_ARC
(19,13),-1.01702 # DEPENDENCYPART_ARC
(19,14),-0.549571 # DEPENDENCYPART_ARC
(19,15),1.35817 # DEPENDENCYPART_ARC
(19,16),1.91675 # DEPENDENCYPART_ARC
(19,17),1.23447 # DEPENDENCYPART_ARC
(19,18),2.5842 # DEPENDENCYPART_ARC
(19,20),2.2768 # DEPENDENCYPART_ARC
(20,1),-1.99898 # DEPENDENCYPART_ARC
(20,4),-1.74459 # DEPENDENCYPART_ARC
(20,5),-1.29746 # DEPENDENCYPART_ARC
(20,6),-1.70137 # DEPENDENCYPART_ARC
(20,10),-1.60723 # DEPENDENCYPART_ARC
(20,11),-1.15498 # DEPENDENCYPART_ARC
(20,15),-1.24545 # DEPENDENCYPART_ARC
(20,19),-0.394315 # DEPENDENCYPART_ARC
