# _root_ gasteizek onartu egingo luke eaeko kuotetara iristen ez den diru kopuru bat , kontuan_hartuz forcem_espainiako langileen prestakuntzarako erakundeak ere eaen jarduten duela , hobetuzekin_batera .
#goldHeads=2,0,2,2,6,7,10,7,7,2,10,10,12,2,16,17,18,21,0,21,0,14,22,21,24,
#predictedHeads=2,3,0,2,6,7,10,7,7,14,10,11,12,21,16,17,18,21,0,21,2,21,22,23,24,
(1,17),-2.34591 # DEPENDENCYPART_ARC
(1,18),-1.77713 # DEPENDENCYPART_ARC
(1,19),-2.66111 # DEPENDENCYPART_ARC
(1,20),-3.47376 # DEPENDENCYPART_ARC
(1,21),-2.72109 # DEPENDENCYPART_ARC
(1,22),-4.49396 # DEPENDENCYPART_ARC
(1,23),-3.40322 # DEPENDENCYPART_ARC
(1,24),-3.08282 # DEPENDENCYPART_ARC
(1,25),-2.44804 # DEPENDENCYPART_ARC
(2,1),2.80152 # DEPENDENCYPART_ARC
(2,3),1.97624 # DEPENDENCYPART_ARC
(2,4),1.79541 # DEPENDENCYPART_ARC
(2,5),-0.185194 # DEPENDENCYPART_ARC
(2,6),0.667043 # DEPENDENCYPART_ARC
(2,7),-0.0498901 # DEPENDENCYPART_ARC
(2,8),0.343132 # DEPENDENCYPART_ARC
(2,9),0.299847 # DEPENDENCYPART_ARC
(2,10),-0.400708 # DEPENDENCYPART_ARC
(2,11),-0.368678 # DEPENDENCYPART_ARC
(2,12),-0.581862 # DEPENDENCYPART_ARC
(2,13),-0.412796 # DEPENDENCYPART_ARC
(2,14),-0.246305 # DEPENDENCYPART_ARC
(2,15),-0.781115 # DEPENDENCYPART_ARC
(2,16),-0.805461 # DEPENDENCYPART_ARC
(2,17),-0.882605 # DEPENDENCYPART_ARC
(2,18),0.0197979 # DEPENDENCYPART_ARC
(2,19),-1.11604 # DEPENDENCYPART_ARC
(2,20),-0.885281 # DEPENDENCYPART_ARC
(2,21),-1.1791 # DEPENDENCYPART_ARC
(2,22),-1.34518 # DEPENDENCYPART_ARC
(2,23),-1.126 # DEPENDENCYPART_ARC
(2,24),-1.42387 # DEPENDENCYPART_ARC
(2,25),-1.67473 # DEPENDENCYPART_ARC
(3,1),1.74306 # DEPENDENCYPART_ARC
(3,2),1.44879 # DEPENDENCYPART_ARC
(3,4),1.25065 # DEPENDENCYPART_ARC
(3,5),-0.624612 # DEPENDENCYPART_ARC
(3,6),0.209665 # DEPENDENCYPART_ARC
(3,7),-0.87623 # DEPENDENCYPART_ARC
(3,8),-0.592007 # DEPENDENCYPART_ARC
(3,9),-0.0999547 # DEPENDENCYPART_ARC
(3,10),-0.562627 # DEPENDENCYPART_ARC
(3,11),-0.922093 # DEPENDENCYPART_ARC
(3,12),-1.12313 # DEPENDENCYPART_ARC
(3,13),-0.732054 # DEPENDENCYPART_ARC
(3,14),-0.816454 # DEPENDENCYPART_ARC
(3,15),-0.752603 # DEPENDENCYPART_ARC
(3,16),-1.13835 # DEPENDENCYPART_ARC
(3,17),-1.57612 # DEPENDENCYPART_ARC
(3,18),0.111641 # DEPENDENCYPART_ARC
(3,19),-0.977376 # DEPENDENCYPART_ARC
(3,20),-1.34137 # DEPENDENCYPART_ARC
(3,21),-2.30324 # DEPENDENCYPART_ARC
(3,22),-1.74429 # DEPENDENCYPART_ARC
(3,23),-1.00812 # DEPENDENCYPART_ARC
(3,24),-1.52453 # DEPENDENCYPART_ARC
(3,25),-1.86253 # DEPENDENCYPART_ARC
(4,1),-0.806995 # DEPENDENCYPART_ARC
(4,2),-1.54469 # DEPENDENCYPART_ARC
(4,3),-1.4811 # DEPENDENCYPART_ARC
(4,5),-1.28751 # DEPENDENCYPART_ARC
(4,6),-2.2157 # DEPENDENCYPART_ARC
(4,7),-1.76775 # DEPENDENCYPART_ARC
(4,8),-0.968597 # DEPENDENCYPART_ARC
(4,9),-1.02353 # DEPENDENCYPART_ARC
(4,10),-2.36982 # DEPENDENCYPART_ARC
(4,11),-2.24612 # DEPENDENCYPART_ARC
(4,12),-2.05261 # DEPENDENCYPART_ARC
(4,13),-1.30329 # DEPENDENCYPART_ARC
(4,14),-1.91551 # DEPENDENCYPART_ARC
(4,15),-3.02786 # DEPENDENCYPART_ARC
(4,16),-3.00871 # DEPENDENCYPART_ARC
(4,17),-3.21318 # DEPENDENCYPART_ARC
(4,18),-2.73738 # DEPENDENCYPART_ARC
(4,19),-1.48411 # DEPENDENCYPART_ARC
(4,20),-2.3203 # DEPENDENCYPART_ARC
(4,21),-2.39353 # DEPENDENCYPART_ARC
(4,22),-1.08417 # DEPENDENCYPART_ARC
(4,23),-1.81373 # DEPENDENCYPART_ARC
(4,24),-3.3847 # DEPENDENCYPART_ARC
(4,25),-2.44094 # DEPENDENCYPART_ARC
(5,1),-6.62506 # DEPENDENCYPART_ARC
(5,2),-0.912771 # DEPENDENCYPART_ARC
(5,3),-0.850486 # DEPENDENCYPART_ARC
(5,4),-1.47571 # DEPENDENCYPART_ARC
(5,6),0.419048 # DEPENDENCYPART_ARC
(5,7),-1.95004 # DEPENDENCYPART_ARC
(5,8),-2.50214 # DEPENDENCYPART_ARC
(5,9),-2.70492 # DEPENDENCYPART_ARC
(5,10),-2.21795 # DEPENDENCYPART_ARC
(5,11),-2.20248 # DEPENDENCYPART_ARC
(5,12),-3.41524 # DEPENDENCYPART_ARC
(5,13),-1.89269 # DEPENDENCYPART_ARC
(5,14),-3.87485 # DEPENDENCYPART_ARC
(5,15),-2.557 # DEPENDENCYPART_ARC
(5,16),-2.35464 # DEPENDENCYPART_ARC
(5,17),-2.56005 # DEPENDENCYPART_ARC
(5,18),-2.67742 # DEPENDENCYPART_ARC
(5,19),-2.96568 # DEPENDENCYPART_ARC
(5,20),-3.61806 # DEPENDENCYPART_ARC
(5,21),-3.26107 # DEPENDENCYPART_ARC
(5,22),-4.33749 # DEPENDENCYPART_ARC
(5,23),-2.69859 # DEPENDENCYPART_ARC
(5,24),-3.42343 # DEPENDENCYPART_ARC
(5,25),-1.60055 # DEPENDENCYPART_ARC
(6,1),-2.95882 # DEPENDENCYPART_ARC
(6,2),0.0669115 # DEPENDENCYPART_ARC
(6,3),0.312566 # DEPENDENCYPART_ARC
(6,4),-0.683717 # DEPENDENCYPART_ARC
(6,5),2.26458 # DEPENDENCYPART_ARC
(6,7),-0.574513 # DEPENDENCYPART_ARC
(6,8),-1.56381 # DEPENDENCYPART_ARC
(6,9),-1.7551 # DEPENDENCYPART_ARC
(6,10),-1.6276 # DEPENDENCYPART_ARC
(6,11),-1.68099 # DEPENDENCYPART_ARC
(6,12),-1.34601 # DEPENDENCYPART_ARC
(6,13),-1.40138 # DEPENDENCYPART_ARC
(6,14),-3.0144 # DEPENDENCYPART_ARC
(6,15),-3.43006 # DEPENDENCYPART_ARC
(6,16),-2.53457 # DEPENDENCYPART_ARC
(6,17),-3.01137 # DEPENDENCYPART_ARC
(6,18),-2.93285 # DEPENDENCYPART_ARC
(6,19),-1.98625 # DEPENDENCYPART_ARC
(6,20),-3.90715 # DEPENDENCYPART_ARC
(6,21),-2.67081 # DEPENDENCYPART_ARC
(6,22),-3.35223 # DEPENDENCYPART_ARC
(6,23),-2.1222 # DEPENDENCYPART_ARC
(6,24),-4.11751 # DEPENDENCYPART_ARC
(6,25),-1.3023 # DEPENDENCYPART_ARC
(7,1),0.800546 # DEPENDENCYPART_ARC
(7,2),-0.558461 # DEPENDENCYPART_ARC
(7,3),-0.431219 # DEPENDENCYPART_ARC
(7,4),0.413178 # DEPENDENCYPART_ARC
(7,5),0.395592 # DEPENDENCYPART_ARC
(7,6),2.7625 # DEPENDENCYPART_ARC
(7,8),2.30294 # DEPENDENCYPART_ARC
(7,9),2.43741 # DEPENDENCYPART_ARC
(7,10),0.018663 # DEPENDENCYPART_ARC
(7,11),-0.152196 # DEPENDENCYPART_ARC
(7,12),-0.505666 # DEPENDENCYPART_ARC
(7,13),-0.164149 # DEPENDENCYPART_ARC
(7,14),0.00179725 # DEPENDENCYPART_ARC
(7,15),-0.83319 # DEPENDENCYPART_ARC
(7,16),-1.62479 # DEPENDENCYPART_ARC
(7,17),-1.08935 # DEPENDENCYPART_ARC
(7,18),-0.0809538 # DEPENDENCYPART_ARC
(7,19),-0.347287 # DEPENDENCYPART_ARC
(7,20),-1.27077 # DEPENDENCYPART_ARC
(7,21),-0.780621 # DEPENDENCYPART_ARC
(7,22),-0.625989 # DEPENDENCYPART_ARC
(7,23),-0.52572 # DEPENDENCYPART_ARC
(7,24),-1.73059 # DEPENDENCYPART_ARC
(7,25),-1.01093 # DEPENDENCYPART_ARC
(8,1),-1.89574 # DEPENDENCYPART_ARC
(8,2),-1.92953 # DEPENDENCYPART_ARC
(8,3),-1.88883 # DEPENDENCYPART_ARC
(8,4),-1.61278 # DEPENDENCYPART_ARC
(8,5),-1.43157 # DEPENDENCYPART_ARC
(8,6),-1.2868 # DEPENDENCYPART_ARC
(8,7),-0.653281 # DEPENDENCYPART_ARC
(8,9),-1.17675 # DEPENDENCYPART_ARC
(8,10),-1.30073 # DEPENDENCYPART_ARC
(8,11),-1.33383 # DEPENDENCYPART_ARC
(8,12),-1.52564 # DEPENDENCYPART_ARC
(8,13),-0.934953 # DEPENDENCYPART_ARC
(8,14),-1.42772 # DEPENDENCYPART_ARC
(8,15),-1.55312 # DEPENDENCYPART_ARC
(8,16),-1.86643 # DEPENDENCYPART_ARC
(8,17),-1.66383 # DEPENDENCYPART_ARC
(8,18),-1.45161 # DEPENDENCYPART_ARC
(8,19),-1.50017 # DEPENDENCYPART_ARC
(8,20),-1.76102 # DEPENDENCYPART_ARC
(8,21),-1.80997 # DEPENDENCYPART_ARC
(8,22),-2.80508 # DEPENDENCYPART_ARC
(8,23),-1.4385 # DEPENDENCYPART_ARC
(8,24),-1.91329 # DEPENDENCYPART_ARC
(8,25),-1.48648 # DEPENDENCYPART_ARC
(9,1),-0.956342 # DEPENDENCYPART_ARC
(9,2),-1.6629 # DEPENDENCYPART_ARC
(9,3),-2.03869 # DEPENDENCYPART_ARC
(9,4),-1.12102 # DEPENDENCYPART_ARC
(9,5),-0.814949 # DEPENDENCYPART_ARC
(9,6),-0.920557 # DEPENDENCYPART_ARC
(9,7),-1.44468 # DEPENDENCYPART_ARC
(9,8),-0.0783679 # DEPENDENCYPART_ARC
(9,10),-0.129841 # DEPENDENCYPART_ARC
(9,11),-0.816271 # DEPENDENCYPART_ARC
(9,12),-0.777707 # DEPENDENCYPART_ARC
(9,13),-0.547349 # DEPENDENCYPART_ARC
(9,14),-0.564507 # DEPENDENCYPART_ARC
(9,15),-2.12536 # DEPENDENCYPART_ARC
(9,16),-2.18434 # DEPENDENCYPART_ARC
(9,17),-1.86241 # DEPENDENCYPART_ARC
(9,18),-1.31643 # DEPENDENCYPART_ARC
(9,19),-0.45519 # DEPENDENCYPART_ARC
(9,20),-1.10602 # DEPENDENCYPART_ARC
(9,21),-1.556 # DEPENDENCYPART_ARC
(9,22),-1.20479 # DEPENDENCYPART_ARC
(9,23),-1.32605 # DEPENDENCYPART_ARC
(9,24),-2.90641 # DEPENDENCYPART_ARC
(9,25),-1.61654 # DEPENDENCYPART_ARC
(10,1),-2.01847 # DEPENDENCYPART_ARC
(10,2),-0.129918 # DEPENDENCYPART_ARC
(10,3),-0.178592 # DEPENDENCYPART_ARC
(10,4),-1.26704 # DEPENDENCYPART_ARC
(10,5),-0.718089 # DEPENDENCYPART_ARC
(10,6),-0.682305 # DEPENDENCYPART_ARC
(10,7),0.894914 # DEPENDENCYPART_ARC
(10,8),0.181228 # DEPENDENCYPART_ARC
(10,9),0.130624 # DEPENDENCYPART_ARC
(10,11),1.60566 # DEPENDENCYPART_ARC
(10,12),1.52516 # DEPENDENCYPART_ARC
(10,13),-0.245538 # DEPENDENCYPART_ARC
(10,14),-0.254604 # DEPENDENCYPART_ARC
(10,15),-0.131884 # DEPENDENCYPART_ARC
(10,16),-0.0559252 # DEPENDENCYPART_ARC
(10,17),-0.182746 # DEPENDENCYPART_ARC
(10,18),-0.417459 # DEPENDENCYPART_ARC
(10,19),-0.607401 # DEPENDENCYPART_ARC
(10,20),-0.65734 # DEPENDENCYPART_ARC
(10,21),-0.935254 # DEPENDENCYPART_ARC
(10,22),-0.874234 # DEPENDENCYPART_ARC
(10,23),-1.36777 # DEPENDENCYPART_ARC
(10,24),-1.26563 # DEPENDENCYPART_ARC
(10,25),-0.284022 # DEPENDENCYPART_ARC
(11,1),-2.53188 # DEPENDENCYPART_ARC
(11,2),-1.13029 # DEPENDENCYPART_ARC
(11,3),-1.0108 # DEPENDENCYPART_ARC
(11,4),-1.82815 # DEPENDENCYPART_ARC
(11,5),-1.4384 # DEPENDENCYPART_ARC
(11,6),-1.3718 # DEPENDENCYPART_ARC
(11,7),-0.34976 # DEPENDENCYPART_ARC
(11,8),-0.811738 # DEPENDENCYPART_ARC
(11,9),-1.05507 # DEPENDENCYPART_ARC
(11,10),0.921461 # DEPENDENCYPART_ARC
(11,12),2.28829 # DEPENDENCYPART_ARC
(11,13),-0.199844 # DEPENDENCYPART_ARC
(11,14),-0.704987 # DEPENDENCYPART_ARC
(11,15),-0.684755 # DEPENDENCYPART_ARC
(11,16),-0.648034 # DEPENDENCYPART_ARC
(11,17),-0.81351 # DEPENDENCYPART_ARC
(11,18),-0.997742 # DEPENDENCYPART_ARC
(11,19),-0.944518 # DEPENDENCYPART_ARC
(11,20),-1.2139 # DEPENDENCYPART_ARC
(11,21),-1.44251 # DEPENDENCYPART_ARC
(11,22),-1.42595 # DEPENDENCYPART_ARC
(11,23),-1.60433 # DEPENDENCYPART_ARC
(11,24),-1.8327 # DEPENDENCYPART_ARC
(11,25),-0.928311 # DEPENDENCYPART_ARC
(12,1),-1.7037 # DEPENDENCYPART_ARC
(12,2),-1.64005 # DEPENDENCYPART_ARC
(12,3),-1.60279 # DEPENDENCYPART_ARC
(12,4),-1.73093 # DEPENDENCYPART_ARC
(12,5),-0.579052 # DEPENDENCYPART_ARC
(12,6),-1.47056 # DEPENDENCYPART_ARC
(12,7),-1.11056 # DEPENDENCYPART_ARC
(12,8),-0.411612 # DEPENDENCYPART_ARC
(12,9),-1.45444 # DEPENDENCYPART_ARC
(12,10),-0.730199 # DEPENDENCYPART_ARC
(12,11),-0.374615 # DEPENDENCYPART_ARC
(12,13),1.8152 # DEPENDENCYPART_ARC
(12,14),-1.29436 # DEPENDENCYPART_ARC
(12,15),-1.44743 # DEPENDENCYPART_ARC
(12,16),-1.96285 # DEPENDENCYPART_ARC
(12,17),-1.29647 # DEPENDENCYPART_ARC
(12,18),-1.59765 # DEPENDENCYPART_ARC
(12,19),-0.459407 # DEPENDENCYPART_ARC
(12,20),-1.37328 # DEPENDENCYPART_ARC
(12,21),-1.46603 # DEPENDENCYPART_ARC
(12,22),-1.84743 # DEPENDENCYPART_ARC
(12,23),-0.641209 # DEPENDENCYPART_ARC
(12,24),-2.18319 # DEPENDENCYPART_ARC
(12,25),-1.02342 # DEPENDENCYPART_ARC
(13,1),-0.861502 # DEPENDENCYPART_ARC
(13,2),-0.485656 # DEPENDENCYPART_ARC
(13,3),-0.556006 # DEPENDENCYPART_ARC
(13,4),-0.909483 # DEPENDENCYPART_ARC
(13,5),-0.701656 # DEPENDENCYPART_ARC
(13,6),-0.701085 # DEPENDENCYPART_ARC
(13,7),-0.613715 # DEPENDENCYPART_ARC
(13,8),-0.955948 # DEPENDENCYPART_ARC
(13,9),-0.724234 # DEPENDENCYPART_ARC
(13,10),-0.279812 # DEPENDENCYPART_ARC
(13,11),-0.378843 # DEPENDENCYPART_ARC
(13,12),-0.434191 # DEPENDENCYPART_ARC
(13,14),-0.21267 # DEPENDENCYPART_ARC
(13,15),-1.18206 # DEPENDENCYPART_ARC
(13,16),-0.98038 # DEPENDENCYPART_ARC
(13,17),-1.08259 # DEPENDENCYPART_ARC
(13,18),-1.1163 # DEPENDENCYPART_ARC
(13,19),-1.17766 # DEPENDENCYPART_ARC
(13,20),-1.36714 # DEPENDENCYPART_ARC
(13,21),-1.6142 # DEPENDENCYPART_ARC
(13,22),-0.903756 # DEPENDENCYPART_ARC
(13,23),-1.24867 # DEPENDENCYPART_ARC
(13,24),-1.74245 # DEPENDENCYPART_ARC
(13,25),-1.36974 # DEPENDENCYPART_ARC
(14,1),-0.556445 # DEPENDENCYPART_ARC
(14,2),-1.14831 # DEPENDENCYPART_ARC
(14,3),-0.943139 # DEPENDENCYPART_ARC
(14,4),-1.43098 # DEPENDENCYPART_ARC
(14,5),-2.68886 # DEPENDENCYPART_ARC
(14,6),-0.247307 # DEPENDENCYPART_ARC
(14,7),-0.427267 # DEPENDENCYPART_ARC
(14,8),-0.097011 # DEPENDENCYPART_ARC
(14,9),-0.593746 # DEPENDENCYPART_ARC
(14,10),0.198928 # DEPENDENCYPART_ARC
(14,11),0.137275 # DEPENDENCYPART_ARC
(14,12),-0.52013 # DEPENDENCYPART_ARC
(14,13),-0.23758 # DEPENDENCYPART_ARC
(14,15),-1.10653 # DEPENDENCYPART_ARC
(14,16),-1.55569 # DEPENDENCYPART_ARC
(14,17),-2.26083 # DEPENDENCYPART_ARC
(14,18),-0.424307 # DEPENDENCYPART_ARC
(14,19),-0.838566 # DEPENDENCYPART_ARC
(14,20),-1.23702 # DEPENDENCYPART_ARC
(14,21),-1.8235 # DEPENDENCYPART_ARC
(14,22),-3.24507 # DEPENDENCYPART_ARC
(14,23),-0.893582 # DEPENDENCYPART_ARC
(14,24),-2.94934 # DEPENDENCYPART_ARC
(14,25),-1.2618 # DEPENDENCYPART_ARC
(15,1),-6.41548 # DEPENDENCYPART_ARC
(15,2),-2.13289 # DEPENDENCYPART_ARC
(15,3),-2.65575 # DEPENDENCYPART_ARC
(15,4),-3.21688 # DEPENDENCYPART_ARC
(15,5),-1.55671 # DEPENDENCYPART_ARC
(15,6),-4.2689 # DEPENDENCYPART_ARC
(15,7),-2.2767 # DEPENDENCYPART_ARC
(15,8),-1.75595 # DEPENDENCYPART_ARC
(15,9),-3.03148 # DEPENDENCYPART_ARC
(15,10),-1.81076 # DEPENDENCYPART_ARC
(15,11),-1.70629 # DEPENDENCYPART_ARC
(15,12),-3.83318 # DEPENDENCYPART_ARC
(15,13),-1.12583 # DEPENDENCYPART_ARC
(15,14),-1.24719 # DEPENDENCYPART_ARC
(15,16),-1.20001 # DEPENDENCYPART_ARC
(15,17),-2.83168 # DEPENDENCYPART_ARC
(15,18),-2.44923 # DEPENDENCYPART_ARC
(15,19),-2.0473 # DEPENDENCYPART_ARC
(15,20),-4.42774 # DEPENDENCYPART_ARC
(15,21),-2.39423 # DEPENDENCYPART_ARC
(15,22),-4.21058 # DEPENDENCYPART_ARC
(15,23),-1.59496 # DEPENDENCYPART_ARC
(15,24),-3.69039 # DEPENDENCYPART_ARC
(15,25),-0.790323 # DEPENDENCYPART_ARC
(16,1),-3.90116 # DEPENDENCYPART_ARC
(16,2),-1.90818 # DEPENDENCYPART_ARC
(16,3),-2.09008 # DEPENDENCYPART_ARC
(16,4),-2.55255 # DEPENDENCYPART_ARC
(16,5),-0.65098 # DEPENDENCYPART_ARC
(16,6),-2.41406 # DEPENDENCYPART_ARC
(16,7),-1.20384 # DEPENDENCYPART_ARC
(16,8),-1.4477 # DEPENDENCYPART_ARC
(16,9),-2.06083 # DEPENDENCYPART_ARC
(16,10),-1.02643 # DEPENDENCYPART_ARC
(16,11),-0.866657 # DEPENDENCYPART_ARC
(16,12),-2.74216 # DEPENDENCYPART_ARC
(16,13),-1.32338 # DEPENDENCYPART_ARC
(16,14),-0.836599 # DEPENDENCYPART_ARC
(16,15),2.02591 # DEPENDENCYPART_ARC
(16,17),0.558547 # DEPENDENCYPART_ARC
(16,18),-0.296687 # DEPENDENCYPART_ARC
(16,19),-1.18388 # DEPENDENCYPART_ARC
(16,20),-1.43079 # DEPENDENCYPART_ARC
(16,21),-1.63177 # DEPENDENCYPART_ARC
(16,22),-1.67853 # DEPENDENCYPART_ARC
(16,23),-1.10703 # DEPENDENCYPART_ARC
(16,24),-1.15259 # DEPENDENCYPART_ARC
(16,25),-0.623664 # DEPENDENCYPART_ARC
(17,1),-5.9711 # DEPENDENCYPART_ARC
(17,2),-2.13747 # DEPENDENCYPART_ARC
(17,3),-2.48663 # DEPENDENCYPART_ARC
(17,4),-2.89696 # DEPENDENCYPART_ARC
(17,5),-2.21063 # DEPENDENCYPART_ARC
(17,6),-3.33478 # DEPENDENCYPART_ARC
(17,7),-2.1135 # DEPENDENCYPART_ARC
(17,8),-1.92436 # DEPENDENCYPART_ARC
(17,9),-2.84131 # DEPENDENCYPART_ARC
(17,10),-1.39966 # DEPENDENCYPART_ARC
(17,11),-1.357 # DEPENDENCYPART_ARC
(17,12),-3.3339 # DEPENDENCYPART_ARC
(17,13),-1.62467 # DEPENDENCYPART_ARC
(17,14),-2.57554 # DEPENDENCYPART_ARC
(17,15),-0.231538 # DEPENDENCYPART_ARC
(17,16),1.62097 # DEPENDENCYPART_ARC
(17,18),-1.28977 # DEPENDENCYPART_ARC
(17,19),-1.37271 # DEPENDENCYPART_ARC
(17,20),-3.70744 # DEPENDENCYPART_ARC
(17,21),-2.44498 # DEPENDENCYPART_ARC
(17,22),-3.7952 # DEPENDENCYPART_ARC
(17,23),-1.53054 # DEPENDENCYPART_ARC
(17,24),-3.84642 # DEPENDENCYPART_ARC
(17,25),-1.17214 # DEPENDENCYPART_ARC
(18,1),-4.12406 # DEPENDENCYPART_ARC
(18,2),-1.68724 # DEPENDENCYPART_ARC
(18,3),-1.58358 # DEPENDENCYPART_ARC
(18,4),-2.46376 # DEPENDENCYPART_ARC
(18,5),-1.74522 # DEPENDENCYPART_ARC
(18,6),-2.32383 # DEPENDENCYPART_ARC
(18,7),-1.99026 # DEPENDENCYPART_ARC
(18,8),-1.45796 # DEPENDENCYPART_ARC
(18,9),-2.40827 # DEPENDENCYPART_ARC
(18,10),-1.16665 # DEPENDENCYPART_ARC
(18,11),-1.04525 # DEPENDENCYPART_ARC
(18,12),-2.63981 # DEPENDENCYPART_ARC
(18,13),-1.31789 # DEPENDENCYPART_ARC
(18,14),-1.45016 # DEPENDENCYPART_ARC
(18,15),0.891988 # DEPENDENCYPART_ARC
(18,16),1.4843 # DEPENDENCYPART_ARC
(18,17),2.27542 # DEPENDENCYPART_ARC
(18,19),-0.410886 # DEPENDENCYPART_ARC
(18,20),-2.17952 # DEPENDENCYPART_ARC
(18,21),-1.38774 # DEPENDENCYPART_ARC
(18,22),-3.11335 # DEPENDENCYPART_ARC
(18,23),-1.06288 # DEPENDENCYPART_ARC
(18,24),-3.06701 # DEPENDENCYPART_ARC
(18,25),-0.685381 # DEPENDENCYPART_ARC
(19,1),-2.32392 # DEPENDENCYPART_ARC
(19,2),-2.28783 # DEPENDENCYPART_ARC
(19,3),-2.39511 # DEPENDENCYPART_ARC
(19,4),-2.87278 # DEPENDENCYPART_ARC
(19,5),-2.647 # DEPENDENCYPART_ARC
(19,6),-2.53923 # DEPENDENCYPART_ARC
(19,7),-2.80451 # DEPENDENCYPART_ARC
(19,8),-2.35686 # DEPENDENCYPART_ARC
(19,9),-2.17804 # DEPENDENCYPART_ARC
(19,10),-2.32539 # DEPENDENCYPART_ARC
(19,11),-2.17184 # DEPENDENCYPART_ARC
(19,12),-2.91477 # DEPENDENCYPART_ARC
(19,13),-2.8934 # DEPENDENCYPART_ARC
(19,14),-2.25333 # DEPENDENCYPART_ARC
(19,15),-2.19575 # DEPENDENCYPART_ARC
(19,16),-1.88885 # DEPENDENCYPART_ARC
(19,17),-2.05413 # DEPENDENCYPART_ARC
(19,18),-0.150236 # DEPENDENCYPART_ARC
(19,20),1.52579 # DEPENDENCYPART_ARC
(19,21),-2.75578 # DEPENDENCYPART_ARC
(19,22),-1.31765 # DEPENDENCYPART_ARC
(19,23),-0.664201 # DEPENDENCYPART_ARC
(19,24),-2.00554 # DEPENDENCYPART_ARC
(19,25),-1.40296 # DEPENDENCYPART_ARC
(20,1),-7.58637 # DEPENDENCYPART_ARC
(20,2),-2.75468 # DEPENDENCYPART_ARC
(20,3),-2.49822 # DEPENDENCYPART_ARC
(20,4),-2.86942 # DEPENDENCYPART_ARC
(20,5),-4.70569 # DEPENDENCYPART_ARC
(20,6),-5.39471 # DEPENDENCYPART_ARC
(20,7),-2.54105 # DEPENDENCYPART_ARC
(20,8),-2.14522 # DEPENDENCYPART_ARC
(20,9),-2.8778 # DEPENDENCYPART_ARC
(20,10),-3.00129 # DEPENDENCYPART_ARC
(20,11),-2.85939 # DEPENDENCYPART_ARC
(20,12),-3.28024 # DEPENDENCYPART_ARC
(20,13),-2.22962 # DEPENDENCYPART_ARC
(20,14),-2.74222 # DEPENDENCYPART_ARC
(20,15),-3.69309 # DEPENDENCYPART_ARC
(20,16),-2.63107 # DEPENDENCYPART_ARC
(20,17),-2.57263 # DEPENDENCYPART_ARC
(20,18),-4.90854 # DEPENDENCYPART_ARC
(20,19),-0.573464 # DEPENDENCYPART_ARC
(20,21),-1.18043 # DEPENDENCYPART_ARC
(20,22),-2.82381 # DEPENDENCYPART_ARC
(20,23),-1.0469 # DEPENDENCYPART_ARC
(20,24),-1.8428 # DEPENDENCYPART_ARC
