# _root_ irlandan aurrera doaz , eta zergatik ez hemen ? " , itaundu zuen .
#goldHeads=3,3,5,3,12,5,5,5,8,9,10,0,12,13,
#predictedHeads=3,3,5,3,0,5,6,12,8,9,10,0,12,13,
(3,6),-0.203315 # DEPENDENCYPART_ARC
(3,7),-0.107154 # DEPENDENCYPART_ARC
(3,8),-0.172656 # DEPENDENCYPART_ARC
(3,9),-0.361114 # DEPENDENCYPART_ARC
(3,10),-0.355839 # DEPENDENCYPART_ARC
(3,11),-0.529167 # DEPENDENCYPART_ARC
(3,12),-0.743268 # DEPENDENCYPART_ARC
(3,13),-0.740858 # DEPENDENCYPART_ARC
(3,14),-0.557591 # DEPENDENCYPART_ARC
(4,1),-0.839929 # DEPENDENCYPART_ARC
(4,2),-1.10349 # DEPENDENCYPART_ARC
(4,3),0.28929 # DEPENDENCYPART_ARC
(4,5),-0.470493 # DEPENDENCYPART_ARC
(4,6),-1.54611 # DEPENDENCYPART_ARC
(4,7),-1.4572 # DEPENDENCYPART_ARC
(4,8),-1.73939 # DEPENDENCYPART_ARC
(4,9),-0.803062 # DEPENDENCYPART_ARC
(4,10),-0.386401 # DEPENDENCYPART_ARC
(4,11),-1.07037 # DEPENDENCYPART_ARC
(4,12),-1.29108 # DEPENDENCYPART_ARC
(4,13),-1.17517 # DEPENDENCYPART_ARC
(4,14),-1.37258 # DEPENDENCYPART_ARC
(5,1),-0.968517 # DEPENDENCYPART_ARC
(5,2),-0.17071 # DEPENDENCYPART_ARC
(5,3),1.73822 # DEPENDENCYPART_ARC
(5,4),-0.219418 # DEPENDENCYPART_ARC
(5,6),0.359851 # DEPENDENCYPART_ARC
(5,7),0.0657372 # DEPENDENCYPART_ARC
(5,8),-0.216442 # DEPENDENCYPART_ARC
(5,9),-0.12078 # DEPENDENCYPART_ARC
(5,10),-0.438911 # DEPENDENCYPART_ARC
(5,11),-0.824514 # DEPENDENCYPART_ARC
(5,12),0.330153 # DEPENDENCYPART_ARC
(5,13),-0.537777 # DEPENDENCYPART_ARC
(5,14),-0.650228 # DEPENDENCYPART_ARC
(6,1),-1.91582 # DEPENDENCYPART_ARC
(6,2),-1.52328 # DEPENDENCYPART_ARC
(6,3),-1.7294 # DEPENDENCYPART_ARC
(6,4),-1.59227 # DEPENDENCYPART_ARC
(6,5),-0.791819 # DEPENDENCYPART_ARC
(6,7),0.193586 # DEPENDENCYPART_ARC
(6,8),-0.272519 # DEPENDENCYPART_ARC
(6,9),-0.235455 # DEPENDENCYPART_ARC
(6,10),-0.378339 # DEPENDENCYPART_ARC
(6,11),-0.698181 # DEPENDENCYPART_ARC
(6,12),-1.36908 # DEPENDENCYPART_ARC
(6,13),-1.09881 # DEPENDENCYPART_ARC
(6,14),-0.719131 # DEPENDENCYPART_ARC
(7,1),-1.80668 # DEPENDENCYPART_ARC
(7,2),-1.76234 # DEPENDENCYPART_ARC
(7,3),-1.88336 # DEPENDENCYPART_ARC
(7,4),-1.23701 # DEPENDENCYPART_ARC
(7,5),-1.19465 # DEPENDENCYPART_ARC
(7,6),-0.697468 # DEPENDENCYPART_ARC
(7,8),-0.266895 # DEPENDENCYPART_ARC
(7,9),0.0981472 # DEPENDENCYPART_ARC
(7,10),-0.218316 # DEPENDENCYPART_ARC
(7,11),-0.378144 # DEPENDENCYPART_ARC
(7,12),-1.05242 # DEPENDENCYPART_ARC
(7,13),-1.997 # DEPENDENCYPART_ARC
(7,14),-0.400621 # DEPENDENCYPART_ARC
(8,1),-1.21682 # DEPENDENCYPART_ARC
(8,2),-0.90833 # DEPENDENCYPART_ARC
(8,3),-1.35092 # DEPENDENCYPART_ARC
(8,4),-0.992194 # DEPENDENCYPART_ARC
(8,5),-0.632134 # DEPENDENCYPART_ARC
(8,6),-0.533817 # DEPENDENCYPART_ARC
(8,7),-0.207128 # DEPENDENCYPART_ARC
(8,9),1.68576 # DEPENDENCYPART_ARC
(8,10),0.5292 # DEPENDENCYPART_ARC
(8,11),-0.162299 # DEPENDENCYPART_ARC
(8,12),-1.03597 # DEPENDENCYPART_ARC
(8,13),-0.711547 # DEPENDENCYPART_ARC
(8,14),-0.189363 # DEPENDENCYPART_ARC
(9,1),-1.5903 # DEPENDENCYPART_ARC
(9,2),-1.54729 # DEPENDENCYPART_ARC
(9,3),-1.01681 # DEPENDENCYPART_ARC
(9,4),-1.1469 # DEPENDENCYPART_ARC
(9,5),-0.96637 # DEPENDENCYPART_ARC
(9,6),-1.17266 # DEPENDENCYPART_ARC
(9,7),-1.15463 # DEPENDENCYPART_ARC
(9,8),-0.691217 # DEPENDENCYPART_ARC
(9,10),1.81408 # DEPENDENCYPART_ARC
(9,11),0.657295 # DEPENDENCYPART_ARC
(9,12),-0.919598 # DEPENDENCYPART_ARC
(9,13),-0.365532 # DEPENDENCYPART_ARC
(9,14),-0.435568 # DEPENDENCYPART_ARC
(10,1),-1.94113 # DEPENDENCYPART_ARC
(10,2),-1.83582 # DEPENDENCYPART_ARC
(10,3),-1.49422 # DEPENDENCYPART_ARC
(10,4),-1.74663 # DEPENDENCYPART_ARC
(10,5),-1.53341 # DEPENDENCYPART_ARC
(10,6),-1.66923 # DEPENDENCYPART_ARC
(10,7),-1.36677 # DEPENDENCYPART_ARC
(10,8),-1.60621 # DEPENDENCYPART_ARC
(10,9),-0.946715 # DEPENDENCYPART_ARC
(10,11),2.0348 # DEPENDENCYPART_ARC
(10,12),-1.35888 # DEPENDENCYPART_ARC
(10,13),-0.326537 # DEPENDENCYPART_ARC
(10,14),-0.186062 # DEPENDENCYPART_ARC
(11,1),-0.876141 # DEPENDENCYPART_ARC
(11,2),-0.901994 # DEPENDENCYPART_ARC
(11,3),-0.342003 # DEPENDENCYPART_ARC
(11,4),-0.733701 # DEPENDENCYPART_ARC
(11,5),-0.659601 # DEPENDENCYPART_ARC
(11,6),-0.798709 # DEPENDENCYPART_ARC
(11,7),-0.541063 # DEPENDENCYPART_ARC
(11,8),-0.497934 # DEPENDENCYPART_ARC
(11,9),-0.590005 # DEPENDENCYPART_ARC
(11,10),0.254271 # DEPENDENCYPART_ARC
(11,12),-0.495803 # DEPENDENCYPART_ARC
(11,13),0.110251 # DEPENDENCYPART_ARC
(11,14),-0.278045 # DEPENDENCYPART_ARC
(12,1),-0.0395999 # DEPENDENCYPART_ARC
(12,2),-1.10213 # DEPENDENCYPART_ARC
(12,3),0.127936 # DEPENDENCYPART_ARC
(12,4),-0.409332 # DEPENDENCYPART_ARC
(12,5),0.48119 # DEPENDENCYPART_ARC
(12,6),-0.46449 # DEPENDENCYPART_ARC
(12,7),-0.349625 # DEPENDENCYPART_ARC
(12,8),-0.00351323 # DEPENDENCYPART_ARC
(12,9),-0.00520174 # DEPENDENCYPART_ARC
(12,10),-0.611887 # DEPENDENCYPART_ARC
(12,11),0.18371 # DEPENDENCYPART_ARC
(12,13),1.94826 # DEPENDENCYPART_ARC
(12,14),0.176938 # DEPENDENCYPART_ARC
(13,1),-2.27217 # DEPENDENCYPART_ARC
(13,2),-1.44381 # DEPENDENCYPART_ARC
(13,3),-1.69171 # DEPENDENCYPART_ARC
(13,4),-1.82922 # DEPENDENCYPART_ARC
(13,5),-1.77598 # DEPENDENCYPART_ARC
(13,6),-1.27063 # DEPENDENCYPART_ARC
(13,7),-1.32457 # DEPENDENCYPART_ARC
(13,8),-1.22772 # DEPENDENCYPART_ARC
(13,9),-1.5108 # DEPENDENCYPART_ARC
(13,10),-1.30156 # DEPENDENCYPART_ARC
(13,11),-1.26905 # DEPENDENCYPART_ARC
(13,12),-1.66087 # DEPENDENCYPART_ARC
(13,14),1.82649 # DEPENDENCYPART_ARC
(14,1),-1.47914 # DEPENDENCYPART_ARC
(14,2),-1.51397 # DEPENDENCYPART_ARC
(14,3),-1.39328 # DEPENDENCYPART_ARC
(14,4),-1.36335 # DEPENDENCYPART_ARC
(14,5),-1.26862 # DEPENDENCYPART_ARC
(14,6),-1.32415 # DEPENDENCYPART_ARC
(14,7),-1.28497 # DEPENDENCYPART_ARC
(14,8),-1.3364 # DEPENDENCYPART_ARC
(14,9),-1.37969 # DEPENDENCYPART_ARC
(14,10),-1.22088 # DEPENDENCYPART_ARC
(14,11),-0.983822 # DEPENDENCYPART_ARC
(14,12),-0.739169 # DEPENDENCYPART_ARC
(14,13),-0.0476261 # DEPENDENCYPART_ARC
