# _root_ erresistentzia talde tipitan antolatzen zen han_hemenka , baina gure jendeak ez zuen apenas harmarik enperadoreari aurre_egiteko , eta bere harmada handiak bere larderia ezarri zuen nahinon .
#goldHeads=4,4,2,8,4,4,6,0,10,12,12,18,12,12,16,12,16,8,20,24,20,23,24,18,24,24,26,
#predictedHeads=4,4,2,8,4,4,6,0,10,12,12,8,12,12,16,18,16,0,20,24,20,23,24,18,24,24,26,
(2,17),-1.167 # DEPENDENCYPART_ARC
(2,18),-0.924803 # DEPENDENCYPART_ARC
(2,19),-1.53389 # DEPENDENCYPART_ARC
(2,20),-1.55899 # DEPENDENCYPART_ARC
(2,21),-0.948752 # DEPENDENCYPART_ARC
(2,22),-1.03995 # DEPENDENCYPART_ARC
(2,23),-1.36966 # DEPENDENCYPART_ARC
(2,24),-1.76195 # DEPENDENCYPART_ARC
(2,25),-1.66239 # DEPENDENCYPART_ARC
(2,26),-1.17492 # DEPENDENCYPART_ARC
(2,27),-1.27193 # DEPENDENCYPART_ARC
(3,1),-0.114806 # DEPENDENCYPART_ARC
(3,2),0.273322 # DEPENDENCYPART_ARC
(3,4),-0.628162 # DEPENDENCYPART_ARC
(3,5),-0.575889 # DEPENDENCYPART_ARC
(3,6),-0.675179 # DEPENDENCYPART_ARC
(3,7),-0.511818 # DEPENDENCYPART_ARC
(3,8),-0.871012 # DEPENDENCYPART_ARC
(3,9),-1.30293 # DEPENDENCYPART_ARC
(3,10),-1.64933 # DEPENDENCYPART_ARC
(3,11),-1.31991 # DEPENDENCYPART_ARC
(3,12),-0.951418 # DEPENDENCYPART_ARC
(3,13),-0.894186 # DEPENDENCYPART_ARC
(3,14),-1.51977 # DEPENDENCYPART_ARC
(3,15),-2.04306 # DEPENDENCYPART_ARC
(3,16),-2.48327 # DEPENDENCYPART_ARC
(3,17),-0.940414 # DEPENDENCYPART_ARC
(3,18),-1.1365 # DEPENDENCYPART_ARC
(3,19),-1.69316 # DEPENDENCYPART_ARC
(3,20),-1.92116 # DEPENDENCYPART_ARC
(3,21),-1.96713 # DEPENDENCYPART_ARC
(3,22),-1.61034 # DEPENDENCYPART_ARC
(3,23),-2.19898 # DEPENDENCYPART_ARC
(3,24),-2.40103 # DEPENDENCYPART_ARC
(3,25),-1.92805 # DEPENDENCYPART_ARC
(3,26),-1.32038 # DEPENDENCYPART_ARC
(3,27),-1.39465 # DEPENDENCYPART_ARC
(4,1),1.77594 # DEPENDENCYPART_ARC
(4,2),1.57015 # DEPENDENCYPART_ARC
(4,3),0.969931 # DEPENDENCYPART_ARC
(4,5),1.93077 # DEPENDENCYPART_ARC
(4,6),1.23525 # DEPENDENCYPART_ARC
(4,7),-0.244779 # DEPENDENCYPART_ARC
(4,8),0.00244079 # DEPENDENCYPART_ARC
(4,9),-0.199647 # DEPENDENCYPART_ARC
(4,10),-0.237731 # DEPENDENCYPART_ARC
(4,11),-0.224957 # DEPENDENCYPART_ARC
(4,12),-0.330408 # DEPENDENCYPART_ARC
(4,13),-0.287129 # DEPENDENCYPART_ARC
(4,14),-0.829292 # DEPENDENCYPART_ARC
(4,15),-1.15883 # DEPENDENCYPART_ARC
(4,16),0.038737 # DEPENDENCYPART_ARC
(4,17),-0.478331 # DEPENDENCYPART_ARC
(4,18),-0.470777 # DEPENDENCYPART_ARC
(4,19),-1.39654 # DEPENDENCYPART_ARC
(4,20),-1.40463 # DEPENDENCYPART_ARC
(4,21),-1.36696 # DEPENDENCYPART_ARC
(4,22),-1.63803 # DEPENDENCYPART_ARC
(4,23),-1.63795 # DEPENDENCYPART_ARC
(4,24),-1.73372 # DEPENDENCYPART_ARC
(4,25),-1.00404 # DEPENDENCYPART_ARC
(4,26),-1.12076 # DEPENDENCYPART_ARC
(4,27),-1.24687 # DEPENDENCYPART_ARC
(5,1),-1.09588 # DEPENDENCYPART_ARC
(5,2),-0.574666 # DEPENDENCYPART_ARC
(5,3),-1.25273 # DEPENDENCYPART_ARC
(5,4),-1.03591 # DEPENDENCYPART_ARC
(5,6),0.113675 # DEPENDENCYPART_ARC
(5,7),-0.287657 # DEPENDENCYPART_ARC
(5,8),-1.02319 # DEPENDENCYPART_ARC
(5,9),-1.69889 # DEPENDENCYPART_ARC
(5,10),-1.48983 # DEPENDENCYPART_ARC
(5,11),-1.1847 # DEPENDENCYPART_ARC
(5,12),-1.47542 # DEPENDENCYPART_ARC
(5,13),-1.33924 # DEPENDENCYPART_ARC
(5,14),-1.93532 # DEPENDENCYPART_ARC
(5,15),-1.84219 # DEPENDENCYPART_ARC
(5,16),-1.87311 # DEPENDENCYPART_ARC
(5,17),-1.39268 # DEPENDENCYPART_ARC
(5,18),-2.4582 # DEPENDENCYPART_ARC
(5,19),-2.34236 # DEPENDENCYPART_ARC
(5,20),-2.33893 # DEPENDENCYPART_ARC
(5,21),-2.41403 # DEPENDENCYPART_ARC
(5,22),-2.3427 # DEPENDENCYPART_ARC
(5,23),-2.44218 # DEPENDENCYPART_ARC
(5,24),-2.6278 # DEPENDENCYPART_ARC
(5,25),-1.26447 # DEPENDENCYPART_ARC
(5,26),-1.31972 # DEPENDENCYPART_ARC
(5,27),-2.40474 # DEPENDENCYPART_ARC
(6,1),-1.17659 # DEPENDENCYPART_ARC
(6,2),-1.04368 # DEPENDENCYPART_ARC
(6,3),-1.1403 # DEPENDENCYPART_ARC
(6,4),-0.576168 # DEPENDENCYPART_ARC
(6,5),-0.255524 # DEPENDENCYPART_ARC
(6,7),1.66724 # DEPENDENCYPART_ARC
(6,8),-0.390392 # DEPENDENCYPART_ARC
(6,9),-0.835501 # DEPENDENCYPART_ARC
(6,10),-1.00376 # DEPENDENCYPART_ARC
(6,11),-0.826864 # DEPENDENCYPART_ARC
(6,12),-0.80989 # DEPENDENCYPART_ARC
(6,13),-0.604863 # DEPENDENCYPART_ARC
(6,14),-1.26119 # DEPENDENCYPART_ARC
(6,15),-1.06846 # DEPENDENCYPART_ARC
(6,16),-1.31626 # DEPENDENCYPART_ARC
(6,17),-0.377533 # DEPENDENCYPART_ARC
(6,18),-0.976861 # DEPENDENCYPART_ARC
(6,19),-1.3741 # DEPENDENCYPART_ARC
(6,20),-1.47597 # DEPENDENCYPART_ARC
(6,21),-1.59692 # DEPENDENCYPART_ARC
(6,22),-1.34274 # DEPENDENCYPART_ARC
(6,23),-1.3088 # DEPENDENCYPART_ARC
(6,24),-1.67889 # DEPENDENCYPART_ARC
(6,25),-1.17567 # DEPENDENCYPART_ARC
(6,26),-0.735941 # DEPENDENCYPART_ARC
(6,27),-0.66946 # DEPENDENCYPART_ARC
(7,1),-1.28931 # DEPENDENCYPART_ARC
(7,2),-1.2096 # DEPENDENCYPART_ARC
(7,3),-1.23307 # DEPENDENCYPART_ARC
(7,4),-0.652584 # DEPENDENCYPART_ARC
(7,5),-1.06369 # DEPENDENCYPART_ARC
(7,6),-0.685617 # DEPENDENCYPART_ARC
(7,8),-0.522764 # DEPENDENCYPART_ARC
(7,9),-1.61176 # DEPENDENCYPART_ARC
(7,10),-1.3108 # DEPENDENCYPART_ARC
(7,11),-1.85983 # DEPENDENCYPART_ARC
(7,12),-1.24612 # DEPENDENCYPART_ARC
(7,13),-1.9513 # DEPENDENCYPART_ARC
(7,14),-1.55593 # DEPENDENCYPART_ARC
(7,15),-1.62124 # DEPENDENCYPART_ARC
(7,16),-1.92208 # DEPENDENCYPART_ARC
(7,17),-1.55358 # DEPENDENCYPART_ARC
(7,18),-1.96328 # DEPENDENCYPART_ARC
(7,19),-2.33171 # DEPENDENCYPART_ARC
(7,20),-2.14621 # DEPENDENCYPART_ARC
(7,21),-1.64102 # DEPENDENCYPART_ARC
(7,22),-2.26257 # DEPENDENCYPART_ARC
(7,23),-2.02341 # DEPENDENCYPART_ARC
(7,24),-2.10277 # DEPENDENCYPART_ARC
(7,25),-1.57634 # DEPENDENCYPART_ARC
(7,26),-2.29927 # DEPENDENCYPART_ARC
(7,27),-2.06434 # DEPENDENCYPART_ARC
(8,1),-1.5899 # DEPENDENCYPART_ARC
(8,2),-0.685423 # DEPENDENCYPART_ARC
(8,3),-0.433223 # DEPENDENCYPART_ARC
(8,4),1.2094 # DEPENDENCYPART_ARC
(8,5),-0.164903 # DEPENDENCYPART_ARC
(8,6),0.39396 # DEPENDENCYPART_ARC
(8,7),0.504368 # DEPENDENCYPART_ARC
(8,9),0.518791 # DEPENDENCYPART_ARC
(8,10),0.0788527 # DEPENDENCYPART_ARC
(8,11),0.538638 # DEPENDENCYPART_ARC
(8,12),1.00983 # DEPENDENCYPART_ARC
(8,13),-0.59079 # DEPENDENCYPART_ARC
(8,14),-0.49991 # DEPENDENCYPART_ARC
(8,15),-0.185996 # DEPENDENCYPART_ARC
(8,16),0.471883 # DEPENDENCYPART_ARC
(8,17),-0.407326 # DEPENDENCYPART_ARC
(8,18),-0.248876 # DEPENDENCYPART_ARC
(8,19),-1.51733 # DEPENDENCYPART_ARC
(8,20),-1.09944 # DEPENDENCYPART_ARC
(8,21),-1.69483 # DEPENDENCYPART_ARC
(8,22),-1.36714 # DEPENDENCYPART_ARC
(8,23),-0.535627 # DEPENDENCYPART_ARC
(8,24),0.390748 # DEPENDENCYPART_ARC
(8,25),-0.881942 # DEPENDENCYPART_ARC
(8,26),-0.768263 # DEPENDENCYPART_ARC
(8,27),-0.917006 # DEPENDENCYPART_ARC
(9,1),-3.05208 # DEPENDENCYPART_ARC
(9,2),-1.85233 # DEPENDENCYPART_ARC
(9,3),-2.16617 # DEPENDENCYPART_ARC
(9,4),-1.66287 # DEPENDENCYPART_ARC
(9,5),-1.89228 # DEPENDENCYPART_ARC
(9,6),-1.25693 # DEPENDENCYPART_ARC
(9,7),-1.299 # DEPENDENCYPART_ARC
(9,8),-0.571922 # DEPENDENCYPART_ARC
(9,10),-0.422129 # DEPENDENCYPART_ARC
(9,11),-1.24306 # DEPENDENCYPART_ARC
(9,12),-1.38633 # DEPENDENCYPART_ARC
(9,13),-0.990047 # DEPENDENCYPART_ARC
(9,14),-1.38701 # DEPENDENCYPART_ARC
(9,15),-1.61596 # DEPENDENCYPART_ARC
(9,16),-1.68726 # DEPENDENCYPART_ARC
(9,17),-0.859464 # DEPENDENCYPART_ARC
(9,18),-1.08238 # DEPENDENCYPART_ARC
(9,19),-1.64982 # DEPENDENCYPART_ARC
(9,20),-1.89761 # DEPENDENCYPART_ARC
(9,21),-1.55118 # DEPENDENCYPART_ARC
(9,22),-1.90339 # DEPENDENCYPART_ARC
(9,23),-2.22821 # DEPENDENCYPART_ARC
(9,24),-1.30092 # DEPENDENCYPART_ARC
(9,25),-1.59551 # DEPENDENCYPART_ARC
(9,26),-1.2744 # DEPENDENCYPART_ARC
(9,27),-1.07745 # DEPENDENCYPART_ARC
(10,1),-2.15946 # DEPENDENCYPART_ARC
(10,2),-0.94395 # DEPENDENCYPART_ARC
(10,3),-2.09266 # DEPENDENCYPART_ARC
(10,4),-1.04629 # DEPENDENCYPART_ARC
(10,5),-1.26209 # DEPENDENCYPART_ARC
(10,6),-0.759955 # DEPENDENCYPART_ARC
(10,7),-0.946685 # DEPENDENCYPART_ARC
(10,8),-0.571479 # DEPENDENCYPART_ARC
(10,9),2.53758 # DEPENDENCYPART_ARC
(10,11),-0.685445 # DEPENDENCYPART_ARC
(10,12),-0.923041 # DEPENDENCYPART_ARC
(10,13),-0.897227 # DEPENDENCYPART_ARC
(10,14),-2.0602 # DEPENDENCYPART_ARC
(10,15),-1.84175 # DEPENDENCYPART_ARC
(10,16),-3.00405 # DEPENDENCYPART_ARC
(10,17),-1.28917 # DEPENDENCYPART_ARC
(10,18),-1.41093 # DEPENDENCYPART_ARC
(10,19),-2.80577 # DEPENDENCYPART_ARC
(10,20),-2.11346 # DEPENDENCYPART_ARC
(10,21),-2.6 # DEPENDENCYPART_ARC
(10,22),-2.66708 # DEPENDENCYPART_ARC
(10,23),-2.88805 # DEPENDENCYPART_ARC
(10,24),-2.91521 # DEPENDENCYPART_ARC
(10,25),-1.97948 # DEPENDENCYPART_ARC
(10,26),-1.42942 # DEPENDENCYPART_ARC
(10,27),-1.34133 # DEPENDENCYPART_ARC
(11,1),-1.77014 # DEPENDENCYPART_ARC
(11,2),-1.5161 # DEPENDENCYPART_ARC
(11,3),-1.87796 # DEPENDENCYPART_ARC
(11,4),-1.73792 # DEPENDENCYPART_ARC
(11,5),-1.41193 # DEPENDENCYPART_ARC
(11,6),-1.45819 # DEPENDENCYPART_ARC
(11,7),-1.16613 # DEPENDENCYPART_ARC
(11,8),-0.850661 # DEPENDENCYPART_ARC
(11,9),-1.18109 # DEPENDENCYPART_ARC
(11,10),-0.268026 # DEPENDENCYPART_ARC
(11,12),-0.683881 # DEPENDENCYPART_ARC
(11,13),-0.797559 # DEPENDENCYPART_ARC
(11,14),-0.336453 # DEPENDENCYPART_ARC
(11,15),-0.756812 # DEPENDENCYPART_ARC
(11,16),-1.2778 # DEPENDENCYPART_ARC
(11,17),-0.331225 # DEPENDENCYPART_ARC
(11,18),-0.755262 # DEPENDENCYPART_ARC
(11,19),-1.20958 # DEPENDENCYPART_ARC
(11,20),-1.10811 # DEPENDENCYPART_ARC
(11,21),-1.13729 # DEPENDENCYPART_ARC
(11,22),-1.19476 # DEPENDENCYPART_ARC
(11,23),-1.3988 # DEPENDENCYPART_ARC
(11,24),-1.32745 # DEPENDENCYPART_ARC
(11,25),-2.11562 # DEPENDENCYPART_ARC
(11,26),-1.29039 # DEPENDENCYPART_ARC
(11,27),-0.801462 # DEPENDENCYPART_ARC
(12,1),-0.251931 # DEPENDENCYPART_ARC
(12,2),-0.350152 # DEPENDENCYPART_ARC
(12,3),-1.92245 # DEPENDENCYPART_ARC
(12,4),-0.331947 # DEPENDENCYPART_ARC
(12,5),-0.853132 # DEPENDENCYPART_ARC
(12,6),0.0545145 # DEPENDENCYPART_ARC
(12,7),-0.886705 # DEPENDENCYPART_ARC
(12,8),-0.538719 # DEPENDENCYPART_ARC
(12,9),-0.0513077 # DEPENDENCYPART_ARC
(12,10),2.26613 # DEPENDENCYPART_ARC
(12,11),1.8006 # DEPENDENCYPART_ARC
(12,13),0.84596 # DEPENDENCYPART_ARC
(12,14),2.22779 # DEPENDENCYPART_ARC
(12,15),-1.3521 # DEPENDENCYPART_ARC
(12,16),0.543988 # DEPENDENCYPART_ARC
(12,17),-0.382301 # DEPENDENCYPART_ARC
(12,18),-0.283059 # DEPENDENCYPART_ARC
(12,19),-1.72266 # DEPENDENCYPART_ARC
(12,20),-0.390684 # DEPENDENCYPART_ARC
(12,21),-1.81188 # DEPENDENCYPART_ARC
(12,22),-1.82782 # DEPENDENCYPART_ARC
(12,23),-0.14231 # DEPENDENCYPART_ARC
(12,24),-0.529664 # DEPENDENCYPART_ARC
(12,25),-0.245347 # DEPENDENCYPART_ARC
(12,26),-0.421357 # DEPENDENCYPART_ARC
(12,27),-0.975704 # DEPENDENCYPART_ARC
(13,1),-1.10913 # DEPENDENCYPART_ARC
(13,2),-1.13086 # DEPENDENCYPART_ARC
(13,3),-1.56702 # DEPENDENCYPART_ARC
(13,4),-1.02696 # DEPENDENCYPART_ARC
(13,5),-1.13323 # DEPENDENCYPART_ARC
(13,6),-0.743531 # DEPENDENCYPART_ARC
(13,7),-1.07682 # DEPENDENCYPART_ARC
(13,8),-0.72639 # DEPENDENCYPART_ARC
(13,9),-0.886368 # DEPENDENCYPART_ARC
(13,10),-0.464614 # DEPENDENCYPART_ARC
(13,11),-0.624971 # DEPENDENCYPART_ARC
(13,12),-0.0206002 # DEPENDENCYPART_ARC
(13,14),-0.0426093 # DEPENDENCYPART_ARC
(13,15),-0.8044 # DEPENDENCYPART_ARC
(13,16),-1.18782 # DEPENDENCYPART_ARC
(13,17),-0.58837 # DEPENDENCYPART_ARC
(13,18),-0.928111 # DEPENDENCYPART_ARC
(13,19),-1.31913 # DEPENDENCYPART_ARC
(13,20),-1.39178 # DEPENDENCYPART_ARC
(13,21),-1.75455 # DEPENDENCYPART_ARC
(13,22),-1.45212 # DEPENDENCYPART_ARC
(13,23),-1.31796 # DEPENDENCYPART_ARC
(13,24),-1.68126 # DEPENDENCYPART_ARC
(13,25),-1.33035 # DEPENDENCYPART_ARC
(13,26),-1.17741 # DEPENDENCYPART_ARC
(13,27),-0.939233 # DEPENDENCYPART_ARC
(14,1),-3.74387 # DEPENDENCYPART_ARC
(14,2),-1.82624 # DEPENDENCYPART_ARC
(14,3),-2.5322 # DEPENDENCYPART_ARC
(14,4),-1.65366 # DEPENDENCYPART_ARC
(14,5),-1.90481 # DEPENDENCYPART_ARC
(14,6),-1.40541 # DEPENDENCYPART_ARC
(14,7),-1.62051 # DEPENDENCYPART_ARC
(14,8),-1.68492 # DEPENDENCYPART_ARC
(14,9),-0.228215 # DEPENDENCYPART_ARC
(14,10),-2.41721 # DEPENDENCYPART_ARC
(14,11),-0.80722 # DEPENDENCYPART_ARC
(14,12),-0.832955 # DEPENDENCYPART_ARC
(14,13),-0.0187158 # DEPENDENCYPART_ARC
(14,15),0.525663 # DEPENDENCYPART_ARC
(14,16),-1.357 # DEPENDENCYPART_ARC
(14,17),-0.801723 # DEPENDENCYPART_ARC
(14,18),-0.925599 # DEPENDENCYPART_ARC
(14,19),-1.94697 # DEPENDENCYPART_ARC
(14,20),-1.59314 # DEPENDENCYPART_ARC
(14,21),-1.26541 # DEPENDENCYPART_ARC
(14,22),-2.05288 # DEPENDENCYPART_ARC
(14,23),-1.40177 # DEPENDENCYPART_ARC
(14,24),-2.44239 # DEPENDENCYPART_ARC
(14,25),-1.57474 # DEPENDENCYPART_ARC
(14,26),-1.12261 # DEPENDENCYPART_ARC
(14,27),-1.22776 # DEPENDENCYPART_ARC
(15,1),-3.78026 # DEPENDENCYPART_ARC
(15,2),-1.71597 # DEPENDENCYPART_ARC
(15,3),-2.78552 # DEPENDENCYPART_ARC
(15,4),-1.78286 # DEPENDENCYPART_ARC
(15,5),-1.55539 # DEPENDENCYPART_ARC
(15,6),-1.02411 # DEPENDENCYPART_ARC
(15,7),-1.43662 # DEPENDENCYPART_ARC
(15,8),-1.35771 # DEPENDENCYPART_ARC
(15,9),-0.461736 # DEPENDENCYPART_ARC
(15,10),-3.30351 # DEPENDENCYPART_ARC
(15,11),-0.666771 # DEPENDENCYPART_ARC
(15,12),-1.35859 # DEPENDENCYPART_ARC
(15,13),-0.0742368 # DEPENDENCYPART_ARC
(15,14),0.672192 # DEPENDENCYPART_ARC
(15,16),-1.84508 # DEPENDENCYPART_ARC
(15,17),-0.599341 # DEPENDENCYPART_ARC
(15,18),-1.40138 # DEPENDENCYPART_ARC
(15,19),-2.97715 # DEPENDENCYPART_ARC
(15,20),-1.92472 # DEPENDENCYPART_ARC
(15,21),-2.23461 # DEPENDENCYPART_ARC
(15,22),-2.96552 # DEPENDENCYPART_ARC
(15,23),-1.6838 # DEPENDENCYPART_ARC
(15,24),-3.43922 # DEPENDENCYPART_ARC
(15,25),-2.16065 # DEPENDENCYPART_ARC
(15,26),-1.47976 # DEPENDENCYPART_ARC
(15,27),-1.53612 # DEPENDENCYPART_ARC
(16,1),0.068014 # DEPENDENCYPART_ARC
(16,2),-0.681104 # DEPENDENCYPART_ARC
(16,3),-0.943071 # DEPENDENCYPART_ARC
(16,4),-1.15947 # DEPENDENCYPART_ARC
(16,5),-1.31931 # DEPENDENCYPART_ARC
(16,6),-0.67633 # DEPENDENCYPART_ARC
(16,7),-1.69726 # DEPENDENCYPART_ARC
(16,8),-1.06843 # DEPENDENCYPART_ARC
(16,9),-0.997003 # DEPENDENCYPART_ARC
(16,10),-0.0657949 # DEPENDENCYPART_ARC
(16,11),0.0677341 # DEPENDENCYPART_ARC
(16,12),-1.25017 # DEPENDENCYPART_ARC
(16,13),0.524659 # DEPENDENCYPART_ARC
(16,14),0.710308 # DEPENDENCYPART_ARC
(16,15),2.36923 # DEPENDENCYPART_ARC
(16,17),1.2968 # DEPENDENCYPART_ARC
(16,18),-0.524157 # DEPENDENCYPART_ARC
(16,19),-1.97473 # DEPENDENCYPART_ARC
(16,20),-1.5523 # DEPENDENCYPART_ARC
(16,21),-2.30667 # DEPENDENCYPART_ARC
(16,22),-2.3781 # DEPENDENCYPART_ARC
(16,23),-2.55805 # DEPENDENCYPART_ARC
(16,24),-2.62203 # DEPENDENCYPART_ARC
(16,25),-3.54704 # DEPENDENCYPART_ARC
(16,26),-0.985165 # DEPENDENCYPART_ARC
(16,27),-1.11262 # DEPENDENCYPART_ARC
(17,1),-1.41526 # DEPENDENCYPART_ARC
(17,2),-1.33136 # DEPENDENCYPART_ARC
(17,3),-1.56205 # DEPENDENCYPART_ARC
(17,4),-1.25582 # DEPENDENCYPART_ARC
(17,5),-1.48633 # DEPENDENCYPART_ARC
(17,6),-1.49474 # DEPENDENCYPART_ARC
(17,7),-1.54203 # DEPENDENCYPART_ARC
(17,8),-0.93046 # DEPENDENCYPART_ARC
(17,9),-1.30688 # DEPENDENCYPART_ARC
(17,10),-1.02906 # DEPENDENCYPART_ARC
(17,11),-1.21215 # DEPENDENCYPART_ARC
(17,12),-0.570903 # DEPENDENCYPART_ARC
(17,13),-1.08446 # DEPENDENCYPART_ARC
(17,14),-0.584316 # DEPENDENCYPART_ARC
(17,15),-0.548704 # DEPENDENCYPART_ARC
(17,16),0.0221086 # DEPENDENCYPART_ARC
(17,18),-0.257919 # DEPENDENCYPART_ARC
(17,19),-1.3938 # DEPENDENCYPART_ARC
(17,20),-1.07206 # DEPENDENCYPART_ARC
(17,21),-0.949671 # DEPENDENCYPART_ARC
(17,22),-1.63783 # DEPENDENCYPART_ARC
(17,23),-1.28999 # DEPENDENCYPART_ARC
(17,24),-1.02298 # DEPENDENCYPART_ARC
(17,25),-1.10229 # DEPENDENCYPART_ARC
(17,26),-1.69279 # DEPENDENCYPART_ARC
(17,27),-0.924367 # DEPENDENCYPART_ARC
(18,1),-1.74128 # DEPENDENCYPART_ARC
(18,2),-1.69526 # DEPENDENCYPART_ARC
(18,3),-1.614 # DEPENDENCYPART_ARC
(18,4),-0.236225 # DEPENDENCYPART_ARC
(18,5),-1.01299 # DEPENDENCYPART_ARC
(18,6),-0.396744 # DEPENDENCYPART_ARC
(18,7),-1.53707 # DEPENDENCYPART_ARC
(18,8),0.379868 # DEPENDENCYPART_ARC
(18,9),0.380996 # DEPENDENCYPART_ARC
(18,10),-0.64665 # DEPENDENCYPART_ARC
(18,11),-0.325574 # DEPENDENCYPART_ARC
(18,12),0.94893 # DEPENDENCYPART_ARC
(18,13),-0.207971 # DEPENDENCYPART_ARC
(18,14),-0.444035 # DEPENDENCYPART_ARC
(18,15),-0.157792 # DEPENDENCYPART_ARC
(18,16),1.27376 # DEPENDENCYPART_ARC
(18,17),0.0401738 # DEPENDENCYPART_ARC
(18,19),-0.301495 # DEPENDENCYPART_ARC
(18,20),0.276166 # DEPENDENCYPART_ARC
(18,21),0.210955 # DEPENDENCYPART_ARC
(18,22),-0.763371 # DEPENDENCYPART_ARC
(18,23),0.352831 # DEPENDENCYPART_ARC
(18,24),1.38531 # DEPENDENCYPART_ARC
(18,25),-0.687948 # DEPENDENCYPART_ARC
(18,26),-0.579789 # DEPENDENCYPART_ARC
(18,27),-0.690737 # DEPENDENCYPART_ARC
(19,1),-3.13041 # DEPENDENCYPART_ARC
(19,2),-3.26489 # DEPENDENCYPART_ARC
(19,3),-3.34964 # DEPENDENCYPART_ARC
(19,4),-2.94529 # DEPENDENCYPART_ARC
(19,5),-2.76531 # DEPENDENCYPART_ARC
(19,6),-1.99322 # DEPENDENCYPART_ARC
(19,7),-2.62558 # DEPENDENCYPART_ARC
(19,8),-2.46731 # DEPENDENCYPART_ARC
