# _root_ honi oxidazio-prozesu bat eta , ondoren kondentsazioko beste bat jarraikitzen bazaio , hortik konposatu kimiko edo eraldaketaren produktu mugatu bat sortuko da .
#goldHeads=10,10,2,21,4,10,10,9,10,4,10,11,21,16,14,21,18,16,18,18,0,21,22,
#predictedHeads=10,10,2,0,4,10,10,7,10,4,10,11,21,16,14,10,16,16,18,18,19,21,22,
(7,12),-0.881077 # DEPENDENCYPART_ARC
(7,13),-0.725221 # DEPENDENCYPART_ARC
(7,14),-1.13523 # DEPENDENCYPART_ARC
(7,15),-1.48381 # DEPENDENCYPART_ARC
(7,16),-0.682367 # DEPENDENCYPART_ARC
(7,17),-1.44311 # DEPENDENCYPART_ARC
(7,18),-1.24743 # DEPENDENCYPART_ARC
(7,19),-0.998333 # DEPENDENCYPART_ARC
(7,20),-0.820367 # DEPENDENCYPART_ARC
(7,21),-1.64528 # DEPENDENCYPART_ARC
(7,22),-1.19599 # DEPENDENCYPART_ARC
(7,23),-1.21046 # DEPENDENCYPART_ARC
(8,1),-1.38717 # DEPENDENCYPART_ARC
(8,2),-1.91164 # DEPENDENCYPART_ARC
(8,3),-1.26038 # DEPENDENCYPART_ARC
(8,4),-0.910938 # DEPENDENCYPART_ARC
(8,5),-1.05701 # DEPENDENCYPART_ARC
(8,6),-0.424836 # DEPENDENCYPART_ARC
(8,7),-0.272625 # DEPENDENCYPART_ARC
(8,9),0.132261 # DEPENDENCYPART_ARC
(8,10),-0.930871 # DEPENDENCYPART_ARC
(8,11),-0.943117 # DEPENDENCYPART_ARC
(8,12),-0.465944 # DEPENDENCYPART_ARC
(8,13),-0.886102 # DEPENDENCYPART_ARC
(8,14),-1.29668 # DEPENDENCYPART_ARC
(8,15),-1.33862 # DEPENDENCYPART_ARC
(8,16),-0.827702 # DEPENDENCYPART_ARC
(8,17),-1.40595 # DEPENDENCYPART_ARC
(8,18),-1.32965 # DEPENDENCYPART_ARC
(8,19),-1.06999 # DEPENDENCYPART_ARC
(8,20),-1.38383 # DEPENDENCYPART_ARC
(8,21),-1.42083 # DEPENDENCYPART_ARC
(8,22),-1.43956 # DEPENDENCYPART_ARC
(8,23),-1.06238 # DEPENDENCYPART_ARC
(9,1),-1.19973 # DEPENDENCYPART_ARC
(9,2),-1.30128 # DEPENDENCYPART_ARC
(9,3),-0.621936 # DEPENDENCYPART_ARC
(9,4),-0.472871 # DEPENDENCYPART_ARC
(9,5),-0.708232 # DEPENDENCYPART_ARC
(9,6),-0.118225 # DEPENDENCYPART_ARC
(9,7),-0.208232 # DEPENDENCYPART_ARC
(9,8),1.10093 # DEPENDENCYPART_ARC
(9,10),-0.654615 # DEPENDENCYPART_ARC
(9,11),-1.07566 # DEPENDENCYPART_ARC
(9,12),-0.162336 # DEPENDENCYPART_ARC
(9,13),-0.593169 # DEPENDENCYPART_ARC
(9,14),-0.956093 # DEPENDENCYPART_ARC
(9,15),-1.13774 # DEPENDENCYPART_ARC
(9,16),-0.35337 # DEPENDENCYPART_ARC
(9,17),-1.43026 # DEPENDENCYPART_ARC
(9,18),-1.40126 # DEPENDENCYPART_ARC
(9,19),-1.20556 # DEPENDENCYPART_ARC
(9,20),-1.15966 # DEPENDENCYPART_ARC
(9,21),-1.64988 # DEPENDENCYPART_ARC
(9,22),-1.48873 # DEPENDENCYPART_ARC
(9,23),-1.00262 # DEPENDENCYPART_ARC
(10,1),0.317339 # DEPENDENCYPART_ARC
(10,2),0.719331 # DEPENDENCYPART_ARC
(10,3),-0.660253 # DEPENDENCYPART_ARC
(10,4),0.189322 # DEPENDENCYPART_ARC
(10,5),-0.941001 # DEPENDENCYPART_ARC
(10,6),1.03023 # DEPENDENCYPART_ARC
(10,7),1.4792 # DEPENDENCYPART_ARC
(10,8),0.123278 # DEPENDENCYPART_ARC
(10,9),0.993691 # DEPENDENCYPART_ARC
(10,11),3.50957 # DEPENDENCYPART_ARC
(10,12),0.142927 # DEPENDENCYPART_ARC
(10,13),0.497534 # DEPENDENCYPART_ARC
(10,14),0.12591 # DEPENDENCYPART_ARC
(10,15),-0.269822 # DEPENDENCYPART_ARC
(10,16),0.493996 # DEPENDENCYPART_ARC
(10,17),-1.53042 # DEPENDENCYPART_ARC
(10,18),-1.06118 # DEPENDENCYPART_ARC
(10,19),0.100927 # DEPENDENCYPART_ARC
(10,20),-1.14024 # DEPENDENCYPART_ARC
(10,21),-0.400568 # DEPENDENCYPART_ARC
(10,22),-0.254394 # DEPENDENCYPART_ARC
(10,23),-0.979796 # DEPENDENCYPART_ARC
(11,1),-1.19135 # DEPENDENCYPART_ARC
(11,2),-0.804902 # DEPENDENCYPART_ARC
(11,3),-1.37857 # DEPENDENCYPART_ARC
(11,4),-1.39542 # DEPENDENCYPART_ARC
(11,5),-1.25044 # DEPENDENCYPART_ARC
(11,6),-0.811759 # DEPENDENCYPART_ARC
(11,7),-0.570665 # DEPENDENCYPART_ARC
(11,8),-0.678283 # DEPENDENCYPART_ARC
(11,9),-0.70102 # DEPENDENCYPART_ARC
(11,10),-0.707952 # DEPENDENCYPART_ARC
(11,12),1.84911 # DEPENDENCYPART_ARC
(11,13),-0.525662 # DEPENDENCYPART_ARC
(11,14),-0.908463 # DEPENDENCYPART_ARC
(11,15),-0.951319 # DEPENDENCYPART_ARC
(11,16),-0.920689 # DEPENDENCYPART_ARC
(11,17),-1.82852 # DEPENDENCYPART_ARC
(11,18),-1.64696 # DEPENDENCYPART_ARC
(11,19),-1.48152 # DEPENDENCYPART_ARC
(11,20),-1.20216 # DEPENDENCYPART_ARC
(11,21),-1.55106 # DEPENDENCYPART_ARC
(11,22),-0.987454 # DEPENDENCYPART_ARC
(11,23),-0.38854 # DEPENDENCYPART_ARC
(12,1),-1.62375 # DEPENDENCYPART_ARC
(12,2),-0.934483 # DEPENDENCYPART_ARC
(12,3),-1.43495 # DEPENDENCYPART_ARC
(12,4),-0.598171 # DEPENDENCYPART_ARC
(12,5),-1.07754 # DEPENDENCYPART_ARC
(12,6),-0.896441 # DEPENDENCYPART_ARC
(12,7),-0.651538 # DEPENDENCYPART_ARC
(12,8),-1.15105 # DEPENDENCYPART_ARC
(12,9),-0.927225 # DEPENDENCYPART_ARC
(12,10),-0.0105473 # DEPENDENCYPART_ARC
(12,11),0.284954 # DEPENDENCYPART_ARC
(12,13),-0.742064 # DEPENDENCYPART_ARC
(12,14),-1.19817 # DEPENDENCYPART_ARC
(12,15),-0.953604 # DEPENDENCYPART_ARC
(12,16),-0.913941 # DEPENDENCYPART_ARC
(12,17),-1.24661 # DEPENDENCYPART_ARC
(12,18),-1.3507 # DEPENDENCYPART_ARC
(12,19),-1.11342 # DEPENDENCYPART_ARC
(12,20),-1.66463 # DEPENDENCYPART_ARC
(12,21),-1.06913 # DEPENDENCYPART_ARC
(12,22),-0.865107 # DEPENDENCYPART_ARC
(12,23),-0.972533 # DEPENDENCYPART_ARC
(13,1),-1.59124 # DEPENDENCYPART_ARC
(13,2),-1.23707 # DEPENDENCYPART_ARC
(13,3),-1.41674 # DEPENDENCYPART_ARC
(13,4),-0.941713 # DEPENDENCYPART_ARC
(13,5),-1.29924 # DEPENDENCYPART_ARC
(13,6),-1.01008 # DEPENDENCYPART_ARC
(13,7),-1.20277 # DEPENDENCYPART_ARC
(13,8),-1.22067 # DEPENDENCYPART_ARC
(13,9),-1.16067 # DEPENDENCYPART_ARC
(13,10),-0.582102 # DEPENDENCYPART_ARC
(13,11),-0.888343 # DEPENDENCYPART_ARC
(13,12),-0.160855 # DEPENDENCYPART_ARC
(13,14),-0.209361 # DEPENDENCYPART_ARC
(13,15),-0.790448 # DEPENDENCYPART_ARC
(13,16),-0.757329 # DEPENDENCYPART_ARC
(13,17),-1.01897 # DEPENDENCYPART_ARC
(13,18),-0.95174 # DEPENDENCYPART_ARC
(13,19),-1.4289 # DEPENDENCYPART_ARC
(13,20),-1.45592 # DEPENDENCYPART_ARC
(13,21),-1.65931 # DEPENDENCYPART_ARC
(13,22),-1.28981 # DEPENDENCYPART_ARC
(13,23),-0.769694 # DEPENDENCYPART_ARC
(14,1),-1.45881 # DEPENDENCYPART_ARC
(14,2),-2.03595 # DEPENDENCYPART_ARC
(14,3),-1.52016 # DEPENDENCYPART_ARC
(14,4),-1.25165 # DEPENDENCYPART_ARC
(14,5),-2.02074 # DEPENDENCYPART_ARC
(14,6),-1.49051 # DEPENDENCYPART_ARC
(14,7),-1.4353 # DEPENDENCYPART_ARC
(14,8),-0.523412 # DEPENDENCYPART_ARC
(14,9),-0.936618 # DEPENDENCYPART_ARC
(14,10),-0.684333 # DEPENDENCYPART_ARC
(14,11),-0.923593 # DEPENDENCYPART_ARC
(14,12),-0.993945 # DEPENDENCYPART_ARC
(14,13),-0.0574703 # DEPENDENCYPART_ARC
(14,15),2.2068 # DEPENDENCYPART_ARC
(14,16),0.480539 # DEPENDENCYPART_ARC
(14,17),-0.0739973 # DEPENDENCYPART_ARC
(14,18),0.0148193 # DEPENDENCYPART_ARC
(14,19),-0.0245719 # DEPENDENCYPART_ARC
(14,20),0.571716 # DEPENDENCYPART_ARC
(14,21),-0.706467 # DEPENDENCYPART_ARC
(14,22),-0.615524 # DEPENDENCYPART_ARC
(14,23),-0.357392 # DEPENDENCYPART_ARC
(15,1),-1.95741 # DEPENDENCYPART_ARC
(15,2),-2.12104 # DEPENDENCYPART_ARC
(15,3),-1.86699 # DEPENDENCYPART_ARC
(15,4),-1.70602 # DEPENDENCYPART_ARC
(15,5),-1.91135 # DEPENDENCYPART_ARC
(15,6),-0.93333 # DEPENDENCYPART_ARC
(15,7),-1.88168 # DEPENDENCYPART_ARC
(15,8),-1.20116 # DEPENDENCYPART_ARC
(15,9),-1.58325 # DEPENDENCYPART_ARC
(15,10),-1.30572 # DEPENDENCYPART_ARC
(15,11),-1.22572 # DEPENDENCYPART_ARC
(15,12),-1.29059 # DEPENDENCYPART_ARC
(15,13),-0.244152 # DEPENDENCYPART_ARC
(15,14),-0.130547 # DEPENDENCYPART_ARC
(15,16),-0.106851 # DEPENDENCYPART_ARC
(15,17),-0.773769 # DEPENDENCYPART_ARC
(15,18),-1.03371 # DEPENDENCYPART_ARC
(15,19),-0.861417 # DEPENDENCYPART_ARC
(15,20),-1.06742 # DEPENDENCYPART_ARC
(15,21),-1.22234 # DEPENDENCYPART_ARC
(15,22),-1.28637 # DEPENDENCYPART_ARC
(15,23),-0.766677 # DEPENDENCYPART_ARC
(16,1),-1.13227 # DEPENDENCYPART_ARC
(16,2),-0.704662 # DEPENDENCYPART_ARC
(16,3),-0.953687 # DEPENDENCYPART_ARC
(16,4),-0.862263 # DEPENDENCYPART_ARC
(16,5),-1.19689 # DEPENDENCYPART_ARC
(16,6),-0.25551 # DEPENDENCYPART_ARC
(16,7),-0.239945 # DEPENDENCYPART_ARC
(16,8),-0.578861 # DEPENDENCYPART_ARC
(16,9),-0.685258 # DEPENDENCYPART_ARC
(16,10),-0.296004 # DEPENDENCYPART_ARC
(16,11),-0.143144 # DEPENDENCYPART_ARC
(16,12),-0.735203 # DEPENDENCYPART_ARC
(16,13),0.18331 # DEPENDENCYPART_ARC
(16,14),1.12207 # DEPENDENCYPART_ARC
(16,15),1.13544 # DEPENDENCYPART_ARC
(16,17),1.71427 # DEPENDENCYPART_ARC
(16,18),0.832893 # DEPENDENCYPART_ARC
(16,19),-0.17946 # DEPENDENCYPART_ARC
(16,20),0.248787 # DEPENDENCYPART_ARC
(16,21),-0.11352 # DEPENDENCYPART_ARC
(16,22),-0.266966 # DEPENDENCYPART_ARC
(16,23),-0.0193565 # DEPENDENCYPART_ARC
(17,1),-4.12825 # DEPENDENCYPART_ARC
(17,2),-1.78444 # DEPENDENCYPART_ARC
(17,3),-3.7802 # DEPENDENCYPART_ARC
(17,4),-2.13577 # DEPENDENCYPART_ARC
(17,5),-2.49189 # DEPENDENCYPART_ARC
(17,6),-1.83683 # DEPENDENCYPART_ARC
(17,7),-1.429 # DEPENDENCYPART_ARC
(17,8),-0.900423 # DEPENDENCYPART_ARC
(17,9),-3.48 # DEPENDENCYPART_ARC
(17,10),-1.42562 # DEPENDENCYPART_ARC
(17,11),-2.39484 # DEPENDENCYPART_ARC
(17,12),-2.00972 # DEPENDENCYPART_ARC
(17,13),-1.83883 # DEPENDENCYPART_ARC
(17,14),-0.694867 # DEPENDENCYPART_ARC
(17,15),-0.310376 # DEPENDENCYPART_ARC
(17,16),-0.0611759 # DEPENDENCYPART_ARC
(17,18),0.764148 # DEPENDENCYPART_ARC
(17,19),-1.12544 # DEPENDENCYPART_ARC
(17,20),-1.89033 # DEPENDENCYPART_ARC
(17,21),-2.15898 # DEPENDENCYPART_ARC
(17,22),-1.71766 # DEPENDENCYPART_ARC
(17,23),-0.923227 # DEPENDENCYPART_ARC
(18,1),-2.72333 # DEPENDENCYPART_ARC
(18,2),-1.54328 # DEPENDENCYPART_ARC
(18,3),-2.27331 # DEPENDENCYPART_ARC
(18,4),-1.24532 # DEPENDENCYPART_ARC
(18,5),-1.75197 # DEPENDENCYPART_ARC
(18,6),-0.941715 # DEPENDENCYPART_ARC
(18,7),-1.04791 # DEPENDENCYPART_ARC
(18,8),-0.124243 # DEPENDENCYPART_ARC
(18,9),-2.06802 # DEPENDENCYPART_ARC
(18,10),-0.764563 # DEPENDENCYPART_ARC
(18,11),-1.44968 # DEPENDENCYPART_ARC
(18,12),-1.39125 # DEPENDENCYPART_ARC
(18,13),-0.716805 # DEPENDENCYPART_ARC
(18,14),-0.0760597 # DEPENDENCYPART_ARC
(18,15),-0.351302 # DEPENDENCYPART_ARC
(18,16),0.236905 # DEPENDENCYPART_ARC
(18,17),1.35573 # DEPENDENCYPART_ARC
(18,19),1.02796 # DEPENDENCYPART_ARC
(18,20),1.60236 # DEPENDENCYPART_ARC
(18,21),-0.760117 # DEPENDENCYPART_ARC
(18,22),-0.730061 # DEPENDENCYPART_ARC
(18,23),-0.604724 # DEPENDENCYPART_ARC
(19,1),-1.35063 # DEPENDENCYPART_ARC
(19,2),-1.8541 # DEPENDENCYPART_ARC
(19,3),-2.21931 # DEPENDENCYPART_ARC
(19,4),-1.4483 # DEPENDENCYPART_ARC
(19,5),-2.62985 # DEPENDENCYPART_ARC
(19,6),-0.335328 # DEPENDENCYPART_ARC
(19,7),-1.67541 # DEPENDENCYPART_ARC
(19,8),-1.92412 # DEPENDENCYPART_ARC
(19,9),-1.75324 # DEPENDENCYPART_ARC
(19,10),-1.22487 # DEPENDENCYPART_ARC
(19,11),-0.907898 # DEPENDENCYPART_ARC
(19,12),-2.21188 # DEPENDENCYPART_ARC
(19,13),-0.184788 # DEPENDENCYPART_ARC
(19,14),-0.762629 # DEPENDENCYPART_ARC
(19,15),-0.90702 # DEPENDENCYPART_ARC
(19,16),-0.240362 # DEPENDENCYPART_ARC
(19,17),-0.163674 # DEPENDENCYPART_ARC
(19,18),1.00594 # DEPENDENCYPART_ARC
(19,20),0.886016 # DEPENDENCYPART_ARC
(19,21),0.333729 # DEPENDENCYPART_ARC
(19,22),0.564969 # DEPENDENCYPART_ARC
(19,23),-0.549827 # DEPENDENCYPART_ARC
(20,1),-2.37758 # DEPENDENCYPART_ARC
(20,2),-2.17837 # DEPENDENCYPART_ARC
(20,3),-1.74282 # DEPENDENCYPART_ARC
(20,4),-1.58042 # DEPENDENCYPART_ARC
(20,5),-1.78889 # DEPENDENCYPART_ARC
(20,6),-1.09887 # DEPENDENCYPART_ARC
(20,7),-1.86783 # DEPENDENCYPART_ARC
(20,8),-1.50702 # DEPENDENCYPART_ARC
(20,9),-1.6081 # DEPENDENCYPART_ARC
(20,10),-1.50965 # DEPENDENCYPART_ARC
(20,11),-2.07115 # DEPENDENCYPART_ARC
(20,12),-1.56695 # DEPENDENCYPART_ARC
(20,13),-0.743825 # DEPENDENCYPART_ARC
(20,14),-1.7151 # DEPENDENCYPART_ARC
(20,15),-1.88785 # DEPENDENCYPART_ARC
(20,16),-1.12636 # DEPENDENCYPART_ARC
(20,17),-0.683603 # DEPENDENCYPART_ARC
(20,18),-0.939382 # DEPENDENCYPART_ARC
(20,19),0.0211446 # DEPENDENCYPART_ARC
(20,21),-0.696288 # DEPENDENCYPART_ARC
(20,22),-0.737745 # DEPENDENCYPART_ARC
(20,23),-0.376296 # DEPENDENCYPART_ARC
(21,1),0.185165 # DEPENDENCYPART_ARC
(21,2),-0.257787 # DEPENDENCYPART_ARC
(21,3),-1.04454 # DEPENDENCYPART_ARC
(21,4),-0.500303 # DEPENDENCYPART_ARC
(21,5),-1.76279 # DEPENDENCYPART_ARC
(21,6),0.889577 # DEPENDENCYPART_ARC
(21,7),-0.205071 # DEPENDENCYPART_ARC
(21,8),-0.927467 # DEPENDENCYPART_ARC
(21,9),-0.925791 # DEPENDENCYPART_ARC
(21,10),-0.343154 # DEPENDENCYPART_ARC
(21,11),0.0394779 # DEPENDENCYPART_ARC
(21,12),-1.29057 # DEPENDENCYPART_ARC
(21,13),1.02946 # DEPENDENCYPART_ARC
(21,14),0.33316 # DEPENDENCYPART_ARC
(21,15),-0.722064 # DEPENDENCYPART_ARC
(21,16),0.411575 # DEPENDENCYPART_ARC
(21,17),-0.181163 # DEPENDENCYPART_ARC
(21,18),0.679823 # DEPENDENCYPART_ARC
(21,19),1.04885 # DEPENDENCYPART_ARC
(21,20),0.636984 # DEPENDENCYPART_ARC
(21,22),2.52015 # DEPENDENCYPART_ARC
(21,23),0.364458 # DEPENDENCYPART_ARC
(22,1),-1.07525 # DEPENDENCYPART_ARC
(22,2),-0.836098 # DEPENDENCYPART_ARC
(22,3),-1.24652 # DEPENDENCYPART_ARC
(22,4),-1.01682 # DEPENDENCYPART_ARC
(22,5),-2.37101 # DEPENDENCYPART_ARC
(22,6),-1.66014 # DEPENDENCYPART_ARC
(22,7),-1.16819 # DEPENDENCYPART_ARC
(22,8),-1.35585 # DEPENDENCYPART_ARC
(22,9),-1.11778 # DEPENDENCYPART_ARC
(22,10),-2.15962 # DEPENDENCYPART_ARC
(22,11),-1.35818 # DEPENDENCYPART_ARC
(22,12),-2.00384 # DEPENDENCYPART_ARC
(22,13),-1.40274 # DEPENDENCYPART_ARC
(22,14),-0.994645 # DEPENDENCYPART_ARC
(22,15),-1.4673 # DEPENDENCYPART_ARC
(22,16),-1.32864 # DEPENDENCYPART_ARC
(22,17),-0.854572 # DEPENDENCYPART_ARC
(22,18),-0.654017 # DEPENDENCYPART_ARC
(22,19),-1.4687 # DEPENDENCYPART_ARC
(22,20),-0.413333 # DEPENDENCYPART_ARC
