# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,0,4,5,10,10,10,11,4,13,14,11,14,14,16,0,23,19,23,23,11,23,
(1,14),-1.92002 # DEPENDENCYPART_ARC
(1,15),-2.13334 # DEPENDENCYPART_ARC
(1,16),-2.09629 # DEPENDENCYPART_ARC
(1,17),-2.12037 # DEPENDENCYPART_ARC
(1,18),-1.69742 # DEPENDENCYPART_ARC
(1,19),-2.63015 # DEPENDENCYPART_ARC
(1,20),-2.33809 # DEPENDENCYPART_ARC
(1,21),-1.79483 # DEPENDENCYPART_ARC
(1,22),-1.96371 # DEPENDENCYPART_ARC
(1,23),-1.86176 # DEPENDENCYPART_ARC
(1,24),-2.53673 # DEPENDENCYPART_ARC
(2,1),2.26846 # DEPENDENCYPART_ARC
(2,3),0.465019 # DEPENDENCYPART_ARC
(2,4),-1.27545 # DEPENDENCYPART_ARC
(2,5),-1.21301 # DEPENDENCYPART_ARC
(2,6),-0.903251 # DEPENDENCYPART_ARC
(2,7),-1.26275 # DEPENDENCYPART_ARC
(2,8),-1.59317 # DEPENDENCYPART_ARC
(2,9),-1.02256 # DEPENDENCYPART_ARC
(2,10),-1.06786 # DEPENDENCYPART_ARC
(2,11),-0.676761 # DEPENDENCYPART_ARC
(2,12),-2.36403 # DEPENDENCYPART_ARC
(2,13),-1.89923 # DEPENDENCYPART_ARC
(2,14),-1.88916 # DEPENDENCYPART_ARC
(2,15),-0.667389 # DEPENDENCYPART_ARC
(2,16),-2.27805 # DEPENDENCYPART_ARC
(2,17),-1.39005 # DEPENDENCYPART_ARC
(2,18),-1.15803 # DEPENDENCYPART_ARC
(2,19),-2.3101 # DEPENDENCYPART_ARC
(2,20),-2.74094 # DEPENDENCYPART_ARC
(2,21),-1.36583 # DEPENDENCYPART_ARC
(2,22),-1.39685 # DEPENDENCYPART_ARC
(2,23),-1.59151 # DEPENDENCYPART_ARC
(2,24),-1.4978 # DEPENDENCYPART_ARC
(3,1),-0.602755 # DEPENDENCYPART_ARC
(3,2),-0.115912 # DEPENDENCYPART_ARC
(3,4),-0.40975 # DEPENDENCYPART_ARC
(3,5),-0.391778 # DEPENDENCYPART_ARC
(3,6),-0.213354 # DEPENDENCYPART_ARC
(3,7),-1.15775 # DEPENDENCYPART_ARC
(3,8),-1.0774 # DEPENDENCYPART_ARC
(3,9),-0.668988 # DEPENDENCYPART_ARC
(3,10),-1.3687 # DEPENDENCYPART_ARC
(3,11),-0.888864 # DEPENDENCYPART_ARC
(3,12),-1.35614 # DEPENDENCYPART_ARC
(3,13),-1.23803 # DEPENDENCYPART_ARC
(3,14),-1.68888 # DEPENDENCYPART_ARC
(3,15),-1.20751 # DEPENDENCYPART_ARC
(3,16),-1.57493 # DEPENDENCYPART_ARC
(3,17),-1.10263 # DEPENDENCYPART_ARC
(3,18),-1.2755 # DEPENDENCYPART_ARC
(3,19),-1.53034 # DEPENDENCYPART_ARC
(3,20),-1.8944 # DEPENDENCYPART_ARC
(3,21),-0.803356 # DEPENDENCYPART_ARC
(3,22),-0.902296 # DEPENDENCYPART_ARC
(3,23),-1.81232 # DEPENDENCYPART_ARC
(3,24),-1.36277 # DEPENDENCYPART_ARC
(4,1),0.490257 # DEPENDENCYPART_ARC
(4,2),1.78637 # DEPENDENCYPART_ARC
(4,3),1.4877 # DEPENDENCYPART_ARC
(4,5),2.54863 # DEPENDENCYPART_ARC
(4,6),-0.230662 # DEPENDENCYPART_ARC
(4,7),-0.187415 # DEPENDENCYPART_ARC
(4,8),0.0856103 # DEPENDENCYPART_ARC
(4,9),-0.848427 # DEPENDENCYPART_ARC
(4,10),-0.0246249 # DEPENDENCYPART_ARC
(4,11),0.0705909 # DEPENDENCYPART_ARC
(4,12),-1.74285 # DEPENDENCYPART_ARC
(4,13),-0.846467 # DEPENDENCYPART_ARC
(4,14),-0.858583 # DEPENDENCYPART_ARC
(4,15),-0.189892 # DEPENDENCYPART_ARC
(4,16),-0.0938514 # DEPENDENCYPART_ARC
(4,17),-0.997693 # DEPENDENCYPART_ARC
(4,18),-0.473412 # DEPENDENCYPART_ARC
(4,19),-1.89834 # DEPENDENCYPART_ARC
(4,20),-1.59203 # DEPENDENCYPART_ARC
(4,21),-1.8923 # DEPENDENCYPART_ARC
(4,22),-1.93941 # DEPENDENCYPART_ARC
(4,23),-0.48249 # DEPENDENCYPART_ARC
(4,24),-1.28405 # DEPENDENCYPART_ARC
(5,1),-1.16962 # DEPENDENCYPART_ARC
(5,2),-0.453759 # DEPENDENCYPART_ARC
(5,3),-0.59884 # DEPENDENCYPART_ARC
(5,4),-1.01486 # DEPENDENCYPART_ARC
(5,6),1.40999 # DEPENDENCYPART_ARC
(5,7),-1.49975 # DEPENDENCYPART_ARC
(5,8),-1.46512 # DEPENDENCYPART_ARC
(5,9),-0.777039 # DEPENDENCYPART_ARC
(5,10),-1.38455 # DEPENDENCYPART_ARC
(5,11),-1.35781 # DEPENDENCYPART_ARC
(5,12),-2.21419 # DEPENDENCYPART_ARC
(5,13),-2.26235 # DEPENDENCYPART_ARC
(5,14),-1.97108 # DEPENDENCYPART_ARC
(5,15),-0.951439 # DEPENDENCYPART_ARC
(5,16),-2.18985 # DEPENDENCYPART_ARC
(5,17),-1.21841 # DEPENDENCYPART_ARC
(5,18),-1.50654 # DEPENDENCYPART_ARC
(5,19),-2.63899 # DEPENDENCYPART_ARC
(5,20),-2.15203 # DEPENDENCYPART_ARC
(5,21),-0.997103 # DEPENDENCYPART_ARC
(5,22),-1.13027 # DEPENDENCYPART_ARC
(5,23),-1.95418 # DEPENDENCYPART_ARC
(5,24),-1.66544 # DEPENDENCYPART_ARC
(6,1),-1.41757 # DEPENDENCYPART_ARC
(6,2),-0.472538 # DEPENDENCYPART_ARC
(6,3),-0.692745 # DEPENDENCYPART_ARC
(6,4),-0.0924456 # DEPENDENCYPART_ARC
(6,5),0.319305 # DEPENDENCYPART_ARC
(6,7),-0.754117 # DEPENDENCYPART_ARC
(6,8),-1.24917 # DEPENDENCYPART_ARC
(6,9),-1.3479 # DEPENDENCYPART_ARC
(6,10),-0.89428 # DEPENDENCYPART_ARC
(6,11),-1.20905 # DEPENDENCYPART_ARC
(6,12),-1.55225 # DEPENDENCYPART_ARC
(6,13),-1.59822 # DEPENDENCYPART_ARC
(6,14),-1.28064 # DEPENDENCYPART_ARC
(6,15),-1.00987 # DEPENDENCYPART_ARC
(6,16),-1.85627 # DEPENDENCYPART_ARC
(6,17),-1.17768 # DEPENDENCYPART_ARC
(6,18),-1.38443 # DEPENDENCYPART_ARC
(6,19),-2.43799 # DEPENDENCYPART_ARC
(6,20),-1.32333 # DEPENDENCYPART_ARC
(6,21),-1.65561 # DEPENDENCYPART_ARC
(6,22),-1.81059 # DEPENDENCYPART_ARC
(6,23),-2.02123 # DEPENDENCYPART_ARC
(6,24),-1.61273 # DEPENDENCYPART_ARC
(7,1),-0.56817 # DEPENDENCYPART_ARC
(7,2),-1.85374 # DEPENDENCYPART_ARC
(7,3),-1.39032 # DEPENDENCYPART_ARC
(7,4),-1.00842 # DEPENDENCYPART_ARC
(7,5),-1.41212 # DEPENDENCYPART_ARC
(7,6),-0.113477 # DEPENDENCYPART_ARC
(7,8),0.0406755 # DEPENDENCYPART_ARC
(7,9),-0.571092 # DEPENDENCYPART_ARC
(7,10),-1.49641 # DEPENDENCYPART_ARC
(7,11),-1.38228 # DEPENDENCYPART_ARC
(7,12),-2.61516 # DEPENDENCYPART_ARC
(7,13),-1.50117 # DEPENDENCYPART_ARC
(7,14),-1.83226 # DEPENDENCYPART_ARC
(7,15),-0.92043 # DEPENDENCYPART_ARC
(7,16),-2.17199 # DEPENDENCYPART_ARC
(7,17),-1.24583 # DEPENDENCYPART_ARC
(7,18),-1.36738 # DEPENDENCYPART_ARC
(7,19),-2.89709 # DEPENDENCYPART_ARC
(7,20),-3.14313 # DEPENDENCYPART_ARC
(7,21),-1.50965 # DEPENDENCYPART_ARC
(7,22),-2.05981 # DEPENDENCYPART_ARC
(7,23),-2.08937 # DEPENDENCYPART_ARC
(7,24),-1.3386 # DEPENDENCYPART_ARC
(8,1),-0.711746 # DEPENDENCYPART_ARC
(8,2),-2.48445 # DEPENDENCYPART_ARC
(8,3),-1.2855 # DEPENDENCYPART_ARC
(8,4),-1.08702 # DEPENDENCYPART_ARC
(8,5),-1.97989 # DEPENDENCYPART_ARC
(8,6),-1.00198 # DEPENDENCYPART_ARC
(8,7),-0.0631795 # DEPENDENCYPART_ARC
(8,9),0.363194 # DEPENDENCYPART_ARC
(8,10),-0.824097 # DEPENDENCYPART_ARC
(8,11),-0.823935 # DEPENDENCYPART_ARC
(8,12),-1.85158 # DEPENDENCYPART_ARC
(8,13),-1.11296 # DEPENDENCYPART_ARC
(8,14),-1.57209 # DEPENDENCYPART_ARC
(8,15),-1.64311 # DEPENDENCYPART_ARC
(8,16),-1.96988 # DEPENDENCYPART_ARC
(8,17),-1.02517 # DEPENDENCYPART_ARC
(8,18),-0.837415 # DEPENDENCYPART_ARC
(8,19),-2.10628 # DEPENDENCYPART_ARC
(8,20),-3.02194 # DEPENDENCYPART_ARC
(8,21),-1.45161 # DEPENDENCYPART_ARC
(8,22),-1.69616 # DEPENDENCYPART_ARC
(8,23),-1.59815 # DEPENDENCYPART_ARC
(8,24),-1.3592 # DEPENDENCYPART_ARC
(9,1),-1.18931 # DEPENDENCYPART_ARC
(9,2),-1.24777 # DEPENDENCYPART_ARC
(9,3),-0.806557 # DEPENDENCYPART_ARC
(9,4),-1.0487 # DEPENDENCYPART_ARC
(9,5),-1.02583 # DEPENDENCYPART_ARC
(9,6),-0.989834 # DEPENDENCYPART_ARC
(9,7),-0.377175 # DEPENDENCYPART_ARC
(9,8),0.0391285 # DEPENDENCYPART_ARC
(9,10),-0.283684 # DEPENDENCYPART_ARC
(9,11),-0.606973 # DEPENDENCYPART_ARC
(9,12),-0.860841 # DEPENDENCYPART_ARC
(9,13),-0.884613 # DEPENDENCYPART_ARC
(9,14),-1.40342 # DEPENDENCYPART_ARC
(9,15),-1.02514 # DEPENDENCYPART_ARC
(9,16),-1.06897 # DEPENDENCYPART_ARC
(9,17),-0.69937 # DEPENDENCYPART_ARC
(9,18),-1.11228 # DEPENDENCYPART_ARC
(9,19),-1.27981 # DEPENDENCYPART_ARC
(9,20),-1.64206 # DEPENDENCYPART_ARC
(9,21),-0.844071 # DEPENDENCYPART_ARC
(9,22),-1.03318 # DEPENDENCYPART_ARC
(9,23),-1.82316 # DEPENDENCYPART_ARC
(9,24),-0.89839 # DEPENDENCYPART_ARC
(10,1),-0.315073 # DEPENDENCYPART_ARC
(10,2),0.0180761 # DEPENDENCYPART_ARC
(10,3),0.133142 # DEPENDENCYPART_ARC
(10,4),-0.0745613 # DEPENDENCYPART_ARC
(10,5),-0.356054 # DEPENDENCYPART_ARC
(10,6),-1.0298 # DEPENDENCYPART_ARC
(10,7),1.46137 # DEPENDENCYPART_ARC
(10,8),2.13795 # DEPENDENCYPART_ARC
(10,9),1.70367 # DEPENDENCYPART_ARC
(10,11),0.413081 # DEPENDENCYPART_ARC
(10,12),-0.520216 # DEPENDENCYPART_ARC
(10,13),-0.252344 # DEPENDENCYPART_ARC
(10,14),-0.781544 # DEPENDENCYPART_ARC
(10,15),0.726436 # DEPENDENCYPART_ARC
(10,16),-0.237392 # DEPENDENCYPART_ARC
(10,17),-0.955633 # DEPENDENCYPART_ARC
(10,18),-0.341146 # DEPENDENCYPART_ARC
(10,19),-1.71393 # DEPENDENCYPART_ARC
(10,20),-1.4986 # DEPENDENCYPART_ARC
(10,21),-1.55217 # DEPENDENCYPART_ARC
(10,22),-1.74636 # DEPENDENCYPART_ARC
(10,23),-1.13547 # DEPENDENCYPART_ARC
(10,24),-1.34734 # DEPENDENCYPART_ARC
(11,1),-0.712416 # DEPENDENCYPART_ARC
(11,2),-1.00884 # DEPENDENCYPART_ARC
(11,3),-0.537854 # DEPENDENCYPART_ARC
(11,4),0.280488 # DEPENDENCYPART_ARC
(11,5),-1.14326 # DEPENDENCYPART_ARC
(11,6),-1.51707 # DEPENDENCYPART_ARC
(11,7),-0.226595 # DEPENDENCYPART_ARC
(11,8),-0.224553 # DEPENDENCYPART_ARC
(11,9),-0.0973903 # DEPENDENCYPART_ARC
(11,10),2.20889 # DEPENDENCYPART_ARC
(11,12),-0.0784406 # DEPENDENCYPART_ARC
(11,13),0.371434 # DEPENDENCYPART_ARC
(11,14),1.0906 # DEPENDENCYPART_ARC
(11,15),-0.366292 # DEPENDENCYPART_ARC
(11,16),-0.512279 # DEPENDENCYPART_ARC
(11,17),-0.7091 # DEPENDENCYPART_ARC
(11,18),-0.764987 # DEPENDENCYPART_ARC
(11,19),-1.60619 # DEPENDENCYPART_ARC
(11,20),-0.850925 # DEPENDENCYPART_ARC
(11,21),-0.622764 # DEPENDENCYPART_ARC
(11,22),-0.733878 # DEPENDENCYPART_ARC
(11,23),0.358047 # DEPENDENCYPART_ARC
(11,24),-1.47865 # DEPENDENCYPART_ARC
(12,1),-2.1865 # DEPENDENCYPART_ARC
(12,2),-3.80738 # DEPENDENCYPART_ARC
(12,3),-2.42834 # DEPENDENCYPART_ARC
(12,4),-3.0102 # DEPENDENCYPART_ARC
(12,5),-3.2822 # DEPENDENCYPART_ARC
(12,6),-2.44368 # DEPENDENCYPART_ARC
(12,7),-3.68594 # DEPENDENCYPART_ARC
(12,8),-3.80181 # DEPENDENCYPART_ARC
(12,9),-1.66608 # DEPENDENCYPART_ARC
(12,10),-0.849191 # DEPENDENCYPART_ARC
(12,11),-0.62836 # DEPENDENCYPART_ARC
(12,13),1.01089 # DEPENDENCYPART_ARC
(12,14),-1.59627 # DEPENDENCYPART_ARC
(12,15),-1.68572 # DEPENDENCYPART_ARC
(12,16),-1.54068 # DEPENDENCYPART_ARC
(12,17),-0.936763 # DEPENDENCYPART_ARC
(12,18),-1.07292 # DEPENDENCYPART_ARC
(12,19),-1.9264 # DEPENDENCYPART_ARC
(12,20),-3.63351 # DEPENDENCYPART_ARC
(12,21),-1.25647 # DEPENDENCYPART_ARC
(12,22),-1.52407 # DEPENDENCYPART_ARC
(12,23),-1.94598 # DEPENDENCYPART_ARC
(12,24),-1.26206 # DEPENDENCYPART_ARC
(13,1),-0.97202 # DEPENDENCYPART_ARC
(13,2),-3.30639 # DEPENDENCYPART_ARC
(13,3),-1.26013 # DEPENDENCYPART_ARC
(13,4),-2.01798 # DEPENDENCYPART_ARC
(13,5),-2.08235 # DEPENDENCYPART_ARC
(13,6),-1.43868 # DEPENDENCYPART_ARC
(13,7),-2.97958 # DEPENDENCYPART_ARC
(13,8),-3.25572 # DEPENDENCYPART_ARC
(13,9),-0.62857 # DEPENDENCYPART_ARC
(13,10),-0.376317 # DEPENDENCYPART_ARC
(13,11),0.11521 # DEPENDENCYPART_ARC
(13,12),1.76011 # DEPENDENCYPART_ARC
(13,14),-0.737224 # DEPENDENCYPART_ARC
(13,15),-1.50225 # DEPENDENCYPART_ARC
(13,16),-1.91693 # DEPENDENCYPART_ARC
(13,17),-0.755186 # DEPENDENCYPART_ARC
(13,18),-0.807778 # DEPENDENCYPART_ARC
(13,19),-1.86837 # DEPENDENCYPART_ARC
(13,20),-3.16507 # DEPENDENCYPART_ARC
(13,21),-1.18532 # DEPENDENCYPART_ARC
(13,22),-1.52191 # DEPENDENCYPART_ARC
(13,23),-1.76271 # DEPENDENCYPART_ARC
(13,24),-1.25731 # DEPENDENCYPART_ARC
(14,1),-0.260242 # DEPENDENCYPART_ARC
(14,2),-0.80617 # DEPENDENCYPART_ARC
(14,3),-0.838622 # DEPENDENCYPART_ARC
(14,4),-0.4421 # DEPENDENCYPART_ARC
(14,5),-0.538675 # DEPENDENCYPART_ARC
(14,6),-1.68995 # DEPENDENCYPART_ARC
(14,7),0.878202 # DEPENDENCYPART_ARC
(14,8),0.252788 # DEPENDENCYPART_ARC
(14,9),-0.0975855 # DEPENDENCYPART_ARC
(14,10),-0.345262 # DEPENDENCYPART_ARC
(14,11),0.193393 # DEPENDENCYPART_ARC
(14,12),-0.000777454 # DEPENDENCYPART_ARC
(14,13),2.10261 # DEPENDENCYPART_ARC
(14,15),2.61478 # DEPENDENCYPART_ARC
(14,16),1.09884 # DEPENDENCYPART_ARC
(14,17),-0.541291 # DEPENDENCYPART_ARC
(14,18),-0.511174 # DEPENDENCYPART_ARC
(14,19),-0.80387 # DEPENDENCYPART_ARC
(14,20),-1.65552 # DEPENDENCYPART_ARC
(14,21),-0.779725 # DEPENDENCYPART_ARC
(14,22),-1.07391 # DEPENDENCYPART_ARC
(14,23),0.10866 # DEPENDENCYPART_ARC
(14,24),-0.684036 # DEPENDENCYPART_ARC
(15,1),-1.69304 # DEPENDENCYPART_ARC
(15,2),-1.81962 # DEPENDENCYPART_ARC
(15,3),-1.3625 # DEPENDENCYPART_ARC
(15,4),-2.4885 # DEPENDENCYPART_ARC
(15,5),-1.52087 # DEPENDENCYPART_ARC
(15,6),-1.76053 # DEPENDENCYPART_ARC
(15,7),-2.14463 # DEPENDENCYPART_ARC
(15,8),-1.36234 # DEPENDENCYPART_ARC
(15,9),-1.07139 # DEPENDENCYPART_ARC
(15,10),-2.05927 # DEPENDENCYPART_ARC
(15,11),-1.49099 # DEPENDENCYPART_ARC
(15,12),-0.847963 # DEPENDENCYPART_ARC
(15,13),-0.883437 # DEPENDENCYPART_ARC
(15,14),-1.0514 # DEPENDENCYPART_ARC
(15,16),-1.74199 # DEPENDENCYPART_ARC
(15,17),-0.715151 # DEPENDENCYPART_ARC
(15,18),-1.21533 # DEPENDENCYPART_ARC
(15,19),-2.53248 # DEPENDENCYPART_ARC
(15,20),-2.81358 # DEPENDENCYPART_ARC
(15,21),-1.20332 # DEPENDENCYPART_ARC
(15,22),-1.58214 # DEPENDENCYPART_ARC
(15,23),-2.42873 # DEPENDENCYPART_ARC
(15,24),-1.5754 # DEPENDENCYPART_ARC
(16,1),-1.03353 # DEPENDENCYPART_ARC
(16,2),-2.6142 # DEPENDENCYPART_ARC
(16,3),-1.00092 # DEPENDENCYPART_ARC
(16,4),-1.74128 # DEPENDENCYPART_ARC
(16,5),-2.54612 # DEPENDENCYPART_ARC
(16,6),-1.39822 # DEPENDENCYPART_ARC
(16,7),-2.83485 # DEPENDENCYPART_ARC
(16,8),-2.99701 # DEPENDENCYPART_ARC
(16,9),-0.760857 # DEPENDENCYPART_ARC
(16,10),-0.500959 # DEPENDENCYPART_ARC
(16,11),-0.296593 # DEPENDENCYPART_ARC
(16,12),-0.0257003 # DEPENDENCYPART_ARC
(16,13),-1.04493 # DEPENDENCYPART_ARC
(16,14),1.03805 # DEPENDENCYPART_ARC
(16,15),-0.693293 # DEPENDENCYPART_ARC
(16,17),1.74376 # DEPENDENCYPART_ARC
(16,18),-0.12057 # DEPENDENCYPART_ARC
(16,19),-1.22921 # DEPENDENCYPART_ARC
(16,20),-1.36587 # DEPENDENCYPART_ARC
(16,21),-0.816481 # DEPENDENCYPART_ARC
(16,22),-1.14928 # DEPENDENCYPART_ARC
(16,23),-0.855255 # DEPENDENCYPART_ARC
(16,24),-0.712892 # DEPENDENCYPART_ARC
(17,1),-1.93021 # DEPENDENCYPART_ARC
(17,2),-1.21176 # DEPENDENCYPART_ARC
(17,3),-1.28566 # DEPENDENCYPART_ARC
(17,4),-0.820389 # DEPENDENCYPART_ARC
(17,5),-1.23042 # DEPENDENCYPART_ARC
(17,6),-1.74657 # DEPENDENCYPART_ARC
(17,7),-1.07202 # DEPENDENCYPART_ARC
(17,8),-1.17544 # DEPENDENCYPART_ARC
(17,9),-1.15227 # DEPENDENCYPART_ARC
(17,10),-0.75556 # DEPENDENCYPART_ARC
(17,11),-0.697512 # DEPENDENCYPART_ARC
(17,12),-0.885305 # DEPENDENCYPART_ARC
(17,13),-0.798173 # DEPENDENCYPART_ARC
(17,14),-0.277253 # DEPENDENCYPART_ARC
(17,15),-0.765003 # DEPENDENCYPART_ARC
(17,16),-0.211245 # DEPENDENCYPART_ARC
(17,18),-0.343503 # DEPENDENCYPART_ARC
(17,19),-1.16139 # DEPENDENCYPART_ARC
(17,20),-0.955341 # DEPENDENCYPART_ARC
(17,21),-1.49621 # DEPENDENCYPART_ARC
(17,22),-1.55198 # DEPENDENCYPART_ARC
(17,23),-1.20847 # DEPENDENCYPART_ARC
(17,24),-0.737391 # DEPENDENCYPART_ARC
(18,1),-1.56371 # DEPENDENCYPART_ARC
(18,2),-1.57059 # DEPENDENCYPART_ARC
(18,3),-1.31858 # DEPENDENCYPART_ARC
(18,4),-1.06351 # DEPENDENCYPART_ARC
(18,5),-1.69634 # DEPENDENCYPART_ARC
(18,6),-2.13297 # DEPENDENCYPART_ARC
(18,7),-1.37549 # DEPENDENCYPART_ARC
(18,8),-1.70638 # DEPENDENCYPART_ARC
(18,9),-1.31883 # DEPENDENCYPART_ARC
(18,10),-1.46532 # DEPENDENCYPART_ARC
(18,11),-1.21849 # DEPENDENCYPART_ARC
(18,12),-1.19472 # DEPENDENCYPART_ARC
(18,13),-1.38023 # DEPENDENCYPART_ARC
(18,14),-0.607232 # DEPENDENCYPART_ARC
(18,15),-1.26608 # DEPENDENCYPART_ARC
(18,16),-0.43233 # DEPENDENCYPART_ARC
(18,17),-0.734361 # DEPENDENCYPART_ARC
(18,19),-0.714195 # DEPENDENCYPART_ARC
(18,20),-0.319306 # DEPENDENCYPART_ARC
(18,21),-0.796739 # DEPENDENCYPART_ARC
(18,22),-1.06914 # DEPENDENCYPART_ARC
(18,23),-0.374599 # DEPENDENCYPART_ARC
(18,24),-0.571172 # DEPENDENCYPART_ARC
(19,1),-1.69882 # DEPENDENCYPART_ARC
(19,2),-2.82137 # DEPENDENCYPART_ARC
(19,3),-1.26108 # DEPENDENCYPART_ARC
(19,4),-1.99119 # DEPENDENCYPART_ARC
(19,5),-2.00201 # DEPENDENCYPART_ARC
(19,6),-1.92395 # DEPENDENCYPART_ARC
(19,7),-2.93753 # DEPENDENCYPART_ARC
(19,8),-3.17431 # DEPENDENCYPART_ARC
(19,9),-1.14937 # DEPENDENCYPART_ARC
(19,10),-1.347 # DEPENDENCYPART_ARC
(19,11),-1.55666 # DEPENDENCYPART_ARC
(19,12),-1.24328 # DEPENDENCYPART_ARC
(19,13),-1.84982 # DEPENDENCYPART_ARC
(19,14),-0.556841 # DEPENDENCYPART_ARC
(19,15),-1.48105 # DEPENDENCYPART_ARC
(19,16),-1.91568 # DEPENDENCYPART_ARC
(19,17),-0.813454 # DEPENDENCYPART_ARC
(19,18),-0.330836 # DEPENDENCYPART_ARC
(19,20),2.72091 # DEPENDENCYPART_ARC
(19,21),0.345294 # DEPENDENCYPART_ARC
(19,22),0.0184354 # DEPENDENCYPART_ARC
(19,23),-0.263997 # DEPENDENCYPART_ARC
(19,24),-0.380184 # DEPENDENCYPART_ARC
(20,1),-1.15776 # DEPENDENCYPART_ARC
(20,2),-2.07938 # DEPENDENCYPART_ARC
(20,3),-1.56783 # DEPENDENCYPART_ARC
(20,4),-1.86641 # DEPENDENCYPART_ARC
(20,5),-2.08495 # DEPENDENCYPART_ARC
(20,6),-1.68211 # DEPENDENCYPART_ARC
(20,7),-1.79681 # DEPENDENCYPART_ARC
(20,8),-2.27053 # DEPENDENCYPART_ARC
(20,9),-0.708586 # DEPENDENCYPART_ARC
(20,10),-1.43372 # DEPENDENCYPART_ARC
(20,11),-1.20744 # DEPENDENCYPART_ARC
(20,12),-1.50376 # DEPENDENCYPART_ARC
(20,13),-1.87712 # DEPENDENCYPART_ARC
(20,14),-1.11746 # DEPENDENCYPART_ARC
(20,15),-1.71545 # DEPENDENCYPART_ARC
(20,16),-1.3942 # DEPENDENCYPART_ARC
(20,17),-0.814887 # DEPENDENCYPART_ARC
(20,18),-0.15059 # DEPENDENCYPART_ARC
(20,19),0.376365 # DEPENDENCYPART_ARC
(20,21),0.0766366 # DEPENDENCYPART_ARC
(20,22),-1.14633 # DEPENDENCYPART_ARC
(20,23),-1.43294 # DEPENDENCYPART_ARC
(20,24),-0.661187 # DEPENDENCYPART_ARC
(21,1),-1.49198 # DEPENDENCYPART_ARC
(21,2),-1.34278 # DEPENDENCYPART_ARC
(21,3),-1.23762 # DEPENDENCYPART_ARC
(21,4),-1.44263 # DEPENDENCYPART_ARC
(21,5),-1.5701 # DEPENDENCYPART_ARC
(21,6),-1.92349 # DEPENDENCYPART_ARC
(21,7),-1.2154 # DEPENDENCYPART_ARC
(21,8),-1.28198 # DEPENDENCYPART_ARC
(21,9),-1.19269 # DEPENDENCYPART_ARC
(21,10),-1.52771 # DEPENDENCYPART_ARC
(21,11),-0.734825 # DEPENDENCYPART_ARC
(21,12),-1.26371 # DEPENDENCYPART_ARC
(21,13),-1.22286 # DEPENDENCYPART_ARC
(21,14),-1.24194 # DEPENDENCYPART_ARC
(21,15),-1.22254 # DEPENDENCYPART_ARC
(21,16),-1.1228 # DEPENDENCYPART_ARC
(21,17),-1.04073 # DEPENDENCYPART_ARC
(21,18),-0.558658 # DEPENDENCYPART_ARC
(21,19),-0.635442 # DEPENDENCYPART_ARC
