# _root_ hasieran bazirudien hegan_egitera zihoala , baina laster_egin zuen goitik_behera , harriak bezala
#goldHeads=2,6,4,2,4,0,6,7,7,9,7,11,
#predictedHeads=2,6,4,6,4,0,6,7,7,9,7,11,
(4,9),0.089868 # DEPENDENCYPART_ARC
(4,10),-0.474524 # DEPENDENCYPART_ARC
(4,11),-1.82947 # DEPENDENCYPART_ARC
(4,12),-0.941352 # DEPENDENCYPART_ARC
(5,1),-1.22909 # DEPENDENCYPART_ARC
(5,2),-0.623254 # DEPENDENCYPART_ARC
(5,3),-0.69273 # DEPENDENCYPART_ARC
(5,4),0.0406143 # DEPENDENCYPART_ARC
(5,6),-0.29987 # DEPENDENCYPART_ARC
(5,7),-0.914167 # DEPENDENCYPART_ARC
(5,8),-1.05412 # DEPENDENCYPART_ARC
(5,9),-1.6532 # DEPENDENCYPART_ARC
(5,11),-1.91206 # DEPENDENCYPART_ARC
(6,1),-1.92731 # DEPENDENCYPART_ARC
(6,2),0.42662 # DEPENDENCYPART_ARC
(6,3),-0.163608 # DEPENDENCYPART_ARC
(6,4),0.661575 # DEPENDENCYPART_ARC
(6,5),0.0766327 # DEPENDENCYPART_ARC
(6,7),1.30183 # DEPENDENCYPART_ARC
(6,8),-0.442486 # DEPENDENCYPART_ARC
(6,9),0.274606 # DEPENDENCYPART_ARC
(6,10),-0.0985888 # DEPENDENCYPART_ARC
(6,11),-0.818785 # DEPENDENCYPART_ARC
(6,12),-1.16204 # DEPENDENCYPART_ARC
(7,1),-0.699491 # DEPENDENCYPART_ARC
(7,2),-0.775093 # DEPENDENCYPART_ARC
(7,3),0.50739 # DEPENDENCYPART_ARC
(7,4),-0.155746 # DEPENDENCYPART_ARC
(7,5),-0.968113 # DEPENDENCYPART_ARC
(7,6),-0.423666 # DEPENDENCYPART_ARC
(7,8),2.04244 # DEPENDENCYPART_ARC
(7,9),1.60238 # DEPENDENCYPART_ARC
(7,10),-0.0645786 # DEPENDENCYPART_ARC
(7,11),0.239357 # DEPENDENCYPART_ARC
(7,12),-0.679018 # DEPENDENCYPART_ARC
(8,1),-1.82049 # DEPENDENCYPART_ARC
(8,2),-1.76931 # DEPENDENCYPART_ARC
(8,3),-2.48758 # DEPENDENCYPART_ARC
(8,4),-1.50328 # DEPENDENCYPART_ARC
(8,5),-1.4372 # DEPENDENCYPART_ARC
(8,6),-1.28581 # DEPENDENCYPART_ARC
(8,7),-2.08145 # DEPENDENCYPART_ARC
(8,9),-0.967618 # DEPENDENCYPART_ARC
(8,10),-0.358068 # DEPENDENCYPART_ARC
(8,11),-1.69592 # DEPENDENCYPART_ARC
(8,12),-0.628074 # DEPENDENCYPART_ARC
(9,1),-5.89277 # DEPENDENCYPART_ARC
(9,2),-4.53571 # DEPENDENCYPART_ARC
(9,3),-2.18889 # DEPENDENCYPART_ARC
(9,4),-5.29975 # DEPENDENCYPART_ARC
(9,5),-1.35304 # DEPENDENCYPART_ARC
(9,6),-0.853246 # DEPENDENCYPART_ARC
(9,7),-1.90685 # DEPENDENCYPART_ARC
(9,8),-1.61651 # DEPENDENCYPART_ARC
(9,10),1.5321 # DEPENDENCYPART_ARC
(9,11),-1.25163 # DEPENDENCYPART_ARC
(9,12),-0.564848 # DEPENDENCYPART_ARC
(10,1),-1.40723 # DEPENDENCYPART_ARC
(10,2),-0.795588 # DEPENDENCYPART_ARC
(10,3),-0.997873 # DEPENDENCYPART_ARC
(10,4),-0.944782 # DEPENDENCYPART_ARC
(10,6),-0.718371 # DEPENDENCYPART_ARC
(10,7),-0.335632 # DEPENDENCYPART_ARC
(10,8),-0.814638 # DEPENDENCYPART_ARC
(10,9),-0.173897 # DEPENDENCYPART_ARC
(10,11),-0.479286 # DEPENDENCYPART_ARC
(11,1),-3.94035 # DEPENDENCYPART_ARC
(11,2),-3.08042 # DEPENDENCYPART_ARC
(11,3),-1.76538 # DEPENDENCYPART_ARC
(11,4),-3.38348 # DEPENDENCYPART_ARC
(11,5),-1.48542 # DEPENDENCYPART_ARC
(11,6),-0.907034 # DEPENDENCYPART_ARC
(11,7),-1.02234 # DEPENDENCYPART_ARC
(11,8),-1.88365 # DEPENDENCYPART_ARC
(11,9),-0.46121 # DEPENDENCYPART_ARC
(11,10),0.250238 # DEPENDENCYPART_ARC
(11,12),0.688077 # DEPENDENCYPART_ARC
(12,1),-1.77944 # DEPENDENCYPART_ARC
(12,2),-1.84625 # DEPENDENCYPART_ARC
(12,3),-1.71074 # DEPENDENCYPART_ARC
(12,4),-1.75716 # DEPENDENCYPART_ARC
(12,5),-1.69728 # DEPENDENCYPART_ARC
(12,6),-1.14874 # DEPENDENCYPART_ARC
(12,7),-1.47841 # DEPENDENCYPART_ARC
(12,8),-1.46001 # DEPENDENCYPART_ARC
(12,9),-1.18739 # DEPENDENCYPART_ARC
(12,10),-1.19797 # DEPENDENCYPART_ARC
(12,11),-0.455172 # DEPENDENCYPART_ARC
