# _root_ baina oraingoan , alderdiko ordezkaritza guztiek eman die abisu alderdikideei , " abenturazko bideetara eraman nahi_gaituztenak berriz_ere uxatzeko " agindurik .
#goldHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,16,18,18,20,18,7,20,
#predictedHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,18,15,18,7,18,15,20,
(2,8),-1.02799 # DEPENDENCYPART_ARC
(2,9),-1.19158 # DEPENDENCYPART_ARC
(2,10),-1.21968 # DEPENDENCYPART_ARC
(2,11),-0.46349 # DEPENDENCYPART_ARC
(2,12),-0.530899 # DEPENDENCYPART_ARC
(2,13),-1.33069 # DEPENDENCYPART_ARC
(2,14),-1.32296 # DEPENDENCYPART_ARC
(2,15),-1.79409 # DEPENDENCYPART_ARC
(2,16),-1.72622 # DEPENDENCYPART_ARC
(2,17),-0.773879 # DEPENDENCYPART_ARC
(2,18),-1.82471 # DEPENDENCYPART_ARC
(2,19),-1.12884 # DEPENDENCYPART_ARC
(2,20),-1.83104 # DEPENDENCYPART_ARC
(2,21),-1.20492 # DEPENDENCYPART_ARC
(3,1),-1.01968 # DEPENDENCYPART_ARC
(3,2),-0.657291 # DEPENDENCYPART_ARC
(3,4),-0.724173 # DEPENDENCYPART_ARC
(3,5),-1.35782 # DEPENDENCYPART_ARC
(3,6),-1.25048 # DEPENDENCYPART_ARC
(3,7),-1.31836 # DEPENDENCYPART_ARC
(3,8),-0.938686 # DEPENDENCYPART_ARC
(3,9),-1.67948 # DEPENDENCYPART_ARC
(3,10),-1.59794 # DEPENDENCYPART_ARC
(3,11),-1.12309 # DEPENDENCYPART_ARC
(3,12),-0.734352 # DEPENDENCYPART_ARC
(3,13),-1.77062 # DEPENDENCYPART_ARC
(3,14),-1.57896 # DEPENDENCYPART_ARC
(3,15),-1.88235 # DEPENDENCYPART_ARC
(3,16),-2.05907 # DEPENDENCYPART_ARC
(3,17),-1.87259 # DEPENDENCYPART_ARC
(3,18),-1.91474 # DEPENDENCYPART_ARC
(3,19),-1.64975 # DEPENDENCYPART_ARC
(3,20),-2.06203 # DEPENDENCYPART_ARC
(3,21),-2.05433 # DEPENDENCYPART_ARC
(4,1),-1.01013 # DEPENDENCYPART_ARC
(4,2),-0.842556 # DEPENDENCYPART_ARC
(4,3),0.217139 # DEPENDENCYPART_ARC
(4,5),-0.333456 # DEPENDENCYPART_ARC
(4,6),-0.564165 # DEPENDENCYPART_ARC
(4,7),-2.43856 # DEPENDENCYPART_ARC
(4,8),-1.6463 # DEPENDENCYPART_ARC
(4,9),-1.85165 # DEPENDENCYPART_ARC
(4,10),-1.85016 # DEPENDENCYPART_ARC
(4,11),-1.14288 # DEPENDENCYPART_ARC
(4,12),-1.48416 # DEPENDENCYPART_ARC
(4,13),-1.95809 # DEPENDENCYPART_ARC
(4,14),-1.85133 # DEPENDENCYPART_ARC
(4,15),-1.83278 # DEPENDENCYPART_ARC
(4,16),-3.27697 # DEPENDENCYPART_ARC
(4,17),-1.95594 # DEPENDENCYPART_ARC
(4,18),-2.92884 # DEPENDENCYPART_ARC
(4,19),-1.85579 # DEPENDENCYPART_ARC
(4,20),-2.47985 # DEPENDENCYPART_ARC
(4,21),-1.62307 # DEPENDENCYPART_ARC
(5,1),-0.832154 # DEPENDENCYPART_ARC
(5,2),-0.827912 # DEPENDENCYPART_ARC
(5,3),-0.957814 # DEPENDENCYPART_ARC
(5,4),1.5741 # DEPENDENCYPART_ARC
(5,6),2.94456 # DEPENDENCYPART_ARC
(5,7),-0.640552 # DEPENDENCYPART_ARC
(5,8),-0.399458 # DEPENDENCYPART_ARC
(5,9),0.0566846 # DEPENDENCYPART_ARC
(5,10),-0.719589 # DEPENDENCYPART_ARC
(5,11),-0.357487 # DEPENDENCYPART_ARC
(5,12),-0.674239 # DEPENDENCYPART_ARC
(5,13),-0.102426 # DEPENDENCYPART_ARC
(5,14),-0.236646 # DEPENDENCYPART_ARC
(5,15),-0.46097 # DEPENDENCYPART_ARC
(5,16),-0.457541 # DEPENDENCYPART_ARC
(5,17),-0.5194 # DEPENDENCYPART_ARC
(5,18),-1.16651 # DEPENDENCYPART_ARC
(5,19),-1.24757 # DEPENDENCYPART_ARC
(5,20),-0.700971 # DEPENDENCYPART_ARC
(5,21),-1.11531 # DEPENDENCYPART_ARC
(6,1),-0.881103 # DEPENDENCYPART_ARC
(6,2),-0.671578 # DEPENDENCYPART_ARC
(6,3),-0.945951 # DEPENDENCYPART_ARC
(6,4),-0.834611 # DEPENDENCYPART_ARC
(6,5),-0.131944 # DEPENDENCYPART_ARC
(6,7),-1.21276 # DEPENDENCYPART_ARC
(6,8),-1.29481 # DEPENDENCYPART_ARC
(6,9),-1.12688 # DEPENDENCYPART_ARC
(6,10),-1.64935 # DEPENDENCYPART_ARC
(6,11),-0.927387 # DEPENDENCYPART_ARC
(6,12),-0.778904 # DEPENDENCYPART_ARC
(6,13),-0.79385 # DEPENDENCYPART_ARC
(6,14),-1.3432 # DEPENDENCYPART_ARC
(6,15),-1.58484 # DEPENDENCYPART_ARC
(6,16),-2.23483 # DEPENDENCYPART_ARC
(6,17),-1.562 # DEPENDENCYPART_ARC
(6,18),-2.25626 # DEPENDENCYPART_ARC
(6,19),-1.42465 # DEPENDENCYPART_ARC
(6,20),-1.89356 # DEPENDENCYPART_ARC
(6,21),-1.59962 # DEPENDENCYPART_ARC
(7,1),-0.248066 # DEPENDENCYPART_ARC
(7,2),0.53588 # DEPENDENCYPART_ARC
(7,3),-1.03077 # DEPENDENCYPART_ARC
(7,4),0.546878 # DEPENDENCYPART_ARC
(7,5),1.58341 # DEPENDENCYPART_ARC
(7,6),1.1881 # DEPENDENCYPART_ARC
(7,8),2.19875 # DEPENDENCYPART_ARC
(7,9),0.923332 # DEPENDENCYPART_ARC
(7,10),1.35646 # DEPENDENCYPART_ARC
(7,11),-0.566116 # DEPENDENCYPART_ARC
(7,12),-0.557762 # DEPENDENCYPART_ARC
(7,13),-1.66829 # DEPENDENCYPART_ARC
(7,14),-0.652723 # DEPENDENCYPART_ARC
(7,15),-0.260356 # DEPENDENCYPART_ARC
(7,16),0.266599 # DEPENDENCYPART_ARC
(7,17),-0.711313 # DEPENDENCYPART_ARC
(7,18),0.312936 # DEPENDENCYPART_ARC
(7,19),-0.716017 # DEPENDENCYPART_ARC
(7,20),-0.513369 # DEPENDENCYPART_ARC
(7,21),-0.962158 # DEPENDENCYPART_ARC
(8,1),-1.44682 # DEPENDENCYPART_ARC
(8,2),-1.07412 # DEPENDENCYPART_ARC
(8,3),-1.56566 # DEPENDENCYPART_ARC
(8,4),-1.26856 # DEPENDENCYPART_ARC
(8,5),-0.411942 # DEPENDENCYPART_ARC
(8,6),-0.533187 # DEPENDENCYPART_ARC
(8,7),-1.46625 # DEPENDENCYPART_ARC
(8,9),-1.09073 # DEPENDENCYPART_ARC
(8,10),-1.1524 # DEPENDENCYPART_ARC
(8,11),-0.70772 # DEPENDENCYPART_ARC
(8,12),-0.765134 # DEPENDENCYPART_ARC
(8,13),-2.24221 # DEPENDENCYPART_ARC
(8,14),-3.0721 # DEPENDENCYPART_ARC
(8,15),-1.91213 # DEPENDENCYPART_ARC
(8,16),-1.99751 # DEPENDENCYPART_ARC
(8,17),-1.00467 # DEPENDENCYPART_ARC
(8,18),-1.75245 # DEPENDENCYPART_ARC
(8,19),-1.10308 # DEPENDENCYPART_ARC
(8,20),-2.37554 # DEPENDENCYPART_ARC
(8,21),-1.61185 # DEPENDENCYPART_ARC
(9,1),-1.16272 # DEPENDENCYPART_ARC
(9,2),-1.07007 # DEPENDENCYPART_ARC
(9,3),-1.30449 # DEPENDENCYPART_ARC
(9,4),-0.421997 # DEPENDENCYPART_ARC
(9,5),-0.440619 # DEPENDENCYPART_ARC
(9,6),-1.50344 # DEPENDENCYPART_ARC
(9,7),0.269178 # DEPENDENCYPART_ARC
(9,8),-1.06079 # DEPENDENCYPART_ARC
(9,10),-0.599947 # DEPENDENCYPART_ARC
(9,11),-0.184338 # DEPENDENCYPART_ARC
(9,12),-1.01648 # DEPENDENCYPART_ARC
(9,13),-1.07762 # DEPENDENCYPART_ARC
(9,14),-1.09293 # DEPENDENCYPART_ARC
(9,15),-1.05049 # DEPENDENCYPART_ARC
(9,16),-1.11298 # DEPENDENCYPART_ARC
(9,17),-1.33193 # DEPENDENCYPART_ARC
(9,18),-1.17516 # DEPENDENCYPART_ARC
(9,19),-1.55948 # DEPENDENCYPART_ARC
(9,20),-1.39118 # DEPENDENCYPART_ARC
(9,21),-1.48227 # DEPENDENCYPART_ARC
(10,1),-1.13665 # DEPENDENCYPART_ARC
(10,2),-1.20184 # DEPENDENCYPART_ARC
(10,3),-1.76439 # DEPENDENCYPART_ARC
(10,4),-0.870099 # DEPENDENCYPART_ARC
(10,5),-0.535624 # DEPENDENCYPART_ARC
(10,6),-1.40558 # DEPENDENCYPART_ARC
(10,7),-0.551792 # DEPENDENCYPART_ARC
(10,8),-1.44363 # DEPENDENCYPART_ARC
(10,9),0.574991 # DEPENDENCYPART_ARC
(10,11),1.5804 # DEPENDENCYPART_ARC
(10,12),0.0458069 # DEPENDENCYPART_ARC
(10,13),0.109613 # DEPENDENCYPART_ARC
(10,14),-0.533245 # DEPENDENCYPART_ARC
(10,15),-1.00515 # DEPENDENCYPART_ARC
(10,16),-2.12333 # DEPENDENCYPART_ARC
(10,17),-1.32554 # DEPENDENCYPART_ARC
(10,18),-2.00371 # DEPENDENCYPART_ARC
(10,19),-0.975749 # DEPENDENCYPART_ARC
(10,20),-1.62632 # DEPENDENCYPART_ARC
(10,21),-0.992843 # DEPENDENCYPART_ARC
(11,1),-1.07714 # DEPENDENCYPART_ARC
(11,2),-1.33421 # DEPENDENCYPART_ARC
(11,3),-1.56553 # DEPENDENCYPART_ARC
(11,4),-1.00359 # DEPENDENCYPART_ARC
(11,5),-1.10034 # DEPENDENCYPART_ARC
(11,6),-1.57257 # DEPENDENCYPART_ARC
(11,7),-0.339412 # DEPENDENCYPART_ARC
(11,8),-0.682194 # DEPENDENCYPART_ARC
(11,9),-0.54252 # DEPENDENCYPART_ARC
(11,10),-0.34543 # DEPENDENCYPART_ARC
(11,12),1.90495 # DEPENDENCYPART_ARC
(11,13),-0.549808 # DEPENDENCYPART_ARC
(11,14),-0.25979 # DEPENDENCYPART_ARC
(11,15),-0.647917 # DEPENDENCYPART_ARC
(11,16),-0.742477 # DEPENDENCYPART_ARC
(11,17),-1.17066 # DEPENDENCYPART_ARC
(11,18),-0.912004 # DEPENDENCYPART_ARC
(11,19),-0.253539 # DEPENDENCYPART_ARC
(11,20),-1.06438 # DEPENDENCYPART_ARC
(11,21),-0.745402 # DEPENDENCYPART_ARC
(12,1),-1.7013 # DEPENDENCYPART_ARC
(12,2),-1.67147 # DEPENDENCYPART_ARC
(12,3),-1.94162 # DEPENDENCYPART_ARC
(12,4),-1.24966 # DEPENDENCYPART_ARC
(12,5),-1.40144 # DEPENDENCYPART_ARC
(12,6),-1.93931 # DEPENDENCYPART_ARC
(12,7),-1.42297 # DEPENDENCYPART_ARC
(12,8),-1.19856 # DEPENDENCYPART_ARC
(12,9),-0.908449 # DEPENDENCYPART_ARC
(12,10),-1.26431 # DEPENDENCYPART_ARC
(12,11),-0.784861 # DEPENDENCYPART_ARC
(12,13),-1.00142 # DEPENDENCYPART_ARC
(12,14),-1.57248 # DEPENDENCYPART_ARC
(12,15),-1.01292 # DEPENDENCYPART_ARC
(12,16),-1.22979 # DEPENDENCYPART_ARC
(12,17),-1.62728 # DEPENDENCYPART_ARC
(12,18),-1.4268 # DEPENDENCYPART_ARC
(12,19),-0.538864 # DEPENDENCYPART_ARC
(12,20),-1.78171 # DEPENDENCYPART_ARC
(12,21),-1.02892 # DEPENDENCYPART_ARC
(13,1),-1.57943 # DEPENDENCYPART_ARC
(13,2),-1.32319 # DEPENDENCYPART_ARC
(13,3),-1.31132 # DEPENDENCYPART_ARC
(13,4),-1.7392 # DEPENDENCYPART_ARC
(13,5),-1.87964 # DEPENDENCYPART_ARC
(13,6),-3.09641 # DEPENDENCYPART_ARC
(13,7),-2.32323 # DEPENDENCYPART_ARC
(13,8),-2.38673 # DEPENDENCYPART_ARC
(13,9),-3.91267 # DEPENDENCYPART_ARC
(13,10),-3.73591 # DEPENDENCYPART_ARC
(13,11),-0.763947 # DEPENDENCYPART_ARC
(13,12),0.0638359 # DEPENDENCYPART_ARC
(13,14),-0.28713 # DEPENDENCYPART_ARC
(13,15),-1.08106 # DEPENDENCYPART_ARC
(13,16),-2.7978 # DEPENDENCYPART_ARC
(13,17),-1.09336 # DEPENDENCYPART_ARC
(13,18),-2.1066 # DEPENDENCYPART_ARC
(13,19),-1.06336 # DEPENDENCYPART_ARC
(13,20),-1.96233 # DEPENDENCYPART_ARC
(13,21),-1.23622 # DEPENDENCYPART_ARC
(14,1),-1.24894 # DEPENDENCYPART_ARC
(14,2),-1.04097 # DEPENDENCYPART_ARC
(14,3),-1.79887 # DEPENDENCYPART_ARC
(14,4),-0.685897 # DEPENDENCYPART_ARC
(14,5),-1.22913 # DEPENDENCYPART_ARC
(14,6),-2.91423 # DEPENDENCYPART_ARC
(14,7),-1.56721 # DEPENDENCYPART_ARC
(14,8),-2.28472 # DEPENDENCYPART_ARC
(14,9),-2.68285 # DEPENDENCYPART_ARC
(14,10),-2.67778 # DEPENDENCYPART_ARC
(14,11),-0.995903 # DEPENDENCYPART_ARC
(14,12),-0.889638 # DEPENDENCYPART_ARC
(14,13),2.35756 # DEPENDENCYPART_ARC
(14,15),0.251507 # DEPENDENCYPART_ARC
(14,16),-2.02457 # DEPENDENCYPART_ARC
(14,17),-0.885156 # DEPENDENCYPART_ARC
(14,18),-2.48414 # DEPENDENCYPART_ARC
(14,19),-0.922924 # DEPENDENCYPART_ARC
(14,20),-1.70552 # DEPENDENCYPART_ARC
(14,21),-1.098 # DEPENDENCYPART_ARC
(15,1),-0.132854 # DEPENDENCYPART_ARC
(15,2),-0.518168 # DEPENDENCYPART_ARC
(15,3),-2.16578 # DEPENDENCYPART_ARC
(15,4),-1.2157 # DEPENDENCYPART_ARC
(15,5),-0.814615 # DEPENDENCYPART_ARC
(15,6),-0.664134 # DEPENDENCYPART_ARC
(15,7),-0.158718 # DEPENDENCYPART_ARC
(15,8),-0.587453 # DEPENDENCYPART_ARC
(15,9),-0.341742 # DEPENDENCYPART_ARC
(15,10),-0.35153 # DEPENDENCYPART_ARC
(15,11),-1.24383 # DEPENDENCYPART_ARC
(15,12),-1.26103 # DEPENDENCYPART_ARC
(15,13),0.19478 # DEPENDENCYPART_ARC
(15,14),2.2577 # DEPENDENCYPART_ARC
(15,16),1.53608 # DEPENDENCYPART_ARC
(15,17),0.220375 # DEPENDENCYPART_ARC
(15,18),0.41906 # DEPENDENCYPART_ARC
(15,19),-0.323111 # DEPENDENCYPART_ARC
(15,20),0.0711032 # DEPENDENCYPART_ARC
(15,21),-0.440315 # DEPENDENCYPART_ARC
(16,1),-1.3879 # DEPENDENCYPART_ARC
(16,2),-0.695763 # DEPENDENCYPART_ARC
(16,3),-2.1459 # DEPENDENCYPART_ARC
(16,4),-4.17413 # DEPENDENCYPART_ARC
(16,5),-2.48019 # DEPENDENCYPART_ARC
(16,6),-1.4938 # DEPENDENCYPART_ARC
(16,7),-2.51118 # DEPENDENCYPART_ARC
(16,8),-0.894261 # DEPENDENCYPART_ARC
(16,9),-2.49877 # DEPENDENCYPART_ARC
(16,10),-1.20734 # DEPENDENCYPART_ARC
(16,11),-1.50077 # DEPENDENCYPART_ARC
(16,12),-1.55288 # DEPENDENCYPART_ARC
(16,13),-5.19884 # DEPENDENCYPART_ARC
(16,14),-1.21934 # DEPENDENCYPART_ARC
(16,15),0.760403 # DEPENDENCYPART_ARC
(16,17),0.173984 # DEPENDENCYPART_ARC
(16,18),-1.69952 # DEPENDENCYPART_ARC
(16,19),-0.69153 # DEPENDENCYPART_ARC
(16,20),-2.39127 # DEPENDENCYPART_ARC
(16,21),-1.03139 # DEPENDENCYPART_ARC
(17,1),0.0470133 # DEPENDENCYPART_ARC
(17,2),-1.04915 # DEPENDENCYPART_ARC
(17,3),-1.78263 # DEPENDENCYPART_ARC
(17,4),-1.0748 # DEPENDENCYPART_ARC
(17,5),-1.10042 # DEPENDENCYPART_ARC
(17,6),-1.66166 # DEPENDENCYPART_ARC
(17,7),-0.968554 # DEPENDENCYPART_ARC
(17,8),-1.19737 # DEPENDENCYPART_ARC
(17,9),-1.0368 # DEPENDENCYPART_ARC
(17,10),-1.18989 # DEPENDENCYPART_ARC
(17,11),-1.22336 # DEPENDENCYPART_ARC
(17,12),-1.24552 # DEPENDENCYPART_ARC
(17,13),-0.677778 # DEPENDENCYPART_ARC
(17,14),-0.538012 # DEPENDENCYPART_ARC
(17,15),-0.381577 # DEPENDENCYPART_ARC
(17,16),0.502923 # DEPENDENCYPART_ARC
(17,18),-0.230487 # DEPENDENCYPART_ARC
(17,19),0.242223 # DEPENDENCYPART_ARC
(17,20),-0.931125 # DEPENDENCYPART_ARC
(17,21),-0.315947 # DEPENDENCYPART_ARC
(18,1),-0.561188 # DEPENDENCYPART_ARC
(18,2),-0.286184 # DEPENDENCYPART_ARC
(18,3),-1.76265 # DEPENDENCYPART_ARC
(18,4),-1.88274 # DEPENDENCYPART_ARC
(18,5),-0.362028 # DEPENDENCYPART_ARC
(18,6),-1.26027 # DEPENDENCYPART_ARC
(18,7),-0.475079 # DEPENDENCYPART_ARC
(18,8),-0.585399 # DEPENDENCYPART_ARC
(18,9),-0.175587 # DEPENDENCYPART_ARC
(18,10),0.154516 # DEPENDENCYPART_ARC
(18,11),-1.07282 # DEPENDENCYPART_ARC
(18,12),-1.215 # DEPENDENCYPART_ARC
(18,13),-1.54663 # DEPENDENCYPART_ARC
(18,14),1.36828 # DEPENDENCYPART_ARC
(18,15),0.66117 # DEPENDENCYPART_ARC
(18,16),-1.05365 # DEPENDENCYPART_ARC
(18,17),1.90064 # DEPENDENCYPART_ARC
(18,19),1.58654 # DEPENDENCYPART_ARC
(18,20),-0.400957 # DEPENDENCYPART_ARC
(18,21),0.15477 # DEPENDENCYPART_ARC
(19,1),-1.36738 # DEPENDENCYPART_ARC
(19,2),-1.53401 # DEPENDENCYPART_ARC
(19,3),-1.91763 # DEPENDENCYPART_ARC
(19,4),-1.07251 # DEPENDENCYPART_ARC
(19,5),-1.19392 # DEPENDENCYPART_ARC
(19,6),-1.89722 # DEPENDENCYPART_ARC
(19,7),-1.30735 # DEPENDENCYPART_ARC
(19,8),-1.39155 # DEPENDENCYPART_ARC
(19,9),-1.13213 # DEPENDENCYPART_ARC
(19,10),-1.3795 # DEPENDENCYPART_ARC
(19,11),-1.49576 # DEPENDENCYPART_ARC
(19,12),-1.43889 # DEPENDENCYPART_ARC
(19,13),-1.1025 # DEPENDENCYPART_ARC
(19,14),-1.07042 # DEPENDENCYPART_ARC
(19,15),-0.994095 # DEPENDENCYPART_ARC
(19,16),-0.77942 # DEPENDENCYPART_ARC
(19,17),-1.10008 # DEPENDENCYPART_ARC
(19,18),0.110149 # DEPENDENCYPART_ARC
(19,20),-0.29757 # DEPENDENCYPART_ARC
(19,21),-0.0425359 # DEPENDENCYPART_ARC
(20,1),-0.288232 # DEPENDENCYPART_ARC
(20,2),-0.868792 # DEPENDENCYPART_ARC
(20,3),-1.81734 # DEPENDENCYPART_ARC
(20,4),-2.63921 # DEPENDENCYPART_ARC
(20,5),-1.57903 # DEPENDENCYPART_ARC
(20,6),-0.999814 # DEPENDENCYPART_ARC
(20,7),-0.667414 # DEPENDENCYPART_ARC
(20,8),-1.06563 # DEPENDENCYPART_ARC
(20,9),-1.43576 # DEPENDENCYPART_ARC
(20,10),-1.0184 # DEPENDENCYPART_ARC
(20,11),-1.28935 # DEPENDENCYPART_ARC
(20,12),-1.36421 # DEPENDENCYPART_ARC
(20,13),-2.44659 # DEPENDENCYPART_ARC
(20,14),-0.750456 # DEPENDENCYPART_ARC
(20,15),-0.429034 # DEPENDENCYPART_ARC
(20,16),-2.33771 # DEPENDENCYPART_ARC
(20,17),0.293096 # DEPENDENCYPART_ARC
(20,18),0.287717 # DEPENDENCYPART_ARC
(20,19),-0.218814 # DEPENDENCYPART_ARC
(20,21),2.08374 # DEPENDENCYPART_ARC
(21,1),-1.39036 # DEPENDENCYPART_ARC
(21,2),-1.74176 # DEPENDENCYPART_ARC
(21,3),-1.68757 # DEPENDENCYPART_ARC
(21,4),-1.65298 # DEPENDENCYPART_ARC
(21,5),-1.65702 # DEPENDENCYPART_ARC
(21,6),-2.10784 # DEPENDENCYPART_ARC
(21,7),-1.94071 # DEPENDENCYPART_ARC
(21,8),-1.45516 # DEPENDENCYPART_ARC
(21,9),-1.64695 # DEPENDENCYPART_ARC
(21,10),-1.82161 # DEPENDENCYPART_ARC
(21,11),-1.61317 # DEPENDENCYPART_ARC
(21,12),-1.66827 # DEPENDENCYPART_ARC
(21,13),-1.23674 # DEPENDENCYPART_ARC
(21,14),-1.09017 # DEPENDENCYPART_ARC
(21,15),-1.63124 # DEPENDENCYPART_ARC
(21,16),-1.56663 # DEPENDENCYPART_ARC
(21,17),-1.39082 # DEPENDENCYPART_ARC
(21,18),-1.25535 # DEPENDENCYPART_ARC
(21,19),-1.40211 # DEPENDENCYPART_ARC
(21,20),-0.469236 # DEPENDENCYPART_ARC
