# _root_ zu ados agertu eta , gainera , alderdikideei gai hori alde batera uztea galdegin diezu .
#goldHeads=3,3,4,0,4,14,6,14,13,9,13,11,14,4,14,15,
#predictedHeads=3,3,4,0,4,0,6,13,13,9,13,11,14,4,14,15,
(4,8),-0.372547 # DEPENDENCYPART_ARC
(4,9),-0.776733 # DEPENDENCYPART_ARC
(4,10),-1.438 # DEPENDENCYPART_ARC
(4,11),-1.12723 # DEPENDENCYPART_ARC
(4,12),-1.25453 # DEPENDENCYPART_ARC
(4,13),0.479389 # DEPENDENCYPART_ARC
(4,14),1.18359 # DEPENDENCYPART_ARC
(4,15),-0.670334 # DEPENDENCYPART_ARC
(4,16),-1.08003 # DEPENDENCYPART_ARC
(5,1),-1.99526 # DEPENDENCYPART_ARC
(5,2),-1.87286 # DEPENDENCYPART_ARC
(5,3),-1.38072 # DEPENDENCYPART_ARC
(5,4),-1.03417 # DEPENDENCYPART_ARC
(5,6),-0.543687 # DEPENDENCYPART_ARC
(5,7),-0.572186 # DEPENDENCYPART_ARC
(5,8),-1.33256 # DEPENDENCYPART_ARC
(5,9),-1.37869 # DEPENDENCYPART_ARC
(5,10),-1.72927 # DEPENDENCYPART_ARC
(5,11),-1.48025 # DEPENDENCYPART_ARC
(5,12),-1.73612 # DEPENDENCYPART_ARC
(5,13),-1.65037 # DEPENDENCYPART_ARC
(5,14),-1.7572 # DEPENDENCYPART_ARC
(5,15),-1.3433 # DEPENDENCYPART_ARC
(5,16),-1.41883 # DEPENDENCYPART_ARC
(6,1),-1.18402 # DEPENDENCYPART_ARC
(6,2),-1.14593 # DEPENDENCYPART_ARC
(6,3),-0.432337 # DEPENDENCYPART_ARC
(6,4),-1.05786 # DEPENDENCYPART_ARC
(6,5),-0.191261 # DEPENDENCYPART_ARC
(6,7),1.15308 # DEPENDENCYPART_ARC
(6,8),-1.16274 # DEPENDENCYPART_ARC
(6,9),-1.75148 # DEPENDENCYPART_ARC
(6,10),-2.33449 # DEPENDENCYPART_ARC
(6,11),-2.11738 # DEPENDENCYPART_ARC
(6,12),-2.26362 # DEPENDENCYPART_ARC
(6,13),-1.74057 # DEPENDENCYPART_ARC
(6,14),-0.50846 # DEPENDENCYPART_ARC
(6,15),-1.70419 # DEPENDENCYPART_ARC
(6,16),-1.55737 # DEPENDENCYPART_ARC
(7,1),-1.43133 # DEPENDENCYPART_ARC
(7,2),-1.43682 # DEPENDENCYPART_ARC
(7,3),-1.08701 # DEPENDENCYPART_ARC
(7,4),-0.842043 # DEPENDENCYPART_ARC
(7,5),-1.32469 # DEPENDENCYPART_ARC
(7,6),-0.302287 # DEPENDENCYPART_ARC
(7,8),-0.874774 # DEPENDENCYPART_ARC
(7,9),-1.48098 # DEPENDENCYPART_ARC
(7,10),-1.37145 # DEPENDENCYPART_ARC
(7,11),-1.33527 # DEPENDENCYPART_ARC
(7,12),-1.41865 # DEPENDENCYPART_ARC
(7,13),-1.43125 # DEPENDENCYPART_ARC
(7,14),-1.62832 # DEPENDENCYPART_ARC
(7,15),-1.22584 # DEPENDENCYPART_ARC
(7,16),-1.11986 # DEPENDENCYPART_ARC
(8,1),-2.19461 # DEPENDENCYPART_ARC
(8,2),-1.49007 # DEPENDENCYPART_ARC
(8,3),-1.70969 # DEPENDENCYPART_ARC
(8,4),-0.678804 # DEPENDENCYPART_ARC
(8,5),-1.44759 # DEPENDENCYPART_ARC
(8,6),-0.435032 # DEPENDENCYPART_ARC
(8,7),-0.0441551 # DEPENDENCYPART_ARC
(8,9),-0.0695599 # DEPENDENCYPART_ARC
(8,10),-0.836897 # DEPENDENCYPART_ARC
(8,11),-1.27432 # DEPENDENCYPART_ARC
(8,12),-1.30278 # DEPENDENCYPART_ARC
(8,13),-2.2685 # DEPENDENCYPART_ARC
(8,14),-2.24193 # DEPENDENCYPART_ARC
(8,15),-2.05228 # DEPENDENCYPART_ARC
(8,16),-1.09911 # DEPENDENCYPART_ARC
(9,1),-1.92836 # DEPENDENCYPART_ARC
(9,2),-1.09636 # DEPENDENCYPART_ARC
(9,3),-1.45051 # DEPENDENCYPART_ARC
(9,4),-1.09898 # DEPENDENCYPART_ARC
(9,5),-1.63753 # DEPENDENCYPART_ARC
(9,6),-0.869543 # DEPENDENCYPART_ARC
(9,7),-1.12996 # DEPENDENCYPART_ARC
(9,8),0.85326 # DEPENDENCYPART_ARC
(9,10),2.48609 # DEPENDENCYPART_ARC
(9,11),-0.0238111 # DEPENDENCYPART_ARC
(9,12),1.47716 # DEPENDENCYPART_ARC
(9,13),-0.462519 # DEPENDENCYPART_ARC
(9,14),-1.21804 # DEPENDENCYPART_ARC
(9,15),-1.02974 # DEPENDENCYPART_ARC
(9,16),-0.702503 # DEPENDENCYPART_ARC
(10,1),-1.30443 # DEPENDENCYPART_ARC
(10,2),-0.949314 # DEPENDENCYPART_ARC
(10,3),-1.61578 # DEPENDENCYPART_ARC
(10,4),-1.26577 # DEPENDENCYPART_ARC
(10,5),-1.34093 # DEPENDENCYPART_ARC
(10,6),-1.09025 # DEPENDENCYPART_ARC
(10,7),-1.01461 # DEPENDENCYPART_ARC
(10,8),-1.22205 # DEPENDENCYPART_ARC
(10,9),-0.506432 # DEPENDENCYPART_ARC
(10,11),-0.446473 # DEPENDENCYPART_ARC
(10,12),0.0806279 # DEPENDENCYPART_ARC
(10,13),-1.52493 # DEPENDENCYPART_ARC
(10,14),-1.56694 # DEPENDENCYPART_ARC
(10,15),-1.70683 # DEPENDENCYPART_ARC
(10,16),-0.81016 # DEPENDENCYPART_ARC
(11,1),-1.28671 # DEPENDENCYPART_ARC
(11,2),-1.18042 # DEPENDENCYPART_ARC
(11,3),-1.73543 # DEPENDENCYPART_ARC
(11,4),-1.33238 # DEPENDENCYPART_ARC
(11,5),-2.00841 # DEPENDENCYPART_ARC
(11,6),-1.19408 # DEPENDENCYPART_ARC
(11,7),-1.78439 # DEPENDENCYPART_ARC
(11,8),-0.660578 # DEPENDENCYPART_ARC
(11,9),0.041117 # DEPENDENCYPART_ARC
(11,10),0.862214 # DEPENDENCYPART_ARC
(11,12),2.31802 # DEPENDENCYPART_ARC
(11,13),-0.108845 # DEPENDENCYPART_ARC
(11,14),-0.760397 # DEPENDENCYPART_ARC
(11,15),-0.744156 # DEPENDENCYPART_ARC
(11,16),-0.572503 # DEPENDENCYPART_ARC
(12,1),-2.81733 # DEPENDENCYPART_ARC
(12,2),-1.144 # DEPENDENCYPART_ARC
(12,3),-1.96365 # DEPENDENCYPART_ARC
(12,4),-1.06157 # DEPENDENCYPART_ARC
(12,5),-1.56645 # DEPENDENCYPART_ARC
(12,6),-1.0324 # DEPENDENCYPART_ARC
(12,7),-1.54023 # DEPENDENCYPART_ARC
(12,8),-1.70708 # DEPENDENCYPART_ARC
(12,9),-2.2697 # DEPENDENCYPART_ARC
(12,10),-1.17993 # DEPENDENCYPART_ARC
(12,11),-0.216377 # DEPENDENCYPART_ARC
(12,13),-1.35395 # DEPENDENCYPART_ARC
(12,14),-2.53215 # DEPENDENCYPART_ARC
(12,15),-2.15209 # DEPENDENCYPART_ARC
(12,16),-0.477384 # DEPENDENCYPART_ARC
(13,1),0.140822 # DEPENDENCYPART_ARC
(13,2),-0.558807 # DEPENDENCYPART_ARC
(13,3),-0.244328 # DEPENDENCYPART_ARC
(13,4),-0.69129 # DEPENDENCYPART_ARC
(13,5),-1.29901 # DEPENDENCYPART_ARC
(13,6),-0.0783674 # DEPENDENCYPART_ARC
(13,7),-1.37425 # DEPENDENCYPART_ARC
(13,8),1.18325 # DEPENDENCYPART_ARC
(13,9),1.03236 # DEPENDENCYPART_ARC
(13,10),0.470434 # DEPENDENCYPART_ARC
(13,11),1.65705 # DEPENDENCYPART_ARC
(13,12),-0.409635 # DEPENDENCYPART_ARC
(13,14),-0.509469 # DEPENDENCYPART_ARC
(13,15),0.423093 # DEPENDENCYPART_ARC
(13,16),-0.604115 # DEPENDENCYPART_ARC
(14,1),-1.4439 # DEPENDENCYPART_ARC
(14,2),-0.746967 # DEPENDENCYPART_ARC
(14,3),-0.443825 # DEPENDENCYPART_ARC
(14,4),0.208261 # DEPENDENCYPART_ARC
(14,5),-1.59304 # DEPENDENCYPART_ARC
(14,6),0.511945 # DEPENDENCYPART_ARC
(14,7),-1.57324 # DEPENDENCYPART_ARC
(14,8),0.782231 # DEPENDENCYPART_ARC
(14,9),0.573288 # DEPENDENCYPART_ARC
(14,10),-0.047706 # DEPENDENCYPART_ARC
(14,11),0.689981 # DEPENDENCYPART_ARC
(14,12),-0.725125 # DEPENDENCYPART_ARC
(14,13),1.93012 # DEPENDENCYPART_ARC
(14,15),2.16187 # DEPENDENCYPART_ARC
(14,16),-0.162875 # DEPENDENCYPART_ARC
(15,1),-1.21271 # DEPENDENCYPART_ARC
(15,2),-1.25286 # DEPENDENCYPART_ARC
(15,3),-2.02188 # DEPENDENCYPART_ARC
(15,4),-1.78107 # DEPENDENCYPART_ARC
(15,5),-1.80132 # DEPENDENCYPART_ARC
(15,6),-1.73689 # DEPENDENCYPART_ARC
(15,7),-1.70096 # DEPENDENCYPART_ARC
(15,8),-1.05131 # DEPENDENCYPART_ARC
(15,9),-0.831673 # DEPENDENCYPART_ARC
(15,10),-0.573124 # DEPENDENCYPART_ARC
(15,11),-0.908075 # DEPENDENCYPART_ARC
(15,12),-0.476183 # DEPENDENCYPART_ARC
(15,13),-0.890505 # DEPENDENCYPART_ARC
(15,14),-0.150777 # DEPENDENCYPART_ARC
(15,16),1.85821 # DEPENDENCYPART_ARC
(16,1),-1.5952 # DEPENDENCYPART_ARC
(16,2),-1.42741 # DEPENDENCYPART_ARC
(16,3),-1.5498 # DEPENDENCYPART_ARC
(16,4),-1.0856 # DEPENDENCYPART_ARC
(16,5),-1.56609 # DEPENDENCYPART_ARC
(16,6),-0.908588 # DEPENDENCYPART_ARC
(16,7),-1.43604 # DEPENDENCYPART_ARC
(16,8),-0.882592 # DEPENDENCYPART_ARC
(16,9),-0.808213 # DEPENDENCYPART_ARC
(16,10),-1.60175 # DEPENDENCYPART_ARC
(16,11),-0.815763 # DEPENDENCYPART_ARC
(16,12),-1.44523 # DEPENDENCYPART_ARC
(16,13),-0.785805 # DEPENDENCYPART_ARC
(16,14),-0.808101 # DEPENDENCYPART_ARC
(16,15),-0.0647626 # DEPENDENCYPART_ARC
