# _root_ hasieran hitz bat izan zen : " agur " ; orain , keinu hotz bat ... eta bihar , auskalo ... .
#goldHeads=4,4,2,17,4,5,6,2,8,9,17,11,17,13,13,15,0,17,18,17,20,21,
#predictedHeads=4,4,2,0,4,5,6,4,8,9,14,11,17,13,13,15,0,17,18,19,20,21,
(3,4),-0.97061 # DEPENDENCYPART_ARC
(3,5),-0.583114 # DEPENDENCYPART_ARC
(3,6),-0.0136687 # DEPENDENCYPART_ARC
(3,7),-0.130366 # DEPENDENCYPART_ARC
(3,8),-0.550623 # DEPENDENCYPART_ARC
(3,9),-0.13615 # DEPENDENCYPART_ARC
(3,10),-0.366497 # DEPENDENCYPART_ARC
(3,11),-0.654858 # DEPENDENCYPART_ARC
(3,12),-0.607051 # DEPENDENCYPART_ARC
(3,13),-0.989716 # DEPENDENCYPART_ARC
(3,14),-1.2282 # DEPENDENCYPART_ARC
(3,15),-1.40399 # DEPENDENCYPART_ARC
(3,16),-0.569959 # DEPENDENCYPART_ARC
(3,17),-0.942145 # DEPENDENCYPART_ARC
(3,18),-0.74584 # DEPENDENCYPART_ARC
(3,19),-1.15396 # DEPENDENCYPART_ARC
(3,20),-0.817184 # DEPENDENCYPART_ARC
(3,21),-0.900712 # DEPENDENCYPART_ARC
(3,22),-1.20427 # DEPENDENCYPART_ARC
(4,1),2.08098 # DEPENDENCYPART_ARC
(4,2),1.54263 # DEPENDENCYPART_ARC
(4,3),0.675714 # DEPENDENCYPART_ARC
(4,5),1.81925 # DEPENDENCYPART_ARC
(4,6),0.00282854 # DEPENDENCYPART_ARC
(4,7),-0.318149 # DEPENDENCYPART_ARC
(4,8),0.0832558 # DEPENDENCYPART_ARC
(4,9),-0.609123 # DEPENDENCYPART_ARC
(4,10),-0.575044 # DEPENDENCYPART_ARC
(4,11),-0.449876 # DEPENDENCYPART_ARC
(4,12),-1.30086 # DEPENDENCYPART_ARC
(4,13),-2.00173 # DEPENDENCYPART_ARC
(4,14),-1.05627 # DEPENDENCYPART_ARC
(4,15),-1.4258 # DEPENDENCYPART_ARC
(4,16),-1.06933 # DEPENDENCYPART_ARC
(4,17),-1.76936 # DEPENDENCYPART_ARC
(4,18),-1.07826 # DEPENDENCYPART_ARC
(4,19),-1.64614 # DEPENDENCYPART_ARC
(4,20),-0.501302 # DEPENDENCYPART_ARC
(4,21),-1.34297 # DEPENDENCYPART_ARC
(4,22),-1.59721 # DEPENDENCYPART_ARC
(5,1),-0.645521 # DEPENDENCYPART_ARC
(5,2),-0.165488 # DEPENDENCYPART_ARC
(5,3),-0.538409 # DEPENDENCYPART_ARC
(5,4),-0.812993 # DEPENDENCYPART_ARC
(5,6),1.9976 # DEPENDENCYPART_ARC
(5,7),0.421359 # DEPENDENCYPART_ARC
(5,8),-0.349491 # DEPENDENCYPART_ARC
(5,9),0.0429676 # DEPENDENCYPART_ARC
(5,10),-0.126814 # DEPENDENCYPART_ARC
(5,11),-0.59366 # DEPENDENCYPART_ARC
(5,12),-0.341937 # DEPENDENCYPART_ARC
(5,13),-1.44941 # DEPENDENCYPART_ARC
(5,14),-1.4336 # DEPENDENCYPART_ARC
(5,15),-1.72953 # DEPENDENCYPART_ARC
(5,16),-0.336544 # DEPENDENCYPART_ARC
(5,17),-1.64716 # DEPENDENCYPART_ARC
(5,18),-0.892841 # DEPENDENCYPART_ARC
(5,19),-1.00703 # DEPENDENCYPART_ARC
(5,20),-0.762141 # DEPENDENCYPART_ARC
(5,21),-0.822445 # DEPENDENCYPART_ARC
(5,22),-1.10956 # DEPENDENCYPART_ARC
(6,1),-0.892316 # DEPENDENCYPART_ARC
(6,2),-0.718908 # DEPENDENCYPART_ARC
(6,3),-1.04828 # DEPENDENCYPART_ARC
(6,4),-0.289303 # DEPENDENCYPART_ARC
(6,5),0.140887 # DEPENDENCYPART_ARC
(6,7),1.99685 # DEPENDENCYPART_ARC
(6,8),-0.590922 # DEPENDENCYPART_ARC
(6,9),0.286331 # DEPENDENCYPART_ARC
(6,10),0.227866 # DEPENDENCYPART_ARC
(6,11),-1.23289 # DEPENDENCYPART_ARC
(6,12),-0.695015 # DEPENDENCYPART_ARC
(6,13),-1.01093 # DEPENDENCYPART_ARC
(6,14),-1.04449 # DEPENDENCYPART_ARC
(6,15),-1.31732 # DEPENDENCYPART_ARC
(6,16),-0.84192 # DEPENDENCYPART_ARC
(6,17),-0.780886 # DEPENDENCYPART_ARC
(6,18),-1.33635 # DEPENDENCYPART_ARC
(6,19),-1.73632 # DEPENDENCYPART_ARC
(6,20),-1.04855 # DEPENDENCYPART_ARC
(6,21),-1.24452 # DEPENDENCYPART_ARC
(6,22),-1.08292 # DEPENDENCYPART_ARC
(7,1),-1.22723 # DEPENDENCYPART_ARC
(7,2),-1.24444 # DEPENDENCYPART_ARC
(7,3),-1.6288 # DEPENDENCYPART_ARC
(7,4),-1.03594 # DEPENDENCYPART_ARC
(7,5),-1.00384 # DEPENDENCYPART_ARC
(7,6),-0.618419 # DEPENDENCYPART_ARC
(7,8),-0.456744 # DEPENDENCYPART_ARC
(7,9),-0.0205212 # DEPENDENCYPART_ARC
(7,10),-0.343629 # DEPENDENCYPART_ARC
(7,11),-1.81108 # DEPENDENCYPART_ARC
(7,12),-0.823236 # DEPENDENCYPART_ARC
(7,13),-1.72169 # DEPENDENCYPART_ARC
(7,14),-1.62849 # DEPENDENCYPART_ARC
(7,15),-1.95294 # DEPENDENCYPART_ARC
(7,16),-1.30458 # DEPENDENCYPART_ARC
(7,17),-1.49512 # DEPENDENCYPART_ARC
(7,18),-1.89128 # DEPENDENCYPART_ARC
(7,19),-1.5844 # DEPENDENCYPART_ARC
(7,20),-1.82578 # DEPENDENCYPART_ARC
(7,21),-1.71576 # DEPENDENCYPART_ARC
(7,22),-1.51024 # DEPENDENCYPART_ARC
(8,1),-1.11258 # DEPENDENCYPART_ARC
(8,2),-1.0815 # DEPENDENCYPART_ARC
(8,3),-0.882625 # DEPENDENCYPART_ARC
(8,4),-0.779045 # DEPENDENCYPART_ARC
(8,5),-0.443025 # DEPENDENCYPART_ARC
(8,6),-0.662073 # DEPENDENCYPART_ARC
(8,7),0.0193567 # DEPENDENCYPART_ARC
(8,9),1.3626 # DEPENDENCYPART_ARC
(8,10),0.378961 # DEPENDENCYPART_ARC
(8,11),-0.371462 # DEPENDENCYPART_ARC
(8,12),-0.0600906 # DEPENDENCYPART_ARC
(8,13),-0.750851 # DEPENDENCYPART_ARC
(8,14),-0.75018 # DEPENDENCYPART_ARC
(8,15),-0.739583 # DEPENDENCYPART_ARC
(8,16),-0.192663 # DEPENDENCYPART_ARC
(8,17),-0.34567 # DEPENDENCYPART_ARC
(8,18),-0.640414 # DEPENDENCYPART_ARC
(8,19),-0.256735 # DEPENDENCYPART_ARC
(8,20),-0.799989 # DEPENDENCYPART_ARC
(8,21),-0.367796 # DEPENDENCYPART_ARC
(8,22),-0.374699 # DEPENDENCYPART_ARC
(9,1),-1.4948 # DEPENDENCYPART_ARC
(9,2),-1.50183 # DEPENDENCYPART_ARC
(9,3),-1.87343 # DEPENDENCYPART_ARC
(9,4),-1.45252 # DEPENDENCYPART_ARC
(9,5),-1.19009 # DEPENDENCYPART_ARC
(9,6),-1.26816 # DEPENDENCYPART_ARC
(9,7),-1.4147 # DEPENDENCYPART_ARC
(9,8),-0.535807 # DEPENDENCYPART_ARC
(9,10),1.4308 # DEPENDENCYPART_ARC
(9,11),-1.4167 # DEPENDENCYPART_ARC
(9,12),-0.0154213 # DEPENDENCYPART_ARC
(9,13),-1.38051 # DEPENDENCYPART_ARC
(9,14),-1.22947 # DEPENDENCYPART_ARC
(9,15),-1.59327 # DEPENDENCYPART_ARC
(9,16),-0.664009 # DEPENDENCYPART_ARC
(9,17),-1.23758 # DEPENDENCYPART_ARC
(9,18),-1.65399 # DEPENDENCYPART_ARC
(9,19),-0.878835 # DEPENDENCYPART_ARC
(9,20),-1.23798 # DEPENDENCYPART_ARC
(9,21),-1.08351 # DEPENDENCYPART_ARC
(9,22),-0.951903 # DEPENDENCYPART_ARC
(10,1),-0.826883 # DEPENDENCYPART_ARC
(10,2),-0.785087 # DEPENDENCYPART_ARC
(10,3),-1.14221 # DEPENDENCYPART_ARC
(10,4),-0.922428 # DEPENDENCYPART_ARC
(10,5),-0.555308 # DEPENDENCYPART_ARC
(10,6),-0.711691 # DEPENDENCYPART_ARC
(10,7),-0.483598 # DEPENDENCYPART_ARC
(10,8),-0.457145 # DEPENDENCYPART_ARC
(10,9),0.0479844 # DEPENDENCYPART_ARC
(10,11),-0.494075 # DEPENDENCYPART_ARC
(10,12),-0.135222 # DEPENDENCYPART_ARC
(10,13),-0.939185 # DEPENDENCYPART_ARC
(10,14),-0.826957 # DEPENDENCYPART_ARC
(10,15),-1.25303 # DEPENDENCYPART_ARC
(10,16),-0.653404 # DEPENDENCYPART_ARC
(10,17),-0.870437 # DEPENDENCYPART_ARC
(10,18),-1.47843 # DEPENDENCYPART_ARC
(10,19),-1.12713 # DEPENDENCYPART_ARC
(10,20),-1.08613 # DEPENDENCYPART_ARC
(10,21),-1.00496 # DEPENDENCYPART_ARC
(10,22),-0.991251 # DEPENDENCYPART_ARC
(11,1),-1.36994 # DEPENDENCYPART_ARC
(11,2),-1.29129 # DEPENDENCYPART_ARC
(11,3),-1.26159 # DEPENDENCYPART_ARC
(11,4),-1.19898 # DEPENDENCYPART_ARC
(11,5),-1.21825 # DEPENDENCYPART_ARC
(11,6),-1.19114 # DEPENDENCYPART_ARC
(11,7),-1.01499 # DEPENDENCYPART_ARC
(11,8),-0.689667 # DEPENDENCYPART_ARC
(11,9),-0.820485 # DEPENDENCYPART_ARC
(11,10),0.173644 # DEPENDENCYPART_ARC
(11,12),2.11664 # DEPENDENCYPART_ARC
(11,13),-0.408397 # DEPENDENCYPART_ARC
(11,14),-0.773238 # DEPENDENCYPART_ARC
(11,15),-0.689297 # DEPENDENCYPART_ARC
(11,16),0.0416551 # DEPENDENCYPART_ARC
(11,17),-0.32745 # DEPENDENCYPART_ARC
(11,18),-0.396429 # DEPENDENCYPART_ARC
(11,19),0.0244273 # DEPENDENCYPART_ARC
(11,20),-0.296366 # DEPENDENCYPART_ARC
(11,21),-0.0467668 # DEPENDENCYPART_ARC
(11,22),-0.295715 # DEPENDENCYPART_ARC
(12,1),-1.69178 # DEPENDENCYPART_ARC
(12,2),-1.69198 # DEPENDENCYPART_ARC
(12,3),-1.96068 # DEPENDENCYPART_ARC
(12,4),-1.67957 # DEPENDENCYPART_ARC
(12,5),-1.15384 # DEPENDENCYPART_ARC
(12,6),-1.48061 # DEPENDENCYPART_ARC
(12,7),-1.53366 # DEPENDENCYPART_ARC
(12,8),-1.23434 # DEPENDENCYPART_ARC
(12,9),-1.18828 # DEPENDENCYPART_ARC
(12,10),-1.24799 # DEPENDENCYPART_ARC
(12,11),-0.714015 # DEPENDENCYPART_ARC
(12,13),-1.24532 # DEPENDENCYPART_ARC
(12,14),-1.12687 # DEPENDENCYPART_ARC
(12,15),-1.64938 # DEPENDENCYPART_ARC
(12,16),-0.968402 # DEPENDENCYPART_ARC
(12,17),-1.3371 # DEPENDENCYPART_ARC
(12,18),-1.88448 # DEPENDENCYPART_ARC
(12,19),-1.35383 # DEPENDENCYPART_ARC
(12,20),-1.58531 # DEPENDENCYPART_ARC
(12,21),-1.41283 # DEPENDENCYPART_ARC
(12,22),-1.30779 # DEPENDENCYPART_ARC
(13,1),-2.37832 # DEPENDENCYPART_ARC
(13,2),-2.52265 # DEPENDENCYPART_ARC
(13,3),-1.43019 # DEPENDENCYPART_ARC
(13,4),-2.27205 # DEPENDENCYPART_ARC
(13,5),-1.39036 # DEPENDENCYPART_ARC
(13,6),-1.99844 # DEPENDENCYPART_ARC
(13,7),-1.96024 # DEPENDENCYPART_ARC
(13,8),-1.00301 # DEPENDENCYPART_ARC
(13,9),-1.83171 # DEPENDENCYPART_ARC
(13,10),-1.26899 # DEPENDENCYPART_ARC
(13,11),-0.597925 # DEPENDENCYPART_ARC
(13,12),0.174761 # DEPENDENCYPART_ARC
(13,14),2.40508 # DEPENDENCYPART_ARC
(13,15),2.00267 # DEPENDENCYPART_ARC
(13,16),-0.0516953 # DEPENDENCYPART_ARC
(13,17),-0.149372 # DEPENDENCYPART_ARC
(13,18),-0.380495 # DEPENDENCYPART_ARC
(13,19),-0.30706 # DEPENDENCYPART_ARC
(13,20),-0.383331 # DEPENDENCYPART_ARC
(13,21),-0.45657 # DEPENDENCYPART_ARC
(13,22),-0.464433 # DEPENDENCYPART_ARC
(14,1),-1.98356 # DEPENDENCYPART_ARC
(14,2),-2.18457 # DEPENDENCYPART_ARC
(14,3),-1.73641 # DEPENDENCYPART_ARC
(14,4),-1.91719 # DEPENDENCYPART_ARC
(14,5),-1.44319 # DEPENDENCYPART_ARC
(14,6),-1.47874 # DEPENDENCYPART_ARC
(14,7),-1.63896 # DEPENDENCYPART_ARC
(14,8),-1.17439 # DEPENDENCYPART_ARC
(14,9),-1.53112 # DEPENDENCYPART_ARC
(14,10),-1.31 # DEPENDENCYPART_ARC
(14,11),-0.367124 # DEPENDENCYPART_ARC
(14,12),-0.963801 # DEPENDENCYPART_ARC
(14,13),0.22711 # DEPENDENCYPART_ARC
(14,15),0.511325 # DEPENDENCYPART_ARC
(14,16),0.320224 # DEPENDENCYPART_ARC
(14,17),-0.503739 # DEPENDENCYPART_ARC
(14,18),-0.527452 # DEPENDENCYPART_ARC
(14,19),-0.386241 # DEPENDENCYPART_ARC
(14,20),-0.551422 # DEPENDENCYPART_ARC
(14,21),-0.286446 # DEPENDENCYPART_ARC
(14,22),-0.467984 # DEPENDENCYPART_ARC
(15,1),-1.72337 # DEPENDENCYPART_ARC
(15,2),-2.18935 # DEPENDENCYPART_ARC
(15,3),-1.51244 # DEPENDENCYPART_ARC
(15,4),-2.02653 # DEPENDENCYPART_ARC
(15,5),-1.71177 # DEPENDENCYPART_ARC
(15,6),-1.57932 # DEPENDENCYPART_ARC
(15,7),-1.5133 # DEPENDENCYPART_ARC
(15,8),-1.22027 # DEPENDENCYPART_ARC
(15,9),-1.45688 # DEPENDENCYPART_ARC
(15,10),-1.39707 # DEPENDENCYPART_ARC
(15,11),-0.672307 # DEPENDENCYPART_ARC
(15,12),-1.01757 # DEPENDENCYPART_ARC
(15,13),-0.891239 # DEPENDENCYPART_ARC
(15,14),-0.583086 # DEPENDENCYPART_ARC
(15,16),1.8517 # DEPENDENCYPART_ARC
(15,17),-0.118093 # DEPENDENCYPART_ARC
(15,18),-0.288312 # DEPENDENCYPART_ARC
(15,19),-0.0858009 # DEPENDENCYPART_ARC
(15,20),-0.505926 # DEPENDENCYPART_ARC
(15,21),0.0214157 # DEPENDENCYPART_ARC
(15,22),-0.269444 # DEPENDENCYPART_ARC
(16,1),-1.61117 # DEPENDENCYPART_ARC
(16,2),-1.62698 # DEPENDENCYPART_ARC
(16,3),-1.98833 # DEPENDENCYPART_ARC
(16,4),-1.96893 # DEPENDENCYPART_ARC
(16,5),-1.471 # DEPENDENCYPART_ARC
(16,6),-1.5293 # DEPENDENCYPART_ARC
(16,7),-1.53612 # DEPENDENCYPART_ARC
(16,8),-1.3571 # DEPENDENCYPART_ARC
(16,9),-1.45174 # DEPENDENCYPART_ARC
(16,10),-1.35095 # DEPENDENCYPART_ARC
(16,11),-1.46475 # DEPENDENCYPART_ARC
(16,12),-1.32841 # DEPENDENCYPART_ARC
(16,13),-0.931444 # DEPENDENCYPART_ARC
(16,14),-0.918638 # DEPENDENCYPART_ARC
(16,15),-0.741036 # DEPENDENCYPART_ARC
(16,17),-0.667985 # DEPENDENCYPART_ARC
(16,18),-1.68052 # DEPENDENCYPART_ARC
(16,19),-0.782701 # DEPENDENCYPART_ARC
(16,20),-1.42828 # DEPENDENCYPART_ARC
(16,21),-1.15306 # DEPENDENCYPART_ARC
(16,22),-1.00287 # DEPENDENCYPART_ARC
(17,1),-1.49041 # DEPENDENCYPART_ARC
(17,2),-0.727493 # DEPENDENCYPART_ARC
(17,3),-0.84202 # DEPENDENCYPART_ARC
(17,4),-0.378846 # DEPENDENCYPART_ARC
(17,5),-1.6216 # DEPENDENCYPART_ARC
(17,6),-1.3309 # DEPENDENCYPART_ARC
(17,7),-1.2035 # DEPENDENCYPART_ARC
(17,8),-0.341961 # DEPENDENCYPART_ARC
(17,9),-1.14678 # DEPENDENCYPART_ARC
(17,10),-0.988466 # DEPENDENCYPART_ARC
(17,11),-0.553076 # DEPENDENCYPART_ARC
(17,12),-1.19834 # DEPENDENCYPART_ARC
(17,13),-0.0343555 # DEPENDENCYPART_ARC
(17,14),0.34237 # DEPENDENCYPART_ARC
(17,15),-0.00101731 # DEPENDENCYPART_ARC
(17,16),0.128863 # DEPENDENCYPART_ARC
(17,18),-0.251582 # DEPENDENCYPART_ARC
(17,19),-0.176168 # DEPENDENCYPART_ARC
(17,20),-0.371964 # DEPENDENCYPART_ARC
(17,21),-0.538363 # DEPENDENCYPART_ARC
(17,22),-0.938011 # DEPENDENCYPART_ARC
(18,1),-2.08987 # DEPENDENCYPART_ARC
(18,2),-2.02659 # DEPENDENCYPART_ARC
(18,3),-2.19487 # DEPENDENCYPART_ARC
(18,4),-2.19686 # DEPENDENCYPART_ARC
(18,5),-2.20016 # DEPENDENCYPART_ARC
(18,6),-2.28517 # DEPENDENCYPART_ARC
(18,7),-2.27905 # DEPENDENCYPART_ARC
(18,8),-1.953 # DEPENDENCYPART_ARC
(18,9),-2.18165 # DEPENDENCYPART_ARC
(18,10),-1.93326 # DEPENDENCYPART_ARC
(18,11),-1.78841 # DEPENDENCYPART_ARC
(18,12),-1.9264 # DEPENDENCYPART_ARC
(18,13),-1.84307 # DEPENDENCYPART_ARC
(18,14),-2.08448 # DEPENDENCYPART_ARC
(18,15),-1.51482 # DEPENDENCYPART_ARC
(18,16),-1.56122 # DEPENDENCYPART_ARC
(18,17),-0.756058 # DEPENDENCYPART_ARC
(18,19),1.39513 # DEPENDENCYPART_ARC
(18,20),-0.322409 # DEPENDENCYPART_ARC
(18,21),-0.00125107 # DEPENDENCYPART_ARC
(18,22),-0.317563 # DEPENDENCYPART_ARC
(19,1),-1.66178 # DEPENDENCYPART_ARC
(19,2),-1.71064 # DEPENDENCYPART_ARC
(19,3),-1.86903 # DEPENDENCYPART_ARC
(19,4),-2.04602 # DEPENDENCYPART_ARC
(19,5),-1.26744 # DEPENDENCYPART_ARC
(19,6),-1.39502 # DEPENDENCYPART_ARC
(19,7),-1.52722 # DEPENDENCYPART_ARC
(19,8),-1.28681 # DEPENDENCYPART_ARC
(19,9),-1.39842 # DEPENDENCYPART_ARC
(19,10),-1.28918 # DEPENDENCYPART_ARC
(19,11),-1.40409 # DEPENDENCYPART_ARC
(19,12),-1.32135 # DEPENDENCYPART_ARC
(19,13),-1.09794 # DEPENDENCYPART_ARC
(19,14),-1.06469 # DEPENDENCYPART_ARC
(19,15),-1.40957 # DEPENDENCYPART_ARC
(19,16),-0.812265 # DEPENDENCYPART_ARC
(19,17),-0.611301 # DEPENDENCYPART_ARC
(19,18),-0.383124 # DEPENDENCYPART_ARC
(19,20),-0.173691 # DEPENDENCYPART_ARC
(19,21),-0.265774 # DEPENDENCYPART_ARC
(19,22),-0.314198 # DEPENDENCYPART_ARC
(20,1),-1.87382 # DEPENDENCYPART_ARC
(20,2),-1.78806 # DEPENDENCYPART_ARC
(20,3),-1.73631 # DEPENDENCYPART_ARC
(20,4),-1.80588 # DEPENDENCYPART_ARC
(20,5),-1.56271 # DEPENDENCYPART_ARC
(20,6),-1.78453 # DEPENDENCYPART_ARC
(20,7),-1.73163 # DEPENDENCYPART_ARC
(20,8),-1.54406 # DEPENDENCYPART_ARC
(20,9),-1.79286 # DEPENDENCYPART_ARC
(20,10),-1.68158 # DEPENDENCYPART_ARC
(20,11),-1.33264 # DEPENDENCYPART_ARC
(20,12),-1.59968 # DEPENDENCYPART_ARC
(20,13),-1.63599 # DEPENDENCYPART_ARC
(20,14),-1.53651 # DEPENDENCYPART_ARC
(20,15),-1.36591 # DEPENDENCYPART_ARC
(20,16),-1.40944 # DEPENDENCYPART_ARC
(20,17),-0.779069 # DEPENDENCYPART_ARC
(20,18),-0.720261 # DEPENDENCYPART_ARC
(20,19),-0.463931 # DEPENDENCYPART_ARC
(20,21),1.33977 # DEPENDENCYPART_ARC
(20,22),0.303177 # DEPENDENCYPART_ARC
(21,1),-1.93619 # DEPENDENCYPART_ARC
(21,2),-1.98609 # DEPENDENCYPART_ARC
(21,3),-2.19686 # DEPENDENCYPART_ARC
(21,4),-2.38099 # DEPENDENCYPART_ARC
(21,5),-1.71939 # DEPENDENCYPART_ARC
(21,6),-1.8112 # DEPENDENCYPART_ARC
(21,7),-1.84237 # DEPENDENCYPART_ARC
(21,8),-1.75118 # DEPENDENCYPART_ARC
(21,9),-1.8636 # DEPENDENCYPART_ARC
(21,10),-1.78327 # DEPENDENCYPART_ARC
(21,11),-1.81806 # DEPENDENCYPART_ARC
(21,12),-1.73108 # DEPENDENCYPART_ARC
(21,13),-1.661 # DEPENDENCYPART_ARC
(21,14),-1.73236 # DEPENDENCYPART_ARC
(21,15),-1.94765 # DEPENDENCYPART_ARC
(21,16),-1.57286 # DEPENDENCYPART_ARC
(21,17),-1.16317 # DEPENDENCYPART_ARC
(21,18),-1.34049 # DEPENDENCYPART_ARC
(21,19),-1.44782 # DEPENDENCYPART_ARC
(21,20),-0.570831 # DEPENDENCYPART_ARC
(21,22),1.6197 # DEPENDENCYPART_ARC
(22,1),-2.41427 # DEPENDENCYPART_ARC
(22,2),-2.0921 # DEPENDENCYPART_ARC
(22,3),-2.15143 # DEPENDENCYPART_ARC
(22,4),-2.63505 # DEPENDENCYPART_ARC
(22,5),-1.55026 # DEPENDENCYPART_ARC
(22,6),-1.754 # DEPENDENCYPART_ARC
(22,7),-1.6882 # DEPENDENCYPART_ARC
(22,8),-1.65957 # DEPENDENCYPART_ARC
(22,9),-1.65689 # DEPENDENCYPART_ARC
(22,10),-1.64909 # DEPENDENCYPART_ARC
(22,11),-1.73516 # DEPENDENCYPART_ARC
(22,12),-1.61784 # DEPENDENCYPART_ARC
(22,13),-1.69005 # DEPENDENCYPART_ARC
(22,14),-1.60864 # DEPENDENCYPART_ARC
(22,15),-1.84303 # DEPENDENCYPART_ARC
(22,16),-1.42565 # DEPENDENCYPART_ARC
(22,17),-1.22922 # DEPENDENCYPART_ARC
(22,18),-1.38916 # DEPENDENCYPART_ARC
(22,19),-1.18291 # DEPENDENCYPART_ARC
(22,20),-1.1055 # DEPENDENCYPART_ARC
(22,21),-0.552421 # DEPENDENCYPART_ARC
