# _root_ gero pistorius organista zaharrak paperezko pezeta , hogerleko eta bosdurokoak eman zizkidan gordetzeko , baina mesede_baten_truke .
#goldHeads=11,3,11,3,6,9,6,9,11,9,15,11,11,13,0,15,16,
#predictedHeads=11,3,5,3,6,9,6,9,11,11,15,11,11,13,0,15,16,
(4,3),0.303061 # DEPENDENCYPART_ARC
(4,5),-0.311319 # DEPENDENCYPART_ARC
(4,6),-1.68926 # DEPENDENCYPART_ARC
(4,7),-0.744462 # DEPENDENCYPART_ARC
(4,8),-2.0174 # DEPENDENCYPART_ARC
(4,9),-1.80025 # DEPENDENCYPART_ARC
(4,10),-1.24468 # DEPENDENCYPART_ARC
(4,11),-2.63002 # DEPENDENCYPART_ARC
(4,12),-3.04746 # DEPENDENCYPART_ARC
(4,13),-2.75096 # DEPENDENCYPART_ARC
(4,14),-1.2024 # DEPENDENCYPART_ARC
(4,15),-1.73603 # DEPENDENCYPART_ARC
(4,16),-2.35303 # DEPENDENCYPART_ARC
(4,17),-1.48866 # DEPENDENCYPART_ARC
(5,1),-1.13777 # DEPENDENCYPART_ARC
(5,2),-0.875898 # DEPENDENCYPART_ARC
(5,3),0.349074 # DEPENDENCYPART_ARC
(5,4),-0.993656 # DEPENDENCYPART_ARC
(5,6),-0.762938 # DEPENDENCYPART_ARC
(5,7),-0.535491 # DEPENDENCYPART_ARC
(5,8),-2.16559 # DEPENDENCYPART_ARC
(5,9),-1.32942 # DEPENDENCYPART_ARC
(5,10),-2.42325 # DEPENDENCYPART_ARC
(5,11),-3.15461 # DEPENDENCYPART_ARC
(5,12),-2.44446 # DEPENDENCYPART_ARC
(5,13),-2.79904 # DEPENDENCYPART_ARC
(5,14),-1.89223 # DEPENDENCYPART_ARC
(5,15),-1.30963 # DEPENDENCYPART_ARC
(5,16),-2.6838 # DEPENDENCYPART_ARC
(5,17),-1.4025 # DEPENDENCYPART_ARC
(6,1),-0.847311 # DEPENDENCYPART_ARC
(6,2),0.0232437 # DEPENDENCYPART_ARC
(6,3),0.0965766 # DEPENDENCYPART_ARC
(6,4),-1.04533 # DEPENDENCYPART_ARC
(6,5),1.62895 # DEPENDENCYPART_ARC
(6,7),1.95878 # DEPENDENCYPART_ARC
(6,8),0.247949 # DEPENDENCYPART_ARC
(6,9),-0.0494297 # DEPENDENCYPART_ARC
(6,10),-1.22961 # DEPENDENCYPART_ARC
(6,11),-0.700982 # DEPENDENCYPART_ARC
(6,12),-1.29091 # DEPENDENCYPART_ARC
(6,13),-0.594811 # DEPENDENCYPART_ARC
(6,14),-0.713264 # DEPENDENCYPART_ARC
(6,15),-0.756776 # DEPENDENCYPART_ARC
(6,16),-0.707947 # DEPENDENCYPART_ARC
(6,17),-0.131436 # DEPENDENCYPART_ARC
(7,2),-0.823878 # DEPENDENCYPART_ARC
(7,3),-0.880269 # DEPENDENCYPART_ARC
(7,4),-0.764803 # DEPENDENCYPART_ARC
(7,5),-0.511433 # DEPENDENCYPART_ARC
(7,6),-0.380418 # DEPENDENCYPART_ARC
(7,8),-0.420309 # DEPENDENCYPART_ARC
(7,9),-1.07951 # DEPENDENCYPART_ARC
(7,11),-0.690746 # DEPENDENCYPART_ARC
(7,12),-0.896795 # DEPENDENCYPART_ARC
(7,13),-0.775639 # DEPENDENCYPART_ARC
(7,15),-0.712278 # DEPENDENCYPART_ARC
(7,16),-1.5534 # DEPENDENCYPART_ARC
(8,1),-1.55674 # DEPENDENCYPART_ARC
(8,2),-1.60197 # DEPENDENCYPART_ARC
(8,3),-1.21783 # DEPENDENCYPART_ARC
(8,4),-2.0692 # DEPENDENCYPART_ARC
(8,5),-0.896278 # DEPENDENCYPART_ARC
(8,6),-0.201466 # DEPENDENCYPART_ARC
(8,7),0.284956 # DEPENDENCYPART_ARC
(8,9),0.373909 # DEPENDENCYPART_ARC
(8,10),-1.21163 # DEPENDENCYPART_ARC
(8,11),-1.1813 # DEPENDENCYPART_ARC
(8,12),-1.56256 # DEPENDENCYPART_ARC
(8,13),-1.12356 # DEPENDENCYPART_ARC
(8,14),-1.21312 # DEPENDENCYPART_ARC
(8,15),-1.3433 # DEPENDENCYPART_ARC
(8,16),-1.31258 # DEPENDENCYPART_ARC
(8,17),-0.930873 # DEPENDENCYPART_ARC
(9,1),-0.712538 # DEPENDENCYPART_ARC
(9,2),-0.0778456 # DEPENDENCYPART_ARC
(9,3),-0.235645 # DEPENDENCYPART_ARC
(9,4),-1.19948 # DEPENDENCYPART_ARC
(9,5),-0.346191 # DEPENDENCYPART_ARC
(9,6),0.742721 # DEPENDENCYPART_ARC
(9,7),-0.925101 # DEPENDENCYPART_ARC
(9,8),2.09212 # DEPENDENCYPART_ARC
(9,10),1.15627 # DEPENDENCYPART_ARC
(9,11),0.429488 # DEPENDENCYPART_ARC
(9,12),-0.53322 # DEPENDENCYPART_ARC
(9,13),-0.00165531 # DEPENDENCYPART_ARC
(9,14),-0.363558 # DEPENDENCYPART_ARC
(9,15),-0.0821482 # DEPENDENCYPART_ARC
(9,16),-0.549623 # DEPENDENCYPART_ARC
(9,17),-0.831311 # DEPENDENCYPART_ARC
(10,1),-1.57946 # DEPENDENCYPART_ARC
(10,2),-1.69228 # DEPENDENCYPART_ARC
(10,3),-1.56436 # DEPENDENCYPART_ARC
(10,5),-1.3392 # DEPENDENCYPART_ARC
(10,6),-1.03682 # DEPENDENCYPART_ARC
(10,7),-1.38717 # DEPENDENCYPART_ARC
(10,8),-0.415208 # DEPENDENCYPART_ARC
(10,9),-0.37124 # DEPENDENCYPART_ARC
(10,11),-0.276379 # DEPENDENCYPART_ARC
(10,13),-1.25668 # DEPENDENCYPART_ARC
(10,14),-0.360521 # DEPENDENCYPART_ARC
(10,15),-0.643685 # DEPENDENCYPART_ARC
(10,16),-1.43426 # DEPENDENCYPART_ARC
(10,17),-0.493185 # DEPENDENCYPART_ARC
(11,1),1.16044 # DEPENDENCYPART_ARC
(11,2),-0.591238 # DEPENDENCYPART_ARC
(11,3),-0.0089213 # DEPENDENCYPART_ARC
(11,4),-0.243111 # DEPENDENCYPART_ARC
(11,5),-1.46983 # DEPENDENCYPART_ARC
(11,6),-0.0633542 # DEPENDENCYPART_ARC
(11,7),-0.72863 # DEPENDENCYPART_ARC
(11,8),0.426035 # DEPENDENCYPART_ARC
(11,9),0.710181 # DEPENDENCYPART_ARC
(11,10),1.7232 # DEPENDENCYPART_ARC
(11,12),1.933 # DEPENDENCYPART_ARC
(11,13),1.1356 # DEPENDENCYPART_ARC
(11,14),-0.418067 # DEPENDENCYPART_ARC
(11,15),0.293408 # DEPENDENCYPART_ARC
(11,16),-0.518679 # DEPENDENCYPART_ARC
(11,17),-0.627529 # DEPENDENCYPART_ARC
(12,1),-1.29849 # DEPENDENCYPART_ARC
(12,2),-1.4476 # DEPENDENCYPART_ARC
(12,3),-1.3923 # DEPENDENCYPART_ARC
(12,4),-1.73636 # DEPENDENCYPART_ARC
(12,5),-1.39355 # DEPENDENCYPART_ARC
(12,6),-1.0005 # DEPENDENCYPART_ARC
(12,7),-1.44842 # DEPENDENCYPART_ARC
(12,8),-0.612674 # DEPENDENCYPART_ARC
(12,9),-1.11518 # DEPENDENCYPART_ARC
(12,11),-1.17942 # DEPENDENCYPART_ARC
(12,13),0.503035 # DEPENDENCYPART_ARC
(12,14),-0.270309 # DEPENDENCYPART_ARC
(12,15),-0.845296 # DEPENDENCYPART_ARC
(12,16),-1.82491 # DEPENDENCYPART_ARC
(12,17),-1.10182 # DEPENDENCYPART_ARC
(13,1),0.0382483 # DEPENDENCYPART_ARC
(13,2),-1.27669 # DEPENDENCYPART_ARC
(13,3),-0.501841 # DEPENDENCYPART_ARC
(13,4),-1.38547 # DEPENDENCYPART_ARC
(13,5),-2.41442 # DEPENDENCYPART_ARC
(13,6),-0.671973 # DEPENDENCYPART_ARC
(13,7),-1.0539 # DEPENDENCYPART_ARC
(13,8),0.038788 # DEPENDENCYPART_ARC
(13,9),0.270754 # DEPENDENCYPART_ARC
(13,10),-0.380688 # DEPENDENCYPART_ARC
(13,11),0.666616 # DEPENDENCYPART_ARC
(13,12),-1.37816 # DEPENDENCYPART_ARC
(13,14),1.1934 # DEPENDENCYPART_ARC
(13,15),-0.794427 # DEPENDENCYPART_ARC
(13,16),-1.27206 # DEPENDENCYPART_ARC
(13,17),-0.810593 # DEPENDENCYPART_ARC
(14,2),-1.48924 # DEPENDENCYPART_ARC
(14,3),-1.56338 # DEPENDENCYPART_ARC
(14,4),-1.67529 # DEPENDENCYPART_ARC
(14,5),-1.50786 # DEPENDENCYPART_ARC
(14,6),-1.67919 # DEPENDENCYPART_ARC
(14,8),-1.43888 # DEPENDENCYPART_ARC
(14,9),-1.03727 # DEPENDENCYPART_ARC
(14,11),-0.695328 # DEPENDENCYPART_ARC
(14,12),-1.11658 # DEPENDENCYPART_ARC
(14,13),-0.0949327 # DEPENDENCYPART_ARC
(14,15),-0.428945 # DEPENDENCYPART_ARC
(14,16),-1.44613 # DEPENDENCYPART_ARC
(15,1),-0.72142 # DEPENDENCYPART_ARC
(15,2),-1.19019 # DEPENDENCYPART_ARC
(15,3),-0.796934 # DEPENDENCYPART_ARC
(15,4),-2.21623 # DEPENDENCYPART_ARC
(15,5),-1.86786 # DEPENDENCYPART_ARC
(15,6),-0.821644 # DEPENDENCYPART_ARC
(15,7),-1.02101 # DEPENDENCYPART_ARC
(15,8),-0.089503 # DEPENDENCYPART_ARC
(15,9),-0.627571 # DEPENDENCYPART_ARC
(15,10),-0.65647 # DEPENDENCYPART_ARC
(15,11),0.948862 # DEPENDENCYPART_ARC
(15,12),-0.773618 # DEPENDENCYPART_ARC
(15,13),-0.0286595 # DEPENDENCYPART_ARC
(15,14),-0.05238 # DEPENDENCYPART_ARC
(15,16),-0.506255 # DEPENDENCYPART_ARC
(15,17),0.0886522 # DEPENDENCYPART_ARC
(16,1),-2.09312 # DEPENDENCYPART_ARC
(16,2),-2.60487 # DEPENDENCYPART_ARC
(16,3),-2.38273 # DEPENDENCYPART_ARC
(16,4),-3.6534 # DEPENDENCYPART_ARC
(16,5),-2.52816 # DEPENDENCYPART_ARC
(16,6),-2.34872 # DEPENDENCYPART_ARC
(16,7),-2.34125 # DEPENDENCYPART_ARC
(16,8),-1.99199 # DEPENDENCYPART_ARC
(16,9),-1.81871 # DEPENDENCYPART_ARC
(16,10),-2.49008 # DEPENDENCYPART_ARC
(16,11),-1.88976 # DEPENDENCYPART_ARC
(16,12),-2.2827 # DEPENDENCYPART_ARC
(16,13),-2.57205 # DEPENDENCYPART_ARC
(16,14),-1.5664 # DEPENDENCYPART_ARC
(16,15),-0.885447 # DEPENDENCYPART_ARC
(16,17),2.48074 # DEPENDENCYPART_ARC
(17,3),-1.97012 # DEPENDENCYPART_ARC
(17,5),-1.81292 # DEPENDENCYPART_ARC
(17,6),-2.14219 # DEPENDENCYPART_ARC
(17,7),-1.61173 # DEPENDENCYPART_ARC
(17,8),-1.66371 # DEPENDENCYPART_ARC
(17,9),-1.1459 # DEPENDENCYPART_ARC
(17,11),-1.50746 # DEPENDENCYPART_ARC
(17,13),-1.39919 # DEPENDENCYPART_ARC
(17,14),-1.12722 # DEPENDENCYPART_ARC
(17,15),-0.818599 # DEPENDENCYPART_ARC
(17,16),-0.652502 # DEPENDENCYPART_ARC
