# _root_ politikarien_artean , jordi pujol_kataluniako erkidegoko presidentea egon zen , eta pp eta pscko ordezkariak ere han ziren .
#goldHeads=7,1,6,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
#predictedHeads=7,3,7,3,6,7,10,7,8,0,12,14,12,10,0,17,10,17,
(2,12),-1.81773 # DEPENDENCYPART_ARC
(2,13),-1.51608 # DEPENDENCYPART_ARC
(2,14),-1.60283 # DEPENDENCYPART_ARC
(2,15),-1.75329 # DEPENDENCYPART_ARC
(2,16),-1.69675 # DEPENDENCYPART_ARC
(2,17),-1.57596 # DEPENDENCYPART_ARC
(2,18),-1.50371 # DEPENDENCYPART_ARC
(3,1),-1.89624 # DEPENDENCYPART_ARC
(3,2),-0.317683 # DEPENDENCYPART_ARC
(3,4),1.9008 # DEPENDENCYPART_ARC
(3,5),0.270108 # DEPENDENCYPART_ARC
(3,6),-0.304598 # DEPENDENCYPART_ARC
(3,7),-1.31786 # DEPENDENCYPART_ARC
(3,8),-0.95056 # DEPENDENCYPART_ARC
(3,9),-0.966702 # DEPENDENCYPART_ARC
(3,10),-1.03477 # DEPENDENCYPART_ARC
(3,11),-0.449634 # DEPENDENCYPART_ARC
(3,12),-1.12958 # DEPENDENCYPART_ARC
(3,13),-1.25505 # DEPENDENCYPART_ARC
(3,14),-0.804109 # DEPENDENCYPART_ARC
(3,15),-1.28608 # DEPENDENCYPART_ARC
(3,16),-1.26682 # DEPENDENCYPART_ARC
(3,17),-1.62654 # DEPENDENCYPART_ARC
(3,18),-0.81927 # DEPENDENCYPART_ARC
(4,1),-3.38501 # DEPENDENCYPART_ARC
(4,2),-1.34435 # DEPENDENCYPART_ARC
(4,3),0.0893231 # DEPENDENCYPART_ARC
(4,5),-0.78069 # DEPENDENCYPART_ARC
(4,6),-1.49553 # DEPENDENCYPART_ARC
(4,7),-3.86013 # DEPENDENCYPART_ARC
(4,8),-2.41858 # DEPENDENCYPART_ARC
(4,9),-1.36999 # DEPENDENCYPART_ARC
(4,10),-1.99538 # DEPENDENCYPART_ARC
(4,11),-1.31349 # DEPENDENCYPART_ARC
(4,12),-2.13741 # DEPENDENCYPART_ARC
(4,13),-3.43843 # DEPENDENCYPART_ARC
(4,14),-2.34755 # DEPENDENCYPART_ARC
(4,15),-2.29204 # DEPENDENCYPART_ARC
(4,16),-1.5502 # DEPENDENCYPART_ARC
(4,17),-3.42852 # DEPENDENCYPART_ARC
(4,18),-1.40982 # DEPENDENCYPART_ARC
(5,1),-2.28593 # DEPENDENCYPART_ARC
(5,2),-1.25989 # DEPENDENCYPART_ARC
(5,3),0.62633 # DEPENDENCYPART_ARC
(5,4),0.960823 # DEPENDENCYPART_ARC
(5,6),-0.846381 # DEPENDENCYPART_ARC
(5,7),-2.98457 # DEPENDENCYPART_ARC
(5,8),-2.3721 # DEPENDENCYPART_ARC
(5,9),-1.49772 # DEPENDENCYPART_ARC
(5,10),-1.67546 # DEPENDENCYPART_ARC
(5,11),-2.0792 # DEPENDENCYPART_ARC
(5,12),-1.70183 # DEPENDENCYPART_ARC
(5,13),-3.12448 # DEPENDENCYPART_ARC
(5,14),-2.60055 # DEPENDENCYPART_ARC
(5,15),-1.84195 # DEPENDENCYPART_ARC
(5,16),-1.7135 # DEPENDENCYPART_ARC
(5,17),-3.05419 # DEPENDENCYPART_ARC
(5,18),-1.75141 # DEPENDENCYPART_ARC
(6,1),-1.1559 # DEPENDENCYPART_ARC
(6,2),-1.47705 # DEPENDENCYPART_ARC
(6,3),0.133509 # DEPENDENCYPART_ARC
(6,4),1.11256 # DEPENDENCYPART_ARC
(6,5),1.96852 # DEPENDENCYPART_ARC
(6,7),-0.924182 # DEPENDENCYPART_ARC
(6,8),-0.651206 # DEPENDENCYPART_ARC
(6,9),-0.866081 # DEPENDENCYPART_ARC
(6,10),-1.02007 # DEPENDENCYPART_ARC
(6,11),-0.957651 # DEPENDENCYPART_ARC
(6,12),-1.07863 # DEPENDENCYPART_ARC
(6,13),-1.79454 # DEPENDENCYPART_ARC
(6,14),-1.34697 # DEPENDENCYPART_ARC
(6,15),-1.30029 # DEPENDENCYPART_ARC
(6,16),-1.1588 # DEPENDENCYPART_ARC
(6,17),-1.7395 # DEPENDENCYPART_ARC
(6,18),-1.21125 # DEPENDENCYPART_ARC
(7,1),0.801144 # DEPENDENCYPART_ARC
(7,2),-1.50169 # DEPENDENCYPART_ARC
(7,3),0.86897 # DEPENDENCYPART_ARC
(7,4),-0.0632468 # DEPENDENCYPART_ARC
(7,5),0.31439 # DEPENDENCYPART_ARC
(7,6),2.59191 # DEPENDENCYPART_ARC
(7,8),1.94798 # DEPENDENCYPART_ARC
(7,9),-0.163501 # DEPENDENCYPART_ARC
(7,10),-0.012193 # DEPENDENCYPART_ARC
(7,11),-1.13003 # DEPENDENCYPART_ARC
(7,12),-0.181447 # DEPENDENCYPART_ARC
(7,13),-2.38502 # DEPENDENCYPART_ARC
(7,14),-0.670956 # DEPENDENCYPART_ARC
(7,15),-0.252753 # DEPENDENCYPART_ARC
(7,16),-1.14678 # DEPENDENCYPART_ARC
(7,17),0.0135878 # DEPENDENCYPART_ARC
(7,18),-0.825963 # DEPENDENCYPART_ARC
(8,1),-1.56867 # DEPENDENCYPART_ARC
(8,2),-1.58068 # DEPENDENCYPART_ARC
(8,3),-1.08493 # DEPENDENCYPART_ARC
(8,4),-1.13398 # DEPENDENCYPART_ARC
(8,5),-0.540329 # DEPENDENCYPART_ARC
(8,6),-0.325435 # DEPENDENCYPART_ARC
(8,7),-1.19874 # DEPENDENCYPART_ARC
(8,9),1.99513 # DEPENDENCYPART_ARC
(8,10),-1.12566 # DEPENDENCYPART_ARC
(8,11),-0.999825 # DEPENDENCYPART_ARC
(8,12),-1.38107 # DEPENDENCYPART_ARC
(8,13),-1.11238 # DEPENDENCYPART_ARC
(8,14),-1.41055 # DEPENDENCYPART_ARC
(8,15),-1.00751 # DEPENDENCYPART_ARC
(8,16),-0.723389 # DEPENDENCYPART_ARC
(8,17),-1.10808 # DEPENDENCYPART_ARC
(8,18),-0.85968 # DEPENDENCYPART_ARC
(9,1),-1.25165 # DEPENDENCYPART_ARC
(9,2),-1.58155 # DEPENDENCYPART_ARC
(9,3),-0.803896 # DEPENDENCYPART_ARC
(9,4),-0.674336 # DEPENDENCYPART_ARC
(9,5),-0.558479 # DEPENDENCYPART_ARC
(9,6),-0.371706 # DEPENDENCYPART_ARC
(9,7),-0.374024 # DEPENDENCYPART_ARC
(9,8),-0.0450445 # DEPENDENCYPART_ARC
(9,10),-0.490344 # DEPENDENCYPART_ARC
(9,11),-1.31845 # DEPENDENCYPART_ARC
(9,12),-1.16706 # DEPENDENCYPART_ARC
(9,13),-1.35931 # DEPENDENCYPART_ARC
(9,14),-1.40236 # DEPENDENCYPART_ARC
(9,15),-1.29495 # DEPENDENCYPART_ARC
(9,16),-1.68989 # DEPENDENCYPART_ARC
(9,17),-1.14687 # DEPENDENCYPART_ARC
(9,18),-0.985977 # DEPENDENCYPART_ARC
(10,1),-0.585626 # DEPENDENCYPART_ARC
(10,2),-1.6411 # DEPENDENCYPART_ARC
(10,3),-0.111465 # DEPENDENCYPART_ARC
(10,4),-0.791 # DEPENDENCYPART_ARC
(10,5),-0.852822 # DEPENDENCYPART_ARC
(10,6),0.0121503 # DEPENDENCYPART_ARC
(10,7),1.84712 # DEPENDENCYPART_ARC
(10,8),-0.526479 # DEPENDENCYPART_ARC
(10,9),-0.199656 # DEPENDENCYPART_ARC
(10,11),0.0532358 # DEPENDENCYPART_ARC
(10,12),-0.0702585 # DEPENDENCYPART_ARC
(10,13),-0.272206 # DEPENDENCYPART_ARC
(10,14),0.613974 # DEPENDENCYPART_ARC
(10,15),-0.0310944 # DEPENDENCYPART_ARC
(10,16),-0.735877 # DEPENDENCYPART_ARC
(10,17),0.666998 # DEPENDENCYPART_ARC
(10,18),-0.845096 # DEPENDENCYPART_ARC
(11,1),-3.96195 # DEPENDENCYPART_ARC
(11,2),-2.83975 # DEPENDENCYPART_ARC
(11,3),-3.97244 # DEPENDENCYPART_ARC
(11,4),-3.31808 # DEPENDENCYPART_ARC
(11,5),-2.30222 # DEPENDENCYPART_ARC
(11,6),-3.45289 # DEPENDENCYPART_ARC
(11,7),-2.84669 # DEPENDENCYPART_ARC
(11,8),-2.1771 # DEPENDENCYPART_ARC
(11,9),-2.04898 # DEPENDENCYPART_ARC
(11,10),-1.31602 # DEPENDENCYPART_ARC
(11,12),0.195533 # DEPENDENCYPART_ARC
(11,13),-0.864083 # DEPENDENCYPART_ARC
(11,14),-0.766512 # DEPENDENCYPART_ARC
(11,15),-1.07664 # DEPENDENCYPART_ARC
(11,16),-0.920435 # DEPENDENCYPART_ARC
(11,17),-1.23371 # DEPENDENCYPART_ARC
(11,18),-0.760011 # DEPENDENCYPART_ARC
(12,1),-0.799228 # DEPENDENCYPART_ARC
(12,2),-2.2427 # DEPENDENCYPART_ARC
(12,3),-0.704317 # DEPENDENCYPART_ARC
(12,4),-1.32628 # DEPENDENCYPART_ARC
(12,5),-1.47953 # DEPENDENCYPART_ARC
(12,6),-0.557615 # DEPENDENCYPART_ARC
(12,7),-0.0189744 # DEPENDENCYPART_ARC
(12,8),-1.18951 # DEPENDENCYPART_ARC
(12,9),-1.36666 # DEPENDENCYPART_ARC
(12,10),-0.409921 # DEPENDENCYPART_ARC
(12,11),2.57082 # DEPENDENCYPART_ARC
(12,13),2.52809 # DEPENDENCYPART_ARC
(12,14),1.45506 # DEPENDENCYPART_ARC
(12,15),0.207609 # DEPENDENCYPART_ARC
(12,16),-0.618319 # DEPENDENCYPART_ARC
(12,17),0.111822 # DEPENDENCYPART_ARC
(12,18),-0.613027 # DEPENDENCYPART_ARC
(13,1),-6.89288 # DEPENDENCYPART_ARC
(13,2),-3.3946 # DEPENDENCYPART_ARC
(13,3),-4.21352 # DEPENDENCYPART_ARC
(13,4),-5.94003 # DEPENDENCYPART_ARC
(13,5),-4.3243 # DEPENDENCYPART_ARC
(13,6),-5.24254 # DEPENDENCYPART_ARC
(13,7),-3.40955 # DEPENDENCYPART_ARC
(13,8),-3.08882 # DEPENDENCYPART_ARC
(13,9),-2.94331 # DEPENDENCYPART_ARC
(13,10),-2.59242 # DEPENDENCYPART_ARC
(13,11),-1.47755 # DEPENDENCYPART_ARC
(13,12),-1.24043 # DEPENDENCYPART_ARC
(13,14),0.0740832 # DEPENDENCYPART_ARC
(13,15),-1.80252 # DEPENDENCYPART_ARC
(13,16),-1.48922 # DEPENDENCYPART_ARC
(13,17),-2.55886 # DEPENDENCYPART_ARC
(13,18),-1.46794 # DEPENDENCYPART_ARC
(14,1),-1.89002 # DEPENDENCYPART_ARC
(14,2),-1.50775 # DEPENDENCYPART_ARC
(14,3),-1.9807 # DEPENDENCYPART_ARC
(14,4),-0.647517 # DEPENDENCYPART_ARC
(14,5),-0.254583 # DEPENDENCYPART_ARC
(14,6),-1.4942 # DEPENDENCYPART_ARC
(14,7),-1.20736 # DEPENDENCYPART_ARC
(14,8),-1.29979 # DEPENDENCYPART_ARC
(14,9),-1.20218 # DEPENDENCYPART_ARC
(14,10),-0.00898257 # DEPENDENCYPART_ARC
(14,11),-0.0253171 # DEPENDENCYPART_ARC
(14,12),1.07012 # DEPENDENCYPART_ARC
(14,13),2.29422 # DEPENDENCYPART_ARC
(14,15),0.18905 # DEPENDENCYPART_ARC
(14,16),-0.346729 # DEPENDENCYPART_ARC
(14,17),-1.82043 # DEPENDENCYPART_ARC
(14,18),-0.852183 # DEPENDENCYPART_ARC
(15,1),-2.92353 # DEPENDENCYPART_ARC
(15,2),-3.25028 # DEPENDENCYPART_ARC
(15,3),-2.79677 # DEPENDENCYPART_ARC
(15,4),-3.36983 # DEPENDENCYPART_ARC
(15,5),-3.47149 # DEPENDENCYPART_ARC
(15,6),-2.71767 # DEPENDENCYPART_ARC
(15,7),-2.0516 # DEPENDENCYPART_ARC
(15,8),-2.73877 # DEPENDENCYPART_ARC
(15,9),-2.93247 # DEPENDENCYPART_ARC
(15,10),-2.23663 # DEPENDENCYPART_ARC
(15,11),-1.47842 # DEPENDENCYPART_ARC
(15,12),-1.888 # DEPENDENCYPART_ARC
(15,13),-1.87282 # DEPENDENCYPART_ARC
(15,14),-0.522336 # DEPENDENCYPART_ARC
(15,16),-1.04516 # DEPENDENCYPART_ARC
(15,17),-0.727344 # DEPENDENCYPART_ARC
(15,18),-0.922275 # DEPENDENCYPART_ARC
(16,1),-0.992015 # DEPENDENCYPART_ARC
(16,2),-1.75962 # DEPENDENCYPART_ARC
(16,3),-0.889699 # DEPENDENCYPART_ARC
(16,4),-1.02115 # DEPENDENCYPART_ARC
(16,5),-1.04041 # DEPENDENCYPART_ARC
(16,6),-0.956148 # DEPENDENCYPART_ARC
(16,7),-1.117 # DEPENDENCYPART_ARC
(16,8),-1.04778 # DEPENDENCYPART_ARC
(16,9),-1.24604 # DEPENDENCYPART_ARC
(16,10),-0.561286 # DEPENDENCYPART_ARC
(16,11),-0.831387 # DEPENDENCYPART_ARC
(16,12),-0.473607 # DEPENDENCYPART_ARC
(16,13),-0.50978 # DEPENDENCYPART_ARC
(16,14),-0.326461 # DEPENDENCYPART_ARC
(16,15),0.169306 # DEPENDENCYPART_ARC
(16,17),0.596475 # DEPENDENCYPART_ARC
(16,18),0.37291 # DEPENDENCYPART_ARC
(17,1),-1.23398 # DEPENDENCYPART_ARC
(17,2),-1.78961 # DEPENDENCYPART_ARC
(17,3),-1.69657 # DEPENDENCYPART_ARC
(17,4),-1.87399 # DEPENDENCYPART_ARC
(17,5),-2.8763 # DEPENDENCYPART_ARC
(17,6),-1.57066 # DEPENDENCYPART_ARC
(17,7),-0.543441 # DEPENDENCYPART_ARC
(17,8),-1.34259 # DEPENDENCYPART_ARC
(17,9),-1.6402 # DEPENDENCYPART_ARC
(17,10),-0.198255 # DEPENDENCYPART_ARC
(17,11),-0.895966 # DEPENDENCYPART_ARC
(17,12),-0.133504 # DEPENDENCYPART_ARC
(17,13),-1.49791 # DEPENDENCYPART_ARC
(17,14),0.16701 # DEPENDENCYPART_ARC
(17,15),-0.165766 # DEPENDENCYPART_ARC
(17,16),1.21137 # DEPENDENCYPART_ARC
(17,18),2.29351 # DEPENDENCYPART_ARC
(18,1),-2.25296 # DEPENDENCYPART_ARC
(18,2),-1.64358 # DEPENDENCYPART_ARC
(18,3),-1.73006 # DEPENDENCYPART_ARC
(18,4),-1.62983 # DEPENDENCYPART_ARC
(18,5),-1.52046 # DEPENDENCYPART_ARC
(18,6),-1.55613 # DEPENDENCYPART_ARC
(18,7),-2.05083 # DEPENDENCYPART_ARC
(18,8),-1.45391 # DEPENDENCYPART_ARC
(18,9),-1.54594 # DEPENDENCYPART_ARC
(18,10),-1.01459 # DEPENDENCYPART_ARC
(18,11),-1.50549 # DEPENDENCYPART_ARC
(18,12),-1.09717 # DEPENDENCYPART_ARC
(18,13),-1.2674 # DEPENDENCYPART_ARC
(18,14),-1.09105 # DEPENDENCYPART_ARC
(18,15),-0.904721 # DEPENDENCYPART_ARC
(18,16),-1.2646 # DEPENDENCYPART_ARC
(18,17),-0.0836346 # DEPENDENCYPART_ARC
