# _root_ joseba_egibarrek , berriz , " juan maria_jauregi hil zutenek gaiztokeriaz " jokatu zutela ziurtatu zuen .
#goldHeads=14,1,0,3,4,8,6,12,8,12,10,14,12,0,14,15,
#predictedHeads=12,1,0,3,4,8,6,12,8,12,10,14,12,0,14,15,
(6,13),-0.460127 # DEPENDENCYPART_ARC
(6,14),-1.06356 # DEPENDENCYPART_ARC
(6,15),-0.56719 # DEPENDENCYPART_ARC
(6,16),-0.252822 # DEPENDENCYPART_ARC
(7,1),-5.48789 # DEPENDENCYPART_ARC
(7,2),-2.0937 # DEPENDENCYPART_ARC
(7,3),-1.98802 # DEPENDENCYPART_ARC
(7,4),-1.84249 # DEPENDENCYPART_ARC
(7,5),-1.65317 # DEPENDENCYPART_ARC
(7,6),0.428406 # DEPENDENCYPART_ARC
(7,8),-0.358803 # DEPENDENCYPART_ARC
(7,9),0.467696 # DEPENDENCYPART_ARC
(7,10),-0.83733 # DEPENDENCYPART_ARC
(7,11),-0.0335809 # DEPENDENCYPART_ARC
(7,12),-2.19463 # DEPENDENCYPART_ARC
(7,13),-1.54307 # DEPENDENCYPART_ARC
(7,14),-2.42437 # DEPENDENCYPART_ARC
(7,15),-1.5347 # DEPENDENCYPART_ARC
(7,16),-0.632957 # DEPENDENCYPART_ARC
(8,1),-1.12023 # DEPENDENCYPART_ARC
(8,2),-1.37661 # DEPENDENCYPART_ARC
(8,3),-0.621773 # DEPENDENCYPART_ARC
(8,4),-1.34848 # DEPENDENCYPART_ARC
(8,5),-1.34688 # DEPENDENCYPART_ARC
(8,6),0.539148 # DEPENDENCYPART_ARC
(8,7),1.43001 # DEPENDENCYPART_ARC
(8,9),2.48332 # DEPENDENCYPART_ARC
(8,10),0.736192 # DEPENDENCYPART_ARC
(8,11),-0.325937 # DEPENDENCYPART_ARC
(8,12),-0.539224 # DEPENDENCYPART_ARC
(8,13),-0.0254026 # DEPENDENCYPART_ARC
(8,14),-0.710186 # DEPENDENCYPART_ARC
(8,15),-0.904763 # DEPENDENCYPART_ARC
(8,16),-0.986016 # DEPENDENCYPART_ARC
(9,1),-2.24002 # DEPENDENCYPART_ARC
(9,2),-1.34672 # DEPENDENCYPART_ARC
(9,3),-0.891446 # DEPENDENCYPART_ARC
(9,4),-1.30384 # DEPENDENCYPART_ARC
(9,5),-1.15131 # DEPENDENCYPART_ARC
(9,6),-0.567491 # DEPENDENCYPART_ARC
(9,7),-1.24927 # DEPENDENCYPART_ARC
(9,8),-0.743968 # DEPENDENCYPART_ARC
(9,10),-0.205152 # DEPENDENCYPART_ARC
(9,11),0.0823559 # DEPENDENCYPART_ARC
(9,12),-1.17475 # DEPENDENCYPART_ARC
(9,13),-1.28016 # DEPENDENCYPART_ARC
(9,14),-1.3556 # DEPENDENCYPART_ARC
(9,15),-1.32665 # DEPENDENCYPART_ARC
(9,16),-0.347206 # DEPENDENCYPART_ARC
(10,1),-3.53179 # DEPENDENCYPART_ARC
(10,2),-1.38906 # DEPENDENCYPART_ARC
(10,3),-1.31758 # DEPENDENCYPART_ARC
(10,4),-1.46007 # DEPENDENCYPART_ARC
(10,5),-1.50994 # DEPENDENCYPART_ARC
(10,6),-0.893179 # DEPENDENCYPART_ARC
(10,7),-1.07579 # DEPENDENCYPART_ARC
(10,8),-0.510051 # DEPENDENCYPART_ARC
(10,9),-0.317847 # DEPENDENCYPART_ARC
(10,11),2.08589 # DEPENDENCYPART_ARC
(10,12),-1.09462 # DEPENDENCYPART_ARC
(10,13),-0.368038 # DEPENDENCYPART_ARC
(10,14),-1.67629 # DEPENDENCYPART_ARC
(10,15),-0.656172 # DEPENDENCYPART_ARC
(10,16),-0.169445 # DEPENDENCYPART_ARC
(11,1),-1.55105 # DEPENDENCYPART_ARC
(11,2),-1.50646 # DEPENDENCYPART_ARC
(11,3),-1.0165 # DEPENDENCYPART_ARC
(11,4),-1.30557 # DEPENDENCYPART_ARC
(11,5),-1.266 # DEPENDENCYPART_ARC
(11,6),-0.952293 # DEPENDENCYPART_ARC
(11,7),-0.893199 # DEPENDENCYPART_ARC
(11,8),-0.608491 # DEPENDENCYPART_ARC
(11,9),-0.79481 # DEPENDENCYPART_ARC
(11,10),-0.275614 # DEPENDENCYPART_ARC
(11,12),-0.750165 # DEPENDENCYPART_ARC
(11,13),-0.517897 # DEPENDENCYPART_ARC
(11,14),-1.10973 # DEPENDENCYPART_ARC
(11,15),-0.640575 # DEPENDENCYPART_ARC
(11,16),-0.562737 # DEPENDENCYPART_ARC
(12,1),-0.0867755 # DEPENDENCYPART_ARC
(12,2),-1.21065 # DEPENDENCYPART_ARC
(12,3),-0.0438774 # DEPENDENCYPART_ARC
(12,4),-1.29905 # DEPENDENCYPART_ARC
(12,5),-1.33298 # DEPENDENCYPART_ARC
(12,6),-0.0439107 # DEPENDENCYPART_ARC
(12,7),-0.424397 # DEPENDENCYPART_ARC
(12,8),0.440499 # DEPENDENCYPART_ARC
(12,9),-0.2744 # DEPENDENCYPART_ARC
(12,10),1.16304 # DEPENDENCYPART_ARC
(12,11),-0.208414 # DEPENDENCYPART_ARC
(12,13),1.9232 # DEPENDENCYPART_ARC
(12,14),-0.168423 # DEPENDENCYPART_ARC
(12,15),-0.416456 # DEPENDENCYPART_ARC
(12,16),-0.870892 # DEPENDENCYPART_ARC
(13,1),-2.72186 # DEPENDENCYPART_ARC
(13,2),-1.90424 # DEPENDENCYPART_ARC
(13,3),-1.62001 # DEPENDENCYPART_ARC
(13,4),-1.76287 # DEPENDENCYPART_ARC
(13,5),-1.62147 # DEPENDENCYPART_ARC
(13,6),-1.36437 # DEPENDENCYPART_ARC
(13,7),-2.14704 # DEPENDENCYPART_ARC
(13,8),-2.35484 # DEPENDENCYPART_ARC
(13,9),-0.889136 # DEPENDENCYPART_ARC
(13,10),-1.43761 # DEPENDENCYPART_ARC
(13,11),-1.12534 # DEPENDENCYPART_ARC
(13,12),-1.13775 # DEPENDENCYPART_ARC
(13,14),-1.6326 # DEPENDENCYPART_ARC
(13,15),-0.269077 # DEPENDENCYPART_ARC
(13,16),-0.245694 # DEPENDENCYPART_ARC
(14,1),-0.516962 # DEPENDENCYPART_ARC
(14,2),-1.40413 # DEPENDENCYPART_ARC
(14,3),-0.846738 # DEPENDENCYPART_ARC
(14,4),-1.41455 # DEPENDENCYPART_ARC
(14,5),-1.53739 # DEPENDENCYPART_ARC
(14,6),-0.613699 # DEPENDENCYPART_ARC
(14,7),-1.03743 # DEPENDENCYPART_ARC
(14,8),0.151488 # DEPENDENCYPART_ARC
(14,9),-0.664073 # DEPENDENCYPART_ARC
(14,10),-0.0193091 # DEPENDENCYPART_ARC
(14,11),-0.861267 # DEPENDENCYPART_ARC
(14,12),1.83998 # DEPENDENCYPART_ARC
(14,13),-0.236659 # DEPENDENCYPART_ARC
(14,15),1.81587 # DEPENDENCYPART_ARC
(14,16),0.0873186 # DEPENDENCYPART_ARC
(15,1),-1.93885 # DEPENDENCYPART_ARC
(15,2),-1.94864 # DEPENDENCYPART_ARC
(15,3),-1.78674 # DEPENDENCYPART_ARC
(15,4),-1.99356 # DEPENDENCYPART_ARC
(15,5),-1.82498 # DEPENDENCYPART_ARC
(15,6),-1.32386 # DEPENDENCYPART_ARC
(15,7),-1.63278 # DEPENDENCYPART_ARC
(15,8),-2.89785 # DEPENDENCYPART_ARC
(15,9),-1.30308 # DEPENDENCYPART_ARC
(15,10),-1.63112 # DEPENDENCYPART_ARC
(15,11),-1.47098 # DEPENDENCYPART_ARC
(15,12),-2.46844 # DEPENDENCYPART_ARC
(15,13),-0.90934 # DEPENDENCYPART_ARC
(15,14),-1.70879 # DEPENDENCYPART_ARC
(15,16),1.81148 # DEPENDENCYPART_ARC
(16,1),-1.66656 # DEPENDENCYPART_ARC
(16,2),-1.56505 # DEPENDENCYPART_ARC
(16,3),-1.17514 # DEPENDENCYPART_ARC
(16,4),-1.52347 # DEPENDENCYPART_ARC
(16,5),-1.59671 # DEPENDENCYPART_ARC
(16,6),-0.909391 # DEPENDENCYPART_ARC
(16,7),-0.668256 # DEPENDENCYPART_ARC
(16,8),-1.43657 # DEPENDENCYPART_ARC
(16,9),-1.16812 # DEPENDENCYPART_ARC
(16,10),-1.04154 # DEPENDENCYPART_ARC
(16,11),-1.38892 # DEPENDENCYPART_ARC
(16,12),-0.95562 # DEPENDENCYPART_ARC
(16,13),-0.664503 # DEPENDENCYPART_ARC
(16,14),-0.623808 # DEPENDENCYPART_ARC
(16,15),-0.0476261 # DEPENDENCYPART_ARC
