# _root_ bestetik , nicolas_redondo_terreros_pse-eeko idazkari nagusiaren ustez , proposamen horrek " pp bere iraganera itzularazten du " .
#goldHeads=14,3,4,6,4,14,6,14,8,9,14,13,14,0,14,15,16,
#predictedHeads=0,3,4,6,4,14,6,14,8,9,14,13,14,0,14,15,16,
(5,15),-2.13291 # DEPENDENCYPART_ARC
(5,16),-1.20113 # DEPENDENCYPART_ARC
(5,17),-1.29602 # DEPENDENCYPART_ARC
(6,1),-0.943131 # DEPENDENCYPART_ARC
(6,2),-0.908374 # DEPENDENCYPART_ARC
(6,4),-0.342176 # DEPENDENCYPART_ARC
(6,5),-0.151037 # DEPENDENCYPART_ARC
(6,7),1.48967 # DEPENDENCYPART_ARC
(6,8),-0.923152 # DEPENDENCYPART_ARC
(6,9),-1.04061 # DEPENDENCYPART_ARC
(6,10),-0.207165 # DEPENDENCYPART_ARC
(6,11),-1.25241 # DEPENDENCYPART_ARC
(6,12),-1.38661 # DEPENDENCYPART_ARC
(6,13),-1.27204 # DEPENDENCYPART_ARC
(6,15),-1.2388 # DEPENDENCYPART_ARC
(6,16),-0.509889 # DEPENDENCYPART_ARC
(6,17),-0.742835 # DEPENDENCYPART_ARC
(7,1),-1.93046 # DEPENDENCYPART_ARC
(7,4),-0.823122 # DEPENDENCYPART_ARC
(7,5),-0.817467 # DEPENDENCYPART_ARC
(7,8),-0.90384 # DEPENDENCYPART_ARC
(7,10),-0.0791037 # DEPENDENCYPART_ARC
(7,13),-1.22351 # DEPENDENCYPART_ARC
(7,15),-1.49051 # DEPENDENCYPART_ARC
(7,16),-0.961516 # DEPENDENCYPART_ARC
(8,1),-2.42388 # DEPENDENCYPART_ARC
(8,2),-1.67154 # DEPENDENCYPART_ARC
(8,3),-1.76343 # DEPENDENCYPART_ARC
(8,4),-0.821288 # DEPENDENCYPART_ARC
(8,5),-0.884677 # DEPENDENCYPART_ARC
(8,6),-0.587909 # DEPENDENCYPART_ARC
(8,7),0.160408 # DEPENDENCYPART_ARC
(8,9),2.34445 # DEPENDENCYPART_ARC
(8,10),0.0721779 # DEPENDENCYPART_ARC
(8,11),-0.871338 # DEPENDENCYPART_ARC
(8,12),-0.106676 # DEPENDENCYPART_ARC
(8,13),-0.919025 # DEPENDENCYPART_ARC
(8,14),-1.0724 # DEPENDENCYPART_ARC
(8,15),-1.24819 # DEPENDENCYPART_ARC
(8,16),-1.02763 # DEPENDENCYPART_ARC
(8,17),-0.976114 # DEPENDENCYPART_ARC
(9,1),-2.25407 # DEPENDENCYPART_ARC
(9,2),-1.43631 # DEPENDENCYPART_ARC
(9,4),-1.67488 # DEPENDENCYPART_ARC
(9,7),-0.894382 # DEPENDENCYPART_ARC
(9,8),-0.534307 # DEPENDENCYPART_ARC
(9,10),1.51354 # DEPENDENCYPART_ARC
(9,13),-0.956914 # DEPENDENCYPART_ARC
(9,16),-0.583759 # DEPENDENCYPART_ARC
(9,17),-0.847717 # DEPENDENCYPART_ARC
(10,2),-1.74544 # DEPENDENCYPART_ARC
(10,4),-1.56296 # DEPENDENCYPART_ARC
(10,5),-1.71876 # DEPENDENCYPART_ARC
(10,7),-1.41529 # DEPENDENCYPART_ARC
(10,8),-1.19408 # DEPENDENCYPART_ARC
(10,11),-1.3416 # DEPENDENCYPART_ARC
(10,13),-1.52384 # DEPENDENCYPART_ARC
(10,15),-1.40927 # DEPENDENCYPART_ARC
(10,16),-0.7925 # DEPENDENCYPART_ARC
(10,17),-0.799593 # DEPENDENCYPART_ARC
(11,2),-2.04187 # DEPENDENCYPART_ARC
(11,4),-1.48967 # DEPENDENCYPART_ARC
(11,5),-1.21687 # DEPENDENCYPART_ARC
(11,6),-1.37344 # DEPENDENCYPART_ARC
(11,7),-1.39166 # DEPENDENCYPART_ARC
(11,8),-1.2021 # DEPENDENCYPART_ARC
(11,9),-3.11269 # DEPENDENCYPART_ARC
(11,10),-0.476943 # DEPENDENCYPART_ARC
(11,12),-0.87806 # DEPENDENCYPART_ARC
(11,13),-1.90106 # DEPENDENCYPART_ARC
(11,16),-1.12762 # DEPENDENCYPART_ARC
(11,17),-1.16202 # DEPENDENCYPART_ARC
(12,2),-1.71756 # DEPENDENCYPART_ARC
(12,6),-1.23116 # DEPENDENCYPART_ARC
(12,7),-1.54877 # DEPENDENCYPART_ARC
(12,10),-1.12015 # DEPENDENCYPART_ARC
(12,16),-0.536119 # DEPENDENCYPART_ARC
(12,17),-0.724325 # DEPENDENCYPART_ARC
(13,1),-3.43991 # DEPENDENCYPART_ARC
(13,2),-2.1499 # DEPENDENCYPART_ARC
(13,3),-0.0323311 # DEPENDENCYPART_ARC
(13,4),-1.43073 # DEPENDENCYPART_ARC
(13,5),-1.33045 # DEPENDENCYPART_ARC
(13,6),-1.37255 # DEPENDENCYPART_ARC
(13,7),-1.77686 # DEPENDENCYPART_ARC
(13,8),-1.08064 # DEPENDENCYPART_ARC
(13,9),-2.57544 # DEPENDENCYPART_ARC
(13,10),-1.46019 # DEPENDENCYPART_ARC
(13,11),-0.727519 # DEPENDENCYPART_ARC
(13,12),1.23319 # DEPENDENCYPART_ARC
(13,14),-0.76299 # DEPENDENCYPART_ARC
(13,15),-1.28972 # DEPENDENCYPART_ARC
(13,16),-0.802805 # DEPENDENCYPART_ARC
(13,17),-1.02931 # DEPENDENCYPART_ARC
(14,2),-1.55815 # DEPENDENCYPART_ARC
(14,3),-2.12879 # DEPENDENCYPART_ARC
(14,4),-0.402931 # DEPENDENCYPART_ARC
(14,5),-1.97203 # DEPENDENCYPART_ARC
(14,6),0.0536259 # DEPENDENCYPART_ARC
(14,7),-1.28953 # DEPENDENCYPART_ARC
(14,8),0.263793 # DEPENDENCYPART_ARC
(14,9),-0.0473351 # DEPENDENCYPART_ARC
(14,10),-1.26319 # DEPENDENCYPART_ARC
(14,11),0.982207 # DEPENDENCYPART_ARC
(14,13),2.19889 # DEPENDENCYPART_ARC
(14,15),2.01456 # DEPENDENCYPART_ARC
(14,16),0.164849 # DEPENDENCYPART_ARC
(14,17),-0.216935 # DEPENDENCYPART_ARC
(15,2),-1.92674 # DEPENDENCYPART_ARC
(15,3),-1.76447 # DEPENDENCYPART_ARC
(15,4),-1.3942 # DEPENDENCYPART_ARC
(15,5),-2.61805 # DEPENDENCYPART_ARC
(15,6),-0.976849 # DEPENDENCYPART_ARC
(15,7),-1.81751 # DEPENDENCYPART_ARC
(15,8),-1.09406 # DEPENDENCYPART_ARC
(15,9),-1.2262 # DEPENDENCYPART_ARC
(15,10),-1.71922 # DEPENDENCYPART_ARC
(15,11),-1.21938 # DEPENDENCYPART_ARC
(15,13),-0.725485 # DEPENDENCYPART_ARC
(15,16),1.92885 # DEPENDENCYPART_ARC
(15,17),0.0551111 # DEPENDENCYPART_ARC
(16,2),-2.28159 # DEPENDENCYPART_ARC
(16,4),-1.75893 # DEPENDENCYPART_ARC
(16,5),-2.28389 # DEPENDENCYPART_ARC
(16,7),-2.18284 # DEPENDENCYPART_ARC
(16,8),-1.66446 # DEPENDENCYPART_ARC
(16,10),-1.94034 # DEPENDENCYPART_ARC
(16,11),-1.66725 # DEPENDENCYPART_ARC
(16,13),-1.2857 # DEPENDENCYPART_ARC
(16,15),-0.740589 # DEPENDENCYPART_ARC
(16,17),1.96689 # DEPENDENCYPART_ARC
(17,2),-1.5433 # DEPENDENCYPART_ARC
(17,4),-1.60072 # DEPENDENCYPART_ARC
(17,7),-1.47496 # DEPENDENCYPART_ARC
(17,8),-1.47993 # DEPENDENCYPART_ARC
(17,10),-1.36012 # DEPENDENCYPART_ARC
(17,11),-1.20518 # DEPENDENCYPART_ARC
(17,13),-0.805195 # DEPENDENCYPART_ARC
(17,16),-0.438282 # DEPENDENCYPART_ARC
