# _root_ hala ekarri dituzte antton_lopez ruiz algecirastik langraizera , joxean etxebarri_aiesta jaendik langraizera , eta iñigo_azkue eta jose_antonio galarraga mansillatik langraizera .
#goldHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
#predictedHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,2,16,17,2,2,20,
(2,1),1.63776 # DEPENDENCYPART_ARC
(2,3),2.28476 # DEPENDENCYPART_ARC
(2,4),0.160161 # DEPENDENCYPART_ARC
(2,5),0.95321 # DEPENDENCYPART_ARC
(2,6),1.09599 # DEPENDENCYPART_ARC
(2,7),1.93807 # DEPENDENCYPART_ARC
(2,8),0.0366019 # DEPENDENCYPART_ARC
(2,9),-0.189867 # DEPENDENCYPART_ARC
(2,10),-0.286545 # DEPENDENCYPART_ARC
(2,11),0.908454 # DEPENDENCYPART_ARC
(2,12),2.07203 # DEPENDENCYPART_ARC
(2,13),0.00801191 # DEPENDENCYPART_ARC
(2,14),0.189638 # DEPENDENCYPART_ARC
(2,15),-0.939182 # DEPENDENCYPART_ARC
(2,16),-0.111296 # DEPENDENCYPART_ARC
(2,17),-0.969121 # DEPENDENCYPART_ARC
(2,18),-0.01394 # DEPENDENCYPART_ARC
(2,19),1.90015 # DEPENDENCYPART_ARC
(2,20),2.22929 # DEPENDENCYPART_ARC
(2,21),-0.858021 # DEPENDENCYPART_ARC
(3,1),-0.634748 # DEPENDENCYPART_ARC
(3,2),-0.296566 # DEPENDENCYPART_ARC
(3,4),-1.44035 # DEPENDENCYPART_ARC
(3,5),-2.31212 # DEPENDENCYPART_ARC
(3,6),-2.24042 # DEPENDENCYPART_ARC
(3,7),-2.98422 # DEPENDENCYPART_ARC
(3,8),-1.51025 # DEPENDENCYPART_ARC
(3,9),-2.75918 # DEPENDENCYPART_ARC
(3,10),-3.39553 # DEPENDENCYPART_ARC
(3,11),-3.41425 # DEPENDENCYPART_ARC
(3,12),-3.52329 # DEPENDENCYPART_ARC
(3,13),-2.0283 # DEPENDENCYPART_ARC
(3,14),-1.57638 # DEPENDENCYPART_ARC
(3,15),-3.0659 # DEPENDENCYPART_ARC
(3,16),-1.79851 # DEPENDENCYPART_ARC
(3,17),-3.296 # DEPENDENCYPART_ARC
(3,18),-3.91777 # DEPENDENCYPART_ARC
(3,19),-3.39999 # DEPENDENCYPART_ARC
(3,20),-3.93489 # DEPENDENCYPART_ARC
(3,21),-2.78658 # DEPENDENCYPART_ARC
(4,1),-1.52145 # DEPENDENCYPART_ARC
(4,2),-1.11775 # DEPENDENCYPART_ARC
(4,5),1.41526 # DEPENDENCYPART_ARC
(4,6),-0.0139117 # DEPENDENCYPART_ARC
(4,7),-0.430215 # DEPENDENCYPART_ARC
(4,8),-0.673512 # DEPENDENCYPART_ARC
(4,9),-0.641704 # DEPENDENCYPART_ARC
(4,10),-0.741985 # DEPENDENCYPART_ARC
(4,11),-1.32813 # DEPENDENCYPART_ARC
(4,12),-1.09445 # DEPENDENCYPART_ARC
(4,13),-1.10244 # DEPENDENCYPART_ARC
(4,15),-1.17043 # DEPENDENCYPART_ARC
(4,17),-1.4173 # DEPENDENCYPART_ARC
(4,18),-1.54047 # DEPENDENCYPART_ARC
(4,19),-1.46428 # DEPENDENCYPART_ARC
(4,20),-1.66661 # DEPENDENCYPART_ARC
(4,21),-0.527005 # DEPENDENCYPART_ARC
(5,1),-1.69596 # DEPENDENCYPART_ARC
(5,2),-2.03888 # DEPENDENCYPART_ARC
(5,4),-0.0809684 # DEPENDENCYPART_ARC
(5,6),-0.715158 # DEPENDENCYPART_ARC
(5,7),-2.03657 # DEPENDENCYPART_ARC
(5,8),-1.0313 # DEPENDENCYPART_ARC
(5,9),-2.25984 # DEPENDENCYPART_ARC
(5,10),-2.58178 # DEPENDENCYPART_ARC
(5,11),-3.52739 # DEPENDENCYPART_ARC
(5,12),-3.01737 # DEPENDENCYPART_ARC
(5,13),-1.64797 # DEPENDENCYPART_ARC
(5,15),-2.21128 # DEPENDENCYPART_ARC
(5,17),-2.38704 # DEPENDENCYPART_ARC
(5,18),-3.65046 # DEPENDENCYPART_ARC
(5,19),-3.22211 # DEPENDENCYPART_ARC
(5,20),-3.48292 # DEPENDENCYPART_ARC
(5,21),-1.25924 # DEPENDENCYPART_ARC
(6,1),-1.77145 # DEPENDENCYPART_ARC
(6,2),-2.62012 # DEPENDENCYPART_ARC
(6,4),-0.862683 # DEPENDENCYPART_ARC
(6,5),-1.18148 # DEPENDENCYPART_ARC
(6,7),-1.26942 # DEPENDENCYPART_ARC
(6,8),-0.464131 # DEPENDENCYPART_ARC
(6,9),-1.90535 # DEPENDENCYPART_ARC
(6,10),-2.09985 # DEPENDENCYPART_ARC
(6,11),-3.24988 # DEPENDENCYPART_ARC
(6,12),-2.9557 # DEPENDENCYPART_ARC
(6,13),-1.54179 # DEPENDENCYPART_ARC
(6,14),-2.20397 # DEPENDENCYPART_ARC
(6,15),-2.02355 # DEPENDENCYPART_ARC
(6,16),-2.16313 # DEPENDENCYPART_ARC
(6,17),-2.09142 # DEPENDENCYPART_ARC
(6,18),-3.54535 # DEPENDENCYPART_ARC
(6,19),-3.20057 # DEPENDENCYPART_ARC
(6,20),-3.58853 # DEPENDENCYPART_ARC
(6,21),-1.13266 # DEPENDENCYPART_ARC
(7,1),-1.68511 # DEPENDENCYPART_ARC
(7,2),-2.9729 # DEPENDENCYPART_ARC
(7,4),-2.0173 # DEPENDENCYPART_ARC
(7,5),-3.56569 # DEPENDENCYPART_ARC
(7,6),-1.73643 # DEPENDENCYPART_ARC
(7,8),1.50079 # DEPENDENCYPART_ARC
(7,9),-0.666551 # DEPENDENCYPART_ARC
(7,10),-1.03673 # DEPENDENCYPART_ARC
(7,11),-2.31041 # DEPENDENCYPART_ARC
(7,12),-1.77979 # DEPENDENCYPART_ARC
(7,13),-0.540088 # DEPENDENCYPART_ARC
(7,14),-1.6962 # DEPENDENCYPART_ARC
(7,15),-1.44187 # DEPENDENCYPART_ARC
(7,16),-1.78067 # DEPENDENCYPART_ARC
(7,17),-1.38125 # DEPENDENCYPART_ARC
(7,18),-2.35306 # DEPENDENCYPART_ARC
(7,19),-2.23153 # DEPENDENCYPART_ARC
(7,20),-2.60616 # DEPENDENCYPART_ARC
(7,21),-0.521785 # DEPENDENCYPART_ARC
(8,2),-0.602387 # DEPENDENCYPART_ARC
(8,3),-1.11173 # DEPENDENCYPART_ARC
(8,4),-0.629496 # DEPENDENCYPART_ARC
(8,5),-0.558326 # DEPENDENCYPART_ARC
(8,9),-0.310071 # DEPENDENCYPART_ARC
(8,14),-1.79926 # DEPENDENCYPART_ARC
(8,15),-1.15331 # DEPENDENCYPART_ARC
(8,16),-2.09905 # DEPENDENCYPART_ARC
(8,17),-1.27901 # DEPENDENCYPART_ARC
(8,18),-1.22502 # DEPENDENCYPART_ARC
(9,1),-2.01199 # DEPENDENCYPART_ARC
(9,2),-2.65702 # DEPENDENCYPART_ARC
(9,4),-3.06316 # DEPENDENCYPART_ARC
(9,5),-3.69426 # DEPENDENCYPART_ARC
(9,6),-2.82603 # DEPENDENCYPART_ARC
(9,7),-2.46307 # DEPENDENCYPART_ARC
(9,8),-0.412576 # DEPENDENCYPART_ARC
(9,10),1.99107 # DEPENDENCYPART_ARC
(9,11),0.181382 # DEPENDENCYPART_ARC
(9,12),0.0817958 # DEPENDENCYPART_ARC
(9,13),-0.647264 # DEPENDENCYPART_ARC
(9,15),-0.596455 # DEPENDENCYPART_ARC
(9,17),-0.737739 # DEPENDENCYPART_ARC
(9,18),-0.637859 # DEPENDENCYPART_ARC
(9,19),-0.591552 # DEPENDENCYPART_ARC
(9,20),-0.711297 # DEPENDENCYPART_ARC
(9,21),-0.493252 # DEPENDENCYPART_ARC
(10,1),-1.97185 # DEPENDENCYPART_ARC
(10,2),-2.79015 # DEPENDENCYPART_ARC
(10,4),-2.73329 # DEPENDENCYPART_ARC
(10,5),-5.00368 # DEPENDENCYPART_ARC
(10,6),-3.34669 # DEPENDENCYPART_ARC
(10,7),-3.88813 # DEPENDENCYPART_ARC
(10,8),-1.46964 # DEPENDENCYPART_ARC
(10,9),-0.122 # DEPENDENCYPART_ARC
(10,11),-1.95984 # DEPENDENCYPART_ARC
(10,12),-2.27089 # DEPENDENCYPART_ARC
(10,13),-0.703086 # DEPENDENCYPART_ARC
(10,14),-1.80244 # DEPENDENCYPART_ARC
(10,15),-1.16588 # DEPENDENCYPART_ARC
(10,16),-1.80916 # DEPENDENCYPART_ARC
(10,17),-1.29307 # DEPENDENCYPART_ARC
(10,18),-3.28371 # DEPENDENCYPART_ARC
(10,19),-2.78101 # DEPENDENCYPART_ARC
(10,20),-3.31167 # DEPENDENCYPART_ARC
(10,21),-0.734464 # DEPENDENCYPART_ARC
(11,1),-1.84888 # DEPENDENCYPART_ARC
(11,2),-3.72643 # DEPENDENCYPART_ARC
(11,4),-2.90844 # DEPENDENCYPART_ARC
(11,5),-4.4229 # DEPENDENCYPART_ARC
(11,6),-3.36373 # DEPENDENCYPART_ARC
(11,7),-3.47627 # DEPENDENCYPART_ARC
(11,8),-1.7606 # DEPENDENCYPART_ARC
(11,9),-1.03035 # DEPENDENCYPART_ARC
(11,10),0.0405155 # DEPENDENCYPART_ARC
(11,12),-0.546047 # DEPENDENCYPART_ARC
(11,13),-0.519402 # DEPENDENCYPART_ARC
(11,14),-1.95138 # DEPENDENCYPART_ARC
(11,15),-1.34008 # DEPENDENCYPART_ARC
(11,16),-2.11372 # DEPENDENCYPART_ARC
(11,17),-1.47511 # DEPENDENCYPART_ARC
(11,18),-2.07988 # DEPENDENCYPART_ARC
(11,19),-1.90783 # DEPENDENCYPART_ARC
(11,20),-2.36764 # DEPENDENCYPART_ARC
(11,21),-1.13945 # DEPENDENCYPART_ARC
(12,1),-1.73904 # DEPENDENCYPART_ARC
(12,2),-3.64707 # DEPENDENCYPART_ARC
(12,4),-3.06182 # DEPENDENCYPART_ARC
(12,5),-5.32506 # DEPENDENCYPART_ARC
(12,6),-4.33461 # DEPENDENCYPART_ARC
(12,7),-4.38736 # DEPENDENCYPART_ARC
(12,8),-1.93002 # DEPENDENCYPART_ARC
(12,9),-2.07915 # DEPENDENCYPART_ARC
(12,10),-1.82248 # DEPENDENCYPART_ARC
(12,11),-1.6806 # DEPENDENCYPART_ARC
(12,13),1.54998 # DEPENDENCYPART_ARC
(12,14),-1.16068 # DEPENDENCYPART_ARC
(12,15),-0.785573 # DEPENDENCYPART_ARC
(12,16),-1.58753 # DEPENDENCYPART_ARC
(12,17),-0.928141 # DEPENDENCYPART_ARC
(12,18),-1.88395 # DEPENDENCYPART_ARC
(12,19),-1.72985 # DEPENDENCYPART_ARC
(12,20),-2.03346 # DEPENDENCYPART_ARC
(12,21),-0.372286 # DEPENDENCYPART_ARC
(13,2),-1.07423 # DEPENDENCYPART_ARC
(13,3),-1.31703 # DEPENDENCYPART_ARC
(13,4),-1.10642 # DEPENDENCYPART_ARC
(13,5),-1.09812 # DEPENDENCYPART_ARC
(13,9),-0.922861 # DEPENDENCYPART_ARC
(13,14),-0.679928 # DEPENDENCYPART_ARC
(13,15),-1.2727 # DEPENDENCYPART_ARC
(13,16),-1.42935 # DEPENDENCYPART_ARC
(13,17),-1.25796 # DEPENDENCYPART_ARC
(13,18),-1.27604 # DEPENDENCYPART_ARC
(14,1),-0.559344 # DEPENDENCYPART_ARC
(14,2),-0.103403 # DEPENDENCYPART_ARC
(14,3),-1.04934 # DEPENDENCYPART_ARC
(14,4),0.480799 # DEPENDENCYPART_ARC
(14,5),-0.411697 # DEPENDENCYPART_ARC
(14,6),-0.717129 # DEPENDENCYPART_ARC
(14,7),-0.33527 # DEPENDENCYPART_ARC
(14,8),-1.45643 # DEPENDENCYPART_ARC
(14,9),0.407744 # DEPENDENCYPART_ARC
(14,10),-0.028815 # DEPENDENCYPART_ARC
(14,11),-0.103273 # DEPENDENCYPART_ARC
(14,12),0.297644 # DEPENDENCYPART_ARC
(14,13),-0.144364 # DEPENDENCYPART_ARC
(14,15),-0.183782 # DEPENDENCYPART_ARC
(14,16),-0.167853 # DEPENDENCYPART_ARC
(14,17),-1.15183 # DEPENDENCYPART_ARC
(14,18),-0.439125 # DEPENDENCYPART_ARC
(14,19),-1.25549 # DEPENDENCYPART_ARC
(14,20),-0.627754 # DEPENDENCYPART_ARC
(14,21),-0.874635 # DEPENDENCYPART_ARC
(15,1),-2.67738 # DEPENDENCYPART_ARC
(15,2),-4.27854 # DEPENDENCYPART_ARC
(15,4),-4.33904 # DEPENDENCYPART_ARC
(15,5),-4.77877 # DEPENDENCYPART_ARC
(15,6),-4.0533 # DEPENDENCYPART_ARC
(15,7),-4.13534 # DEPENDENCYPART_ARC
(15,8),-2.95194 # DEPENDENCYPART_ARC
(15,9),-3.72478 # DEPENDENCYPART_ARC
(15,10),-3.09051 # DEPENDENCYPART_ARC
(15,11),-3.0314 # DEPENDENCYPART_ARC
(15,12),-3.04412 # DEPENDENCYPART_ARC
(15,13),-2.07345 # DEPENDENCYPART_ARC
(15,17),0.0326827 # DEPENDENCYPART_ARC
(15,18),-0.644219 # DEPENDENCYPART_ARC
(15,19),-0.822133 # DEPENDENCYPART_ARC
(15,20),-0.989616 # DEPENDENCYPART_ARC
(15,21),-0.379837 # DEPENDENCYPART_ARC
(16,1),-1.23695 # DEPENDENCYPART_ARC
(16,2),-1.8029 # DEPENDENCYPART_ARC
(16,3),-1.47126 # DEPENDENCYPART_ARC
(16,4),-0.122299 # DEPENDENCYPART_ARC
(16,5),-1.09472 # DEPENDENCYPART_ARC
(16,6),-1.41393 # DEPENDENCYPART_ARC
(16,7),-0.582424 # DEPENDENCYPART_ARC
(16,8),-2.1216 # DEPENDENCYPART_ARC
(16,9),-0.353642 # DEPENDENCYPART_ARC
(16,10),-0.881325 # DEPENDENCYPART_ARC
(16,11),-1.05841 # DEPENDENCYPART_ARC
(16,12),-0.345191 # DEPENDENCYPART_ARC
(16,13),-1.46057 # DEPENDENCYPART_ARC
(16,14),-0.532398 # DEPENDENCYPART_ARC
(16,15),2.57119 # DEPENDENCYPART_ARC
(16,17),1.69574 # DEPENDENCYPART_ARC
(16,18),0.389443 # DEPENDENCYPART_ARC
(16,19),-0.640323 # DEPENDENCYPART_ARC
(16,20),-0.297204 # DEPENDENCYPART_ARC
(16,21),-0.805866 # DEPENDENCYPART_ARC
(17,1),-2.79551 # DEPENDENCYPART_ARC
(17,2),-4.34566 # DEPENDENCYPART_ARC
(17,4),-4.40281 # DEPENDENCYPART_ARC
(17,5),-5.14545 # DEPENDENCYPART_ARC
(17,6),-4.38358 # DEPENDENCYPART_ARC
(17,7),-4.50634 # DEPENDENCYPART_ARC
(17,8),-3.3689 # DEPENDENCYPART_ARC
(17,9),-3.86781 # DEPENDENCYPART_ARC
(17,10),-3.54375 # DEPENDENCYPART_ARC
(17,11),-3.60119 # DEPENDENCYPART_ARC
(17,12),-3.6828 # DEPENDENCYPART_ARC
(17,13),-2.89059 # DEPENDENCYPART_ARC
(17,15),-2.00927 # DEPENDENCYPART_ARC
(17,18),1.0763 # DEPENDENCYPART_ARC
(17,19),0.00824668 # DEPENDENCYPART_ARC
(17,20),-0.578008 # DEPENDENCYPART_ARC
(17,21),-0.186838 # DEPENDENCYPART_ARC
(18,1),-1.72277 # DEPENDENCYPART_ARC
(18,2),-3.90664 # DEPENDENCYPART_ARC
(18,4),-3.62517 # DEPENDENCYPART_ARC
(18,5),-5.43723 # DEPENDENCYPART_ARC
(18,6),-4.80481 # DEPENDENCYPART_ARC
(18,7),-5.04733 # DEPENDENCYPART_ARC
(18,8),-2.46912 # DEPENDENCYPART_ARC
(18,9),-3.15148 # DEPENDENCYPART_ARC
(18,10),-3.27118 # DEPENDENCYPART_ARC
(18,11),-3.90052 # DEPENDENCYPART_ARC
(18,12),-4.30551 # DEPENDENCYPART_ARC
(18,13),-2.08096 # DEPENDENCYPART_ARC
(18,15),-1.92098 # DEPENDENCYPART_ARC
(18,17),-0.169955 # DEPENDENCYPART_ARC
(18,19),0.00888463 # DEPENDENCYPART_ARC
(18,20),-1.31161 # DEPENDENCYPART_ARC
(18,21),-0.84334 # DEPENDENCYPART_ARC
(19,1),-1.68464 # DEPENDENCYPART_ARC
(19,2),-4.11641 # DEPENDENCYPART_ARC
(19,4),-3.47106 # DEPENDENCYPART_ARC
(19,5),-4.84481 # DEPENDENCYPART_ARC
(19,6),-3.81911 # DEPENDENCYPART_ARC
(19,7),-4.10643 # DEPENDENCYPART_ARC
(19,8),-2.69405 # DEPENDENCYPART_ARC
(19,9),-2.86718 # DEPENDENCYPART_ARC
(19,10),-2.11118 # DEPENDENCYPART_ARC
(19,11),-2.92081 # DEPENDENCYPART_ARC
(19,12),-3.3812 # DEPENDENCYPART_ARC
(19,13),-2.24408 # DEPENDENCYPART_ARC
(19,14),-1.81644 # DEPENDENCYPART_ARC
(19,15),-1.99536 # DEPENDENCYPART_ARC
(19,16),-0.636654 # DEPENDENCYPART_ARC
(19,17),-0.755937 # DEPENDENCYPART_ARC
(19,18),-0.876015 # DEPENDENCYPART_ARC
(19,20),-1.26467 # DEPENDENCYPART_ARC
(19,21),-0.284836 # DEPENDENCYPART_ARC
(20,1),-1.7098 # DEPENDENCYPART_ARC
(20,2),-4.43228 # DEPENDENCYPART_ARC
(20,4),-4.18053 # DEPENDENCYPART_ARC
(20,5),-6.43941 # DEPENDENCYPART_ARC
(20,6),-5.42841 # DEPENDENCYPART_ARC
(20,7),-5.57068 # DEPENDENCYPART_ARC
(20,8),-2.83663 # DEPENDENCYPART_ARC
(20,9),-3.71404 # DEPENDENCYPART_ARC
(20,10),-4.02629 # DEPENDENCYPART_ARC
(20,11),-4.81148 # DEPENDENCYPART_ARC
(20,12),-4.95395 # DEPENDENCYPART_ARC
(20,13),-2.37106 # DEPENDENCYPART_ARC
(20,14),-2.10249 # DEPENDENCYPART_ARC
(20,15),-2.82993 # DEPENDENCYPART_ARC
(20,16),-0.957146 # DEPENDENCYPART_ARC
(20,17),-2.25517 # DEPENDENCYPART_ARC
(20,18),-3.67743 # DEPENDENCYPART_ARC
(20,19),-1.90145 # DEPENDENCYPART_ARC
(20,21),1.77784 # DEPENDENCYPART_ARC
(21,2),-1.90579 # DEPENDENCYPART_ARC
(21,6),-2.21933 # DEPENDENCYPART_ARC
(21,7),-2.60863 # DEPENDENCYPART_ARC
(21,8),-1.59668 # DEPENDENCYPART_ARC
(21,10),-1.99362 # DEPENDENCYPART_ARC
(21,11),-1.87393 # DEPENDENCYPART_ARC
(21,12),-2.26628 # DEPENDENCYPART_ARC
(21,13),-1.45911 # DEPENDENCYPART_ARC
(21,14),-1.01401 # DEPENDENCYPART_ARC
(21,16),-1.07606 # DEPENDENCYPART_ARC
(21,19),-0.890504 # DEPENDENCYPART_ARC
(21,20),-0.662805 # DEPENDENCYPART_ARC
