# _root_ horrela zeudela , john_wayne famatuarengana joatea erabaki zuten , beren loria egunetan john_wayne beren adiskidea izan zelako .
#goldHeads=2,7,2,6,4,7,0,7,8,12,12,16,16,15,16,7,16,17,
#predictedHeads=2,6,2,6,6,7,0,7,8,11,12,16,15,13,16,7,16,17,
(2,7),-1.42645 # DEPENDENCYPART_ARC
(2,8),-0.918084 # DEPENDENCYPART_ARC
(2,9),-0.72347 # DEPENDENCYPART_ARC
(2,10),-2.77185 # DEPENDENCYPART_ARC
(2,11),-1.43823 # DEPENDENCYPART_ARC
(2,12),-1.32943 # DEPENDENCYPART_ARC
(2,13),-1.58101 # DEPENDENCYPART_ARC
(2,14),-2.91838 # DEPENDENCYPART_ARC
(2,15),-2.68545 # DEPENDENCYPART_ARC
(2,16),-2.54811 # DEPENDENCYPART_ARC
(2,17),-0.87401 # DEPENDENCYPART_ARC
(2,18),-1.28272 # DEPENDENCYPART_ARC
(3,2),0.352006 # DEPENDENCYPART_ARC
(3,4),-0.723172 # DEPENDENCYPART_ARC
(3,5),-0.415102 # DEPENDENCYPART_ARC
(3,6),-0.319751 # DEPENDENCYPART_ARC
(3,7),-0.387243 # DEPENDENCYPART_ARC
(3,8),-0.505046 # DEPENDENCYPART_ARC
(3,11),-1.51384 # DEPENDENCYPART_ARC
(3,12),-1.5742 # DEPENDENCYPART_ARC
(3,13),-1.65307 # DEPENDENCYPART_ARC
(3,15),-1.62447 # DEPENDENCYPART_ARC
(3,16),-1.49615 # DEPENDENCYPART_ARC
(3,17),-1.0631 # DEPENDENCYPART_ARC
(4,1),-1.23681 # DEPENDENCYPART_ARC
(4,2),-0.0644463 # DEPENDENCYPART_ARC
(4,3),-0.414959 # DEPENDENCYPART_ARC
(4,5),0.750444 # DEPENDENCYPART_ARC
(4,6),-0.759773 # DEPENDENCYPART_ARC
(4,7),-2.46722 # DEPENDENCYPART_ARC
(4,9),-0.961583 # DEPENDENCYPART_ARC
(4,10),-4.14959 # DEPENDENCYPART_ARC
(4,11),-2.08467 # DEPENDENCYPART_ARC
(4,12),-2.44292 # DEPENDENCYPART_ARC
(4,13),-1.09595 # DEPENDENCYPART_ARC
(4,14),-4.36635 # DEPENDENCYPART_ARC
(4,15),-1.7978 # DEPENDENCYPART_ARC
(4,16),-3.01599 # DEPENDENCYPART_ARC
(4,18),-1.1802 # DEPENDENCYPART_ARC
(5,1),-0.600906 # DEPENDENCYPART_ARC
(5,2),-0.909876 # DEPENDENCYPART_ARC
(5,3),-1.02231 # DEPENDENCYPART_ARC
(5,4),0.24304 # DEPENDENCYPART_ARC
(5,6),-1.11727 # DEPENDENCYPART_ARC
(5,7),-2.06166 # DEPENDENCYPART_ARC
(5,8),-1.97173 # DEPENDENCYPART_ARC
(5,9),-0.674254 # DEPENDENCYPART_ARC
(5,10),-1.75498 # DEPENDENCYPART_ARC
(5,11),-1.65706 # DEPENDENCYPART_ARC
(5,12),-2.72049 # DEPENDENCYPART_ARC
(5,13),-1.69788 # DEPENDENCYPART_ARC
(5,14),-2.08119 # DEPENDENCYPART_ARC
(5,15),-1.58417 # DEPENDENCYPART_ARC
(5,16),-2.57066 # DEPENDENCYPART_ARC
(5,17),-2.21521 # DEPENDENCYPART_ARC
(5,18),-1.23073 # DEPENDENCYPART_ARC
(6,1),-0.0403206 # DEPENDENCYPART_ARC
(6,2),1.22684 # DEPENDENCYPART_ARC
(6,3),-0.46548 # DEPENDENCYPART_ARC
(6,4),0.571556 # DEPENDENCYPART_ARC
(6,5),0.88208 # DEPENDENCYPART_ARC
(6,7),-0.293457 # DEPENDENCYPART_ARC
(6,8),-1.09485 # DEPENDENCYPART_ARC
(6,9),-0.929495 # DEPENDENCYPART_ARC
(6,10),-1.84619 # DEPENDENCYPART_ARC
(6,11),-1.27916 # DEPENDENCYPART_ARC
(6,12),-0.787186 # DEPENDENCYPART_ARC
(6,13),-1.47007 # DEPENDENCYPART_ARC
(6,14),-2.27758 # DEPENDENCYPART_ARC
(6,15),-1.2915 # DEPENDENCYPART_ARC
(6,16),-1.93077 # DEPENDENCYPART_ARC
(6,17),-2.67111 # DEPENDENCYPART_ARC
(6,18),-1.43012 # DEPENDENCYPART_ARC
(7,1),-0.0340338 # DEPENDENCYPART_ARC
(7,2),1.06876 # DEPENDENCYPART_ARC
(7,3),-0.963306 # DEPENDENCYPART_ARC
(7,4),0.029478 # DEPENDENCYPART_ARC
(7,5),-0.422034 # DEPENDENCYPART_ARC
(7,6),1.62981 # DEPENDENCYPART_ARC
(7,8),1.87028 # DEPENDENCYPART_ARC
(7,9),0.0373783 # DEPENDENCYPART_ARC
(7,10),-0.738982 # DEPENDENCYPART_ARC
(7,11),-0.287597 # DEPENDENCYPART_ARC
(7,12),-0.153733 # DEPENDENCYPART_ARC
(7,13),-0.547042 # DEPENDENCYPART_ARC
(7,14),-1.24675 # DEPENDENCYPART_ARC
(7,15),-0.201828 # DEPENDENCYPART_ARC
(7,16),-0.138965 # DEPENDENCYPART_ARC
(7,17),-0.336614 # DEPENDENCYPART_ARC
(7,18),-0.83326 # DEPENDENCYPART_ARC
(8,1),-1.08464 # DEPENDENCYPART_ARC
(8,2),-1.33669 # DEPENDENCYPART_ARC
(8,3),-1.42438 # DEPENDENCYPART_ARC
(8,4),-1.00371 # DEPENDENCYPART_ARC
(8,5),-1.47856 # DEPENDENCYPART_ARC
(8,6),-0.644628 # DEPENDENCYPART_ARC
(8,7),-1.28584 # DEPENDENCYPART_ARC
(8,9),1.44813 # DEPENDENCYPART_ARC
(8,11),-1.66456 # DEPENDENCYPART_ARC
(8,12),-1.80076 # DEPENDENCYPART_ARC
(8,13),-1.55629 # DEPENDENCYPART_ARC
(8,15),-2.47053 # DEPENDENCYPART_ARC
(8,16),-2.57517 # DEPENDENCYPART_ARC
(8,17),-0.925558 # DEPENDENCYPART_ARC
(8,18),-0.699304 # DEPENDENCYPART_ARC
(9,2),-0.65825 # DEPENDENCYPART_ARC
(9,4),-0.71251 # DEPENDENCYPART_ARC
(9,5),-0.758027 # DEPENDENCYPART_ARC
(9,6),-0.222238 # DEPENDENCYPART_ARC
(9,7),-0.120643 # DEPENDENCYPART_ARC
(9,8),0.120076 # DEPENDENCYPART_ARC
(9,11),-0.860374 # DEPENDENCYPART_ARC
(9,12),-0.742231 # DEPENDENCYPART_ARC
(9,13),-0.949407 # DEPENDENCYPART_ARC
(9,15),-0.959046 # DEPENDENCYPART_ARC
(9,16),-1.0373 # DEPENDENCYPART_ARC
(9,17),-1.17537 # DEPENDENCYPART_ARC
(10,1),-1.56803 # DEPENDENCYPART_ARC
(10,3),-1.78055 # DEPENDENCYPART_ARC
(10,6),-1.71762 # DEPENDENCYPART_ARC
(10,7),-1.83064 # DEPENDENCYPART_ARC
(10,9),-0.341678 # DEPENDENCYPART_ARC
(10,16),-2.32619 # DEPENDENCYPART_ARC
(10,18),-1.23666 # DEPENDENCYPART_ARC
(11,1),-1.71827 # DEPENDENCYPART_ARC
(11,2),-2.4207 # DEPENDENCYPART_ARC
(11,3),-1.82647 # DEPENDENCYPART_ARC
(11,4),-2.00022 # DEPENDENCYPART_ARC
(11,5),-2.27307 # DEPENDENCYPART_ARC
(11,6),-2.25773 # DEPENDENCYPART_ARC
(11,7),-1.12386 # DEPENDENCYPART_ARC
(11,8),-1.32583 # DEPENDENCYPART_ARC
(11,9),-1.1391 # DEPENDENCYPART_ARC
(11,10),0.642424 # DEPENDENCYPART_ARC
(11,12),0.71266 # DEPENDENCYPART_ARC
(11,13),-0.304198 # DEPENDENCYPART_ARC
(11,14),-0.650861 # DEPENDENCYPART_ARC
(11,15),-1.20129 # DEPENDENCYPART_ARC
(11,16),-1.49394 # DEPENDENCYPART_ARC
(11,17),-1.47282 # DEPENDENCYPART_ARC
(11,18),-0.991432 # DEPENDENCYPART_ARC
(12,1),-1.59237 # DEPENDENCYPART_ARC
(12,2),-2.16481 # DEPENDENCYPART_ARC
(12,3),-1.86561 # DEPENDENCYPART_ARC
(12,4),-2.31095 # DEPENDENCYPART_ARC
(12,5),-3.09756 # DEPENDENCYPART_ARC
(12,6),-3.03593 # DEPENDENCYPART_ARC
(12,7),-0.766381 # DEPENDENCYPART_ARC
(12,8),-1.30946 # DEPENDENCYPART_ARC
(12,9),-1.32049 # DEPENDENCYPART_ARC
(12,10),-0.188023 # DEPENDENCYPART_ARC
(12,11),1.31474 # DEPENDENCYPART_ARC
(12,13),0.365008 # DEPENDENCYPART_ARC
(12,14),-2.20295 # DEPENDENCYPART_ARC
(12,15),-2.06062 # DEPENDENCYPART_ARC
(12,16),-3.30806 # DEPENDENCYPART_ARC
(12,17),-2.09696 # DEPENDENCYPART_ARC
(12,18),-1.35933 # DEPENDENCYPART_ARC
(13,1),-2.14264 # DEPENDENCYPART_ARC
(13,2),-3.00346 # DEPENDENCYPART_ARC
(13,3),-2.66255 # DEPENDENCYPART_ARC
(13,4),-2.88046 # DEPENDENCYPART_ARC
(13,5),-2.4142 # DEPENDENCYPART_ARC
(13,6),-2.30049 # DEPENDENCYPART_ARC
(13,7),-1.73733 # DEPENDENCYPART_ARC
(13,9),-2.26266 # DEPENDENCYPART_ARC
(13,10),-1.23602 # DEPENDENCYPART_ARC
(13,11),-0.460251 # DEPENDENCYPART_ARC
(13,12),-0.423427 # DEPENDENCYPART_ARC
(13,14),1.55759 # DEPENDENCYPART_ARC
(13,15),0.238873 # DEPENDENCYPART_ARC
(13,16),-1.34363 # DEPENDENCYPART_ARC
(13,18),-0.784877 # DEPENDENCYPART_ARC
(14,1),-1.42279 # DEPENDENCYPART_ARC
(14,3),-2.09401 # DEPENDENCYPART_ARC
(14,6),-2.05784 # DEPENDENCYPART_ARC
(14,7),-2.40713 # DEPENDENCYPART_ARC
(14,9),-1.68118 # DEPENDENCYPART_ARC
(14,16),-2.21294 # DEPENDENCYPART_ARC
(14,18),-0.933176 # DEPENDENCYPART_ARC
(15,1),-1.23659 # DEPENDENCYPART_ARC
(15,2),-2.34355 # DEPENDENCYPART_ARC
(15,3),-1.87916 # DEPENDENCYPART_ARC
(15,4),-0.875696 # DEPENDENCYPART_ARC
(15,5),-2.72789 # DEPENDENCYPART_ARC
(15,6),-2.30685 # DEPENDENCYPART_ARC
(15,7),-1.50726 # DEPENDENCYPART_ARC
(15,8),-2.15044 # DEPENDENCYPART_ARC
(15,9),-1.70331 # DEPENDENCYPART_ARC
(15,10),-0.872291 # DEPENDENCYPART_ARC
(15,11),-0.384426 # DEPENDENCYPART_ARC
(15,12),-1.75226 # DEPENDENCYPART_ARC
(15,13),0.798547 # DEPENDENCYPART_ARC
(15,14),1.08956 # DEPENDENCYPART_ARC
(15,16),-0.820033 # DEPENDENCYPART_ARC
(15,17),-0.000605879 # DEPENDENCYPART_ARC
(15,18),-0.216236 # DEPENDENCYPART_ARC
(16,1),0.0567856 # DEPENDENCYPART_ARC
(16,2),0.126802 # DEPENDENCYPART_ARC
(16,3),-1.78032 # DEPENDENCYPART_ARC
(16,4),-0.920885 # DEPENDENCYPART_ARC
(16,5),-1.4967 # DEPENDENCYPART_ARC
(16,6),-1.24734 # DEPENDENCYPART_ARC
(16,7),-0.629543 # DEPENDENCYPART_ARC
(16,8),-0.538707 # DEPENDENCYPART_ARC
(16,9),-1.39021 # DEPENDENCYPART_ARC
(16,10),-0.587775 # DEPENDENCYPART_ARC
(16,11),0.299382 # DEPENDENCYPART_ARC
(16,12),1.19971 # DEPENDENCYPART_ARC
(16,13),0.513382 # DEPENDENCYPART_ARC
(16,14),-0.191623 # DEPENDENCYPART_ARC
(16,15),2.3781 # DEPENDENCYPART_ARC
(16,17),1.91741 # DEPENDENCYPART_ARC
(16,18),-0.0945762 # DEPENDENCYPART_ARC
(17,1),-1.37098 # DEPENDENCYPART_ARC
(17,2),-1.44657 # DEPENDENCYPART_ARC
(17,3),-1.78959 # DEPENDENCYPART_ARC
(17,4),-1.45478 # DEPENDENCYPART_ARC
(17,5),-2.42437 # DEPENDENCYPART_ARC
(17,6),-0.522573 # DEPENDENCYPART_ARC
(17,7),-1.8884 # DEPENDENCYPART_ARC
(17,8),-1.24859 # DEPENDENCYPART_ARC
(17,9),-1.52108 # DEPENDENCYPART_ARC
(17,11),-1.15948 # DEPENDENCYPART_ARC
(17,12),-1.62218 # DEPENDENCYPART_ARC
(17,13),-0.894861 # DEPENDENCYPART_ARC
(17,15),-0.713082 # DEPENDENCYPART_ARC
(17,16),-0.709302 # DEPENDENCYPART_ARC
(17,18),1.9729 # DEPENDENCYPART_ARC
(18,3),-1.56499 # DEPENDENCYPART_ARC
(18,6),-1.77829 # DEPENDENCYPART_ARC
(18,7),-1.89199 # DEPENDENCYPART_ARC
(18,9),-1.43794 # DEPENDENCYPART_ARC
(18,11),-1.1221 # DEPENDENCYPART_ARC
(18,12),-0.891957 # DEPENDENCYPART_ARC
(18,15),-0.503925 # DEPENDENCYPART_ARC
(18,16),-0.909895 # DEPENDENCYPART_ARC
