# _root_ era_berean , beti erabiltzeko prest edukiko dituen goiz , eguerdi eta gauerako opari ekitaldietarako beharrezko gaiak zainduko ditu lorategian .
#goldHeads=0,1,6,5,6,16,6,11,8,11,14,11,14,16,16,17,0,17,17,19,
#predictedHeads=17,1,4,6,6,8,6,11,8,11,17,11,14,16,16,17,0,17,17,19,
(8,9),1.73204 # DEPENDENCYPART_ARC
(8,10),0.0478191 # DEPENDENCYPART_ARC
(8,11),-0.236828 # DEPENDENCYPART_ARC
(8,12),-0.377225 # DEPENDENCYPART_ARC
(8,13),-0.428498 # DEPENDENCYPART_ARC
(8,14),-0.506402 # DEPENDENCYPART_ARC
(8,15),-0.93387 # DEPENDENCYPART_ARC
(8,16),-0.574366 # DEPENDENCYPART_ARC
(8,17),-0.625798 # DEPENDENCYPART_ARC
(8,18),-1.34077 # DEPENDENCYPART_ARC
(8,19),-0.898864 # DEPENDENCYPART_ARC
(8,20),-0.0585073 # DEPENDENCYPART_ARC
(9,4),-0.647136 # DEPENDENCYPART_ARC
(9,6),-0.236971 # DEPENDENCYPART_ARC
(9,7),-0.833429 # DEPENDENCYPART_ARC
(9,8),-0.121121 # DEPENDENCYPART_ARC
(9,10),-0.387039 # DEPENDENCYPART_ARC
(9,11),-1.11159 # DEPENDENCYPART_ARC
(9,12),-0.792233 # DEPENDENCYPART_ARC
(9,13),-0.90193 # DEPENDENCYPART_ARC
(9,14),-1.24572 # DEPENDENCYPART_ARC
(9,15),-1.09122 # DEPENDENCYPART_ARC
(9,16),-1.15315 # DEPENDENCYPART_ARC
(9,17),-1.26374 # DEPENDENCYPART_ARC
(9,18),-1.30769 # DEPENDENCYPART_ARC
(9,19),-1.44936 # DEPENDENCYPART_ARC
(10,1),-2.09395 # DEPENDENCYPART_ARC
(10,2),-1.75235 # DEPENDENCYPART_ARC
(10,3),-1.86863 # DEPENDENCYPART_ARC
(10,4),-2.0043 # DEPENDENCYPART_ARC
(10,5),-1.6798 # DEPENDENCYPART_ARC
(10,6),-1.30738 # DEPENDENCYPART_ARC
(10,7),-1.44804 # DEPENDENCYPART_ARC
(10,8),-0.520957 # DEPENDENCYPART_ARC
(10,9),0.0568165 # DEPENDENCYPART_ARC
(10,11),0.136163 # DEPENDENCYPART_ARC
(10,12),-0.436653 # DEPENDENCYPART_ARC
(10,13),-0.707406 # DEPENDENCYPART_ARC
(10,14),-1.14701 # DEPENDENCYPART_ARC
(10,15),-0.765997 # DEPENDENCYPART_ARC
(10,16),-1.2625 # DEPENDENCYPART_ARC
(10,17),-1.09782 # DEPENDENCYPART_ARC
(10,18),-1.4459 # DEPENDENCYPART_ARC
(10,19),-1.42448 # DEPENDENCYPART_ARC
(10,20),-0.601396 # DEPENDENCYPART_ARC
(11,1),-0.913378 # DEPENDENCYPART_ARC
(11,2),-1.88846 # DEPENDENCYPART_ARC
(11,3),-0.853978 # DEPENDENCYPART_ARC
(11,4),-1.23025 # DEPENDENCYPART_ARC
(11,5),-0.962259 # DEPENDENCYPART_ARC
(11,6),-0.438492 # DEPENDENCYPART_ARC
(11,7),-0.753097 # DEPENDENCYPART_ARC
(11,8),0.915555 # DEPENDENCYPART_ARC
(11,9),-1.23574 # DEPENDENCYPART_ARC
(11,10),2.65203 # DEPENDENCYPART_ARC
(11,12),2.39748 # DEPENDENCYPART_ARC
(11,13),-0.0242648 # DEPENDENCYPART_ARC
(11,14),1.17384 # DEPENDENCYPART_ARC
(11,15),-0.58796 # DEPENDENCYPART_ARC
(11,16),1.12203 # DEPENDENCYPART_ARC
(11,17),-0.646125 # DEPENDENCYPART_ARC
(11,18),-0.695881 # DEPENDENCYPART_ARC
(11,19),-0.663998 # DEPENDENCYPART_ARC
(11,20),-1.02727 # DEPENDENCYPART_ARC
(12,1),-3.13119 # DEPENDENCYPART_ARC
(12,2),-2.87414 # DEPENDENCYPART_ARC
(12,3),-2.73878 # DEPENDENCYPART_ARC
(12,4),-4.81857 # DEPENDENCYPART_ARC
(12,5),-2.56454 # DEPENDENCYPART_ARC
(12,6),-2.94238 # DEPENDENCYPART_ARC
(12,7),-3.80042 # DEPENDENCYPART_ARC
(12,8),-1.93772 # DEPENDENCYPART_ARC
(12,9),-2.36154 # DEPENDENCYPART_ARC
(12,10),-1.04014 # DEPENDENCYPART_ARC
(12,11),-1.03042 # DEPENDENCYPART_ARC
(12,13),-0.748885 # DEPENDENCYPART_ARC
(12,14),-2.7782 # DEPENDENCYPART_ARC
(12,15),-3.23249 # DEPENDENCYPART_ARC
(12,16),-2.98095 # DEPENDENCYPART_ARC
(12,17),-3.23108 # DEPENDENCYPART_ARC
(12,18),-3.65085 # DEPENDENCYPART_ARC
(12,19),-3.87341 # DEPENDENCYPART_ARC
(12,20),-1.38102 # DEPENDENCYPART_ARC
(13,1),-1.67372 # DEPENDENCYPART_ARC
(13,2),-1.90151 # DEPENDENCYPART_ARC
(13,3),-1.46737 # DEPENDENCYPART_ARC
(13,4),-2.84517 # DEPENDENCYPART_ARC
(13,5),-1.32354 # DEPENDENCYPART_ARC
(13,6),-1.27133 # DEPENDENCYPART_ARC
(13,7),-1.88978 # DEPENDENCYPART_ARC
(13,8),-1.02637 # DEPENDENCYPART_ARC
(13,9),-1.52443 # DEPENDENCYPART_ARC
(13,10),-0.453397 # DEPENDENCYPART_ARC
(13,11),0.169968 # DEPENDENCYPART_ARC
(13,12),1.41664 # DEPENDENCYPART_ARC
(13,14),0.405311 # DEPENDENCYPART_ARC
(13,15),0.0984213 # DEPENDENCYPART_ARC
(13,16),-0.455765 # DEPENDENCYPART_ARC
(13,17),-1.30252 # DEPENDENCYPART_ARC
(13,18),-1.55252 # DEPENDENCYPART_ARC
(13,19),-1.24156 # DEPENDENCYPART_ARC
(13,20),-0.760177 # DEPENDENCYPART_ARC
(14,1),-1.61932 # DEPENDENCYPART_ARC
(14,2),-1.95623 # DEPENDENCYPART_ARC
(14,3),-1.37337 # DEPENDENCYPART_ARC
(14,4),-3.92569 # DEPENDENCYPART_ARC
(14,5),-1.23466 # DEPENDENCYPART_ARC
(14,6),-1.18673 # DEPENDENCYPART_ARC
(14,7),-2.3499 # DEPENDENCYPART_ARC
(14,8),-0.946313 # DEPENDENCYPART_ARC
(14,9),-1.66057 # DEPENDENCYPART_ARC
(14,10),-0.640841 # DEPENDENCYPART_ARC
(14,11),-0.0647369 # DEPENDENCYPART_ARC
(14,12),1.53454 # DEPENDENCYPART_ARC
(14,13),1.87414 # DEPENDENCYPART_ARC
(14,15),-0.513349 # DEPENDENCYPART_ARC
(14,16),-1.88018 # DEPENDENCYPART_ARC
(14,17),-2.87939 # DEPENDENCYPART_ARC
(14,18),-2.87293 # DEPENDENCYPART_ARC
(14,19),-3.25961 # DEPENDENCYPART_ARC
(14,20),-1.1677 # DEPENDENCYPART_ARC
(15,1),-1.66445 # DEPENDENCYPART_ARC
(15,2),-2.0176 # DEPENDENCYPART_ARC
(15,3),-1.50051 # DEPENDENCYPART_ARC
(15,4),-2.50317 # DEPENDENCYPART_ARC
(15,5),-1.31929 # DEPENDENCYPART_ARC
(15,6),-2.12253 # DEPENDENCYPART_ARC
(15,7),-1.95439 # DEPENDENCYPART_ARC
(15,8),-2.37042 # DEPENDENCYPART_ARC
(15,9),-1.83587 # DEPENDENCYPART_ARC
(15,10),-1.74619 # DEPENDENCYPART_ARC
(15,11),-1.03192 # DEPENDENCYPART_ARC
(15,12),-1.36128 # DEPENDENCYPART_ARC
(15,13),-1.07676 # DEPENDENCYPART_ARC
(15,14),0.00152729 # DEPENDENCYPART_ARC
(15,16),0.0857047 # DEPENDENCYPART_ARC
(15,17),-0.722732 # DEPENDENCYPART_ARC
(15,18),-0.640614 # DEPENDENCYPART_ARC
(15,19),-1.5183 # DEPENDENCYPART_ARC
(15,20),-0.454306 # DEPENDENCYPART_ARC
(16,1),-1.12999 # DEPENDENCYPART_ARC
(16,2),-1.48652 # DEPENDENCYPART_ARC
(16,3),-0.881087 # DEPENDENCYPART_ARC
(16,4),-2.70826 # DEPENDENCYPART_ARC
(16,5),-0.839941 # DEPENDENCYPART_ARC
(16,6),-0.651556 # DEPENDENCYPART_ARC
(16,7),-2.0241 # DEPENDENCYPART_ARC
(16,8),-0.505211 # DEPENDENCYPART_ARC
(16,9),-1.29262 # DEPENDENCYPART_ARC
(16,10),-0.822172 # DEPENDENCYPART_ARC
(16,11),0.103422 # DEPENDENCYPART_ARC
(16,12),0.794394 # DEPENDENCYPART_ARC
(16,13),0.279633 # DEPENDENCYPART_ARC
(16,14),2.04315 # DEPENDENCYPART_ARC
(16,15),2.08443 # DEPENDENCYPART_ARC
(16,17),-0.515222 # DEPENDENCYPART_ARC
(16,18),-0.800116 # DEPENDENCYPART_ARC
(16,19),-1.53306 # DEPENDENCYPART_ARC
(16,20),-0.555918 # DEPENDENCYPART_ARC
(17,1),0.367175 # DEPENDENCYPART_ARC
(17,2),-2.24085 # DEPENDENCYPART_ARC
(17,3),0.1647 # DEPENDENCYPART_ARC
(17,4),0.310243 # DEPENDENCYPART_ARC
(17,5),-0.512132 # DEPENDENCYPART_ARC
(17,6),-0.420581 # DEPENDENCYPART_ARC
(17,7),-0.565361 # DEPENDENCYPART_ARC
(17,8),-0.729104 # DEPENDENCYPART_ARC
(17,9),-1.81761 # DEPENDENCYPART_ARC
(17,10),-0.451204 # DEPENDENCYPART_ARC
(17,11),0.222061 # DEPENDENCYPART_ARC
(17,12),-0.380673 # DEPENDENCYPART_ARC
(17,13),0.469798 # DEPENDENCYPART_ARC
(17,14),-0.253935 # DEPENDENCYPART_ARC
(17,15),0.451173 # DEPENDENCYPART_ARC
(17,16),1.89883 # DEPENDENCYPART_ARC
(17,18),1.65878 # DEPENDENCYPART_ARC
(17,19),2.00338 # DEPENDENCYPART_ARC
(17,20),-0.148444 # DEPENDENCYPART_ARC
(18,1),-1.76844 # DEPENDENCYPART_ARC
(18,2),-2.32542 # DEPENDENCYPART_ARC
(18,3),-1.70687 # DEPENDENCYPART_ARC
(18,4),-1.58116 # DEPENDENCYPART_ARC
(18,5),-1.61808 # DEPENDENCYPART_ARC
(18,6),-2.46801 # DEPENDENCYPART_ARC
(18,7),-1.90348 # DEPENDENCYPART_ARC
(18,8),-1.7962 # DEPENDENCYPART_ARC
(18,9),-2.1247 # DEPENDENCYPART_ARC
(18,10),-1.88271 # DEPENDENCYPART_ARC
(18,11),-2.10574 # DEPENDENCYPART_ARC
(18,12),-1.53442 # DEPENDENCYPART_ARC
(18,13),-1.20966 # DEPENDENCYPART_ARC
(18,14),-1.09176 # DEPENDENCYPART_ARC
(18,15),-0.969086 # DEPENDENCYPART_ARC
(18,16),-0.563107 # DEPENDENCYPART_ARC
(18,17),-1.46596 # DEPENDENCYPART_ARC
(18,19),-0.315293 # DEPENDENCYPART_ARC
(18,20),-0.629004 # DEPENDENCYPART_ARC
(19,1),-1.88297 # DEPENDENCYPART_ARC
(19,2),-2.2544 # DEPENDENCYPART_ARC
(19,3),-1.65728 # DEPENDENCYPART_ARC
(19,4),-2.80464 # DEPENDENCYPART_ARC
(19,5),-1.53996 # DEPENDENCYPART_ARC
(19,6),-1.76049 # DEPENDENCYPART_ARC
(19,7),-2.90459 # DEPENDENCYPART_ARC
(19,8),-2.0186 # DEPENDENCYPART_ARC
(19,9),-2.01619 # DEPENDENCYPART_ARC
(19,10),-1.90443 # DEPENDENCYPART_ARC
(19,11),-0.971482 # DEPENDENCYPART_ARC
(19,12),-1.15178 # DEPENDENCYPART_ARC
(19,13),-1.50046 # DEPENDENCYPART_ARC
(19,14),-0.460647 # DEPENDENCYPART_ARC
(19,15),-0.573603 # DEPENDENCYPART_ARC
(19,16),-3.02424 # DEPENDENCYPART_ARC
(19,17),0.320315 # DEPENDENCYPART_ARC
(19,18),-1.68696 # DEPENDENCYPART_ARC
(19,20),1.84674 # DEPENDENCYPART_ARC
(20,2),-1.49639 # DEPENDENCYPART_ARC
(20,4),-1.79136 # DEPENDENCYPART_ARC
(20,6),-1.71277 # DEPENDENCYPART_ARC
(20,8),-2.25029 # DEPENDENCYPART_ARC
(20,9),-1.63235 # DEPENDENCYPART_ARC
(20,10),-1.76482 # DEPENDENCYPART_ARC
(20,11),-1.1593 # DEPENDENCYPART_ARC
(20,12),-1.49035 # DEPENDENCYPART_ARC
(20,13),-1.39544 # DEPENDENCYPART_ARC
(20,14),-1.44115 # DEPENDENCYPART_ARC
(20,16),-1.08842 # DEPENDENCYPART_ARC
(20,17),-1.05357 # DEPENDENCYPART_ARC
(20,19),-0.574126 # DEPENDENCYPART_ARC
