# _root_ " ekintza guztietan material asko kendu digute , telefono mobilak , mendiko materiala ... portugalen kendu zizkiguten hiru furgonetak ez dizkigute itzuli " .
#goldHeads=0,6,2,6,4,8,6,0,11,9,4,13,11,13,16,19,16,19,22,22,22,8,22,23,
#predictedHeads=0,6,2,6,4,0,6,7,22,9,10,13,16,13,16,22,16,19,22,22,22,6,22,23,
(3,10),-2.01277 # DEPENDENCYPART_ARC
(3,11),-1.38509 # DEPENDENCYPART_ARC
(3,12),-1.5746 # DEPENDENCYPART_ARC
(3,13),-2.44227 # DEPENDENCYPART_ARC
(3,14),-1.47048 # DEPENDENCYPART_ARC
(3,15),-2.33085 # DEPENDENCYPART_ARC
(3,16),-2.52734 # DEPENDENCYPART_ARC
(3,17),-2.2053 # DEPENDENCYPART_ARC
(3,18),-1.89888 # DEPENDENCYPART_ARC
(3,19),-2.82785 # DEPENDENCYPART_ARC
(3,20),-2.00227 # DEPENDENCYPART_ARC
(3,21),-2.42651 # DEPENDENCYPART_ARC
(3,22),-2.44646 # DEPENDENCYPART_ARC
(3,23),-1.84395 # DEPENDENCYPART_ARC
(3,24),-2.38488 # DEPENDENCYPART_ARC
(4,1),-1.50928 # DEPENDENCYPART_ARC
(4,2),0.598148 # DEPENDENCYPART_ARC
(4,3),0.00578205 # DEPENDENCYPART_ARC
(4,5),2.56333 # DEPENDENCYPART_ARC
(4,6),-0.761095 # DEPENDENCYPART_ARC
(4,7),-0.732105 # DEPENDENCYPART_ARC
(4,8),-0.688597 # DEPENDENCYPART_ARC
(4,9),-0.751111 # DEPENDENCYPART_ARC
(4,10),-0.8491 # DEPENDENCYPART_ARC
(4,11),-0.924017 # DEPENDENCYPART_ARC
(4,12),-0.708516 # DEPENDENCYPART_ARC
(4,13),-0.617523 # DEPENDENCYPART_ARC
(4,14),-0.774566 # DEPENDENCYPART_ARC
(4,15),-0.962761 # DEPENDENCYPART_ARC
(4,16),-1.35894 # DEPENDENCYPART_ARC
(4,17),-1.3659 # DEPENDENCYPART_ARC
(4,18),-1.84275 # DEPENDENCYPART_ARC
(4,19),-1.61633 # DEPENDENCYPART_ARC
(4,20),-1.33124 # DEPENDENCYPART_ARC
(4,21),-1.7301 # DEPENDENCYPART_ARC
(4,22),-1.45257 # DEPENDENCYPART_ARC
(4,23),-1.72324 # DEPENDENCYPART_ARC
(4,24),-1.25352 # DEPENDENCYPART_ARC
(5,1),-1.22033 # DEPENDENCYPART_ARC
(5,2),-1.14869 # DEPENDENCYPART_ARC
(5,3),-0.0466682 # DEPENDENCYPART_ARC
(5,4),-0.0348051 # DEPENDENCYPART_ARC
(5,6),-1.32343 # DEPENDENCYPART_ARC
(5,7),-1.09185 # DEPENDENCYPART_ARC
(5,8),-0.441844 # DEPENDENCYPART_ARC
(5,9),-1.2374 # DEPENDENCYPART_ARC
(5,10),-1.70718 # DEPENDENCYPART_ARC
(5,11),-0.684156 # DEPENDENCYPART_ARC
(5,12),-0.784885 # DEPENDENCYPART_ARC
(5,13),-1.40682 # DEPENDENCYPART_ARC
(5,14),-0.916317 # DEPENDENCYPART_ARC
(5,15),-0.718045 # DEPENDENCYPART_ARC
(5,16),-2.1732 # DEPENDENCYPART_ARC
(5,17),-1.83984 # DEPENDENCYPART_ARC
(5,18),-1.61128 # DEPENDENCYPART_ARC
(5,19),-2.18626 # DEPENDENCYPART_ARC
(5,20),-1.4576 # DEPENDENCYPART_ARC
(5,21),-2.19204 # DEPENDENCYPART_ARC
(5,22),-2.24791 # DEPENDENCYPART_ARC
(5,23),-1.31881 # DEPENDENCYPART_ARC
(5,24),-1.6421 # DEPENDENCYPART_ARC
(6,1),-1.34512 # DEPENDENCYPART_ARC
(6,2),0.954976 # DEPENDENCYPART_ARC
(6,3),0.0698835 # DEPENDENCYPART_ARC
(6,4),1.52394 # DEPENDENCYPART_ARC
(6,5),0.385594 # DEPENDENCYPART_ARC
(6,7),2.27547 # DEPENDENCYPART_ARC
(6,8),-0.130705 # DEPENDENCYPART_ARC
(6,9),-0.188905 # DEPENDENCYPART_ARC
(6,10),-0.164766 # DEPENDENCYPART_ARC
(6,11),-0.746641 # DEPENDENCYPART_ARC
(6,12),-1.92522 # DEPENDENCYPART_ARC
(6,13),-0.0147036 # DEPENDENCYPART_ARC
(6,14),-0.663936 # DEPENDENCYPART_ARC
(6,15),-1.39449 # DEPENDENCYPART_ARC
(6,16),-0.385997 # DEPENDENCYPART_ARC
(6,17),-0.168246 # DEPENDENCYPART_ARC
(6,18),-1.5281 # DEPENDENCYPART_ARC
(6,19),-1.47629 # DEPENDENCYPART_ARC
(6,20),-0.987376 # DEPENDENCYPART_ARC
(6,21),-0.808487 # DEPENDENCYPART_ARC
(6,22),-0.971564 # DEPENDENCYPART_ARC
(6,23),-1.03413 # DEPENDENCYPART_ARC
(6,24),-1.45273 # DEPENDENCYPART_ARC
(7,1),-1.28552 # DEPENDENCYPART_ARC
(7,2),-0.420136 # DEPENDENCYPART_ARC
(7,3),-0.616925 # DEPENDENCYPART_ARC
(7,4),0.0208608 # DEPENDENCYPART_ARC
(7,5),-0.825666 # DEPENDENCYPART_ARC
(7,6),-0.908152 # DEPENDENCYPART_ARC
(7,8),1.54341 # DEPENDENCYPART_ARC
(7,9),-1.73733 # DEPENDENCYPART_ARC
(7,10),-1.58191 # DEPENDENCYPART_ARC
(7,11),-0.498704 # DEPENDENCYPART_ARC
(7,12),-2.79047 # DEPENDENCYPART_ARC
(7,13),-2.90192 # DEPENDENCYPART_ARC
(7,14),-0.692403 # DEPENDENCYPART_ARC
(7,15),-2.58648 # DEPENDENCYPART_ARC
(7,16),-2.95964 # DEPENDENCYPART_ARC
(7,17),-1.2362 # DEPENDENCYPART_ARC
(7,18),-1.60712 # DEPENDENCYPART_ARC
(7,19),-2.48842 # DEPENDENCYPART_ARC
(7,20),-1.15166 # DEPENDENCYPART_ARC
(7,21),-1.5565 # DEPENDENCYPART_ARC
(7,22),-2.97482 # DEPENDENCYPART_ARC
(7,23),-1.12281 # DEPENDENCYPART_ARC
(7,24),-1.42332 # DEPENDENCYPART_ARC
(8,1),-1.26625 # DEPENDENCYPART_ARC
(8,2),-0.728436 # DEPENDENCYPART_ARC
(8,3),-1.37599 # DEPENDENCYPART_ARC
(8,4),-0.499086 # DEPENDENCYPART_ARC
(8,5),-1.02402 # DEPENDENCYPART_ARC
(8,6),0.00648073 # DEPENDENCYPART_ARC
(8,7),0.338221 # DEPENDENCYPART_ARC
(8,9),-1.0403 # DEPENDENCYPART_ARC
(8,10),-0.768904 # DEPENDENCYPART_ARC
(8,11),-0.457508 # DEPENDENCYPART_ARC
(8,12),-1.37684 # DEPENDENCYPART_ARC
(8,13),-1.0333 # DEPENDENCYPART_ARC
(8,14),-0.78387 # DEPENDENCYPART_ARC
(8,15),-1.43628 # DEPENDENCYPART_ARC
(8,16),-1.27861 # DEPENDENCYPART_ARC
(8,17),-0.988496 # DEPENDENCYPART_ARC
(8,18),-1.41237 # DEPENDENCYPART_ARC
(8,19),-1.51894 # DEPENDENCYPART_ARC
(8,20),-1.55444 # DEPENDENCYPART_ARC
(8,21),-1.20396 # DEPENDENCYPART_ARC
(8,22),-1.49849 # DEPENDENCYPART_ARC
(8,23),-1.28944 # DEPENDENCYPART_ARC
(8,24),-1.49026 # DEPENDENCYPART_ARC
(9,1),-1.80632 # DEPENDENCYPART_ARC
(9,2),-0.983798 # DEPENDENCYPART_ARC
(9,3),-1.99528 # DEPENDENCYPART_ARC
(9,4),-1.10885 # DEPENDENCYPART_ARC
(9,5),-1.274 # DEPENDENCYPART_ARC
(9,6),-0.353215 # DEPENDENCYPART_ARC
(9,7),-0.651391 # DEPENDENCYPART_ARC
(9,8),0.0956358 # DEPENDENCYPART_ARC
(9,10),1.85909 # DEPENDENCYPART_ARC
(9,11),0.0113977 # DEPENDENCYPART_ARC
(9,12),-0.277082 # DEPENDENCYPART_ARC
(9,13),-0.318542 # DEPENDENCYPART_ARC
(9,14),-0.472922 # DEPENDENCYPART_ARC
(9,15),-0.713811 # DEPENDENCYPART_ARC
(9,16),-1.05936 # DEPENDENCYPART_ARC
(9,17),-0.945827 # DEPENDENCYPART_ARC
(9,18),-1.29273 # DEPENDENCYPART_ARC
(9,19),-1.53789 # DEPENDENCYPART_ARC
(9,20),-1.16588 # DEPENDENCYPART_ARC
(9,21),-1.52866 # DEPENDENCYPART_ARC
(9,22),-1.45621 # DEPENDENCYPART_ARC
(9,23),-1.45402 # DEPENDENCYPART_ARC
(9,24),-0.985064 # DEPENDENCYPART_ARC
(10,1),-1.54556 # DEPENDENCYPART_ARC
(10,2),-1.53246 # DEPENDENCYPART_ARC
(10,3),-1.0122 # DEPENDENCYPART_ARC
(10,4),-1.48669 # DEPENDENCYPART_ARC
(10,5),-0.592127 # DEPENDENCYPART_ARC
(10,6),-0.0634891 # DEPENDENCYPART_ARC
(10,7),-1.00645 # DEPENDENCYPART_ARC
(10,8),-0.784208 # DEPENDENCYPART_ARC
(10,9),0.303096 # DEPENDENCYPART_ARC
(10,11),1.42553 # DEPENDENCYPART_ARC
(10,12),-1.02724 # DEPENDENCYPART_ARC
(10,13),-1.61064 # DEPENDENCYPART_ARC
(10,14),-0.335424 # DEPENDENCYPART_ARC
(10,15),-2.52837 # DEPENDENCYPART_ARC
(10,16),-1.49754 # DEPENDENCYPART_ARC
(10,17),-1.52602 # DEPENDENCYPART_ARC
(10,18),-1.21588 # DEPENDENCYPART_ARC
(10,19),-1.86706 # DEPENDENCYPART_ARC
(10,20),-1.28687 # DEPENDENCYPART_ARC
(10,21),-1.34353 # DEPENDENCYPART_ARC
(10,22),-1.75803 # DEPENDENCYPART_ARC
(10,23),-0.879965 # DEPENDENCYPART_ARC
(10,24),-0.966119 # DEPENDENCYPART_ARC
(11,1),-1.48334 # DEPENDENCYPART_ARC
(11,2),-1.07376 # DEPENDENCYPART_ARC
(11,3),-1.53819 # DEPENDENCYPART_ARC
(11,4),-0.934672 # DEPENDENCYPART_ARC
(11,5),-1.49566 # DEPENDENCYPART_ARC
(11,6),-0.705024 # DEPENDENCYPART_ARC
(11,7),-0.645837 # DEPENDENCYPART_ARC
(11,8),-0.926912 # DEPENDENCYPART_ARC
(11,9),-0.460056 # DEPENDENCYPART_ARC
(11,10),0.215502 # DEPENDENCYPART_ARC
(11,12),-0.33881 # DEPENDENCYPART_ARC
(11,13),-0.8113 # DEPENDENCYPART_ARC
(11,14),-0.304157 # DEPENDENCYPART_ARC
(11,15),-0.946838 # DEPENDENCYPART_ARC
(11,16),-0.994037 # DEPENDENCYPART_ARC
(11,17),-0.72878 # DEPENDENCYPART_ARC
(11,18),-1.25 # DEPENDENCYPART_ARC
(11,19),-1.22222 # DEPENDENCYPART_ARC
(11,20),-1.37325 # DEPENDENCYPART_ARC
(11,21),-0.913127 # DEPENDENCYPART_ARC
(11,22),-1.21699 # DEPENDENCYPART_ARC
(11,23),-0.903655 # DEPENDENCYPART_ARC
(11,24),-1.19685 # DEPENDENCYPART_ARC
(12,1),-2.29133 # DEPENDENCYPART_ARC
(12,2),-1.50164 # DEPENDENCYPART_ARC
(12,3),-3.70497 # DEPENDENCYPART_ARC
(12,4),-1.72726 # DEPENDENCYPART_ARC
(12,5),-2.70353 # DEPENDENCYPART_ARC
(12,6),-2.12577 # DEPENDENCYPART_ARC
(12,7),-2.49029 # DEPENDENCYPART_ARC
(12,8),-1.44771 # DEPENDENCYPART_ARC
(12,9),-0.458101 # DEPENDENCYPART_ARC
(12,10),-0.675665 # DEPENDENCYPART_ARC
(12,11),0.0545871 # DEPENDENCYPART_ARC
(12,13),-0.968085 # DEPENDENCYPART_ARC
(12,14),-0.426677 # DEPENDENCYPART_ARC
(12,15),-3.32343 # DEPENDENCYPART_ARC
(12,16),-3.24998 # DEPENDENCYPART_ARC
(12,17),-2.57332 # DEPENDENCYPART_ARC
(12,18),-3.69574 # DEPENDENCYPART_ARC
(12,19),-3.63391 # DEPENDENCYPART_ARC
(12,20),-2.70386 # DEPENDENCYPART_ARC
(12,21),-3.86933 # DEPENDENCYPART_ARC
(12,22),-3.46427 # DEPENDENCYPART_ARC
(12,23),-1.9073 # DEPENDENCYPART_ARC
(12,24),-1.74338 # DEPENDENCYPART_ARC
(13,1),-2.29473 # DEPENDENCYPART_ARC
(13,2),-1.31893 # DEPENDENCYPART_ARC
(13,3),-3.57303 # DEPENDENCYPART_ARC
(13,4),-1.35072 # DEPENDENCYPART_ARC
(13,5),-2.17458 # DEPENDENCYPART_ARC
(13,6),-1.7315 # DEPENDENCYPART_ARC
(13,7),-2.6186 # DEPENDENCYPART_ARC
(13,8),-1.63819 # DEPENDENCYPART_ARC
(13,9),-0.217049 # DEPENDENCYPART_ARC
(13,10),-1.53522 # DEPENDENCYPART_ARC
(13,11),-0.82756 # DEPENDENCYPART_ARC
(13,12),1.88447 # DEPENDENCYPART_ARC
(13,14),1.9229 # DEPENDENCYPART_ARC
(13,15),-1.33678 # DEPENDENCYPART_ARC
(13,16),-1.75993 # DEPENDENCYPART_ARC
(13,17),-0.66725 # DEPENDENCYPART_ARC
(13,18),-2.749 # DEPENDENCYPART_ARC
(13,19),-2.39986 # DEPENDENCYPART_ARC
(13,20),-1.89387 # DEPENDENCYPART_ARC
(13,21),-2.36624 # DEPENDENCYPART_ARC
(13,22),-2.13081 # DEPENDENCYPART_ARC
(13,23),-0.851707 # DEPENDENCYPART_ARC
(13,24),-0.821628 # DEPENDENCYPART_ARC
(14,1),-1.20906 # DEPENDENCYPART_ARC
(14,2),-1.1392 # DEPENDENCYPART_ARC
(14,3),-1.63025 # DEPENDENCYPART_ARC
(14,4),-0.990719 # DEPENDENCYPART_ARC
(14,5),-1.45577 # DEPENDENCYPART_ARC
(14,6),-0.783805 # DEPENDENCYPART_ARC
(14,7),-0.686559 # DEPENDENCYPART_ARC
(14,8),-0.967587 # DEPENDENCYPART_ARC
(14,9),-0.899721 # DEPENDENCYPART_ARC
(14,10),-0.876343 # DEPENDENCYPART_ARC
(14,11),-0.649947 # DEPENDENCYPART_ARC
(14,12),-0.387152 # DEPENDENCYPART_ARC
(14,13),-0.245146 # DEPENDENCYPART_ARC
(14,15),-0.580461 # DEPENDENCYPART_ARC
(14,16),-0.743865 # DEPENDENCYPART_ARC
(14,17),-0.580223 # DEPENDENCYPART_ARC
(14,18),-1.33871 # DEPENDENCYPART_ARC
(14,19),-1.18915 # DEPENDENCYPART_ARC
(14,20),-1.32947 # DEPENDENCYPART_ARC
(14,21),-0.932141 # DEPENDENCYPART_ARC
(14,22),-0.991908 # DEPENDENCYPART_ARC
(14,23),-0.661218 # DEPENDENCYPART_ARC
(14,24),-0.744719 # DEPENDENCYPART_ARC
(15,1),-2.374 # DEPENDENCYPART_ARC
(15,2),-2.82158 # DEPENDENCYPART_ARC
(15,3),-5.00101 # DEPENDENCYPART_ARC
(15,4),-3.08012 # DEPENDENCYPART_ARC
(15,5),-4.11711 # DEPENDENCYPART_ARC
(15,6),-3.00232 # DEPENDENCYPART_ARC
(15,7),-2.33664 # DEPENDENCYPART_ARC
(15,8),-1.91387 # DEPENDENCYPART_ARC
(15,9),-2.12388 # DEPENDENCYPART_ARC
(15,10),-2.03372 # DEPENDENCYPART_ARC
(15,11),-1.44074 # DEPENDENCYPART_ARC
(15,12),-1.64715 # DEPENDENCYPART_ARC
(15,13),-3.48693 # DEPENDENCYPART_ARC
(15,14),-0.229402 # DEPENDENCYPART_ARC
(15,16),-1.90842 # DEPENDENCYPART_ARC
(15,17),-1.77707 # DEPENDENCYPART_ARC
(15,18),-3.3606 # DEPENDENCYPART_ARC
(15,19),-2.31845 # DEPENDENCYPART_ARC
(15,20),-2.58234 # DEPENDENCYPART_ARC
(15,21),-3.82307 # DEPENDENCYPART_ARC
(15,22),-3.10138 # DEPENDENCYPART_ARC
(15,23),-1.53272 # DEPENDENCYPART_ARC
(15,24),-1.46512 # DEPENDENCYPART_ARC
(16,1),-1.87729 # DEPENDENCYPART_ARC
(16,2),-1.08602 # DEPENDENCYPART_ARC
(16,3),-0.818061 # DEPENDENCYPART_ARC
(16,4),-0.912078 # DEPENDENCYPART_ARC
(16,5),-1.74336 # DEPENDENCYPART_ARC
(16,6),-0.503001 # DEPENDENCYPART_ARC
(16,7),-0.732392 # DEPENDENCYPART_ARC
(16,8),-1.44661 # DEPENDENCYPART_ARC
(16,9),-0.434077 # DEPENDENCYPART_ARC
(16,10),-0.999172 # DEPENDENCYPART_ARC
(16,11),-1.5507 # DEPENDENCYPART_ARC
(16,12),-0.933629 # DEPENDENCYPART_ARC
(16,13),0.365183 # DEPENDENCYPART_ARC
(16,14),-0.988751 # DEPENDENCYPART_ARC
(16,15),2.46829 # DEPENDENCYPART_ARC
(16,17),2.41748 # DEPENDENCYPART_ARC
(16,18),0.277813 # DEPENDENCYPART_ARC
(16,19),0.518156 # DEPENDENCYPART_ARC
(16,20),-0.166109 # DEPENDENCYPART_ARC
(16,21),0.0325657 # DEPENDENCYPART_ARC
(16,22),-0.00506621 # DEPENDENCYPART_ARC
(16,23),-0.151286 # DEPENDENCYPART_ARC
(16,24),-0.606989 # DEPENDENCYPART_ARC
(17,1),-2.11668 # DEPENDENCYPART_ARC
(17,2),-2.01027 # DEPENDENCYPART_ARC
(17,3),-1.66207 # DEPENDENCYPART_ARC
(17,4),-1.90685 # DEPENDENCYPART_ARC
(17,5),-2.38353 # DEPENDENCYPART_ARC
(17,6),-2.83455 # DEPENDENCYPART_ARC
(17,7),-1.36523 # DEPENDENCYPART_ARC
(17,8),-1.95599 # DEPENDENCYPART_ARC
(17,9),-1.66174 # DEPENDENCYPART_ARC
(17,10),-1.23202 # DEPENDENCYPART_ARC
(17,11),-1.76869 # DEPENDENCYPART_ARC
(17,12),-2.35281 # DEPENDENCYPART_ARC
(17,13),-2.1032 # DEPENDENCYPART_ARC
(17,14),-1.3058 # DEPENDENCYPART_ARC
(17,15),-2.38501 # DEPENDENCYPART_ARC
(17,16),-1.62964 # DEPENDENCYPART_ARC
(17,18),-0.300442 # DEPENDENCYPART_ARC
(17,19),-1.16185 # DEPENDENCYPART_ARC
(17,20),-0.566611 # DEPENDENCYPART_ARC
(17,21),-1.1048 # DEPENDENCYPART_ARC
(17,22),-2.523 # DEPENDENCYPART_ARC
(17,23),-0.622272 # DEPENDENCYPART_ARC
(17,24),-0.940824 # DEPENDENCYPART_ARC
(18,1),-1.83934 # DEPENDENCYPART_ARC
(18,2),-2.03988 # DEPENDENCYPART_ARC
(18,3),-1.59491 # DEPENDENCYPART_ARC
(18,4),-1.9436 # DEPENDENCYPART_ARC
(18,5),-1.79152 # DEPENDENCYPART_ARC
(18,6),-1.97037 # DEPENDENCYPART_ARC
(18,7),-1.56259 # DEPENDENCYPART_ARC
(18,8),-1.41127 # DEPENDENCYPART_ARC
(18,9),-1.71516 # DEPENDENCYPART_ARC
(18,10),-1.59545 # DEPENDENCYPART_ARC
(18,11),-1.26398 # DEPENDENCYPART_ARC
(18,12),-1.00547 # DEPENDENCYPART_ARC
(18,13),-1.25297 # DEPENDENCYPART_ARC
(18,14),-1.08351 # DEPENDENCYPART_ARC
(18,15),-0.853915 # DEPENDENCYPART_ARC
(18,16),-0.443126 # DEPENDENCYPART_ARC
(18,17),-0.00907348 # DEPENDENCYPART_ARC
(18,19),0.0882111 # DEPENDENCYPART_ARC
(18,20),-0.114886 # DEPENDENCYPART_ARC
(18,21),-0.938446 # DEPENDENCYPART_ARC
(18,22),-1.01144 # DEPENDENCYPART_ARC
(18,23),-0.333455 # DEPENDENCYPART_ARC
(18,24),-0.463082 # DEPENDENCYPART_ARC
(19,1),-1.94628 # DEPENDENCYPART_ARC
(19,2),-1.25627 # DEPENDENCYPART_ARC
(19,3),-2.37691 # DEPENDENCYPART_ARC
(19,4),-1.17535 # DEPENDENCYPART_ARC
(19,5),-1.51042 # DEPENDENCYPART_ARC
(19,6),-1.11154 # DEPENDENCYPART_ARC
(19,7),-1.98254 # DEPENDENCYPART_ARC
(19,8),-1.67566 # DEPENDENCYPART_ARC
(19,9),-0.607512 # DEPENDENCYPART_ARC
(19,10),-1.46184 # DEPENDENCYPART_ARC
(19,11),-1.32481 # DEPENDENCYPART_ARC
(19,12),-0.23522 # DEPENDENCYPART_ARC
(19,13),-1.70358 # DEPENDENCYPART_ARC
(19,14),-1.13511 # DEPENDENCYPART_ARC
(19,15),-1.76579 # DEPENDENCYPART_ARC
(19,16),0.775578 # DEPENDENCYPART_ARC
(19,17),-0.516744 # DEPENDENCYPART_ARC
(19,18),2.1839 # DEPENDENCYPART_ARC
(19,20),-0.608191 # DEPENDENCYPART_ARC
(19,21),-1.65259 # DEPENDENCYPART_ARC
(19,22),-1.94597 # DEPENDENCYPART_ARC
(19,23),-1.13841 # DEPENDENCYPART_ARC
(19,24),-1.23293 # DEPENDENCYPART_ARC
(20,1),-1.84732 # DEPENDENCYPART_ARC
(20,2),-1.53791 # DEPENDENCYPART_ARC
(20,3),-2.384 # DEPENDENCYPART_ARC
(20,4),-1.57658 # DEPENDENCYPART_ARC
(20,5),-2.32576 # DEPENDENCYPART_ARC
(20,6),-2.02766 # DEPENDENCYPART_ARC
(20,7),-1.83048 # DEPENDENCYPART_ARC
(20,8),-1.66918 # DEPENDENCYPART_ARC
(20,9),-1.6342 # DEPENDENCYPART_ARC
(20,10),-2.05687 # DEPENDENCYPART_ARC
(20,11),-1.53998 # DEPENDENCYPART_ARC
(20,12),-1.81828 # DEPENDENCYPART_ARC
(20,13),-1.80358 # DEPENDENCYPART_ARC
(20,14),-1.50037 # DEPENDENCYPART_ARC
(20,15),-1.69018 # DEPENDENCYPART_ARC
(20,16),-1.57883 # DEPENDENCYPART_ARC
(20,17),-1.31077 # DEPENDENCYPART_ARC
(20,18),-1.19414 # DEPENDENCYPART_ARC
(20,19),-0.375873 # DEPENDENCYPART_ARC
(20,21),-0.852354 # DEPENDENCYPART_ARC
(20,22),-1.05772 # DEPENDENCYPART_ARC
(20,23),-0.323126 # DEPENDENCYPART_ARC
(20,24),-0.423171 # DEPENDENCYPART_ARC
(21,1),-1.80199 # DEPENDENCYPART_ARC
(21,2),-1.23951 # DEPENDENCYPART_ARC
(21,3),-1.586 # DEPENDENCYPART_ARC
(21,4),-1.18535 # DEPENDENCYPART_ARC
(21,5),-1.94368 # DEPENDENCYPART_ARC
(21,6),-1.45801 # DEPENDENCYPART_ARC
(21,7),-1.27191 # DEPENDENCYPART_ARC
(21,8),-1.70533 # DEPENDENCYPART_ARC
(21,9),-1.07738 # DEPENDENCYPART_ARC
(21,10),-1.03396 # DEPENDENCYPART_ARC
(21,11),-1.61304 # DEPENDENCYPART_ARC
(21,12),-1.09417 # DEPENDENCYPART_ARC
(21,13),-0.80088 # DEPENDENCYPART_ARC
(21,14),-1.38695 # DEPENDENCYPART_ARC
(21,15),-1.62969 # DEPENDENCYPART_ARC
(21,16),-1.54327 # DEPENDENCYPART_ARC
(21,17),-0.85793 # DEPENDENCYPART_ARC
(21,18),-0.822621 # DEPENDENCYPART_ARC
(21,19),0.312515 # DEPENDENCYPART_ARC
(21,20),-0.0195729 # DEPENDENCYPART_ARC
(21,22),-0.985929 # DEPENDENCYPART_ARC
