# _root_ preso gasteiztarrak , gainera , bere garaian esan zuen azken egunetan egarri greba hasteko asmoa duela .
#goldHeads=8,1,2,0,4,7,8,0,8,11,8,13,14,16,16,8,16,
#predictedHeads=8,1,2,0,4,7,8,0,8,11,14,13,14,15,16,8,16,
(4,11),-1.46972 # DEPENDENCYPART_ARC
(4,12),-2.37247 # DEPENDENCYPART_ARC
(4,13),-1.20068 # DEPENDENCYPART_ARC
(4,14),-2.08931 # DEPENDENCYPART_ARC
(4,15),-1.68718 # DEPENDENCYPART_ARC
(4,16),-1.05433 # DEPENDENCYPART_ARC
(4,17),-1.96479 # DEPENDENCYPART_ARC
(5,1),-1.00565 # DEPENDENCYPART_ARC
(5,2),-0.750161 # DEPENDENCYPART_ARC
(5,3),-1.08944 # DEPENDENCYPART_ARC
(5,4),-0.0626821 # DEPENDENCYPART_ARC
(5,6),-0.738238 # DEPENDENCYPART_ARC
(5,7),-0.965053 # DEPENDENCYPART_ARC
(5,8),-0.747001 # DEPENDENCYPART_ARC
(5,9),-0.838635 # DEPENDENCYPART_ARC
(5,10),-1.72951 # DEPENDENCYPART_ARC
(5,11),-1.34318 # DEPENDENCYPART_ARC
(5,12),-1.40358 # DEPENDENCYPART_ARC
(5,13),-1.46921 # DEPENDENCYPART_ARC
(5,14),-1.65192 # DEPENDENCYPART_ARC
(5,15),-1.57503 # DEPENDENCYPART_ARC
(5,16),-1.52486 # DEPENDENCYPART_ARC
(5,17),-1.1717 # DEPENDENCYPART_ARC
(6,1),-1.74199 # DEPENDENCYPART_ARC
(6,2),-1.86727 # DEPENDENCYPART_ARC
(6,3),-0.976548 # DEPENDENCYPART_ARC
(6,4),-0.580644 # DEPENDENCYPART_ARC
(6,5),-0.0136737 # DEPENDENCYPART_ARC
(6,7),0.747376 # DEPENDENCYPART_ARC
(6,8),-1.23042 # DEPENDENCYPART_ARC
(6,9),-0.871213 # DEPENDENCYPART_ARC
(6,10),-0.860446 # DEPENDENCYPART_ARC
(6,11),-0.777425 # DEPENDENCYPART_ARC
(6,12),-1.24232 # DEPENDENCYPART_ARC
(6,13),-1.19097 # DEPENDENCYPART_ARC
(6,14),-0.920917 # DEPENDENCYPART_ARC
(6,15),-1.57238 # DEPENDENCYPART_ARC
(6,16),-1.7074 # DEPENDENCYPART_ARC
(6,17),-0.941054 # DEPENDENCYPART_ARC
(7,1),-0.637658 # DEPENDENCYPART_ARC
(7,2),-2.0467 # DEPENDENCYPART_ARC
(7,3),-1.07012 # DEPENDENCYPART_ARC
(7,4),-0.426348 # DEPENDENCYPART_ARC
(7,5),-0.586753 # DEPENDENCYPART_ARC
(7,6),2.17379 # DEPENDENCYPART_ARC
(7,8),-1.71214 # DEPENDENCYPART_ARC
(7,9),-1.42207 # DEPENDENCYPART_ARC
(7,10),-1.09709 # DEPENDENCYPART_ARC
(7,11),-2.35611 # DEPENDENCYPART_ARC
(7,12),-1.574 # DEPENDENCYPART_ARC
(7,13),-2.65222 # DEPENDENCYPART_ARC
(7,14),-2.40088 # DEPENDENCYPART_ARC
(7,15),-2.4862 # DEPENDENCYPART_ARC
(7,16),-2.21803 # DEPENDENCYPART_ARC
(7,17),-1.28093 # DEPENDENCYPART_ARC
(8,1),-0.438624 # DEPENDENCYPART_ARC
(8,2),-0.815164 # DEPENDENCYPART_ARC
(8,3),-1.02426 # DEPENDENCYPART_ARC
(8,4),-0.0943673 # DEPENDENCYPART_ARC
(8,5),-0.898344 # DEPENDENCYPART_ARC
(8,6),-0.418866 # DEPENDENCYPART_ARC
(8,7),2.06407 # DEPENDENCYPART_ARC
(8,9),2.21585 # DEPENDENCYPART_ARC
(8,10),0.511414 # DEPENDENCYPART_ARC
(8,11),0.490263 # DEPENDENCYPART_ARC
(8,12),0.226729 # DEPENDENCYPART_ARC
(8,13),0.526727 # DEPENDENCYPART_ARC
(8,14),-0.3853 # DEPENDENCYPART_ARC
(8,15),0.237486 # DEPENDENCYPART_ARC
(8,16),0.35027 # DEPENDENCYPART_ARC
(8,17),-0.282447 # DEPENDENCYPART_ARC
(9,1),-1.59158 # DEPENDENCYPART_ARC
(9,2),-1.96644 # DEPENDENCYPART_ARC
(9,3),-1.93216 # DEPENDENCYPART_ARC
(9,4),-1.91625 # DEPENDENCYPART_ARC
(9,5),-1.76949 # DEPENDENCYPART_ARC
(9,6),-1.33617 # DEPENDENCYPART_ARC
(9,7),-1.13895 # DEPENDENCYPART_ARC
(9,8),-2.0429 # DEPENDENCYPART_ARC
(9,10),-0.65897 # DEPENDENCYPART_ARC
(9,11),-1.71789 # DEPENDENCYPART_ARC
(9,12),-2.11241 # DEPENDENCYPART_ARC
(9,13),-2.33719 # DEPENDENCYPART_ARC
(9,14),-1.75482 # DEPENDENCYPART_ARC
(9,15),-2.65559 # DEPENDENCYPART_ARC
(9,16),-2.20899 # DEPENDENCYPART_ARC
(9,17),-1.55537 # DEPENDENCYPART_ARC
(10,1),-1.90917 # DEPENDENCYPART_ARC
(10,2),-1.61549 # DEPENDENCYPART_ARC
(10,3),-1.36463 # DEPENDENCYPART_ARC
(10,4),-1.08184 # DEPENDENCYPART_ARC
(10,5),-1.23995 # DEPENDENCYPART_ARC
(10,6),-1.07277 # DEPENDENCYPART_ARC
(10,7),-1.17275 # DEPENDENCYPART_ARC
(10,8),-0.461192 # DEPENDENCYPART_ARC
(10,9),-0.0838598 # DEPENDENCYPART_ARC
(10,11),-0.126553 # DEPENDENCYPART_ARC
(10,12),-0.930327 # DEPENDENCYPART_ARC
(10,13),-1.00434 # DEPENDENCYPART_ARC
(10,14),-0.860897 # DEPENDENCYPART_ARC
(10,15),-1.37058 # DEPENDENCYPART_ARC
(10,16),-0.944851 # DEPENDENCYPART_ARC
(10,17),-0.813469 # DEPENDENCYPART_ARC
(11,1),-0.719186 # DEPENDENCYPART_ARC
(11,2),-2.44077 # DEPENDENCYPART_ARC
(11,3),-1.19581 # DEPENDENCYPART_ARC
(11,4),-0.532833 # DEPENDENCYPART_ARC
(11,5),-1.20747 # DEPENDENCYPART_ARC
(11,6),0.0777066 # DEPENDENCYPART_ARC
(11,7),-2.17099 # DEPENDENCYPART_ARC
(11,8),0.42013 # DEPENDENCYPART_ARC
(11,9),-0.339932 # DEPENDENCYPART_ARC
(11,10),1.94797 # DEPENDENCYPART_ARC
(11,12),-0.252803 # DEPENDENCYPART_ARC
(11,13),-1.57425 # DEPENDENCYPART_ARC
(11,14),-2.53014 # DEPENDENCYPART_ARC
(11,15),-2.2788 # DEPENDENCYPART_ARC
(11,16),-2.72868 # DEPENDENCYPART_ARC
(11,17),-1.22233 # DEPENDENCYPART_ARC
(12,1),-1.4395 # DEPENDENCYPART_ARC
(12,2),-2.17807 # DEPENDENCYPART_ARC
(12,3),-1.90634 # DEPENDENCYPART_ARC
(12,4),-1.47038 # DEPENDENCYPART_ARC
(12,5),-1.88234 # DEPENDENCYPART_ARC
(12,6),-1.17696 # DEPENDENCYPART_ARC
(12,7),-1.92965 # DEPENDENCYPART_ARC
(12,8),-0.590058 # DEPENDENCYPART_ARC
(12,9),-1.10824 # DEPENDENCYPART_ARC
(12,10),0.474935 # DEPENDENCYPART_ARC
(12,11),0.299597 # DEPENDENCYPART_ARC
(12,13),1.10469 # DEPENDENCYPART_ARC
(12,14),-0.680022 # DEPENDENCYPART_ARC
(12,15),-0.433683 # DEPENDENCYPART_ARC
(12,16),-1.59416 # DEPENDENCYPART_ARC
(12,17),-0.797681 # DEPENDENCYPART_ARC
(13,1),-1.53718 # DEPENDENCYPART_ARC
(13,2),-2.32638 # DEPENDENCYPART_ARC
(13,3),-1.83275 # DEPENDENCYPART_ARC
(13,4),-1.67305 # DEPENDENCYPART_ARC
(13,5),-1.82749 # DEPENDENCYPART_ARC
(13,6),-0.906796 # DEPENDENCYPART_ARC
(13,7),-2.23097 # DEPENDENCYPART_ARC
(13,8),-0.368585 # DEPENDENCYPART_ARC
(13,9),-1.63345 # DEPENDENCYPART_ARC
(13,10),-0.206382 # DEPENDENCYPART_ARC
(13,11),-0.920927 # DEPENDENCYPART_ARC
(13,12),1.79893 # DEPENDENCYPART_ARC
(13,14),-0.467541 # DEPENDENCYPART_ARC
(13,15),-0.942524 # DEPENDENCYPART_ARC
(13,16),-1.90712 # DEPENDENCYPART_ARC
(13,17),-1.1232 # DEPENDENCYPART_ARC
(14,1),-0.794856 # DEPENDENCYPART_ARC
(14,2),-1.37506 # DEPENDENCYPART_ARC
(14,3),-1.9574 # DEPENDENCYPART_ARC
(14,4),-0.179608 # DEPENDENCYPART_ARC
(14,5),-1.91719 # DEPENDENCYPART_ARC
(14,6),-0.469463 # DEPENDENCYPART_ARC
(14,7),0.714647 # DEPENDENCYPART_ARC
(14,8),-0.445206 # DEPENDENCYPART_ARC
(14,9),-1.06624 # DEPENDENCYPART_ARC
(14,10),-0.207824 # DEPENDENCYPART_ARC
(14,11),1.38284 # DEPENDENCYPART_ARC
(14,12),1.12703 # DEPENDENCYPART_ARC
(14,13),2.59505 # DEPENDENCYPART_ARC
(14,15),-0.876447 # DEPENDENCYPART_ARC
(14,16),-0.946896 # DEPENDENCYPART_ARC
(14,17),-0.922377 # DEPENDENCYPART_ARC
(15,1),-1.62659 # DEPENDENCYPART_ARC
(15,2),-3.06821 # DEPENDENCYPART_ARC
(15,3),-1.82692 # DEPENDENCYPART_ARC
(15,4),-1.47356 # DEPENDENCYPART_ARC
(15,5),-1.69673 # DEPENDENCYPART_ARC
(15,6),-1.13612 # DEPENDENCYPART_ARC
(15,7),-2.99806 # DEPENDENCYPART_ARC
(15,8),-1.3035 # DEPENDENCYPART_ARC
(15,9),-2.05883 # DEPENDENCYPART_ARC
(15,10),-0.464418 # DEPENDENCYPART_ARC
(15,11),-1.98446 # DEPENDENCYPART_ARC
(15,12),-0.0106412 # DEPENDENCYPART_ARC
(15,13),-0.696995 # DEPENDENCYPART_ARC
(15,14),2.26819 # DEPENDENCYPART_ARC
(15,16),-0.473522 # DEPENDENCYPART_ARC
(15,17),-0.183901 # DEPENDENCYPART_ARC
(16,1),-1.86161 # DEPENDENCYPART_ARC
(16,2),-1.78318 # DEPENDENCYPART_ARC
(16,3),-1.41313 # DEPENDENCYPART_ARC
(16,4),-1.40872 # DEPENDENCYPART_ARC
(16,5),-1.67324 # DEPENDENCYPART_ARC
(16,6),-2.14546 # DEPENDENCYPART_ARC
(16,7),-0.540387 # DEPENDENCYPART_ARC
(16,8),-0.903878 # DEPENDENCYPART_ARC
(16,9),-1.21831 # DEPENDENCYPART_ARC
(16,10),-0.881329 # DEPENDENCYPART_ARC
(16,11),0.481812 # DEPENDENCYPART_ARC
(16,12),0.137561 # DEPENDENCYPART_ARC
(16,13),0.962139 # DEPENDENCYPART_ARC
(16,14),0.263696 # DEPENDENCYPART_ARC
(16,15),2.85161 # DEPENDENCYPART_ARC
(16,17),1.9794 # DEPENDENCYPART_ARC
(17,1),-1.82273 # DEPENDENCYPART_ARC
(17,2),-1.75344 # DEPENDENCYPART_ARC
(17,3),-1.56733 # DEPENDENCYPART_ARC
(17,4),-1.08592 # DEPENDENCYPART_ARC
(17,5),-1.53047 # DEPENDENCYPART_ARC
(17,6),-1.99249 # DEPENDENCYPART_ARC
(17,7),-1.20729 # DEPENDENCYPART_ARC
(17,8),-1.13257 # DEPENDENCYPART_ARC
(17,9),-1.06108 # DEPENDENCYPART_ARC
(17,10),-1.72536 # DEPENDENCYPART_ARC
(17,11),-1.1645 # DEPENDENCYPART_ARC
(17,12),-1.01299 # DEPENDENCYPART_ARC
(17,13),-0.825553 # DEPENDENCYPART_ARC
(17,14),-0.938437 # DEPENDENCYPART_ARC
(17,15),-0.705219 # DEPENDENCYPART_ARC
(17,16),0.0281179 # DEPENDENCYPART_ARC
