# _root_ ertzaintzaren_arabera , indar handiko suziri bat bota zioten , banketxearen eta goiko etxebizitza baten leihoak hautsiz .
#goldHeads=7,1,5,3,7,5,0,7,8,11,15,13,11,13,16,7,16,
#predictedHeads=7,3,7,3,7,5,0,7,8,11,13,11,15,13,16,7,16,
(12,10),-1.32852 # DEPENDENCYPART_ARC
(12,11),-0.999703 # DEPENDENCYPART_ARC
(12,13),-0.917918 # DEPENDENCYPART_ARC
(12,14),-1.68972 # DEPENDENCYPART_ARC
(12,15),-2.83159 # DEPENDENCYPART_ARC
(12,16),-3.51709 # DEPENDENCYPART_ARC
(12,17),-1.67141 # DEPENDENCYPART_ARC
(13,1),-1.76549 # DEPENDENCYPART_ARC
(13,2),-1.86162 # DEPENDENCYPART_ARC
(13,3),-0.959839 # DEPENDENCYPART_ARC
(13,4),-1.63381 # DEPENDENCYPART_ARC
(13,5),-1.00226 # DEPENDENCYPART_ARC
(13,6),-2.10437 # DEPENDENCYPART_ARC
(13,7),-0.940419 # DEPENDENCYPART_ARC
(13,8),-1.24378 # DEPENDENCYPART_ARC
(13,9),-1.34541 # DEPENDENCYPART_ARC
(13,10),-0.130404 # DEPENDENCYPART_ARC
(13,11),0.453062 # DEPENDENCYPART_ARC
(13,12),1.60906 # DEPENDENCYPART_ARC
(13,14),1.93628 # DEPENDENCYPART_ARC
(13,15),0.0636142 # DEPENDENCYPART_ARC
(13,16),-0.522065 # DEPENDENCYPART_ARC
(13,17),-0.742508 # DEPENDENCYPART_ARC
(14,2),-2.12423 # DEPENDENCYPART_ARC
(14,3),-2.49492 # DEPENDENCYPART_ARC
(14,5),-2.19645 # DEPENDENCYPART_ARC
(14,6),-1.81287 # DEPENDENCYPART_ARC
(14,7),-2.18891 # DEPENDENCYPART_ARC
(14,9),-1.71026 # DEPENDENCYPART_ARC
(14,10),-1.00535 # DEPENDENCYPART_ARC
(14,11),-0.636088 # DEPENDENCYPART_ARC
(14,12),-0.133338 # DEPENDENCYPART_ARC
(14,13),-0.485209 # DEPENDENCYPART_ARC
(14,15),0.919812 # DEPENDENCYPART_ARC
(14,16),-0.793883 # DEPENDENCYPART_ARC
(14,17),-0.298433 # DEPENDENCYPART_ARC
(15,1),-2.63452 # DEPENDENCYPART_ARC
(15,2),-1.71242 # DEPENDENCYPART_ARC
(15,3),-0.884436 # DEPENDENCYPART_ARC
(15,4),-1.58898 # DEPENDENCYPART_ARC
(15,5),-0.789676 # DEPENDENCYPART_ARC
(15,6),-3.27664 # DEPENDENCYPART_ARC
(15,7),-1.07525 # DEPENDENCYPART_ARC
(15,8),-1.91094 # DEPENDENCYPART_ARC
(15,9),-1.43696 # DEPENDENCYPART_ARC
(15,10),-0.110686 # DEPENDENCYPART_ARC
(15,11),-0.0207694 # DEPENDENCYPART_ARC
(15,12),0.51849 # DEPENDENCYPART_ARC
(15,13),1.09945 # DEPENDENCYPART_ARC
(15,14),0.331397 # DEPENDENCYPART_ARC
(15,16),-0.709037 # DEPENDENCYPART_ARC
(15,17),-0.371165 # DEPENDENCYPART_ARC
(16,1),-0.484059 # DEPENDENCYPART_ARC
(16,2),-2.03395 # DEPENDENCYPART_ARC
(16,3),-0.985544 # DEPENDENCYPART_ARC
(16,4),-2.07821 # DEPENDENCYPART_ARC
(16,5),-1.01156 # DEPENDENCYPART_ARC
(16,6),-1.01128 # DEPENDENCYPART_ARC
(16,7),-0.780151 # DEPENDENCYPART_ARC
(16,8),-1.23779 # DEPENDENCYPART_ARC
(16,9),-1.6074 # DEPENDENCYPART_ARC
(16,10),-1.60171 # DEPENDENCYPART_ARC
(16,11),0.338332 # DEPENDENCYPART_ARC
(16,12),-1.12581 # DEPENDENCYPART_ARC
(16,13),0.619893 # DEPENDENCYPART_ARC
(16,14),-0.48412 # DEPENDENCYPART_ARC
(16,15),2.6457 # DEPENDENCYPART_ARC
(16,17),2.23973 # DEPENDENCYPART_ARC
(17,2),-1.80606 # DEPENDENCYPART_ARC
(17,3),-1.85221 # DEPENDENCYPART_ARC
(17,5),-1.81802 # DEPENDENCYPART_ARC
(17,7),-1.83424 # DEPENDENCYPART_ARC
(17,9),-1.56031 # DEPENDENCYPART_ARC
(17,10),-1.58057 # DEPENDENCYPART_ARC
(17,11),-0.846843 # DEPENDENCYPART_ARC
(17,12),-1.34996 # DEPENDENCYPART_ARC
(17,13),-1.1789 # DEPENDENCYPART_ARC
(17,15),-0.760508 # DEPENDENCYPART_ARC
(17,16),-0.553363 # DEPENDENCYPART_ARC
