# _root_ bestalde , atzo jakinarazi zuenez , psoek uztailean eztabaidatuko duen ponentziari " adiziozko zuzenketa " aurkeztuko diote .
#goldHeads=0,3,4,16,4,5,9,9,11,9,16,11,14,16,14,0,16,17,
#predictedHeads=0,3,4,0,4,5,9,9,11,9,16,11,14,16,14,0,16,17,
(5,6),1.58326 # DEPENDENCYPART_ARC
(5,7),-2.31645 # DEPENDENCYPART_ARC
(5,8),-0.721605 # DEPENDENCYPART_ARC
(5,9),-1.61968 # DEPENDENCYPART_ARC
(5,10),-1.13938 # DEPENDENCYPART_ARC
(5,11),-2.18663 # DEPENDENCYPART_ARC
(5,12),-0.729213 # DEPENDENCYPART_ARC
(5,13),-2.29123 # DEPENDENCYPART_ARC
(5,14),-2.52902 # DEPENDENCYPART_ARC
(5,15),-1.00935 # DEPENDENCYPART_ARC
(5,16),-2.05507 # DEPENDENCYPART_ARC
(5,17),-1.29112 # DEPENDENCYPART_ARC
(5,18),-1.07097 # DEPENDENCYPART_ARC
(6,5),0.160603 # DEPENDENCYPART_ARC
(6,8),-1.53537 # DEPENDENCYPART_ARC
(6,9),-0.9813 # DEPENDENCYPART_ARC
(6,10),-1.20808 # DEPENDENCYPART_ARC
(6,11),-1.7765 # DEPENDENCYPART_ARC
(6,12),-0.744688 # DEPENDENCYPART_ARC
(6,13),-2.2343 # DEPENDENCYPART_ARC
(6,14),-1.92268 # DEPENDENCYPART_ARC
(6,15),-1.27746 # DEPENDENCYPART_ARC
(6,16),-1.91945 # DEPENDENCYPART_ARC
(6,17),-1.3719 # DEPENDENCYPART_ARC
(7,2),-1.80537 # DEPENDENCYPART_ARC
(7,3),-1.75334 # DEPENDENCYPART_ARC
(7,6),-0.329788 # DEPENDENCYPART_ARC
(7,8),-0.731659 # DEPENDENCYPART_ARC
(7,9),-1.97934 # DEPENDENCYPART_ARC
(7,11),-2.59529 # DEPENDENCYPART_ARC
(7,12),-0.992144 # DEPENDENCYPART_ARC
(7,13),-2.12672 # DEPENDENCYPART_ARC
(7,14),-2.28698 # DEPENDENCYPART_ARC
(7,15),-1.22669 # DEPENDENCYPART_ARC
(7,16),-2.59194 # DEPENDENCYPART_ARC
(7,18),-1.34076 # DEPENDENCYPART_ARC
(8,1),-1.40023 # DEPENDENCYPART_ARC
(8,2),-1.73691 # DEPENDENCYPART_ARC
(8,3),-1.49497 # DEPENDENCYPART_ARC
(8,4),-0.853737 # DEPENDENCYPART_ARC
(8,5),-1.54721 # DEPENDENCYPART_ARC
(8,6),-1.00628 # DEPENDENCYPART_ARC
(8,7),-0.845954 # DEPENDENCYPART_ARC
(8,9),-0.970397 # DEPENDENCYPART_ARC
(8,10),-2.12713 # DEPENDENCYPART_ARC
(8,11),-2.31038 # DEPENDENCYPART_ARC
(8,12),-0.684798 # DEPENDENCYPART_ARC
(8,13),-1.40224 # DEPENDENCYPART_ARC
(8,14),-2.57597 # DEPENDENCYPART_ARC
(8,15),-0.946892 # DEPENDENCYPART_ARC
(8,16),-2.32849 # DEPENDENCYPART_ARC
(8,17),-3.69557 # DEPENDENCYPART_ARC
(8,18),-1.24276 # DEPENDENCYPART_ARC
(9,1),-0.46393 # DEPENDENCYPART_ARC
(9,2),-1.46352 # DEPENDENCYPART_ARC
(9,3),-0.444519 # DEPENDENCYPART_ARC
(9,4),-0.175858 # DEPENDENCYPART_ARC
(9,5),-0.759123 # DEPENDENCYPART_ARC
(9,6),-0.877084 # DEPENDENCYPART_ARC
(9,7),1.89694 # DEPENDENCYPART_ARC
(9,8),2.26757 # DEPENDENCYPART_ARC
(9,10),2.38175 # DEPENDENCYPART_ARC
(9,11),1.09856 # DEPENDENCYPART_ARC
(9,12),-0.68352 # DEPENDENCYPART_ARC
(9,13),-1.37521 # DEPENDENCYPART_ARC
(9,14),0.21413 # DEPENDENCYPART_ARC
(9,15),-0.887234 # DEPENDENCYPART_ARC
(9,16),-0.97417 # DEPENDENCYPART_ARC
(9,17),-0.643803 # DEPENDENCYPART_ARC
(9,18),-1.50574 # DEPENDENCYPART_ARC
(10,1),-2.01347 # DEPENDENCYPART_ARC
(10,2),-1.79294 # DEPENDENCYPART_ARC
(10,3),-1.49974 # DEPENDENCYPART_ARC
(10,5),-1.53067 # DEPENDENCYPART_ARC
(10,6),-1.60259 # DEPENDENCYPART_ARC
(10,7),0.144289 # DEPENDENCYPART_ARC
(10,8),-1.04968 # DEPENDENCYPART_ARC
(10,9),-1.2057 # DEPENDENCYPART_ARC
(10,11),-0.760923 # DEPENDENCYPART_ARC
(10,12),-0.349803 # DEPENDENCYPART_ARC
(10,13),-1.94959 # DEPENDENCYPART_ARC
(10,14),-2.05831 # DEPENDENCYPART_ARC
(10,15),-1.02394 # DEPENDENCYPART_ARC
(10,16),-2.10762 # DEPENDENCYPART_ARC
(10,17),-1.81487 # DEPENDENCYPART_ARC
(10,18),-1.11533 # DEPENDENCYPART_ARC
(11,1),-1.06507 # DEPENDENCYPART_ARC
(11,2),-1.3519 # DEPENDENCYPART_ARC
(11,3),-1.11915 # DEPENDENCYPART_ARC
(11,4),-1.1028 # DEPENDENCYPART_ARC
(11,5),-1.42244 # DEPENDENCYPART_ARC
(11,6),-1.11302 # DEPENDENCYPART_ARC
(11,7),-1.42269 # DEPENDENCYPART_ARC
(11,8),-1.54415 # DEPENDENCYPART_ARC
(11,9),0.926274 # DEPENDENCYPART_ARC
(11,10),-0.185164 # DEPENDENCYPART_ARC
(11,12),1.85248 # DEPENDENCYPART_ARC
(11,13),-0.245283 # DEPENDENCYPART_ARC
(11,14),-0.71255 # DEPENDENCYPART_ARC
(11,15),0.17766 # DEPENDENCYPART_ARC
(11,16),-1.14265 # DEPENDENCYPART_ARC
(11,17),-2.3246 # DEPENDENCYPART_ARC
(11,18),-0.431492 # DEPENDENCYPART_ARC
(12,1),-1.67439 # DEPENDENCYPART_ARC
(12,2),-1.74671 # DEPENDENCYPART_ARC
(12,5),-1.40387 # DEPENDENCYPART_ARC
(12,6),-1.69865 # DEPENDENCYPART_ARC
(12,7),-1.34126 # DEPENDENCYPART_ARC
(12,8),-1.35558 # DEPENDENCYPART_ARC
(12,9),-1.05631 # DEPENDENCYPART_ARC
(12,10),-1.22302 # DEPENDENCYPART_ARC
(12,11),-0.658253 # DEPENDENCYPART_ARC
(12,13),-0.775562 # DEPENDENCYPART_ARC
(12,14),-1.19619 # DEPENDENCYPART_ARC
(12,15),-0.290991 # DEPENDENCYPART_ARC
(12,16),-1.51383 # DEPENDENCYPART_ARC
(12,17),-1.11676 # DEPENDENCYPART_ARC
(12,18),-0.791652 # DEPENDENCYPART_ARC
(13,1),-1.59972 # DEPENDENCYPART_ARC
(13,2),-1.86894 # DEPENDENCYPART_ARC
(13,3),-1.74202 # DEPENDENCYPART_ARC
(13,4),-3.00985 # DEPENDENCYPART_ARC
(13,5),-1.85921 # DEPENDENCYPART_ARC
(13,6),-1.58307 # DEPENDENCYPART_ARC
(13,7),-3.30234 # DEPENDENCYPART_ARC
(13,8),-3.29494 # DEPENDENCYPART_ARC
(13,9),-1.54892 # DEPENDENCYPART_ARC
(13,10),-1.64085 # DEPENDENCYPART_ARC
(13,11),-1.88636 # DEPENDENCYPART_ARC
(13,12),-0.0304358 # DEPENDENCYPART_ARC
(13,14),0.445696 # DEPENDENCYPART_ARC
(13,15),0.0484807 # DEPENDENCYPART_ARC
(13,16),-1.49866 # DEPENDENCYPART_ARC
(13,17),-1.61062 # DEPENDENCYPART_ARC
(13,18),-1.00411 # DEPENDENCYPART_ARC
(14,1),-1.94405 # DEPENDENCYPART_ARC
(14,2),-2.18495 # DEPENDENCYPART_ARC
(14,3),-1.78679 # DEPENDENCYPART_ARC
(14,4),-1.7438 # DEPENDENCYPART_ARC
(14,5),-2.28422 # DEPENDENCYPART_ARC
(14,6),-1.95786 # DEPENDENCYPART_ARC
(14,7),-2.5361 # DEPENDENCYPART_ARC
(14,8),-2.64613 # DEPENDENCYPART_ARC
(14,9),-0.848612 # DEPENDENCYPART_ARC
(14,10),-2.22389 # DEPENDENCYPART_ARC
(14,11),-2.04329 # DEPENDENCYPART_ARC
(14,12),-1.21262 # DEPENDENCYPART_ARC
(14,13),1.35677 # DEPENDENCYPART_ARC
(14,15),2.05271 # DEPENDENCYPART_ARC
(14,16),-0.761736 # DEPENDENCYPART_ARC
(14,17),-2.1988 # DEPENDENCYPART_ARC
(14,18),-0.419237 # DEPENDENCYPART_ARC
(15,1),-1.55227 # DEPENDENCYPART_ARC
(15,2),-1.67988 # DEPENDENCYPART_ARC
(15,5),-1.38828 # DEPENDENCYPART_ARC
(15,6),-1.73654 # DEPENDENCYPART_ARC
(15,7),-1.19284 # DEPENDENCYPART_ARC
(15,8),-1.28333 # DEPENDENCYPART_ARC
(15,9),-1.2557 # DEPENDENCYPART_ARC
(15,10),-1.34793 # DEPENDENCYPART_ARC
(15,11),-1.38809 # DEPENDENCYPART_ARC
(15,12),-1.18954 # DEPENDENCYPART_ARC
(15,13),-0.928319 # DEPENDENCYPART_ARC
(15,14),-0.65188 # DEPENDENCYPART_ARC
(15,16),-0.761805 # DEPENDENCYPART_ARC
(15,17),-0.52075 # DEPENDENCYPART_ARC
(15,18),-0.217319 # DEPENDENCYPART_ARC
(16,1),-0.437367 # DEPENDENCYPART_ARC
(16,2),-1.37908 # DEPENDENCYPART_ARC
(16,3),-1.11676 # DEPENDENCYPART_ARC
(16,4),-0.198286 # DEPENDENCYPART_ARC
(16,5),-1.05987 # DEPENDENCYPART_ARC
(16,6),-0.898513 # DEPENDENCYPART_ARC
(16,7),0.308626 # DEPENDENCYPART_ARC
(16,8),-0.139418 # DEPENDENCYPART_ARC
(16,9),0.0592689 # DEPENDENCYPART_ARC
(16,10),-0.685874 # DEPENDENCYPART_ARC
(16,11),0.667626 # DEPENDENCYPART_ARC
(16,12),-0.820907 # DEPENDENCYPART_ARC
(16,13),-0.053817 # DEPENDENCYPART_ARC
(16,14),1.71508 # DEPENDENCYPART_ARC
(16,15),0.0336849 # DEPENDENCYPART_ARC
(16,17),2.38457 # DEPENDENCYPART_ARC
(16,18),-0.0461244 # DEPENDENCYPART_ARC
(17,1),-2.18837 # DEPENDENCYPART_ARC
(17,2),-2.07896 # DEPENDENCYPART_ARC
(17,3),-1.6489 # DEPENDENCYPART_ARC
(17,5),-1.57747 # DEPENDENCYPART_ARC
(17,6),-2.07089 # DEPENDENCYPART_ARC
(17,7),-1.4668 # DEPENDENCYPART_ARC
(17,8),-2.09559 # DEPENDENCYPART_ARC
(17,9),-2.81121 # DEPENDENCYPART_ARC
(17,10),-1.50458 # DEPENDENCYPART_ARC
(17,11),-1.47719 # DEPENDENCYPART_ARC
(17,12),-1.75723 # DEPENDENCYPART_ARC
(17,13),-1.1542 # DEPENDENCYPART_ARC
(17,14),-0.315271 # DEPENDENCYPART_ARC
(17,15),-1.32726 # DEPENDENCYPART_ARC
(17,16),-1.53497 # DEPENDENCYPART_ARC
(17,18),1.69346 # DEPENDENCYPART_ARC
(18,2),-1.57134 # DEPENDENCYPART_ARC
(18,6),-1.6008 # DEPENDENCYPART_ARC
(18,7),-1.45218 # DEPENDENCYPART_ARC
(18,8),-1.1517 # DEPENDENCYPART_ARC
(18,9),-1.81244 # DEPENDENCYPART_ARC
(18,11),-1.61205 # DEPENDENCYPART_ARC
(18,12),-1.39406 # DEPENDENCYPART_ARC
(18,13),-1.07085 # DEPENDENCYPART_ARC
(18,14),-1.08389 # DEPENDENCYPART_ARC
(18,15),-1.06581 # DEPENDENCYPART_ARC
(18,16),-0.881285 # DEPENDENCYPART_ARC
