# _root_ berdin egiten dute elefante eta zaldi gidariek , zeintzuek praktikaz hezitzen dituzte abere hoiek , hezitzeko zientziatik ezertxo_ere jakin gabe .
#goldHeads=2,0,2,5,7,5,2,7,11,11,7,11,11,13,14,17,19,19,11,19,20,
#predictedHeads=2,4,2,5,7,7,11,7,10,11,0,11,11,13,14,17,19,19,11,19,20,
(7,17),-2.76762 # DEPENDENCYPART_ARC
(7,18),-1.40744 # DEPENDENCYPART_ARC
(7,19),-2.24226 # DEPENDENCYPART_ARC
(7,20),-1.2305 # DEPENDENCYPART_ARC
(7,21),-1.30192 # DEPENDENCYPART_ARC
(8,1),-1.15005 # DEPENDENCYPART_ARC
(8,2),-0.490112 # DEPENDENCYPART_ARC
(8,3),-0.879065 # DEPENDENCYPART_ARC
(8,4),-0.644749 # DEPENDENCYPART_ARC
(8,5),-0.268004 # DEPENDENCYPART_ARC
(8,6),-0.349946 # DEPENDENCYPART_ARC
(8,7),0.0552742 # DEPENDENCYPART_ARC
(8,9),-0.391174 # DEPENDENCYPART_ARC
(8,10),-0.481377 # DEPENDENCYPART_ARC
(8,11),-0.396469 # DEPENDENCYPART_ARC
(8,12),-0.625396 # DEPENDENCYPART_ARC
(8,13),-1.01074 # DEPENDENCYPART_ARC
(8,14),-1.30832 # DEPENDENCYPART_ARC
(8,15),-0.682933 # DEPENDENCYPART_ARC
(8,16),-1.1564 # DEPENDENCYPART_ARC
(8,17),-1.17451 # DEPENDENCYPART_ARC
(8,18),-1.27443 # DEPENDENCYPART_ARC
(8,19),-1.2503 # DEPENDENCYPART_ARC
(8,20),-1.52221 # DEPENDENCYPART_ARC
(8,21),-1.20225 # DEPENDENCYPART_ARC
(9,1),-1.74714 # DEPENDENCYPART_ARC
(9,2),-1.42247 # DEPENDENCYPART_ARC
(9,3),-1.76332 # DEPENDENCYPART_ARC
(9,4),-1.18445 # DEPENDENCYPART_ARC
(9,5),-0.190044 # DEPENDENCYPART_ARC
(9,6),-1.00584 # DEPENDENCYPART_ARC
(9,7),-0.815746 # DEPENDENCYPART_ARC
(9,8),0.120515 # DEPENDENCYPART_ARC
(9,10),-0.118677 # DEPENDENCYPART_ARC
(9,11),-1.56694 # DEPENDENCYPART_ARC
(9,12),-1.82615 # DEPENDENCYPART_ARC
(9,13),-1.9524 # DEPENDENCYPART_ARC
(9,14),-1.62324 # DEPENDENCYPART_ARC
(9,15),-0.626119 # DEPENDENCYPART_ARC
(9,16),-1.29792 # DEPENDENCYPART_ARC
(9,17),-1.31291 # DEPENDENCYPART_ARC
(9,18),-1.34208 # DEPENDENCYPART_ARC
(9,19),-1.69053 # DEPENDENCYPART_ARC
(9,20),-1.22206 # DEPENDENCYPART_ARC
(9,21),-1.29489 # DEPENDENCYPART_ARC
(10,1),-2.28079 # DEPENDENCYPART_ARC
(10,2),-1.02281 # DEPENDENCYPART_ARC
(10,3),-1.89751 # DEPENDENCYPART_ARC
(10,4),-1.23734 # DEPENDENCYPART_ARC
(10,5),-0.441532 # DEPENDENCYPART_ARC
(10,6),-0.633695 # DEPENDENCYPART_ARC
(10,7),-1.57652 # DEPENDENCYPART_ARC
(10,8),-0.68969 # DEPENDENCYPART_ARC
(10,9),1.70693 # DEPENDENCYPART_ARC
(10,11),-0.809944 # DEPENDENCYPART_ARC
(10,12),-1.29881 # DEPENDENCYPART_ARC
(10,13),-0.842964 # DEPENDENCYPART_ARC
(10,14),-1.44537 # DEPENDENCYPART_ARC
(10,15),-0.859436 # DEPENDENCYPART_ARC
(10,16),-1.79821 # DEPENDENCYPART_ARC
(10,17),-1.63823 # DEPENDENCYPART_ARC
(10,18),-1.15612 # DEPENDENCYPART_ARC
(10,19),-1.64241 # DEPENDENCYPART_ARC
(10,20),-0.542176 # DEPENDENCYPART_ARC
(10,21),-0.881903 # DEPENDENCYPART_ARC
(11,1),-0.356708 # DEPENDENCYPART_ARC
(11,2),-0.122543 # DEPENDENCYPART_ARC
(11,3),-0.329132 # DEPENDENCYPART_ARC
(11,4),-0.739178 # DEPENDENCYPART_ARC
(11,5),0.302457 # DEPENDENCYPART_ARC
(11,6),-0.159429 # DEPENDENCYPART_ARC
(11,7),1.3832 # DEPENDENCYPART_ARC
(11,8),-0.790989 # DEPENDENCYPART_ARC
(11,9),1.57442 # DEPENDENCYPART_ARC
(11,10),2.3152 # DEPENDENCYPART_ARC
(11,12),2.05047 # DEPENDENCYPART_ARC
(11,13),0.270146 # DEPENDENCYPART_ARC
(11,14),-0.230471 # DEPENDENCYPART_ARC
(11,15),-0.230159 # DEPENDENCYPART_ARC
(11,16),-0.0671523 # DEPENDENCYPART_ARC
(11,17),0.00628008 # DEPENDENCYPART_ARC
(11,18),0.157704 # DEPENDENCYPART_ARC
(11,19),0.319143 # DEPENDENCYPART_ARC
(11,20),-0.126438 # DEPENDENCYPART_ARC
(11,21),-0.412356 # DEPENDENCYPART_ARC
(12,1),-1.64217 # DEPENDENCYPART_ARC
(12,2),-1.38955 # DEPENDENCYPART_ARC
(12,3),-1.25559 # DEPENDENCYPART_ARC
(12,4),-1.18826 # DEPENDENCYPART_ARC
(12,5),-1.44482 # DEPENDENCYPART_ARC
(12,6),-1.08307 # DEPENDENCYPART_ARC
(12,7),-0.641948 # DEPENDENCYPART_ARC
(12,8),-1.36775 # DEPENDENCYPART_ARC
(12,9),-0.945519 # DEPENDENCYPART_ARC
(12,10),0.113339 # DEPENDENCYPART_ARC
(12,11),-0.349186 # DEPENDENCYPART_ARC
(12,13),-0.858794 # DEPENDENCYPART_ARC
(12,14),-1.71111 # DEPENDENCYPART_ARC
(12,15),-0.9608 # DEPENDENCYPART_ARC
(12,16),-1.3983 # DEPENDENCYPART_ARC
(12,17),-2.40837 # DEPENDENCYPART_ARC
(12,18),-1.94092 # DEPENDENCYPART_ARC
(12,19),-1.65526 # DEPENDENCYPART_ARC
(12,20),-1.17601 # DEPENDENCYPART_ARC
(12,21),-1.4407 # DEPENDENCYPART_ARC
(13,1),-2.19529 # DEPENDENCYPART_ARC
(13,2),-0.99025 # DEPENDENCYPART_ARC
(13,3),-1.65036 # DEPENDENCYPART_ARC
(13,4),-1.60139 # DEPENDENCYPART_ARC
(13,5),-0.558209 # DEPENDENCYPART_ARC
(13,6),-1.22609 # DEPENDENCYPART_ARC
(13,7),-1.8526 # DEPENDENCYPART_ARC
(13,8),-1.51118 # DEPENDENCYPART_ARC
(13,9),-1.25225 # DEPENDENCYPART_ARC
(13,10),-0.54491 # DEPENDENCYPART_ARC
(13,11),1.01002 # DEPENDENCYPART_ARC
(13,12),0.0042063 # DEPENDENCYPART_ARC
(13,14),1.71425 # DEPENDENCYPART_ARC
(13,15),-0.00359677 # DEPENDENCYPART_ARC
(13,16),-0.536816 # DEPENDENCYPART_ARC
(13,17),-0.735436 # DEPENDENCYPART_ARC
(13,18),-0.837538 # DEPENDENCYPART_ARC
(13,19),-0.857018 # DEPENDENCYPART_ARC
(13,20),-0.342548 # DEPENDENCYPART_ARC
(13,21),-0.839302 # DEPENDENCYPART_ARC
(14,1),-1.87972 # DEPENDENCYPART_ARC
(14,2),-1.19139 # DEPENDENCYPART_ARC
(14,3),-2.08369 # DEPENDENCYPART_ARC
(14,4),-1.94436 # DEPENDENCYPART_ARC
(14,5),-0.939599 # DEPENDENCYPART_ARC
(14,6),-1.68635 # DEPENDENCYPART_ARC
(14,7),-2.55188 # DEPENDENCYPART_ARC
(14,8),-1.30815 # DEPENDENCYPART_ARC
(14,9),-1.12265 # DEPENDENCYPART_ARC
(14,10),-1.27458 # DEPENDENCYPART_ARC
(14,11),-0.311812 # DEPENDENCYPART_ARC
(14,12),-1.30481 # DEPENDENCYPART_ARC
(14,13),-0.161574 # DEPENDENCYPART_ARC
(14,15),1.39034 # DEPENDENCYPART_ARC
(14,16),-0.717934 # DEPENDENCYPART_ARC
(14,17),-0.422265 # DEPENDENCYPART_ARC
(14,18),-1.09363 # DEPENDENCYPART_ARC
(14,19),-1.19655 # DEPENDENCYPART_ARC
(14,20),-1.06443 # DEPENDENCYPART_ARC
(14,21),-0.733513 # DEPENDENCYPART_ARC
(15,1),-1.47458 # DEPENDENCYPART_ARC
(15,2),-0.998276 # DEPENDENCYPART_ARC
(15,3),-1.2171 # DEPENDENCYPART_ARC
(15,4),-1.11398 # DEPENDENCYPART_ARC
(15,5),-0.708472 # DEPENDENCYPART_ARC
(15,6),-0.957922 # DEPENDENCYPART_ARC
(15,7),-1.07446 # DEPENDENCYPART_ARC
(15,8),-1.35118 # DEPENDENCYPART_ARC
(15,9),-1.52186 # DEPENDENCYPART_ARC
(15,10),-0.704249 # DEPENDENCYPART_ARC
(15,11),-0.44593 # DEPENDENCYPART_ARC
(15,12),-0.537974 # DEPENDENCYPART_ARC
(15,13),-0.447423 # DEPENDENCYPART_ARC
(15,14),-0.516322 # DEPENDENCYPART_ARC
(15,16),-0.118049 # DEPENDENCYPART_ARC
(15,17),-1.09143 # DEPENDENCYPART_ARC
(15,18),-1.03798 # DEPENDENCYPART_ARC
(15,19),-0.938038 # DEPENDENCYPART_ARC
(15,20),-1.44529 # DEPENDENCYPART_ARC
(15,21),-0.525144 # DEPENDENCYPART_ARC
(16,1),-1.09569 # DEPENDENCYPART_ARC
(16,2),-0.816083 # DEPENDENCYPART_ARC
(16,3),-1.61485 # DEPENDENCYPART_ARC
(16,4),-1.6067 # DEPENDENCYPART_ARC
(16,5),-0.520172 # DEPENDENCYPART_ARC
(16,6),-1.13513 # DEPENDENCYPART_ARC
(16,7),-1.19858 # DEPENDENCYPART_ARC
(16,8),-1.436 # DEPENDENCYPART_ARC
(16,9),0.102256 # DEPENDENCYPART_ARC
(16,10),-0.0651878 # DEPENDENCYPART_ARC
(16,11),-1.07004 # DEPENDENCYPART_ARC
(16,12),-0.843267 # DEPENDENCYPART_ARC
(16,13),0.270022 # DEPENDENCYPART_ARC
(16,14),0.0858945 # DEPENDENCYPART_ARC
(16,15),-0.247742 # DEPENDENCYPART_ARC
(16,17),-0.631531 # DEPENDENCYPART_ARC
(16,18),-0.619917 # DEPENDENCYPART_ARC
(16,19),-0.727707 # DEPENDENCYPART_ARC
(16,20),-0.853451 # DEPENDENCYPART_ARC
(16,21),-1.11743 # DEPENDENCYPART_ARC
(17,1),-2.97219 # DEPENDENCYPART_ARC
(17,2),-2.07555 # DEPENDENCYPART_ARC
(17,3),-2.60815 # DEPENDENCYPART_ARC
(17,4),-1.56422 # DEPENDENCYPART_ARC
(17,5),-1.14299 # DEPENDENCYPART_ARC
(17,6),-1.67371 # DEPENDENCYPART_ARC
(17,7),-3.62514 # DEPENDENCYPART_ARC
(17,8),-1.73537 # DEPENDENCYPART_ARC
(17,9),-2.82724 # DEPENDENCYPART_ARC
(17,10),-3.0223 # DEPENDENCYPART_ARC
(17,11),-1.48467 # DEPENDENCYPART_ARC
(17,12),-2.07915 # DEPENDENCYPART_ARC
(17,13),-0.410829 # DEPENDENCYPART_ARC
(17,14),-2.79444 # DEPENDENCYPART_ARC
(17,15),-0.711334 # DEPENDENCYPART_ARC
(17,16),2.05959 # DEPENDENCYPART_ARC
(17,18),0.0248296 # DEPENDENCYPART_ARC
(17,19),-1.19693 # DEPENDENCYPART_ARC
(17,20),-0.512979 # DEPENDENCYPART_ARC
(17,21),-0.829854 # DEPENDENCYPART_ARC
(18,1),-1.3905 # DEPENDENCYPART_ARC
(18,2),-0.67805 # DEPENDENCYPART_ARC
(18,3),-1.32513 # DEPENDENCYPART_ARC
(18,4),-1.09686 # DEPENDENCYPART_ARC
(18,5),-1.33607 # DEPENDENCYPART_ARC
(18,6),-1.15453 # DEPENDENCYPART_ARC
(18,7),-1.41533 # DEPENDENCYPART_ARC
(18,8),-1.11484 # DEPENDENCYPART_ARC
(18,9),-1.04593 # DEPENDENCYPART_ARC
(18,10),-0.98744 # DEPENDENCYPART_ARC
(18,11),-0.404371 # DEPENDENCYPART_ARC
(18,12),-0.972536 # DEPENDENCYPART_ARC
(18,13),-0.760136 # DEPENDENCYPART_ARC
(18,14),-1.0468 # DEPENDENCYPART_ARC
(18,15),-0.616196 # DEPENDENCYPART_ARC
(18,16),0.206331 # DEPENDENCYPART_ARC
(18,17),-0.072207 # DEPENDENCYPART_ARC
(18,19),0.148047 # DEPENDENCYPART_ARC
(18,20),-0.520971 # DEPENDENCYPART_ARC
(18,21),-0.368448 # DEPENDENCYPART_ARC
(19,1),-1.19755 # DEPENDENCYPART_ARC
(19,2),-0.590093 # DEPENDENCYPART_ARC
(19,3),-1.53055 # DEPENDENCYPART_ARC
(19,4),-1.86025 # DEPENDENCYPART_ARC
(19,5),-0.455247 # DEPENDENCYPART_ARC
(19,6),-1.32279 # DEPENDENCYPART_ARC
(19,7),-1.0857 # DEPENDENCYPART_ARC
(19,8),-1.83031 # DEPENDENCYPART_ARC
(19,9),-0.313373 # DEPENDENCYPART_ARC
(19,10),-0.907188 # DEPENDENCYPART_ARC
(19,11),-0.89377 # DEPENDENCYPART_ARC
(19,12),-0.998433 # DEPENDENCYPART_ARC
(19,13),-0.450226 # DEPENDENCYPART_ARC
(19,14),-0.821028 # DEPENDENCYPART_ARC
(19,15),-1.26 # DEPENDENCYPART_ARC
(19,16),-0.333624 # DEPENDENCYPART_ARC
(19,17),1.14364 # DEPENDENCYPART_ARC
(19,18),2.11861 # DEPENDENCYPART_ARC
(19,20),2.30632 # DEPENDENCYPART_ARC
(19,21),0.472261 # DEPENDENCYPART_ARC
(20,1),-2.36097 # DEPENDENCYPART_ARC
(20,2),-1.93204 # DEPENDENCYPART_ARC
(20,3),-1.9552 # DEPENDENCYPART_ARC
(20,4),-1.64469 # DEPENDENCYPART_ARC
(20,5),-1.05663 # DEPENDENCYPART_ARC
(20,6),-1.66467 # DEPENDENCYPART_ARC
(20,7),-1.61731 # DEPENDENCYPART_ARC
(20,8),-2.05194 # DEPENDENCYPART_ARC
(20,9),-1.90519 # DEPENDENCYPART_ARC
(20,10),-1.65048 # DEPENDENCYPART_ARC
(20,11),-1.85424 # DEPENDENCYPART_ARC
(20,12),-1.66241 # DEPENDENCYPART_ARC
(20,13),-1.48487 # DEPENDENCYPART_ARC
(20,14),-1.58573 # DEPENDENCYPART_ARC
(20,15),-1.64525 # DEPENDENCYPART_ARC
(20,16),-1.60174 # DEPENDENCYPART_ARC
(20,17),-1.23898 # DEPENDENCYPART_ARC
(20,18),-1.02501 # DEPENDENCYPART_ARC
(20,19),-0.5857 # DEPENDENCYPART_ARC
(20,21),1.90514 # DEPENDENCYPART_ARC
(21,1),-2.12125 # DEPENDENCYPART_ARC
(21,2),-2.14606 # DEPENDENCYPART_ARC
(21,3),-1.69973 # DEPENDENCYPART_ARC
(21,4),-1.87707 # DEPENDENCYPART_ARC
(21,5),-1.25066 # DEPENDENCYPART_ARC
(21,6),-1.69707 # DEPENDENCYPART_ARC
(21,7),-1.86378 # DEPENDENCYPART_ARC
(21,8),-1.76022 # DEPENDENCYPART_ARC
(21,9),-2.24387 # DEPENDENCYPART_ARC
(21,10),-1.51972 # DEPENDENCYPART_ARC
(21,11),-1.83954 # DEPENDENCYPART_ARC
(21,12),-1.47994 # DEPENDENCYPART_ARC
(21,13),-1.52553 # DEPENDENCYPART_ARC
(21,14),-2.02707 # DEPENDENCYPART_ARC
(21,15),-1.58374 # DEPENDENCYPART_ARC
(21,16),-1.49027 # DEPENDENCYPART_ARC
(21,17),-1.15864 # DEPENDENCYPART_ARC
(21,18),-1.25015 # DEPENDENCYPART_ARC
(21,19),-0.958913 # DEPENDENCYPART_ARC
(21,20),-0.851622 # DEPENDENCYPART_ARC
