# _root_ bigarrenik , polimerizazio edo oxigeno zein nitrogenozko zubi baten bidezko bi molekula organikoren konbinazioa , eta alderantzizko prozesu edo hidrolisia .
#goldHeads=0,1,4,14,6,8,6,4,8,9,12,14,12,16,14,0,18,19,16,19,20,
#predictedHeads=4,1,4,8,6,8,6,12,8,9,12,14,12,16,14,0,18,19,4,19,20,
(1,20),-1.65367 # DEPENDENCYPART_ARC
(1,21),-1.97899 # DEPENDENCYPART_ARC
(2,1),-0.541622 # DEPENDENCYPART_ARC
(2,3),-0.630027 # DEPENDENCYPART_ARC
(2,4),-1.098 # DEPENDENCYPART_ARC
(2,5),-1.11589 # DEPENDENCYPART_ARC
(2,6),-1.10625 # DEPENDENCYPART_ARC
(2,7),-1.38486 # DEPENDENCYPART_ARC
(2,8),-1.59876 # DEPENDENCYPART_ARC
(2,9),-1.26734 # DEPENDENCYPART_ARC
(2,10),-1.63185 # DEPENDENCYPART_ARC
(2,11),-1.26808 # DEPENDENCYPART_ARC
(2,12),-1.70358 # DEPENDENCYPART_ARC
(2,13),-1.21649 # DEPENDENCYPART_ARC
(2,14),-1.6334 # DEPENDENCYPART_ARC
(2,15),-1.73006 # DEPENDENCYPART_ARC
(2,16),-2.11214 # DEPENDENCYPART_ARC
(2,17),-1.21816 # DEPENDENCYPART_ARC
(2,18),-1.88582 # DEPENDENCYPART_ARC
(2,19),-1.77378 # DEPENDENCYPART_ARC
(2,20),-1.91557 # DEPENDENCYPART_ARC
(2,21),-1.84751 # DEPENDENCYPART_ARC
(3,1),-0.326744 # DEPENDENCYPART_ARC
(3,2),-0.186993 # DEPENDENCYPART_ARC
(3,4),0.330392 # DEPENDENCYPART_ARC
(3,5),-0.254009 # DEPENDENCYPART_ARC
(3,6),-0.919117 # DEPENDENCYPART_ARC
(3,7),-0.870452 # DEPENDENCYPART_ARC
(3,8),-0.906156 # DEPENDENCYPART_ARC
(3,9),-0.459314 # DEPENDENCYPART_ARC
(3,10),-1.40093 # DEPENDENCYPART_ARC
(3,11),-1.07009 # DEPENDENCYPART_ARC
(3,12),-1.74982 # DEPENDENCYPART_ARC
(3,13),-1.49876 # DEPENDENCYPART_ARC
(3,14),-1.48048 # DEPENDENCYPART_ARC
(3,15),-1.1037 # DEPENDENCYPART_ARC
(3,16),-1.30087 # DEPENDENCYPART_ARC
(3,17),-2.1386 # DEPENDENCYPART_ARC
(3,18),-1.4765 # DEPENDENCYPART_ARC
(3,19),-1.60666 # DEPENDENCYPART_ARC
(3,20),-1.59931 # DEPENDENCYPART_ARC
(3,21),-0.678668 # DEPENDENCYPART_ARC
(4,1),-0.270229 # DEPENDENCYPART_ARC
(4,2),-0.65643 # DEPENDENCYPART_ARC
(4,3),2.98847 # DEPENDENCYPART_ARC
(4,5),1.94594 # DEPENDENCYPART_ARC
(4,6),0.308054 # DEPENDENCYPART_ARC
(4,7),0.935592 # DEPENDENCYPART_ARC
(4,8),0.045087 # DEPENDENCYPART_ARC
(4,9),-0.152426 # DEPENDENCYPART_ARC
(4,10),0.30613 # DEPENDENCYPART_ARC
(4,11),-0.163827 # DEPENDENCYPART_ARC
(4,12),-0.235527 # DEPENDENCYPART_ARC
(4,13),-0.532437 # DEPENDENCYPART_ARC
(4,14),0.380339 # DEPENDENCYPART_ARC
(4,15),-0.96566 # DEPENDENCYPART_ARC
(4,16),-1.10245 # DEPENDENCYPART_ARC
(4,17),-0.80362 # DEPENDENCYPART_ARC
(4,18),-0.875227 # DEPENDENCYPART_ARC
(4,19),-0.228297 # DEPENDENCYPART_ARC
(4,20),-0.0978551 # DEPENDENCYPART_ARC
(4,21),-1.28266 # DEPENDENCYPART_ARC
(5,1),-1.58629 # DEPENDENCYPART_ARC
(5,2),-1.5677 # DEPENDENCYPART_ARC
(5,3),-0.358128 # DEPENDENCYPART_ARC
(5,4),-0.257662 # DEPENDENCYPART_ARC
(5,6),0.255399 # DEPENDENCYPART_ARC
(5,7),0.128445 # DEPENDENCYPART_ARC
(5,8),-0.812226 # DEPENDENCYPART_ARC
(5,9),-0.317572 # DEPENDENCYPART_ARC
(5,10),-0.622231 # DEPENDENCYPART_ARC
(5,11),-1.55564 # DEPENDENCYPART_ARC
(5,12),-1.72271 # DEPENDENCYPART_ARC
(5,13),-1.39075 # DEPENDENCYPART_ARC
(5,14),-1.48614 # DEPENDENCYPART_ARC
(5,15),-1.17942 # DEPENDENCYPART_ARC
(5,16),-1.0622 # DEPENDENCYPART_ARC
(5,17),-2.40691 # DEPENDENCYPART_ARC
(5,18),-1.87124 # DEPENDENCYPART_ARC
(5,19),-1.50511 # DEPENDENCYPART_ARC
(5,20),-1.63779 # DEPENDENCYPART_ARC
(5,21),-0.929867 # DEPENDENCYPART_ARC
(6,1),-1.14353 # DEPENDENCYPART_ARC
(6,2),-1.31013 # DEPENDENCYPART_ARC
(6,3),0.971544 # DEPENDENCYPART_ARC
(6,4),-0.541747 # DEPENDENCYPART_ARC
(6,5),2.07305 # DEPENDENCYPART_ARC
(6,7),2.30454 # DEPENDENCYPART_ARC
(6,8),0.223434 # DEPENDENCYPART_ARC
(6,9),-0.259175 # DEPENDENCYPART_ARC
(6,10),0.386442 # DEPENDENCYPART_ARC
(6,11),-0.230829 # DEPENDENCYPART_ARC
(6,12),-0.138228 # DEPENDENCYPART_ARC
(6,13),-0.806403 # DEPENDENCYPART_ARC
(6,14),0.447353 # DEPENDENCYPART_ARC
(6,15),-0.799076 # DEPENDENCYPART_ARC
(6,16),-0.873031 # DEPENDENCYPART_ARC
(6,17),-0.948796 # DEPENDENCYPART_ARC
(6,18),-0.586747 # DEPENDENCYPART_ARC
(6,19),-0.822314 # DEPENDENCYPART_ARC
(6,20),0.232974 # DEPENDENCYPART_ARC
(6,21),-1.17367 # DEPENDENCYPART_ARC
(7,1),-2.20353 # DEPENDENCYPART_ARC
(7,2),-2.0337 # DEPENDENCYPART_ARC
(7,3),-1.33774 # DEPENDENCYPART_ARC
(7,4),-1.24961 # DEPENDENCYPART_ARC
(7,5),-0.403512 # DEPENDENCYPART_ARC
(7,6),-0.360438 # DEPENDENCYPART_ARC
(7,8),-0.673693 # DEPENDENCYPART_ARC
(7,9),-1.16285 # DEPENDENCYPART_ARC
(7,10),-1.55329 # DEPENDENCYPART_ARC
(7,11),-3.10001 # DEPENDENCYPART_ARC
(7,12),-2.8113 # DEPENDENCYPART_ARC
(7,13),-3.3432 # DEPENDENCYPART_ARC
(7,14),-3.13493 # DEPENDENCYPART_ARC
(7,15),-1.59306 # DEPENDENCYPART_ARC
(7,16),-1.7986 # DEPENDENCYPART_ARC
(7,17),-3.91171 # DEPENDENCYPART_ARC
(7,18),-2.81783 # DEPENDENCYPART_ARC
(7,19),-2.07574 # DEPENDENCYPART_ARC
(7,20),-3.56788 # DEPENDENCYPART_ARC
(7,21),-1.33673 # DEPENDENCYPART_ARC
(8,1),-1.00703 # DEPENDENCYPART_ARC
(8,2),-1.40044 # DEPENDENCYPART_ARC
(8,3),-0.435712 # DEPENDENCYPART_ARC
(8,4),0.184989 # DEPENDENCYPART_ARC
(8,5),0.191203 # DEPENDENCYPART_ARC
(8,6),0.665799 # DEPENDENCYPART_ARC
(8,7),1.74511 # DEPENDENCYPART_ARC
(8,9),2.12423 # DEPENDENCYPART_ARC
(8,10),0.45298 # DEPENDENCYPART_ARC
(8,11),-0.340824 # DEPENDENCYPART_ARC
(8,12),-0.968387 # DEPENDENCYPART_ARC
(8,13),-0.473194 # DEPENDENCYPART_ARC
(8,14),-0.78151 # DEPENDENCYPART_ARC
(8,15),-0.700244 # DEPENDENCYPART_ARC
(8,16),-0.453796 # DEPENDENCYPART_ARC
(8,17),-1.68523 # DEPENDENCYPART_ARC
(8,18),-0.864339 # DEPENDENCYPART_ARC
(8,19),-0.821614 # DEPENDENCYPART_ARC
(8,20),-1.20394 # DEPENDENCYPART_ARC
(8,21),-0.782168 # DEPENDENCYPART_ARC
(9,1),-1.51533 # DEPENDENCYPART_ARC
(9,2),-1.71677 # DEPENDENCYPART_ARC
(9,3),-1.99846 # DEPENDENCYPART_ARC
(9,4),-1.1819 # DEPENDENCYPART_ARC
(9,5),-1.67338 # DEPENDENCYPART_ARC
(9,6),-0.806761 # DEPENDENCYPART_ARC
(9,7),-0.164275 # DEPENDENCYPART_ARC
(9,8),-0.43497 # DEPENDENCYPART_ARC
(9,10),1.20929 # DEPENDENCYPART_ARC
(9,11),-0.0319495 # DEPENDENCYPART_ARC
(9,12),-0.439757 # DEPENDENCYPART_ARC
(9,13),-1.04651 # DEPENDENCYPART_ARC
(9,14),-0.548206 # DEPENDENCYPART_ARC
(9,15),-0.236168 # DEPENDENCYPART_ARC
(9,16),-0.809155 # DEPENDENCYPART_ARC
(9,17),-1.19722 # DEPENDENCYPART_ARC
(9,18),-0.900116 # DEPENDENCYPART_ARC
(9,19),-0.708148 # DEPENDENCYPART_ARC
(9,20),-0.934737 # DEPENDENCYPART_ARC
(9,21),-0.726762 # DEPENDENCYPART_ARC
(10,1),-2.09868 # DEPENDENCYPART_ARC
(10,2),-2.17246 # DEPENDENCYPART_ARC
(10,3),-1.65563 # DEPENDENCYPART_ARC
(10,4),-1.20899 # DEPENDENCYPART_ARC
(10,5),-1.40688 # DEPENDENCYPART_ARC
(10,6),-0.853394 # DEPENDENCYPART_ARC
(10,7),-1.61977 # DEPENDENCYPART_ARC
(10,8),-0.278907 # DEPENDENCYPART_ARC
(10,9),-0.0658515 # DEPENDENCYPART_ARC
(10,11),-0.642128 # DEPENDENCYPART_ARC
(10,12),-1.69481 # DEPENDENCYPART_ARC
(10,13),-2.31715 # DEPENDENCYPART_ARC
(10,14),-2.40898 # DEPENDENCYPART_ARC
(10,15),-1.21147 # DEPENDENCYPART_ARC
(10,16),-1.22854 # DEPENDENCYPART_ARC
(10,17),-3.20999 # DEPENDENCYPART_ARC
(10,18),-2.2014 # DEPENDENCYPART_ARC
(10,19),-1.32997 # DEPENDENCYPART_ARC
(10,20),-2.73994 # DEPENDENCYPART_ARC
(10,21),-1.09192 # DEPENDENCYPART_ARC
(11,1),-1.65098 # DEPENDENCYPART_ARC
(11,2),-1.85923 # DEPENDENCYPART_ARC
(11,3),-2.03844 # DEPENDENCYPART_ARC
(11,4),-1.27591 # DEPENDENCYPART_ARC
(11,5),-1.88824 # DEPENDENCYPART_ARC
(11,6),-1.14828 # DEPENDENCYPART_ARC
(11,7),-1.27687 # DEPENDENCYPART_ARC
(11,8),-1.44295 # DEPENDENCYPART_ARC
(11,9),-0.633031 # DEPENDENCYPART_ARC
(11,10),0.00661005 # DEPENDENCYPART_ARC
(11,12),-0.143466 # DEPENDENCYPART_ARC
(11,13),-0.760574 # DEPENDENCYPART_ARC
(11,14),-0.943463 # DEPENDENCYPART_ARC
(11,15),-0.436787 # DEPENDENCYPART_ARC
(11,16),-0.723279 # DEPENDENCYPART_ARC
(11,17),-1.26323 # DEPENDENCYPART_ARC
(11,18),-1.46145 # DEPENDENCYPART_ARC
(11,19),-0.846163 # DEPENDENCYPART_ARC
(11,20),-1.41707 # DEPENDENCYPART_ARC
(11,21),-0.852328 # DEPENDENCYPART_ARC
(12,1),-1.48406 # DEPENDENCYPART_ARC
(12,2),-1.44235 # DEPENDENCYPART_ARC
(12,3),-0.884333 # DEPENDENCYPART_ARC
(12,4),-0.416223 # DEPENDENCYPART_ARC
(12,5),-0.406574 # DEPENDENCYPART_ARC
(12,6),-0.407552 # DEPENDENCYPART_ARC
(12,7),-0.142871 # DEPENDENCYPART_ARC
(12,8),-0.0790446 # DEPENDENCYPART_ARC
(12,9),-0.298472 # DEPENDENCYPART_ARC
(12,10),0.743309 # DEPENDENCYPART_ARC
(12,11),1.71697 # DEPENDENCYPART_ARC
(12,13),2.57766 # DEPENDENCYPART_ARC
(12,14),0.0118326 # DEPENDENCYPART_ARC
(12,15),-0.190737 # DEPENDENCYPART_ARC
(12,16),0.354644 # DEPENDENCYPART_ARC
(12,17),-0.280677 # DEPENDENCYPART_ARC
(12,18),-0.647302 # DEPENDENCYPART_ARC
(12,19),-0.277183 # DEPENDENCYPART_ARC
(12,20),-0.804551 # DEPENDENCYPART_ARC
(12,21),-0.322085 # DEPENDENCYPART_ARC
(13,1),-1.99473 # DEPENDENCYPART_ARC
(13,2),-2.05206 # DEPENDENCYPART_ARC
(13,3),-2.00731 # DEPENDENCYPART_ARC
(13,4),-1.48412 # DEPENDENCYPART_ARC
(13,5),-1.54775 # DEPENDENCYPART_ARC
(13,6),-1.33933 # DEPENDENCYPART_ARC
(13,7),-0.678088 # DEPENDENCYPART_ARC
(13,8),-1.29379 # DEPENDENCYPART_ARC
(13,9),-0.551471 # DEPENDENCYPART_ARC
(13,10),-0.104896 # DEPENDENCYPART_ARC
(13,11),0.162101 # DEPENDENCYPART_ARC
(13,12),0.476555 # DEPENDENCYPART_ARC
(13,14),-0.00803962 # DEPENDENCYPART_ARC
(13,15),0.00212021 # DEPENDENCYPART_ARC
(13,16),-0.9245 # DEPENDENCYPART_ARC
(13,17),-0.758882 # DEPENDENCYPART_ARC
(13,18),-1.24458 # DEPENDENCYPART_ARC
(13,19),-0.9426 # DEPENDENCYPART_ARC
(13,20),-1.54286 # DEPENDENCYPART_ARC
(13,21),-0.673708 # DEPENDENCYPART_ARC
(14,1),-2.05358 # DEPENDENCYPART_ARC
(14,2),-1.73805 # DEPENDENCYPART_ARC
(14,3),-1.24235 # DEPENDENCYPART_ARC
(14,4),-0.0869481 # DEPENDENCYPART_ARC
(14,5),-0.611324 # DEPENDENCYPART_ARC
(14,6),-0.0356893 # DEPENDENCYPART_ARC
(14,7),-0.445832 # DEPENDENCYPART_ARC
(14,8),-0.534107 # DEPENDENCYPART_ARC
(14,9),-0.612671 # DEPENDENCYPART_ARC
(14,10),-0.213235 # DEPENDENCYPART_ARC
(14,11),0.291307 # DEPENDENCYPART_ARC
(14,12),1.32465 # DEPENDENCYPART_ARC
(14,13),1.15886 # DEPENDENCYPART_ARC
(14,15),1.52206 # DEPENDENCYPART_ARC
(14,16),-0.191833 # DEPENDENCYPART_ARC
(14,17),-1.68841 # DEPENDENCYPART_ARC
(14,18),-0.986284 # DEPENDENCYPART_ARC
(14,19),-0.960857 # DEPENDENCYPART_ARC
(14,20),-1.30612 # DEPENDENCYPART_ARC
(14,21),-0.132778 # DEPENDENCYPART_ARC
(15,1),-2.00908 # DEPENDENCYPART_ARC
(15,2),-1.86959 # DEPENDENCYPART_ARC
(15,3),-1.39653 # DEPENDENCYPART_ARC
(15,4),-1.12359 # DEPENDENCYPART_ARC
(15,5),-1.26475 # DEPENDENCYPART_ARC
(15,6),-0.937826 # DEPENDENCYPART_ARC
(15,7),-1.06098 # DEPENDENCYPART_ARC
(15,8),-1.17005 # DEPENDENCYPART_ARC
(15,9),-1.64001 # DEPENDENCYPART_ARC
(15,10),-1.03846 # DEPENDENCYPART_ARC
(15,11),-1.48046 # DEPENDENCYPART_ARC
(15,12),-0.690822 # DEPENDENCYPART_ARC
(15,13),-0.71322 # DEPENDENCYPART_ARC
(15,14),-0.397739 # DEPENDENCYPART_ARC
(15,16),-0.427129 # DEPENDENCYPART_ARC
(15,17),-1.02315 # DEPENDENCYPART_ARC
(15,18),-1.01739 # DEPENDENCYPART_ARC
(15,19),-1.22101 # DEPENDENCYPART_ARC
(15,20),-1.08309 # DEPENDENCYPART_ARC
(15,21),-0.821795 # DEPENDENCYPART_ARC
(16,1),-0.356051 # DEPENDENCYPART_ARC
(16,2),-1.99871 # DEPENDENCYPART_ARC
(16,3),-0.55144 # DEPENDENCYPART_ARC
(16,4),-0.653608 # DEPENDENCYPART_ARC
(16,5),-0.46969 # DEPENDENCYPART_ARC
(16,6),-0.379734 # DEPENDENCYPART_ARC
(16,7),-0.82177 # DEPENDENCYPART_ARC
(16,8),-0.414283 # DEPENDENCYPART_ARC
(16,9),-0.192211 # DEPENDENCYPART_ARC
(16,10),-0.574405 # DEPENDENCYPART_ARC
(16,11),-0.228815 # DEPENDENCYPART_ARC
(16,12),-0.369042 # DEPENDENCYPART_ARC
(16,13),0.631244 # DEPENDENCYPART_ARC
(16,14),0.426307 # DEPENDENCYPART_ARC
(16,15),0.0447654 # DEPENDENCYPART_ARC
(16,17),0.433555 # DEPENDENCYPART_ARC
(16,18),-0.244604 # DEPENDENCYPART_ARC
(16,19),-0.420521 # DEPENDENCYPART_ARC
(16,20),-0.0180145 # DEPENDENCYPART_ARC
(16,21),-0.795763 # DEPENDENCYPART_ARC
(17,1),-2.67958 # DEPENDENCYPART_ARC
(17,2),-2.90386 # DEPENDENCYPART_ARC
(17,3),-3.08577 # DEPENDENCYPART_ARC
(17,4),-2.38183 # DEPENDENCYPART_ARC
(17,5),-3.04758 # DEPENDENCYPART_ARC
(17,6),-2.40149 # DEPENDENCYPART_ARC
(17,7),-2.7771 # DEPENDENCYPART_ARC
(17,8),-2.84854 # DEPENDENCYPART_ARC
(17,9),-2.11115 # DEPENDENCYPART_ARC
(17,10),-2.60321 # DEPENDENCYPART_ARC
(17,11),-1.91568 # DEPENDENCYPART_ARC
(17,12),-2.24247 # DEPENDENCYPART_ARC
(17,13),-1.94698 # DEPENDENCYPART_ARC
(17,14),-2.07693 # DEPENDENCYPART_ARC
(17,15),-1.83076 # DEPENDENCYPART_ARC
(17,16),-0.660506 # DEPENDENCYPART_ARC
(17,18),-0.31661 # DEPENDENCYPART_ARC
(17,19),-0.64938 # DEPENDENCYPART_ARC
(17,20),-1.29149 # DEPENDENCYPART_ARC
(17,21),-0.383271 # DEPENDENCYPART_ARC
(18,1),-2.13789 # DEPENDENCYPART_ARC
(18,2),-1.98873 # DEPENDENCYPART_ARC
(18,3),-1.57944 # DEPENDENCYPART_ARC
(18,4),-0.781254 # DEPENDENCYPART_ARC
(18,5),-1.15771 # DEPENDENCYPART_ARC
(18,6),-0.848907 # DEPENDENCYPART_ARC
(18,7),-1.17249 # DEPENDENCYPART_ARC
(18,8),-1.13992 # DEPENDENCYPART_ARC
(18,9),-1.7133 # DEPENDENCYPART_ARC
(18,10),-1.08959 # DEPENDENCYPART_ARC
(18,11),-0.862651 # DEPENDENCYPART_ARC
(18,12),-0.474433 # DEPENDENCYPART_ARC
(18,13),-0.888297 # DEPENDENCYPART_ARC
(18,14),-1.59145 # DEPENDENCYPART_ARC
(18,15),-0.97097 # DEPENDENCYPART_ARC
(18,16),-0.182012 # DEPENDENCYPART_ARC
(18,17),1.42795 # DEPENDENCYPART_ARC
(18,19),0.673443 # DEPENDENCYPART_ARC
(18,20),-0.107085 # DEPENDENCYPART_ARC
(18,21),-0.254589 # DEPENDENCYPART_ARC
(19,1),-1.36412 # DEPENDENCYPART_ARC
(19,2),-2.10994 # DEPENDENCYPART_ARC
(19,3),-0.118016 # DEPENDENCYPART_ARC
(19,4),-1.37793 # DEPENDENCYPART_ARC
(19,5),-0.130758 # DEPENDENCYPART_ARC
(19,6),-1.19611 # DEPENDENCYPART_ARC
(19,7),-1.17356 # DEPENDENCYPART_ARC
(19,8),-0.987687 # DEPENDENCYPART_ARC
(19,9),-0.989467 # DEPENDENCYPART_ARC
(19,10),-1.0602 # DEPENDENCYPART_ARC
(19,11),-0.856087 # DEPENDENCYPART_ARC
(19,12),-0.488642 # DEPENDENCYPART_ARC
(19,13),-1.48339 # DEPENDENCYPART_ARC
(19,14),0.0458633 # DEPENDENCYPART_ARC
(19,15),-1.23936 # DEPENDENCYPART_ARC
(19,16),-0.435395 # DEPENDENCYPART_ARC
(19,17),-0.120851 # DEPENDENCYPART_ARC
(19,18),2.12906 # DEPENDENCYPART_ARC
(19,20),2.59222 # DEPENDENCYPART_ARC
(19,21),0.283611 # DEPENDENCYPART_ARC
(20,1),-3.17157 # DEPENDENCYPART_ARC
(20,2),-2.63533 # DEPENDENCYPART_ARC
(20,3),-2.47424 # DEPENDENCYPART_ARC
(20,4),-1.93012 # DEPENDENCYPART_ARC
(20,5),-1.9629 # DEPENDENCYPART_ARC
(20,6),-1.91997 # DEPENDENCYPART_ARC
(20,7),-1.86462 # DEPENDENCYPART_ARC
(20,8),-1.91533 # DEPENDENCYPART_ARC
(20,9),-2.04556 # DEPENDENCYPART_ARC
(20,10),-1.84658 # DEPENDENCYPART_ARC
(20,11),-1.29522 # DEPENDENCYPART_ARC
(20,12),-1.25295 # DEPENDENCYPART_ARC
(20,13),-1.66187 # DEPENDENCYPART_ARC
(20,14),-3.1232 # DEPENDENCYPART_ARC
(20,15),-1.97286 # DEPENDENCYPART_ARC
(20,16),-1.74962 # DEPENDENCYPART_ARC
(20,17),-0.513762 # DEPENDENCYPART_ARC
(20,18),-0.000543366 # DEPENDENCYPART_ARC
(20,19),-0.0890241 # DEPENDENCYPART_ARC
(20,21),1.98364 # DEPENDENCYPART_ARC
(21,1),-2.1642 # DEPENDENCYPART_ARC
(21,2),-1.71711 # DEPENDENCYPART_ARC
(21,3),-2.14236 # DEPENDENCYPART_ARC
(21,4),-1.41533 # DEPENDENCYPART_ARC
(21,5),-2.12275 # DEPENDENCYPART_ARC
(21,6),-1.35018 # DEPENDENCYPART_ARC
(21,7),-1.88948 # DEPENDENCYPART_ARC
(21,8),-1.84637 # DEPENDENCYPART_ARC
(21,9),-2.0823 # DEPENDENCYPART_ARC
(21,10),-1.89793 # DEPENDENCYPART_ARC
(21,11),-1.9029 # DEPENDENCYPART_ARC
(21,12),-1.75987 # DEPENDENCYPART_ARC
(21,13),-1.61107 # DEPENDENCYPART_ARC
(21,14),-1.93063 # DEPENDENCYPART_ARC
(21,15),-1.47424 # DEPENDENCYPART_ARC
(21,16),-0.984305 # DEPENDENCYPART_ARC
(21,17),-1.38794 # DEPENDENCYPART_ARC
(21,18),-1.02172 # DEPENDENCYPART_ARC
(21,19),-1.03814 # DEPENDENCYPART_ARC
(21,20),-0.537879 # DEPENDENCYPART_ARC
