# _root_ ondoren , kamera ilunari aplikatu zizkion bere argazki-emultsioak , benetako erretratuak lortuz .
#goldHeads=0,3,5,3,0,5,8,5,8,11,12,5,12,
#predictedHeads=5,3,5,3,0,5,8,5,8,11,12,5,12,
(11,2),-1.41269 # DEPENDENCYPART_ARC
(11,3),-0.346072 # DEPENDENCYPART_ARC
(11,4),-2.60461 # DEPENDENCYPART_ARC
(11,5),-0.163564 # DEPENDENCYPART_ARC
(11,6),-1.82192 # DEPENDENCYPART_ARC
(11,7),0.465775 # DEPENDENCYPART_ARC
(11,8),-1.34497 # DEPENDENCYPART_ARC
(11,9),-0.452192 # DEPENDENCYPART_ARC
(11,10),2.2913 # DEPENDENCYPART_ARC
(11,12),-0.613547 # DEPENDENCYPART_ARC
(11,13),-0.45424 # DEPENDENCYPART_ARC
(12,1),0.212325 # DEPENDENCYPART_ARC
(12,2),-1.37059 # DEPENDENCYPART_ARC
(12,3),-0.190991 # DEPENDENCYPART_ARC
(12,4),-0.896025 # DEPENDENCYPART_ARC
(12,5),-0.711338 # DEPENDENCYPART_ARC
(12,6),-1.43199 # DEPENDENCYPART_ARC
(12,7),-1.07485 # DEPENDENCYPART_ARC
(12,8),0.687462 # DEPENDENCYPART_ARC
(12,9),-0.602816 # DEPENDENCYPART_ARC
(12,10),0.757078 # DEPENDENCYPART_ARC
(12,11),2.26276 # DEPENDENCYPART_ARC
(12,13),2.07444 # DEPENDENCYPART_ARC
(13,2),-1.77353 # DEPENDENCYPART_ARC
(13,3),-1.63661 # DEPENDENCYPART_ARC
(13,5),-1.78473 # DEPENDENCYPART_ARC
(13,8),-1.63578 # DEPENDENCYPART_ARC
(13,9),-1.40122 # DEPENDENCYPART_ARC
(13,11),-0.798409 # DEPENDENCYPART_ARC
(13,12),-0.545341 # DEPENDENCYPART_ARC
