# _root_ eajko diputatu iñaki_anasagastik adierazi zuenez , bartzelonako_adierazpena " ez da fronte bat " , eta ciuk gobernuarekin izan dezakeen harremanak ez du oztopatzen hiru alderdien elkarlana .
#goldHeads=2,3,4,15,4,5,10,7,10,15,10,11,12,13,0,18,18,20,18,23,23,23,15,25,26,23,26,
#predictedHeads=2,4,2,15,4,5,15,7,10,15,10,11,12,13,0,18,18,20,18,23,23,23,25,25,26,10,26,
(11,8),-1.54153 # DEPENDENCYPART_ARC
(11,9),-0.487749 # DEPENDENCYPART_ARC
(11,10),-0.411836 # DEPENDENCYPART_ARC
(11,12),2.3905 # DEPENDENCYPART_ARC
(11,13),0.0375727 # DEPENDENCYPART_ARC
(11,14),-0.693334 # DEPENDENCYPART_ARC
(11,15),-0.551332 # DEPENDENCYPART_ARC
(11,16),-0.894408 # DEPENDENCYPART_ARC
(11,17),-0.481411 # DEPENDENCYPART_ARC
(11,18),-1.00603 # DEPENDENCYPART_ARC
(11,19),-1.23838 # DEPENDENCYPART_ARC
(11,20),-0.928231 # DEPENDENCYPART_ARC
(11,21),-1.41283 # DEPENDENCYPART_ARC
(11,22),-1.38932 # DEPENDENCYPART_ARC
(11,23),-1.11157 # DEPENDENCYPART_ARC
(11,24),-1.9041 # DEPENDENCYPART_ARC
(11,25),-1.59477 # DEPENDENCYPART_ARC
(11,26),-1.24727 # DEPENDENCYPART_ARC
(11,27),-1.02984 # DEPENDENCYPART_ARC
(12,2),-2.40453 # DEPENDENCYPART_ARC
(12,6),-1.56008 # DEPENDENCYPART_ARC
(12,7),-1.93624 # DEPENDENCYPART_ARC
(12,8),-1.39606 # DEPENDENCYPART_ARC
(12,10),-1.57089 # DEPENDENCYPART_ARC
(12,11),-0.316989 # DEPENDENCYPART_ARC
(12,13),1.82307 # DEPENDENCYPART_ARC
(12,14),0.444412 # DEPENDENCYPART_ARC
(12,15),-0.14381 # DEPENDENCYPART_ARC
(12,16),-1.17592 # DEPENDENCYPART_ARC
(12,17),-1.18115 # DEPENDENCYPART_ARC
(12,18),-1.33121 # DEPENDENCYPART_ARC
(12,20),-1.47508 # DEPENDENCYPART_ARC
(12,23),-1.5017 # DEPENDENCYPART_ARC
(12,24),-1.22309 # DEPENDENCYPART_ARC
(12,25),-1.74824 # DEPENDENCYPART_ARC
(12,26),-2.15969 # DEPENDENCYPART_ARC
(12,27),-0.821215 # DEPENDENCYPART_ARC
(13,1),-1.49878 # DEPENDENCYPART_ARC
(13,2),-1.47368 # DEPENDENCYPART_ARC
(13,3),-1.47456 # DEPENDENCYPART_ARC
(13,5),-1.39365 # DEPENDENCYPART_ARC
(13,6),-1.65631 # DEPENDENCYPART_ARC
(13,7),-1.69417 # DEPENDENCYPART_ARC
(13,8),-1.6532 # DEPENDENCYPART_ARC
(13,9),-1.17743 # DEPENDENCYPART_ARC
(13,10),-0.608429 # DEPENDENCYPART_ARC
(13,11),-1.15613 # DEPENDENCYPART_ARC
(13,12),-0.760186 # DEPENDENCYPART_ARC
(13,14),1.68242 # DEPENDENCYPART_ARC
(13,16),-1.19204 # DEPENDENCYPART_ARC
(13,17),-1.33355 # DEPENDENCYPART_ARC
(13,18),-1.53543 # DEPENDENCYPART_ARC
(13,19),-1.23523 # DEPENDENCYPART_ARC
(13,20),-1.70305 # DEPENDENCYPART_ARC
(13,21),-1.61035 # DEPENDENCYPART_ARC
(13,22),-1.50719 # DEPENDENCYPART_ARC
(13,23),-1.60439 # DEPENDENCYPART_ARC
(13,24),-1.67447 # DEPENDENCYPART_ARC
(13,25),-1.96542 # DEPENDENCYPART_ARC
(13,26),-2.15232 # DEPENDENCYPART_ARC
(13,27),-1.34928 # DEPENDENCYPART_ARC
(14,1),-1.10678 # DEPENDENCYPART_ARC
(14,2),-1.18656 # DEPENDENCYPART_ARC
(14,3),-1.21449 # DEPENDENCYPART_ARC
(14,5),-1.03604 # DEPENDENCYPART_ARC
(14,8),-1.20868 # DEPENDENCYPART_ARC
(14,10),-0.286998 # DEPENDENCYPART_ARC
(14,11),-0.704038 # DEPENDENCYPART_ARC
(14,12),-1.06106 # DEPENDENCYPART_ARC
(14,13),-0.363157 # DEPENDENCYPART_ARC
(14,15),-0.627688 # DEPENDENCYPART_ARC
(14,17),-1.30124 # DEPENDENCYPART_ARC
(14,18),-1.44694 # DEPENDENCYPART_ARC
(14,19),-1.22681 # DEPENDENCYPART_ARC
(14,20),-1.91891 # DEPENDENCYPART_ARC
(14,22),-1.77419 # DEPENDENCYPART_ARC
(14,23),-1.81529 # DEPENDENCYPART_ARC
(14,24),-1.77829 # DEPENDENCYPART_ARC
(14,25),-2.24497 # DEPENDENCYPART_ARC
(14,26),-2.32712 # DEPENDENCYPART_ARC
(15,1),-0.603724 # DEPENDENCYPART_ARC
(15,2),-0.794051 # DEPENDENCYPART_ARC
(15,3),-0.682754 # DEPENDENCYPART_ARC
(15,4),0.467926 # DEPENDENCYPART_ARC
(15,5),-1.35821 # DEPENDENCYPART_ARC
(15,6),-1.63648 # DEPENDENCYPART_ARC
(15,7),0.215036 # DEPENDENCYPART_ARC
(15,8),-1.25945 # DEPENDENCYPART_ARC
(15,9),-0.933105 # DEPENDENCYPART_ARC
(15,10),1.22751 # DEPENDENCYPART_ARC
(15,11),0.164425 # DEPENDENCYPART_ARC
(15,12),-0.703593 # DEPENDENCYPART_ARC
(15,13),-0.855667 # DEPENDENCYPART_ARC
(15,14),-0.156393 # DEPENDENCYPART_ARC
(15,16),0.254928 # DEPENDENCYPART_ARC
(15,17),0.206197 # DEPENDENCYPART_ARC
(15,18),0.392803 # DEPENDENCYPART_ARC
(15,19),-0.431974 # DEPENDENCYPART_ARC
(15,20),-0.44536 # DEPENDENCYPART_ARC
(15,21),-1.18377 # DEPENDENCYPART_ARC
(15,22),-1.23511 # DEPENDENCYPART_ARC
(15,23),-0.604419 # DEPENDENCYPART_ARC
(15,24),-1.16068 # DEPENDENCYPART_ARC
(15,25),-1.84507 # DEPENDENCYPART_ARC
(15,26),-1.27578 # DEPENDENCYPART_ARC
(15,27),-1.29462 # DEPENDENCYPART_ARC
(16,1),-5.01535 # DEPENDENCYPART_ARC
(16,2),-3.36961 # DEPENDENCYPART_ARC
(16,3),-5.76245 # DEPENDENCYPART_ARC
(16,6),-3.07315 # DEPENDENCYPART_ARC
(16,7),-3.32268 # DEPENDENCYPART_ARC
(16,8),-3.08351 # DEPENDENCYPART_ARC
(16,9),-2.6038 # DEPENDENCYPART_ARC
(16,10),-5.29408 # DEPENDENCYPART_ARC
(16,11),-2.69951 # DEPENDENCYPART_ARC
(16,12),-4.37737 # DEPENDENCYPART_ARC
(16,13),-2.58086 # DEPENDENCYPART_ARC
(16,14),-1.92897 # DEPENDENCYPART_ARC
(16,15),-1.13859 # DEPENDENCYPART_ARC
(16,17),0.357101 # DEPENDENCYPART_ARC
(16,18),-1.51951 # DEPENDENCYPART_ARC
(16,20),-1.81858 # DEPENDENCYPART_ARC
(16,21),-2.5373 # DEPENDENCYPART_ARC
(16,23),-2.13508 # DEPENDENCYPART_ARC
(16,24),-3.94608 # DEPENDENCYPART_ARC
(16,25),-2.41942 # DEPENDENCYPART_ARC
(16,26),-2.49896 # DEPENDENCYPART_ARC
(16,27),-0.920932 # DEPENDENCYPART_ARC
(17,1),-2.63046 # DEPENDENCYPART_ARC
(17,2),-2.65482 # DEPENDENCYPART_ARC
(17,3),-4.23927 # DEPENDENCYPART_ARC
(17,4),-2.85918 # DEPENDENCYPART_ARC
(17,5),-2.16232 # DEPENDENCYPART_ARC
(17,6),-2.2073 # DEPENDENCYPART_ARC
(17,7),-1.82551 # DEPENDENCYPART_ARC
(17,8),-2.08791 # DEPENDENCYPART_ARC
(17,9),-0.953367 # DEPENDENCYPART_ARC
(17,10),-3.23315 # DEPENDENCYPART_ARC
(17,11),-1.30973 # DEPENDENCYPART_ARC
(17,12),-2.7902 # DEPENDENCYPART_ARC
(17,13),-1.71678 # DEPENDENCYPART_ARC
(17,14),-1.17882 # DEPENDENCYPART_ARC
(17,15),-0.306988 # DEPENDENCYPART_ARC
(17,16),-0.6816 # DEPENDENCYPART_ARC
(17,18),-0.152863 # DEPENDENCYPART_ARC
(17,19),-1.05059 # DEPENDENCYPART_ARC
(17,20),-0.339031 # DEPENDENCYPART_ARC
(17,21),-1.59721 # DEPENDENCYPART_ARC
(17,22),-1.79642 # DEPENDENCYPART_ARC
(17,23),-1.55618 # DEPENDENCYPART_ARC
(17,24),-2.63612 # DEPENDENCYPART_ARC
(17,25),-1.09565 # DEPENDENCYPART_ARC
(17,26),-1.43124 # DEPENDENCYPART_ARC
(17,27),-0.486571 # DEPENDENCYPART_ARC
(18,1),-1.51166 # DEPENDENCYPART_ARC
(18,2),-1.35086 # DEPENDENCYPART_ARC
(18,3),-2.14805 # DEPENDENCYPART_ARC
(18,4),-0.618339 # DEPENDENCYPART_ARC
(18,5),-1.39803 # DEPENDENCYPART_ARC
(18,6),-1.53971 # DEPENDENCYPART_ARC
(18,7),-1.66089 # DEPENDENCYPART_ARC
(18,8),-1.69554 # DEPENDENCYPART_ARC
(18,9),-0.919978 # DEPENDENCYPART_ARC
(18,10),-1.34153 # DEPENDENCYPART_ARC
(18,11),-0.466229 # DEPENDENCYPART_ARC
(18,12),-1.07785 # DEPENDENCYPART_ARC
(18,13),-1.77884 # DEPENDENCYPART_ARC
(18,14),-1.54314 # DEPENDENCYPART_ARC
(18,15),0.124757 # DEPENDENCYPART_ARC
(18,16),1.02718 # DEPENDENCYPART_ARC
(18,17),1.54952 # DEPENDENCYPART_ARC
(18,19),2.7222 # DEPENDENCYPART_ARC
(18,20),0.662761 # DEPENDENCYPART_ARC
(18,21),-0.36304 # DEPENDENCYPART_ARC
(18,22),-0.330057 # DEPENDENCYPART_ARC
(18,23),-0.476017 # DEPENDENCYPART_ARC
(18,24),-1.04099 # DEPENDENCYPART_ARC
(18,25),-0.728353 # DEPENDENCYPART_ARC
(18,26),0.0675825 # DEPENDENCYPART_ARC
(18,27),-0.760709 # DEPENDENCYPART_ARC
(19,1),-2.30733 # DEPENDENCYPART_ARC
(19,2),-2.11082 # DEPENDENCYPART_ARC
(19,3),-2.19392 # DEPENDENCYPART_ARC
(19,5),-1.63724 # DEPENDENCYPART_ARC
(19,6),-1.81726 # DEPENDENCYPART_ARC
(19,7),-1.76172 # DEPENDENCYPART_ARC
(19,8),-1.8476 # DEPENDENCYPART_ARC
(19,9),-1.44524 # DEPENDENCYPART_ARC
(19,10),-1.41223 # DEPENDENCYPART_ARC
(19,11),-1.5133 # DEPENDENCYPART_ARC
(19,12),-1.38909 # DEPENDENCYPART_ARC
(19,13),-1.59569 # DEPENDENCYPART_ARC
(19,14),-1.60511 # DEPENDENCYPART_ARC
(19,15),-1.51613 # DEPENDENCYPART_ARC
(19,16),-0.00098613 # DEPENDENCYPART_ARC
(19,17),-0.654432 # DEPENDENCYPART_ARC
(19,18),-0.625045 # DEPENDENCYPART_ARC
(19,20),-0.892193 # DEPENDENCYPART_ARC
(19,21),-0.773112 # DEPENDENCYPART_ARC
(19,22),-1.56134 # DEPENDENCYPART_ARC
(19,23),-2.36011 # DEPENDENCYPART_ARC
(19,24),-1.64395 # DEPENDENCYPART_ARC
(19,25),-1.90012 # DEPENDENCYPART_ARC
(19,26),-2.00832 # DEPENDENCYPART_ARC
(19,27),-1.32788 # DEPENDENCYPART_ARC
(20,1),-1.26545 # DEPENDENCYPART_ARC
(20,2),-2.4835 # DEPENDENCYPART_ARC
(20,3),-2.6722 # DEPENDENCYPART_ARC
(20,4),-1.92183 # DEPENDENCYPART_ARC
(20,5),-1.89109 # DEPENDENCYPART_ARC
(20,6),-1.90554 # DEPENDENCYPART_ARC
(20,7),-1.05041 # DEPENDENCYPART_ARC
(20,8),-1.91717 # DEPENDENCYPART_ARC
(20,9),-0.909024 # DEPENDENCYPART_ARC
(20,10),-2.66954 # DEPENDENCYPART_ARC
(20,11),-1.29928 # DEPENDENCYPART_ARC
(20,12),-2.74985 # DEPENDENCYPART_ARC
(20,13),-1.67448 # DEPENDENCYPART_ARC
(20,14),-1.33477 # DEPENDENCYPART_ARC
(20,15),-0.408421 # DEPENDENCYPART_ARC
(20,16),-1.03571 # DEPENDENCYPART_ARC
(20,17),-1.19769 # DEPENDENCYPART_ARC
(20,18),0.706146 # DEPENDENCYPART_ARC
(20,19),-0.0630752 # DEPENDENCYPART_ARC
(20,21),-0.840182 # DEPENDENCYPART_ARC
(20,22),-1.45208 # DEPENDENCYPART_ARC
(20,23),-1.7876 # DEPENDENCYPART_ARC
(20,24),-2.25355 # DEPENDENCYPART_ARC
(20,25),-2.18072 # DEPENDENCYPART_ARC
(20,26),-2.59635 # DEPENDENCYPART_ARC
(20,27),-1.04274 # DEPENDENCYPART_ARC
(21,1),-2.16482 # DEPENDENCYPART_ARC
(21,2),-1.58709 # DEPENDENCYPART_ARC
(21,3),-1.80229 # DEPENDENCYPART_ARC
(21,6),-1.74367 # DEPENDENCYPART_ARC
(21,7),-1.45872 # DEPENDENCYPART_ARC
(21,8),-1.70078 # DEPENDENCYPART_ARC
(21,9),-1.74332 # DEPENDENCYPART_ARC
(21,10),-2.27125 # DEPENDENCYPART_ARC
(21,11),-1.67242 # DEPENDENCYPART_ARC
