# _root_ lehendakariaz_gain , jaurlaritzako ordezkariak egon ziren han , baita psoeko idazkari rodriguez_zapatero eta pse-eeko nicolas_redondo_terreros ere .
#goldHeads=5,1,4,5,9,5,5,7,0,11,13,11,9,15,13,0,16,
#predictedHeads=5,3,4,5,9,5,5,7,0,11,12,13,5,13,13,0,16,
(2,6),-0.862071 # DEPENDENCYPART_ARC
(2,7),-1.6196 # DEPENDENCYPART_ARC
(2,8),-0.787951 # DEPENDENCYPART_ARC
(2,9),-1.1546 # DEPENDENCYPART_ARC
(2,10),-1.52332 # DEPENDENCYPART_ARC
(2,11),-1.48365 # DEPENDENCYPART_ARC
(2,12),-1.50059 # DEPENDENCYPART_ARC
(2,13),-1.9835 # DEPENDENCYPART_ARC
(2,14),-1.73265 # DEPENDENCYPART_ARC
(2,15),-1.88411 # DEPENDENCYPART_ARC
(2,16),-1.78077 # DEPENDENCYPART_ARC
(2,17),-1.50681 # DEPENDENCYPART_ARC
(3,1),-1.94433 # DEPENDENCYPART_ARC
(3,2),-0.0592377 # DEPENDENCYPART_ARC
(3,4),0.129882 # DEPENDENCYPART_ARC
(3,5),-2.27646 # DEPENDENCYPART_ARC
(3,6),-2.02294 # DEPENDENCYPART_ARC
(3,7),-1.25355 # DEPENDENCYPART_ARC
(3,8),-1.19456 # DEPENDENCYPART_ARC
(3,9),-1.732 # DEPENDENCYPART_ARC
(3,10),-1.80412 # DEPENDENCYPART_ARC
(3,11),-1.33891 # DEPENDENCYPART_ARC
(3,12),-1.39887 # DEPENDENCYPART_ARC
(3,13),-1.81361 # DEPENDENCYPART_ARC
(3,14),-2.1561 # DEPENDENCYPART_ARC
(3,15),-1.69163 # DEPENDENCYPART_ARC
(3,16),-2.20088 # DEPENDENCYPART_ARC
(3,17),-1.13939 # DEPENDENCYPART_ARC
(4,1),-0.712238 # DEPENDENCYPART_ARC
(4,2),-0.73791 # DEPENDENCYPART_ARC
(4,3),3.34876 # DEPENDENCYPART_ARC
(4,5),-0.95588 # DEPENDENCYPART_ARC
(4,6),-0.895613 # DEPENDENCYPART_ARC
(4,7),-0.685456 # DEPENDENCYPART_ARC
(4,8),-0.662743 # DEPENDENCYPART_ARC
(4,9),-0.794437 # DEPENDENCYPART_ARC
(4,10),-1.33688 # DEPENDENCYPART_ARC
(4,11),-0.845054 # DEPENDENCYPART_ARC
(4,12),-1.43715 # DEPENDENCYPART_ARC
(4,13),-0.712636 # DEPENDENCYPART_ARC
(4,14),-1.62561 # DEPENDENCYPART_ARC
(4,15),-1.65048 # DEPENDENCYPART_ARC
(4,16),-1.07282 # DEPENDENCYPART_ARC
(4,17),-0.887686 # DEPENDENCYPART_ARC
(5,1),1.22669 # DEPENDENCYPART_ARC
(5,2),-0.908285 # DEPENDENCYPART_ARC
(5,3),1.10501 # DEPENDENCYPART_ARC
(5,4),2.59981 # DEPENDENCYPART_ARC
(5,6),2.34291 # DEPENDENCYPART_ARC
(5,7),1.32741 # DEPENDENCYPART_ARC
(5,8),-0.224566 # DEPENDENCYPART_ARC
(5,9),0.272785 # DEPENDENCYPART_ARC
(5,10),-1.56639 # DEPENDENCYPART_ARC
(5,11),-0.646715 # DEPENDENCYPART_ARC
(5,12),-0.962713 # DEPENDENCYPART_ARC
(5,13),0.18246 # DEPENDENCYPART_ARC
(5,14),-2.29268 # DEPENDENCYPART_ARC
(5,15),-1.29996 # DEPENDENCYPART_ARC
(5,16),0.0197303 # DEPENDENCYPART_ARC
(5,17),-0.711014 # DEPENDENCYPART_ARC
(6,1),-1.146 # DEPENDENCYPART_ARC
(6,2),-1.40563 # DEPENDENCYPART_ARC
(6,3),-0.688187 # DEPENDENCYPART_ARC
(6,4),-0.618265 # DEPENDENCYPART_ARC
(6,5),-0.65426 # DEPENDENCYPART_ARC
(6,7),0.0136982 # DEPENDENCYPART_ARC
(6,8),-0.419351 # DEPENDENCYPART_ARC
(6,9),-0.999152 # DEPENDENCYPART_ARC
(6,10),-1.15749 # DEPENDENCYPART_ARC
(6,11),-1.50656 # DEPENDENCYPART_ARC
(6,12),-1.19766 # DEPENDENCYPART_ARC
(6,13),-1.49414 # DEPENDENCYPART_ARC
(6,14),-1.4681 # DEPENDENCYPART_ARC
(6,15),-1.31593 # DEPENDENCYPART_ARC
(6,16),-0.70853 # DEPENDENCYPART_ARC
(6,17),-1.53095 # DEPENDENCYPART_ARC
(7,1),-1.0787 # DEPENDENCYPART_ARC
(7,2),-1.17589 # DEPENDENCYPART_ARC
(7,3),-0.81917 # DEPENDENCYPART_ARC
(7,4),-0.660198 # DEPENDENCYPART_ARC
(7,5),-0.404497 # DEPENDENCYPART_ARC
(7,6),-0.127351 # DEPENDENCYPART_ARC
(7,8),1.80256 # DEPENDENCYPART_ARC
(7,9),-0.342141 # DEPENDENCYPART_ARC
(7,10),-0.799246 # DEPENDENCYPART_ARC
(7,11),-0.865428 # DEPENDENCYPART_ARC
(7,12),-0.860261 # DEPENDENCYPART_ARC
(7,13),-0.628683 # DEPENDENCYPART_ARC
(7,14),-1.05431 # DEPENDENCYPART_ARC
(7,15),-1.03902 # DEPENDENCYPART_ARC
(7,16),-0.858098 # DEPENDENCYPART_ARC
(7,17),-0.272267 # DEPENDENCYPART_ARC
(8,1),-1.8252 # DEPENDENCYPART_ARC
(8,2),-1.84108 # DEPENDENCYPART_ARC
(8,3),-1.35394 # DEPENDENCYPART_ARC
(8,4),-1.21614 # DEPENDENCYPART_ARC
(8,5),-0.976724 # DEPENDENCYPART_ARC
(8,6),-1.22117 # DEPENDENCYPART_ARC
(8,7),-0.906201 # DEPENDENCYPART_ARC
(8,9),-0.54567 # DEPENDENCYPART_ARC
(8,10),-1.42767 # DEPENDENCYPART_ARC
(8,11),-1.2331 # DEPENDENCYPART_ARC
(8,12),-1.33764 # DEPENDENCYPART_ARC
(8,13),-1.8266 # DEPENDENCYPART_ARC
(8,14),-1.59901 # DEPENDENCYPART_ARC
(8,15),-1.64117 # DEPENDENCYPART_ARC
(8,16),-1.77417 # DEPENDENCYPART_ARC
(8,17),-1.31344 # DEPENDENCYPART_ARC
(9,1),-0.395099 # DEPENDENCYPART_ARC
(9,2),-1.25403 # DEPENDENCYPART_ARC
(9,3),-0.554927 # DEPENDENCYPART_ARC
(9,4),-0.582194 # DEPENDENCYPART_ARC
(9,5),0.795445 # DEPENDENCYPART_ARC
(9,6),-0.76813 # DEPENDENCYPART_ARC
(9,7),-0.246634 # DEPENDENCYPART_ARC
(9,8),-0.11635 # DEPENDENCYPART_ARC
(9,10),-0.390519 # DEPENDENCYPART_ARC
(9,11),-1.09423 # DEPENDENCYPART_ARC
(9,12),-0.453973 # DEPENDENCYPART_ARC
(9,13),-0.675511 # DEPENDENCYPART_ARC
(9,14),-1.18875 # DEPENDENCYPART_ARC
(9,15),-0.594162 # DEPENDENCYPART_ARC
(9,16),-0.490529 # DEPENDENCYPART_ARC
(9,17),-0.735741 # DEPENDENCYPART_ARC
(10,1),-4.60074 # DEPENDENCYPART_ARC
(10,2),-2.54797 # DEPENDENCYPART_ARC
(10,3),-2.08951 # DEPENDENCYPART_ARC
(10,4),-4.59286 # DEPENDENCYPART_ARC
(10,5),-3.4393 # DEPENDENCYPART_ARC
(10,6),-2.33226 # DEPENDENCYPART_ARC
(10,7),-1.81716 # DEPENDENCYPART_ARC
(10,8),-1.66121 # DEPENDENCYPART_ARC
(10,9),-1.44756 # DEPENDENCYPART_ARC
(10,11),0.135601 # DEPENDENCYPART_ARC
(10,12),-2.04241 # DEPENDENCYPART_ARC
(10,13),-2.03519 # DEPENDENCYPART_ARC
(10,14),-2.23667 # DEPENDENCYPART_ARC
(10,15),-2.71831 # DEPENDENCYPART_ARC
(10,16),-2.26651 # DEPENDENCYPART_ARC
(10,17),-1.34667 # DEPENDENCYPART_ARC
(11,1),-1.32584 # DEPENDENCYPART_ARC
(11,2),-1.69615 # DEPENDENCYPART_ARC
(11,3),-0.789584 # DEPENDENCYPART_ARC
(11,4),-0.988997 # DEPENDENCYPART_ARC
(11,5),-0.79263 # DEPENDENCYPART_ARC
(11,6),-1.12426 # DEPENDENCYPART_ARC
(11,7),-0.939311 # DEPENDENCYPART_ARC
(11,8),-1.01251 # DEPENDENCYPART_ARC
(11,9),-0.377707 # DEPENDENCYPART_ARC
(11,10),1.75776 # DEPENDENCYPART_ARC
(11,12),1.07613 # DEPENDENCYPART_ARC
(11,13),-0.0649838 # DEPENDENCYPART_ARC
(11,14),-0.29219 # DEPENDENCYPART_ARC
(11,15),-0.379619 # DEPENDENCYPART_ARC
(11,16),-0.635206 # DEPENDENCYPART_ARC
(11,17),-0.317241 # DEPENDENCYPART_ARC
(12,1),-4.12041 # DEPENDENCYPART_ARC
(12,2),-2.22262 # DEPENDENCYPART_ARC
(12,3),-2.12423 # DEPENDENCYPART_ARC
(12,4),-4.72571 # DEPENDENCYPART_ARC
(12,5),-2.803 # DEPENDENCYPART_ARC
(12,6),-2.12579 # DEPENDENCYPART_ARC
(12,7),-1.61541 # DEPENDENCYPART_ARC
(12,8),-1.88808 # DEPENDENCYPART_ARC
(12,9),-1.32635 # DEPENDENCYPART_ARC
(12,10),-0.0343403 # DEPENDENCYPART_ARC
(12,11),0.905829 # DEPENDENCYPART_ARC
(12,13),-0.595037 # DEPENDENCYPART_ARC
(12,14),-1.25431 # DEPENDENCYPART_ARC
(12,15),-1.9098 # DEPENDENCYPART_ARC
(12,16),-1.79365 # DEPENDENCYPART_ARC
(12,17),-0.754448 # DEPENDENCYPART_ARC
(13,1),-0.634704 # DEPENDENCYPART_ARC
(13,2),-2.40945 # DEPENDENCYPART_ARC
(13,3),-1.07509 # DEPENDENCYPART_ARC
(13,4),-1.14231 # DEPENDENCYPART_ARC
(13,5),-0.474457 # DEPENDENCYPART_ARC
(13,6),-1.34703 # DEPENDENCYPART_ARC
(13,7),-0.921551 # DEPENDENCYPART_ARC
(13,8),-1.94321 # DEPENDENCYPART_ARC
(13,9),-0.631187 # DEPENDENCYPART_ARC
(13,10),-0.0151953 # DEPENDENCYPART_ARC
(13,11),0.37651 # DEPENDENCYPART_ARC
(13,12),1.94276 # DEPENDENCYPART_ARC
(13,14),2.24322 # DEPENDENCYPART_ARC
(13,15),0.750171 # DEPENDENCYPART_ARC
(13,16),0.00977176 # DEPENDENCYPART_ARC
(13,17),-0.378352 # DEPENDENCYPART_ARC
(14,1),-5.36002 # DEPENDENCYPART_ARC
(14,2),-3.28074 # DEPENDENCYPART_ARC
(14,3),-3.02141 # DEPENDENCYPART_ARC
(14,4),-5.43372 # DEPENDENCYPART_ARC
(14,5),-4.25922 # DEPENDENCYPART_ARC
(14,6),-3.05262 # DEPENDENCYPART_ARC
(14,7),-2.50882 # DEPENDENCYPART_ARC
(14,8),-2.91637 # DEPENDENCYPART_ARC
(14,9),-3.16879 # DEPENDENCYPART_ARC
(14,10),-2.21308 # DEPENDENCYPART_ARC
(14,11),-1.79477 # DEPENDENCYPART_ARC
(14,12),-2.39139 # DEPENDENCYPART_ARC
(14,13),-1.30011 # DEPENDENCYPART_ARC
(14,15),-1.14155 # DEPENDENCYPART_ARC
(14,16),-1.78349 # DEPENDENCYPART_ARC
(14,17),-1.26223 # DEPENDENCYPART_ARC
(15,1),-3.70843 # DEPENDENCYPART_ARC
(15,2),-1.72946 # DEPENDENCYPART_ARC
(15,3),-1.84778 # DEPENDENCYPART_ARC
(15,4),-4.52609 # DEPENDENCYPART_ARC
(15,5),-2.33488 # DEPENDENCYPART_ARC
(15,6),-1.66468 # DEPENDENCYPART_ARC
(15,7),-0.978513 # DEPENDENCYPART_ARC
(15,8),-1.57286 # DEPENDENCYPART_ARC
(15,9),-1.36308 # DEPENDENCYPART_ARC
(15,10),-0.677186 # DEPENDENCYPART_ARC
(15,11),-0.422214 # DEPENDENCYPART_ARC
(15,12),-1.75489 # DEPENDENCYPART_ARC
(15,13),0.177196 # DEPENDENCYPART_ARC
(15,14),1.28246 # DEPENDENCYPART_ARC
(15,16),-0.49051 # DEPENDENCYPART_ARC
(15,17),-0.00258137 # DEPENDENCYPART_ARC
(16,1),-2.82349 # DEPENDENCYPART_ARC
(16,2),-3.40869 # DEPENDENCYPART_ARC
(16,3),-3.24618 # DEPENDENCYPART_ARC
(16,4),-3.33212 # DEPENDENCYPART_ARC
(16,5),-2.97234 # DEPENDENCYPART_ARC
(16,6),-2.98134 # DEPENDENCYPART_ARC
(16,7),-2.74388 # DEPENDENCYPART_ARC
(16,8),-3.09423 # DEPENDENCYPART_ARC
(16,9),-2.73055 # DEPENDENCYPART_ARC
(16,10),-2.99548 # DEPENDENCYPART_ARC
(16,11),-2.70435 # DEPENDENCYPART_ARC
(16,12),-2.35297 # DEPENDENCYPART_ARC
(16,13),-2.22407 # DEPENDENCYPART_ARC
(16,14),-2.19427 # DEPENDENCYPART_ARC
(16,15),-1.09513 # DEPENDENCYPART_ARC
(16,17),1.43166 # DEPENDENCYPART_ARC
(17,1),-2.24196 # DEPENDENCYPART_ARC
(17,2),-1.58169 # DEPENDENCYPART_ARC
(17,3),-1.69732 # DEPENDENCYPART_ARC
(17,4),-1.50966 # DEPENDENCYPART_ARC
(17,5),-2.0767 # DEPENDENCYPART_ARC
(17,6),-1.62379 # DEPENDENCYPART_ARC
(17,7),-1.55254 # DEPENDENCYPART_ARC
(17,8),-1.57752 # DEPENDENCYPART_ARC
(17,9),-1.05032 # DEPENDENCYPART_ARC
(17,10),-1.45378 # DEPENDENCYPART_ARC
(17,11),-1.30141 # DEPENDENCYPART_ARC
(17,12),-1.29727 # DEPENDENCYPART_ARC
(17,13),-0.918379 # DEPENDENCYPART_ARC
(17,14),-0.870712 # DEPENDENCYPART_ARC
(17,15),-0.826484 # DEPENDENCYPART_ARC
(17,16),-0.448618 # DEPENDENCYPART_ARC
