# _root_ agian , bizpahiru urte gehiago izan zitzakeen , kirolariak erretiratu baina profesionariek gailurra jotzen duteneko adina .
#goldHeads=6,3,4,6,4,0,6,7,10,11,16,14,14,11,14,4,16,
#predictedHeads=6,3,4,6,4,0,6,7,10,11,0,14,14,11,14,14,16,
(6,1),0.459116 # DEPENDENCYPART_ARC
(6,2),-0.892634 # DEPENDENCYPART_ARC
(6,3),0.245679 # DEPENDENCYPART_ARC
(6,4),1.71772 # DEPENDENCYPART_ARC
(6,5),1.11331 # DEPENDENCYPART_ARC
(6,7),2.05461 # DEPENDENCYPART_ARC
(6,8),-0.407578 # DEPENDENCYPART_ARC
(6,9),-0.601135 # DEPENDENCYPART_ARC
(6,10),-0.249664 # DEPENDENCYPART_ARC
(6,11),-0.0132475 # DEPENDENCYPART_ARC
(6,12),-1.02255 # DEPENDENCYPART_ARC
(6,13),-1.16633 # DEPENDENCYPART_ARC
(6,14),-0.838414 # DEPENDENCYPART_ARC
(6,15),0.215612 # DEPENDENCYPART_ARC
(6,16),-0.170188 # DEPENDENCYPART_ARC
(6,17),-1.04723 # DEPENDENCYPART_ARC
(7,1),-0.948483 # DEPENDENCYPART_ARC
(7,2),-1.31701 # DEPENDENCYPART_ARC
(7,3),-0.958345 # DEPENDENCYPART_ARC
(7,4),-0.191953 # DEPENDENCYPART_ARC
(7,6),-0.265971 # DEPENDENCYPART_ARC
(7,8),1.31101 # DEPENDENCYPART_ARC
(7,9),-1.29283 # DEPENDENCYPART_ARC
(7,10),-1.19511 # DEPENDENCYPART_ARC
(7,11),-1.02658 # DEPENDENCYPART_ARC
(7,12),-1.45269 # DEPENDENCYPART_ARC
(7,13),-1.91977 # DEPENDENCYPART_ARC
(7,14),-1.96257 # DEPENDENCYPART_ARC
(7,15),-1.42258 # DEPENDENCYPART_ARC
(7,16),-2.14165 # DEPENDENCYPART_ARC
(7,17),-1.37917 # DEPENDENCYPART_ARC
(8,3),-1.2427 # DEPENDENCYPART_ARC
(8,4),-0.456674 # DEPENDENCYPART_ARC
(8,5),-0.876762 # DEPENDENCYPART_ARC
(8,6),0.0544703 # DEPENDENCYPART_ARC
(8,7),0.290347 # DEPENDENCYPART_ARC
(8,9),-0.717487 # DEPENDENCYPART_ARC
(8,10),-0.65587 # DEPENDENCYPART_ARC
(8,11),-0.502003 # DEPENDENCYPART_ARC
(8,12),-1.45227 # DEPENDENCYPART_ARC
(8,13),-1.49884 # DEPENDENCYPART_ARC
(8,14),-0.896977 # DEPENDENCYPART_ARC
(8,15),-1.09542 # DEPENDENCYPART_ARC
(8,16),-1.98986 # DEPENDENCYPART_ARC
(9,1),-1.59793 # DEPENDENCYPART_ARC
(9,2),-1.66788 # DEPENDENCYPART_ARC
(9,3),-0.906129 # DEPENDENCYPART_ARC
(9,4),-0.870094 # DEPENDENCYPART_ARC
(9,5),-1.43111 # DEPENDENCYPART_ARC
(9,6),-0.642007 # DEPENDENCYPART_ARC
(9,7),-1.40363 # DEPENDENCYPART_ARC
(9,8),-0.127417 # DEPENDENCYPART_ARC
(9,10),-0.0452628 # DEPENDENCYPART_ARC
(9,11),-0.360659 # DEPENDENCYPART_ARC
(9,12),-1.05092 # DEPENDENCYPART_ARC
(9,13),-1.28176 # DEPENDENCYPART_ARC
(9,14),-1.50649 # DEPENDENCYPART_ARC
(9,15),-2.2159 # DEPENDENCYPART_ARC
(9,16),-1.66615 # DEPENDENCYPART_ARC
(9,17),-0.817222 # DEPENDENCYPART_ARC
(10,1),-0.795001 # DEPENDENCYPART_ARC
(10,2),-1.50157 # DEPENDENCYPART_ARC
(10,3),-0.783101 # DEPENDENCYPART_ARC
(10,4),-0.617399 # DEPENDENCYPART_ARC
(10,5),-1.33415 # DEPENDENCYPART_ARC
(10,6),-0.416363 # DEPENDENCYPART_ARC
(10,7),-0.758514 # DEPENDENCYPART_ARC
(10,8),-1.01533 # DEPENDENCYPART_ARC
(10,9),2.20109 # DEPENDENCYPART_ARC
(10,11),-0.0921296 # DEPENDENCYPART_ARC
(10,12),-0.693123 # DEPENDENCYPART_ARC
(10,13),-0.374776 # DEPENDENCYPART_ARC
(10,14),-0.962652 # DEPENDENCYPART_ARC
(10,15),0.214295 # DEPENDENCYPART_ARC
(10,16),-0.604012 # DEPENDENCYPART_ARC
(10,17),-1.21974 # DEPENDENCYPART_ARC
(11,1),-0.80447 # DEPENDENCYPART_ARC
(11,2),-1.31305 # DEPENDENCYPART_ARC
(11,3),-1.02516 # DEPENDENCYPART_ARC
(11,4),-0.756525 # DEPENDENCYPART_ARC
(11,5),-1.49362 # DEPENDENCYPART_ARC
(11,6),-0.3021 # DEPENDENCYPART_ARC
(11,7),-1.09274 # DEPENDENCYPART_ARC
(11,8),-0.842324 # DEPENDENCYPART_ARC
(11,9),-0.407955 # DEPENDENCYPART_ARC
(11,10),2.24185 # DEPENDENCYPART_ARC
(11,12),-0.310115 # DEPENDENCYPART_ARC
(11,13),0.138361 # DEPENDENCYPART_ARC
(11,14),0.552831 # DEPENDENCYPART_ARC
(11,15),-0.75729 # DEPENDENCYPART_ARC
(11,16),-0.551207 # DEPENDENCYPART_ARC
(11,17),-0.340692 # DEPENDENCYPART_ARC
(12,1),-2.41172 # DEPENDENCYPART_ARC
(12,2),-2.50804 # DEPENDENCYPART_ARC
(12,3),-1.83896 # DEPENDENCYPART_ARC
(12,4),-1.49753 # DEPENDENCYPART_ARC
(12,5),-2.56907 # DEPENDENCYPART_ARC
(12,6),-2.12456 # DEPENDENCYPART_ARC
(12,7),-2.67126 # DEPENDENCYPART_ARC
(12,8),-2.09258 # DEPENDENCYPART_ARC
(12,9),-1.9026 # DEPENDENCYPART_ARC
(12,10),-0.115904 # DEPENDENCYPART_ARC
(12,11),-0.576454 # DEPENDENCYPART_ARC
(12,13),-0.46923 # DEPENDENCYPART_ARC
(12,14),-1.67032 # DEPENDENCYPART_ARC
(12,15),-1.99384 # DEPENDENCYPART_ARC
(12,16),-2.52584 # DEPENDENCYPART_ARC
(12,17),-0.787355 # DEPENDENCYPART_ARC
(13,1),-1.21859 # DEPENDENCYPART_ARC
(13,2),-1.73802 # DEPENDENCYPART_ARC
(13,3),-1.04446 # DEPENDENCYPART_ARC
(13,4),-0.84506 # DEPENDENCYPART_ARC
(13,5),-1.98947 # DEPENDENCYPART_ARC
(13,6),-1.33026 # DEPENDENCYPART_ARC
(13,7),-2.30081 # DEPENDENCYPART_ARC
(13,8),-1.36284 # DEPENDENCYPART_ARC
(13,9),-1.2299 # DEPENDENCYPART_ARC
(13,10),0.0199884 # DEPENDENCYPART_ARC
(13,11),-0.313461 # DEPENDENCYPART_ARC
(13,12),-0.52099 # DEPENDENCYPART_ARC
(13,14),-0.57862 # DEPENDENCYPART_ARC
(13,15),-0.480905 # DEPENDENCYPART_ARC
(13,16),-1.43323 # DEPENDENCYPART_ARC
(13,17),-0.750295 # DEPENDENCYPART_ARC
(14,1),-0.422146 # DEPENDENCYPART_ARC
(14,2),-2.06176 # DEPENDENCYPART_ARC
(14,3),-1.06059 # DEPENDENCYPART_ARC
(14,4),-0.692004 # DEPENDENCYPART_ARC
(14,5),-0.989302 # DEPENDENCYPART_ARC
(14,6),-0.472028 # DEPENDENCYPART_ARC
(14,7),-0.975308 # DEPENDENCYPART_ARC
(14,8),-1.69627 # DEPENDENCYPART_ARC
(14,9),0.119775 # DEPENDENCYPART_ARC
(14,10),-0.570871 # DEPENDENCYPART_ARC
(14,11),-0.318315 # DEPENDENCYPART_ARC
(14,12),1.41605 # DEPENDENCYPART_ARC
(14,13),1.86261 # DEPENDENCYPART_ARC
(14,15),2.77408 # DEPENDENCYPART_ARC
(14,16),1.42419 # DEPENDENCYPART_ARC
(14,17),-0.117485 # DEPENDENCYPART_ARC
(15,1),-1.54224 # DEPENDENCYPART_ARC
(15,2),-1.9064 # DEPENDENCYPART_ARC
(15,3),-1.86314 # DEPENDENCYPART_ARC
(15,4),-1.46794 # DEPENDENCYPART_ARC
(15,6),-2.18309 # DEPENDENCYPART_ARC
(15,7),-1.56029 # DEPENDENCYPART_ARC
(15,8),-1.74507 # DEPENDENCYPART_ARC
(15,9),-1.25324 # DEPENDENCYPART_ARC
(15,10),-2.54429 # DEPENDENCYPART_ARC
(15,11),-1.46458 # DEPENDENCYPART_ARC
(15,12),-0.992622 # DEPENDENCYPART_ARC
(15,13),-0.916067 # DEPENDENCYPART_ARC
(15,14),-1.4608 # DEPENDENCYPART_ARC
(15,16),-1.87932 # DEPENDENCYPART_ARC
(15,17),-0.915847 # DEPENDENCYPART_ARC
(16,1),-1.51055 # DEPENDENCYPART_ARC
(16,2),-1.98209 # DEPENDENCYPART_ARC
(16,3),-1.36077 # DEPENDENCYPART_ARC
(16,4),-1.37444 # DEPENDENCYPART_ARC
(16,5),-2.66151 # DEPENDENCYPART_ARC
(16,6),-1.83659 # DEPENDENCYPART_ARC
(16,7),-2.79226 # DEPENDENCYPART_ARC
(16,8),-1.64312 # DEPENDENCYPART_ARC
(16,9),-2.25818 # DEPENDENCYPART_ARC
(16,10),-0.591732 # DEPENDENCYPART_ARC
(16,11),-0.922334 # DEPENDENCYPART_ARC
(16,12),-2.79777 # DEPENDENCYPART_ARC
(16,13),-2.50505 # DEPENDENCYPART_ARC
(16,14),0.627473 # DEPENDENCYPART_ARC
(16,15),-1.14628 # DEPENDENCYPART_ARC
(16,17),1.86609 # DEPENDENCYPART_ARC
(17,2),-1.64473 # DEPENDENCYPART_ARC
(17,4),-1.55411 # DEPENDENCYPART_ARC
(17,6),-1.719 # DEPENDENCYPART_ARC
(17,8),-1.49831 # DEPENDENCYPART_ARC
(17,9),-1.38521 # DEPENDENCYPART_ARC
(17,10),-1.51304 # DEPENDENCYPART_ARC
(17,11),-0.986945 # DEPENDENCYPART_ARC
(17,12),-1.22837 # DEPENDENCYPART_ARC
(17,13),-1.00689 # DEPENDENCYPART_ARC
(17,14),-1.03933 # DEPENDENCYPART_ARC
(17,16),-0.540538 # DEPENDENCYPART_ARC
