# _root_ ( ... ) paulinok azken asaltoa bota zuela uste_zuen , baina heriotzaren aurre-salara ailegatzea besterik ez zuen egin , azken asaltoek beti heriotzaren kaudrilateroan jotzen bait dute amaierako kanpanilla .
#goldHeads=0,1,0,9,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,18,27,25,29,25,29,
#predictedHeads=0,1,0,7,6,7,9,7,11,9,0,13,14,11,14,15,18,11,18,21,25,25,24,25,18,25,26,29,25,29,
(12,4),-4.70126 # DEPENDENCYPART_ARC
(12,5),-1.5012 # DEPENDENCYPART_ARC
(12,6),-3.43789 # DEPENDENCYPART_ARC
(12,7),-2.1037 # DEPENDENCYPART_ARC
(12,8),-2.83147 # DEPENDENCYPART_ARC
(12,9),-2.89129 # DEPENDENCYPART_ARC
(12,10),-1.47363 # DEPENDENCYPART_ARC
(12,11),-1.05877 # DEPENDENCYPART_ARC
(12,13),0.526364 # DEPENDENCYPART_ARC
(12,14),-1.50215 # DEPENDENCYPART_ARC
(12,15),-1.44524 # DEPENDENCYPART_ARC
(12,16),-2.16899 # DEPENDENCYPART_ARC
(12,17),-1.83773 # DEPENDENCYPART_ARC
(12,18),-2.95189 # DEPENDENCYPART_ARC
(12,19),-1.44692 # DEPENDENCYPART_ARC
(12,20),-1.79387 # DEPENDENCYPART_ARC
(12,21),-2.20361 # DEPENDENCYPART_ARC
(12,22),-1.40168 # DEPENDENCYPART_ARC
(12,23),-2.29578 # DEPENDENCYPART_ARC
(12,24),-1.31516 # DEPENDENCYPART_ARC
(12,25),-2.37517 # DEPENDENCYPART_ARC
(12,26),-2.68568 # DEPENDENCYPART_ARC
(12,27),-2.77512 # DEPENDENCYPART_ARC
(12,28),-1.71765 # DEPENDENCYPART_ARC
(12,29),-2.8411 # DEPENDENCYPART_ARC
(12,30),-1.19292 # DEPENDENCYPART_ARC
(13,1),-1.89792 # DEPENDENCYPART_ARC
(13,2),-1.85018 # DEPENDENCYPART_ARC
(13,3),-1.66123 # DEPENDENCYPART_ARC
(13,4),-5.16411 # DEPENDENCYPART_ARC
(13,5),-0.802711 # DEPENDENCYPART_ARC
(13,6),-3.33461 # DEPENDENCYPART_ARC
(13,7),-1.97054 # DEPENDENCYPART_ARC
(13,8),-2.28133 # DEPENDENCYPART_ARC
(13,9),-3.19665 # DEPENDENCYPART_ARC
(13,10),-1.04466 # DEPENDENCYPART_ARC
(13,11),-0.603548 # DEPENDENCYPART_ARC
(13,12),1.19847 # DEPENDENCYPART_ARC
(13,14),-0.737829 # DEPENDENCYPART_ARC
(13,15),-0.845538 # DEPENDENCYPART_ARC
(13,16),-2.27881 # DEPENDENCYPART_ARC
(13,17),-2.25694 # DEPENDENCYPART_ARC
(13,18),-3.11927 # DEPENDENCYPART_ARC
(13,19),-1.47132 # DEPENDENCYPART_ARC
(13,20),-1.84199 # DEPENDENCYPART_ARC
(13,21),-2.93601 # DEPENDENCYPART_ARC
(13,22),-1.5004 # DEPENDENCYPART_ARC
(13,23),-3.39601 # DEPENDENCYPART_ARC
(13,24),-2.17055 # DEPENDENCYPART_ARC
(13,25),-2.2824 # DEPENDENCYPART_ARC
(13,26),-2.8723 # DEPENDENCYPART_ARC
(13,27),-3.59241 # DEPENDENCYPART_ARC
(13,28),-2.73176 # DEPENDENCYPART_ARC
(13,29),-3.7163 # DEPENDENCYPART_ARC
(13,30),-1.32635 # DEPENDENCYPART_ARC
(14,1),-1.36294 # DEPENDENCYPART_ARC
(14,2),-1.85788 # DEPENDENCYPART_ARC
(14,3),-1.71961 # DEPENDENCYPART_ARC
(14,4),-1.16199 # DEPENDENCYPART_ARC
(14,5),-1.15256 # DEPENDENCYPART_ARC
(14,6),-0.416925 # DEPENDENCYPART_ARC
(14,7),-1.10096 # DEPENDENCYPART_ARC
(14,8),-1.7525 # DEPENDENCYPART_ARC
(14,9),-2.54476 # DEPENDENCYPART_ARC
(14,10),-1.43085 # DEPENDENCYPART_ARC
(14,11),-0.541118 # DEPENDENCYPART_ARC
(14,12),0.177011 # DEPENDENCYPART_ARC
(14,13),2.46316 # DEPENDENCYPART_ARC
(14,15),0.929379 # DEPENDENCYPART_ARC
(14,16),-0.743105 # DEPENDENCYPART_ARC
(14,17),-2.00113 # DEPENDENCYPART_ARC
(14,18),-0.745412 # DEPENDENCYPART_ARC
(14,19),-0.652173 # DEPENDENCYPART_ARC
(14,20),-1.51987 # DEPENDENCYPART_ARC
(14,21),-1.08616 # DEPENDENCYPART_ARC
(14,22),-1.08869 # DEPENDENCYPART_ARC
(14,23),-2.14038 # DEPENDENCYPART_ARC
(14,24),-0.634038 # DEPENDENCYPART_ARC
(14,25),-2.03736 # DEPENDENCYPART_ARC
(14,26),-0.999818 # DEPENDENCYPART_ARC
(14,27),-3.10634 # DEPENDENCYPART_ARC
(14,28),-2.26866 # DEPENDENCYPART_ARC
(14,29),-1.04444 # DEPENDENCYPART_ARC
(14,30),-1.48142 # DEPENDENCYPART_ARC
(15,1),-1.67443 # DEPENDENCYPART_ARC
(15,2),-1.53213 # DEPENDENCYPART_ARC
(15,3),-1.64654 # DEPENDENCYPART_ARC
(15,6),-2.50444 # DEPENDENCYPART_ARC
(15,7),-2.14461 # DEPENDENCYPART_ARC
(15,10),-1.33354 # DEPENDENCYPART_ARC
(15,11),-0.816312 # DEPENDENCYPART_ARC
(15,12),-0.785653 # DEPENDENCYPART_ARC
(15,13),-0.580444 # DEPENDENCYPART_ARC
(15,14),-0.311564 # DEPENDENCYPART_ARC
(15,16),2.50828 # DEPENDENCYPART_ARC
(15,18),-1.00331 # DEPENDENCYPART_ARC
(15,19),-0.343575 # DEPENDENCYPART_ARC
(15,21),-1.15622 # DEPENDENCYPART_ARC
(15,22),-0.689499 # DEPENDENCYPART_ARC
(15,23),-1.22418 # DEPENDENCYPART_ARC
(15,24),-1.05821 # DEPENDENCYPART_ARC
(15,25),-1.11653 # DEPENDENCYPART_ARC
(15,28),-1.33049 # DEPENDENCYPART_ARC
(15,29),-1.33598 # DEPENDENCYPART_ARC
(15,30),-0.985732 # DEPENDENCYPART_ARC
(16,1),-1.66732 # DEPENDENCYPART_ARC
(16,2),-1.67338 # DEPENDENCYPART_ARC
(16,3),-1.56739 # DEPENDENCYPART_ARC
(16,4),-1.89453 # DEPENDENCYPART_ARC
(16,6),-1.69395 # DEPENDENCYPART_ARC
(16,7),-1.9253 # DEPENDENCYPART_ARC
(16,10),-1.39851 # DEPENDENCYPART_ARC
(16,11),-1.20788 # DEPENDENCYPART_ARC
(16,12),-1.63341 # DEPENDENCYPART_ARC
(16,13),-1.5091 # DEPENDENCYPART_ARC
(16,14),-1.18349 # DEPENDENCYPART_ARC
(16,18),-0.646356 # DEPENDENCYPART_ARC
(16,19),0.0134334 # DEPENDENCYPART_ARC
(16,21),-1.09877 # DEPENDENCYPART_ARC
(16,23),-1.09706 # DEPENDENCYPART_ARC
(16,24),-1.31419 # DEPENDENCYPART_ARC
(16,25),-0.957858 # DEPENDENCYPART_ARC
(16,26),-0.650485 # DEPENDENCYPART_ARC
(16,28),-1.33592 # DEPENDENCYPART_ARC
(16,29),-1.89197 # DEPENDENCYPART_ARC
(16,30),-0.511397 # DEPENDENCYPART_ARC
(17,1),-1.64757 # DEPENDENCYPART_ARC
(17,2),-1.57178 # DEPENDENCYPART_ARC
(17,3),-1.58267 # DEPENDENCYPART_ARC
(17,4),-0.835362 # DEPENDENCYPART_ARC
(17,6),-1.03107 # DEPENDENCYPART_ARC
(17,7),-2.60123 # DEPENDENCYPART_ARC
(17,8),-1.18323 # DEPENDENCYPART_ARC
(17,9),-2.31128 # DEPENDENCYPART_ARC
(17,10),-1.36609 # DEPENDENCYPART_ARC
(17,11),-1.24752 # DEPENDENCYPART_ARC
(17,12),-0.870226 # DEPENDENCYPART_ARC
(17,13),-0.834072 # DEPENDENCYPART_ARC
(17,14),-1.28924 # DEPENDENCYPART_ARC
(17,16),0.138703 # DEPENDENCYPART_ARC
(17,18),-0.323939 # DEPENDENCYPART_ARC
(17,19),0.444263 # DEPENDENCYPART_ARC
(17,21),-0.60762 # DEPENDENCYPART_ARC
(17,22),-0.501162 # DEPENDENCYPART_ARC
(17,23),-1.51897 # DEPENDENCYPART_ARC
(17,24),-1.16282 # DEPENDENCYPART_ARC
(17,25),-1.49351 # DEPENDENCYPART_ARC
(17,26),-0.572174 # DEPENDENCYPART_ARC
(17,27),-0.38287 # DEPENDENCYPART_ARC
(17,28),-1.76382 # DEPENDENCYPART_ARC
(17,29),-1.68194 # DEPENDENCYPART_ARC
(17,30),-1.02597 # DEPENDENCYPART_ARC
(18,1),-0.974714 # DEPENDENCYPART_ARC
(18,2),-1.39156 # DEPENDENCYPART_ARC
(18,3),-1.12067 # DEPENDENCYPART_ARC
(18,4),-0.113709 # DEPENDENCYPART_ARC
(18,5),-1.06533 # DEPENDENCYPART_ARC
(18,6),-0.813753 # DEPENDENCYPART_ARC
(18,7),-0.0359416 # DEPENDENCYPART_ARC
(18,8),-1.25956 # DEPENDENCYPART_ARC
(18,9),-1.43485 # DEPENDENCYPART_ARC
(18,10),-1.12291 # DEPENDENCYPART_ARC
(18,11),0.00269051 # DEPENDENCYPART_ARC
(18,12),-0.954622 # DEPENDENCYPART_ARC
(18,13),0.819457 # DEPENDENCYPART_ARC
(18,14),0.135499 # DEPENDENCYPART_ARC
(18,15),-0.128538 # DEPENDENCYPART_ARC
(18,16),1.30443 # DEPENDENCYPART_ARC
(18,17),1.436 # DEPENDENCYPART_ARC
(18,19),1.68067 # DEPENDENCYPART_ARC
(18,20),-0.0654622 # DEPENDENCYPART_ARC
(18,21),0.137568 # DEPENDENCYPART_ARC
(18,22),-0.505286 # DEPENDENCYPART_ARC
(18,23),-0.779893 # DEPENDENCYPART_ARC
(18,24),-0.129565 # DEPENDENCYPART_ARC
(18,25),-0.553984 # DEPENDENCYPART_ARC
(18,26),-0.519792 # DEPENDENCYPART_ARC
(18,27),-1.15519 # DEPENDENCYPART_ARC
(18,28),-1.90065 # DEPENDENCYPART_ARC
(18,29),-0.321153 # DEPENDENCYPART_ARC
(18,30),-0.657458 # DEPENDENCYPART_ARC
(19,1),-1.34314 # DEPENDENCYPART_ARC
(19,3),-1.33969 # DEPENDENCYPART_ARC
(19,4),-1.07339 # DEPENDENCYPART_ARC
(19,6),-0.868829 # DEPENDENCYPART_ARC
(19,7),-1.05727 # DEPENDENCYPART_ARC
(19,8),-1.16441 # DEPENDENCYPART_ARC
(19,9),-1.10713 # DEPENDENCYPART_ARC
(19,11),-0.509231 # DEPENDENCYPART_ARC
(19,12),-0.846762 # DEPENDENCYPART_ARC
(19,13),-0.812861 # DEPENDENCYPART_ARC
(19,14),-0.784492 # DEPENDENCYPART_ARC
(19,15),-1.25938 # DEPENDENCYPART_ARC
(19,17),-0.657713 # DEPENDENCYPART_ARC
(19,18),0.30276 # DEPENDENCYPART_ARC
(19,21),-1.17772 # DEPENDENCYPART_ARC
(19,23),-1.09423 # DEPENDENCYPART_ARC
(19,24),-1.15607 # DEPENDENCYPART_ARC
(19,25),-1.47992 # DEPENDENCYPART_ARC
(19,27),-1.55064 # DEPENDENCYPART_ARC
(19,28),-1.74062 # DEPENDENCYPART_ARC
(19,29),-1.60503 # DEPENDENCYPART_ARC
(20,7),-2.13875 # DEPENDENCYPART_ARC
(20,10),-1.59938 # DEPENDENCYPART_ARC
(20,14),-1.88655 # DEPENDENCYPART_ARC
(20,18),-0.856958 # DEPENDENCYPART_ARC
(20,19),-0.044717 # DEPENDENCYPART_ARC
(20,25),-0.876706 # DEPENDENCYPART_ARC
(20,30),-1.014 # DEPENDENCYPART_ARC
(21,1),-1.58693 # DEPENDENCYPART_ARC
(21,2),-1.598 # DEPENDENCYPART_ARC
(21,3),-1.45134 # DEPENDENCYPART_ARC
(21,4),-2.94779 # DEPENDENCYPART_ARC
(21,5),-0.659168 # DEPENDENCYPART_ARC
(21,6),-2.21744 # DEPENDENCYPART_ARC
(21,7),-1.34998 # DEPENDENCYPART_ARC
(21,8),-1.44639 # DEPENDENCYPART_ARC
(21,9),-2.65895 # DEPENDENCYPART_ARC
(21,10),-1.45197 # DEPENDENCYPART_ARC
(21,11),-0.479679 # DEPENDENCYPART_ARC
(21,12),-0.170949 # DEPENDENCYPART_ARC
(21,13),-1.33517 # DEPENDENCYPART_ARC
(21,14),-2.43705 # DEPENDENCYPART_ARC
(21,15),-0.631006 # DEPENDENCYPART_ARC
(21,16),-0.299197 # DEPENDENCYPART_ARC
(21,17),-1.20747 # DEPENDENCYPART_ARC
(21,18),-0.225643 # DEPENDENCYPART_ARC
(21,19),-0.400496 # DEPENDENCYPART_ARC
(21,20),1.94812 # DEPENDENCYPART_ARC
(21,22),-0.270633 # DEPENDENCYPART_ARC
(21,23),-2.0223 # DEPENDENCYPART_ARC
(21,24),-1.56325 # DEPENDENCYPART_ARC
