# _root_ galtza beltzak jantzi , alkandora zuria lotu eta txaleko gorria sartu nuen sorbaldetan_behera , ( )
#goldHeads=3,1,8,3,7,5,8,0,11,9,8,11,11,13,0,0,
#predictedHeads=3,1,8,3,7,5,8,0,11,9,8,11,11,13,0,0,
(3,11),-0.350452 # DEPENDENCYPART_ARC
(3,12),-0.426106 # DEPENDENCYPART_ARC
(3,13),-0.508055 # DEPENDENCYPART_ARC
(3,14),-0.484299 # DEPENDENCYPART_ARC
(3,15),-0.724482 # DEPENDENCYPART_ARC
(3,16),-0.944441 # DEPENDENCYPART_ARC
(4,1),-0.810609 # DEPENDENCYPART_ARC
(4,2),-0.794312 # DEPENDENCYPART_ARC
(4,3),-0.0875593 # DEPENDENCYPART_ARC
(4,5),-0.908337 # DEPENDENCYPART_ARC
(4,6),-0.612731 # DEPENDENCYPART_ARC
(4,7),-0.586379 # DEPENDENCYPART_ARC
(4,8),-0.949512 # DEPENDENCYPART_ARC
(4,9),-1.68357 # DEPENDENCYPART_ARC
(4,10),-0.980544 # DEPENDENCYPART_ARC
(4,11),-0.875039 # DEPENDENCYPART_ARC
(4,12),-1.19408 # DEPENDENCYPART_ARC
(4,13),-2.04686 # DEPENDENCYPART_ARC
(4,15),-0.809018 # DEPENDENCYPART_ARC
(4,16),-1.11872 # DEPENDENCYPART_ARC
(5,1),-0.739039 # DEPENDENCYPART_ARC
(5,2),-1.45295 # DEPENDENCYPART_ARC
(5,3),0.0322963 # DEPENDENCYPART_ARC
(5,4),-0.0943843 # DEPENDENCYPART_ARC
(5,6),2.74922 # DEPENDENCYPART_ARC
(5,7),-0.262955 # DEPENDENCYPART_ARC
(5,8),-0.445365 # DEPENDENCYPART_ARC
(5,9),-0.807842 # DEPENDENCYPART_ARC
(5,10),0.603119 # DEPENDENCYPART_ARC
(5,11),-1.3105 # DEPENDENCYPART_ARC
(5,12),-1.24014 # DEPENDENCYPART_ARC
(5,13),-0.952511 # DEPENDENCYPART_ARC
(5,14),-0.765424 # DEPENDENCYPART_ARC
(5,15),-1.19412 # DEPENDENCYPART_ARC
(5,16),-1.00345 # DEPENDENCYPART_ARC
(6,1),-1.70743 # DEPENDENCYPART_ARC
(6,2),-2.43014 # DEPENDENCYPART_ARC
(6,3),-0.979955 # DEPENDENCYPART_ARC
(6,4),-1.10376 # DEPENDENCYPART_ARC
(6,5),0.0558254 # DEPENDENCYPART_ARC
(6,7),-0.49841 # DEPENDENCYPART_ARC
(6,8),-1.06533 # DEPENDENCYPART_ARC
(6,9),-1.51147 # DEPENDENCYPART_ARC
(6,10),-1.62884 # DEPENDENCYPART_ARC
(6,11),-2.28994 # DEPENDENCYPART_ARC
(6,12),-1.76046 # DEPENDENCYPART_ARC
(6,13),-1.77348 # DEPENDENCYPART_ARC
(6,14),-0.986658 # DEPENDENCYPART_ARC
(6,15),-1.03264 # DEPENDENCYPART_ARC
(6,16),-0.981109 # DEPENDENCYPART_ARC
(7,1),0.304955 # DEPENDENCYPART_ARC
(7,2),-0.393825 # DEPENDENCYPART_ARC
(7,3),-0.504752 # DEPENDENCYPART_ARC
(7,4),-0.67653 # DEPENDENCYPART_ARC
(7,5),1.45641 # DEPENDENCYPART_ARC
(7,6),1.16277 # DEPENDENCYPART_ARC
(7,8),0.142415 # DEPENDENCYPART_ARC
(7,9),-0.656558 # DEPENDENCYPART_ARC
(7,10),-0.919405 # DEPENDENCYPART_ARC
(7,11),-0.554464 # DEPENDENCYPART_ARC
(7,12),-0.409524 # DEPENDENCYPART_ARC
(7,13),-0.486099 # DEPENDENCYPART_ARC
(7,14),-1.10801 # DEPENDENCYPART_ARC
(7,15),-1.2798 # DEPENDENCYPART_ARC
(7,16),-1.32705 # DEPENDENCYPART_ARC
(8,1),-0.323014 # DEPENDENCYPART_ARC
(8,2),-1.30254 # DEPENDENCYPART_ARC
(8,3),0.34454 # DEPENDENCYPART_ARC
(8,4),-1.20856 # DEPENDENCYPART_ARC
(8,5),0.42192 # DEPENDENCYPART_ARC
(8,6),-0.114014 # DEPENDENCYPART_ARC
(8,7),2.35708 # DEPENDENCYPART_ARC
(8,9),0.174368 # DEPENDENCYPART_ARC
(8,10),0.397942 # DEPENDENCYPART_ARC
(8,11),1.35646 # DEPENDENCYPART_ARC
(8,12),-0.505891 # DEPENDENCYPART_ARC
(8,13),0.181584 # DEPENDENCYPART_ARC
(8,14),-0.65902 # DEPENDENCYPART_ARC
(8,15),-0.642153 # DEPENDENCYPART_ARC
(8,16),-0.893006 # DEPENDENCYPART_ARC
(9,1),-1.91574 # DEPENDENCYPART_ARC
(9,2),-3.16611 # DEPENDENCYPART_ARC
(9,3),-1.94436 # DEPENDENCYPART_ARC
(9,4),-2.38013 # DEPENDENCYPART_ARC
(9,5),-1.38158 # DEPENDENCYPART_ARC
(9,6),-2.59809 # DEPENDENCYPART_ARC
(9,7),-0.275948 # DEPENDENCYPART_ARC
(9,8),-0.813974 # DEPENDENCYPART_ARC
(9,10),2.4167 # DEPENDENCYPART_ARC
(9,11),-1.02949 # DEPENDENCYPART_ARC
(9,12),-1.09807 # DEPENDENCYPART_ARC
(9,13),-0.984246 # DEPENDENCYPART_ARC
(9,14),-0.64754 # DEPENDENCYPART_ARC
(9,15),-1.16253 # DEPENDENCYPART_ARC
(9,16),-0.988243 # DEPENDENCYPART_ARC
(10,1),-1.92946 # DEPENDENCYPART_ARC
(10,2),-2.60027 # DEPENDENCYPART_ARC
(10,3),-1.40132 # DEPENDENCYPART_ARC
(10,4),-1.47024 # DEPENDENCYPART_ARC
(10,5),-1.25436 # DEPENDENCYPART_ARC
(10,6),-2.55504 # DEPENDENCYPART_ARC
(10,7),-0.728722 # DEPENDENCYPART_ARC
(10,8),-0.63389 # DEPENDENCYPART_ARC
(10,9),0.207249 # DEPENDENCYPART_ARC
(10,11),-1.28175 # DEPENDENCYPART_ARC
(10,12),-1.12572 # DEPENDENCYPART_ARC
(10,13),-1.4421 # DEPENDENCYPART_ARC
(10,14),-0.724485 # DEPENDENCYPART_ARC
(10,15),-0.840547 # DEPENDENCYPART_ARC
(10,16),-0.792799 # DEPENDENCYPART_ARC
(11,1),0.0805554 # DEPENDENCYPART_ARC
(11,2),-1.1908 # DEPENDENCYPART_ARC
(11,3),-0.408037 # DEPENDENCYPART_ARC
(11,4),-1.20883 # DEPENDENCYPART_ARC
(11,5),0.071846 # DEPENDENCYPART_ARC
(11,6),-0.935086 # DEPENDENCYPART_ARC
(11,7),0.218483 # DEPENDENCYPART_ARC
(11,8),0.600088 # DEPENDENCYPART_ARC
(11,9),1.04248 # DEPENDENCYPART_ARC
(11,10),0.360644 # DEPENDENCYPART_ARC
(11,12),2.08849 # DEPENDENCYPART_ARC
(11,13),2.06894 # DEPENDENCYPART_ARC
(11,14),-0.0279171 # DEPENDENCYPART_ARC
(11,15),-0.226725 # DEPENDENCYPART_ARC
(11,16),-0.269161 # DEPENDENCYPART_ARC
(12,1),-1.82872 # DEPENDENCYPART_ARC
(12,2),-2.11526 # DEPENDENCYPART_ARC
(12,3),-2.18528 # DEPENDENCYPART_ARC
(12,4),-1.79026 # DEPENDENCYPART_ARC
(12,5),-1.47383 # DEPENDENCYPART_ARC
(12,6),-2.2769 # DEPENDENCYPART_ARC
(12,7),-2.1069 # DEPENDENCYPART_ARC
(12,8),-1.48946 # DEPENDENCYPART_ARC
(12,9),-0.758402 # DEPENDENCYPART_ARC
(12,10),-1.47757 # DEPENDENCYPART_ARC
(12,11),-1.37382 # DEPENDENCYPART_ARC
(12,13),-0.0919955 # DEPENDENCYPART_ARC
(12,14),-0.341264 # DEPENDENCYPART_ARC
(12,15),-0.677697 # DEPENDENCYPART_ARC
(12,16),-0.919166 # DEPENDENCYPART_ARC
(13,1),-1.13474 # DEPENDENCYPART_ARC
(13,2),-5.40846 # DEPENDENCYPART_ARC
(13,3),-1.45816 # DEPENDENCYPART_ARC
(13,4),-1.69495 # DEPENDENCYPART_ARC
(13,5),-0.777063 # DEPENDENCYPART_ARC
(13,6),-4.71899 # DEPENDENCYPART_ARC
(13,7),-0.845761 # DEPENDENCYPART_ARC
(13,8),0.289645 # DEPENDENCYPART_ARC
(13,9),-0.174454 # DEPENDENCYPART_ARC
(13,10),-3.8987 # DEPENDENCYPART_ARC
(13,11),-0.577627 # DEPENDENCYPART_ARC
(13,12),0.00203235 # DEPENDENCYPART_ARC
(13,14),1.59601 # DEPENDENCYPART_ARC
(13,15),-0.180736 # DEPENDENCYPART_ARC
(13,16),-0.555607 # DEPENDENCYPART_ARC
(14,1),-1.56241 # DEPENDENCYPART_ARC
(14,2),-1.68509 # DEPENDENCYPART_ARC
(14,3),-1.35178 # DEPENDENCYPART_ARC
(14,5),-1.44821 # DEPENDENCYPART_ARC
(14,6),-1.42933 # DEPENDENCYPART_ARC
(14,7),-0.947268 # DEPENDENCYPART_ARC
(14,8),-0.923048 # DEPENDENCYPART_ARC
(14,9),-1.22772 # DEPENDENCYPART_ARC
(14,10),-1.13389 # DEPENDENCYPART_ARC
(14,11),-0.404921 # DEPENDENCYPART_ARC
(14,12),-0.959752 # DEPENDENCYPART_ARC
(14,13),-0.422872 # DEPENDENCYPART_ARC
(14,15),1.48702 # DEPENDENCYPART_ARC
(14,16),0.317732 # DEPENDENCYPART_ARC
(15,1),-1.72131 # DEPENDENCYPART_ARC
(15,2),-2.04411 # DEPENDENCYPART_ARC
(15,3),-2.34243 # DEPENDENCYPART_ARC
(15,4),-1.88671 # DEPENDENCYPART_ARC
(15,5),-1.67536 # DEPENDENCYPART_ARC
(15,6),-2.00722 # DEPENDENCYPART_ARC
(15,7),-1.9167 # DEPENDENCYPART_ARC
(15,9),-1.58188 # DEPENDENCYPART_ARC
(15,10),-1.75774 # DEPENDENCYPART_ARC
(15,11),-1.64488 # DEPENDENCYPART_ARC
(15,12),-1.18555 # DEPENDENCYPART_ARC
(15,13),-1.36572 # DEPENDENCYPART_ARC
(15,14),-0.854053 # DEPENDENCYPART_ARC
(15,16),0.771765 # DEPENDENCYPART_ARC
(16,1),-1.43133 # DEPENDENCYPART_ARC
(16,2),-1.96935 # DEPENDENCYPART_ARC
(16,3),-2.12352 # DEPENDENCYPART_ARC
(16,4),-1.73727 # DEPENDENCYPART_ARC
(16,5),-1.49104 # DEPENDENCYPART_ARC
(16,6),-1.81974 # DEPENDENCYPART_ARC
(16,7),-1.95136 # DEPENDENCYPART_ARC
(16,9),-1.39935 # DEPENDENCYPART_ARC
(16,10),-1.68969 # DEPENDENCYPART_ARC
(16,11),-1.83447 # DEPENDENCYPART_ARC
(16,12),-1.24069 # DEPENDENCYPART_ARC
(16,13),-1.24204 # DEPENDENCYPART_ARC
(16,14),-1.41928 # DEPENDENCYPART_ARC
(16,15),-0.654782 # DEPENDENCYPART_ARC
