# _root_ horren_ondotik , " gatazka-egoeraren_gainetik " , " geure auzolana indartzeko " deia egiten da .
#goldHeads=13,1,2,1,4,5,6,9,10,12,10,13,0,13,14,
#predictedHeads=13,1,2,10,4,5,6,9,10,12,10,13,0,13,14,
(2,13),-1.36795 # DEPENDENCYPART_ARC
(2,14),-1.24991 # DEPENDENCYPART_ARC
(3,2),-0.927446 # DEPENDENCYPART_ARC
(3,4),-1.05926 # DEPENDENCYPART_ARC
(3,5),-0.00722936 # DEPENDENCYPART_ARC
(3,6),-0.0236225 # DEPENDENCYPART_ARC
(3,7),-0.490224 # DEPENDENCYPART_ARC
(3,9),-1.48087 # DEPENDENCYPART_ARC
(3,10),-1.60276 # DEPENDENCYPART_ARC
(3,11),-1.24481 # DEPENDENCYPART_ARC
(3,12),-1.92972 # DEPENDENCYPART_ARC
(3,13),-1.78122 # DEPENDENCYPART_ARC
(3,14),-1.16562 # DEPENDENCYPART_ARC
(3,15),-1.61139 # DEPENDENCYPART_ARC
(4,1),-1.49449 # DEPENDENCYPART_ARC
(4,2),-0.923321 # DEPENDENCYPART_ARC
(4,3),-0.219628 # DEPENDENCYPART_ARC
(4,5),2.3027 # DEPENDENCYPART_ARC
(4,6),0.588886 # DEPENDENCYPART_ARC
(4,7),0.0327934 # DEPENDENCYPART_ARC
(4,8),-1.31889 # DEPENDENCYPART_ARC
(4,9),-1.41552 # DEPENDENCYPART_ARC
(4,10),-1.42706 # DEPENDENCYPART_ARC
(4,11),-0.335555 # DEPENDENCYPART_ARC
(4,12),-2.17416 # DEPENDENCYPART_ARC
(4,13),-1.03548 # DEPENDENCYPART_ARC
(4,14),-1.40581 # DEPENDENCYPART_ARC
(4,15),-0.304075 # DEPENDENCYPART_ARC
(5,2),-1.31358 # DEPENDENCYPART_ARC
(5,3),-1.41734 # DEPENDENCYPART_ARC
(5,4),-0.841427 # DEPENDENCYPART_ARC
(5,6),1.76376 # DEPENDENCYPART_ARC
(5,7),0.47956 # DEPENDENCYPART_ARC
(5,9),-0.907212 # DEPENDENCYPART_ARC
(5,10),-1.44836 # DEPENDENCYPART_ARC
(5,11),-0.679931 # DEPENDENCYPART_ARC
(5,12),-1.26785 # DEPENDENCYPART_ARC
(5,13),-1.64168 # DEPENDENCYPART_ARC
(5,14),-1.36106 # DEPENDENCYPART_ARC
(5,15),-1.09731 # DEPENDENCYPART_ARC
(6,3),-0.75997 # DEPENDENCYPART_ARC
(6,4),-0.689706 # DEPENDENCYPART_ARC
(6,5),-0.219368 # DEPENDENCYPART_ARC
(6,7),1.98099 # DEPENDENCYPART_ARC
(6,9),-0.334413 # DEPENDENCYPART_ARC
(6,10),-0.78311 # DEPENDENCYPART_ARC
(6,11),-0.0282782 # DEPENDENCYPART_ARC
(6,12),-0.833984 # DEPENDENCYPART_ARC
(6,13),-1.09828 # DEPENDENCYPART_ARC
(6,14),-0.720522 # DEPENDENCYPART_ARC
(7,2),-1.63828 # DEPENDENCYPART_ARC
(7,3),-1.41977 # DEPENDENCYPART_ARC
(7,4),-1.03393 # DEPENDENCYPART_ARC
(7,5),-1.35053 # DEPENDENCYPART_ARC
(7,6),-0.549031 # DEPENDENCYPART_ARC
(7,9),-1.15861 # DEPENDENCYPART_ARC
(7,10),-1.17755 # DEPENDENCYPART_ARC
(7,11),-0.340348 # DEPENDENCYPART_ARC
(7,12),-1.34425 # DEPENDENCYPART_ARC
(7,13),-1.56833 # DEPENDENCYPART_ARC
(7,14),-1.00709 # DEPENDENCYPART_ARC
(7,15),-0.881227 # DEPENDENCYPART_ARC
(8,15),-0.537334 # DEPENDENCYPART_ARC
(9,1),-2.23393 # DEPENDENCYPART_ARC
(9,2),-1.6457 # DEPENDENCYPART_ARC
(9,3),-1.71661 # DEPENDENCYPART_ARC
(9,4),-1.60574 # DEPENDENCYPART_ARC
(9,5),-1.57533 # DEPENDENCYPART_ARC
(9,6),-1.04996 # DEPENDENCYPART_ARC
(9,7),-0.887869 # DEPENDENCYPART_ARC
(9,8),2.11074 # DEPENDENCYPART_ARC
(9,10),-0.412635 # DEPENDENCYPART_ARC
(9,11),-0.279703 # DEPENDENCYPART_ARC
(9,12),-1.00157 # DEPENDENCYPART_ARC
(9,13),-1.56001 # DEPENDENCYPART_ARC
(9,14),-1.9665 # DEPENDENCYPART_ARC
(9,15),-1.01994 # DEPENDENCYPART_ARC
(10,1),-1.6334 # DEPENDENCYPART_ARC
(10,2),-0.86947 # DEPENDENCYPART_ARC
(10,3),-1.3109 # DEPENDENCYPART_ARC
(10,4),0.00584962 # DEPENDENCYPART_ARC
(10,5),-1.24168 # DEPENDENCYPART_ARC
(10,6),-0.972869 # DEPENDENCYPART_ARC
(10,7),-1.10016 # DEPENDENCYPART_ARC
(10,8),0.488537 # DEPENDENCYPART_ARC
(10,9),2.42895 # DEPENDENCYPART_ARC
(10,11),1.58774 # DEPENDENCYPART_ARC
(10,12),-1.94107 # DEPENDENCYPART_ARC
(10,13),-1.48337 # DEPENDENCYPART_ARC
(10,14),-1.05039 # DEPENDENCYPART_ARC
(10,15),-0.875559 # DEPENDENCYPART_ARC
(11,2),-1.82327 # DEPENDENCYPART_ARC
(11,3),-1.61373 # DEPENDENCYPART_ARC
(11,4),-1.50465 # DEPENDENCYPART_ARC
(11,5),-1.57912 # DEPENDENCYPART_ARC
(11,6),-1.61981 # DEPENDENCYPART_ARC
(11,7),-1.42433 # DEPENDENCYPART_ARC
(11,9),-0.85189 # DEPENDENCYPART_ARC
(11,10),-0.373371 # DEPENDENCYPART_ARC
(11,12),-0.886698 # DEPENDENCYPART_ARC
(11,13),-1.00652 # DEPENDENCYPART_ARC
(11,14),-0.830834 # DEPENDENCYPART_ARC
(11,15),-0.297324 # DEPENDENCYPART_ARC
(12,1),-2.57035 # DEPENDENCYPART_ARC
(12,2),-1.60409 # DEPENDENCYPART_ARC
(12,3),-1.56498 # DEPENDENCYPART_ARC
(12,4),-2.32014 # DEPENDENCYPART_ARC
(12,5),-1.664 # DEPENDENCYPART_ARC
(12,6),-1.35503 # DEPENDENCYPART_ARC
(12,7),-1.37325 # DEPENDENCYPART_ARC
(12,8),0.265682 # DEPENDENCYPART_ARC
(12,9),-1.77877 # DEPENDENCYPART_ARC
(12,10),0.894715 # DEPENDENCYPART_ARC
(12,11),0.0211986 # DEPENDENCYPART_ARC
(12,13),0.104795 # DEPENDENCYPART_ARC
(12,14),-0.386901 # DEPENDENCYPART_ARC
(12,15),-0.213222 # DEPENDENCYPART_ARC
(13,1),-0.950042 # DEPENDENCYPART_ARC
(13,2),-1.26837 # DEPENDENCYPART_ARC
(13,3),-1.55283 # DEPENDENCYPART_ARC
(13,4),-0.430355 # DEPENDENCYPART_ARC
(13,5),-1.51491 # DEPENDENCYPART_ARC
(13,6),-1.36841 # DEPENDENCYPART_ARC
(13,7),-1.61237 # DEPENDENCYPART_ARC
(13,8),-1.09699 # DEPENDENCYPART_ARC
(13,9),0.119607 # DEPENDENCYPART_ARC
(13,10),-0.353345 # DEPENDENCYPART_ARC
(13,11),-1.11997 # DEPENDENCYPART_ARC
(13,12),2.32265 # DEPENDENCYPART_ARC
(13,14),1.18454 # DEPENDENCYPART_ARC
(13,15),-0.306662 # DEPENDENCYPART_ARC
(14,1),-1.04585 # DEPENDENCYPART_ARC
(14,2),-1.946 # DEPENDENCYPART_ARC
(14,3),-1.85586 # DEPENDENCYPART_ARC
(14,4),-1.36596 # DEPENDENCYPART_ARC
(14,5),-1.71905 # DEPENDENCYPART_ARC
(14,6),-1.65412 # DEPENDENCYPART_ARC
(14,7),-1.56545 # DEPENDENCYPART_ARC
(14,9),-0.804842 # DEPENDENCYPART_ARC
(14,10),-1.18023 # DEPENDENCYPART_ARC
(14,11),-1.12514 # DEPENDENCYPART_ARC
(14,12),-0.455402 # DEPENDENCYPART_ARC
(14,13),-0.966195 # DEPENDENCYPART_ARC
(14,15),1.61437 # DEPENDENCYPART_ARC
(15,2),-1.78473 # DEPENDENCYPART_ARC
(15,3),-1.84384 # DEPENDENCYPART_ARC
(15,4),-2.08893 # DEPENDENCYPART_ARC
(15,5),-1.72572 # DEPENDENCYPART_ARC
(15,6),-1.68224 # DEPENDENCYPART_ARC
(15,7),-1.5723 # DEPENDENCYPART_ARC
(15,9),-1.2407 # DEPENDENCYPART_ARC
(15,10),-1.70617 # DEPENDENCYPART_ARC
(15,11),-1.44338 # DEPENDENCYPART_ARC
(15,12),-0.728767 # DEPENDENCYPART_ARC
(15,13),-1.16089 # DEPENDENCYPART_ARC
