# _root_ jeltzaleen jarrerari_buruz mintzatu zen eta , adierazi zuenez , " konturatu behar_dute haien apustuak kale_egin duela eta estatutuaren bidera itzuli beharko dute " .
#goldHeads=2,3,5,3,0,5,17,7,8,9,17,11,14,15,11,15,0,19,20,17,20,21,22,23,
#predictedHeads=2,3,5,3,0,5,5,7,8,9,12,17,14,15,17,15,0,19,20,21,17,21,22,23,
(2,15),-2.76902 # DEPENDENCYPART_ARC
(2,16),-3.527 # DEPENDENCYPART_ARC
(2,17),-1.4838 # DEPENDENCYPART_ARC
(2,18),-2.06141 # DEPENDENCYPART_ARC
(2,19),-1.67181 # DEPENDENCYPART_ARC
(2,20),-2.10071 # DEPENDENCYPART_ARC
(2,21),-2.112 # DEPENDENCYPART_ARC
(2,22),-3.61554 # DEPENDENCYPART_ARC
(2,23),-1.95628 # DEPENDENCYPART_ARC
(2,24),-1.74849 # DEPENDENCYPART_ARC
(3,1),0.175431 # DEPENDENCYPART_ARC
(3,2),2.33912 # DEPENDENCYPART_ARC
(3,4),1.85742 # DEPENDENCYPART_ARC
(3,5),0.127588 # DEPENDENCYPART_ARC
(3,6),-0.690809 # DEPENDENCYPART_ARC
(3,7),-0.573567 # DEPENDENCYPART_ARC
(3,8),0.154626 # DEPENDENCYPART_ARC
(3,9),-1.1267 # DEPENDENCYPART_ARC
(3,10),-0.934119 # DEPENDENCYPART_ARC
(3,11),-0.937097 # DEPENDENCYPART_ARC
(3,12),-1.92349 # DEPENDENCYPART_ARC
(3,13),-2.37998 # DEPENDENCYPART_ARC
(3,14),-1.06736 # DEPENDENCYPART_ARC
(3,15),-1.26919 # DEPENDENCYPART_ARC
(3,16),-0.742642 # DEPENDENCYPART_ARC
(3,17),-0.633938 # DEPENDENCYPART_ARC
(3,18),-2.95085 # DEPENDENCYPART_ARC
(3,19),-1.63589 # DEPENDENCYPART_ARC
(3,20),-1.60977 # DEPENDENCYPART_ARC
(3,21),-2.44617 # DEPENDENCYPART_ARC
(3,22),-1.72249 # DEPENDENCYPART_ARC
(3,23),-1.79066 # DEPENDENCYPART_ARC
(3,24),-1.93032 # DEPENDENCYPART_ARC
(4,1),-0.864449 # DEPENDENCYPART_ARC
(4,2),-0.974277 # DEPENDENCYPART_ARC
(4,3),-1.3366 # DEPENDENCYPART_ARC
(4,5),-0.0400188 # DEPENDENCYPART_ARC
(4,6),-0.374613 # DEPENDENCYPART_ARC
(4,7),-1.92732 # DEPENDENCYPART_ARC
(4,8),-0.47974 # DEPENDENCYPART_ARC
(4,9),-0.585838 # DEPENDENCYPART_ARC
(4,10),-0.857382 # DEPENDENCYPART_ARC
(4,11),-1.84155 # DEPENDENCYPART_ARC
(4,12),-1.76725 # DEPENDENCYPART_ARC
(4,13),-2.13539 # DEPENDENCYPART_ARC
(4,14),-1.792 # DEPENDENCYPART_ARC
(4,15),-2.25451 # DEPENDENCYPART_ARC
(4,16),-1.09998 # DEPENDENCYPART_ARC
(4,17),-2.77971 # DEPENDENCYPART_ARC
(4,18),-2.56627 # DEPENDENCYPART_ARC
(4,19),-2.35314 # DEPENDENCYPART_ARC
(4,20),-1.99407 # DEPENDENCYPART_ARC
(4,21),-1.42994 # DEPENDENCYPART_ARC
(4,22),-1.32491 # DEPENDENCYPART_ARC
(4,23),-1.32616 # DEPENDENCYPART_ARC
(4,24),-1.96789 # DEPENDENCYPART_ARC
(5,1),-0.56937 # DEPENDENCYPART_ARC
(5,2),-0.841754 # DEPENDENCYPART_ARC
(5,3),1.97973 # DEPENDENCYPART_ARC
(5,4),0.0492004 # DEPENDENCYPART_ARC
(5,6),1.99612 # DEPENDENCYPART_ARC
(5,7),1.35962 # DEPENDENCYPART_ARC
(5,8),0.326235 # DEPENDENCYPART_ARC
(5,9),0.202953 # DEPENDENCYPART_ARC
(5,10),-0.21 # DEPENDENCYPART_ARC
(5,11),-0.262396 # DEPENDENCYPART_ARC
(5,12),0.206457 # DEPENDENCYPART_ARC
(5,13),-1.79604 # DEPENDENCYPART_ARC
(5,14),-0.822433 # DEPENDENCYPART_ARC
(5,15),0.106438 # DEPENDENCYPART_ARC
(5,16),0.099639 # DEPENDENCYPART_ARC
(5,17),0.114398 # DEPENDENCYPART_ARC
(5,18),-2.18132 # DEPENDENCYPART_ARC
(5,19),-1.8231 # DEPENDENCYPART_ARC
(5,20),-0.77893 # DEPENDENCYPART_ARC
(5,21),-0.769799 # DEPENDENCYPART_ARC
(5,22),-0.129738 # DEPENDENCYPART_ARC
(5,23),-0.814852 # DEPENDENCYPART_ARC
(5,24),-1.22374 # DEPENDENCYPART_ARC
(6,1),-1.72341 # DEPENDENCYPART_ARC
(6,2),-1.56707 # DEPENDENCYPART_ARC
(6,3),-1.22284 # DEPENDENCYPART_ARC
(6,4),-1.62973 # DEPENDENCYPART_ARC
(6,5),-0.870783 # DEPENDENCYPART_ARC
(6,7),-0.84049 # DEPENDENCYPART_ARC
(6,8),-0.670739 # DEPENDENCYPART_ARC
(6,9),-0.755478 # DEPENDENCYPART_ARC
(6,10),-0.427855 # DEPENDENCYPART_ARC
(6,11),-1.48952 # DEPENDENCYPART_ARC
(6,12),-1.30078 # DEPENDENCYPART_ARC
(6,13),-2.30928 # DEPENDENCYPART_ARC
(6,14),-1.99171 # DEPENDENCYPART_ARC
(6,15),-1.65467 # DEPENDENCYPART_ARC
(6,16),-1.28737 # DEPENDENCYPART_ARC
(6,17),-1.34928 # DEPENDENCYPART_ARC
(6,18),-2.58701 # DEPENDENCYPART_ARC
(6,19),-2.72289 # DEPENDENCYPART_ARC
(6,20),-1.84159 # DEPENDENCYPART_ARC
(6,21),-1.40829 # DEPENDENCYPART_ARC
(6,22),-1.23706 # DEPENDENCYPART_ARC
(6,23),-1.77754 # DEPENDENCYPART_ARC
(6,24),-1.97012 # DEPENDENCYPART_ARC
(7,1),-1.72565 # DEPENDENCYPART_ARC
(7,2),-0.482566 # DEPENDENCYPART_ARC
(7,3),0.292413 # DEPENDENCYPART_ARC
(7,4),-0.0146943 # DEPENDENCYPART_ARC
(7,5),0.522249 # DEPENDENCYPART_ARC
(7,6),0.0669189 # DEPENDENCYPART_ARC
(7,8),1.72109 # DEPENDENCYPART_ARC
(7,9),-0.80203 # DEPENDENCYPART_ARC
(7,10),-0.982434 # DEPENDENCYPART_ARC
(7,11),-0.797379 # DEPENDENCYPART_ARC
(7,12),-1.8233 # DEPENDENCYPART_ARC
(7,13),-2.5122 # DEPENDENCYPART_ARC
(7,14),-1.03069 # DEPENDENCYPART_ARC
(7,15),-1.06636 # DEPENDENCYPART_ARC
(7,16),-0.975226 # DEPENDENCYPART_ARC
(7,17),-0.454478 # DEPENDENCYPART_ARC
(7,18),-2.8646 # DEPENDENCYPART_ARC
(7,19),-1.6181 # DEPENDENCYPART_ARC
(7,20),-1.75686 # DEPENDENCYPART_ARC
(7,21),-2.69384 # DEPENDENCYPART_ARC
(7,22),-1.87105 # DEPENDENCYPART_ARC
(7,23),-2.0453 # DEPENDENCYPART_ARC
(7,24),-1.91359 # DEPENDENCYPART_ARC
(8,1),-1.10578 # DEPENDENCYPART_ARC
(8,2),-1.62045 # DEPENDENCYPART_ARC
(8,3),-2.10845 # DEPENDENCYPART_ARC
(8,4),-0.970746 # DEPENDENCYPART_ARC
(8,5),-1.15545 # DEPENDENCYPART_ARC
(8,6),-1.07067 # DEPENDENCYPART_ARC
(8,7),-0.739735 # DEPENDENCYPART_ARC
(8,9),1.61471 # DEPENDENCYPART_ARC
(8,10),0.00425496 # DEPENDENCYPART_ARC
(8,11),-1.38999 # DEPENDENCYPART_ARC
(8,12),-1.83467 # DEPENDENCYPART_ARC
(8,13),-1.14149 # DEPENDENCYPART_ARC
(8,14),-1.54856 # DEPENDENCYPART_ARC
(8,15),-2.63378 # DEPENDENCYPART_ARC
(8,16),-0.890712 # DEPENDENCYPART_ARC
(8,17),-1.10018 # DEPENDENCYPART_ARC
(8,18),-2.85939 # DEPENDENCYPART_ARC
(8,19),-2.3964 # DEPENDENCYPART_ARC
(8,20),-1.91118 # DEPENDENCYPART_ARC
(8,21),-1.73913 # DEPENDENCYPART_ARC
(8,22),-1.00306 # DEPENDENCYPART_ARC
(8,23),-0.408759 # DEPENDENCYPART_ARC
(8,24),-1.37662 # DEPENDENCYPART_ARC
(9,1),-0.87398 # DEPENDENCYPART_ARC
(9,2),-0.735764 # DEPENDENCYPART_ARC
(9,3),-0.66889 # DEPENDENCYPART_ARC
(9,4),-0.794826 # DEPENDENCYPART_ARC
(9,5),-0.64265 # DEPENDENCYPART_ARC
(9,6),-0.78887 # DEPENDENCYPART_ARC
(9,7),0.0144813 # DEPENDENCYPART_ARC
(9,8),0.212639 # DEPENDENCYPART_ARC
(9,10),2.17236 # DEPENDENCYPART_ARC
(9,11),-0.488522 # DEPENDENCYPART_ARC
(9,12),-0.184861 # DEPENDENCYPART_ARC
(9,13),-1.3832 # DEPENDENCYPART_ARC
(9,14),-1.03697 # DEPENDENCYPART_ARC
(9,15),-0.560814 # DEPENDENCYPART_ARC
(9,16),-0.705664 # DEPENDENCYPART_ARC
(9,17),-0.726836 # DEPENDENCYPART_ARC
(9,18),-1.75286 # DEPENDENCYPART_ARC
(9,19),-1.74917 # DEPENDENCYPART_ARC
(9,20),-0.870686 # DEPENDENCYPART_ARC
(9,21),-0.526654 # DEPENDENCYPART_ARC
(9,22),-0.827019 # DEPENDENCYPART_ARC
(9,23),-0.777724 # DEPENDENCYPART_ARC
(9,24),-0.597083 # DEPENDENCYPART_ARC
(10,1),-1.14523 # DEPENDENCYPART_ARC
(10,2),-1.1081 # DEPENDENCYPART_ARC
(10,3),-1.36253 # DEPENDENCYPART_ARC
(10,4),-1.04312 # DEPENDENCYPART_ARC
(10,5),-1.13969 # DEPENDENCYPART_ARC
(10,6),-1.26128 # DEPENDENCYPART_ARC
(10,7),-0.810392 # DEPENDENCYPART_ARC
(10,8),-0.793293 # DEPENDENCYPART_ARC
(10,9),-0.406251 # DEPENDENCYPART_ARC
(10,11),-0.628606 # DEPENDENCYPART_ARC
(10,12),-1.21625 # DEPENDENCYPART_ARC
(10,13),-1.47789 # DEPENDENCYPART_ARC
(10,14),-1.41793 # DEPENDENCYPART_ARC
(10,15),-1.42744 # DEPENDENCYPART_ARC
(10,16),-0.826353 # DEPENDENCYPART_ARC
(10,17),-1.21133 # DEPENDENCYPART_ARC
(10,18),-1.98673 # DEPENDENCYPART_ARC
(10,19),-1.99584 # DEPENDENCYPART_ARC
(10,20),-1.49271 # DEPENDENCYPART_ARC
(10,21),-1.50705 # DEPENDENCYPART_ARC
(10,22),-0.654707 # DEPENDENCYPART_ARC
(10,23),-1.14187 # DEPENDENCYPART_ARC
(10,24),-1.20898 # DEPENDENCYPART_ARC
(11,1),-2.11467 # DEPENDENCYPART_ARC
(11,2),-1.12604 # DEPENDENCYPART_ARC
(11,3),-0.491788 # DEPENDENCYPART_ARC
(11,4),-0.556643 # DEPENDENCYPART_ARC
(11,5),0.153684 # DEPENDENCYPART_ARC
(11,6),-0.840159 # DEPENDENCYPART_ARC
(11,7),0.323652 # DEPENDENCYPART_ARC
(11,8),-0.528206 # DEPENDENCYPART_ARC
(11,9),-0.284721 # DEPENDENCYPART_ARC
(11,10),-0.293614 # DEPENDENCYPART_ARC
(11,12),0.266343 # DEPENDENCYPART_ARC
(11,13),-0.306136 # DEPENDENCYPART_ARC
(11,14),0.545132 # DEPENDENCYPART_ARC
(11,15),0.106396 # DEPENDENCYPART_ARC
(11,16),0.419545 # DEPENDENCYPART_ARC
(11,17),0.00207396 # DEPENDENCYPART_ARC
(11,18),-1.03741 # DEPENDENCYPART_ARC
(11,19),-0.254992 # DEPENDENCYPART_ARC
(11,20),-0.311064 # DEPENDENCYPART_ARC
(11,21),-1.39174 # DEPENDENCYPART_ARC
(11,22),-0.503047 # DEPENDENCYPART_ARC
(11,23),-1.05666 # DEPENDENCYPART_ARC
(11,24),-1.32599 # DEPENDENCYPART_ARC
(12,1),-3.08635 # DEPENDENCYPART_ARC
(12,2),-1.03417 # DEPENDENCYPART_ARC
(12,3),-0.202149 # DEPENDENCYPART_ARC
(12,4),-0.386415 # DEPENDENCYPART_ARC
(12,5),-0.271057 # DEPENDENCYPART_ARC
(12,6),-0.470768 # DEPENDENCYPART_ARC
(12,7),0.278089 # DEPENDENCYPART_ARC
(12,8),-0.575062 # DEPENDENCYPART_ARC
(12,9),-0.125707 # DEPENDENCYPART_ARC
(12,10),-0.527021 # DEPENDENCYPART_ARC
(12,11),2.34772 # DEPENDENCYPART_ARC
(12,13),-2.01942 # DEPENDENCYPART_ARC
(12,14),0.463702 # DEPENDENCYPART_ARC
(12,15),-0.185884 # DEPENDENCYPART_ARC
(12,16),-1.35627 # DEPENDENCYPART_ARC
(12,17),-0.352889 # DEPENDENCYPART_ARC
(12,18),-2.77771 # DEPENDENCYPART_ARC
(12,19),-0.951794 # DEPENDENCYPART_ARC
(12,20),-0.262076 # DEPENDENCYPART_ARC
(12,21),-2.35618 # DEPENDENCYPART_ARC
(12,22),-1.57497 # DEPENDENCYPART_ARC
(12,23),-0.835305 # DEPENDENCYPART_ARC
(12,24),-1.07787 # DEPENDENCYPART_ARC
(13,1),-1.49939 # DEPENDENCYPART_ARC
(13,2),-1.40043 # DEPENDENCYPART_ARC
(13,3),-1.44561 # DEPENDENCYPART_ARC
(13,4),-1.5739 # DEPENDENCYPART_ARC
(13,5),-0.855346 # DEPENDENCYPART_ARC
(13,6),-1.25316 # DEPENDENCYPART_ARC
(13,7),-1.20536 # DEPENDENCYPART_ARC
(13,8),-1.81514 # DEPENDENCYPART_ARC
(13,9),-1.06426 # DEPENDENCYPART_ARC
(13,10),-0.899954 # DEPENDENCYPART_ARC
(13,11),-0.519522 # DEPENDENCYPART_ARC
(13,12),-0.561873 # DEPENDENCYPART_ARC
(13,14),0.784534 # DEPENDENCYPART_ARC
(13,15),-1.76484 # DEPENDENCYPART_ARC
(13,16),-1.80662 # DEPENDENCYPART_ARC
(13,17),-1.24579 # DEPENDENCYPART_ARC
(13,18),-0.924405 # DEPENDENCYPART_ARC
(13,19),-0.719586 # DEPENDENCYPART_ARC
(13,20),-1.40582 # DEPENDENCYPART_ARC
(13,21),-1.39674 # DEPENDENCYPART_ARC
(13,22),-1.81064 # DEPENDENCYPART_ARC
(13,23),-1.00474 # DEPENDENCYPART_ARC
(13,24),-1.26285 # DEPENDENCYPART_ARC
(14,1),-1.31502 # DEPENDENCYPART_ARC
(14,2),-2.61078 # DEPENDENCYPART_ARC
(14,3),-1.75073 # DEPENDENCYPART_ARC
(14,4),-1.39496 # DEPENDENCYPART_ARC
(14,5),-0.625903 # DEPENDENCYPART_ARC
(14,6),-1.27541 # DEPENDENCYPART_ARC
(14,7),-1.23362 # DEPENDENCYPART_ARC
(14,8),-1.67137 # DEPENDENCYPART_ARC
(14,9),-1.20871 # DEPENDENCYPART_ARC
(14,10),-1.26603 # DEPENDENCYPART_ARC
(14,11),0.112292 # DEPENDENCYPART_ARC
(14,12),-1.27223 # DEPENDENCYPART_ARC
(14,13),0.932473 # DEPENDENCYPART_ARC
(14,15),-0.810395 # DEPENDENCYPART_ARC
(14,16),-2.45949 # DEPENDENCYPART_ARC
(14,17),-1.07614 # DEPENDENCYPART_ARC
(14,18),-1.71949 # DEPENDENCYPART_ARC
(14,19),-1.45992 # DEPENDENCYPART_ARC
(14,20),-1.44669 # DEPENDENCYPART_ARC
(14,21),-1.8462 # DEPENDENCYPART_ARC
(14,22),-3.47877 # DEPENDENCYPART_ARC
(14,23),-1.46318 # DEPENDENCYPART_ARC
(14,24),-1.38886 # DEPENDENCYPART_ARC
(15,1),-3.46972 # DEPENDENCYPART_ARC
(15,2),-1.42735 # DEPENDENCYPART_ARC
(15,3),-0.426415 # DEPENDENCYPART_ARC
(15,4),-0.938758 # DEPENDENCYPART_ARC
(15,5),-0.167503 # DEPENDENCYPART_ARC
(15,6),-1.01352 # DEPENDENCYPART_ARC
(15,7),0.264284 # DEPENDENCYPART_ARC
(15,8),-1.01297 # DEPENDENCYPART_ARC
(15,9),-0.867663 # DEPENDENCYPART_ARC
(15,10),-1.2458 # DEPENDENCYPART_ARC
(15,11),0.152919 # DEPENDENCYPART_ARC
(15,12),-0.285825 # DEPENDENCYPART_ARC
(15,13),-0.85397 # DEPENDENCYPART_ARC
(15,14),2.75546 # DEPENDENCYPART_ARC
(15,16),2.05488 # DEPENDENCYPART_ARC
(15,17),-0.0609898 # DEPENDENCYPART_ARC
(15,18),-1.21965 # DEPENDENCYPART_ARC
(15,19),0.0335408 # DEPENDENCYPART_ARC
(15,20),-0.157304 # DEPENDENCYPART_ARC
(15,21),-1.27102 # DEPENDENCYPART_ARC
(15,22),-0.409288 # DEPENDENCYPART_ARC
(15,23),-0.92635 # DEPENDENCYPART_ARC
(15,24),-0.916564 # DEPENDENCYPART_ARC
(16,1),-1.3431 # DEPENDENCYPART_ARC
(16,2),-1.61715 # DEPENDENCYPART_ARC
(16,3),-2.11329 # DEPENDENCYPART_ARC
(16,4),-1.4491 # DEPENDENCYPART_ARC
(16,5),-1.57683 # DEPENDENCYPART_ARC
(16,6),-1.75335 # DEPENDENCYPART_ARC
(16,7),-2.02203 # DEPENDENCYPART_ARC
(16,8),-1.44307 # DEPENDENCYPART_ARC
(16,9),-1.61808 # DEPENDENCYPART_ARC
(16,10),-1.56914 # DEPENDENCYPART_ARC
(16,11),-1.7537 # DEPENDENCYPART_ARC
(16,12),-0.693652 # DEPENDENCYPART_ARC
(16,13),-0.635764 # DEPENDENCYPART_ARC
(16,14),0.284633 # DEPENDENCYPART_ARC
(16,15),-0.744015 # DEPENDENCYPART_ARC
(16,17),0.0451041 # DEPENDENCYPART_ARC
(16,18),-1.85513 # DEPENDENCYPART_ARC
(16,19),-1.73166 # DEPENDENCYPART_ARC
(16,20),-1.73495 # DEPENDENCYPART_ARC
(16,21),-1.23779 # DEPENDENCYPART_ARC
(16,22),-1.4334 # DEPENDENCYPART_ARC
(16,23),-0.524256 # DEPENDENCYPART_ARC
(16,24),-1.16561 # DEPENDENCYPART_ARC
(17,1),-1.98088 # DEPENDENCYPART_ARC
(17,2),-2.41294 # DEPENDENCYPART_ARC
(17,3),0.194806 # DEPENDENCYPART_ARC
(17,4),-1.4949 # DEPENDENCYPART_ARC
(17,5),-0.409539 # DEPENDENCYPART_ARC
(17,6),-1.58574 # DEPENDENCYPART_ARC
(17,7),0.828839 # DEPENDENCYPART_ARC
(17,8),-0.986797 # DEPENDENCYPART_ARC
(17,9),-1.3927 # DEPENDENCYPART_ARC
(17,10),-1.14925 # DEPENDENCYPART_ARC
(17,11),0.324809 # DEPENDENCYPART_ARC
(17,12),0.703058 # DEPENDENCYPART_ARC
(17,13),-0.55586 # DEPENDENCYPART_ARC
(17,14),-0.0235764 # DEPENDENCYPART_ARC
(17,15),2.41194 # DEPENDENCYPART_ARC
(17,16),0.261529 # DEPENDENCYPART_ARC
(17,18),0.527738 # DEPENDENCYPART_ARC
(17,19),0.232456 # DEPENDENCYPART_ARC
(17,20),0.889448 # DEPENDENCYPART_ARC
(17,21),1.23585 # DEPENDENCYPART_ARC
(17,22),0.0915614 # DEPENDENCYPART_ARC
(17,23),-0.112452 # DEPENDENCYPART_ARC
(17,24),-0.521557 # DEPENDENCYPART_ARC
(18,1),-3.11175 # DEPENDENCYPART_ARC
(18,2),-3.44902 # DEPENDENCYPART_ARC
(18,3),-3.58374 # DEPENDENCYPART_ARC
(18,4),-2.90059 # DEPENDENCYPART_ARC
(18,5),-2.50766 # DEPENDENCYPART_ARC
(18,6),-2.88833 # DEPENDENCYPART_ARC
(18,7),-3.41496 # DEPENDENCYPART_ARC
(18,8),-2.59965 # DEPENDENCYPART_ARC
(18,9),-2.76388 # DEPENDENCYPART_ARC
(18,10),-2.87061 # DEPENDENCYPART_ARC
(18,11),-2.05465 # DEPENDENCYPART_ARC
(18,12),-3.914 # DEPENDENCYPART_ARC
(18,13),-2.33785 # DEPENDENCYPART_ARC
(18,14),-3.73108 # DEPENDENCYPART_ARC
(18,15),-2.09996 # DEPENDENCYPART_ARC
(18,16),-2.00012 # DEPENDENCYPART_ARC
(18,17),-0.73866 # DEPENDENCYPART_ARC
(18,19),1.31714 # DEPENDENCYPART_ARC
(18,20),-1.32357 # DEPENDENCYPART_ARC
(18,21),-1.49959 # DEPENDENCYPART_ARC
(18,22),-2.28509 # DEPENDENCYPART_ARC
(18,23),-1.04899 # DEPENDENCYPART_ARC
(18,24),-0.963615 # DEPENDENCYPART_ARC
(19,1),-1.79634 # DEPENDENCYPART_ARC
(19,2),-3.337 # DEPENDENCYPART_ARC
(19,3),-2.75572 # DEPENDENCYPART_ARC
(19,4),-1.71856 # DEPENDENCYPART_ARC
(19,5),-1.26497 # DEPENDENCYPART_ARC
(19,6),-1.67355 # DEPENDENCYPART_ARC
(19,7),-2.49546 # DEPENDENCYPART_ARC
(19,8),-2.08967 # DEPENDENCYPART_ARC
(19,9),-1.62135 # DEPENDENCYPART_ARC
(19,10),-1.80367 # DEPENDENCYPART_ARC
(19,11),-1.1359 # DEPENDENCYPART_ARC
(19,12),-3.15636 # DEPENDENCYPART_ARC
(19,13),-0.881042 # DEPENDENCYPART_ARC
(19,14),-3.6219 # DEPENDENCYPART_ARC
(19,15),-1.29054 # DEPENDENCYPART_ARC
(19,16),-1.73927 # DEPENDENCYPART_ARC
(19,17),0.103042 # DEPENDENCYPART_ARC
(19,18),1.84197 # DEPENDENCYPART_ARC
(19,20),0.08281 # DEPENDENCYPART_ARC
(19,21),-1.21024 # DEPENDENCYPART_ARC
(19,22),-2.607 # DEPENDENCYPART_ARC
(19,23),-1.00581 # DEPENDENCYPART_ARC
(19,24),-1.19498 # DEPENDENCYPART_ARC
(20,1),-3.06505 # DEPENDENCYPART_ARC
(20,2),-1.79187 # DEPENDENCYPART_ARC
(20,3),-1.05481 # DEPENDENCYPART_ARC
(20,4),-0.981144 # DEPENDENCYPART_ARC
(20,5),-0.651299 # DEPENDENCYPART_ARC
(20,6),-1.74408 # DEPENDENCYPART_ARC
(20,7),-0.212767 # DEPENDENCYPART_ARC
(20,8),-1.55376 # DEPENDENCYPART_ARC
(20,9),-1.72996 # DEPENDENCYPART_ARC
(20,10),-1.83165 # DEPENDENCYPART_ARC
(20,11),-0.794314 # DEPENDENCYPART_ARC
(20,12),-0.640586 # DEPENDENCYPART_ARC
(20,13),-0.898062 # DEPENDENCYPART_ARC
(20,14),0.673909 # DEPENDENCYPART_ARC
(20,15),-0.0044609 # DEPENDENCYPART_ARC
(20,16),0.00557459 # DEPENDENCYPART_ARC
(20,17),0.209805 # DEPENDENCYPART_ARC
(20,18),0.929831 # DEPENDENCYPART_ARC
(20,19),2.58717 # DEPENDENCYPART_ARC
(20,21),0.114298 # DEPENDENCYPART_ARC
(20,22),1.10538 # DEPENDENCYPART_ARC
(20,23),-0.920716 # DEPENDENCYPART_ARC
(20,24),-1.11515 # DEPENDENCYPART_ARC
(21,1),-1.61287 # DEPENDENCYPART_ARC
(21,2),-1.92014 # DEPENDENCYPART_ARC
(21,3),-0.624424 # DEPENDENCYPART_ARC
(21,4),-1.133 # DEPENDENCYPART_ARC
(21,5),-0.770488 # DEPENDENCYPART_ARC
(21,6),-1.38516 # DEPENDENCYPART_ARC
(21,7),0.103179 # DEPENDENCYPART_ARC
(21,8),-1.24079 # DEPENDENCYPART_ARC
(21,9),-1.43938 # DEPENDENCYPART_ARC
(21,10),-1.62786 # DEPENDENCYPART_ARC
(21,11),-0.403624 # DEPENDENCYPART_ARC
(21,12),-0.750307 # DEPENDENCYPART_ARC
(21,13),-0.267473 # DEPENDENCYPART_ARC
(21,14),0.406864 # DEPENDENCYPART_ARC
(21,15),0.379257 # DEPENDENCYPART_ARC
(21,16),-0.11521 # DEPENDENCYPART_ARC
(21,17),0.298196 # DEPENDENCYPART_ARC
(21,18),1.01535 # DEPENDENCYPART_ARC
(21,19),1.2448 # DEPENDENCYPART_ARC
(21,20),2.13039 # DEPENDENCYPART_ARC
(21,22),2.68389 # DEPENDENCYPART_ARC
(21,23),0.0955804 # DEPENDENCYPART_ARC
