# _root_ gainontzekoak , batel , trainerilla eta traineru txapelketetan arituko dira .
#goldHeads=9,3,6,3,6,8,6,9,0,9,10,
#predictedHeads=3,1,6,3,6,8,6,9,0,9,10,
(6,2),-1.51283 # DEPENDENCYPART_ARC
(6,3),1.41356 # DEPENDENCYPART_ARC
(6,4),-1.17084 # DEPENDENCYPART_ARC
(6,5),2.71692 # DEPENDENCYPART_ARC
(6,7),1.55533 # DEPENDENCYPART_ARC
(6,8),1.44292 # DEPENDENCYPART_ARC
(6,9),-0.32299 # DEPENDENCYPART_ARC
(6,10),-0.382018 # DEPENDENCYPART_ARC
(6,11),-0.475748 # DEPENDENCYPART_ARC
(7,1),-2.35373 # DEPENDENCYPART_ARC
(7,2),-2.82293 # DEPENDENCYPART_ARC
(7,3),-2.23355 # DEPENDENCYPART_ARC
(7,4),-2.38409 # DEPENDENCYPART_ARC
(7,5),-1.06269 # DEPENDENCYPART_ARC
(7,6),-0.903321 # DEPENDENCYPART_ARC
(7,8),1.02244 # DEPENDENCYPART_ARC
(7,9),-0.730286 # DEPENDENCYPART_ARC
(7,10),-0.955072 # DEPENDENCYPART_ARC
(7,11),-0.593782 # DEPENDENCYPART_ARC
(8,1),-2.39435 # DEPENDENCYPART_ARC
(8,2),-1.52648 # DEPENDENCYPART_ARC
(8,3),-0.756251 # DEPENDENCYPART_ARC
(8,4),-1.27921 # DEPENDENCYPART_ARC
(8,5),-0.263278 # DEPENDENCYPART_ARC
(8,6),0.893933 # DEPENDENCYPART_ARC
(8,7),1.43944 # DEPENDENCYPART_ARC
(8,9),-1.15838 # DEPENDENCYPART_ARC
(8,10),-1.81744 # DEPENDENCYPART_ARC
(8,11),-0.921556 # DEPENDENCYPART_ARC
(9,1),-0.615899 # DEPENDENCYPART_ARC
(9,2),-1.59007 # DEPENDENCYPART_ARC
(9,3),-0.645976 # DEPENDENCYPART_ARC
(9,4),-1.55702 # DEPENDENCYPART_ARC
(9,5),-0.325536 # DEPENDENCYPART_ARC
(9,6),0.510008 # DEPENDENCYPART_ARC
(9,7),0.734512 # DEPENDENCYPART_ARC
(9,8),2.04359 # DEPENDENCYPART_ARC
(9,10),1.45808 # DEPENDENCYPART_ARC
(9,11),-0.13978 # DEPENDENCYPART_ARC
(10,1),-0.531567 # DEPENDENCYPART_ARC
(10,2),-1.20096 # DEPENDENCYPART_ARC
(10,3),-0.776397 # DEPENDENCYPART_ARC
(10,4),-1.26954 # DEPENDENCYPART_ARC
(10,5),-0.862513 # DEPENDENCYPART_ARC
(10,6),-0.889684 # DEPENDENCYPART_ARC
(10,7),-0.392868 # DEPENDENCYPART_ARC
(10,8),-0.3534 # DEPENDENCYPART_ARC
(10,9),-0.598628 # DEPENDENCYPART_ARC
(10,11),1.70162 # DEPENDENCYPART_ARC
(11,2),-1.58235 # DEPENDENCYPART_ARC
(11,3),-1.70984 # DEPENDENCYPART_ARC
(11,4),-1.44241 # DEPENDENCYPART_ARC
(11,5),-1.32281 # DEPENDENCYPART_ARC
(11,6),-1.00403 # DEPENDENCYPART_ARC
(11,7),-0.935687 # DEPENDENCYPART_ARC
(11,8),-0.479146 # DEPENDENCYPART_ARC
(11,9),-1.02579 # DEPENDENCYPART_ARC
