# _root_ - oi , ez naute ni geroko ifernuek izutzen , orain honelako paradisuak dastatu ahal_izanez gero hemen - erantzun ohi nizun halakoetan .
#goldHeads=0,9,2,9,9,9,8,9,19,9,15,13,14,15,9,15,15,17,0,19,19,19,22,
#predictedHeads=0,9,2,9,9,9,8,9,0,9,14,13,14,15,19,15,16,17,0,19,19,19,22,
(15,8),-0.298902 # DEPENDENCYPART_ARC
(15,9),-0.441855 # DEPENDENCYPART_ARC
(15,10),-1.27624 # DEPENDENCYPART_ARC
(15,11),0.330027 # DEPENDENCYPART_ARC
(15,12),0.161732 # DEPENDENCYPART_ARC
(15,13),1.08607 # DEPENDENCYPART_ARC
(15,14),1.53372 # DEPENDENCYPART_ARC
(15,16),0.989282 # DEPENDENCYPART_ARC
(15,17),-0.00732156 # DEPENDENCYPART_ARC
(15,18),-0.90055 # DEPENDENCYPART_ARC
(15,19),-1.00302 # DEPENDENCYPART_ARC
(15,20),-0.776749 # DEPENDENCYPART_ARC
(15,21),-2.83196 # DEPENDENCYPART_ARC
(15,22),-1.4608 # DEPENDENCYPART_ARC
(15,23),-1.30174 # DEPENDENCYPART_ARC
(16,1),-1.86992 # DEPENDENCYPART_ARC
(16,3),-1.84911 # DEPENDENCYPART_ARC
(16,4),-1.86356 # DEPENDENCYPART_ARC
(16,5),-1.92519 # DEPENDENCYPART_ARC
(16,6),-1.73059 # DEPENDENCYPART_ARC
(16,7),-2.14757 # DEPENDENCYPART_ARC
(16,8),-1.5167 # DEPENDENCYPART_ARC
(16,9),-1.73075 # DEPENDENCYPART_ARC
(16,10),-1.55397 # DEPENDENCYPART_ARC
(16,11),-1.33269 # DEPENDENCYPART_ARC
(16,12),-1.73559 # DEPENDENCYPART_ARC
(16,13),-1.12289 # DEPENDENCYPART_ARC
(16,14),-1.04455 # DEPENDENCYPART_ARC
(16,15),-0.41945 # DEPENDENCYPART_ARC
(16,17),0.289175 # DEPENDENCYPART_ARC
(16,18),-0.00310987 # DEPENDENCYPART_ARC
(16,19),-1.16272 # DEPENDENCYPART_ARC
(16,20),-0.869214 # DEPENDENCYPART_ARC
(16,21),-1.13228 # DEPENDENCYPART_ARC
(16,22),-1.70746 # DEPENDENCYPART_ARC
(16,23),-0.717775 # DEPENDENCYPART_ARC
(17,1),-2.04638 # DEPENDENCYPART_ARC
(17,3),-2.05481 # DEPENDENCYPART_ARC
(17,4),-1.88175 # DEPENDENCYPART_ARC
(17,5),-2.03793 # DEPENDENCYPART_ARC
(17,6),-1.9824 # DEPENDENCYPART_ARC
(17,7),-2.22658 # DEPENDENCYPART_ARC
(17,8),-1.66345 # DEPENDENCYPART_ARC
(17,9),-1.80814 # DEPENDENCYPART_ARC
(17,10),-1.68009 # DEPENDENCYPART_ARC
(17,11),-1.44317 # DEPENDENCYPART_ARC
(17,12),-1.97239 # DEPENDENCYPART_ARC
(17,13),-1.37952 # DEPENDENCYPART_ARC
(17,14),-1.37045 # DEPENDENCYPART_ARC
(17,15),-1.17297 # DEPENDENCYPART_ARC
(17,16),-0.340505 # DEPENDENCYPART_ARC
(17,18),1.61786 # DEPENDENCYPART_ARC
(17,19),-0.583943 # DEPENDENCYPART_ARC
(17,20),-0.18006 # DEPENDENCYPART_ARC
(17,21),-0.537515 # DEPENDENCYPART_ARC
(17,22),-1.02863 # DEPENDENCYPART_ARC
(17,23),0.0163 # DEPENDENCYPART_ARC
(18,1),-1.53712 # DEPENDENCYPART_ARC
(18,3),-1.30418 # DEPENDENCYPART_ARC
(18,4),-1.38247 # DEPENDENCYPART_ARC
(18,5),-1.33214 # DEPENDENCYPART_ARC
(18,7),-1.78337 # DEPENDENCYPART_ARC
(18,8),-1.33968 # DEPENDENCYPART_ARC
(18,9),-1.43145 # DEPENDENCYPART_ARC
(18,10),-1.12692 # DEPENDENCYPART_ARC
(18,12),-1.52717 # DEPENDENCYPART_ARC
(18,13),-1.16186 # DEPENDENCYPART_ARC
(18,14),-1.07384 # DEPENDENCYPART_ARC
(18,15),-0.832108 # DEPENDENCYPART_ARC
(18,19),-0.597741 # DEPENDENCYPART_ARC
(18,21),-0.910076 # DEPENDENCYPART_ARC
(18,22),-1.27761 # DEPENDENCYPART_ARC
(18,23),-0.711559 # DEPENDENCYPART_ARC
(19,1),-1.33089 # DEPENDENCYPART_ARC
(19,2),-1.16999 # DEPENDENCYPART_ARC
(19,3),-1.69192 # DEPENDENCYPART_ARC
(19,4),-0.523891 # DEPENDENCYPART_ARC
(19,5),-1.00951 # DEPENDENCYPART_ARC
(19,6),-0.867183 # DEPENDENCYPART_ARC
(19,7),-0.970401 # DEPENDENCYPART_ARC
(19,8),-0.988345 # DEPENDENCYPART_ARC
(19,9),-1.02657 # DEPENDENCYPART_ARC
(19,10),-1.60336 # DEPENDENCYPART_ARC
(19,11),-0.737708 # DEPENDENCYPART_ARC
(19,12),-0.566944 # DEPENDENCYPART_ARC
(19,13),-0.455313 # DEPENDENCYPART_ARC
(19,14),-0.697378 # DEPENDENCYPART_ARC
(19,15),0.328959 # DEPENDENCYPART_ARC
(19,16),-0.307951 # DEPENDENCYPART_ARC
(19,17),-0.211718 # DEPENDENCYPART_ARC
(19,18),-0.0584281 # DEPENDENCYPART_ARC
(19,20),1.31378 # DEPENDENCYPART_ARC
(19,21),1.40013 # DEPENDENCYPART_ARC
(19,22),0.211578 # DEPENDENCYPART_ARC
(19,23),-0.266622 # DEPENDENCYPART_ARC
(20,3),-2.01363 # DEPENDENCYPART_ARC
(20,4),-1.40455 # DEPENDENCYPART_ARC
(20,7),-1.53777 # DEPENDENCYPART_ARC
(20,8),-1.52186 # DEPENDENCYPART_ARC
(20,9),-1.63961 # DEPENDENCYPART_ARC
(20,10),-1.77909 # DEPENDENCYPART_ARC
(20,11),-1.33018 # DEPENDENCYPART_ARC
(20,12),-1.42409 # DEPENDENCYPART_ARC
(20,13),-1.32625 # DEPENDENCYPART_ARC
(20,14),-1.42574 # DEPENDENCYPART_ARC
(20,15),-1.39458 # DEPENDENCYPART_ARC
(20,16),-1.00052 # DEPENDENCYPART_ARC
(20,17),-0.795325 # DEPENDENCYPART_ARC
(20,19),-0.0484774 # DEPENDENCYPART_ARC
(20,22),-0.425706 # DEPENDENCYPART_ARC
(20,23),-0.182643 # DEPENDENCYPART_ARC
(21,1),-1.69495 # DEPENDENCYPART_ARC
(21,3),-1.76117 # DEPENDENCYPART_ARC
(21,4),-1.45693 # DEPENDENCYPART_ARC
(21,5),-1.47131 # DEPENDENCYPART_ARC
(21,6),-1.57525 # DEPENDENCYPART_ARC
(21,7),-1.41388 # DEPENDENCYPART_ARC
(21,8),-1.55078 # DEPENDENCYPART_ARC
(21,9),-2.55045 # DEPENDENCYPART_ARC
(21,10),-1.68318 # DEPENDENCYPART_ARC
(21,11),-1.24484 # DEPENDENCYPART_ARC
(21,12),-1.27997 # DEPENDENCYPART_ARC
(21,13),-1.31069 # DEPENDENCYPART_ARC
(21,14),-2.12904 # DEPENDENCYPART_ARC
(21,15),-2.85472 # DEPENDENCYPART_ARC
(21,16),-1.0525 # DEPENDENCYPART_ARC
(21,17),-0.922937 # DEPENDENCYPART_ARC
(21,18),-1.03274 # DEPENDENCYPART_ARC
(21,19),-1.49442 # DEPENDENCYPART_ARC
(21,22),-0.575266 # DEPENDENCYPART_ARC
(21,23),-0.28594 # DEPENDENCYPART_ARC
(22,1),-1.99719 # DEPENDENCYPART_ARC
(22,3),-1.87888 # DEPENDENCYPART_ARC
(22,4),-1.46785 # DEPENDENCYPART_ARC
(22,5),-2.25685 # DEPENDENCYPART_ARC
(22,7),-1.07193 # DEPENDENCYPART_ARC
(22,8),-2.7448 # DEPENDENCYPART_ARC
(22,9),-1.61886 # DEPENDENCYPART_ARC
(22,10),-1.80591 # DEPENDENCYPART_ARC
(22,11),-0.876257 # DEPENDENCYPART_ARC
(22,12),-0.964882 # DEPENDENCYPART_ARC
(22,13),-2.75267 # DEPENDENCYPART_ARC
(22,14),-1.28642 # DEPENDENCYPART_ARC
(22,15),-1.93724 # DEPENDENCYPART_ARC
(22,16),-0.86307 # DEPENDENCYPART_ARC
(22,17),-0.675691 # DEPENDENCYPART_ARC
(22,18),-1.16278 # DEPENDENCYPART_ARC
(22,19),-0.664481 # DEPENDENCYPART_ARC
(22,20),-0.0814842 # DEPENDENCYPART_ARC
(22,21),-0.656127 # DEPENDENCYPART_ARC
(22,23),1.63693 # DEPENDENCYPART_ARC
(23,1),-1.89428 # DEPENDENCYPART_ARC
(23,3),-1.49045 # DEPENDENCYPART_ARC
(23,8),-1.44315 # DEPENDENCYPART_ARC
(23,9),-2.01914 # DEPENDENCYPART_ARC
(23,10),-1.34655 # DEPENDENCYPART_ARC
(23,13),-1.245 # DEPENDENCYPART_ARC
(23,14),-1.7416 # DEPENDENCYPART_ARC
(23,18),-1.4232 # DEPENDENCYPART_ARC
(23,19),-1.31177 # DEPENDENCYPART_ARC
