# _root_ zuk galdua zenion beldurra itsasoari txiki-txikitatik ; nik , berriz , gero_eta begirune handiagoa .
#goldHeads=3,3,0,3,3,3,6,0,8,0,10,13,0,13,14,
#predictedHeads=3,3,10,3,3,5,6,3,8,0,10,0,12,13,14,
(3,5),0.184338 # DEPENDENCYPART_ARC
(3,6),-0.573543 # DEPENDENCYPART_ARC
(3,7),-0.322497 # DEPENDENCYPART_ARC
(3,8),0.355839 # DEPENDENCYPART_ARC
(3,9),-0.37466 # DEPENDENCYPART_ARC
(3,10),-0.125369 # DEPENDENCYPART_ARC
(3,11),-0.593368 # DEPENDENCYPART_ARC
(3,12),-0.654249 # DEPENDENCYPART_ARC
(3,13),-0.736754 # DEPENDENCYPART_ARC
(3,14),-1.60036 # DEPENDENCYPART_ARC
(3,15),-0.801776 # DEPENDENCYPART_ARC
(4,1),-2.12492 # DEPENDENCYPART_ARC
(4,2),-0.307402 # DEPENDENCYPART_ARC
(4,3),-0.0792725 # DEPENDENCYPART_ARC
(4,5),-0.666053 # DEPENDENCYPART_ARC
(4,6),-1.09294 # DEPENDENCYPART_ARC
(4,7),-1.25753 # DEPENDENCYPART_ARC
(4,8),-0.759519 # DEPENDENCYPART_ARC
(4,9),-1.50979 # DEPENDENCYPART_ARC
(4,10),-1.03637 # DEPENDENCYPART_ARC
(4,11),-1.5805 # DEPENDENCYPART_ARC
(4,12),-1.47304 # DEPENDENCYPART_ARC
(4,13),-2.33743 # DEPENDENCYPART_ARC
(4,14),-3.01352 # DEPENDENCYPART_ARC
(4,15),-1.52612 # DEPENDENCYPART_ARC
(5,1),-2.50458 # DEPENDENCYPART_ARC
(5,2),-1.19129 # DEPENDENCYPART_ARC
(5,3),-0.899659 # DEPENDENCYPART_ARC
(5,4),-0.475879 # DEPENDENCYPART_ARC
(5,6),0.297022 # DEPENDENCYPART_ARC
(5,7),-0.481831 # DEPENDENCYPART_ARC
(5,8),-0.311891 # DEPENDENCYPART_ARC
(5,9),-1.12754 # DEPENDENCYPART_ARC
(5,10),-0.945028 # DEPENDENCYPART_ARC
(5,11),-1.20502 # DEPENDENCYPART_ARC
(5,12),-1.27327 # DEPENDENCYPART_ARC
(5,13),-1.68295 # DEPENDENCYPART_ARC
(5,14),-2.37652 # DEPENDENCYPART_ARC
(5,15),-1.39793 # DEPENDENCYPART_ARC
(6,1),-1.12139 # DEPENDENCYPART_ARC
(6,2),-1.37473 # DEPENDENCYPART_ARC
(6,3),-0.916159 # DEPENDENCYPART_ARC
(6,4),-0.390416 # DEPENDENCYPART_ARC
(6,5),0.100582 # DEPENDENCYPART_ARC
(6,7),1.59826 # DEPENDENCYPART_ARC
(6,8),-0.390601 # DEPENDENCYPART_ARC
(6,9),0.126684 # DEPENDENCYPART_ARC
(6,10),-0.497148 # DEPENDENCYPART_ARC
(6,11),-0.299032 # DEPENDENCYPART_ARC
(6,12),-0.349179 # DEPENDENCYPART_ARC
(6,13),-1.1089 # DEPENDENCYPART_ARC
(6,14),-0.493816 # DEPENDENCYPART_ARC
(6,15),0.0350002 # DEPENDENCYPART_ARC
(7,1),-0.689436 # DEPENDENCYPART_ARC
(7,2),-0.162142 # DEPENDENCYPART_ARC
(7,3),0.254118 # DEPENDENCYPART_ARC
(7,4),0.015098 # DEPENDENCYPART_ARC
(7,5),-0.0221486 # DEPENDENCYPART_ARC
(7,6),0.589682 # DEPENDENCYPART_ARC
(7,8),0.10175 # DEPENDENCYPART_ARC
(7,9),0.162308 # DEPENDENCYPART_ARC
(7,10),-0.244988 # DEPENDENCYPART_ARC
(7,11),-0.373622 # DEPENDENCYPART_ARC
(7,12),-0.598502 # DEPENDENCYPART_ARC
(7,13),-0.661842 # DEPENDENCYPART_ARC
(7,14),-0.637397 # DEPENDENCYPART_ARC
(7,15),-0.530665 # DEPENDENCYPART_ARC
(8,1),-1.93306 # DEPENDENCYPART_ARC
(8,2),-2.22365 # DEPENDENCYPART_ARC
(8,3),-2.22379 # DEPENDENCYPART_ARC
(8,4),-2.02373 # DEPENDENCYPART_ARC
(8,5),-2.03918 # DEPENDENCYPART_ARC
(8,6),-0.479145 # DEPENDENCYPART_ARC
(8,7),-0.0927887 # DEPENDENCYPART_ARC
(8,9),1.17388 # DEPENDENCYPART_ARC
(8,10),-0.281016 # DEPENDENCYPART_ARC
(8,11),-0.0136176 # DEPENDENCYPART_ARC
(8,12),-0.621842 # DEPENDENCYPART_ARC
(8,13),-1.20511 # DEPENDENCYPART_ARC
(8,14),-0.808574 # DEPENDENCYPART_ARC
(8,15),-0.181455 # DEPENDENCYPART_ARC
(9,1),-1.46025 # DEPENDENCYPART_ARC
(9,2),-1.14087 # DEPENDENCYPART_ARC
(9,3),-0.858776 # DEPENDENCYPART_ARC
(9,4),-1.18545 # DEPENDENCYPART_ARC
(9,5),-1.1106 # DEPENDENCYPART_ARC
(9,6),-0.957917 # DEPENDENCYPART_ARC
(9,7),-1.27817 # DEPENDENCYPART_ARC
(9,8),-0.284906 # DEPENDENCYPART_ARC
(9,10),-0.256364 # DEPENDENCYPART_ARC
(9,11),-0.323003 # DEPENDENCYPART_ARC
(9,12),-1.0392 # DEPENDENCYPART_ARC
(9,13),-1.07782 # DEPENDENCYPART_ARC
(9,14),-1.14221 # DEPENDENCYPART_ARC
(9,15),-0.767978 # DEPENDENCYPART_ARC
(10,1),-1.56727 # DEPENDENCYPART_ARC
(10,2),-1.98659 # DEPENDENCYPART_ARC
(10,3),0.234684 # DEPENDENCYPART_ARC
(10,4),-2.6718 # DEPENDENCYPART_ARC
(10,5),-2.80916 # DEPENDENCYPART_ARC
(10,6),-0.851693 # DEPENDENCYPART_ARC
(10,7),-1.19106 # DEPENDENCYPART_ARC
(10,8),-0.573602 # DEPENDENCYPART_ARC
(10,9),-0.33043 # DEPENDENCYPART_ARC
(10,11),1.5989 # DEPENDENCYPART_ARC
(10,12),-0.831397 # DEPENDENCYPART_ARC
(10,13),-1.30098 # DEPENDENCYPART_ARC
(10,14),-1.11962 # DEPENDENCYPART_ARC
(10,15),-0.718786 # DEPENDENCYPART_ARC
(11,1),-1.41687 # DEPENDENCYPART_ARC
(11,2),-1.31041 # DEPENDENCYPART_ARC
(11,3),-0.740523 # DEPENDENCYPART_ARC
(11,4),-1.26818 # DEPENDENCYPART_ARC
(11,5),-1.30844 # DEPENDENCYPART_ARC
(11,6),-1.1999 # DEPENDENCYPART_ARC
(11,7),-1.2407 # DEPENDENCYPART_ARC
(11,8),-0.895646 # DEPENDENCYPART_ARC
(11,9),-1.20552 # DEPENDENCYPART_ARC
(11,10),-0.157869 # DEPENDENCYPART_ARC
(11,12),-0.404481 # DEPENDENCYPART_ARC
(11,13),-1.1644 # DEPENDENCYPART_ARC
(11,14),-1.00286 # DEPENDENCYPART_ARC
(11,15),-0.542934 # DEPENDENCYPART_ARC
(12,1),-1.26826 # DEPENDENCYPART_ARC
(12,2),-0.197121 # DEPENDENCYPART_ARC
(12,3),-1.41416 # DEPENDENCYPART_ARC
(12,4),-1.48569 # DEPENDENCYPART_ARC
(12,5),-1.50545 # DEPENDENCYPART_ARC
(12,6),-1.11302 # DEPENDENCYPART_ARC
(12,7),-1.33008 # DEPENDENCYPART_ARC
(12,8),-0.76036 # DEPENDENCYPART_ARC
(12,9),-1.01909 # DEPENDENCYPART_ARC
(12,10),-0.248352 # DEPENDENCYPART_ARC
(12,11),-0.325374 # DEPENDENCYPART_ARC
(12,13),0.76917 # DEPENDENCYPART_ARC
(12,14),-0.616968 # DEPENDENCYPART_ARC
(12,15),0.0385502 # DEPENDENCYPART_ARC
(13,1),-2.04667 # DEPENDENCYPART_ARC
(13,2),-2.82015 # DEPENDENCYPART_ARC
(13,3),-2.13097 # DEPENDENCYPART_ARC
(13,4),-2.51971 # DEPENDENCYPART_ARC
(13,5),-2.13955 # DEPENDENCYPART_ARC
(13,6),-0.750293 # DEPENDENCYPART_ARC
(13,7),-1.38636 # DEPENDENCYPART_ARC
(13,8),-1.10777 # DEPENDENCYPART_ARC
(13,9),-1.1174 # DEPENDENCYPART_ARC
(13,10),-0.609396 # DEPENDENCYPART_ARC
(13,11),-0.576041 # DEPENDENCYPART_ARC
(13,12),0.64901 # DEPENDENCYPART_ARC
(13,14),2.4207 # DEPENDENCYPART_ARC
(13,15),-0.0528365 # DEPENDENCYPART_ARC
(14,1),-2.52188 # DEPENDENCYPART_ARC
(14,2),-2.57491 # DEPENDENCYPART_ARC
(14,3),-2.03381 # DEPENDENCYPART_ARC
(14,4),-3.42548 # DEPENDENCYPART_ARC
(14,5),-3.26602 # DEPENDENCYPART_ARC
(14,6),-1.47715 # DEPENDENCYPART_ARC
(14,7),-1.46049 # DEPENDENCYPART_ARC
(14,8),-2.2613 # DEPENDENCYPART_ARC
(14,9),-1.39497 # DEPENDENCYPART_ARC
(14,10),-0.962279 # DEPENDENCYPART_ARC
(14,11),-1.05644 # DEPENDENCYPART_ARC
(14,12),0.00761359 # DEPENDENCYPART_ARC
(14,13),-0.237234 # DEPENDENCYPART_ARC
(14,15),1.98944 # DEPENDENCYPART_ARC
(15,1),-1.77616 # DEPENDENCYPART_ARC
(15,2),-1.76679 # DEPENDENCYPART_ARC
(15,3),-1.39842 # DEPENDENCYPART_ARC
(15,4),-1.74189 # DEPENDENCYPART_ARC
(15,5),-1.62267 # DEPENDENCYPART_ARC
(15,6),-1.6255 # DEPENDENCYPART_ARC
(15,7),-1.53519 # DEPENDENCYPART_ARC
(15,8),-1.54276 # DEPENDENCYPART_ARC
(15,9),-1.49157 # DEPENDENCYPART_ARC
(15,10),-1.13159 # DEPENDENCYPART_ARC
(15,11),-1.33358 # DEPENDENCYPART_ARC
(15,12),-1.03377 # DEPENDENCYPART_ARC
(15,13),-0.844299 # DEPENDENCYPART_ARC
(15,14),-0.181157 # DEPENDENCYPART_ARC
