# _root_ eh abstenitu egin zen , eta beste idazki bat aurkeztu zuen , " politikoa den arazoak behingoz irtenbide politikoa " behar_duela argudiatuz .
#goldHeads=2,6,2,2,4,0,8,10,8,6,10,10,11,15,16,21,21,21,18,18,22,10,22,
#predictedHeads=2,6,2,2,4,0,8,10,8,6,10,11,12,15,21,21,21,21,18,19,10,21,22,
(11,14),-1.8984 # DEPENDENCYPART_ARC
(11,15),-0.668308 # DEPENDENCYPART_ARC
(11,16),-1.8426 # DEPENDENCYPART_ARC
(11,17),-0.964617 # DEPENDENCYPART_ARC
(11,18),-2.21962 # DEPENDENCYPART_ARC
(11,19),-2.3159 # DEPENDENCYPART_ARC
(11,20),-0.881127 # DEPENDENCYPART_ARC
(11,21),-1.55064 # DEPENDENCYPART_ARC
(11,22),-1.97881 # DEPENDENCYPART_ARC
(11,23),-1.17712 # DEPENDENCYPART_ARC
(12,1),-1.07603 # DEPENDENCYPART_ARC
(12,2),-0.873152 # DEPENDENCYPART_ARC
(12,3),-0.804408 # DEPENDENCYPART_ARC
(12,4),-0.837885 # DEPENDENCYPART_ARC
(12,5),-1.24177 # DEPENDENCYPART_ARC
(12,6),-0.393757 # DEPENDENCYPART_ARC
(12,7),-1.32763 # DEPENDENCYPART_ARC
(12,8),-0.565068 # DEPENDENCYPART_ARC
(12,9),-0.986273 # DEPENDENCYPART_ARC
(12,10),0.0884459 # DEPENDENCYPART_ARC
(12,11),0.243453 # DEPENDENCYPART_ARC
(12,13),2.19426 # DEPENDENCYPART_ARC
(12,14),-0.496161 # DEPENDENCYPART_ARC
(12,15),-0.280042 # DEPENDENCYPART_ARC
(12,16),-0.743076 # DEPENDENCYPART_ARC
(12,17),-1.05401 # DEPENDENCYPART_ARC
(12,18),-0.953088 # DEPENDENCYPART_ARC
(12,19),-0.787585 # DEPENDENCYPART_ARC
(12,20),0.0368122 # DEPENDENCYPART_ARC
(12,21),-0.85846 # DEPENDENCYPART_ARC
(12,22),-0.749957 # DEPENDENCYPART_ARC
(12,23),-0.523607 # DEPENDENCYPART_ARC
(13,1),-1.32433 # DEPENDENCYPART_ARC
(13,2),-1.68291 # DEPENDENCYPART_ARC
(13,3),-1.48684 # DEPENDENCYPART_ARC
(13,4),-1.21683 # DEPENDENCYPART_ARC
(13,5),-1.57423 # DEPENDENCYPART_ARC
(13,6),-0.952854 # DEPENDENCYPART_ARC
(13,7),-1.63691 # DEPENDENCYPART_ARC
(13,8),-1.10871 # DEPENDENCYPART_ARC
(13,9),-1.49104 # DEPENDENCYPART_ARC
(13,10),-0.825001 # DEPENDENCYPART_ARC
(13,11),-0.814155 # DEPENDENCYPART_ARC
(13,12),-0.495228 # DEPENDENCYPART_ARC
(13,14),-0.425791 # DEPENDENCYPART_ARC
(13,15),-0.68419 # DEPENDENCYPART_ARC
(13,16),-1.37195 # DEPENDENCYPART_ARC
(13,17),-1.5458 # DEPENDENCYPART_ARC
(13,18),-1.56216 # DEPENDENCYPART_ARC
(13,19),-1.37279 # DEPENDENCYPART_ARC
(13,20),-0.420294 # DEPENDENCYPART_ARC
(13,21),-1.74771 # DEPENDENCYPART_ARC
(13,22),-1.64831 # DEPENDENCYPART_ARC
(13,23),-0.961262 # DEPENDENCYPART_ARC
(14,1),-0.91507 # DEPENDENCYPART_ARC
(14,2),-1.58126 # DEPENDENCYPART_ARC
(14,3),-1.60663 # DEPENDENCYPART_ARC
(14,4),-1.74279 # DEPENDENCYPART_ARC
(14,5),-1.47253 # DEPENDENCYPART_ARC
(14,6),-1.16587 # DEPENDENCYPART_ARC
(14,7),-0.890866 # DEPENDENCYPART_ARC
(14,8),-1.67705 # DEPENDENCYPART_ARC
(14,9),-1.52226 # DEPENDENCYPART_ARC
(14,10),-0.853068 # DEPENDENCYPART_ARC
(14,11),-1.48172 # DEPENDENCYPART_ARC
(14,12),-0.738617 # DEPENDENCYPART_ARC
(14,13),-0.0644656 # DEPENDENCYPART_ARC
(14,15),-0.358515 # DEPENDENCYPART_ARC
(14,16),-1.80617 # DEPENDENCYPART_ARC
(14,17),-1.17383 # DEPENDENCYPART_ARC
(14,18),-2.00074 # DEPENDENCYPART_ARC
(14,19),-1.80739 # DEPENDENCYPART_ARC
(14,20),-0.549353 # DEPENDENCYPART_ARC
(14,21),-3.09158 # DEPENDENCYPART_ARC
(14,22),-2.32753 # DEPENDENCYPART_ARC
(14,23),-1.08497 # DEPENDENCYPART_ARC
(15,1),-1.52649 # DEPENDENCYPART_ARC
(15,2),-1.55449 # DEPENDENCYPART_ARC
(15,3),-1.83515 # DEPENDENCYPART_ARC
(15,4),-1.2158 # DEPENDENCYPART_ARC
(15,5),-1.47508 # DEPENDENCYPART_ARC
(15,6),-1.45184 # DEPENDENCYPART_ARC
(15,7),-1.22489 # DEPENDENCYPART_ARC
(15,8),-1.25372 # DEPENDENCYPART_ARC
(15,9),-1.33745 # DEPENDENCYPART_ARC
(15,10),-1.61059 # DEPENDENCYPART_ARC
(15,11),-0.772993 # DEPENDENCYPART_ARC
(15,12),-0.918618 # DEPENDENCYPART_ARC
(15,13),-0.890565 # DEPENDENCYPART_ARC
(15,14),-0.111569 # DEPENDENCYPART_ARC
(15,16),0.264005 # DEPENDENCYPART_ARC
(15,17),-0.137282 # DEPENDENCYPART_ARC
(15,18),-0.959316 # DEPENDENCYPART_ARC
(15,19),-0.272792 # DEPENDENCYPART_ARC
(15,20),-0.434457 # DEPENDENCYPART_ARC
(15,21),-1.00102 # DEPENDENCYPART_ARC
(15,22),-0.804038 # DEPENDENCYPART_ARC
(15,23),-0.74795 # DEPENDENCYPART_ARC
(16,1),-0.449764 # DEPENDENCYPART_ARC
(16,2),-0.702209 # DEPENDENCYPART_ARC
(16,3),-0.951506 # DEPENDENCYPART_ARC
(16,4),-1.27005 # DEPENDENCYPART_ARC
(16,5),-1.27752 # DEPENDENCYPART_ARC
(16,6),-0.525522 # DEPENDENCYPART_ARC
(16,7),0.197522 # DEPENDENCYPART_ARC
(16,8),-0.530514 # DEPENDENCYPART_ARC
(16,9),-1.94445 # DEPENDENCYPART_ARC
(16,10),-0.190668 # DEPENDENCYPART_ARC
(16,11),-1.32783 # DEPENDENCYPART_ARC
(16,12),-0.720019 # DEPENDENCYPART_ARC
(16,13),-0.654304 # DEPENDENCYPART_ARC
(16,14),-0.227358 # DEPENDENCYPART_ARC
(16,15),-0.328001 # DEPENDENCYPART_ARC
(16,17),0.024753 # DEPENDENCYPART_ARC
(16,18),-1.31468 # DEPENDENCYPART_ARC
(16,19),-1.32659 # DEPENDENCYPART_ARC
(16,20),-1.12798 # DEPENDENCYPART_ARC
(16,21),-2.48906 # DEPENDENCYPART_ARC
(16,22),-2.42874 # DEPENDENCYPART_ARC
(16,23),-1.28387 # DEPENDENCYPART_ARC
(17,1),-1.58145 # DEPENDENCYPART_ARC
(17,2),-1.45835 # DEPENDENCYPART_ARC
(17,3),-1.44675 # DEPENDENCYPART_ARC
(17,4),-1.60964 # DEPENDENCYPART_ARC
(17,5),-1.87067 # DEPENDENCYPART_ARC
(17,6),-1.13129 # DEPENDENCYPART_ARC
(17,7),-1.53741 # DEPENDENCYPART_ARC
(17,8),-1.43932 # DEPENDENCYPART_ARC
(17,9),-1.44532 # DEPENDENCYPART_ARC
(17,10),-1.25564 # DEPENDENCYPART_ARC
(17,11),-1.35956 # DEPENDENCYPART_ARC
(17,12),-1.4803 # DEPENDENCYPART_ARC
(17,13),-1.35653 # DEPENDENCYPART_ARC
(17,14),-1.28384 # DEPENDENCYPART_ARC
(17,15),-1.00861 # DEPENDENCYPART_ARC
(17,16),-0.133337 # DEPENDENCYPART_ARC
(17,18),-0.17692 # DEPENDENCYPART_ARC
(17,19),-0.920367 # DEPENDENCYPART_ARC
(17,20),-0.252568 # DEPENDENCYPART_ARC
(17,21),-1.23533 # DEPENDENCYPART_ARC
(17,22),-1.31523 # DEPENDENCYPART_ARC
(17,23),-0.498569 # DEPENDENCYPART_ARC
(18,1),-2.2887 # DEPENDENCYPART_ARC
(18,2),-1.86413 # DEPENDENCYPART_ARC
(18,3),-1.8292 # DEPENDENCYPART_ARC
(18,4),-1.46659 # DEPENDENCYPART_ARC
(18,5),-1.80436 # DEPENDENCYPART_ARC
(18,6),-1.54383 # DEPENDENCYPART_ARC
(18,7),-0.654017 # DEPENDENCYPART_ARC
(18,8),-1.44247 # DEPENDENCYPART_ARC
(18,9),-2.1049 # DEPENDENCYPART_ARC
(18,10),-1.12636 # DEPENDENCYPART_ARC
(18,11),-1.31748 # DEPENDENCYPART_ARC
(18,12),-1.54228 # DEPENDENCYPART_ARC
(18,13),-1.59746 # DEPENDENCYPART_ARC
(18,14),-1.50434 # DEPENDENCYPART_ARC
(18,15),-1.01422 # DEPENDENCYPART_ARC
(18,16),-0.408934 # DEPENDENCYPART_ARC
(18,17),0.405182 # DEPENDENCYPART_ARC
(18,19),2.70566 # DEPENDENCYPART_ARC
(18,20),0.371635 # DEPENDENCYPART_ARC
(18,21),-0.362709 # DEPENDENCYPART_ARC
(18,22),-0.399184 # DEPENDENCYPART_ARC
(18,23),-0.526097 # DEPENDENCYPART_ARC
(19,1),-1.53387 # DEPENDENCYPART_ARC
(19,2),-1.89479 # DEPENDENCYPART_ARC
(19,3),-1.93421 # DEPENDENCYPART_ARC
(19,4),-2.04304 # DEPENDENCYPART_ARC
(19,5),-1.81428 # DEPENDENCYPART_ARC
(19,6),-1.55734 # DEPENDENCYPART_ARC
(19,7),-1.33938 # DEPENDENCYPART_ARC
(19,8),-2.44141 # DEPENDENCYPART_ARC
(19,9),-1.92898 # DEPENDENCYPART_ARC
(19,10),-1.53363 # DEPENDENCYPART_ARC
(19,11),-2.05841 # DEPENDENCYPART_ARC
(19,12),-1.56172 # DEPENDENCYPART_ARC
(19,13),-1.55924 # DEPENDENCYPART_ARC
(19,14),-2.68304 # DEPENDENCYPART_ARC
(19,15),-1.68787 # DEPENDENCYPART_ARC
(19,16),-1.98062 # DEPENDENCYPART_ARC
(19,17),0.22542 # DEPENDENCYPART_ARC
(19,18),-0.281843 # DEPENDENCYPART_ARC
(19,20),1.73866 # DEPENDENCYPART_ARC
(19,21),-2.07133 # DEPENDENCYPART_ARC
(19,22),-1.27323 # DEPENDENCYPART_ARC
(19,23),-0.156956 # DEPENDENCYPART_ARC
(20,1),-1.06476 # DEPENDENCYPART_ARC
(20,2),-1.29345 # DEPENDENCYPART_ARC
(20,3),-1.36664 # DEPENDENCYPART_ARC
(20,4),-1.33734 # DEPENDENCYPART_ARC
(20,5),-1.54983 # DEPENDENCYPART_ARC
(20,6),-1.15335 # DEPENDENCYPART_ARC
(20,7),-1.65859 # DEPENDENCYPART_ARC
(20,8),-1.07822 # DEPENDENCYPART_ARC
(20,9),-1.74855 # DEPENDENCYPART_ARC
(20,10),-1.02328 # DEPENDENCYPART_ARC
(20,11),-0.896416 # DEPENDENCYPART_ARC
(20,12),-1.18997 # DEPENDENCYPART_ARC
(20,13),-1.15964 # DEPENDENCYPART_ARC
(20,14),-1.35268 # DEPENDENCYPART_ARC
(20,15),-0.960381 # DEPENDENCYPART_ARC
(20,16),-0.736581 # DEPENDENCYPART_ARC
(20,17),-0.742535 # DEPENDENCYPART_ARC
(20,18),-0.599427 # DEPENDENCYPART_ARC
(20,19),0.0990122 # DEPENDENCYPART_ARC
(20,21),-0.603739 # DEPENDENCYPART_ARC
(20,22),-1.24143 # DEPENDENCYPART_ARC
(20,23),-0.402004 # DEPENDENCYPART_ARC
(21,1),-0.986927 # DEPENDENCYPART_ARC
(21,2),-0.100157 # DEPENDENCYPART_ARC
(21,3),-1.57069 # DEPENDENCYPART_ARC
(21,4),-0.848785 # DEPENDENCYPART_ARC
(21,5),-0.709801 # DEPENDENCYPART_ARC
(21,6),-0.295626 # DEPENDENCYPART_ARC
(21,7),-0.443766 # DEPENDENCYPART_ARC
(21,8),-0.604729 # DEPENDENCYPART_ARC
(21,9),-1.99994 # DEPENDENCYPART_ARC
(21,10),-0.519363 # DEPENDENCYPART_ARC
(21,11),-1.18373 # DEPENDENCYPART_ARC
(21,12),-0.564382 # DEPENDENCYPART_ARC
(21,13),-0.912394 # DEPENDENCYPART_ARC
(21,14),-1.92023 # DEPENDENCYPART_ARC
(21,15),0.957841 # DEPENDENCYPART_ARC
(21,16),0.955054 # DEPENDENCYPART_ARC
(21,17),0.685547 # DEPENDENCYPART_ARC
(21,18),0.484149 # DEPENDENCYPART_ARC
(21,19),-1.33818 # DEPENDENCYPART_ARC
(21,20),0.219593 # DEPENDENCYPART_ARC
(21,22),1.97616 # DEPENDENCYPART_ARC
(21,23),0.146071 # DEPENDENCYPART_ARC
(22,1),-1.68556 # DEPENDENCYPART_ARC
(22,2),-1.26475 # DEPENDENCYPART_ARC
(22,3),-2.21844 # DEPENDENCYPART_ARC
(22,4),-1.14734 # DEPENDENCYPART_ARC
(22,5),-1.31507 # DEPENDENCYPART_ARC
(22,6),-0.951228 # DEPENDENCYPART_ARC
(22,7),-1.00325 # DEPENDENCYPART_ARC
(22,8),-0.931561 # DEPENDENCYPART_ARC
(22,9),-1.25724 # DEPENDENCYPART_ARC
(22,10),-0.833833 # DEPENDENCYPART_ARC
(22,11),-1.75064 # DEPENDENCYPART_ARC
(22,12),-1.15005 # DEPENDENCYPART_ARC
(22,13),-1.51527 # DEPENDENCYPART_ARC
(22,14),-0.995507 # DEPENDENCYPART_ARC
(22,15),-0.407521 # DEPENDENCYPART_ARC
(22,16),0.867231 # DEPENDENCYPART_ARC
(22,17),0.23302 # DEPENDENCYPART_ARC
(22,18),0.0401426 # DEPENDENCYPART_ARC
(22,19),-0.554834 # DEPENDENCYPART_ARC
(22,20),-0.886708 # DEPENDENCYPART_ARC
(22,21),0.854821 # DEPENDENCYPART_ARC
(22,23),2.09517 # DEPENDENCYPART_ARC
