# _root_ " sakabanaketa_bezalako legez kanpoko tresna presoen_kontra erabiltzeaz gain , orain espetxe_barruko errepresioa gogortzen ari_dira " , salatu dute aabek .
#goldHeads=0,5,5,3,7,7,13,7,8,13,12,13,0,0,14,15,0,17,17,19,
#predictedHeads=0,3,14,5,7,7,14,7,8,14,12,13,14,0,14,15,0,17,17,19,
(4,19),-4.34071 # DEPENDENCYPART_ARC
(4,20),-1.82927 # DEPENDENCYPART_ARC
(5,1),-1.53329 # DEPENDENCYPART_ARC
(5,2),-0.622161 # DEPENDENCYPART_ARC
(5,3),-0.14388 # DEPENDENCYPART_ARC
(5,4),2.19449 # DEPENDENCYPART_ARC
(5,6),-0.328464 # DEPENDENCYPART_ARC
(5,7),-1.90045 # DEPENDENCYPART_ARC
(5,8),-0.957942 # DEPENDENCYPART_ARC
(5,9),-0.836023 # DEPENDENCYPART_ARC
(5,10),-1.20468 # DEPENDENCYPART_ARC
(5,11),-2.47278 # DEPENDENCYPART_ARC
(5,12),-2.19016 # DEPENDENCYPART_ARC
(5,13),-1.9914 # DEPENDENCYPART_ARC
(5,14),-2.04832 # DEPENDENCYPART_ARC
(5,15),-1.50911 # DEPENDENCYPART_ARC
(5,16),-1.70876 # DEPENDENCYPART_ARC
(5,17),-2.88015 # DEPENDENCYPART_ARC
(5,18),-2.87652 # DEPENDENCYPART_ARC
(5,19),-3.43802 # DEPENDENCYPART_ARC
(5,20),-1.01927 # DEPENDENCYPART_ARC
(6,1),-2.17435 # DEPENDENCYPART_ARC
(6,2),-1.26135 # DEPENDENCYPART_ARC
(6,3),-2.19775 # DEPENDENCYPART_ARC
(6,4),1.07684 # DEPENDENCYPART_ARC
(6,5),-0.600367 # DEPENDENCYPART_ARC
(6,7),-2.03565 # DEPENDENCYPART_ARC
(6,8),-0.431002 # DEPENDENCYPART_ARC
(6,9),-0.422846 # DEPENDENCYPART_ARC
(6,10),-0.883112 # DEPENDENCYPART_ARC
(6,11),-2.1077 # DEPENDENCYPART_ARC
(6,12),-1.90376 # DEPENDENCYPART_ARC
(6,13),-2.28002 # DEPENDENCYPART_ARC
(6,14),-2.39428 # DEPENDENCYPART_ARC
(6,15),-1.28041 # DEPENDENCYPART_ARC
(6,16),-1.41503 # DEPENDENCYPART_ARC
(6,17),-3.40663 # DEPENDENCYPART_ARC
(6,18),-2.9018 # DEPENDENCYPART_ARC
(6,19),-2.89236 # DEPENDENCYPART_ARC
(6,20),-0.961371 # DEPENDENCYPART_ARC
(7,1),-1.77317 # DEPENDENCYPART_ARC
(7,2),-0.272377 # DEPENDENCYPART_ARC
(7,3),-0.33156 # DEPENDENCYPART_ARC
(7,4),-1.2406 # DEPENDENCYPART_ARC
(7,5),1.5425 # DEPENDENCYPART_ARC
(7,6),1.72426 # DEPENDENCYPART_ARC
(7,8),1.59176 # DEPENDENCYPART_ARC
(7,9),-0.593658 # DEPENDENCYPART_ARC
(7,10),-1.05256 # DEPENDENCYPART_ARC
(7,11),-0.544116 # DEPENDENCYPART_ARC
(7,12),-1.81147 # DEPENDENCYPART_ARC
(7,13),-1.67886 # DEPENDENCYPART_ARC
(7,14),-2.46493 # DEPENDENCYPART_ARC
(7,15),-1.01428 # DEPENDENCYPART_ARC
(7,16),-1.50177 # DEPENDENCYPART_ARC
(7,17),-3.44668 # DEPENDENCYPART_ARC
(7,18),-4.23366 # DEPENDENCYPART_ARC
(7,19),-2.42487 # DEPENDENCYPART_ARC
(7,20),-1.98745 # DEPENDENCYPART_ARC
(8,1),-1.66723 # DEPENDENCYPART_ARC
(8,2),-0.751274 # DEPENDENCYPART_ARC
(8,3),-1.17852 # DEPENDENCYPART_ARC
(8,4),-0.221717 # DEPENDENCYPART_ARC
(8,5),-1.78506 # DEPENDENCYPART_ARC
(8,6),1.11477 # DEPENDENCYPART_ARC
(8,7),-0.586302 # DEPENDENCYPART_ARC
(8,9),1.50581 # DEPENDENCYPART_ARC
(8,10),-0.20236 # DEPENDENCYPART_ARC
(8,11),-1.47263 # DEPENDENCYPART_ARC
(8,12),-1.40536 # DEPENDENCYPART_ARC
(8,13),-0.788088 # DEPENDENCYPART_ARC
(8,14),-0.919406 # DEPENDENCYPART_ARC
(8,15),-0.703198 # DEPENDENCYPART_ARC
(8,16),-0.928097 # DEPENDENCYPART_ARC
(8,17),-1.45794 # DEPENDENCYPART_ARC
(8,18),-1.10079 # DEPENDENCYPART_ARC
(8,19),-2.5314 # DEPENDENCYPART_ARC
(8,20),-0.256641 # DEPENDENCYPART_ARC
(9,1),-1.41439 # DEPENDENCYPART_ARC
(9,2),-0.818126 # DEPENDENCYPART_ARC
(9,3),-0.822103 # DEPENDENCYPART_ARC
(9,4),-0.787087 # DEPENDENCYPART_ARC
(9,5),-0.67123 # DEPENDENCYPART_ARC
(9,6),-0.510171 # DEPENDENCYPART_ARC
(9,7),-0.245237 # DEPENDENCYPART_ARC
(9,8),0.0166656 # DEPENDENCYPART_ARC
(9,10),-0.580994 # DEPENDENCYPART_ARC
(9,11),-0.685926 # DEPENDENCYPART_ARC
(9,12),-0.467008 # DEPENDENCYPART_ARC
(9,13),-0.81123 # DEPENDENCYPART_ARC
(9,14),-1.00296 # DEPENDENCYPART_ARC
(9,15),-0.328294 # DEPENDENCYPART_ARC
(9,16),-0.664775 # DEPENDENCYPART_ARC
(9,17),-1.17032 # DEPENDENCYPART_ARC
(9,18),-0.88385 # DEPENDENCYPART_ARC
(9,19),-1.19265 # DEPENDENCYPART_ARC
(9,20),-1.10005 # DEPENDENCYPART_ARC
(10,1),-1.78639 # DEPENDENCYPART_ARC
(10,2),-1.20519 # DEPENDENCYPART_ARC
(10,3),-1.31239 # DEPENDENCYPART_ARC
(10,4),-1.30557 # DEPENDENCYPART_ARC
(10,5),-1.25859 # DEPENDENCYPART_ARC
(10,6),-1.13617 # DEPENDENCYPART_ARC
(10,7),-0.902317 # DEPENDENCYPART_ARC
(10,8),-0.76967 # DEPENDENCYPART_ARC
(10,9),-0.0894961 # DEPENDENCYPART_ARC
(10,11),0.211971 # DEPENDENCYPART_ARC
(10,12),-0.582945 # DEPENDENCYPART_ARC
(10,13),-1.0423 # DEPENDENCYPART_ARC
(10,14),-1.19311 # DEPENDENCYPART_ARC
(10,15),-0.470369 # DEPENDENCYPART_ARC
(10,16),-0.699561 # DEPENDENCYPART_ARC
(10,17),-1.44341 # DEPENDENCYPART_ARC
(10,18),-1.18673 # DEPENDENCYPART_ARC
(10,19),-1.19538 # DEPENDENCYPART_ARC
(10,20),-0.857462 # DEPENDENCYPART_ARC
(11,1),-2.47434 # DEPENDENCYPART_ARC
(11,2),-1.87717 # DEPENDENCYPART_ARC
(11,3),-2.60023 # DEPENDENCYPART_ARC
(11,4),-1.02072 # DEPENDENCYPART_ARC
(11,5),-2.52691 # DEPENDENCYPART_ARC
(11,6),-1.43672 # DEPENDENCYPART_ARC
(11,7),-2.80101 # DEPENDENCYPART_ARC
(11,8),-1.84588 # DEPENDENCYPART_ARC
(11,9),-1.23274 # DEPENDENCYPART_ARC
(11,10),-0.510478 # DEPENDENCYPART_ARC
(11,12),0.555121 # DEPENDENCYPART_ARC
(11,13),-0.991182 # DEPENDENCYPART_ARC
(11,14),-1.21994 # DEPENDENCYPART_ARC
(11,15),-0.854014 # DEPENDENCYPART_ARC
(11,16),-1.0417 # DEPENDENCYPART_ARC
(11,17),-2.04848 # DEPENDENCYPART_ARC
(11,18),-1.91762 # DEPENDENCYPART_ARC
(11,19),-1.39812 # DEPENDENCYPART_ARC
(11,20),-0.751367 # DEPENDENCYPART_ARC
(12,1),-2.01879 # DEPENDENCYPART_ARC
(12,2),-1.02482 # DEPENDENCYPART_ARC
(12,3),-2.59018 # DEPENDENCYPART_ARC
(12,4),-0.797862 # DEPENDENCYPART_ARC
(12,5),-2.05855 # DEPENDENCYPART_ARC
(12,6),-0.917193 # DEPENDENCYPART_ARC
(12,7),-2.30034 # DEPENDENCYPART_ARC
(12,8),-1.42068 # DEPENDENCYPART_ARC
(12,9),-0.937129 # DEPENDENCYPART_ARC
(12,10),-0.16466 # DEPENDENCYPART_ARC
(12,11),2.14728 # DEPENDENCYPART_ARC
(12,13),-0.176911 # DEPENDENCYPART_ARC
(12,14),-1.33359 # DEPENDENCYPART_ARC
(12,15),-0.907279 # DEPENDENCYPART_ARC
(12,16),-1.11884 # DEPENDENCYPART_ARC
(12,17),-2.15047 # DEPENDENCYPART_ARC
(12,18),-2.27536 # DEPENDENCYPART_ARC
(12,19),-1.77787 # DEPENDENCYPART_ARC
(12,20),-0.930868 # DEPENDENCYPART_ARC
(13,1),-2.51881 # DEPENDENCYPART_ARC
(13,2),-1.17729 # DEPENDENCYPART_ARC
(13,3),-0.902191 # DEPENDENCYPART_ARC
(13,4),-1.64312 # DEPENDENCYPART_ARC
(13,5),0.273808 # DEPENDENCYPART_ARC
(13,6),-0.535161 # DEPENDENCYPART_ARC
(13,7),0.177853 # DEPENDENCYPART_ARC
(13,8),-0.752411 # DEPENDENCYPART_ARC
(13,9),-1.5704 # DEPENDENCYPART_ARC
(13,10),0.545325 # DEPENDENCYPART_ARC
(13,11),0.439244 # DEPENDENCYPART_ARC
(13,12),1.36624 # DEPENDENCYPART_ARC
(13,14),0.609871 # DEPENDENCYPART_ARC
(13,15),-0.0230359 # DEPENDENCYPART_ARC
(13,16),-1.11079 # DEPENDENCYPART_ARC
(13,17),-2.0107 # DEPENDENCYPART_ARC
(13,18),-2.51624 # DEPENDENCYPART_ARC
(13,19),-1.48498 # DEPENDENCYPART_ARC
(13,20),-1.23402 # DEPENDENCYPART_ARC
(14,1),-1.61037 # DEPENDENCYPART_ARC
(14,2),-0.16722 # DEPENDENCYPART_ARC
(14,3),0.359471 # DEPENDENCYPART_ARC
(14,4),-2.63085 # DEPENDENCYPART_ARC
(14,5),-0.2768 # DEPENDENCYPART_ARC
(14,6),0.422213 # DEPENDENCYPART_ARC
(14,7),1.28106 # DEPENDENCYPART_ARC
(14,8),0.0488808 # DEPENDENCYPART_ARC
(14,9),-0.896236 # DEPENDENCYPART_ARC
(14,10),1.32112 # DEPENDENCYPART_ARC
(14,11),1.63155 # DEPENDENCYPART_ARC
(14,12),1.30503 # DEPENDENCYPART_ARC
(14,13),2.96631 # DEPENDENCYPART_ARC
(14,15),2.35007 # DEPENDENCYPART_ARC
(14,16),0.220379 # DEPENDENCYPART_ARC
(14,17),-0.453711 # DEPENDENCYPART_ARC
(14,18),-0.600082 # DEPENDENCYPART_ARC
(14,19),-0.498341 # DEPENDENCYPART_ARC
(14,20),-0.127685 # DEPENDENCYPART_ARC
(15,1),-1.98453 # DEPENDENCYPART_ARC
(15,2),-1.25294 # DEPENDENCYPART_ARC
(15,3),-1.3844 # DEPENDENCYPART_ARC
(15,4),-1.42309 # DEPENDENCYPART_ARC
(15,5),-1.37891 # DEPENDENCYPART_ARC
(15,6),-1.41409 # DEPENDENCYPART_ARC
(15,7),-1.38513 # DEPENDENCYPART_ARC
(15,8),-1.58093 # DEPENDENCYPART_ARC
(15,9),-1.63932 # DEPENDENCYPART_ARC
(15,10),-1.53294 # DEPENDENCYPART_ARC
(15,11),-1.22181 # DEPENDENCYPART_ARC
(15,12),-1.01583 # DEPENDENCYPART_ARC
(15,13),-1.0127 # DEPENDENCYPART_ARC
(15,14),-0.488394 # DEPENDENCYPART_ARC
(15,16),2.09252 # DEPENDENCYPART_ARC
(15,17),-1.24435 # DEPENDENCYPART_ARC
(15,18),-0.714262 # DEPENDENCYPART_ARC
(15,19),-1.35092 # DEPENDENCYPART_ARC
(15,20),-0.389793 # DEPENDENCYPART_ARC
(16,1),-1.34133 # DEPENDENCYPART_ARC
(16,2),-0.66438 # DEPENDENCYPART_ARC
(16,3),-0.605213 # DEPENDENCYPART_ARC
(16,4),-0.707696 # DEPENDENCYPART_ARC
(16,5),-0.725593 # DEPENDENCYPART_ARC
(16,6),-0.650794 # DEPENDENCYPART_ARC
(16,7),-0.771048 # DEPENDENCYPART_ARC
(16,8),-0.757626 # DEPENDENCYPART_ARC
(16,9),-0.939116 # DEPENDENCYPART_ARC
(16,10),-0.75633 # DEPENDENCYPART_ARC
(16,11),-0.462769 # DEPENDENCYPART_ARC
(16,12),-0.324331 # DEPENDENCYPART_ARC
(16,13),-0.179994 # DEPENDENCYPART_ARC
(16,14),-0.0589176 # DEPENDENCYPART_ARC
(16,15),0.0495143 # DEPENDENCYPART_ARC
(16,17),-0.592803 # DEPENDENCYPART_ARC
(16,18),-0.272441 # DEPENDENCYPART_ARC
(16,19),-1.07618 # DEPENDENCYPART_ARC
(16,20),-0.566711 # DEPENDENCYPART_ARC
(17,1),-1.80902 # DEPENDENCYPART_ARC
(17,2),0.429327 # DEPENDENCYPART_ARC
(17,3),-0.275605 # DEPENDENCYPART_ARC
(17,4),-1.45859 # DEPENDENCYPART_ARC
(17,5),0.375854 # DEPENDENCYPART_ARC
(17,6),-0.36346 # DEPENDENCYPART_ARC
(17,7),-0.0511883 # DEPENDENCYPART_ARC
(17,8),-0.459358 # DEPENDENCYPART_ARC
(17,9),-1.03833 # DEPENDENCYPART_ARC
(17,10),-0.0155249 # DEPENDENCYPART_ARC
(17,11),0.169769 # DEPENDENCYPART_ARC
(17,12),0.291828 # DEPENDENCYPART_ARC
(17,13),0.531134 # DEPENDENCYPART_ARC
(17,14),-0.349073 # DEPENDENCYPART_ARC
(17,15),-0.626236 # DEPENDENCYPART_ARC
(17,16),0.111196 # DEPENDENCYPART_ARC
(17,18),2.53849 # DEPENDENCYPART_ARC
(17,19),2.50365 # DEPENDENCYPART_ARC
(17,20),0.15866 # DEPENDENCYPART_ARC
(18,1),-1.90261 # DEPENDENCYPART_ARC
(18,2),-1.93021 # DEPENDENCYPART_ARC
(18,3),-1.3726 # DEPENDENCYPART_ARC
(18,4),-1.32608 # DEPENDENCYPART_ARC
(18,5),-1.19443 # DEPENDENCYPART_ARC
(18,6),-1.62653 # DEPENDENCYPART_ARC
(18,7),-1.52258 # DEPENDENCYPART_ARC
(18,8),-1.24922 # DEPENDENCYPART_ARC
(18,9),-1.64214 # DEPENDENCYPART_ARC
(18,10),-0.96021 # DEPENDENCYPART_ARC
(18,11),-1.10704 # DEPENDENCYPART_ARC
(18,12),-0.583404 # DEPENDENCYPART_ARC
(18,13),-1.35542 # DEPENDENCYPART_ARC
(18,14),-1.66669 # DEPENDENCYPART_ARC
(18,15),-1.04584 # DEPENDENCYPART_ARC
(18,16),-1.01078 # DEPENDENCYPART_ARC
(18,17),-0.868829 # DEPENDENCYPART_ARC
(18,19),-1.0219 # DEPENDENCYPART_ARC
(18,20),-0.377575 # DEPENDENCYPART_ARC
(19,1),-2.55691 # DEPENDENCYPART_ARC
(19,2),-5.16626 # DEPENDENCYPART_ARC
(19,3),-4.90761 # DEPENDENCYPART_ARC
(19,4),-3.5607 # DEPENDENCYPART_ARC
(19,5),-5.56438 # DEPENDENCYPART_ARC
(19,6),-4.43331 # DEPENDENCYPART_ARC
(19,7),-5.04355 # DEPENDENCYPART_ARC
(19,8),-4.36205 # DEPENDENCYPART_ARC
(19,9),-2.00135 # DEPENDENCYPART_ARC
(19,10),-1.80991 # DEPENDENCYPART_ARC
(19,11),-2.50115 # DEPENDENCYPART_ARC
(19,12),-3.81233 # DEPENDENCYPART_ARC
(19,13),-2.12214 # DEPENDENCYPART_ARC
(19,14),-3.47291 # DEPENDENCYPART_ARC
(19,15),-2.1118 # DEPENDENCYPART_ARC
(19,16),-1.47934 # DEPENDENCYPART_ARC
(19,17),-0.0871791 # DEPENDENCYPART_ARC
(19,18),-1.45777 # DEPENDENCYPART_ARC
(19,20),2.00649 # DEPENDENCYPART_ARC
(20,1),-1.75944 # DEPENDENCYPART_ARC
(20,2),-1.77737 # DEPENDENCYPART_ARC
(20,3),-1.72833 # DEPENDENCYPART_ARC
(20,4),-1.69149 # DEPENDENCYPART_ARC
(20,5),-1.58632 # DEPENDENCYPART_ARC
(20,6),-1.57946 # DEPENDENCYPART_ARC
(20,7),-1.77827 # DEPENDENCYPART_ARC
(20,8),-1.9168 # DEPENDENCYPART_ARC
(20,9),-1.58744 # DEPENDENCYPART_ARC
(20,10),-1.41851 # DEPENDENCYPART_ARC
(20,11),-1.41289 # DEPENDENCYPART_ARC
(20,12),-1.23949 # DEPENDENCYPART_ARC
(20,13),-1.61132 # DEPENDENCYPART_ARC
(20,14),-1.6823 # DEPENDENCYPART_ARC
(20,15),-1.52032 # DEPENDENCYPART_ARC
(20,16),-1.31857 # DEPENDENCYPART_ARC
(20,17),-0.822585 # DEPENDENCYPART_ARC
(20,18),-1.0421 # DEPENDENCYPART_ARC
(20,19),-0.452567 # DEPENDENCYPART_ARC
