# _root_ " ez dizkiegu gauzak errazak jarriko andaluzian " , esan zuen torresek , eta polizia lanean ari_dela gehitu zuen .
#goldHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
#predictedHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
(5,6),-0.887396 # DEPENDENCYPART_ARC
(5,7),-2.51921 # DEPENDENCYPART_ARC
(5,8),-0.469406 # DEPENDENCYPART_ARC
(5,9),-0.887984 # DEPENDENCYPART_ARC
(5,10),-2.33252 # DEPENDENCYPART_ARC
(5,11),-1.5444 # DEPENDENCYPART_ARC
(5,12),-1.79852 # DEPENDENCYPART_ARC
(5,13),-1.07329 # DEPENDENCYPART_ARC
(5,14),-1.29295 # DEPENDENCYPART_ARC
(5,15),-2.07714 # DEPENDENCYPART_ARC
(5,16),-2.88049 # DEPENDENCYPART_ARC
(5,17),-2.85617 # DEPENDENCYPART_ARC
(5,18),-2.7904 # DEPENDENCYPART_ARC
(5,19),-1.77773 # DEPENDENCYPART_ARC
(5,20),-1.28261 # DEPENDENCYPART_ARC
(6,1),-0.894141 # DEPENDENCYPART_ARC
(6,2),1.7277 # DEPENDENCYPART_ARC
(6,3),1.22522 # DEPENDENCYPART_ARC
(6,4),2.76674 # DEPENDENCYPART_ARC
(6,5),1.38995 # DEPENDENCYPART_ARC
(6,7),1.65362 # DEPENDENCYPART_ARC
(6,8),0.235413 # DEPENDENCYPART_ARC
(6,9),-0.631507 # DEPENDENCYPART_ARC
(6,10),-0.791041 # DEPENDENCYPART_ARC
(6,11),-0.500038 # DEPENDENCYPART_ARC
(6,12),-0.523107 # DEPENDENCYPART_ARC
(6,13),-0.909543 # DEPENDENCYPART_ARC
(6,14),-0.73328 # DEPENDENCYPART_ARC
(6,15),-1.87683 # DEPENDENCYPART_ARC
(6,16),-1.29916 # DEPENDENCYPART_ARC
(6,17),-0.879128 # DEPENDENCYPART_ARC
(6,18),-1.30759 # DEPENDENCYPART_ARC
(6,19),-1.60229 # DEPENDENCYPART_ARC
(6,20),-1.50848 # DEPENDENCYPART_ARC
(7,1),-2.37257 # DEPENDENCYPART_ARC
(7,2),-1.65207 # DEPENDENCYPART_ARC
(7,4),-3.66636 # DEPENDENCYPART_ARC
(7,5),-2.413 # DEPENDENCYPART_ARC
(7,6),-0.745318 # DEPENDENCYPART_ARC
(7,8),1.73733 # DEPENDENCYPART_ARC
(7,9),0.185177 # DEPENDENCYPART_ARC
(7,10),-2.04177 # DEPENDENCYPART_ARC
(7,12),-0.539204 # DEPENDENCYPART_ARC
(7,13),-0.20751 # DEPENDENCYPART_ARC
(7,14),-1.35025 # DEPENDENCYPART_ARC
(7,15),-1.84462 # DEPENDENCYPART_ARC
(7,16),-1.40231 # DEPENDENCYPART_ARC
(7,18),-2.64239 # DEPENDENCYPART_ARC
(7,20),-0.970516 # DEPENDENCYPART_ARC
(8,1),-1.5539 # DEPENDENCYPART_ARC
(8,2),-1.22934 # DEPENDENCYPART_ARC
(8,3),-1.34619 # DEPENDENCYPART_ARC
(8,4),-1.3235 # DEPENDENCYPART_ARC
(8,5),-1.19008 # DEPENDENCYPART_ARC
(8,6),-0.772602 # DEPENDENCYPART_ARC
(8,7),-0.595161 # DEPENDENCYPART_ARC
(8,9),2.03812 # DEPENDENCYPART_ARC
(8,10),-1.20587 # DEPENDENCYPART_ARC
(8,11),-0.747961 # DEPENDENCYPART_ARC
(8,12),-0.934042 # DEPENDENCYPART_ARC
(8,13),-0.222809 # DEPENDENCYPART_ARC
(8,15),-1.223 # DEPENDENCYPART_ARC
(8,16),-1.29271 # DEPENDENCYPART_ARC
(8,17),-1.45767 # DEPENDENCYPART_ARC
(8,18),-1.49557 # DEPENDENCYPART_ARC
(8,19),-0.903246 # DEPENDENCYPART_ARC
(8,20),-1.12933 # DEPENDENCYPART_ARC
(9,1),-0.824815 # DEPENDENCYPART_ARC
(9,3),-0.563401 # DEPENDENCYPART_ARC
(9,4),-0.518536 # DEPENDENCYPART_ARC
(9,5),-0.569205 # DEPENDENCYPART_ARC
(9,6),-0.227176 # DEPENDENCYPART_ARC
(9,8),0.0926823 # DEPENDENCYPART_ARC
(9,10),-0.667361 # DEPENDENCYPART_ARC
(9,11),-0.372769 # DEPENDENCYPART_ARC
(9,12),-1.17122 # DEPENDENCYPART_ARC
(9,14),-1.2592 # DEPENDENCYPART_ARC
(9,15),-1.49672 # DEPENDENCYPART_ARC
(9,16),-1.5409 # DEPENDENCYPART_ARC
(9,17),-1.44409 # DEPENDENCYPART_ARC
(9,18),-1.60313 # DEPENDENCYPART_ARC
(9,19),-0.783323 # DEPENDENCYPART_ARC
(10,1),-1.08425 # DEPENDENCYPART_ARC
(10,2),-0.636723 # DEPENDENCYPART_ARC
(10,3),-0.956692 # DEPENDENCYPART_ARC
(10,4),-0.100573 # DEPENDENCYPART_ARC
(10,5),-1.15106 # DEPENDENCYPART_ARC
(10,6),0.866962 # DEPENDENCYPART_ARC
(10,7),0.472858 # DEPENDENCYPART_ARC
(10,8),-0.920986 # DEPENDENCYPART_ARC
(10,9),-0.0665954 # DEPENDENCYPART_ARC
(10,11),2.20617 # DEPENDENCYPART_ARC
(10,12),2.20632 # DEPENDENCYPART_ARC
(10,13),-0.088541 # DEPENDENCYPART_ARC
(10,14),0.144914 # DEPENDENCYPART_ARC
(10,15),-0.276677 # DEPENDENCYPART_ARC
(10,16),-0.39092 # DEPENDENCYPART_ARC
(10,17),-0.149274 # DEPENDENCYPART_ARC
(10,18),-0.399883 # DEPENDENCYPART_ARC
(10,19),-0.636369 # DEPENDENCYPART_ARC
(10,20),-0.721236 # DEPENDENCYPART_ARC
(11,1),-2.08237 # DEPENDENCYPART_ARC
(11,2),-1.79172 # DEPENDENCYPART_ARC
(11,3),-1.66269 # DEPENDENCYPART_ARC
(11,4),-1.71374 # DEPENDENCYPART_ARC
(11,5),-2.37358 # DEPENDENCYPART_ARC
(11,6),-2.96928 # DEPENDENCYPART_ARC
(11,7),-1.97445 # DEPENDENCYPART_ARC
(11,8),-1.5536 # DEPENDENCYPART_ARC
(11,9),-1.5228 # DEPENDENCYPART_ARC
(11,10),-1.90215 # DEPENDENCYPART_ARC
(11,12),-0.505435 # DEPENDENCYPART_ARC
(11,13),-0.302957 # DEPENDENCYPART_ARC
(11,14),-1.65448 # DEPENDENCYPART_ARC
(11,15),-2.01262 # DEPENDENCYPART_ARC
(11,16),-1.43237 # DEPENDENCYPART_ARC
(11,17),-1.35893 # DEPENDENCYPART_ARC
(11,18),-2.43564 # DEPENDENCYPART_ARC
(11,19),-1.10538 # DEPENDENCYPART_ARC
(11,20),-1.00785 # DEPENDENCYPART_ARC
(12,1),-2.33251 # DEPENDENCYPART_ARC
(12,4),-3.86778 # DEPENDENCYPART_ARC
(12,5),-3.37433 # DEPENDENCYPART_ARC
(12,6),-1.93407 # DEPENDENCYPART_ARC
(12,7),-3.70317 # DEPENDENCYPART_ARC
(12,8),-1.80435 # DEPENDENCYPART_ARC
(12,9),-1.27608 # DEPENDENCYPART_ARC
(12,10),0.101351 # DEPENDENCYPART_ARC
(12,13),1.60664 # DEPENDENCYPART_ARC
(12,15),-1.81579 # DEPENDENCYPART_ARC
(12,16),-2.09022 # DEPENDENCYPART_ARC
(12,17),-2.29849 # DEPENDENCYPART_ARC
(12,18),-2.55936 # DEPENDENCYPART_ARC
(12,20),-0.86892 # DEPENDENCYPART_ARC
(13,1),-1.61896 # DEPENDENCYPART_ARC
(13,3),-1.25117 # DEPENDENCYPART_ARC
(13,4),-1.48213 # DEPENDENCYPART_ARC
(13,5),-1.41764 # DEPENDENCYPART_ARC
(13,6),-1.21878 # DEPENDENCYPART_ARC
(13,8),-1.46915 # DEPENDENCYPART_ARC
(13,10),-0.406348 # DEPENDENCYPART_ARC
(13,11),-0.936318 # DEPENDENCYPART_ARC
(13,12),-0.476615 # DEPENDENCYPART_ARC
(13,14),-0.621993 # DEPENDENCYPART_ARC
(13,15),-1.13805 # DEPENDENCYPART_ARC
(13,16),-0.94164 # DEPENDENCYPART_ARC
(13,17),-1.07931 # DEPENDENCYPART_ARC
(13,18),-1.10372 # DEPENDENCYPART_ARC
(13,19),-1.24491 # DEPENDENCYPART_ARC
(14,1),-1.39907 # DEPENDENCYPART_ARC
(14,2),-1.18895 # DEPENDENCYPART_ARC
(14,3),-1.21067 # DEPENDENCYPART_ARC
(14,4),-0.715945 # DEPENDENCYPART_ARC
(14,5),-1.55407 # DEPENDENCYPART_ARC
(14,6),-0.208524 # DEPENDENCYPART_ARC
(14,7),-0.794763 # DEPENDENCYPART_ARC
(14,8),-1.24645 # DEPENDENCYPART_ARC
(14,9),-1.26191 # DEPENDENCYPART_ARC
(14,10),1.60952 # DEPENDENCYPART_ARC
(14,11),-0.785061 # DEPENDENCYPART_ARC
(14,12),0.43918 # DEPENDENCYPART_ARC
(14,13),-0.257329 # DEPENDENCYPART_ARC
(14,15),0.339997 # DEPENDENCYPART_ARC
(14,16),0.108135 # DEPENDENCYPART_ARC
(14,17),0.660784 # DEPENDENCYPART_ARC
(14,18),1.16324 # DEPENDENCYPART_ARC
(14,19),-0.620717 # DEPENDENCYPART_ARC
(14,20),-0.442259 # DEPENDENCYPART_ARC
(15,1),-3.2125 # DEPENDENCYPART_ARC
(15,2),-2.1811 # DEPENDENCYPART_ARC
(15,3),-3.80795 # DEPENDENCYPART_ARC
(15,4),-4.03679 # DEPENDENCYPART_ARC
(15,5),-3.37074 # DEPENDENCYPART_ARC
(15,6),-2.83679 # DEPENDENCYPART_ARC
(15,7),-3.74494 # DEPENDENCYPART_ARC
(15,8),-2.94986 # DEPENDENCYPART_ARC
(15,9),-2.59015 # DEPENDENCYPART_ARC
(15,10),-1.65783 # DEPENDENCYPART_ARC
(15,11),-3.04689 # DEPENDENCYPART_ARC
(15,12),-3.12001 # DEPENDENCYPART_ARC
(15,13),-1.78143 # DEPENDENCYPART_ARC
(15,14),-1.31337 # DEPENDENCYPART_ARC
(15,16),0.277756 # DEPENDENCYPART_ARC
(15,17),-1.84598 # DEPENDENCYPART_ARC
(15,18),-2.3792 # DEPENDENCYPART_ARC
(15,19),-1.70088 # DEPENDENCYPART_ARC
(15,20),-1.01949 # DEPENDENCYPART_ARC
(16,1),-1.6352 # DEPENDENCYPART_ARC
(16,2),-1.57333 # DEPENDENCYPART_ARC
(16,3),-2.5492 # DEPENDENCYPART_ARC
(16,4),-3.96739 # DEPENDENCYPART_ARC
(16,5),-3.11984 # DEPENDENCYPART_ARC
(16,6),-2.08056 # DEPENDENCYPART_ARC
(16,7),-3.90419 # DEPENDENCYPART_ARC
(16,8),-1.59442 # DEPENDENCYPART_ARC
(16,9),-1.12066 # DEPENDENCYPART_ARC
(16,10),-0.98205 # DEPENDENCYPART_ARC
(16,11),-1.74961 # DEPENDENCYPART_ARC
(16,12),-3.4932 # DEPENDENCYPART_ARC
(16,13),-0.858551 # DEPENDENCYPART_ARC
(16,14),-0.22657 # DEPENDENCYPART_ARC
(16,15),-0.314826 # DEPENDENCYPART_ARC
(16,17),-0.850827 # DEPENDENCYPART_ARC
(16,18),-2.8232 # DEPENDENCYPART_ARC
(16,19),-2.21742 # DEPENDENCYPART_ARC
(16,20),-1.18857 # DEPENDENCYPART_ARC
(17,1),-1.69466 # DEPENDENCYPART_ARC
(17,2),-0.311423 # DEPENDENCYPART_ARC
(17,3),0.182598 # DEPENDENCYPART_ARC
(17,4),-1.10114 # DEPENDENCYPART_ARC
(17,5),-2.20949 # DEPENDENCYPART_ARC
(17,6),-0.739727 # DEPENDENCYPART_ARC
(17,7),-1.55253 # DEPENDENCYPART_ARC
(17,8),-1.51399 # DEPENDENCYPART_ARC
(17,9),-1.38782 # DEPENDENCYPART_ARC
(17,10),-0.572033 # DEPENDENCYPART_ARC
(17,11),-1.23093 # DEPENDENCYPART_ARC
(17,12),-1.04755 # DEPENDENCYPART_ARC
(17,13),-1.12788 # DEPENDENCYPART_ARC
(17,14),0.00495124 # DEPENDENCYPART_ARC
(17,15),1.38687 # DEPENDENCYPART_ARC
(17,16),1.93034 # DEPENDENCYPART_ARC
(17,18),0.626258 # DEPENDENCYPART_ARC
(17,19),-0.328513 # DEPENDENCYPART_ARC
(17,20),-0.634709 # DEPENDENCYPART_ARC
(18,1),-1.59837 # DEPENDENCYPART_ARC
(18,2),-0.953258 # DEPENDENCYPART_ARC
(18,3),-1.09023 # DEPENDENCYPART_ARC
(18,4),-0.972101 # DEPENDENCYPART_ARC
(18,5),-1.28769 # DEPENDENCYPART_ARC
(18,6),0.139594 # DEPENDENCYPART_ARC
(18,7),-1.0022 # DEPENDENCYPART_ARC
(18,8),-1.50069 # DEPENDENCYPART_ARC
(18,9),-1.35663 # DEPENDENCYPART_ARC
(18,10),0.535123 # DEPENDENCYPART_ARC
(18,11),-0.466378 # DEPENDENCYPART_ARC
(18,12),-0.286627 # DEPENDENCYPART_ARC
(18,13),-1.2596 # DEPENDENCYPART_ARC
(18,14),0.349904 # DEPENDENCYPART_ARC
(18,15),0.988062 # DEPENDENCYPART_ARC
(18,16),1.25605 # DEPENDENCYPART_ARC
(18,17),1.41308 # DEPENDENCYPART_ARC
(18,19),1.64837 # DEPENDENCYPART_ARC
(18,20),0.187017 # DEPENDENCYPART_ARC
(19,1),-2.12489 # DEPENDENCYPART_ARC
(19,2),-1.74015 # DEPENDENCYPART_ARC
(19,3),-1.80126 # DEPENDENCYPART_ARC
(19,4),-1.49112 # DEPENDENCYPART_ARC
(19,5),-2.34901 # DEPENDENCYPART_ARC
(19,6),-2.69244 # DEPENDENCYPART_ARC
(19,7),-2.10969 # DEPENDENCYPART_ARC
(19,8),-2.05343 # DEPENDENCYPART_ARC
(19,9),-1.96812 # DEPENDENCYPART_ARC
(19,10),-2.88551 # DEPENDENCYPART_ARC
(19,11),-1.49735 # DEPENDENCYPART_ARC
(19,12),-1.70112 # DEPENDENCYPART_ARC
(19,13),-1.80328 # DEPENDENCYPART_ARC
(19,14),-1.68852 # DEPENDENCYPART_ARC
(19,15),-0.762488 # DEPENDENCYPART_ARC
(19,16),-1.10894 # DEPENDENCYPART_ARC
(19,17),-2.20148 # DEPENDENCYPART_ARC
(19,18),-1.91771 # DEPENDENCYPART_ARC
(19,20),1.76025 # DEPENDENCYPART_ARC
(20,1),-1.6593 # DEPENDENCYPART_ARC
(20,4),-1.61625 # DEPENDENCYPART_ARC
(20,6),-1.83195 # DEPENDENCYPART_ARC
(20,7),-1.60126 # DEPENDENCYPART_ARC
(20,8),-1.58821 # DEPENDENCYPART_ARC
(20,9),-1.48908 # DEPENDENCYPART_ARC
(20,10),-1.24029 # DEPENDENCYPART_ARC
(20,13),-1.27614 # DEPENDENCYPART_ARC
(20,14),-0.607568 # DEPENDENCYPART_ARC
(20,15),-0.87413 # DEPENDENCYPART_ARC
(20,16),-0.491322 # DEPENDENCYPART_ARC
(20,18),-0.871422 # DEPENDENCYPART_ARC
