# _root_ zergatik oroitu behar_zuen nitaz , bere bizitzan_zehar , gainean eta azpian izandako ehundaka haietariko beste bat gehiago ez banintz bezala ? .
#goldHeads=3,3,0,2,4,7,3,7,10,12,10,16,14,16,16,19,16,19,3,19,20,21,
#predictedHeads=2,3,0,2,4,7,10,7,10,12,10,0,12,13,16,17,19,19,10,19,20,21,
(12,16),-1.12827 # DEPENDENCYPART_ARC
(12,17),-1.68849 # DEPENDENCYPART_ARC
(12,18),-0.788616 # DEPENDENCYPART_ARC
(12,19),-0.610022 # DEPENDENCYPART_ARC
(12,20),-0.74196 # DEPENDENCYPART_ARC
(12,21),-0.750515 # DEPENDENCYPART_ARC
(12,22),-0.748933 # DEPENDENCYPART_ARC
(13,1),-1.35802 # DEPENDENCYPART_ARC
(13,2),-2.21971 # DEPENDENCYPART_ARC
(13,5),-1.53777 # DEPENDENCYPART_ARC
(13,7),-1.90376 # DEPENDENCYPART_ARC
(13,8),-1.53371 # DEPENDENCYPART_ARC
(13,9),-1.12011 # DEPENDENCYPART_ARC
(13,10),-0.536803 # DEPENDENCYPART_ARC
(13,11),-0.466203 # DEPENDENCYPART_ARC
(13,12),-0.198784 # DEPENDENCYPART_ARC
(13,14),1.10118 # DEPENDENCYPART_ARC
(13,15),-0.155326 # DEPENDENCYPART_ARC
(13,16),-0.348139 # DEPENDENCYPART_ARC
(13,17),-0.496694 # DEPENDENCYPART_ARC
(13,18),-0.26338 # DEPENDENCYPART_ARC
(13,19),-0.552106 # DEPENDENCYPART_ARC
(13,20),-0.641665 # DEPENDENCYPART_ARC
(13,21),-0.66321 # DEPENDENCYPART_ARC
(13,22),-0.626433 # DEPENDENCYPART_ARC
(14,2),-1.89567 # DEPENDENCYPART_ARC
(14,5),-1.30985 # DEPENDENCYPART_ARC
(14,7),-2.76698 # DEPENDENCYPART_ARC
(14,8),-1.21688 # DEPENDENCYPART_ARC
(14,9),-1.84466 # DEPENDENCYPART_ARC
(14,10),-0.315678 # DEPENDENCYPART_ARC
(14,11),-1.40764 # DEPENDENCYPART_ARC
(14,12),0.0951302 # DEPENDENCYPART_ARC
(14,13),0.590968 # DEPENDENCYPART_ARC
(14,15),0.124888 # DEPENDENCYPART_ARC
(14,16),-0.705096 # DEPENDENCYPART_ARC
(14,17),-2.07504 # DEPENDENCYPART_ARC
(14,19),-1.25475 # DEPENDENCYPART_ARC
(14,21),-1.06247 # DEPENDENCYPART_ARC
(14,22),-1.13318 # DEPENDENCYPART_ARC
(15,1),-1.48211 # DEPENDENCYPART_ARC
(15,2),-2.13621 # DEPENDENCYPART_ARC
(15,5),-1.68484 # DEPENDENCYPART_ARC
(15,7),-2.12869 # DEPENDENCYPART_ARC
(15,8),-1.63311 # DEPENDENCYPART_ARC
(15,9),-1.9921 # DEPENDENCYPART_ARC
(15,10),-1.05219 # DEPENDENCYPART_ARC
(15,11),-1.62871 # DEPENDENCYPART_ARC
(15,12),-1.3697 # DEPENDENCYPART_ARC
(15,13),-0.541187 # DEPENDENCYPART_ARC
(15,14),0.169603 # DEPENDENCYPART_ARC
(15,16),0.242224 # DEPENDENCYPART_ARC
(15,17),-0.64445 # DEPENDENCYPART_ARC
(15,18),-0.287204 # DEPENDENCYPART_ARC
(15,19),-0.913038 # DEPENDENCYPART_ARC
(15,20),-0.945664 # DEPENDENCYPART_ARC
(15,21),-0.715405 # DEPENDENCYPART_ARC
(15,22),-0.774053 # DEPENDENCYPART_ARC
(16,2),-1.67704 # DEPENDENCYPART_ARC
(16,5),-1.37719 # DEPENDENCYPART_ARC
(16,6),-1.01174 # DEPENDENCYPART_ARC
(16,7),-1.33585 # DEPENDENCYPART_ARC
(16,8),-1.20134 # DEPENDENCYPART_ARC
(16,9),-1.25018 # DEPENDENCYPART_ARC
(16,10),-0.782805 # DEPENDENCYPART_ARC
(16,11),-1.01004 # DEPENDENCYPART_ARC
(16,12),-0.824123 # DEPENDENCYPART_ARC
(16,13),-0.40637 # DEPENDENCYPART_ARC
(16,14),0.15625 # DEPENDENCYPART_ARC
(16,15),0.880588 # DEPENDENCYPART_ARC
(16,17),0.473189 # DEPENDENCYPART_ARC
(16,19),-0.70436 # DEPENDENCYPART_ARC
(16,20),-0.181108 # DEPENDENCYPART_ARC
(16,22),-0.124801 # DEPENDENCYPART_ARC
(17,1),-1.14387 # DEPENDENCYPART_ARC
(17,2),-1.78079 # DEPENDENCYPART_ARC
(17,5),-1.38154 # DEPENDENCYPART_ARC
(17,7),-2.176 # DEPENDENCYPART_ARC
(17,8),-1.2905 # DEPENDENCYPART_ARC
(17,9),-0.993605 # DEPENDENCYPART_ARC
(17,10),-0.631017 # DEPENDENCYPART_ARC
(17,11),-0.883717 # DEPENDENCYPART_ARC
(17,12),-0.744579 # DEPENDENCYPART_ARC
(17,13),-0.643772 # DEPENDENCYPART_ARC
(17,14),0.0562311 # DEPENDENCYPART_ARC
(17,15),-0.199311 # DEPENDENCYPART_ARC
(17,16),0.273287 # DEPENDENCYPART_ARC
(17,18),0.943798 # DEPENDENCYPART_ARC
(17,19),-0.621636 # DEPENDENCYPART_ARC
(17,20),-0.644466 # DEPENDENCYPART_ARC
(17,21),-0.406692 # DEPENDENCYPART_ARC
(17,22),-0.541638 # DEPENDENCYPART_ARC
(18,2),-1.87508 # DEPENDENCYPART_ARC
(18,5),-1.44266 # DEPENDENCYPART_ARC
(18,7),-1.80823 # DEPENDENCYPART_ARC
(18,8),-1.42638 # DEPENDENCYPART_ARC
(18,9),-1.99958 # DEPENDENCYPART_ARC
(18,10),-1.22214 # DEPENDENCYPART_ARC
(18,11),-1.88365 # DEPENDENCYPART_ARC
(18,12),-1.67947 # DEPENDENCYPART_ARC
(18,19),-0.765533 # DEPENDENCYPART_ARC
(18,21),-0.0768957 # DEPENDENCYPART_ARC
(18,22),-0.299373 # DEPENDENCYPART_ARC
(19,1),-0.16592 # DEPENDENCYPART_ARC
(19,2),-1.20856 # DEPENDENCYPART_ARC
(19,3),-2.02237 # DEPENDENCYPART_ARC
(19,4),0.0853859 # DEPENDENCYPART_ARC
(19,5),-1.06441 # DEPENDENCYPART_ARC
(19,6),-2.31778 # DEPENDENCYPART_ARC
(19,7),-0.852035 # DEPENDENCYPART_ARC
(19,8),-1.0891 # DEPENDENCYPART_ARC
(19,9),-1.11699 # DEPENDENCYPART_ARC
(19,10),-1.1026 # DEPENDENCYPART_ARC
(19,11),-0.817496 # DEPENDENCYPART_ARC
(19,12),-1.23729 # DEPENDENCYPART_ARC
(19,13),-1.04926 # DEPENDENCYPART_ARC
(19,14),-1.25003 # DEPENDENCYPART_ARC
(19,15),-0.272148 # DEPENDENCYPART_ARC
(19,16),-0.37293 # DEPENDENCYPART_ARC
(19,17),0.381887 # DEPENDENCYPART_ARC
(19,18),1.43571 # DEPENDENCYPART_ARC
(19,20),1.81599 # DEPENDENCYPART_ARC
(19,21),0.634474 # DEPENDENCYPART_ARC
(19,22),0.459823 # DEPENDENCYPART_ARC
(20,2),-1.60892 # DEPENDENCYPART_ARC
(20,3),-1.65682 # DEPENDENCYPART_ARC
(20,4),-1.56332 # DEPENDENCYPART_ARC
(20,5),-1.61666 # DEPENDENCYPART_ARC
(20,6),-1.49557 # DEPENDENCYPART_ARC
(20,7),-1.04979 # DEPENDENCYPART_ARC
(20,8),-1.52615 # DEPENDENCYPART_ARC
(20,9),-1.20878 # DEPENDENCYPART_ARC
(20,10),-0.910338 # DEPENDENCYPART_ARC
(20,11),-1.18662 # DEPENDENCYPART_ARC
(20,12),-1.42259 # DEPENDENCYPART_ARC
(20,13),-1.2783 # DEPENDENCYPART_ARC
(20,14),-1.26077 # DEPENDENCYPART_ARC
(20,15),-1.20676 # DEPENDENCYPART_ARC
(20,16),-1.09388 # DEPENDENCYPART_ARC
(20,17),-0.863232 # DEPENDENCYPART_ARC
(20,18),-0.842293 # DEPENDENCYPART_ARC
(20,19),-0.223232 # DEPENDENCYPART_ARC
(20,21),1.79757 # DEPENDENCYPART_ARC
(20,22),0.394486 # DEPENDENCYPART_ARC
(21,5),-1.19005 # DEPENDENCYPART_ARC
(21,8),-1.16719 # DEPENDENCYPART_ARC
(21,19),-0.679215 # DEPENDENCYPART_ARC
(21,22),2.03645 # DEPENDENCYPART_ARC
(22,2),-2.43403 # DEPENDENCYPART_ARC
(22,5),-2.17103 # DEPENDENCYPART_ARC
(22,7),-2.30169 # DEPENDENCYPART_ARC
(22,8),-2.06524 # DEPENDENCYPART_ARC
(22,9),-1.89577 # DEPENDENCYPART_ARC
(22,10),-1.3518 # DEPENDENCYPART_ARC
(22,11),-1.82424 # DEPENDENCYPART_ARC
(22,12),-2.22207 # DEPENDENCYPART_ARC
