# _root_ bestalde , donostiako manifestaldian izan zen " batasuna " azpimarratu zuen elortzak , eta " demokraten batasun hori berriz eskuratu " behar dela uste_du .
#goldHeads=0,3,4,5,8,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,24,22,14,24,
#predictedHeads=0,3,4,5,0,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,23,24,14,24,
(1,17),-4.70696 # DEPENDENCYPART_ARC
(1,20),-5.246 # DEPENDENCYPART_ARC
(1,21),-3.94605 # DEPENDENCYPART_ARC
(1,23),-4.24739 # DEPENDENCYPART_ARC
(1,24),-4.85172 # DEPENDENCYPART_ARC
(1,25),-4.40284 # DEPENDENCYPART_ARC
(2,4),-1.64757 # DEPENDENCYPART_ARC
(2,5),-1.44067 # DEPENDENCYPART_ARC
(2,6),-1.2729 # DEPENDENCYPART_ARC
(2,7),-0.771805 # DEPENDENCYPART_ARC
(2,8),-2.18237 # DEPENDENCYPART_ARC
(2,9),-1.07848 # DEPENDENCYPART_ARC
(2,10),-2.12565 # DEPENDENCYPART_ARC
(2,11),-1.57639 # DEPENDENCYPART_ARC
(2,14),-2.47828 # DEPENDENCYPART_ARC
(2,15),-1.99255 # DEPENDENCYPART_ARC
(2,16),-2.59191 # DEPENDENCYPART_ARC
(2,17),-2.28309 # DEPENDENCYPART_ARC
(2,20),-2.49843 # DEPENDENCYPART_ARC
(2,21),-2.55114 # DEPENDENCYPART_ARC
(2,22),-2.04055 # DEPENDENCYPART_ARC
(2,23),-3.31189 # DEPENDENCYPART_ARC
(2,24),-1.03019 # DEPENDENCYPART_ARC
(3,2),-0.26769 # DEPENDENCYPART_ARC
(3,4),0.371252 # DEPENDENCYPART_ARC
(3,5),-3.16639 # DEPENDENCYPART_ARC
(3,7),-1.33466 # DEPENDENCYPART_ARC
(3,8),-2.49441 # DEPENDENCYPART_ARC
(3,9),-1.1798 # DEPENDENCYPART_ARC
(3,10),-3.67771 # DEPENDENCYPART_ARC
(3,12),-1.79974 # DEPENDENCYPART_ARC
(3,13),-1.65797 # DEPENDENCYPART_ARC
(3,14),-2.27944 # DEPENDENCYPART_ARC
(3,15),-1.97207 # DEPENDENCYPART_ARC
(3,16),-3.14903 # DEPENDENCYPART_ARC
(3,17),-2.97673 # DEPENDENCYPART_ARC
(3,18),-5.12077 # DEPENDENCYPART_ARC
(3,19),-2.07867 # DEPENDENCYPART_ARC
(3,20),-2.53863 # DEPENDENCYPART_ARC
(3,21),-2.36366 # DEPENDENCYPART_ARC
(3,22),-6.47242 # DEPENDENCYPART_ARC
(3,23),-2.54616 # DEPENDENCYPART_ARC
(3,25),-2.33141 # DEPENDENCYPART_ARC
(4,1),-0.783265 # DEPENDENCYPART_ARC
(4,2),-0.897173 # DEPENDENCYPART_ARC
(4,3),2.61601 # DEPENDENCYPART_ARC
(4,5),-0.782539 # DEPENDENCYPART_ARC
(4,6),-0.371024 # DEPENDENCYPART_ARC
(4,7),-0.154918 # DEPENDENCYPART_ARC
(4,8),-1.72807 # DEPENDENCYPART_ARC
(4,9),-0.188423 # DEPENDENCYPART_ARC
(4,10),-1.98508 # DEPENDENCYPART_ARC
(4,11),-1.47108 # DEPENDENCYPART_ARC
(4,12),-1.81693 # DEPENDENCYPART_ARC
(4,13),-0.661412 # DEPENDENCYPART_ARC
(4,14),-0.561254 # DEPENDENCYPART_ARC
(4,15),-0.797405 # DEPENDENCYPART_ARC
(4,16),-2.01152 # DEPENDENCYPART_ARC
(4,17),-1.55152 # DEPENDENCYPART_ARC
(4,18),-2.95788 # DEPENDENCYPART_ARC
(4,19),-0.897952 # DEPENDENCYPART_ARC
(4,20),-1.26998 # DEPENDENCYPART_ARC
(4,21),-1.34552 # DEPENDENCYPART_ARC
(4,22),-4.08882 # DEPENDENCYPART_ARC
(4,23),-1.55316 # DEPENDENCYPART_ARC
(4,24),-2.34139 # DEPENDENCYPART_ARC
(4,25),-1.50701 # DEPENDENCYPART_ARC
(5,1),0.280779 # DEPENDENCYPART_ARC
(5,2),-1.11219 # DEPENDENCYPART_ARC
(5,3),0.00656441 # DEPENDENCYPART_ARC
(5,4),2.32735 # DEPENDENCYPART_ARC
(5,6),1.29356 # DEPENDENCYPART_ARC
(5,7),-0.219801 # DEPENDENCYPART_ARC
(5,8),0.215767 # DEPENDENCYPART_ARC
(5,9),-0.624361 # DEPENDENCYPART_ARC
(5,10),-0.784023 # DEPENDENCYPART_ARC
(5,11),-1.26279 # DEPENDENCYPART_ARC
(5,12),0.158348 # DEPENDENCYPART_ARC
(5,13),-1.21951 # DEPENDENCYPART_ARC
(5,14),-0.964164 # DEPENDENCYPART_ARC
(5,15),-1.21112 # DEPENDENCYPART_ARC
(5,16),-2.85051 # DEPENDENCYPART_ARC
(5,17),-2.43823 # DEPENDENCYPART_ARC
(5,18),-1.81372 # DEPENDENCYPART_ARC
(5,19),-2.18494 # DEPENDENCYPART_ARC
(5,20),-0.395355 # DEPENDENCYPART_ARC
(5,21),-1.23766 # DEPENDENCYPART_ARC
(5,22),-0.875918 # DEPENDENCYPART_ARC
(5,23),-1.45955 # DEPENDENCYPART_ARC
(5,24),-2.3715 # DEPENDENCYPART_ARC
(5,25),-1.44136 # DEPENDENCYPART_ARC
(6,1),-1.47605 # DEPENDENCYPART_ARC
(6,2),-1.35779 # DEPENDENCYPART_ARC
(6,3),-0.662044 # DEPENDENCYPART_ARC
(6,4),-0.415281 # DEPENDENCYPART_ARC
(6,5),-1.02119 # DEPENDENCYPART_ARC
(6,7),1.81246 # DEPENDENCYPART_ARC
(6,8),-0.822962 # DEPENDENCYPART_ARC
(6,9),-0.189285 # DEPENDENCYPART_ARC
(6,10),-1.64289 # DEPENDENCYPART_ARC
(6,11),-0.78257 # DEPENDENCYPART_ARC
(6,12),-1.35616 # DEPENDENCYPART_ARC
(6,13),-0.628916 # DEPENDENCYPART_ARC
(6,14),-1.60425 # DEPENDENCYPART_ARC
(6,15),-0.778635 # DEPENDENCYPART_ARC
(6,16),-1.9475 # DEPENDENCYPART_ARC
(6,17),-1.91516 # DEPENDENCYPART_ARC
(6,18),-2.08947 # DEPENDENCYPART_ARC
(6,19),-1.04231 # DEPENDENCYPART_ARC
(6,20),-1.82559 # DEPENDENCYPART_ARC
(6,21),-1.13565 # DEPENDENCYPART_ARC
(6,22),-2.69104 # DEPENDENCYPART_ARC
(6,23),-1.49405 # DEPENDENCYPART_ARC
(6,24),-1.69545 # DEPENDENCYPART_ARC
(6,25),-1.73088 # DEPENDENCYPART_ARC
(7,1),-1.3508 # DEPENDENCYPART_ARC
(7,2),-1.75887 # DEPENDENCYPART_ARC
(7,3),-1.15012 # DEPENDENCYPART_ARC
(7,4),-0.967976 # DEPENDENCYPART_ARC
(7,5),-1.08857 # DEPENDENCYPART_ARC
(7,6),-0.436356 # DEPENDENCYPART_ARC
(7,8),-1.07066 # DEPENDENCYPART_ARC
(7,9),0.159919 # DEPENDENCYPART_ARC
(7,10),-1.12428 # DEPENDENCYPART_ARC
(7,11),-0.998983 # DEPENDENCYPART_ARC
(7,12),-1.60315 # DEPENDENCYPART_ARC
(7,13),-0.571238 # DEPENDENCYPART_ARC
(7,15),-0.989962 # DEPENDENCYPART_ARC
(7,16),-2.17593 # DEPENDENCYPART_ARC
(7,17),-1.91569 # DEPENDENCYPART_ARC
(7,20),-1.77088 # DEPENDENCYPART_ARC
(7,21),-1.67457 # DEPENDENCYPART_ARC
(7,22),-1.771 # DEPENDENCYPART_ARC
(7,23),-1.90925 # DEPENDENCYPART_ARC
(7,24),-1.10236 # DEPENDENCYPART_ARC
(7,25),-1.90288 # DEPENDENCYPART_ARC
(8,1),-1.02299 # DEPENDENCYPART_ARC
(8,2),-1.08781 # DEPENDENCYPART_ARC
(8,3),-0.178656 # DEPENDENCYPART_ARC
(8,4),-2.92576 # DEPENDENCYPART_ARC
(8,5),-0.582559 # DEPENDENCYPART_ARC
(8,6),-0.870851 # DEPENDENCYPART_ARC
(8,7),0.0854381 # DEPENDENCYPART_ARC
(8,9),1.93923 # DEPENDENCYPART_ARC
(8,10),-1.58005 # DEPENDENCYPART_ARC
(8,11),-1.20508 # DEPENDENCYPART_ARC
(8,12),-1.21018 # DEPENDENCYPART_ARC
(8,13),-0.221 # DEPENDENCYPART_ARC
(8,14),-1.02132 # DEPENDENCYPART_ARC
(8,15),-0.777342 # DEPENDENCYPART_ARC
(8,16),-1.95696 # DEPENDENCYPART_ARC
(8,17),-1.621 # DEPENDENCYPART_ARC
(8,18),-2.94893 # DEPENDENCYPART_ARC
(8,19),-1.24433 # DEPENDENCYPART_ARC
(8,20),-1.06132 # DEPENDENCYPART_ARC
(8,21),-1.34645 # DEPENDENCYPART_ARC
(8,22),-3.72718 # DEPENDENCYPART_ARC
(8,23),-1.62525 # DEPENDENCYPART_ARC
(8,24),-2.47147 # DEPENDENCYPART_ARC
(8,25),-1.19288 # DEPENDENCYPART_ARC
(9,1),-1.13788 # DEPENDENCYPART_ARC
(9,2),-1.44648 # DEPENDENCYPART_ARC
(9,3),-1.18629 # DEPENDENCYPART_ARC
(9,4),-1.21999 # DEPENDENCYPART_ARC
(9,5),-1.04082 # DEPENDENCYPART_ARC
(9,6),-0.894253 # DEPENDENCYPART_ARC
(9,7),-1.20286 # DEPENDENCYPART_ARC
(9,8),-0.498027 # DEPENDENCYPART_ARC
(9,10),-0.87798 # DEPENDENCYPART_ARC
(9,11),-0.679991 # DEPENDENCYPART_ARC
(9,12),-1.045 # DEPENDENCYPART_ARC
(9,13),-0.336153 # DEPENDENCYPART_ARC
(9,15),-0.759135 # DEPENDENCYPART_ARC
(9,16),-1.50162 # DEPENDENCYPART_ARC
(9,17),-1.60437 # DEPENDENCYPART_ARC
(9,20),-1.75759 # DEPENDENCYPART_ARC
(9,21),-1.47165 # DEPENDENCYPART_ARC
(9,22),-2.14363 # DEPENDENCYPART_ARC
(9,23),-1.9274 # DEPENDENCYPART_ARC
(9,24),-1.38014 # DEPENDENCYPART_ARC
(9,25),-1.84069 # DEPENDENCYPART_ARC
(10,1),-0.0432433 # DEPENDENCYPART_ARC
(10,2),-1.19029 # DEPENDENCYPART_ARC
(10,3),-1.32975 # DEPENDENCYPART_ARC
(10,4),-0.0132134 # DEPENDENCYPART_ARC
(10,5),0.184179 # DEPENDENCYPART_ARC
(10,6),-0.18466 # DEPENDENCYPART_ARC
(10,7),-0.462506 # DEPENDENCYPART_ARC
(10,8),1.69203 # DEPENDENCYPART_ARC
(10,9),-0.240809 # DEPENDENCYPART_ARC
(10,11),1.97663 # DEPENDENCYPART_ARC
(10,12),2.40428 # DEPENDENCYPART_ARC
(10,13),0.00769714 # DEPENDENCYPART_ARC
(10,14),-0.133797 # DEPENDENCYPART_ARC
(10,15),-0.195623 # DEPENDENCYPART_ARC
(10,16),-1.18457 # DEPENDENCYPART_ARC
(10,17),-0.912935 # DEPENDENCYPART_ARC
(10,18),-0.669718 # DEPENDENCYPART_ARC
(10,19),-1.07937 # DEPENDENCYPART_ARC
(10,20),0.576041 # DEPENDENCYPART_ARC
(10,21),-0.103863 # DEPENDENCYPART_ARC
(10,22),-0.300362 # DEPENDENCYPART_ARC
(10,23),0.269524 # DEPENDENCYPART_ARC
(10,24),-1.28922 # DEPENDENCYPART_ARC
(10,25),-0.358503 # DEPENDENCYPART_ARC
(11,1),-2.05639 # DEPENDENCYPART_ARC
(11,2),-2.05243 # DEPENDENCYPART_ARC
(11,3),-1.79467 # DEPENDENCYPART_ARC
(11,4),-1.78931 # DEPENDENCYPART_ARC
(11,5),-3.07438 # DEPENDENCYPART_ARC
(11,6),-1.53915 # DEPENDENCYPART_ARC
(11,7),-1.69643 # DEPENDENCYPART_ARC
(11,8),-1.21386 # DEPENDENCYPART_ARC
(11,9),-1.43458 # DEPENDENCYPART_ARC
(11,10),-1.79953 # DEPENDENCYPART_ARC
(11,12),-0.711517 # DEPENDENCYPART_ARC
(11,13),-0.388687 # DEPENDENCYPART_ARC
(11,14),-1.57972 # DEPENDENCYPART_ARC
(11,15),-0.863592 # DEPENDENCYPART_ARC
(11,16),-2.4724 # DEPENDENCYPART_ARC
(11,17),-2.3752 # DEPENDENCYPART_ARC
(11,18),-2.48341 # DEPENDENCYPART_ARC
(11,19),-1.25178 # DEPENDENCYPART_ARC
(11,20),-2.23311 # DEPENDENCYPART_ARC
(11,21),-1.29803 # DEPENDENCYPART_ARC
(11,22),-2.62975 # DEPENDENCYPART_ARC
(11,23),-2.19614 # DEPENDENCYPART_ARC
(11,24),-2.2925 # DEPENDENCYPART_ARC
(11,25),-1.74262 # DEPENDENCYPART_ARC
(12,2),-1.85433 # DEPENDENCYPART_ARC
(12,3),-1.62324 # DEPENDENCYPART_ARC
(12,4),-4.73984 # DEPENDENCYPART_ARC
(12,5),-2.02098 # DEPENDENCYPART_ARC
(12,7),-1.82452 # DEPENDENCYPART_ARC
(12,8),-3.24887 # DEPENDENCYPART_ARC
(12,9),-1.38169 # DEPENDENCYPART_ARC
(12,10),-0.104463 # DEPENDENCYPART_ARC
(12,13),1.65656 # DEPENDENCYPART_ARC
(12,14),-1.13953 # DEPENDENCYPART_ARC
(12,15),-0.465181 # DEPENDENCYPART_ARC
(12,16),-1.83608 # DEPENDENCYPART_ARC
(12,17),-1.60135 # DEPENDENCYPART_ARC
(12,18),-3.15671 # DEPENDENCYPART_ARC
(12,19),-1.02099 # DEPENDENCYPART_ARC
(12,20),-1.25002 # DEPENDENCYPART_ARC
(12,21),-1.02226 # DEPENDENCYPART_ARC
(12,22),-3.86704 # DEPENDENCYPART_ARC
(12,23),-1.88388 # DEPENDENCYPART_ARC
(12,25),-1.26227 # DEPENDENCYPART_ARC
(13,4),-1.39292 # DEPENDENCYPART_ARC
(13,5),-1.14142 # DEPENDENCYPART_ARC
(13,6),-1.21737 # DEPENDENCYPART_ARC
(13,7),-1.32522 # DEPENDENCYPART_ARC
(13,8),-1.54371 # DEPENDENCYPART_ARC
(13,9),-1.23338 # DEPENDENCYPART_ARC
(13,10),-0.41783 # DEPENDENCYPART_ARC
(13,11),-0.883352 # DEPENDENCYPART_ARC
(13,14),-0.563265 # DEPENDENCYPART_ARC
(13,15),0.0497907 # DEPENDENCYPART_ARC
(13,16),-0.906753 # DEPENDENCYPART_ARC
(13,17),-1.06558 # DEPENDENCYPART_ARC
(13,20),-1.47679 # DEPENDENCYPART_ARC
(13,21),-0.970876 # DEPENDENCYPART_ARC
(13,22),-1.79864 # DEPENDENCYPART_ARC
(13,23),-1.47775 # DEPENDENCYPART_ARC
(13,24),-0.805613 # DEPENDENCYPART_ARC
(14,1),-0.772958 # DEPENDENCYPART_ARC
(14,2),-1.66261 # DEPENDENCYPART_ARC
(14,3),-1.2681 # DEPENDENCYPART_ARC
(14,4),-1.4656 # DEPENDENCYPART_ARC
(14,5),-0.394305 # DEPENDENCYPART_ARC
(14,6),-1.17789 # DEPENDENCYPART_ARC
(14,7),-1.17849 # DEPENDENCYPART_ARC
(14,8),-0.574344 # DEPENDENCYPART_ARC
(14,9),-0.981381 # DEPENDENCYPART_ARC
(14,10),1.45785 # DEPENDENCYPART_ARC
(14,11),-0.699376 # DEPENDENCYPART_ARC
(14,12),-0.158294 # DEPENDENCYPART_ARC
(14,13),0.314043 # DEPENDENCYPART_ARC
(14,15),2.53306 # DEPENDENCYPART_ARC
(14,16),0.458387 # DEPENDENCYPART_ARC
(14,17),-0.47183 # DEPENDENCYPART_ARC
(14,18),-1.02008 # DEPENDENCYPART_ARC
(14,19),-0.600756 # DEPENDENCYPART_ARC
(14,20),0.28692 # DEPENDENCYPART_ARC
(14,21),-0.369719 # DEPENDENCYPART_ARC
(14,22),-0.649362 # DEPENDENCYPART_ARC
(14,23),0.588618 # DEPENDENCYPART_ARC
(14,24),0.930179 # DEPENDENCYPART_ARC
(14,25),-0.663511 # DEPENDENCYPART_ARC
(15,1),-2.70648 # DEPENDENCYPART_ARC
(15,2),-2.99696 # DEPENDENCYPART_ARC
(15,3),-2.44135 # DEPENDENCYPART_ARC
(15,4),-2.5508 # DEPENDENCYPART_ARC
(15,5),-2.97127 # DEPENDENCYPART_ARC
(15,6),-2.51386 # DEPENDENCYPART_ARC
(15,7),-2.75355 # DEPENDENCYPART_ARC
(15,8),-2.68828 # DEPENDENCYPART_ARC
(15,9),-2.69383 # DEPENDENCYPART_ARC
(15,10),-2.56075 # DEPENDENCYPART_ARC
(15,11),-2.24726 # DEPENDENCYPART_ARC
(15,12),-2.3168 # DEPENDENCYPART_ARC
(15,13),-2.4541 # DEPENDENCYPART_ARC
(15,16),-1.42162 # DEPENDENCYPART_ARC
(15,17),-2.05559 # DEPENDENCYPART_ARC
(15,20),-1.76712 # DEPENDENCYPART_ARC
(15,21),-0.903833 # DEPENDENCYPART_ARC
(15,22),-2.06261 # DEPENDENCYPART_ARC
(15,23),-1.78689 # DEPENDENCYPART_ARC
(15,24),-1.76089 # DEPENDENCYPART_ARC
(15,25),-1.27805 # DEPENDENCYPART_ARC
(16,1),-1.31301 # DEPENDENCYPART_ARC
(16,2),-1.88426 # DEPENDENCYPART_ARC
(16,3),-1.72109 # DEPENDENCYPART_ARC
(16,4),-4.14468 # DEPENDENCYPART_ARC
(16,5),-2.86619 # DEPENDENCYPART_ARC
(16,6),-2.13813 # DEPENDENCYPART_ARC
(16,7),-2.00035 # DEPENDENCYPART_ARC
(16,8),-3.11726 # DEPENDENCYPART_ARC
(16,9),-1.90805 # DEPENDENCYPART_ARC
(16,10),-1.9479 # DEPENDENCYPART_ARC
(16,11),-2.31248 # DEPENDENCYPART_ARC
(16,12),-3.41397 # DEPENDENCYPART_ARC
(16,13),-1.14633 # DEPENDENCYPART_ARC
(16,14),-0.0272504 # DEPENDENCYPART_ARC
(16,15),-0.02747 # DEPENDENCYPART_ARC
(16,17),-0.344275 # DEPENDENCYPART_ARC
(16,18),-1.24313 # DEPENDENCYPART_ARC
(16,19),-1.15399 # DEPENDENCYPART_ARC
(16,20),-1.698 # DEPENDENCYPART_ARC
(16,21),-1.15155 # DEPENDENCYPART_ARC
(16,22),-2.90317 # DEPENDENCYPART_ARC
(16,23),-3.1827 # DEPENDENCYPART_ARC
(16,24),-2.82759 # DEPENDENCYPART_ARC
(16,25),-1.41888 # DEPENDENCYPART_ARC
(17,1),-1.97828 # DEPENDENCYPART_ARC
(17,2),-2.41914 # DEPENDENCYPART_ARC
(17,3),-2.37383 # DEPENDENCYPART_ARC
(17,4),-3.40251 # DEPENDENCYPART_ARC
(17,5),-2.31417 # DEPENDENCYPART_ARC
(17,6),-1.97029 # DEPENDENCYPART_ARC
(17,7),-2.34879 # DEPENDENCYPART_ARC
(17,8),-3.34636 # DEPENDENCYPART_ARC
(17,9),-2.0501 # DEPENDENCYPART_ARC
(17,10),-1.42971 # DEPENDENCYPART_ARC
(17,11),-1.84544 # DEPENDENCYPART_ARC
(17,12),-2.57243 # DEPENDENCYPART_ARC
(17,13),-1.52997 # DEPENDENCYPART_ARC
(17,14),-0.866321 # DEPENDENCYPART_ARC
(17,15),-1.43046 # DEPENDENCYPART_ARC
(17,16),1.72556 # DEPENDENCYPART_ARC
(17,18),2.24033 # DEPENDENCYPART_ARC
(17,19),-0.186553 # DEPENDENCYPART_ARC
(17,20),-0.397318 # DEPENDENCYPART_ARC
(17,21),-0.625691 # DEPENDENCYPART_ARC
(17,22),-0.388038 # DEPENDENCYPART_ARC
(17,23),-1.45549 # DEPENDENCYPART_ARC
(17,24),-1.31541 # DEPENDENCYPART_ARC
(17,25),-1.06824 # DEPENDENCYPART_ARC
(18,1),-1.59552 # DEPENDENCYPART_ARC
(18,2),-1.79167 # DEPENDENCYPART_ARC
(18,4),-3.36085 # DEPENDENCYPART_ARC
(18,5),-1.59708 # DEPENDENCYPART_ARC
(18,7),-1.64897 # DEPENDENCYPART_ARC
(18,8),-2.60782 # DEPENDENCYPART_ARC
(18,9),-1.54289 # DEPENDENCYPART_ARC
(18,10),-1.24831 # DEPENDENCYPART_ARC
(18,13),-1.3227 # DEPENDENCYPART_ARC
(18,14),-0.951857 # DEPENDENCYPART_ARC
(18,15),-0.956475 # DEPENDENCYPART_ARC
(18,16),-1.06337 # DEPENDENCYPART_ARC
(18,17),-0.401893 # DEPENDENCYPART_ARC
(18,20),-1.33083 # DEPENDENCYPART_ARC
(18,21),-0.649797 # DEPENDENCYPART_ARC
(18,23),-1.21013 # DEPENDENCYPART_ARC
(18,25),-0.987594 # DEPENDENCYPART_ARC
(19,1),-0.636664 # DEPENDENCYPART_ARC
(19,2),-2.13426 # DEPENDENCYPART_ARC
(19,3),-1.24392 # DEPENDENCYPART_ARC
(19,4),-1.28434 # DEPENDENCYPART_ARC
(19,5),-1.0975 # DEPENDENCYPART_ARC
(19,6),-1.52498 # DEPENDENCYPART_ARC
(19,7),-1.81229 # DEPENDENCYPART_ARC
(19,8),-1.29046 # DEPENDENCYPART_ARC
(19,9),-1.59605 # DEPENDENCYPART_ARC
(19,10),-1.28129 # DEPENDENCYPART_ARC
(19,11),-1.34386 # DEPENDENCYPART_ARC
(19,12),-1.18983 # DEPENDENCYPART_ARC
(19,13),-1.39628 # DEPENDENCYPART_ARC
(19,14),-0.78049 # DEPENDENCYPART_ARC
(19,15),-1.29378 # DEPENDENCYPART_ARC
(19,16),-0.667523 # DEPENDENCYPART_ARC
(19,17),-0.540525 # DEPENDENCYPART_ARC
(19,18),0.108694 # DEPENDENCYPART_ARC
(19,20),-0.516674 # DEPENDENCYPART_ARC
(19,21),-0.142274 # DEPENDENCYPART_ARC
(19,22),-1.38243 # DEPENDENCYPART_ARC
(19,23),-1.13877 # DEPENDENCYPART_ARC
(19,24),-1.54515 # DEPENDENCYPART_ARC
(19,25),-0.699645 # DEPENDENCYPART_ARC
(20,1),-0.914889 # DEPENDENCYPART_ARC
(20,2),-1.70676 # DEPENDENCYPART_ARC
(20,3),-2.11621 # DEPENDENCYPART_ARC
(20,4),-1.14357 # DEPENDENCYPART_ARC
(20,5),-0.642726 # DEPENDENCYPART_ARC
(20,6),-0.364641 # DEPENDENCYPART_ARC
(20,7),-1.3622 # DEPENDENCYPART_ARC
(20,8),-0.845173 # DEPENDENCYPART_ARC
(20,9),-1.60392 # DEPENDENCYPART_ARC
(20,10),-0.658475 # DEPENDENCYPART_ARC
(20,11),-0.39314 # DEPENDENCYPART_ARC
(20,12),-0.201784 # DEPENDENCYPART_ARC
(20,13),-1.15664 # DEPENDENCYPART_ARC
(20,14),-0.168394 # DEPENDENCYPART_ARC
(20,15),-1.42976 # DEPENDENCYPART_ARC
(20,16),-0.0390304 # DEPENDENCYPART_ARC
(20,17),0.811734 # DEPENDENCYPART_ARC
(20,18),0.297552 # DEPENDENCYPART_ARC
(20,19),1.22501 # DEPENDENCYPART_ARC
(20,21),1.87054 # DEPENDENCYPART_ARC
(20,22),0.575723 # DEPENDENCYPART_ARC
(20,23),0.286337 # DEPENDENCYPART_ARC
(20,24),-1.00267 # DEPENDENCYPART_ARC
(20,25),0.30419 # DEPENDENCYPART_ARC
(21,1),-1.53509 # DEPENDENCYPART_ARC
(21,2),-2.13662 # DEPENDENCYPART_ARC
(21,3),-1.21297 # DEPENDENCYPART_ARC
(21,4),-1.31243 # DEPENDENCYPART_ARC
(21,5),-2.04657 # DEPENDENCYPART_ARC
(21,6),-1.60505 # DEPENDENCYPART_ARC
(21,7),-1.88297 # DEPENDENCYPART_ARC
(21,8),-1.47453 # DEPENDENCYPART_ARC
(21,9),-1.86028 # DEPENDENCYPART_ARC
(21,10),-1.73917 # DEPENDENCYPART_ARC
(21,11),-1.29946 # DEPENDENCYPART_ARC
(21,12),-1.6006 # DEPENDENCYPART_ARC
(21,13),-1.61548 # DEPENDENCYPART_ARC
(21,15),-1.51297 # DEPENDENCYPART_ARC
(21,16),-1.2516 # DEPENDENCYPART_ARC
(21,17),-1.24531 # DEPENDENCYPART_ARC
(21,20),-0.128143 # DEPENDENCYPART_ARC
(21,22),-0.35494 # DEPENDENCYPART_ARC
(21,23),-0.646308 # DEPENDENCYPART_ARC
(21,24),-0.769455 # DEPENDENCYPART_ARC
(21,25),-0.198469 # DEPENDENCYPART_ARC
(22,1),-1.12156 # DEPENDENCYPART_ARC
(22,2),-0.820874 # DEPENDENCYPART_ARC
(22,3),0.570549 # DEPENDENCYPART_ARC
(22,4),-0.47961 # DEPENDENCYPART_ARC
(22,5),-1.05637 # DEPENDENCYPART_ARC
(22,6),-1.11447 # DEPENDENCYPART_ARC
(22,7),-0.742024 # DEPENDENCYPART_ARC
(22,8),-0.0450465 # DEPENDENCYPART_ARC
(22,9),-0.561171 # DEPENDENCYPART_ARC
(22,10),-0.758119 # DEPENDENCYPART_ARC
(22,11),-1.15406 # DEPENDENCYPART_ARC
(22,12),0.0732664 # DEPENDENCYPART_ARC
(22,13),-0.553003 # DEPENDENCYPART_ARC
(22,14),-0.398408 # DEPENDENCYPART_ARC
(22,15),-0.515113 # DEPENDENCYPART_ARC
(22,16),0.5622 # DEPENDENCYPART_ARC
(22,17),-0.115037 # DEPENDENCYPART_ARC
(22,18),-0.936495 # DEPENDENCYPART_ARC
(22,19),0.706746 # DEPENDENCYPART_ARC
(22,20),0.849018 # DEPENDENCYPART_ARC
(22,21),0.826107 # DEPENDENCYPART_ARC
(22,23),0.901594 # DEPENDENCYPART_ARC
(22,24),-1.01803 # DEPENDENCYPART_ARC
(22,25),0.212874 # DEPENDENCYPART_ARC
(23,1),-1.29893 # DEPENDENCYPART_ARC
