# _root_ sabelean kolpeak eman zizkiotela , eta barrabiletatik hartu zutela aurrekoan , deitoratu zuen .
#goldHeads=3,3,6,3,4,12,8,6,8,8,10,0,12,13,
#predictedHeads=3,3,6,3,4,0,8,6,8,12,10,6,12,13,
(8,11),-0.69931 # DEPENDENCYPART_ARC
(8,12),-0.520827 # DEPENDENCYPART_ARC
(8,13),-0.810085 # DEPENDENCYPART_ARC
(8,14),-0.928536 # DEPENDENCYPART_ARC
(9,1),-2.07923 # DEPENDENCYPART_ARC
(9,2),-1.45623 # DEPENDENCYPART_ARC
(9,3),-2.3073 # DEPENDENCYPART_ARC
(9,4),-1.40967 # DEPENDENCYPART_ARC
(9,5),-1.29544 # DEPENDENCYPART_ARC
(9,6),-1.13908 # DEPENDENCYPART_ARC
(9,7),-0.368685 # DEPENDENCYPART_ARC
(9,8),-1.12412 # DEPENDENCYPART_ARC
(9,10),0.89151 # DEPENDENCYPART_ARC
(9,11),-0.27194 # DEPENDENCYPART_ARC
(9,12),-2.44328 # DEPENDENCYPART_ARC
(9,13),-0.873842 # DEPENDENCYPART_ARC
(9,14),-0.587074 # DEPENDENCYPART_ARC
(10,1),-1.05583 # DEPENDENCYPART_ARC
(10,2),-1.66319 # DEPENDENCYPART_ARC
(10,3),-0.822521 # DEPENDENCYPART_ARC
(10,4),-0.944905 # DEPENDENCYPART_ARC
(10,5),-0.79114 # DEPENDENCYPART_ARC
(10,6),-0.441928 # DEPENDENCYPART_ARC
(10,7),0.44816 # DEPENDENCYPART_ARC
(10,8),-0.0306303 # DEPENDENCYPART_ARC
(10,9),0.150778 # DEPENDENCYPART_ARC
(10,11),1.1829 # DEPENDENCYPART_ARC
(10,12),-1.27196 # DEPENDENCYPART_ARC
(10,13),-1.5054 # DEPENDENCYPART_ARC
(10,14),-0.156 # DEPENDENCYPART_ARC
(11,1),-0.795166 # DEPENDENCYPART_ARC
(11,2),-0.784931 # DEPENDENCYPART_ARC
(11,3),-0.557418 # DEPENDENCYPART_ARC
(11,4),-0.614727 # DEPENDENCYPART_ARC
(11,5),-1.05436 # DEPENDENCYPART_ARC
(11,6),-0.394422 # DEPENDENCYPART_ARC
(11,7),-0.383208 # DEPENDENCYPART_ARC
(11,8),-0.0358191 # DEPENDENCYPART_ARC
(11,9),-0.4416 # DEPENDENCYPART_ARC
(11,10),0.148074 # DEPENDENCYPART_ARC
(11,12),-0.238189 # DEPENDENCYPART_ARC
(11,13),-0.138046 # DEPENDENCYPART_ARC
(11,14),-0.275485 # DEPENDENCYPART_ARC
(12,1),-0.429299 # DEPENDENCYPART_ARC
(12,2),-1.19519 # DEPENDENCYPART_ARC
(12,3),-0.0430235 # DEPENDENCYPART_ARC
(12,4),-0.797598 # DEPENDENCYPART_ARC
(12,5),-0.797289 # DEPENDENCYPART_ARC
(12,6),0.36678 # DEPENDENCYPART_ARC
(12,7),-0.16388 # DEPENDENCYPART_ARC
(12,8),0.56415 # DEPENDENCYPART_ARC
(12,9),-0.372279 # DEPENDENCYPART_ARC
(12,10),1.04373 # DEPENDENCYPART_ARC
(12,11),0.124406 # DEPENDENCYPART_ARC
(12,13),1.797 # DEPENDENCYPART_ARC
(12,14),0.0504097 # DEPENDENCYPART_ARC
(13,1),-1.66449 # DEPENDENCYPART_ARC
(13,2),-1.68479 # DEPENDENCYPART_ARC
(13,3),-3.06508 # DEPENDENCYPART_ARC
(13,4),-1.457 # DEPENDENCYPART_ARC
(13,5),-1.74879 # DEPENDENCYPART_ARC
(13,6),-1.57618 # DEPENDENCYPART_ARC
(13,7),-1.15054 # DEPENDENCYPART_ARC
(13,8),-3.03842 # DEPENDENCYPART_ARC
(13,9),-1.2016 # DEPENDENCYPART_ARC
(13,10),-1.07781 # DEPENDENCYPART_ARC
(13,11),-1.26905 # DEPENDENCYPART_ARC
(13,12),-1.66087 # DEPENDENCYPART_ARC
(13,14),1.82649 # DEPENDENCYPART_ARC
(14,1),-1.00945 # DEPENDENCYPART_ARC
(14,2),-0.797185 # DEPENDENCYPART_ARC
(14,3),-1.78496 # DEPENDENCYPART_ARC
(14,4),-1.05215 # DEPENDENCYPART_ARC
(14,5),-1.46046 # DEPENDENCYPART_ARC
(14,6),-0.82339 # DEPENDENCYPART_ARC
(14,7),-0.764817 # DEPENDENCYPART_ARC
(14,8),-1.38983 # DEPENDENCYPART_ARC
(14,9),-1.00468 # DEPENDENCYPART_ARC
(14,10),-1.12732 # DEPENDENCYPART_ARC
(14,11),-1.00136 # DEPENDENCYPART_ARC
(14,12),-0.739169 # DEPENDENCYPART_ARC
(14,13),-0.0476261 # DEPENDENCYPART_ARC
