# _root_ gogoan_dut beste batzuetan nola barneratzen ninduzun itsasoan txalupa koskor - niretzat , intxaur azal txikitxo - batean , atsegin bait zenuen nire izu-ikara zentzugabearen_aurrean zure segurtasun babeslea agertzea .
#goldHeads=0,3,5,5,1,5,5,5,8,9,14,11,14,8,14,15,8,17,0,21,19,23,28,23,26,28,26,21,28,
#predictedHeads=0,3,5,5,8,5,5,28,8,9,5,11,14,28,14,15,14,17,0,19,20,23,28,23,26,28,26,21,28,
(1,12),-0.824766 # DEPENDENCYPART_ARC
(1,13),-2.23941 # DEPENDENCYPART_ARC
(1,14),-2.0111 # DEPENDENCYPART_ARC
(1,15),-1.3984 # DEPENDENCYPART_ARC
(1,16),-1.03105 # DEPENDENCYPART_ARC
(1,17),-1.487 # DEPENDENCYPART_ARC
(1,18),-1.16181 # DEPENDENCYPART_ARC
(1,19),-1.16626 # DEPENDENCYPART_ARC
(1,20),-0.809718 # DEPENDENCYPART_ARC
(1,21),-0.653625 # DEPENDENCYPART_ARC
(1,22),-2.40444 # DEPENDENCYPART_ARC
(1,23),-2.75435 # DEPENDENCYPART_ARC
(1,24),-3.50027 # DEPENDENCYPART_ARC
(1,25),-2.78556 # DEPENDENCYPART_ARC
(1,26),-2.96226 # DEPENDENCYPART_ARC
(1,27),-3.14117 # DEPENDENCYPART_ARC
(1,28),-0.605185 # DEPENDENCYPART_ARC
(1,29),-1.75511 # DEPENDENCYPART_ARC
(2,1),-0.121886 # DEPENDENCYPART_ARC
(2,3),0.268464 # DEPENDENCYPART_ARC
(2,4),-0.312065 # DEPENDENCYPART_ARC
(2,5),-0.723984 # DEPENDENCYPART_ARC
(2,6),-0.941991 # DEPENDENCYPART_ARC
(2,7),-1.04033 # DEPENDENCYPART_ARC
(2,8),-1.23446 # DEPENDENCYPART_ARC
(2,9),-1.22205 # DEPENDENCYPART_ARC
(2,10),-0.589129 # DEPENDENCYPART_ARC
(2,11),-1.06359 # DEPENDENCYPART_ARC
(2,12),-0.769451 # DEPENDENCYPART_ARC
(2,13),-1.35085 # DEPENDENCYPART_ARC
(2,14),-1.56375 # DEPENDENCYPART_ARC
(2,15),-1.55282 # DEPENDENCYPART_ARC
(2,16),-0.960371 # DEPENDENCYPART_ARC
(2,17),-1.18429 # DEPENDENCYPART_ARC
(2,18),-1.11787 # DEPENDENCYPART_ARC
(2,19),-1.03445 # DEPENDENCYPART_ARC
(2,20),-1.11412 # DEPENDENCYPART_ARC
(2,21),-1.13021 # DEPENDENCYPART_ARC
(2,22),-1.25883 # DEPENDENCYPART_ARC
(2,23),-1.90721 # DEPENDENCYPART_ARC
(2,24),-1.69203 # DEPENDENCYPART_ARC
(2,25),-1.44573 # DEPENDENCYPART_ARC
(2,26),-2.00592 # DEPENDENCYPART_ARC
(2,27),-1.73536 # DEPENDENCYPART_ARC
(2,28),-1.31612 # DEPENDENCYPART_ARC
(2,29),-1.83612 # DEPENDENCYPART_ARC
(3,1),-0.364731 # DEPENDENCYPART_ARC
(3,2),1.06251 # DEPENDENCYPART_ARC
(3,4),0.378578 # DEPENDENCYPART_ARC
(3,5),-1.39586 # DEPENDENCYPART_ARC
(3,6),-1.51164 # DEPENDENCYPART_ARC
(3,7),-1.18565 # DEPENDENCYPART_ARC
(3,8),-1.50554 # DEPENDENCYPART_ARC
(3,9),-1.54426 # DEPENDENCYPART_ARC
(3,10),-0.608111 # DEPENDENCYPART_ARC
(3,11),-1.12397 # DEPENDENCYPART_ARC
(3,12),-0.840102 # DEPENDENCYPART_ARC
(3,13),-1.65704 # DEPENDENCYPART_ARC
(3,14),-1.86206 # DEPENDENCYPART_ARC
(3,15),-1.77272 # DEPENDENCYPART_ARC
(3,16),-1.1319 # DEPENDENCYPART_ARC
(3,17),-1.12839 # DEPENDENCYPART_ARC
(3,18),-1.02353 # DEPENDENCYPART_ARC
(3,19),-2.30039 # DEPENDENCYPART_ARC
(3,20),-1.42727 # DEPENDENCYPART_ARC
(3,21),-1.82866 # DEPENDENCYPART_ARC
(3,22),-1.58923 # DEPENDENCYPART_ARC
(3,23),-2.07692 # DEPENDENCYPART_ARC
(3,24),-2.3666 # DEPENDENCYPART_ARC
(3,25),-1.76905 # DEPENDENCYPART_ARC
(3,26),-2.34481 # DEPENDENCYPART_ARC
(3,27),-2.48096 # DEPENDENCYPART_ARC
(3,28),-2.33888 # DEPENDENCYPART_ARC
(3,29),-1.82822 # DEPENDENCYPART_ARC
(4,1),-0.902199 # DEPENDENCYPART_ARC
(4,2),-0.653476 # DEPENDENCYPART_ARC
(4,3),-0.0270764 # DEPENDENCYPART_ARC
(4,5),-0.53678 # DEPENDENCYPART_ARC
(4,6),-0.469469 # DEPENDENCYPART_ARC
(4,7),-0.959212 # DEPENDENCYPART_ARC
(4,8),-1.05777 # DEPENDENCYPART_ARC
(4,9),-1.44233 # DEPENDENCYPART_ARC
(4,10),-0.59727 # DEPENDENCYPART_ARC
(4,11),-1.29989 # DEPENDENCYPART_ARC
(4,12),-0.798144 # DEPENDENCYPART_ARC
(4,13),-1.31632 # DEPENDENCYPART_ARC
(4,14),-1.28695 # DEPENDENCYPART_ARC
(4,15),-1.77061 # DEPENDENCYPART_ARC
(4,16),-1.03408 # DEPENDENCYPART_ARC
(4,17),-1.63991 # DEPENDENCYPART_ARC
(4,18),-1.26296 # DEPENDENCYPART_ARC
(4,19),-1.73096 # DEPENDENCYPART_ARC
(4,20),-1.27699 # DEPENDENCYPART_ARC
(4,21),-1.52615 # DEPENDENCYPART_ARC
(4,22),-1.6145 # DEPENDENCYPART_ARC
(4,23),-1.59939 # DEPENDENCYPART_ARC
(4,24),-1.97399 # DEPENDENCYPART_ARC
(4,25),-1.75758 # DEPENDENCYPART_ARC
(4,26),-1.76874 # DEPENDENCYPART_ARC
(4,27),-2.16598 # DEPENDENCYPART_ARC
(4,28),-2.19671 # DEPENDENCYPART_ARC
(4,29),-1.6008 # DEPENDENCYPART_ARC
(5,1),-0.886476 # DEPENDENCYPART_ARC
(5,2),-0.485475 # DEPENDENCYPART_ARC
(5,3),0.937185 # DEPENDENCYPART_ARC
(5,4),1.36273 # DEPENDENCYPART_ARC
(5,6),2.77644 # DEPENDENCYPART_ARC
(5,7),1.00009 # DEPENDENCYPART_ARC
(5,8),0.384815 # DEPENDENCYPART_ARC
(5,9),-0.0713032 # DEPENDENCYPART_ARC
(5,10),-0.241298 # DEPENDENCYPART_ARC
(5,11),0.862698 # DEPENDENCYPART_ARC
(5,12),-0.379003 # DEPENDENCYPART_ARC
(5,13),-1.06314 # DEPENDENCYPART_ARC
(5,14),-0.54063 # DEPENDENCYPART_ARC
(5,15),-0.715874 # DEPENDENCYPART_ARC
(5,16),-0.456591 # DEPENDENCYPART_ARC
(5,17),-0.482108 # DEPENDENCYPART_ARC
(5,18),-0.946697 # DEPENDENCYPART_ARC
(5,19),-0.408499 # DEPENDENCYPART_ARC
(5,20),0.449783 # DEPENDENCYPART_ARC
(5,21),-0.295526 # DEPENDENCYPART_ARC
(5,22),-0.12423 # DEPENDENCYPART_ARC
(5,23),-1.23584 # DEPENDENCYPART_ARC
(5,24),-1.93857 # DEPENDENCYPART_ARC
(5,25),-0.242592 # DEPENDENCYPART_ARC
(5,26),-1.58423 # DEPENDENCYPART_ARC
(5,27),-2.30131 # DEPENDENCYPART_ARC
(5,28),0.137074 # DEPENDENCYPART_ARC
(5,29),-1.07941 # DEPENDENCYPART_ARC
(6,1),-2.00283 # DEPENDENCYPART_ARC
(6,2),-1.37939 # DEPENDENCYPART_ARC
(6,3),-1.30136 # DEPENDENCYPART_ARC
(6,4),-0.846715 # DEPENDENCYPART_ARC
(6,5),-1.19262 # DEPENDENCYPART_ARC
(6,7),0.70873 # DEPENDENCYPART_ARC
(6,8),-1.25778 # DEPENDENCYPART_ARC
(6,9),-1.12822 # DEPENDENCYPART_ARC
(6,10),-0.754506 # DEPENDENCYPART_ARC
(6,11),-0.924905 # DEPENDENCYPART_ARC
(6,12),-0.898242 # DEPENDENCYPART_ARC
(6,13),-1.92648 # DEPENDENCYPART_ARC
(6,14),-1.98898 # DEPENDENCYPART_ARC
(6,15),-1.58422 # DEPENDENCYPART_ARC
(6,16),-1.13398 # DEPENDENCYPART_ARC
(6,17),-0.988409 # DEPENDENCYPART_ARC
(6,18),-1.44345 # DEPENDENCYPART_ARC
(6,19),-2.67736 # DEPENDENCYPART_ARC
(6,20),-1.23175 # DEPENDENCYPART_ARC
(6,21),-2.16181 # DEPENDENCYPART_ARC
(6,22),-1.40444 # DEPENDENCYPART_ARC
(6,23),-2.20881 # DEPENDENCYPART_ARC
(6,24),-1.63727 # DEPENDENCYPART_ARC
(6,25),-1.39487 # DEPENDENCYPART_ARC
(6,26),-2.39911 # DEPENDENCYPART_ARC
(6,27),-2.0378 # DEPENDENCYPART_ARC
(6,28),-1.73036 # DEPENDENCYPART_ARC
(6,29),-2.11205 # DEPENDENCYPART_ARC
(7,1),-2.64587 # DEPENDENCYPART_ARC
(7,2),-0.0574178 # DEPENDENCYPART_ARC
(7,3),-1.55807 # DEPENDENCYPART_ARC
(7,4),-0.764836 # DEPENDENCYPART_ARC
(7,5),0.433634 # DEPENDENCYPART_ARC
(7,6),-0.111849 # DEPENDENCYPART_ARC
(7,8),-0.334072 # DEPENDENCYPART_ARC
(7,9),-1.35712 # DEPENDENCYPART_ARC
(7,10),-1.24285 # DEPENDENCYPART_ARC
(7,11),-1.15686 # DEPENDENCYPART_ARC
(7,12),-1.52964 # DEPENDENCYPART_ARC
(7,13),-1.92265 # DEPENDENCYPART_ARC
(7,14),-1.96897 # DEPENDENCYPART_ARC
(7,15),-3.15192 # DEPENDENCYPART_ARC
(7,16),-1.86568 # DEPENDENCYPART_ARC
(7,17),-2.00142 # DEPENDENCYPART_ARC
(7,18),-1.94734 # DEPENDENCYPART_ARC
(7,19),-2.68883 # DEPENDENCYPART_ARC
(7,20),-2.33985 # DEPENDENCYPART_ARC
(7,21),-1.77822 # DEPENDENCYPART_ARC
(7,22),-1.91041 # DEPENDENCYPART_ARC
(7,23),-2.83922 # DEPENDENCYPART_ARC
(7,24),-5.19767 # DEPENDENCYPART_ARC
(7,25),-2.02333 # DEPENDENCYPART_ARC
(7,26),-2.66787 # DEPENDENCYPART_ARC
(7,27),-4.60347 # DEPENDENCYPART_ARC
(7,28),-2.9631 # DEPENDENCYPART_ARC
(7,29),-2.21252 # DEPENDENCYPART_ARC
(8,1),-2.19926 # DEPENDENCYPART_ARC
(8,2),-0.0397333 # DEPENDENCYPART_ARC
(8,3),-1.22657 # DEPENDENCYPART_ARC
(8,4),-0.742079 # DEPENDENCYPART_ARC
(8,5),0.256597 # DEPENDENCYPART_ARC
(8,6),-0.533458 # DEPENDENCYPART_ARC
(8,7),0.617309 # DEPENDENCYPART_ARC
(8,9),1.42937 # DEPENDENCYPART_ARC
(8,10),-0.146433 # DEPENDENCYPART_ARC
(8,11),-0.271819 # DEPENDENCYPART_ARC
(8,12),-0.83072 # DEPENDENCYPART_ARC
(8,13),-0.660251 # DEPENDENCYPART_ARC
(8,14),-0.968591 # DEPENDENCYPART_ARC
(8,15),-1.11869 # DEPENDENCYPART_ARC
(8,16),-1.24026 # DEPENDENCYPART_ARC
(8,17),-0.00698476 # DEPENDENCYPART_ARC
(8,18),-1.32424 # DEPENDENCYPART_ARC
(8,19),-1.31868 # DEPENDENCYPART_ARC
(8,20),-1.23091 # DEPENDENCYPART_ARC
(8,21),-1.44678 # DEPENDENCYPART_ARC
(8,22),-0.952339 # DEPENDENCYPART_ARC
(8,23),-1.39011 # DEPENDENCYPART_ARC
(8,24),-1.60071 # DEPENDENCYPART_ARC
(8,25),-0.86232 # DEPENDENCYPART_ARC
(8,26),-1.56917 # DEPENDENCYPART_ARC
(8,27),-1.2502 # DEPENDENCYPART_ARC
(8,28),-1.63516 # DEPENDENCYPART_ARC
(8,29),-1.75354 # DEPENDENCYPART_ARC
(9,1),-1.94509 # DEPENDENCYPART_ARC
(9,2),-1.22651 # DEPENDENCYPART_ARC
(9,3),-1.62924 # DEPENDENCYPART_ARC
(9,4),-0.697522 # DEPENDENCYPART_ARC
(9,5),-1.1214 # DEPENDENCYPART_ARC
(9,6),-0.967007 # DEPENDENCYPART_ARC
(9,7),-0.761542 # DEPENDENCYPART_ARC
(9,8),-0.398601 # DEPENDENCYPART_ARC
(9,10),2.10986 # DEPENDENCYPART_ARC
(9,11),-0.0510508 # DEPENDENCYPART_ARC
(9,12),0.575055 # DEPENDENCYPART_ARC
(9,13),-0.275242 # DEPENDENCYPART_ARC
(9,14),-0.505538 # DEPENDENCYPART_ARC
(9,15),-0.303034 # DEPENDENCYPART_ARC
(9,16),0.765664 # DEPENDENCYPART_ARC
(9,17),-0.502306 # DEPENDENCYPART_ARC
(9,18),0.0434938 # DEPENDENCYPART_ARC
(9,19),-0.608298 # DEPENDENCYPART_ARC
(9,20),-0.0694134 # DEPENDENCYPART_ARC
(9,21),-0.520374 # DEPENDENCYPART_ARC
(9,22),-0.704961 # DEPENDENCYPART_ARC
(9,23),-0.921744 # DEPENDENCYPART_ARC
(9,24),-0.448883 # DEPENDENCYPART_ARC
(9,25),-0.724247 # DEPENDENCYPART_ARC
(9,26),-0.998763 # DEPENDENCYPART_ARC
(9,27),-0.744115 # DEPENDENCYPART_ARC
(9,28),-0.838672 # DEPENDENCYPART_ARC
(9,29),-0.19286 # DEPENDENCYPART_ARC
(10,1),-1.08616 # DEPENDENCYPART_ARC
(10,2),-1.47185 # DEPENDENCYPART_ARC
(10,3),-1.45888 # DEPENDENCYPART_ARC
(10,4),-1.05483 # DEPENDENCYPART_ARC
(10,5),-0.887812 # DEPENDENCYPART_ARC
(10,6),-0.772017 # DEPENDENCYPART_ARC
(10,7),-0.372441 # DEPENDENCYPART_ARC
(10,8),-0.46574 # DEPENDENCYPART_ARC
(10,9),0.116358 # DEPENDENCYPART_ARC
(10,11),-0.193344 # DEPENDENCYPART_ARC
(10,12),0.0954822 # DEPENDENCYPART_ARC
(10,13),-0.633029 # DEPENDENCYPART_ARC
(10,14),-0.805438 # DEPENDENCYPART_ARC
(10,15),-0.583132 # DEPENDENCYPART_ARC
(10,16),-0.391693 # DEPENDENCYPART_ARC
(10,17),-1.35527 # DEPENDENCYPART_ARC
(10,18),-0.796761 # DEPENDENCYPART_ARC
(10,19),-1.12612 # DEPENDENCYPART_ARC
(10,20),-0.899361 # DEPENDENCYPART_ARC
(10,21),-0.811878 # DEPENDENCYPART_ARC
(10,22),-1.37669 # DEPENDENCYPART_ARC
(10,23),-1.34544 # DEPENDENCYPART_ARC
(10,24),-0.939632 # DEPENDENCYPART_ARC
(10,25),-1.36017 # DEPENDENCYPART_ARC
(10,26),-1.31813 # DEPENDENCYPART_ARC
(10,27),-0.736605 # DEPENDENCYPART_ARC
(10,28),-1.03889 # DEPENDENCYPART_ARC
(10,29),-1.31349 # DEPENDENCYPART_ARC
(11,1),-2.50136 # DEPENDENCYPART_ARC
(11,2),-1.36437 # DEPENDENCYPART_ARC
(11,3),-1.90439 # DEPENDENCYPART_ARC
(11,4),-1.15563 # DEPENDENCYPART_ARC
(11,5),-1.51182 # DEPENDENCYPART_ARC
(11,6),-1.57078 # DEPENDENCYPART_ARC
(11,7),-2.20633 # DEPENDENCYPART_ARC
(11,8),-1.00601 # DEPENDENCYPART_ARC
(11,9),-0.714709 # DEPENDENCYPART_ARC
(11,10),-0.232176 # DEPENDENCYPART_ARC
(11,12),1.30862 # DEPENDENCYPART_ARC
(11,13),-0.737554 # DEPENDENCYPART_ARC
(11,14),-0.913569 # DEPENDENCYPART_ARC
(11,15),-0.295561 # DEPENDENCYPART_ARC
(11,16),-0.113729 # DEPENDENCYPART_ARC
(11,17),-0.639202 # DEPENDENCYPART_ARC
(11,18),-0.112679 # DEPENDENCYPART_ARC
(11,19),-0.828432 # DEPENDENCYPART_ARC
(11,20),-0.570029 # DEPENDENCYPART_ARC
(11,21),-1.06208 # DEPENDENCYPART_ARC
(11,22),-0.0586194 # DEPENDENCYPART_ARC
(11,23),-1.72874 # DEPENDENCYPART_ARC
(11,24),-0.993324 # DEPENDENCYPART_ARC
(11,25),-0.577449 # DEPENDENCYPART_ARC
(11,26),-1.4672 # DEPENDENCYPART_ARC
(11,27),-0.476843 # DEPENDENCYPART_ARC
(11,28),-1.31132 # DEPENDENCYPART_ARC
(11,29),-0.42087 # DEPENDENCYPART_ARC
(12,1),-1.28257 # DEPENDENCYPART_ARC
(12,2),-1.84638 # DEPENDENCYPART_ARC
(12,3),-1.84328 # DEPENDENCYPART_ARC
(12,4),-1.33659 # DEPENDENCYPART_ARC
(12,5),-1.04713 # DEPENDENCYPART_ARC
(12,6),-1.05158 # DEPENDENCYPART_ARC
(12,7),-1.00291 # DEPENDENCYPART_ARC
(12,8),-1.03504 # DEPENDENCYPART_ARC
(12,9),-0.919476 # DEPENDENCYPART_ARC
(12,10),-1.21443 # DEPENDENCYPART_ARC
(12,11),-0.255276 # DEPENDENCYPART_ARC
(12,13),-0.501361 # DEPENDENCYPART_ARC
(12,14),-1.26544 # DEPENDENCYPART_ARC
(12,15),-0.783429 # DEPENDENCYPART_ARC
(12,16),-0.469859 # DEPENDENCYPART_ARC
(12,17),-1.30725 # DEPENDENCYPART_ARC
(12,18),-0.821344 # DEPENDENCYPART_ARC
(12,19),-1.11766 # DEPENDENCYPART_ARC
(12,20),-1.03472 # DEPENDENCYPART_ARC
(12,21),-0.873469 # DEPENDENCYPART_ARC
(12,22),-1.40778 # DEPENDENCYPART_ARC
(12,23),-1.44411 # DEPENDENCYPART_ARC
(12,24),-1.24701 # DEPENDENCYPART_ARC
(12,25),-1.64822 # DEPENDENCYPART_ARC
(12,26),-1.57653 # DEPENDENCYPART_ARC
(12,27),-1.05632 # DEPENDENCYPART_ARC
(12,28),-1.43889 # DEPENDENCYPART_ARC
(12,29),-1.45384 # DEPENDENCYPART_ARC
(13,1),-3.65783 # DEPENDENCYPART_ARC
(13,2),-0.978063 # DEPENDENCYPART_ARC
(13,3),-2.1671 # DEPENDENCYPART_ARC
(13,4),-1.45327 # DEPENDENCYPART_ARC
(13,5),-1.70494 # DEPENDENCYPART_ARC
(13,6),-1.73498 # DEPENDENCYPART_ARC
(13,7),-2.4874 # DEPENDENCYPART_ARC
(13,8),-1.27955 # DEPENDENCYPART_ARC
(13,9),-0.784002 # DEPENDENCYPART_ARC
(13,10),-1.2547 # DEPENDENCYPART_ARC
(13,11),-0.460217 # DEPENDENCYPART_ARC
(13,12),0.0325881 # DEPENDENCYPART_ARC
(13,14),0.34973 # DEPENDENCYPART_ARC
(13,15),0.152212 # DEPENDENCYPART_ARC
(13,16),-0.715937 # DEPENDENCYPART_ARC
(13,17),0.546645 # DEPENDENCYPART_ARC
(13,18),-0.945418 # DEPENDENCYPART_ARC
(13,19),-1.08062 # DEPENDENCYPART_ARC
(13,20),-1.06553 # DEPENDENCYPART_ARC
(13,21),-1.32227 # DEPENDENCYPART_ARC
(13,22),-0.817735 # DEPENDENCYPART_ARC
(13,23),-1.47333 # DEPENDENCYPART_ARC
(13,24),-1.3625 # DEPENDENCYPART_ARC
(13,25),-0.871069 # DEPENDENCYPART_ARC
(13,26),-1.86255 # DEPENDENCYPART_ARC
(13,27),-1.29031 # DEPENDENCYPART_ARC
(13,28),-1.34766 # DEPENDENCYPART_ARC
(13,29),-1.34821 # DEPENDENCYPART_ARC
(14,1),-3.04074 # DEPENDENCYPART_ARC
(14,2),-0.545176 # DEPENDENCYPART_ARC
(14,3),-1.9577 # DEPENDENCYPART_ARC
(14,4),-0.971798 # DEPENDENCYPART_ARC
(14,5),-1.08301 # DEPENDENCYPART_ARC
(14,6),-1.40859 # DEPENDENCYPART_ARC
(14,7),-1.87445 # DEPENDENCYPART_ARC
(14,8),-0.88339 # DEPENDENCYPART_ARC
(14,9),-0.646334 # DEPENDENCYPART_ARC
(14,10),-1.19768 # DEPENDENCYPART_ARC
(14,11),-0.765734 # DEPENDENCYPART_ARC
(14,12),-0.705339 # DEPENDENCYPART_ARC
(14,13),1.93214 # DEPENDENCYPART_ARC
(14,15),1.68273 # DEPENDENCYPART_ARC
(14,16),0.0749074 # DEPENDENCYPART_ARC
(14,17),0.934795 # DEPENDENCYPART_ARC
(14,18),-0.625473 # DEPENDENCYPART_ARC
(14,19),-0.867192 # DEPENDENCYPART_ARC
(14,20),-0.728255 # DEPENDENCYPART_ARC
(14,21),-0.973142 # DEPENDENCYPART_ARC
(14,22),-0.510111 # DEPENDENCYPART_ARC
(14,23),-0.92792 # DEPENDENCYPART_ARC
(14,24),-0.536182 # DEPENDENCYPART_ARC
(14,25),-0.484815 # DEPENDENCYPART_ARC
(14,26),-1.157 # DEPENDENCYPART_ARC
(14,27),-0.470061 # DEPENDENCYPART_ARC
(14,28),-1.42462 # DEPENDENCYPART_ARC
(14,29),-1.06247 # DEPENDENCYPART_ARC
(15,1),-2.4725 # DEPENDENCYPART_ARC
(15,2),-1.5083 # DEPENDENCYPART_ARC
(15,3),-2.02646 # DEPENDENCYPART_ARC
(15,4),-1.08164 # DEPENDENCYPART_ARC
(15,5),-1.8455 # DEPENDENCYPART_ARC
(15,6),-1.5324 # DEPENDENCYPART_ARC
(15,7),-2.03527 # DEPENDENCYPART_ARC
(15,8),-2.2542 # DEPENDENCYPART_ARC
(15,9),-1.75328 # DEPENDENCYPART_ARC
(15,10),-1.63472 # DEPENDENCYPART_ARC
(15,11),-1.33476 # DEPENDENCYPART_ARC
(15,12),-1.35334 # DEPENDENCYPART_ARC
(15,13),-0.940418 # DEPENDENCYPART_ARC
(15,14),-0.431734 # DEPENDENCYPART_ARC
(15,16),2.29057 # DEPENDENCYPART_ARC
(15,17),0.16188 # DEPENDENCYPART_ARC
(15,18),0.493027 # DEPENDENCYPART_ARC
(15,19),-0.339255 # DEPENDENCYPART_ARC
(15,20),0.0764753 # DEPENDENCYPART_ARC
(15,21),-0.199954 # DEPENDENCYPART_ARC
(15,22),-0.360396 # DEPENDENCYPART_ARC
(15,23),-0.532711 # DEPENDENCYPART_ARC
(15,24),-0.364203 # DEPENDENCYPART_ARC
(15,25),-0.486208 # DEPENDENCYPART_ARC
(15,26),-0.691579 # DEPENDENCYPART_ARC
(15,27),-0.606514 # DEPENDENCYPART_ARC
(15,28),-0.81609 # DEPENDENCYPART_ARC
(15,29),0.0414971 # DEPENDENCYPART_ARC
(16,1),-1.20125 # DEPENDENCYPART_ARC
(16,2),-1.60345 # DEPENDENCYPART_ARC
(16,3),-1.53092 # DEPENDENCYPART_ARC
(16,4),-1.13192 # DEPENDENCYPART_ARC
(16,5),-1.14505 # DEPENDENCYPART_ARC
(16,6),-0.87195 # DEPENDENCYPART_ARC
(16,7),-0.919981 # DEPENDENCYPART_ARC
(16,8),-0.933929 # DEPENDENCYPART_ARC
(16,9),-1.10762 # DEPENDENCYPART_ARC
(16,10),-1.01288 # DEPENDENCYPART_ARC
(16,11),-0.994936 # DEPENDENCYPART_ARC
(16,12),-0.898458 # DEPENDENCYPART_ARC
(16,13),-0.392404 # DEPENDENCYPART_ARC
(16,14),-0.445136 # DEPENDENCYPART_ARC
(16,15),0.23392 # DEPENDENCYPART_ARC
(16,17),-0.423317 # DEPENDENCYPART_ARC
(16,18),0.0599864 # DEPENDENCYPART_ARC
(16,19),-0.817946 # DEPENDENCYPART_ARC
(16,20),-0.783086 # DEPENDENCYPART_ARC
(16,21),-0.61959 # DEPENDENCYPART_ARC
(16,22),-1.21874 # DEPENDENCYPART_ARC
(16,23),-1.19246 # DEPENDENCYPART_ARC
(16,24),-1.01205 # DEPENDENCYPART_ARC
(16,25),-1.36368 # DEPENDENCYPART_ARC
(16,26),-1.27168 # DEPENDENCYPART_ARC
(16,27),-0.847716 # DEPENDENCYPART_ARC
(16,28),-0.987134 # DEPENDENCYPART_ARC
(16,29),-1.02519 # DEPENDENCYPART_ARC
(17,1),-2.74031 # DEPENDENCYPART_ARC
(17,2),-1.56906 # DEPENDENCYPART_ARC
(17,3),-1.96284 # DEPENDENCYPART_ARC
(17,4),-0.951404 # DEPENDENCYPART_ARC
(17,5),-1.95441 # DEPENDENCYPART_ARC
(17,6),-2.11673 # DEPENDENCYPART_ARC
(17,7),-2.21997 # DEPENDENCYPART_ARC
(17,8),-2.53747 # DEPENDENCYPART_ARC
(17,9),-2.08136 # DEPENDENCYPART_ARC
(17,10),-1.49312 # DEPENDENCYPART_ARC
(17,11),-1.72561 # DEPENDENCYPART_ARC
(17,12),-1.38911 # DEPENDENCYPART_ARC
(17,13),-1.97225 # DEPENDENCYPART_ARC
(17,14),-1.78909 # DEPENDENCYPART_ARC
(17,15),-1.18012 # DEPENDENCYPART_ARC
(17,16),-0.143908 # DEPENDENCYPART_ARC
(17,18),1.65429 # DEPENDENCYPART_ARC
(17,19),-1.55019 # DEPENDENCYPART_ARC
(17,20),-0.832125 # DEPENDENCYPART_ARC
(17,21),-2.10589 # DEPENDENCYPART_ARC
(17,22),-1.31307 # DEPENDENCYPART_ARC
(17,23),-1.24879 # DEPENDENCYPART_ARC
(17,24),-1.94084 # DEPENDENCYPART_ARC
(17,25),-1.51477 # DEPENDENCYPART_ARC
