# _root_ haren ustez , euskal_gizarteak aldaketa edo alternatiba bat eskatzen du gobernuan , eta hori ppk bete behar_du .
#goldHeads=2,9,2,9,6,9,6,7,13,17,9,11,0,16,17,17,13,17,
#predictedHeads=2,9,2,17,6,9,6,7,13,9,9,11,0,17,17,17,13,17,
(5,4),1.00175 # DEPENDENCYPART_ARC
(5,6),0.404096 # DEPENDENCYPART_ARC
(5,7),-0.129854 # DEPENDENCYPART_ARC
(5,8),0.300899 # DEPENDENCYPART_ARC
(5,9),-0.952396 # DEPENDENCYPART_ARC
(5,10),-0.870008 # DEPENDENCYPART_ARC
(5,11),-1.0426 # DEPENDENCYPART_ARC
(5,12),-0.609513 # DEPENDENCYPART_ARC
(5,13),-0.748865 # DEPENDENCYPART_ARC
(5,14),-1.58812 # DEPENDENCYPART_ARC
(5,15),-1.07646 # DEPENDENCYPART_ARC
(5,16),-0.826121 # DEPENDENCYPART_ARC
(5,17),-1.21957 # DEPENDENCYPART_ARC
(5,18),-1.25816 # DEPENDENCYPART_ARC
(6,1),-1.00286 # DEPENDENCYPART_ARC
(6,2),-0.384661 # DEPENDENCYPART_ARC
(6,3),-0.94405 # DEPENDENCYPART_ARC
(6,4),0.802782 # DEPENDENCYPART_ARC
(6,5),2.31145 # DEPENDENCYPART_ARC
(6,7),1.736 # DEPENDENCYPART_ARC
(6,8),0.461526 # DEPENDENCYPART_ARC
(6,9),-0.0208277 # DEPENDENCYPART_ARC
(6,10),-0.131644 # DEPENDENCYPART_ARC
(6,11),0.34747 # DEPENDENCYPART_ARC
(6,12),-0.176892 # DEPENDENCYPART_ARC
(6,13),-0.209611 # DEPENDENCYPART_ARC
(6,14),-0.568481 # DEPENDENCYPART_ARC
(6,15),0.204701 # DEPENDENCYPART_ARC
(6,16),-1.14691 # DEPENDENCYPART_ARC
(6,17),-0.803013 # DEPENDENCYPART_ARC
(6,18),-0.694306 # DEPENDENCYPART_ARC
(7,1),-1.41155 # DEPENDENCYPART_ARC
(7,2),-1.65842 # DEPENDENCYPART_ARC
(7,3),-1.92461 # DEPENDENCYPART_ARC
(7,4),-0.917178 # DEPENDENCYPART_ARC
(7,5),-0.260248 # DEPENDENCYPART_ARC
(7,6),-0.250523 # DEPENDENCYPART_ARC
(7,8),2.37946 # DEPENDENCYPART_ARC
(7,9),-0.689004 # DEPENDENCYPART_ARC
(7,10),-0.606138 # DEPENDENCYPART_ARC
(7,11),-0.587222 # DEPENDENCYPART_ARC
(7,12),-0.421616 # DEPENDENCYPART_ARC
(7,13),-0.524062 # DEPENDENCYPART_ARC
(7,14),-1.03508 # DEPENDENCYPART_ARC
(7,15),-0.977617 # DEPENDENCYPART_ARC
(7,16),-0.929154 # DEPENDENCYPART_ARC
(7,17),-1.01139 # DEPENDENCYPART_ARC
(7,18),-0.864207 # DEPENDENCYPART_ARC
(8,1),-1.22707 # DEPENDENCYPART_ARC
(8,2),-0.763634 # DEPENDENCYPART_ARC
(8,3),-1.41207 # DEPENDENCYPART_ARC
(8,4),-0.864845 # DEPENDENCYPART_ARC
(8,5),-1.18968 # DEPENDENCYPART_ARC
(8,6),-0.72248 # DEPENDENCYPART_ARC
(8,7),0.0873656 # DEPENDENCYPART_ARC
(8,9),-1.05196 # DEPENDENCYPART_ARC
(8,10),-1.10516 # DEPENDENCYPART_ARC
(8,11),-1.61951 # DEPENDENCYPART_ARC
(8,12),-0.637411 # DEPENDENCYPART_ARC
(8,13),-0.923264 # DEPENDENCYPART_ARC
(8,14),-1.43197 # DEPENDENCYPART_ARC
(8,15),-1.97375 # DEPENDENCYPART_ARC
(8,16),-1.64875 # DEPENDENCYPART_ARC
(8,17),-2.46632 # DEPENDENCYPART_ARC
(8,18),-1.08903 # DEPENDENCYPART_ARC
(9,1),-0.771854 # DEPENDENCYPART_ARC
(9,2),0.583819 # DEPENDENCYPART_ARC
(9,3),-1.36485 # DEPENDENCYPART_ARC
(9,4),1.53643 # DEPENDENCYPART_ARC
(9,5),0.0178043 # DEPENDENCYPART_ARC
(9,6),0.939154 # DEPENDENCYPART_ARC
(9,7),1.62534 # DEPENDENCYPART_ARC
(9,8),0.849513 # DEPENDENCYPART_ARC
(9,10),2.7959 # DEPENDENCYPART_ARC
(9,11),1.66689 # DEPENDENCYPART_ARC
(9,12),0.124236 # DEPENDENCYPART_ARC
(9,13),0.278087 # DEPENDENCYPART_ARC
(9,14),-0.599162 # DEPENDENCYPART_ARC
(9,15),-0.618073 # DEPENDENCYPART_ARC
(9,16),0.213594 # DEPENDENCYPART_ARC
(9,17),0.0026964 # DEPENDENCYPART_ARC
(9,18),0.0212455 # DEPENDENCYPART_ARC
(10,1),-1.23837 # DEPENDENCYPART_ARC
(10,2),-1.10744 # DEPENDENCYPART_ARC
(10,3),-2.04339 # DEPENDENCYPART_ARC
(10,4),-1.41587 # DEPENDENCYPART_ARC
(10,5),-1.4253 # DEPENDENCYPART_ARC
(10,6),-1.39963 # DEPENDENCYPART_ARC
(10,7),-1.04482 # DEPENDENCYPART_ARC
(10,8),-1.09812 # DEPENDENCYPART_ARC
(10,9),-1.70943 # DEPENDENCYPART_ARC
(10,11),-0.638344 # DEPENDENCYPART_ARC
(10,12),-0.0889484 # DEPENDENCYPART_ARC
(10,13),-1.1235 # DEPENDENCYPART_ARC
(10,14),-2.00227 # DEPENDENCYPART_ARC
(10,15),-2.03205 # DEPENDENCYPART_ARC
(10,16),-1.5818 # DEPENDENCYPART_ARC
(10,17),-1.68258 # DEPENDENCYPART_ARC
(10,18),-0.940098 # DEPENDENCYPART_ARC
(11,1),-1.62138 # DEPENDENCYPART_ARC
(11,2),-1.34465 # DEPENDENCYPART_ARC
(11,3),-1.66543 # DEPENDENCYPART_ARC
(11,4),-1.78298 # DEPENDENCYPART_ARC
(11,5),-1.27377 # DEPENDENCYPART_ARC
(11,6),-0.1993 # DEPENDENCYPART_ARC
(11,7),-0.704155 # DEPENDENCYPART_ARC
(11,8),-1.94587 # DEPENDENCYPART_ARC
(11,9),0.360674 # DEPENDENCYPART_ARC
(11,10),-0.628005 # DEPENDENCYPART_ARC
(11,12),1.7643 # DEPENDENCYPART_ARC
(11,13),-0.432642 # DEPENDENCYPART_ARC
(11,14),-1.85026 # DEPENDENCYPART_ARC
(11,15),-2.26466 # DEPENDENCYPART_ARC
(11,16),-0.907372 # DEPENDENCYPART_ARC
(11,17),-2.25935 # DEPENDENCYPART_ARC
(11,18),-0.704223 # DEPENDENCYPART_ARC
(12,1),-1.93687 # DEPENDENCYPART_ARC
(12,2),-1.35814 # DEPENDENCYPART_ARC
(12,3),-1.69218 # DEPENDENCYPART_ARC
(12,4),-1.08158 # DEPENDENCYPART_ARC
(12,5),-1.17707 # DEPENDENCYPART_ARC
(12,6),-0.884354 # DEPENDENCYPART_ARC
(12,7),-1.07474 # DEPENDENCYPART_ARC
(12,8),-1.46318 # DEPENDENCYPART_ARC
(12,9),-0.223716 # DEPENDENCYPART_ARC
(12,10),-0.716094 # DEPENDENCYPART_ARC
(12,11),-0.259742 # DEPENDENCYPART_ARC
(12,13),-0.338319 # DEPENDENCYPART_ARC
(12,14),-1.35414 # DEPENDENCYPART_ARC
(12,15),-0.728264 # DEPENDENCYPART_ARC
(12,16),-0.576172 # DEPENDENCYPART_ARC
(12,17),-0.869723 # DEPENDENCYPART_ARC
(12,18),-0.726112 # DEPENDENCYPART_ARC
(13,1),-0.701988 # DEPENDENCYPART_ARC
(13,2),-0.255238 # DEPENDENCYPART_ARC
(13,3),-1.53941 # DEPENDENCYPART_ARC
(13,4),-1.2508 # DEPENDENCYPART_ARC
(13,5),-0.550871 # DEPENDENCYPART_ARC
(13,6),-0.249646 # DEPENDENCYPART_ARC
(13,7),-0.32908 # DEPENDENCYPART_ARC
(13,8),-0.563327 # DEPENDENCYPART_ARC
(13,9),1.5402 # DEPENDENCYPART_ARC
(13,10),-0.435999 # DEPENDENCYPART_ARC
(13,11),-0.0107902 # DEPENDENCYPART_ARC
(13,12),-0.0209739 # DEPENDENCYPART_ARC
(13,14),-0.451959 # DEPENDENCYPART_ARC
(13,15),1.18716 # DEPENDENCYPART_ARC
(13,16),0.955825 # DEPENDENCYPART_ARC
(13,17),1.90318 # DEPENDENCYPART_ARC
(13,18),-0.348139 # DEPENDENCYPART_ARC
(14,1),-2.8477 # DEPENDENCYPART_ARC
(14,2),-1.80093 # DEPENDENCYPART_ARC
(14,3),-2.3514 # DEPENDENCYPART_ARC
(14,4),-2.9179 # DEPENDENCYPART_ARC
(14,5),-2.65853 # DEPENDENCYPART_ARC
(14,6),-1.87953 # DEPENDENCYPART_ARC
(14,7),-2.44898 # DEPENDENCYPART_ARC
(14,8),-2.29844 # DEPENDENCYPART_ARC
(14,9),-1.54903 # DEPENDENCYPART_ARC
(14,10),-2.38901 # DEPENDENCYPART_ARC
(14,11),-2.82976 # DEPENDENCYPART_ARC
(14,12),-1.46659 # DEPENDENCYPART_ARC
(14,13),-0.780835 # DEPENDENCYPART_ARC
(14,15),-0.44183 # DEPENDENCYPART_ARC
(14,16),-1.21638 # DEPENDENCYPART_ARC
(14,17),-1.79288 # DEPENDENCYPART_ARC
(14,18),-0.988725 # DEPENDENCYPART_ARC
(15,1),-2.68318 # DEPENDENCYPART_ARC
(15,2),-1.25911 # DEPENDENCYPART_ARC
(15,3),-2.06659 # DEPENDENCYPART_ARC
(15,4),-4.08533 # DEPENDENCYPART_ARC
(15,5),-1.63509 # DEPENDENCYPART_ARC
(15,6),-0.644384 # DEPENDENCYPART_ARC
(15,7),-1.3075 # DEPENDENCYPART_ARC
(15,8),-3.41777 # DEPENDENCYPART_ARC
(15,9),-2.50788 # DEPENDENCYPART_ARC
(15,10),-2.67274 # DEPENDENCYPART_ARC
(15,11),-3.77667 # DEPENDENCYPART_ARC
(15,12),-1.27171 # DEPENDENCYPART_ARC
(15,13),-0.640873 # DEPENDENCYPART_ARC
(15,14),-1.99651 # DEPENDENCYPART_ARC
(15,16),0.0517844 # DEPENDENCYPART_ARC
(15,17),-2.48837 # DEPENDENCYPART_ARC
(15,18),-0.830364 # DEPENDENCYPART_ARC
(16,1),-1.69695 # DEPENDENCYPART_ARC
(16,2),-0.731543 # DEPENDENCYPART_ARC
(16,3),-2.64725 # DEPENDENCYPART_ARC
(16,4),-0.621058 # DEPENDENCYPART_ARC
(16,5),-1.89826 # DEPENDENCYPART_ARC
(16,6),-0.638433 # DEPENDENCYPART_ARC
(16,7),-1.02431 # DEPENDENCYPART_ARC
(16,8),-1.48351 # DEPENDENCYPART_ARC
(16,9),-0.853175 # DEPENDENCYPART_ARC
(16,10),-0.656464 # DEPENDENCYPART_ARC
(16,11),-0.399118 # DEPENDENCYPART_ARC
(16,12),-1.58012 # DEPENDENCYPART_ARC
(16,13),-0.251728 # DEPENDENCYPART_ARC
(16,14),0.281537 # DEPENDENCYPART_ARC
(16,15),2.77307 # DEPENDENCYPART_ARC
(16,17),0.159385 # DEPENDENCYPART_ARC
(16,18),0.207814 # DEPENDENCYPART_ARC
(17,1),-1.25083 # DEPENDENCYPART_ARC
(17,2),-0.408153 # DEPENDENCYPART_ARC
(17,3),-1.63922 # DEPENDENCYPART_ARC
(17,4),1.65673 # DEPENDENCYPART_ARC
(17,5),-0.72678 # DEPENDENCYPART_ARC
(17,6),0.111699 # DEPENDENCYPART_ARC
(17,7),-0.00190494 # DEPENDENCYPART_ARC
(17,8),-0.573563 # DEPENDENCYPART_ARC
(17,9),-0.179419 # DEPENDENCYPART_ARC
(17,10),1.35587 # DEPENDENCYPART_ARC
(17,11),0.604652 # DEPENDENCYPART_ARC
(17,12),-0.805255 # DEPENDENCYPART_ARC
(17,13),0.0549886 # DEPENDENCYPART_ARC
(17,14),1.39864 # DEPENDENCYPART_ARC
(17,15),2.94708 # DEPENDENCYPART_ARC
(17,16),2.37001 # DEPENDENCYPART_ARC
(17,18),2.27182 # DEPENDENCYPART_ARC
(18,1),-2.22037 # DEPENDENCYPART_ARC
(18,2),-1.78821 # DEPENDENCYPART_ARC
(18,3),-1.81741 # DEPENDENCYPART_ARC
(18,4),-1.57688 # DEPENDENCYPART_ARC
(18,5),-1.4853 # DEPENDENCYPART_ARC
(18,6),-1.29369 # DEPENDENCYPART_ARC
(18,7),-1.58683 # DEPENDENCYPART_ARC
(18,8),-2.00206 # DEPENDENCYPART_ARC
(18,9),-1.70317 # DEPENDENCYPART_ARC
(18,10),-1.25436 # DEPENDENCYPART_ARC
(18,11),-1.61837 # DEPENDENCYPART_ARC
(18,12),-1.62491 # DEPENDENCYPART_ARC
(18,13),-0.702797 # DEPENDENCYPART_ARC
(18,14),-1.70747 # DEPENDENCYPART_ARC
(18,15),-0.705034 # DEPENDENCYPART_ARC
(18,16),-1.10594 # DEPENDENCYPART_ARC
(18,17),-0.607524 # DEPENDENCYPART_ARC
