# _root_ elkartasun taldeak ugaritu arren zeregin asko dagoela ere argi dute , eta beraz , jarraitu beharra dagoela .
#goldHeads=2,3,7,3,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
#predictedHeads=2,3,5,3,7,5,10,0,10,12,10,0,0,13,16,17,10,17,
(4,5),-0.86664 # DEPENDENCYPART_ARC
(4,6),-0.775184 # DEPENDENCYPART_ARC
(4,7),-0.989876 # DEPENDENCYPART_ARC
(4,8),-0.713442 # DEPENDENCYPART_ARC
(4,9),-1.36643 # DEPENDENCYPART_ARC
(4,10),-0.86369 # DEPENDENCYPART_ARC
(4,11),-1.02335 # DEPENDENCYPART_ARC
(4,12),-1.18301 # DEPENDENCYPART_ARC
(4,13),-1.47301 # DEPENDENCYPART_ARC
(4,14),-1.191 # DEPENDENCYPART_ARC
(4,15),-1.49229 # DEPENDENCYPART_ARC
(4,16),-1.55096 # DEPENDENCYPART_ARC
(4,17),-2.16012 # DEPENDENCYPART_ARC
(4,18),-1.66127 # DEPENDENCYPART_ARC
(5,1),-0.658099 # DEPENDENCYPART_ARC
(5,2),-1.54542 # DEPENDENCYPART_ARC
(5,3),0.346204 # DEPENDENCYPART_ARC
(5,4),0.0213797 # DEPENDENCYPART_ARC
(5,6),2.32427 # DEPENDENCYPART_ARC
(5,7),-0.718793 # DEPENDENCYPART_ARC
(5,8),-0.214121 # DEPENDENCYPART_ARC
(5,9),-0.543338 # DEPENDENCYPART_ARC
(5,10),-1.41628 # DEPENDENCYPART_ARC
(5,11),-0.722925 # DEPENDENCYPART_ARC
(5,12),-0.51255 # DEPENDENCYPART_ARC
(5,13),-0.683533 # DEPENDENCYPART_ARC
(5,14),-0.881908 # DEPENDENCYPART_ARC
(5,15),-0.508542 # DEPENDENCYPART_ARC
(5,16),-0.697536 # DEPENDENCYPART_ARC
(5,17),-1.59768 # DEPENDENCYPART_ARC
(5,18),-1.17283 # DEPENDENCYPART_ARC
(6,1),-1.42485 # DEPENDENCYPART_ARC
(6,2),-0.900498 # DEPENDENCYPART_ARC
(6,3),-0.902615 # DEPENDENCYPART_ARC
(6,4),-0.351308 # DEPENDENCYPART_ARC
(6,5),0.0614398 # DEPENDENCYPART_ARC
(6,7),0.204816 # DEPENDENCYPART_ARC
(6,8),-0.413038 # DEPENDENCYPART_ARC
(6,9),-0.701582 # DEPENDENCYPART_ARC
(6,10),-1.5613 # DEPENDENCYPART_ARC
(6,11),-0.409933 # DEPENDENCYPART_ARC
(6,12),-0.60859 # DEPENDENCYPART_ARC
(6,13),-0.617071 # DEPENDENCYPART_ARC
(6,14),-0.612632 # DEPENDENCYPART_ARC
(6,15),-1.31776 # DEPENDENCYPART_ARC
(6,16),-1.06689 # DEPENDENCYPART_ARC
(6,17),-1.19267 # DEPENDENCYPART_ARC
(6,18),-0.927603 # DEPENDENCYPART_ARC
(7,1),-0.219865 # DEPENDENCYPART_ARC
(7,2),0.595921 # DEPENDENCYPART_ARC
(7,3),0.0515516 # DEPENDENCYPART_ARC
(7,4),0.284501 # DEPENDENCYPART_ARC
(7,5),1.5675 # DEPENDENCYPART_ARC
(7,6),0.725734 # DEPENDENCYPART_ARC
(7,8),1.3563 # DEPENDENCYPART_ARC
(7,9),0.0458309 # DEPENDENCYPART_ARC
(7,10),-1.52991 # DEPENDENCYPART_ARC
(7,11),-0.0763371 # DEPENDENCYPART_ARC
(7,12),0.0467268 # DEPENDENCYPART_ARC
(7,13),-0.238035 # DEPENDENCYPART_ARC
(7,14),-0.59832 # DEPENDENCYPART_ARC
(7,15),-1.30296 # DEPENDENCYPART_ARC
(7,16),-0.840416 # DEPENDENCYPART_ARC
(7,17),-0.715423 # DEPENDENCYPART_ARC
(7,18),-0.597281 # DEPENDENCYPART_ARC
(8,1),-2.3575 # DEPENDENCYPART_ARC
(8,2),-2.69751 # DEPENDENCYPART_ARC
(8,3),-1.51731 # DEPENDENCYPART_ARC
(8,4),-1.55904 # DEPENDENCYPART_ARC
(8,5),-1.70078 # DEPENDENCYPART_ARC
(8,6),-1.40838 # DEPENDENCYPART_ARC
(8,7),-0.405713 # DEPENDENCYPART_ARC
(8,9),-0.990445 # DEPENDENCYPART_ARC
(8,10),-0.226059 # DEPENDENCYPART_ARC
(8,11),-0.649296 # DEPENDENCYPART_ARC
(8,12),-1.11888 # DEPENDENCYPART_ARC
(8,13),-1.70298 # DEPENDENCYPART_ARC
(8,14),-0.824424 # DEPENDENCYPART_ARC
(8,15),-2.46881 # DEPENDENCYPART_ARC
(8,16),-1.91922 # DEPENDENCYPART_ARC
(8,17),-1.40828 # DEPENDENCYPART_ARC
(8,18),-1.48408 # DEPENDENCYPART_ARC
(9,1),-0.61559 # DEPENDENCYPART_ARC
(9,2),-0.59136 # DEPENDENCYPART_ARC
(9,3),-0.77365 # DEPENDENCYPART_ARC
(9,4),-0.372061 # DEPENDENCYPART_ARC
(9,5),-0.396939 # DEPENDENCYPART_ARC
(9,6),-0.0660516 # DEPENDENCYPART_ARC
(9,7),-0.109461 # DEPENDENCYPART_ARC
(9,8),0.457804 # DEPENDENCYPART_ARC
(9,10),1.10076 # DEPENDENCYPART_ARC
(9,11),0.77766 # DEPENDENCYPART_ARC
(9,12),0.00827359 # DEPENDENCYPART_ARC
(9,13),-0.223055 # DEPENDENCYPART_ARC
(9,14),0.0587563 # DEPENDENCYPART_ARC
(9,15),-0.709745 # DEPENDENCYPART_ARC
(9,16),-0.585938 # DEPENDENCYPART_ARC
(9,17),-0.337733 # DEPENDENCYPART_ARC
(9,18),0.0783784 # DEPENDENCYPART_ARC
(10,1),-0.382763 # DEPENDENCYPART_ARC
(10,2),-0.0600108 # DEPENDENCYPART_ARC
(10,3),-0.0591154 # DEPENDENCYPART_ARC
(10,4),-0.588902 # DEPENDENCYPART_ARC
(10,5),0.295256 # DEPENDENCYPART_ARC
(10,6),-0.610577 # DEPENDENCYPART_ARC
(10,7),0.430787 # DEPENDENCYPART_ARC
(10,8),-0.413562 # DEPENDENCYPART_ARC
(10,9),1.16088 # DEPENDENCYPART_ARC
(10,11),1.78326 # DEPENDENCYPART_ARC
(10,12),-0.0592233 # DEPENDENCYPART_ARC
(10,13),-0.172018 # DEPENDENCYPART_ARC
(10,14),-0.0299663 # DEPENDENCYPART_ARC
(10,15),-0.606572 # DEPENDENCYPART_ARC
(10,16),-0.0736257 # DEPENDENCYPART_ARC
(10,17),1.24196 # DEPENDENCYPART_ARC
(10,18),-0.0664362 # DEPENDENCYPART_ARC
(11,1),-1.33326 # DEPENDENCYPART_ARC
(11,2),-1.24749 # DEPENDENCYPART_ARC
(11,3),-1.15256 # DEPENDENCYPART_ARC
(11,4),-0.894101 # DEPENDENCYPART_ARC
(11,5),-1.17859 # DEPENDENCYPART_ARC
(11,6),-1.6311 # DEPENDENCYPART_ARC
(11,7),-0.490904 # DEPENDENCYPART_ARC
(11,8),-0.629183 # DEPENDENCYPART_ARC
(11,9),-1.02008 # DEPENDENCYPART_ARC
(11,10),0.295925 # DEPENDENCYPART_ARC
(11,12),-0.447858 # DEPENDENCYPART_ARC
(11,13),-1.16356 # DEPENDENCYPART_ARC
(11,14),-0.670505 # DEPENDENCYPART_ARC
(11,15),-0.873999 # DEPENDENCYPART_ARC
(11,16),-1.40769 # DEPENDENCYPART_ARC
(11,17),-1.10754 # DEPENDENCYPART_ARC
(11,18),-1.02107 # DEPENDENCYPART_ARC
(12,1),-1.55913 # DEPENDENCYPART_ARC
(12,2),-1.86794 # DEPENDENCYPART_ARC
(12,3),0.00484619 # DEPENDENCYPART_ARC
(12,4),-0.252109 # DEPENDENCYPART_ARC
(12,5),-0.822666 # DEPENDENCYPART_ARC
(12,6),-0.148672 # DEPENDENCYPART_ARC
(12,7),0.209538 # DEPENDENCYPART_ARC
(12,8),0.00873639 # DEPENDENCYPART_ARC
(12,9),0.11059 # DEPENDENCYPART_ARC
(12,10),2.00549 # DEPENDENCYPART_ARC
(12,11),0.0114519 # DEPENDENCYPART_ARC
(12,13),0.271759 # DEPENDENCYPART_ARC
(12,14),0.336845 # DEPENDENCYPART_ARC
(12,15),0.27992 # DEPENDENCYPART_ARC
(12,16),0.0394357 # DEPENDENCYPART_ARC
(12,17),0.568698 # DEPENDENCYPART_ARC
(12,18),-0.55733 # DEPENDENCYPART_ARC
(13,1),-2.96314 # DEPENDENCYPART_ARC
(13,2),-3.1419 # DEPENDENCYPART_ARC
(13,3),-2.5425 # DEPENDENCYPART_ARC
(13,4),-2.11986 # DEPENDENCYPART_ARC
(13,5),-2.49273 # DEPENDENCYPART_ARC
(13,6),-2.20528 # DEPENDENCYPART_ARC
(13,7),-2.57926 # DEPENDENCYPART_ARC
(13,8),-1.95185 # DEPENDENCYPART_ARC
(13,9),-1.80952 # DEPENDENCYPART_ARC
(13,10),-1.37211 # DEPENDENCYPART_ARC
(13,11),-1.80435 # DEPENDENCYPART_ARC
(13,12),-1.0117 # DEPENDENCYPART_ARC
(13,14),1.18657 # DEPENDENCYPART_ARC
(13,15),-1.2669 # DEPENDENCYPART_ARC
(13,16),-1.26412 # DEPENDENCYPART_ARC
(13,17),-1.12986 # DEPENDENCYPART_ARC
(13,18),-0.872662 # DEPENDENCYPART_ARC
(14,1),-1.36107 # DEPENDENCYPART_ARC
(14,2),-1.42784 # DEPENDENCYPART_ARC
(14,3),-1.49431 # DEPENDENCYPART_ARC
(14,4),-0.958294 # DEPENDENCYPART_ARC
(14,5),-1.36953 # DEPENDENCYPART_ARC
(14,6),-1.62315 # DEPENDENCYPART_ARC
(14,7),-0.347012 # DEPENDENCYPART_ARC
(14,8),-0.961903 # DEPENDENCYPART_ARC
(14,9),-1.24364 # DEPENDENCYPART_ARC
(14,10),-0.475751 # DEPENDENCYPART_ARC
(14,11),-0.973082 # DEPENDENCYPART_ARC
(14,12),-0.601664 # DEPENDENCYPART_ARC
(14,13),-0.113713 # DEPENDENCYPART_ARC
(14,15),-0.324763 # DEPENDENCYPART_ARC
(14,16),-1.17034 # DEPENDENCYPART_ARC
(14,17),-0.899537 # DEPENDENCYPART_ARC
(14,18),-0.588507 # DEPENDENCYPART_ARC
(15,1),-2.10973 # DEPENDENCYPART_ARC
(15,2),-1.14856 # DEPENDENCYPART_ARC
(15,3),-1.19988 # DEPENDENCYPART_ARC
(15,4),-1.01202 # DEPENDENCYPART_ARC
(15,5),-1.41562 # DEPENDENCYPART_ARC
(15,6),-1.79793 # DEPENDENCYPART_ARC
(15,7),0.00688544 # DEPENDENCYPART_ARC
(15,8),-0.774917 # DEPENDENCYPART_ARC
(15,9),-0.83544 # DEPENDENCYPART_ARC
(15,10),-0.0426648 # DEPENDENCYPART_ARC
(15,11),-0.790145 # DEPENDENCYPART_ARC
(15,12),0.579004 # DEPENDENCYPART_ARC
(15,13),0.513377 # DEPENDENCYPART_ARC
(15,14),-0.0343957 # DEPENDENCYPART_ARC
(15,16),1.16874 # DEPENDENCYPART_ARC
(15,17),0.719185 # DEPENDENCYPART_ARC
(15,18),-0.374631 # DEPENDENCYPART_ARC
(16,1),-1.00929 # DEPENDENCYPART_ARC
(16,2),-3.78973 # DEPENDENCYPART_ARC
(16,3),-1.21417 # DEPENDENCYPART_ARC
(16,4),-1.07582 # DEPENDENCYPART_ARC
(16,5),-0.89047 # DEPENDENCYPART_ARC
(16,6),-1.59813 # DEPENDENCYPART_ARC
(16,7),-2.70763 # DEPENDENCYPART_ARC
(16,8),-1.0593 # DEPENDENCYPART_ARC
(16,9),-0.565338 # DEPENDENCYPART_ARC
(16,10),-2.4738 # DEPENDENCYPART_ARC
(16,11),-1.01096 # DEPENDENCYPART_ARC
(16,12),-0.50567 # DEPENDENCYPART_ARC
(16,13),-0.18645 # DEPENDENCYPART_ARC
(16,14),-0.329776 # DEPENDENCYPART_ARC
(16,15),1.9677 # DEPENDENCYPART_ARC
(16,17),-0.0591187 # DEPENDENCYPART_ARC
(16,18),-0.0464138 # DEPENDENCYPART_ARC
(17,1),-1.65577 # DEPENDENCYPART_ARC
(17,2),-1.33441 # DEPENDENCYPART_ARC
(17,3),-0.731424 # DEPENDENCYPART_ARC
(17,4),-0.447005 # DEPENDENCYPART_ARC
(17,5),-1.19601 # DEPENDENCYPART_ARC
(17,6),-1.58816 # DEPENDENCYPART_ARC
(17,7),-0.957714 # DEPENDENCYPART_ARC
(17,8),-0.778935 # DEPENDENCYPART_ARC
(17,9),-0.536987 # DEPENDENCYPART_ARC
(17,10),-0.93526 # DEPENDENCYPART_ARC
(17,11),-1.28685 # DEPENDENCYPART_ARC
(17,12),-0.33214 # DEPENDENCYPART_ARC
(17,13),0.250303 # DEPENDENCYPART_ARC
(17,14),-0.714051 # DEPENDENCYPART_ARC
(17,15),0.85814 # DEPENDENCYPART_ARC
(17,16),2.82065 # DEPENDENCYPART_ARC
(17,18),1.87994 # DEPENDENCYPART_ARC
(18,1),-1.86882 # DEPENDENCYPART_ARC
(18,2),-1.67761 # DEPENDENCYPART_ARC
(18,3),-1.91649 # DEPENDENCYPART_ARC
(18,4),-1.38063 # DEPENDENCYPART_ARC
(18,5),-1.70692 # DEPENDENCYPART_ARC
(18,6),-2.05979 # DEPENDENCYPART_ARC
(18,7),-1.26708 # DEPENDENCYPART_ARC
(18,8),-1.28677 # DEPENDENCYPART_ARC
(18,9),-1.53553 # DEPENDENCYPART_ARC
(18,10),-1.22653 # DEPENDENCYPART_ARC
(18,11),-1.49052 # DEPENDENCYPART_ARC
(18,12),-0.947122 # DEPENDENCYPART_ARC
(18,13),-1.11623 # DEPENDENCYPART_ARC
(18,14),-1.28406 # DEPENDENCYPART_ARC
(18,15),-0.952668 # DEPENDENCYPART_ARC
(18,16),-0.760538 # DEPENDENCYPART_ARC
(18,17),0.0311863 # DEPENDENCYPART_ARC
