# _root_ jose_antonio_alvarez_kaperotxipik , afera daraman epaileak , castejonek " ez duela zerikusirik eta gaizki aholkatua " zegoela argudiatu du .
#goldHeads=17,1,4,5,1,5,10,7,10,12,10,17,14,16,14,12,0,17,18,
#predictedHeads=12,3,4,5,10,5,10,7,10,17,10,16,14,16,14,17,0,17,18,
(6,5),-0.222917 # DEPENDENCYPART_ARC
(6,7),-0.0643503 # DEPENDENCYPART_ARC
(6,8),0.459115 # DEPENDENCYPART_ARC
(6,10),-0.615403 # DEPENDENCYPART_ARC
(6,11),-0.587402 # DEPENDENCYPART_ARC
(6,12),-1.17012 # DEPENDENCYPART_ARC
(6,14),-0.966132 # DEPENDENCYPART_ARC
(6,15),-0.604155 # DEPENDENCYPART_ARC
(6,16),-1.0275 # DEPENDENCYPART_ARC
(6,17),-0.870287 # DEPENDENCYPART_ARC
(6,18),-0.883298 # DEPENDENCYPART_ARC
(7,1),-4.55097 # DEPENDENCYPART_ARC
(7,2),-1.66087 # DEPENDENCYPART_ARC
(7,3),-3.99759 # DEPENDENCYPART_ARC
(7,4),-1.2204 # DEPENDENCYPART_ARC
(7,5),-3.90506 # DEPENDENCYPART_ARC
(7,6),-0.0584432 # DEPENDENCYPART_ARC
(7,8),1.61927 # DEPENDENCYPART_ARC
(7,10),-1.9497 # DEPENDENCYPART_ARC
(7,11),-1.52368 # DEPENDENCYPART_ARC
(7,13),-1.06164 # DEPENDENCYPART_ARC
(7,14),-1.32575 # DEPENDENCYPART_ARC
(7,15),-0.95514 # DEPENDENCYPART_ARC
(7,16),-1.6012 # DEPENDENCYPART_ARC
(7,17),-2.61798 # DEPENDENCYPART_ARC
(7,19),-0.982228 # DEPENDENCYPART_ARC
(8,1),-1.6665 # DEPENDENCYPART_ARC
(8,2),-1.49654 # DEPENDENCYPART_ARC
(8,3),-1.27653 # DEPENDENCYPART_ARC
(8,4),-0.699856 # DEPENDENCYPART_ARC
(8,5),-1.22971 # DEPENDENCYPART_ARC
(8,6),-1.28729 # DEPENDENCYPART_ARC
(8,7),-0.513384 # DEPENDENCYPART_ARC
(8,9),-0.629581 # DEPENDENCYPART_ARC
(8,10),-1.00392 # DEPENDENCYPART_ARC
(8,11),-0.943055 # DEPENDENCYPART_ARC
(8,14),-1.32526 # DEPENDENCYPART_ARC
(8,15),-0.627983 # DEPENDENCYPART_ARC
(8,16),-1.43245 # DEPENDENCYPART_ARC
(8,17),-1.50991 # DEPENDENCYPART_ARC
(8,18),-1.33712 # DEPENDENCYPART_ARC
(8,19),-0.961271 # DEPENDENCYPART_ARC
(9,1),-0.976614 # DEPENDENCYPART_ARC
(9,2),-1.02839 # DEPENDENCYPART_ARC
(9,3),-1.28347 # DEPENDENCYPART_ARC
(9,4),-1.69304 # DEPENDENCYPART_ARC
(9,5),-0.766784 # DEPENDENCYPART_ARC
(9,6),-0.647249 # DEPENDENCYPART_ARC
(9,7),-0.395538 # DEPENDENCYPART_ARC
(9,8),0.0541671 # DEPENDENCYPART_ARC
(9,10),-0.93418 # DEPENDENCYPART_ARC
(9,11),-0.860337 # DEPENDENCYPART_ARC
(9,12),-0.507222 # DEPENDENCYPART_ARC
(9,14),-1.08591 # DEPENDENCYPART_ARC
(9,15),-0.310127 # DEPENDENCYPART_ARC
(9,16),-1.81966 # DEPENDENCYPART_ARC
(9,17),-1.16318 # DEPENDENCYPART_ARC
(9,19),-0.463047 # DEPENDENCYPART_ARC
(10,1),-2.58037 # DEPENDENCYPART_ARC
(10,2),-1.44938 # DEPENDENCYPART_ARC
(10,3),0.377162 # DEPENDENCYPART_ARC
(10,4),-1.99699 # DEPENDENCYPART_ARC
(10,5),0.440232 # DEPENDENCYPART_ARC
(10,6),-1.20411 # DEPENDENCYPART_ARC
(10,7),1.17843 # DEPENDENCYPART_ARC
(10,8),-1.02175 # DEPENDENCYPART_ARC
(10,9),1.13921 # DEPENDENCYPART_ARC
(10,11),2.5932 # DEPENDENCYPART_ARC
(10,12),0.349782 # DEPENDENCYPART_ARC
(10,13),-0.113688 # DEPENDENCYPART_ARC
(10,14),0.0710137 # DEPENDENCYPART_ARC
(10,15),-0.310908 # DEPENDENCYPART_ARC
(10,16),-0.929459 # DEPENDENCYPART_ARC
(10,17),-1.50402 # DEPENDENCYPART_ARC
(10,18),-1.40462 # DEPENDENCYPART_ARC
(10,19),-0.666591 # DEPENDENCYPART_ARC
(11,1),-2.58687 # DEPENDENCYPART_ARC
(11,2),-1.85335 # DEPENDENCYPART_ARC
(11,3),-2.45041 # DEPENDENCYPART_ARC
(11,4),-1.59323 # DEPENDENCYPART_ARC
(11,5),-2.84703 # DEPENDENCYPART_ARC
(11,6),-1.53046 # DEPENDENCYPART_ARC
(11,7),-2.08062 # DEPENDENCYPART_ARC
(11,8),-1.453 # DEPENDENCYPART_ARC
(11,9),-0.430356 # DEPENDENCYPART_ARC
(11,10),-0.761181 # DEPENDENCYPART_ARC
(11,12),-0.0653972 # DEPENDENCYPART_ARC
(11,13),-0.768 # DEPENDENCYPART_ARC
(11,14),-0.964636 # DEPENDENCYPART_ARC
(11,15),-1.231 # DEPENDENCYPART_ARC
(11,16),-1.92746 # DEPENDENCYPART_ARC
(11,17),-2.07907 # DEPENDENCYPART_ARC
(11,18),-1.42136 # DEPENDENCYPART_ARC
(11,19),-1.48159 # DEPENDENCYPART_ARC
(12,1),-0.525876 # DEPENDENCYPART_ARC
(12,2),-1.92227 # DEPENDENCYPART_ARC
(12,3),-0.706756 # DEPENDENCYPART_ARC
(12,4),-1.17475 # DEPENDENCYPART_ARC
(12,5),-0.61036 # DEPENDENCYPART_ARC
(12,6),-1.6537 # DEPENDENCYPART_ARC
(12,7),-0.162936 # DEPENDENCYPART_ARC
(12,8),-1.28733 # DEPENDENCYPART_ARC
(12,9),-0.877883 # DEPENDENCYPART_ARC
(12,10),-0.0689849 # DEPENDENCYPART_ARC
(12,11),1.19056 # DEPENDENCYPART_ARC
(12,13),0.268433 # DEPENDENCYPART_ARC
(12,14),-0.25847 # DEPENDENCYPART_ARC
(12,15),-0.32401 # DEPENDENCYPART_ARC
(12,16),0.378718 # DEPENDENCYPART_ARC
(12,17),-0.333658 # DEPENDENCYPART_ARC
(12,18),-1.04803 # DEPENDENCYPART_ARC
(12,19),-0.578478 # DEPENDENCYPART_ARC
(13,1),-2.07901 # DEPENDENCYPART_ARC
(13,2),-2.56392 # DEPENDENCYPART_ARC
(13,3),-1.91907 # DEPENDENCYPART_ARC
(13,4),-2.33688 # DEPENDENCYPART_ARC
(13,5),-1.94534 # DEPENDENCYPART_ARC
(13,6),-2.20274 # DEPENDENCYPART_ARC
(13,7),-1.89273 # DEPENDENCYPART_ARC
(13,8),-2.14861 # DEPENDENCYPART_ARC
(13,9),-1.91622 # DEPENDENCYPART_ARC
(13,10),-1.80281 # DEPENDENCYPART_ARC
(13,11),-1.40223 # DEPENDENCYPART_ARC
(13,12),-0.825354 # DEPENDENCYPART_ARC
(13,14),-0.41761 # DEPENDENCYPART_ARC
(13,15),-0.136224 # DEPENDENCYPART_ARC
(13,16),-0.969207 # DEPENDENCYPART_ARC
(13,17),-1.46786 # DEPENDENCYPART_ARC
(13,18),-1.18935 # DEPENDENCYPART_ARC
(13,19),-0.703904 # DEPENDENCYPART_ARC
(14,1),-2.51927 # DEPENDENCYPART_ARC
(14,2),-1.50532 # DEPENDENCYPART_ARC
(14,3),-2.3148 # DEPENDENCYPART_ARC
(14,4),-2.81724 # DEPENDENCYPART_ARC
(14,5),-1.4679 # DEPENDENCYPART_ARC
(14,6),-1.23371 # DEPENDENCYPART_ARC
(14,7),-1.22426 # DEPENDENCYPART_ARC
(14,8),-1.42763 # DEPENDENCYPART_ARC
(14,9),-0.238279 # DEPENDENCYPART_ARC
(14,10),-1.16758 # DEPENDENCYPART_ARC
(14,11),-0.601326 # DEPENDENCYPART_ARC
(14,12),-0.00292984 # DEPENDENCYPART_ARC
(14,13),1.23658 # DEPENDENCYPART_ARC
(14,15),1.71782 # DEPENDENCYPART_ARC
(14,16),-1.23112 # DEPENDENCYPART_ARC
(14,17),-1.8239 # DEPENDENCYPART_ARC
(14,18),-1.44383 # DEPENDENCYPART_ARC
(14,19),-0.569285 # DEPENDENCYPART_ARC
(15,1),-1.5106 # DEPENDENCYPART_ARC
(15,2),-1.70407 # DEPENDENCYPART_ARC
(15,3),-1.39088 # DEPENDENCYPART_ARC
(15,4),-1.36953 # DEPENDENCYPART_ARC
(15,5),-1.53415 # DEPENDENCYPART_ARC
(15,6),-1.65969 # DEPENDENCYPART_ARC
(15,7),-1.49702 # DEPENDENCYPART_ARC
(15,8),-1.53294 # DEPENDENCYPART_ARC
(15,9),-1.23686 # DEPENDENCYPART_ARC
(15,10),-0.985963 # DEPENDENCYPART_ARC
(15,11),-1.23374 # DEPENDENCYPART_ARC
(15,14),-0.215509 # DEPENDENCYPART_ARC
(15,16),-0.258217 # DEPENDENCYPART_ARC
(15,17),-1.3178 # DEPENDENCYPART_ARC
(15,18),-1.00452 # DEPENDENCYPART_ARC
(15,19),-0.368795 # DEPENDENCYPART_ARC
(16,1),-2.12792 # DEPENDENCYPART_ARC
(16,2),-0.810675 # DEPENDENCYPART_ARC
(16,3),-0.0113613 # DEPENDENCYPART_ARC
(16,4),-0.611187 # DEPENDENCYPART_ARC
(16,5),-0.303549 # DEPENDENCYPART_ARC
(16,6),-0.702839 # DEPENDENCYPART_ARC
(16,7),0.110816 # DEPENDENCYPART_ARC
(16,8),-0.807152 # DEPENDENCYPART_ARC
(16,9),0.258206 # DEPENDENCYPART_ARC
(16,10),-0.381018 # DEPENDENCYPART_ARC
(16,11),-0.151476 # DEPENDENCYPART_ARC
(16,12),0.65086 # DEPENDENCYPART_ARC
(16,13),1.0946 # DEPENDENCYPART_ARC
(16,14),1.61724 # DEPENDENCYPART_ARC
(16,15),0.53974 # DEPENDENCYPART_ARC
(16,17),-0.457481 # DEPENDENCYPART_ARC
(16,18),-0.74423 # DEPENDENCYPART_ARC
(16,19),-0.317186 # DEPENDENCYPART_ARC
(17,1),-1.22007 # DEPENDENCYPART_ARC
(17,2),-1.1657 # DEPENDENCYPART_ARC
(17,3),-1.31092 # DEPENDENCYPART_ARC
(17,4),-0.870484 # DEPENDENCYPART_ARC
(17,5),-0.373365 # DEPENDENCYPART_ARC
(17,6),-1.12857 # DEPENDENCYPART_ARC
(17,7),-0.205381 # DEPENDENCYPART_ARC
(17,8),-1.28045 # DEPENDENCYPART_ARC
(17,9),-0.715907 # DEPENDENCYPART_ARC
(17,10),0.15592 # DEPENDENCYPART_ARC
(17,11),-1.23961 # DEPENDENCYPART_ARC
(17,12),0.150169 # DEPENDENCYPART_ARC
(17,13),-0.124117 # DEPENDENCYPART_ARC
(17,14),-0.583945 # DEPENDENCYPART_ARC
(17,15),-0.593113 # DEPENDENCYPART_ARC
(17,16),1.81938 # DEPENDENCYPART_ARC
(17,18),1.98317 # DEPENDENCYPART_ARC
(17,19),0.367165 # DEPENDENCYPART_ARC
(18,1),-2.29455 # DEPENDENCYPART_ARC
(18,2),-2.19121 # DEPENDENCYPART_ARC
(18,3),-1.62151 # DEPENDENCYPART_ARC
(18,4),-2.12904 # DEPENDENCYPART_ARC
(18,5),-1.59941 # DEPENDENCYPART_ARC
(18,6),-2.08199 # DEPENDENCYPART_ARC
(18,7),-1.72689 # DEPENDENCYPART_ARC
(18,8),-1.89927 # DEPENDENCYPART_ARC
(18,9),-1.81077 # DEPENDENCYPART_ARC
(18,10),-1.82846 # DEPENDENCYPART_ARC
(18,11),-1.49349 # DEPENDENCYPART_ARC
(18,12),-1.59744 # DEPENDENCYPART_ARC
(18,13),-1.2586 # DEPENDENCYPART_ARC
(18,14),-2.9774 # DEPENDENCYPART_ARC
(18,15),-1.36812 # DEPENDENCYPART_ARC
(18,16),-1.0699 # DEPENDENCYPART_ARC
(18,17),-1.58472 # DEPENDENCYPART_ARC
(18,19),1.92385 # DEPENDENCYPART_ARC
(19,2),-1.72768 # DEPENDENCYPART_ARC
(19,3),-1.87054 # DEPENDENCYPART_ARC
(19,5),-2.03619 # DEPENDENCYPART_ARC
(19,6),-1.57179 # DEPENDENCYPART_ARC
(19,8),-1.73157 # DEPENDENCYPART_ARC
(19,11),-1.38638 # DEPENDENCYPART_ARC
(19,12),-1.18271 # DEPENDENCYPART_ARC
(19,14),-1.63267 # DEPENDENCYPART_ARC
(19,15),-1.40988 # DEPENDENCYPART_ARC
(19,17),-1.01841 # DEPENDENCYPART_ARC
