# _root_ ildo horretan , ppk eta pse-eek ere " joko bikoitza " egiten dutela esan du , eta euren testua ehren babesa lortzeko aldatzea leporatu die .
#goldHeads=14,1,2,5,12,5,0,7,12,9,10,14,12,17,14,15,0,19,23,21,22,23,24,17,24,25,
#predictedHeads=14,1,2,5,22,5,0,7,12,9,10,14,12,17,14,15,0,19,22,21,22,23,24,17,24,25,
(6,8),-0.418428 # DEPENDENCYPART_ARC
(6,9),-1.97916 # DEPENDENCYPART_ARC
(6,10),-3.03939 # DEPENDENCYPART_ARC
(6,11),-1.31504 # DEPENDENCYPART_ARC
(6,12),-2.03957 # DEPENDENCYPART_ARC
(6,13),-3.46755 # DEPENDENCYPART_ARC
(6,14),-3.40788 # DEPENDENCYPART_ARC
(6,15),-2.94176 # DEPENDENCYPART_ARC
(6,16),-1.66759 # DEPENDENCYPART_ARC
(6,17),-2.04132 # DEPENDENCYPART_ARC
(6,18),-2.09056 # DEPENDENCYPART_ARC
(6,19),-2.58727 # DEPENDENCYPART_ARC
(6,20),-2.20485 # DEPENDENCYPART_ARC
(6,21),-2.27431 # DEPENDENCYPART_ARC
(6,22),-3.43517 # DEPENDENCYPART_ARC
(6,23),-2.76858 # DEPENDENCYPART_ARC
(6,24),-3.98689 # DEPENDENCYPART_ARC
(6,25),-3.56724 # DEPENDENCYPART_ARC
(6,26),-1.80315 # DEPENDENCYPART_ARC
(7,1),-2.29478 # DEPENDENCYPART_ARC
(7,2),-3.15415 # DEPENDENCYPART_ARC
(7,3),-2.55901 # DEPENDENCYPART_ARC
(7,4),-1.68604 # DEPENDENCYPART_ARC
(7,5),-1.94969 # DEPENDENCYPART_ARC
(7,6),-0.614595 # DEPENDENCYPART_ARC
(7,8),1.55715 # DEPENDENCYPART_ARC
(7,9),-1.1865 # DEPENDENCYPART_ARC
(7,10),-0.725782 # DEPENDENCYPART_ARC
(7,11),-0.764931 # DEPENDENCYPART_ARC
(7,12),-2.63659 # DEPENDENCYPART_ARC
(7,13),-1.42062 # DEPENDENCYPART_ARC
(7,14),-2.84467 # DEPENDENCYPART_ARC
(7,15),-1.855 # DEPENDENCYPART_ARC
(7,16),-0.736677 # DEPENDENCYPART_ARC
(7,17),-0.653838 # DEPENDENCYPART_ARC
(7,18),-2.62407 # DEPENDENCYPART_ARC
(7,19),-2.22429 # DEPENDENCYPART_ARC
(7,20),-2.52065 # DEPENDENCYPART_ARC
(7,21),-1.65813 # DEPENDENCYPART_ARC
(7,22),-3.76499 # DEPENDENCYPART_ARC
(7,23),-3.62657 # DEPENDENCYPART_ARC
(7,24),-4.28692 # DEPENDENCYPART_ARC
(7,25),-1.84878 # DEPENDENCYPART_ARC
(7,26),-1.47728 # DEPENDENCYPART_ARC
(8,1),-1.4549 # DEPENDENCYPART_ARC
(8,2),-1.94373 # DEPENDENCYPART_ARC
(8,3),-1.70527 # DEPENDENCYPART_ARC
(8,4),-1.21731 # DEPENDENCYPART_ARC
(8,5),-0.830527 # DEPENDENCYPART_ARC
(8,6),-1.03723 # DEPENDENCYPART_ARC
(8,7),-0.527842 # DEPENDENCYPART_ARC
(8,9),-1.5122 # DEPENDENCYPART_ARC
(8,10),-1.20531 # DEPENDENCYPART_ARC
(8,11),-0.323497 # DEPENDENCYPART_ARC
(8,12),-1.76744 # DEPENDENCYPART_ARC
(8,13),-1.26188 # DEPENDENCYPART_ARC
(8,14),-1.60918 # DEPENDENCYPART_ARC
(8,15),-1.27787 # DEPENDENCYPART_ARC
(8,16),-1.07731 # DEPENDENCYPART_ARC
(8,17),-1.59151 # DEPENDENCYPART_ARC
(8,18),-1.88073 # DEPENDENCYPART_ARC
(8,19),-2.3635 # DEPENDENCYPART_ARC
(8,20),-2.48203 # DEPENDENCYPART_ARC
(8,21),-2.6409 # DEPENDENCYPART_ARC
(8,22),-2.07456 # DEPENDENCYPART_ARC
(8,23),-1.94804 # DEPENDENCYPART_ARC
(8,24),-2.29154 # DEPENDENCYPART_ARC
(8,25),-1.31326 # DEPENDENCYPART_ARC
(8,26),-2.00243 # DEPENDENCYPART_ARC
(9,1),-1.02722 # DEPENDENCYPART_ARC
(9,2),-1.87561 # DEPENDENCYPART_ARC
(9,3),-0.878103 # DEPENDENCYPART_ARC
(9,4),-1.07185 # DEPENDENCYPART_ARC
(9,5),-0.140014 # DEPENDENCYPART_ARC
(9,6),-0.685247 # DEPENDENCYPART_ARC
(9,7),0.0622149 # DEPENDENCYPART_ARC
(9,8),0.387611 # DEPENDENCYPART_ARC
(9,10),2.08244 # DEPENDENCYPART_ARC
(9,11),0.123073 # DEPENDENCYPART_ARC
(9,12),-0.776261 # DEPENDENCYPART_ARC
(9,13),-0.795428 # DEPENDENCYPART_ARC
(9,14),-1.23424 # DEPENDENCYPART_ARC
(9,15),-1.05237 # DEPENDENCYPART_ARC
(9,16),-0.876532 # DEPENDENCYPART_ARC
(9,17),-0.414047 # DEPENDENCYPART_ARC
(9,18),-0.710503 # DEPENDENCYPART_ARC
(9,19),-0.924129 # DEPENDENCYPART_ARC
(9,20),-0.562759 # DEPENDENCYPART_ARC
(9,21),-0.924137 # DEPENDENCYPART_ARC
(9,22),-1.32932 # DEPENDENCYPART_ARC
(9,23),-1.5326 # DEPENDENCYPART_ARC
(9,24),-1.95244 # DEPENDENCYPART_ARC
(9,25),-1.52628 # DEPENDENCYPART_ARC
(9,26),-1.12992 # DEPENDENCYPART_ARC
(10,1),-2.21424 # DEPENDENCYPART_ARC
(10,2),-2.36597 # DEPENDENCYPART_ARC
(10,3),-1.52068 # DEPENDENCYPART_ARC
(10,4),-2.11928 # DEPENDENCYPART_ARC
(10,5),-0.889427 # DEPENDENCYPART_ARC
(10,6),-1.68407 # DEPENDENCYPART_ARC
(10,7),-0.548926 # DEPENDENCYPART_ARC
(10,8),-0.911194 # DEPENDENCYPART_ARC
(10,9),-0.110086 # DEPENDENCYPART_ARC
(10,11),1.75782 # DEPENDENCYPART_ARC
(10,12),-1.0768 # DEPENDENCYPART_ARC
(10,13),-1.36678 # DEPENDENCYPART_ARC
(10,14),-1.79246 # DEPENDENCYPART_ARC
(10,15),-1.47905 # DEPENDENCYPART_ARC
(10,16),-0.199649 # DEPENDENCYPART_ARC
(10,17),-0.505176 # DEPENDENCYPART_ARC
(10,18),-1.56236 # DEPENDENCYPART_ARC
(10,19),-1.19183 # DEPENDENCYPART_ARC
(10,20),-1.65335 # DEPENDENCYPART_ARC
(10,21),-1.30505 # DEPENDENCYPART_ARC
(10,22),-2.15261 # DEPENDENCYPART_ARC
(10,23),-2.24675 # DEPENDENCYPART_ARC
(10,24),-2.27423 # DEPENDENCYPART_ARC
(10,25),-1.8208 # DEPENDENCYPART_ARC
(10,26),-0.718873 # DEPENDENCYPART_ARC
(11,1),-1.12864 # DEPENDENCYPART_ARC
(11,2),-1.71339 # DEPENDENCYPART_ARC
(11,3),-1.41501 # DEPENDENCYPART_ARC
(11,4),-1.07986 # DEPENDENCYPART_ARC
(11,5),-0.939335 # DEPENDENCYPART_ARC
(11,6),-1.01807 # DEPENDENCYPART_ARC
(11,7),-0.886689 # DEPENDENCYPART_ARC
(11,8),-0.946486 # DEPENDENCYPART_ARC
(11,9),-0.687979 # DEPENDENCYPART_ARC
(11,10),0.0128304 # DEPENDENCYPART_ARC
(11,12),-0.264366 # DEPENDENCYPART_ARC
(11,13),0.0246223 # DEPENDENCYPART_ARC
(11,14),-0.523406 # DEPENDENCYPART_ARC
(11,15),-0.174483 # DEPENDENCYPART_ARC
(11,16),0.0973479 # DEPENDENCYPART_ARC
(11,17),-0.472541 # DEPENDENCYPART_ARC
(11,18),-0.941664 # DEPENDENCYPART_ARC
(11,19),-1.21389 # DEPENDENCYPART_ARC
(11,20),-1.24734 # DEPENDENCYPART_ARC
(11,21),-1.23157 # DEPENDENCYPART_ARC
(11,22),-1.01999 # DEPENDENCYPART_ARC
(11,23),-1.12283 # DEPENDENCYPART_ARC
(11,24),-1.44322 # DEPENDENCYPART_ARC
(11,25),-0.385612 # DEPENDENCYPART_ARC
(11,26),-0.804927 # DEPENDENCYPART_ARC
(12,1),0.577904 # DEPENDENCYPART_ARC
(12,2),-0.553512 # DEPENDENCYPART_ARC
(12,3),-1.1987 # DEPENDENCYPART_ARC
(12,4),0.475889 # DEPENDENCYPART_ARC
(12,5),-0.0193309 # DEPENDENCYPART_ARC
(12,6),0.103317 # DEPENDENCYPART_ARC
(12,7),-0.424438 # DEPENDENCYPART_ARC
(12,8),-0.951413 # DEPENDENCYPART_ARC
(12,9),0.744002 # DEPENDENCYPART_ARC
(12,10),-0.0208487 # DEPENDENCYPART_ARC
(12,11),-0.156954 # DEPENDENCYPART_ARC
(12,13),1.79451 # DEPENDENCYPART_ARC
(12,14),-1.0174 # DEPENDENCYPART_ARC
(12,15),-0.972326 # DEPENDENCYPART_ARC
(12,16),-1.51127 # DEPENDENCYPART_ARC
(12,17),-1.12416 # DEPENDENCYPART_ARC
(12,18),-1.16753 # DEPENDENCYPART_ARC
(12,19),-1.44442 # DEPENDENCYPART_ARC
(12,20),-2.4333 # DEPENDENCYPART_ARC
(12,21),-1.75269 # DEPENDENCYPART_ARC
(12,22),-1.05283 # DEPENDENCYPART_ARC
(12,23),-0.861027 # DEPENDENCYPART_ARC
(12,24),-1.68827 # DEPENDENCYPART_ARC
(12,25),-1.8884 # DEPENDENCYPART_ARC
(12,26),-2.0654 # DEPENDENCYPART_ARC
(13,1),-1.57789 # DEPENDENCYPART_ARC
(13,2),-1.64579 # DEPENDENCYPART_ARC
(13,3),-1.56902 # DEPENDENCYPART_ARC
(13,4),-0.7027 # DEPENDENCYPART_ARC
(13,5),-1.33701 # DEPENDENCYPART_ARC
(13,6),-0.51308 # DEPENDENCYPART_ARC
(13,7),-1.45785 # DEPENDENCYPART_ARC
(13,8),-1.33628 # DEPENDENCYPART_ARC
(13,9),-0.8024 # DEPENDENCYPART_ARC
(13,10),-0.685306 # DEPENDENCYPART_ARC
(13,11),-0.926025 # DEPENDENCYPART_ARC
(13,12),-1.01858 # DEPENDENCYPART_ARC
(13,14),-1.68737 # DEPENDENCYPART_ARC
(13,15),-0.918326 # DEPENDENCYPART_ARC
(13,16),-0.293944 # DEPENDENCYPART_ARC
(13,17),-1.22308 # DEPENDENCYPART_ARC
(13,18),-1.93915 # DEPENDENCYPART_ARC
(13,19),-1.68858 # DEPENDENCYPART_ARC
(13,20),-2.61344 # DEPENDENCYPART_ARC
(13,21),-1.83372 # DEPENDENCYPART_ARC
(13,22),-2.0026 # DEPENDENCYPART_ARC
(13,23),-1.85146 # DEPENDENCYPART_ARC
(13,24),-2.88154 # DEPENDENCYPART_ARC
(13,25),-1.6017 # DEPENDENCYPART_ARC
(13,26),-1.31507 # DEPENDENCYPART_ARC
(14,1),1.65046 # DEPENDENCYPART_ARC
(14,2),-0.570156 # DEPENDENCYPART_ARC
(14,3),-0.809851 # DEPENDENCYPART_ARC
(14,4),0.359142 # DEPENDENCYPART_ARC
(14,5),-0.0921618 # DEPENDENCYPART_ARC
(14,6),-0.0420879 # DEPENDENCYPART_ARC
(14,7),-0.712659 # DEPENDENCYPART_ARC
(14,8),-1.15502 # DEPENDENCYPART_ARC
(14,9),-0.239637 # DEPENDENCYPART_ARC
(14,10),-0.94273 # DEPENDENCYPART_ARC
(14,11),-0.892083 # DEPENDENCYPART_ARC
(14,12),1.45737 # DEPENDENCYPART_ARC
(14,13),0.00356451 # DEPENDENCYPART_ARC
(14,15),1.94177 # DEPENDENCYPART_ARC
(14,16),-0.0426205 # DEPENDENCYPART_ARC
(14,17),0.232218 # DEPENDENCYPART_ARC
(14,18),-0.487457 # DEPENDENCYPART_ARC
(14,19),0.157893 # DEPENDENCYPART_ARC
(14,20),-0.694038 # DEPENDENCYPART_ARC
(14,21),-0.494955 # DEPENDENCYPART_ARC
(14,22),-0.170256 # DEPENDENCYPART_ARC
(14,23),-0.397692 # DEPENDENCYPART_ARC
(14,24),-0.913967 # DEPENDENCYPART_ARC
(14,25),-0.650033 # DEPENDENCYPART_ARC
(14,26),-0.994058 # DEPENDENCYPART_ARC
(15,1),-1.21403 # DEPENDENCYPART_ARC
(15,2),-0.967776 # DEPENDENCYPART_ARC
(15,3),-2.07502 # DEPENDENCYPART_ARC
(15,4),-1.29975 # DEPENDENCYPART_ARC
(15,5),-1.35153 # DEPENDENCYPART_ARC
(15,6),-0.978867 # DEPENDENCYPART_ARC
(15,7),-1.44777 # DEPENDENCYPART_ARC
(15,8),-1.70174 # DEPENDENCYPART_ARC
(15,9),-0.752384 # DEPENDENCYPART_ARC
(15,10),-2.06445 # DEPENDENCYPART_ARC
(15,11),-1.47776 # DEPENDENCYPART_ARC
(15,12),-2.21053 # DEPENDENCYPART_ARC
(15,13),-0.89716 # DEPENDENCYPART_ARC
(15,14),-1.35265 # DEPENDENCYPART_ARC
(15,16),1.94333 # DEPENDENCYPART_ARC
(15,17),-1.04662 # DEPENDENCYPART_ARC
(15,18),-1.52195 # DEPENDENCYPART_ARC
(15,19),-2.05834 # DEPENDENCYPART_ARC
(15,20),-2.23199 # DEPENDENCYPART_ARC
(15,21),-2.32209 # DEPENDENCYPART_ARC
(15,22),-1.37922 # DEPENDENCYPART_ARC
(15,23),-1.53191 # DEPENDENCYPART_ARC
(15,24),-2.31578 # DEPENDENCYPART_ARC
(15,25),-0.985165 # DEPENDENCYPART_ARC
(15,26),-0.347222 # DEPENDENCYPART_ARC
(16,1),-1.63042 # DEPENDENCYPART_ARC
(16,2),-2.04383 # DEPENDENCYPART_ARC
(16,3),-1.88623 # DEPENDENCYPART_ARC
(16,4),-1.50229 # DEPENDENCYPART_ARC
(16,5),-1.37528 # DEPENDENCYPART_ARC
(16,6),-1.36843 # DEPENDENCYPART_ARC
(16,7),-1.29512 # DEPENDENCYPART_ARC
(16,8),-1.57897 # DEPENDENCYPART_ARC
(16,9),-1.17003 # DEPENDENCYPART_ARC
(16,10),-1.32226 # DEPENDENCYPART_ARC
(16,11),-1.50462 # DEPENDENCYPART_ARC
(16,12),-0.634569 # DEPENDENCYPART_ARC
(16,13),-0.68188 # DEPENDENCYPART_ARC
(16,14),-0.186658 # DEPENDENCYPART_ARC
(16,15),-0.0389531 # DEPENDENCYPART_ARC
(16,17),-0.346049 # DEPENDENCYPART_ARC
(16,18),-1.30524 # DEPENDENCYPART_ARC
(16,19),-1.07001 # DEPENDENCYPART_ARC
(16,20),-1.21573 # DEPENDENCYPART_ARC
(16,21),-1.22511 # DEPENDENCYPART_ARC
(16,22),-1.24007 # DEPENDENCYPART_ARC
(16,23),-1.19005 # DEPENDENCYPART_ARC
(16,24),-1.22136 # DEPENDENCYPART_ARC
(16,25),-1.14299 # DEPENDENCYPART_ARC
(16,26),-1.12695 # DEPENDENCYPART_ARC
(17,1),-0.472427 # DEPENDENCYPART_ARC
(17,2),-0.99872 # DEPENDENCYPART_ARC
(17,3),-1.83246 # DEPENDENCYPART_ARC
(17,4),-1.41221 # DEPENDENCYPART_ARC
(17,5),-0.650255 # DEPENDENCYPART_ARC
(17,6),-1.16725 # DEPENDENCYPART_ARC
(17,7),-0.564171 # DEPENDENCYPART_ARC
(17,8),-1.18742 # DEPENDENCYPART_ARC
(17,9),-0.911267 # DEPENDENCYPART_ARC
(17,10),-0.544323 # DEPENDENCYPART_ARC
(17,11),-1.04423 # DEPENDENCYPART_ARC
(17,12),0.730756 # DEPENDENCYPART_ARC
(17,13),-0.376531 # DEPENDENCYPART_ARC
(17,14),1.93683 # DEPENDENCYPART_ARC
(17,15),-0.508823 # DEPENDENCYPART_ARC
(17,16),-0.121317 # DEPENDENCYPART_ARC
(17,18),-0.142882 # DEPENDENCYPART_ARC
(17,19),0.29043 # DEPENDENCYPART_ARC
(17,20),-0.194866 # DEPENDENCYPART_ARC
(17,21),0.064539 # DEPENDENCYPART_ARC
(17,22),1.24522 # DEPENDENCYPART_ARC
(17,23),1.28185 # DEPENDENCYPART_ARC
(17,24),1.13265 # DEPENDENCYPART_ARC
(17,25),-0.30789 # DEPENDENCYPART_ARC
(17,26),-0.348265 # DEPENDENCYPART_ARC
(18,1),-2.48891 # DEPENDENCYPART_ARC
(18,2),-2.63857 # DEPENDENCYPART_ARC
(18,3),-2.43265 # DEPENDENCYPART_ARC
(18,4),-3.74045 # DEPENDENCYPART_ARC
(18,5),-2.3184 # DEPENDENCYPART_ARC
(18,6),-3.74451 # DEPENDENCYPART_ARC
(18,7),-2.37127 # DEPENDENCYPART_ARC
(18,8),-2.39725 # DEPENDENCYPART_ARC
(18,9),-2.36396 # DEPENDENCYPART_ARC
(18,10),-2.93745 # DEPENDENCYPART_ARC
(18,11),-2.3127 # DEPENDENCYPART_ARC
(18,12),-2.12092 # DEPENDENCYPART_ARC
(18,13),-2.48924 # DEPENDENCYPART_ARC
(18,14),-2.46522 # DEPENDENCYPART_ARC
(18,15),-2.32734 # DEPENDENCYPART_ARC
(18,16),-1.79662 # DEPENDENCYPART_ARC
(18,17),-0.989898 # DEPENDENCYPART_ARC
(18,19),-0.638099 # DEPENDENCYPART_ARC
(18,20),-1.11338 # DEPENDENCYPART_ARC
(18,21),-1.60628 # DEPENDENCYPART_ARC
(18,22),-1.49748 # DEPENDENCYPART_ARC
(18,23),-1.50889 # DEPENDENCYPART_ARC
(18,24),-1.12834 # DEPENDENCYPART_ARC
(18,25),-1.2022 # DEPENDENCYPART_ARC
(18,26),-0.708335 # DEPENDENCYPART_ARC
(19,1),-2.30745 # DEPENDENCYPART_ARC
(19,2),-4.22421 # DEPENDENCYPART_ARC
(19,3),-1.84218 # DEPENDENCYPART_ARC
(19,4),-4.18493 # DEPENDENCYPART_ARC
(19,5),-1.57205 # DEPENDENCYPART_ARC
(19,6),-4.04198 # DEPENDENCYPART_ARC
(19,7),-1.7784 # DEPENDENCYPART_ARC
(19,8),-2.10983 # DEPENDENCYPART_ARC
(19,9),-1.33682 # DEPENDENCYPART_ARC
(19,10),-2.58443 # DEPENDENCYPART_ARC
(19,11),-1.90289 # DEPENDENCYPART_ARC
(19,12),-0.945381 # DEPENDENCYPART_ARC
(19,13),-2.4437 # DEPENDENCYPART_ARC
(19,14),-1.41035 # DEPENDENCYPART_ARC
(19,15),-2.58468 # DEPENDENCYPART_ARC
(19,16),-1.13368 # DEPENDENCYPART_ARC
(19,17),-0.580246 # DEPENDENCYPART_ARC
(19,18),2.9516 # DEPENDENCYPART_ARC
(19,20),0.0625007 # DEPENDENCYPART_ARC
(19,21),-0.705842 # DEPENDENCYPART_ARC
(19,22),-1.44091 # DEPENDENCYPART_ARC
(19,23),-1.62553 # DEPENDENCYPART_ARC
(19,24),-2.90908 # DEPENDENCYPART_ARC
(19,25),-1.70778 # DEPENDENCYPART_ARC
(19,26),-1.16695 # DEPENDENCYPART_ARC
(20,1),-3.55488 # DEPENDENCYPART_ARC
(20,2),-5.49877 # DEPENDENCYPART_ARC
(20,3),-2.36129 # DEPENDENCYPART_ARC
(20,4),-6.72245 # DEPENDENCYPART_ARC
