# _root_ ez zuen denbora asko behar_izan , ez zuen senitarteko askorekin hitzegin behar_izan , guztien arretaren iturria non zegoen zehazki asmatzeko .
#goldHeads=5,5,5,3,0,5,5,5,11,9,12,0,12,15,16,18,18,20,20,12,20,
#predictedHeads=5,5,5,3,12,5,12,12,11,9,12,0,12,15,16,18,18,20,20,12,20,
(6,11),-0.709852 # DEPENDENCYPART_ARC
(6,12),-0.664826 # DEPENDENCYPART_ARC
(6,15),-1.33516 # DEPENDENCYPART_ARC
(6,16),-1.37192 # DEPENDENCYPART_ARC
(6,18),-1.41508 # DEPENDENCYPART_ARC
(6,20),-1.33244 # DEPENDENCYPART_ARC
(7,1),-1.41555 # DEPENDENCYPART_ARC
(7,3),-1.3136 # DEPENDENCYPART_ARC
(7,6),-0.381391 # DEPENDENCYPART_ARC
(7,9),-0.572118 # DEPENDENCYPART_ARC
(7,13),-0.170594 # DEPENDENCYPART_ARC
(7,15),-1.27201 # DEPENDENCYPART_ARC
(7,16),-1.44394 # DEPENDENCYPART_ARC
(7,18),-1.68502 # DEPENDENCYPART_ARC
(7,20),-1.4838 # DEPENDENCYPART_ARC
(7,21),-0.478212 # DEPENDENCYPART_ARC
(8,1),-1.59641 # DEPENDENCYPART_ARC
(8,2),-1.41488 # DEPENDENCYPART_ARC
(8,3),-1.25044 # DEPENDENCYPART_ARC
(8,5),-2.86814 # DEPENDENCYPART_ARC
(8,6),-1.28805 # DEPENDENCYPART_ARC
(8,7),-0.336391 # DEPENDENCYPART_ARC
(8,9),-0.245469 # DEPENDENCYPART_ARC
(8,11),-1.18458 # DEPENDENCYPART_ARC
(8,12),-1.72408 # DEPENDENCYPART_ARC
(8,13),-0.760769 # DEPENDENCYPART_ARC
(8,15),-1.95101 # DEPENDENCYPART_ARC
(8,16),-2.10714 # DEPENDENCYPART_ARC
(8,18),-1.60362 # DEPENDENCYPART_ARC
(8,19),-1.08758 # DEPENDENCYPART_ARC
(8,20),-1.54441 # DEPENDENCYPART_ARC
(8,21),-1.49206 # DEPENDENCYPART_ARC
(9,1),-0.921488 # DEPENDENCYPART_ARC
(9,2),-1.57406 # DEPENDENCYPART_ARC
(9,3),-1.20618 # DEPENDENCYPART_ARC
(9,4),-0.762801 # DEPENDENCYPART_ARC
(9,5),-0.358982 # DEPENDENCYPART_ARC
(9,6),-1.12584 # DEPENDENCYPART_ARC
(9,7),-0.140344 # DEPENDENCYPART_ARC
(9,8),-0.0291145 # DEPENDENCYPART_ARC
(9,10),2.54553 # DEPENDENCYPART_ARC
(9,11),-0.0061389 # DEPENDENCYPART_ARC
(9,12),-0.357503 # DEPENDENCYPART_ARC
(9,13),-0.674627 # DEPENDENCYPART_ARC
(9,14),-0.314209 # DEPENDENCYPART_ARC
(9,15),-0.762733 # DEPENDENCYPART_ARC
(9,16),-0.63981 # DEPENDENCYPART_ARC
(9,18),-0.703908 # DEPENDENCYPART_ARC
(9,19),-0.546983 # DEPENDENCYPART_ARC
(9,20),-0.745349 # DEPENDENCYPART_ARC
(9,21),-0.896736 # DEPENDENCYPART_ARC
(10,1),-0.199433 # DEPENDENCYPART_ARC
(10,3),-1.97915 # DEPENDENCYPART_ARC
(10,4),-1.32788 # DEPENDENCYPART_ARC
(10,6),-1.1938 # DEPENDENCYPART_ARC
(10,7),-0.122529 # DEPENDENCYPART_ARC
(10,9),-0.0763455 # DEPENDENCYPART_ARC
(10,13),-0.872347 # DEPENDENCYPART_ARC
(10,15),-1.92465 # DEPENDENCYPART_ARC
(10,16),-2.31164 # DEPENDENCYPART_ARC
(10,17),-1.41056 # DEPENDENCYPART_ARC
(10,18),-1.80351 # DEPENDENCYPART_ARC
(10,19),-1.47543 # DEPENDENCYPART_ARC
(10,20),-1.89164 # DEPENDENCYPART_ARC
(10,21),-1.37004 # DEPENDENCYPART_ARC
(11,1),-0.288131 # DEPENDENCYPART_ARC
(11,2),-0.695799 # DEPENDENCYPART_ARC
(11,3),-0.0619481 # DEPENDENCYPART_ARC
(11,4),-0.992835 # DEPENDENCYPART_ARC
(11,5),-0.436386 # DEPENDENCYPART_ARC
(11,6),-1.17931 # DEPENDENCYPART_ARC
(11,7),0.376202 # DEPENDENCYPART_ARC
(11,8),0.0854491 # DEPENDENCYPART_ARC
(11,9),1.3082 # DEPENDENCYPART_ARC
(11,10),0.714723 # DEPENDENCYPART_ARC
(11,12),1.0729 # DEPENDENCYPART_ARC
(11,13),0.0432665 # DEPENDENCYPART_ARC
(11,14),-1.33638 # DEPENDENCYPART_ARC
(11,15),-0.765829 # DEPENDENCYPART_ARC
(11,16),-0.218393 # DEPENDENCYPART_ARC
(11,17),-1.16972 # DEPENDENCYPART_ARC
(11,18),-0.912939 # DEPENDENCYPART_ARC
(11,19),-1.35691 # DEPENDENCYPART_ARC
(11,20),-0.410941 # DEPENDENCYPART_ARC
(11,21),-0.760515 # DEPENDENCYPART_ARC
(12,1),0.670399 # DEPENDENCYPART_ARC
(12,2),0.625852 # DEPENDENCYPART_ARC
(12,3),-0.322211 # DEPENDENCYPART_ARC
(12,4),-0.820685 # DEPENDENCYPART_ARC
(12,5),0.405076 # DEPENDENCYPART_ARC
(12,6),-0.5643 # DEPENDENCYPART_ARC
(12,7),1.31084 # DEPENDENCYPART_ARC
(12,8),1.17557 # DEPENDENCYPART_ARC
(12,9),1.01253 # DEPENDENCYPART_ARC
(12,10),0.0742084 # DEPENDENCYPART_ARC
(12,11),2.42403 # DEPENDENCYPART_ARC
(12,13),2.05588 # DEPENDENCYPART_ARC
(12,14),-1.33111 # DEPENDENCYPART_ARC
(12,15),-0.68106 # DEPENDENCYPART_ARC
(12,16),0.0993031 # DEPENDENCYPART_ARC
(12,17),-0.636828 # DEPENDENCYPART_ARC
(12,18),0.071219 # DEPENDENCYPART_ARC
(12,19),-0.848812 # DEPENDENCYPART_ARC
(12,20),0.391204 # DEPENDENCYPART_ARC
(12,21),0.286477 # DEPENDENCYPART_ARC
(13,2),-1.26377 # DEPENDENCYPART_ARC
(13,3),-1.2779 # DEPENDENCYPART_ARC
(13,4),-1.78941 # DEPENDENCYPART_ARC
(13,5),-1.20302 # DEPENDENCYPART_ARC
(13,8),-1.0927 # DEPENDENCYPART_ARC
(13,9),-0.952168 # DEPENDENCYPART_ARC
(13,10),-1.27084 # DEPENDENCYPART_ARC
(13,11),-0.433072 # DEPENDENCYPART_ARC
(13,12),-0.110513 # DEPENDENCYPART_ARC
(13,15),-0.602424 # DEPENDENCYPART_ARC
(13,16),-0.531335 # DEPENDENCYPART_ARC
(13,18),-0.574621 # DEPENDENCYPART_ARC
(13,20),-0.923328 # DEPENDENCYPART_ARC
(14,3),-2.43223 # DEPENDENCYPART_ARC
(14,5),-1.65165 # DEPENDENCYPART_ARC
(14,6),-1.43194 # DEPENDENCYPART_ARC
(14,9),-1.77608 # DEPENDENCYPART_ARC
(14,11),-1.18918 # DEPENDENCYPART_ARC
(14,12),-0.522186 # DEPENDENCYPART_ARC
(14,13),-0.0073727 # DEPENDENCYPART_ARC
(14,15),-0.0134048 # DEPENDENCYPART_ARC
(14,16),-1.02677 # DEPENDENCYPART_ARC
(14,18),-1.47366 # DEPENDENCYPART_ARC
(14,19),-1.31313 # DEPENDENCYPART_ARC
(14,20),-1.98059 # DEPENDENCYPART_ARC
(14,21),-1.20848 # DEPENDENCYPART_ARC
(15,1),-1.19003 # DEPENDENCYPART_ARC
(15,2),-2.41921 # DEPENDENCYPART_ARC
(15,3),-1.29692 # DEPENDENCYPART_ARC
(15,4),-3.07144 # DEPENDENCYPART_ARC
(15,5),-2.44195 # DEPENDENCYPART_ARC
(15,6),-1.80818 # DEPENDENCYPART_ARC
(15,7),-1.04457 # DEPENDENCYPART_ARC
(15,8),-2.2304 # DEPENDENCYPART_ARC
(15,9),-0.96145 # DEPENDENCYPART_ARC
(15,10),-2.04924 # DEPENDENCYPART_ARC
(15,11),-0.85231 # DEPENDENCYPART_ARC
(15,12),-1.25158 # DEPENDENCYPART_ARC
(15,13),-0.913839 # DEPENDENCYPART_ARC
(15,14),0.546821 # DEPENDENCYPART_ARC
(15,16),0.312486 # DEPENDENCYPART_ARC
(15,18),-1.91 # DEPENDENCYPART_ARC
(15,19),-1.44771 # DEPENDENCYPART_ARC
(15,20),-2.67136 # DEPENDENCYPART_ARC
(15,21),-1.3444 # DEPENDENCYPART_ARC
(16,1),-1.04648 # DEPENDENCYPART_ARC
(16,2),-2.48112 # DEPENDENCYPART_ARC
(16,3),-1.40597 # DEPENDENCYPART_ARC
(16,4),-2.69948 # DEPENDENCYPART_ARC
(16,5),-2.24245 # DEPENDENCYPART_ARC
(16,6),-1.7933 # DEPENDENCYPART_ARC
(16,7),-0.984066 # DEPENDENCYPART_ARC
(16,8),-2.2012 # DEPENDENCYPART_ARC
(16,9),-1.14751 # DEPENDENCYPART_ARC
(16,10),-1.9624 # DEPENDENCYPART_ARC
(16,11),-0.85342 # DEPENDENCYPART_ARC
(16,12),-1.05156 # DEPENDENCYPART_ARC
(16,13),-1.21356 # DEPENDENCYPART_ARC
(16,14),-0.347772 # DEPENDENCYPART_ARC
(16,15),1.47055 # DEPENDENCYPART_ARC
(16,18),-1.49366 # DEPENDENCYPART_ARC
(16,19),-1.20445 # DEPENDENCYPART_ARC
(16,20),-2.2252 # DEPENDENCYPART_ARC
(16,21),-1.28635 # DEPENDENCYPART_ARC
(17,1),-1.48544 # DEPENDENCYPART_ARC
(17,3),-1.15364 # DEPENDENCYPART_ARC
(17,6),-1.63512 # DEPENDENCYPART_ARC
(17,7),-1.28999 # DEPENDENCYPART_ARC
(17,9),-1.08582 # DEPENDENCYPART_ARC
(17,13),-1.11908 # DEPENDENCYPART_ARC
(17,15),-0.498767 # DEPENDENCYPART_ARC
(17,16),0.139414 # DEPENDENCYPART_ARC
(17,19),-0.0857757 # DEPENDENCYPART_ARC
(17,21),0.0397612 # DEPENDENCYPART_ARC
(18,1),-1.3267 # DEPENDENCYPART_ARC
(18,2),-1.37692 # DEPENDENCYPART_ARC
(18,3),-1.44184 # DEPENDENCYPART_ARC
(18,4),-1.79035 # DEPENDENCYPART_ARC
(18,5),-1.9426 # DEPENDENCYPART_ARC
(18,6),-1.59437 # DEPENDENCYPART_ARC
(18,7),-1.13634 # DEPENDENCYPART_ARC
(18,8),-1.08848 # DEPENDENCYPART_ARC
(18,9),-0.910954 # DEPENDENCYPART_ARC
(18,10),-1.31279 # DEPENDENCYPART_ARC
(18,11),-0.703708 # DEPENDENCYPART_ARC
(18,12),-1.36784 # DEPENDENCYPART_ARC
(18,13),-1.1425 # DEPENDENCYPART_ARC
(18,14),-1.52006 # DEPENDENCYPART_ARC
(18,15),-0.782522 # DEPENDENCYPART_ARC
(18,16),1.38528 # DEPENDENCYPART_ARC
(18,17),0.942737 # DEPENDENCYPART_ARC
(18,19),0.709865 # DEPENDENCYPART_ARC
(18,20),0.127847 # DEPENDENCYPART_ARC
(18,21),-0.24766 # DEPENDENCYPART_ARC
(19,1),-1.44779 # DEPENDENCYPART_ARC
(19,2),-1.56613 # DEPENDENCYPART_ARC
(19,3),-1.04045 # DEPENDENCYPART_ARC
(19,4),-1.49893 # DEPENDENCYPART_ARC
(19,5),-1.38477 # DEPENDENCYPART_ARC
(19,6),-1.55922 # DEPENDENCYPART_ARC
(19,7),-1.44037 # DEPENDENCYPART_ARC
(19,8),-1.49621 # DEPENDENCYPART_ARC
(19,9),-1.0065 # DEPENDENCYPART_ARC
(19,10),-1.32256 # DEPENDENCYPART_ARC
(19,11),-1.22487 # DEPENDENCYPART_ARC
(19,12),-1.22098 # DEPENDENCYPART_ARC
(19,13),-1.27619 # DEPENDENCYPART_ARC
(19,14),-1.13744 # DEPENDENCYPART_ARC
(19,15),-0.767746 # DEPENDENCYPART_ARC
(19,16),-0.685909 # DEPENDENCYPART_ARC
(19,18),0.01562 # DEPENDENCYPART_ARC
(19,20),-0.179182 # DEPENDENCYPART_ARC
(19,21),0.0965645 # DEPENDENCYPART_ARC
(20,1),-0.881986 # DEPENDENCYPART_ARC
(20,2),-2.15646 # DEPENDENCYPART_ARC
(20,3),-1.24691 # DEPENDENCYPART_ARC
(20,4),-1.50084 # DEPENDENCYPART_ARC
(20,5),-1.78438 # DEPENDENCYPART_ARC
(20,6),-1.76021 # DEPENDENCYPART_ARC
(20,7),-0.444116 # DEPENDENCYPART_ARC
(20,8),-1.89967 # DEPENDENCYPART_ARC
(20,9),-1.06298 # DEPENDENCYPART_ARC
(20,10),-1.11443 # DEPENDENCYPART_ARC
(20,11),-0.800762 # DEPENDENCYPART_ARC
(20,12),-1.39027 # DEPENDENCYPART_ARC
(20,13),-1.46095 # DEPENDENCYPART_ARC
(20,14),-2.23443 # DEPENDENCYPART_ARC
(20,15),-1.93165 # DEPENDENCYPART_ARC
(20,16),0.87143 # DEPENDENCYPART_ARC
(20,17),0.0404536 # DEPENDENCYPART_ARC
(20,18),0.438594 # DEPENDENCYPART_ARC
(20,19),1.03749 # DEPENDENCYPART_ARC
(20,21),1.87196 # DEPENDENCYPART_ARC
(21,3),-1.84703 # DEPENDENCYPART_ARC
(21,6),-1.7068 # DEPENDENCYPART_ARC
(21,9),-1.80476 # DEPENDENCYPART_ARC
(21,13),-1.45983 # DEPENDENCYPART_ARC
(21,15),-1.39323 # DEPENDENCYPART_ARC
(21,16),-1.33625 # DEPENDENCYPART_ARC
(21,20),-0.500356 # DEPENDENCYPART_ARC
