# _root_ psnk uste du hori ez dela bidezkoa eta upn kritikatu du , enpresa pribatuetan hori bultzatzen ari_den bitartean , publikoetan ez duelako oraindik ezarri .
#goldHeads=2,8,2,6,6,2,6,0,10,8,10,11,16,13,16,17,24,17,18,24,24,24,24,10,24,
#predictedHeads=2,6,2,6,6,8,6,10,10,0,10,11,16,13,13,17,18,24,18,24,24,24,24,10,24,
(7,3),-1.86309 # DEPENDENCYPART_ARC
(7,4),-1.84029 # DEPENDENCYPART_ARC
(7,5),-0.306037 # DEPENDENCYPART_ARC
(7,6),-0.76695 # DEPENDENCYPART_ARC
(7,8),-0.340394 # DEPENDENCYPART_ARC
(7,9),-1.83731 # DEPENDENCYPART_ARC
(7,10),-2.00694 # DEPENDENCYPART_ARC
(7,11),-1.77274 # DEPENDENCYPART_ARC
(7,12),-0.953743 # DEPENDENCYPART_ARC
(7,13),-2.29384 # DEPENDENCYPART_ARC
(7,14),-2.52797 # DEPENDENCYPART_ARC
(7,15),-2.79281 # DEPENDENCYPART_ARC
(7,16),-1.74109 # DEPENDENCYPART_ARC
(7,17),-2.25122 # DEPENDENCYPART_ARC
(7,18),-3.29009 # DEPENDENCYPART_ARC
(7,19),-1.33766 # DEPENDENCYPART_ARC
(7,20),-2.8298 # DEPENDENCYPART_ARC
(7,21),-1.99859 # DEPENDENCYPART_ARC
(7,22),-1.8377 # DEPENDENCYPART_ARC
(7,23),-1.54871 # DEPENDENCYPART_ARC
(7,24),-2.11094 # DEPENDENCYPART_ARC
(7,25),-1.429 # DEPENDENCYPART_ARC
(8,1),0.417858 # DEPENDENCYPART_ARC
(8,2),-0.271684 # DEPENDENCYPART_ARC
(8,3),-0.81422 # DEPENDENCYPART_ARC
(8,4),-0.830961 # DEPENDENCYPART_ARC
(8,5),-0.302997 # DEPENDENCYPART_ARC
(8,6),0.699573 # DEPENDENCYPART_ARC
(8,7),1.17271 # DEPENDENCYPART_ARC
(8,9),1.87055 # DEPENDENCYPART_ARC
(8,10),0.0537337 # DEPENDENCYPART_ARC
(8,11),-0.167398 # DEPENDENCYPART_ARC
(8,12),-0.205381 # DEPENDENCYPART_ARC
(8,13),-0.683358 # DEPENDENCYPART_ARC
(8,14),-0.534672 # DEPENDENCYPART_ARC
(8,15),-1.03152 # DEPENDENCYPART_ARC
(8,16),-0.933585 # DEPENDENCYPART_ARC
(8,17),-0.764205 # DEPENDENCYPART_ARC
(8,18),-1.0418 # DEPENDENCYPART_ARC
(8,19),-1.18073 # DEPENDENCYPART_ARC
(8,20),-1.27342 # DEPENDENCYPART_ARC
(8,21),-1.533 # DEPENDENCYPART_ARC
(8,22),-0.513548 # DEPENDENCYPART_ARC
(8,23),-0.658725 # DEPENDENCYPART_ARC
(8,24),-1.66757 # DEPENDENCYPART_ARC
(8,25),-1.39755 # DEPENDENCYPART_ARC
(9,1),-3.24567 # DEPENDENCYPART_ARC
(9,2),-3.8651 # DEPENDENCYPART_ARC
(9,3),-3.67906 # DEPENDENCYPART_ARC
(9,4),-4.85152 # DEPENDENCYPART_ARC
(9,5),-1.5519 # DEPENDENCYPART_ARC
(9,6),-3.95528 # DEPENDENCYPART_ARC
(9,7),-0.847085 # DEPENDENCYPART_ARC
(9,8),-1.01332 # DEPENDENCYPART_ARC
(9,10),-2.07777 # DEPENDENCYPART_ARC
(9,11),-0.928279 # DEPENDENCYPART_ARC
(9,12),-0.929698 # DEPENDENCYPART_ARC
(9,13),-1.86115 # DEPENDENCYPART_ARC
(9,14),-4.64459 # DEPENDENCYPART_ARC
(9,15),-3.43458 # DEPENDENCYPART_ARC
(9,16),-1.86144 # DEPENDENCYPART_ARC
(9,17),-3.41384 # DEPENDENCYPART_ARC
(9,18),-2.41717 # DEPENDENCYPART_ARC
(9,19),-1.2581 # DEPENDENCYPART_ARC
(9,20),-5.90855 # DEPENDENCYPART_ARC
(9,21),-2.77263 # DEPENDENCYPART_ARC
(9,22),-3.74832 # DEPENDENCYPART_ARC
(9,23),-1.4557 # DEPENDENCYPART_ARC
(9,24),-2.44529 # DEPENDENCYPART_ARC
(9,25),-1.73307 # DEPENDENCYPART_ARC
(10,1),0.201614 # DEPENDENCYPART_ARC
(10,2),-0.39012 # DEPENDENCYPART_ARC
(10,3),0.325593 # DEPENDENCYPART_ARC
(10,4),0.0376412 # DEPENDENCYPART_ARC
(10,5),0.207994 # DEPENDENCYPART_ARC
(10,6),0.495211 # DEPENDENCYPART_ARC
(10,7),0.118283 # DEPENDENCYPART_ARC
(10,8),0.874834 # DEPENDENCYPART_ARC
(10,9),2.41035 # DEPENDENCYPART_ARC
(10,11),1.9382 # DEPENDENCYPART_ARC
(10,12),-0.0406304 # DEPENDENCYPART_ARC
(10,13),-0.0313589 # DEPENDENCYPART_ARC
(10,14),-0.0343133 # DEPENDENCYPART_ARC
(10,15),-0.246868 # DEPENDENCYPART_ARC
(10,16),-0.0768495 # DEPENDENCYPART_ARC
(10,17),-0.333399 # DEPENDENCYPART_ARC
(10,18),0.394621 # DEPENDENCYPART_ARC
(10,19),-0.354734 # DEPENDENCYPART_ARC
(10,20),-0.338462 # DEPENDENCYPART_ARC
(10,21),-0.324547 # DEPENDENCYPART_ARC
(10,22),-0.599105 # DEPENDENCYPART_ARC
(10,23),-1.00172 # DEPENDENCYPART_ARC
(10,24),0.0167181 # DEPENDENCYPART_ARC
(10,25),-0.591498 # DEPENDENCYPART_ARC
(11,1),-1.52247 # DEPENDENCYPART_ARC
(11,2),-1.35234 # DEPENDENCYPART_ARC
(11,3),-1.29734 # DEPENDENCYPART_ARC
(11,4),-0.632544 # DEPENDENCYPART_ARC
(11,5),-1.4292 # DEPENDENCYPART_ARC
(11,6),-1.53982 # DEPENDENCYPART_ARC
(11,7),-1.479 # DEPENDENCYPART_ARC
(11,8),-1.11438 # DEPENDENCYPART_ARC
(11,9),-0.891028 # DEPENDENCYPART_ARC
(11,10),-1.43879 # DEPENDENCYPART_ARC
(11,12),1.64252 # DEPENDENCYPART_ARC
(11,13),-1.54835 # DEPENDENCYPART_ARC
(11,14),-1.44048 # DEPENDENCYPART_ARC
(11,15),-1.92809 # DEPENDENCYPART_ARC
(11,16),-1.57433 # DEPENDENCYPART_ARC
(11,17),-1.40165 # DEPENDENCYPART_ARC
(11,18),-1.51129 # DEPENDENCYPART_ARC
(11,19),-0.782483 # DEPENDENCYPART_ARC
(11,20),-1.93096 # DEPENDENCYPART_ARC
(11,21),-0.798645 # DEPENDENCYPART_ARC
(11,22),-0.600564 # DEPENDENCYPART_ARC
(11,23),-1.02499 # DEPENDENCYPART_ARC
(11,24),-1.86671 # DEPENDENCYPART_ARC
(11,25),-1.03948 # DEPENDENCYPART_ARC
(12,1),-1.51707 # DEPENDENCYPART_ARC
(12,2),-1.16535 # DEPENDENCYPART_ARC
(12,3),-1.00778 # DEPENDENCYPART_ARC
(12,4),-1.73253 # DEPENDENCYPART_ARC
(12,5),-1.29309 # DEPENDENCYPART_ARC
(12,6),-0.712011 # DEPENDENCYPART_ARC
(12,7),-1.28671 # DEPENDENCYPART_ARC
(12,8),-0.740705 # DEPENDENCYPART_ARC
(12,9),-0.503557 # DEPENDENCYPART_ARC
(12,10),-0.439829 # DEPENDENCYPART_ARC
(12,11),0.0800727 # DEPENDENCYPART_ARC
(12,13),-1.01829 # DEPENDENCYPART_ARC
(12,14),-0.734321 # DEPENDENCYPART_ARC
(12,15),-1.28048 # DEPENDENCYPART_ARC
(12,16),-0.271686 # DEPENDENCYPART_ARC
(12,17),-0.553739 # DEPENDENCYPART_ARC
(12,18),-1.57273 # DEPENDENCYPART_ARC
(12,19),-0.838338 # DEPENDENCYPART_ARC
(12,20),-1.38038 # DEPENDENCYPART_ARC
(12,21),-1.53906 # DEPENDENCYPART_ARC
(12,22),-1.04065 # DEPENDENCYPART_ARC
(12,23),-1.57231 # DEPENDENCYPART_ARC
(12,24),-1.01866 # DEPENDENCYPART_ARC
(12,25),-1.3221 # DEPENDENCYPART_ARC
(13,1),-1.64321 # DEPENDENCYPART_ARC
(13,2),-2.37736 # DEPENDENCYPART_ARC
(13,3),-1.51776 # DEPENDENCYPART_ARC
(13,4),-2.37415 # DEPENDENCYPART_ARC
(13,5),-0.846729 # DEPENDENCYPART_ARC
(13,6),-1.83894 # DEPENDENCYPART_ARC
(13,7),-1.57784 # DEPENDENCYPART_ARC
(13,8),-0.662878 # DEPENDENCYPART_ARC
(13,9),-1.61634 # DEPENDENCYPART_ARC
(13,10),-0.27445 # DEPENDENCYPART_ARC
(13,11),-0.67689 # DEPENDENCYPART_ARC
(13,12),0.128089 # DEPENDENCYPART_ARC
(13,14),2.40425 # DEPENDENCYPART_ARC
(13,15),2.31854 # DEPENDENCYPART_ARC
(13,16),-0.48288 # DEPENDENCYPART_ARC
(13,17),-1.20197 # DEPENDENCYPART_ARC
(13,18),-0.42545 # DEPENDENCYPART_ARC
(13,19),-0.265747 # DEPENDENCYPART_ARC
(13,20),-0.653011 # DEPENDENCYPART_ARC
(13,21),-1.0518 # DEPENDENCYPART_ARC
(13,22),-1.33335 # DEPENDENCYPART_ARC
(13,23),-0.659965 # DEPENDENCYPART_ARC
(13,24),-0.893139 # DEPENDENCYPART_ARC
(13,25),-0.926623 # DEPENDENCYPART_ARC
(14,1),-1.93008 # DEPENDENCYPART_ARC
(14,2),-2.29325 # DEPENDENCYPART_ARC
(14,3),-2.02324 # DEPENDENCYPART_ARC
(14,4),-2.10376 # DEPENDENCYPART_ARC
(14,5),-1.0811 # DEPENDENCYPART_ARC
(14,6),-1.8923 # DEPENDENCYPART_ARC
(14,7),-1.70331 # DEPENDENCYPART_ARC
(14,8),-0.873394 # DEPENDENCYPART_ARC
(14,9),-1.69105 # DEPENDENCYPART_ARC
(14,10),-1.01573 # DEPENDENCYPART_ARC
(14,11),-1.29919 # DEPENDENCYPART_ARC
(14,12),-0.904671 # DEPENDENCYPART_ARC
(14,13),0.193751 # DEPENDENCYPART_ARC
(14,15),-0.805463 # DEPENDENCYPART_ARC
(14,16),-1.57511 # DEPENDENCYPART_ARC
(14,17),-2.38048 # DEPENDENCYPART_ARC
(14,18),-2.67441 # DEPENDENCYPART_ARC
(14,19),-0.893523 # DEPENDENCYPART_ARC
(14,20),-1.61161 # DEPENDENCYPART_ARC
(14,21),-1.54951 # DEPENDENCYPART_ARC
(14,22),-2.02356 # DEPENDENCYPART_ARC
(14,23),-1.09163 # DEPENDENCYPART_ARC
(14,24),-1.83254 # DEPENDENCYPART_ARC
(14,25),-0.894233 # DEPENDENCYPART_ARC
(15,1),-1.13209 # DEPENDENCYPART_ARC
(15,2),-2.31924 # DEPENDENCYPART_ARC
(15,3),-1.97407 # DEPENDENCYPART_ARC
(15,4),-2.78755 # DEPENDENCYPART_ARC
(15,5),-0.692609 # DEPENDENCYPART_ARC
(15,6),-1.54405 # DEPENDENCYPART_ARC
(15,7),-0.824383 # DEPENDENCYPART_ARC
(15,8),-1.02768 # DEPENDENCYPART_ARC
(15,9),-1.98208 # DEPENDENCYPART_ARC
(15,10),-0.837106 # DEPENDENCYPART_ARC
(15,11),-1.47109 # DEPENDENCYPART_ARC
(15,12),-0.748608 # DEPENDENCYPART_ARC
(15,13),-0.955562 # DEPENDENCYPART_ARC
(15,14),-0.377668 # DEPENDENCYPART_ARC
(15,16),-0.783622 # DEPENDENCYPART_ARC
(15,17),-1.4722 # DEPENDENCYPART_ARC
(15,18),-1.56679 # DEPENDENCYPART_ARC
(15,19),-0.875824 # DEPENDENCYPART_ARC
(15,20),-2.51857 # DEPENDENCYPART_ARC
(15,21),-1.4229 # DEPENDENCYPART_ARC
(15,22),-2.35035 # DEPENDENCYPART_ARC
(15,23),-1.36995 # DEPENDENCYPART_ARC
(15,24),-1.53702 # DEPENDENCYPART_ARC
(15,25),-1.2082 # DEPENDENCYPART_ARC
(16,1),-1.14193 # DEPENDENCYPART_ARC
(16,2),-0.963735 # DEPENDENCYPART_ARC
(16,3),-0.21466 # DEPENDENCYPART_ARC
(16,4),-0.561058 # DEPENDENCYPART_ARC
(16,5),-0.101421 # DEPENDENCYPART_ARC
(16,6),-0.0118587 # DEPENDENCYPART_ARC
(16,7),-0.622343 # DEPENDENCYPART_ARC
(16,8),0.0551821 # DEPENDENCYPART_ARC
(16,9),0.0772742 # DEPENDENCYPART_ARC
(16,10),-0.343044 # DEPENDENCYPART_ARC
(16,11),0.0471799 # DEPENDENCYPART_ARC
(16,12),-0.998139 # DEPENDENCYPART_ARC
(16,13),1.10245 # DEPENDENCYPART_ARC
(16,14),-0.0349843 # DEPENDENCYPART_ARC
(16,15),0.986632 # DEPENDENCYPART_ARC
(16,17),0.894076 # DEPENDENCYPART_ARC
(16,18),1.15058 # DEPENDENCYPART_ARC
(16,19),-0.229446 # DEPENDENCYPART_ARC
(16,20),-0.437411 # DEPENDENCYPART_ARC
(16,21),0.172088 # DEPENDENCYPART_ARC
(16,22),-0.0441246 # DEPENDENCYPART_ARC
(16,23),-0.361671 # DEPENDENCYPART_ARC
(16,24),-0.248862 # DEPENDENCYPART_ARC
(16,25),-0.477351 # DEPENDENCYPART_ARC
(17,1),-0.505026 # DEPENDENCYPART_ARC
(17,2),-1.09797 # DEPENDENCYPART_ARC
(17,3),-0.614201 # DEPENDENCYPART_ARC
(17,4),-1.01997 # DEPENDENCYPART_ARC
(17,5),-0.515673 # DEPENDENCYPART_ARC
(17,6),-1.48213 # DEPENDENCYPART_ARC
(17,7),-1.19416 # DEPENDENCYPART_ARC
(17,8),-0.424025 # DEPENDENCYPART_ARC
(17,9),-0.0363172 # DEPENDENCYPART_ARC
(17,10),-1.60885 # DEPENDENCYPART_ARC
(17,11),-0.353093 # DEPENDENCYPART_ARC
(17,12),-1.11792 # DEPENDENCYPART_ARC
(17,13),0.292731 # DEPENDENCYPART_ARC
(17,14),-1.28392 # DEPENDENCYPART_ARC
(17,15),0.0397817 # DEPENDENCYPART_ARC
(17,16),1.36173 # DEPENDENCYPART_ARC
(17,18),-0.0338677 # DEPENDENCYPART_ARC
(17,19),-0.0176217 # DEPENDENCYPART_ARC
(17,20),-1.11468 # DEPENDENCYPART_ARC
(17,21),-0.916562 # DEPENDENCYPART_ARC
(17,22),-1.60515 # DEPENDENCYPART_ARC
(17,23),-0.654053 # DEPENDENCYPART_ARC
(17,24),0.115288 # DEPENDENCYPART_ARC
(17,25),-0.540369 # DEPENDENCYPART_ARC
(18,1),-2.45652 # DEPENDENCYPART_ARC
(18,2),-3.46729 # DEPENDENCYPART_ARC
(18,3),-2.50875 # DEPENDENCYPART_ARC
(18,4),-3.89649 # DEPENDENCYPART_ARC
(18,5),-1.53353 # DEPENDENCYPART_ARC
(18,6),-4.44977 # DEPENDENCYPART_ARC
(18,7),-2.4293 # DEPENDENCYPART_ARC
(18,8),-0.80379 # DEPENDENCYPART_ARC
(18,9),-2.93852 # DEPENDENCYPART_ARC
(18,10),-1.60755 # DEPENDENCYPART_ARC
(18,11),-2.33425 # DEPENDENCYPART_ARC
(18,12),-1.46789 # DEPENDENCYPART_ARC
(18,13),-0.573383 # DEPENDENCYPART_ARC
(18,14),-2.77065 # DEPENDENCYPART_ARC
(18,15),-2.98418 # DEPENDENCYPART_ARC
(18,16),0.013015 # DEPENDENCYPART_ARC
(18,17),1.73968 # DEPENDENCYPART_ARC
(18,19),1.50628 # DEPENDENCYPART_ARC
(18,20),-2.13803 # DEPENDENCYPART_ARC
(18,21),-1.58454 # DEPENDENCYPART_ARC
(18,22),-3.21343 # DEPENDENCYPART_ARC
(18,23),-0.891711 # DEPENDENCYPART_ARC
(18,24),-0.945943 # DEPENDENCYPART_ARC
(18,25),-0.657891 # DEPENDENCYPART_ARC
(19,1),-1.10094 # DEPENDENCYPART_ARC
(19,2),-1.11923 # DEPENDENCYPART_ARC
(19,3),-0.666907 # DEPENDENCYPART_ARC
(19,4),-1.54083 # DEPENDENCYPART_ARC
(19,5),-1.14764 # DEPENDENCYPART_ARC
(19,6),-0.409087 # DEPENDENCYPART_ARC
(19,7),-1.19511 # DEPENDENCYPART_ARC
(19,8),-0.631132 # DEPENDENCYPART_ARC
(19,9),-0.89834 # DEPENDENCYPART_ARC
(19,10),-0.583505 # DEPENDENCYPART_ARC
(19,11),-0.417673 # DEPENDENCYPART_ARC
(19,12),-1.17394 # DEPENDENCYPART_ARC
(19,13),-0.81086 # DEPENDENCYPART_ARC
(19,14),-0.652594 # DEPENDENCYPART_ARC
(19,15),-1.10557 # DEPENDENCYPART_ARC
(19,16),0.0311134 # DEPENDENCYPART_ARC
(19,17),0.00842906 # DEPENDENCYPART_ARC
(19,18),0.229227 # DEPENDENCYPART_ARC
(19,20),-0.0468806 # DEPENDENCYPART_ARC
(19,21),-1.04769 # DEPENDENCYPART_ARC
(19,22),-0.509555 # DEPENDENCYPART_ARC
(19,23),-1.19659 # DEPENDENCYPART_ARC
(19,24),-0.659059 # DEPENDENCYPART_ARC
(19,25),-0.315903 # DEPENDENCYPART_ARC
(20,1),-1.94853 # DEPENDENCYPART_ARC
(20,2),-2.29213 # DEPENDENCYPART_ARC
(20,3),-1.90995 # DEPENDENCYPART_ARC
(20,4),-2.24432 # DEPENDENCYPART_ARC
(20,5),-1.10435 # DEPENDENCYPART_ARC
(20,6),-1.98205 # DEPENDENCYPART_ARC
(20,7),-1.63477 # DEPENDENCYPART_ARC
(20,8),-1.16372 # DEPENDENCYPART_ARC
(20,9),-2.16579 # DEPENDENCYPART_ARC
(20,10),-1.42784 # DEPENDENCYPART_ARC
(20,11),-1.68722 # DEPENDENCYPART_ARC
(20,12),-1.38676 # DEPENDENCYPART_ARC
(20,13),-1.41428 # DEPENDENCYPART_ARC
(20,14),-2.25635 # DEPENDENCYPART_ARC
(20,15),-1.73879 # DEPENDENCYPART_ARC
(20,16),-0.815718 # DEPENDENCYPART_ARC
(20,17),-1.26002 # DEPENDENCYPART_ARC
(20,18),-0.503051 # DEPENDENCYPART_ARC
(20,19),0.0887304 # DEPENDENCYPART_ARC
(20,21),-0.247234 # DEPENDENCYPART_ARC
(20,22),-1.20284 # DEPENDENCYPART_ARC
(20,23),-0.793634 # DEPENDENCYPART_ARC
(20,24),-1.47221 # DEPENDENCYPART_ARC
(20,25),-0.57455 # DEPENDENCYPART_ARC
