# _root_ alfonso_osorio_garcia , diputatu espainiarra , ucdren garaian gobernu espainiarreko lehendakariordea eta lehendakaritzaren ministro ere .
#goldHeads=0,1,11,3,4,7,10,10,8,11,1,13,11,0,14,
#predictedHeads=11,3,0,3,4,7,8,10,8,11,13,11,3,0,14,
(9,10),-1.30054 # DEPENDENCYPART_ARC
(9,11),-1.41857 # DEPENDENCYPART_ARC
(9,12),-3.48931 # DEPENDENCYPART_ARC
(9,13),-1.63814 # DEPENDENCYPART_ARC
(9,14),-1.60761 # DEPENDENCYPART_ARC
(9,15),-0.983791 # DEPENDENCYPART_ARC
(10,1),-1.15975 # DEPENDENCYPART_ARC
(10,2),-1.41115 # DEPENDENCYPART_ARC
(10,3),-0.680859 # DEPENDENCYPART_ARC
(10,4),-1.42383 # DEPENDENCYPART_ARC
(10,5),-1.2925 # DEPENDENCYPART_ARC
(10,6),-0.116116 # DEPENDENCYPART_ARC
(10,7),-1.88995 # DEPENDENCYPART_ARC
(10,8),1.3723 # DEPENDENCYPART_ARC
(10,9),1.38571 # DEPENDENCYPART_ARC
(10,11),-0.168584 # DEPENDENCYPART_ARC
(10,12),-1.83674 # DEPENDENCYPART_ARC
(10,13),-0.199077 # DEPENDENCYPART_ARC
(10,14),-1.5351 # DEPENDENCYPART_ARC
(10,15),-1.04145 # DEPENDENCYPART_ARC
(11,1),0.24141 # DEPENDENCYPART_ARC
(11,2),-2.26253 # DEPENDENCYPART_ARC
(11,3),0.0194351 # DEPENDENCYPART_ARC
(11,4),-1.35863 # DEPENDENCYPART_ARC
(11,5),-1.95361 # DEPENDENCYPART_ARC
(11,6),-0.0522969 # DEPENDENCYPART_ARC
(11,7),-1.12495 # DEPENDENCYPART_ARC
(11,8),0.189384 # DEPENDENCYPART_ARC
(11,9),-0.507238 # DEPENDENCYPART_ARC
(11,10),1.91325 # DEPENDENCYPART_ARC
(11,12),2.22114 # DEPENDENCYPART_ARC
(11,13),1.01386 # DEPENDENCYPART_ARC
(11,14),0.152055 # DEPENDENCYPART_ARC
(11,15),-0.236068 # DEPENDENCYPART_ARC
(12,1),-2.71366 # DEPENDENCYPART_ARC
(12,2),-2.85862 # DEPENDENCYPART_ARC
(12,3),-2.32562 # DEPENDENCYPART_ARC
(12,4),-2.79973 # DEPENDENCYPART_ARC
(12,5),-2.69561 # DEPENDENCYPART_ARC
(12,6),-1.69858 # DEPENDENCYPART_ARC
(12,7),-4.02937 # DEPENDENCYPART_ARC
(12,8),-1.12136 # DEPENDENCYPART_ARC
(12,9),-0.481034 # DEPENDENCYPART_ARC
(12,10),-2.96918 # DEPENDENCYPART_ARC
(12,11),-0.728461 # DEPENDENCYPART_ARC
(12,13),0.935889 # DEPENDENCYPART_ARC
(12,14),-1.072 # DEPENDENCYPART_ARC
(12,15),-0.870927 # DEPENDENCYPART_ARC
(13,1),-0.98835 # DEPENDENCYPART_ARC
(13,2),-1.58689 # DEPENDENCYPART_ARC
(13,3),-1.17373 # DEPENDENCYPART_ARC
(13,4),-1.79834 # DEPENDENCYPART_ARC
(13,5),-1.36471 # DEPENDENCYPART_ARC
(13,6),-0.559167 # DEPENDENCYPART_ARC
(13,7),-1.20993 # DEPENDENCYPART_ARC
(13,8),0.203709 # DEPENDENCYPART_ARC
(13,9),-0.540138 # DEPENDENCYPART_ARC
(13,10),-0.923622 # DEPENDENCYPART_ARC
(13,11),0.836654 # DEPENDENCYPART_ARC
(13,12),1.86569 # DEPENDENCYPART_ARC
(13,14),0.100263 # DEPENDENCYPART_ARC
(13,15),-0.00674297 # DEPENDENCYPART_ARC
(14,1),-2.37394 # DEPENDENCYPART_ARC
(14,2),-3.44585 # DEPENDENCYPART_ARC
(14,3),-2.87962 # DEPENDENCYPART_ARC
(14,4),-3.15452 # DEPENDENCYPART_ARC
(14,5),-3.31328 # DEPENDENCYPART_ARC
(14,6),-2.74979 # DEPENDENCYPART_ARC
(14,7),-3.81339 # DEPENDENCYPART_ARC
(14,8),-2.91952 # DEPENDENCYPART_ARC
(14,9),-3.10516 # DEPENDENCYPART_ARC
(14,10),-2.44917 # DEPENDENCYPART_ARC
(14,11),-2.23495 # DEPENDENCYPART_ARC
(14,12),-2.0506 # DEPENDENCYPART_ARC
(14,13),-1.00447 # DEPENDENCYPART_ARC
(14,15),1.48977 # DEPENDENCYPART_ARC
(15,1),-2.34604 # DEPENDENCYPART_ARC
(15,2),-1.59231 # DEPENDENCYPART_ARC
(15,3),-1.96432 # DEPENDENCYPART_ARC
(15,4),-1.88092 # DEPENDENCYPART_ARC
(15,5),-1.54706 # DEPENDENCYPART_ARC
(15,6),-1.60755 # DEPENDENCYPART_ARC
(15,7),-1.41941 # DEPENDENCYPART_ARC
(15,8),-1.46902 # DEPENDENCYPART_ARC
(15,9),-1.59225 # DEPENDENCYPART_ARC
(15,10),-1.39376 # DEPENDENCYPART_ARC
(15,11),-0.918379 # DEPENDENCYPART_ARC
(15,12),-0.870712 # DEPENDENCYPART_ARC
(15,13),-0.826484 # DEPENDENCYPART_ARC
(15,14),-0.448618 # DEPENDENCYPART_ARC
