# _root_ errealitatea , fotografikoki , jadanik agortu eta erreportajea ` hil delako ` sentimenduak flotatzen du " .
#goldHeads=6,3,6,3,6,7,14,10,8,7,10,11,14,0,14,15,16,
#predictedHeads=6,3,6,3,6,7,10,10,8,0,10,11,14,7,14,15,16,
(8,1),-3.36044 # DEPENDENCYPART_ARC
(8,2),-2.42208 # DEPENDENCYPART_ARC
(8,3),-2.48085 # DEPENDENCYPART_ARC
(8,4),-2.17685 # DEPENDENCYPART_ARC
(8,5),-1.72732 # DEPENDENCYPART_ARC
(8,6),-0.480268 # DEPENDENCYPART_ARC
(8,7),-0.890117 # DEPENDENCYPART_ARC
(8,9),1.79058 # DEPENDENCYPART_ARC
(8,10),-1.01358 # DEPENDENCYPART_ARC
(8,11),-1.71829 # DEPENDENCYPART_ARC
(8,12),-0.463274 # DEPENDENCYPART_ARC
(8,13),-0.901959 # DEPENDENCYPART_ARC
(8,14),-1.3938 # DEPENDENCYPART_ARC
(8,15),-1.91744 # DEPENDENCYPART_ARC
(8,16),-0.819391 # DEPENDENCYPART_ARC
(8,17),-0.856684 # DEPENDENCYPART_ARC
(9,2),-0.885286 # DEPENDENCYPART_ARC
(9,4),-0.947133 # DEPENDENCYPART_ARC
(9,12),-0.0674295 # DEPENDENCYPART_ARC
(9,16),-0.435517 # DEPENDENCYPART_ARC
(9,17),-0.522342 # DEPENDENCYPART_ARC
(10,1),-0.347867 # DEPENDENCYPART_ARC
(10,2),-0.769706 # DEPENDENCYPART_ARC
(10,3),-0.537644 # DEPENDENCYPART_ARC
(10,4),-0.738442 # DEPENDENCYPART_ARC
(10,5),-0.100494 # DEPENDENCYPART_ARC
(10,6),0.289185 # DEPENDENCYPART_ARC
(10,7),0.826072 # DEPENDENCYPART_ARC
(10,8),1.14883 # DEPENDENCYPART_ARC
(10,9),-0.000443169 # DEPENDENCYPART_ARC
(10,11),1.60617 # DEPENDENCYPART_ARC
(10,12),-0.281949 # DEPENDENCYPART_ARC
(10,13),0.195683 # DEPENDENCYPART_ARC
(10,14),-0.270331 # DEPENDENCYPART_ARC
(10,15),-0.795191 # DEPENDENCYPART_ARC
(10,16),-0.840823 # DEPENDENCYPART_ARC
(10,17),-0.820423 # DEPENDENCYPART_ARC
(11,1),-1.2279 # DEPENDENCYPART_ARC
(11,2),-1.41933 # DEPENDENCYPART_ARC
(11,3),-1.23165 # DEPENDENCYPART_ARC
(11,4),-1.29533 # DEPENDENCYPART_ARC
(11,5),-0.943528 # DEPENDENCYPART_ARC
(11,6),-1.53857 # DEPENDENCYPART_ARC
(11,7),-1.19167 # DEPENDENCYPART_ARC
(11,8),-0.35677 # DEPENDENCYPART_ARC
(11,9),-1.00461 # DEPENDENCYPART_ARC
(11,10),-0.643572 # DEPENDENCYPART_ARC
(11,12),1.77152 # DEPENDENCYPART_ARC
(11,13),-0.777252 # DEPENDENCYPART_ARC
(11,14),-1.11523 # DEPENDENCYPART_ARC
(11,15),-0.857768 # DEPENDENCYPART_ARC
(11,16),0.407288 # DEPENDENCYPART_ARC
(11,17),-0.462106 # DEPENDENCYPART_ARC
(12,2),-0.680733 # DEPENDENCYPART_ARC
(12,4),-0.630165 # DEPENDENCYPART_ARC
(12,9),-0.556458 # DEPENDENCYPART_ARC
(12,16),-0.0548217 # DEPENDENCYPART_ARC
(12,17),-0.12352 # DEPENDENCYPART_ARC
(13,1),-3.91013 # DEPENDENCYPART_ARC
(13,2),-1.14776 # DEPENDENCYPART_ARC
(13,3),-1.32087 # DEPENDENCYPART_ARC
(13,4),-0.858637 # DEPENDENCYPART_ARC
(13,5),-0.770681 # DEPENDENCYPART_ARC
(13,6),-0.84977 # DEPENDENCYPART_ARC
(13,7),-0.13847 # DEPENDENCYPART_ARC
(13,8),-2.10171 # DEPENDENCYPART_ARC
(13,9),-0.599742 # DEPENDENCYPART_ARC
(13,10),0.373812 # DEPENDENCYPART_ARC
(13,11),-0.374247 # DEPENDENCYPART_ARC
(13,12),0.464123 # DEPENDENCYPART_ARC
(13,14),-0.425549 # DEPENDENCYPART_ARC
(13,15),-1.46741 # DEPENDENCYPART_ARC
(13,16),-0.851501 # DEPENDENCYPART_ARC
(13,17),-1.0792 # DEPENDENCYPART_ARC
(14,1),-1.09412 # DEPENDENCYPART_ARC
(14,2),-1.25538 # DEPENDENCYPART_ARC
(14,3),-1.14247 # DEPENDENCYPART_ARC
(14,4),-1.17122 # DEPENDENCYPART_ARC
(14,5),-0.858133 # DEPENDENCYPART_ARC
(14,6),-0.821133 # DEPENDENCYPART_ARC
(14,7),-0.417184 # DEPENDENCYPART_ARC
(14,8),-0.716713 # DEPENDENCYPART_ARC
(14,9),-0.894238 # DEPENDENCYPART_ARC
(14,10),0.00321343 # DEPENDENCYPART_ARC
(14,11),-0.710768 # DEPENDENCYPART_ARC
(14,12),-0.652177 # DEPENDENCYPART_ARC
(14,13),2.98893 # DEPENDENCYPART_ARC
(14,15),1.94144 # DEPENDENCYPART_ARC
(14,16),0.091733 # DEPENDENCYPART_ARC
(14,17),-0.290051 # DEPENDENCYPART_ARC
(15,1),-1.47699 # DEPENDENCYPART_ARC
(15,2),-1.80082 # DEPENDENCYPART_ARC
(15,3),-1.24805 # DEPENDENCYPART_ARC
(15,4),-1.88232 # DEPENDENCYPART_ARC
(15,5),-1.04215 # DEPENDENCYPART_ARC
(15,6),-2.13573 # DEPENDENCYPART_ARC
(15,7),-1.47634 # DEPENDENCYPART_ARC
(15,8),-0.944372 # DEPENDENCYPART_ARC
(15,9),-1.56254 # DEPENDENCYPART_ARC
(15,10),-2.39345 # DEPENDENCYPART_ARC
(15,11),-1.163 # DEPENDENCYPART_ARC
(15,12),-1.3611 # DEPENDENCYPART_ARC
(15,13),-0.292724 # DEPENDENCYPART_ARC
(15,14),-1.59072 # DEPENDENCYPART_ARC
(15,16),1.89576 # DEPENDENCYPART_ARC
(15,17),0.0220141 # DEPENDENCYPART_ARC
(16,1),-1.93006 # DEPENDENCYPART_ARC
(16,2),-2.09247 # DEPENDENCYPART_ARC
(16,4),-2.11901 # DEPENDENCYPART_ARC
(16,6),-1.80706 # DEPENDENCYPART_ARC
(16,8),-1.76789 # DEPENDENCYPART_ARC
(16,10),-1.59214 # DEPENDENCYPART_ARC
(16,11),-1.53041 # DEPENDENCYPART_ARC
(16,13),-1.31167 # DEPENDENCYPART_ARC
(16,14),-1.25407 # DEPENDENCYPART_ARC
(16,15),-0.740589 # DEPENDENCYPART_ARC
(16,17),1.96689 # DEPENDENCYPART_ARC
(17,1),-1.82699 # DEPENDENCYPART_ARC
(17,2),-1.33022 # DEPENDENCYPART_ARC
(17,4),-1.27389 # DEPENDENCYPART_ARC
(17,6),-1.7702 # DEPENDENCYPART_ARC
(17,7),-1.1285 # DEPENDENCYPART_ARC
(17,8),-1.44763 # DEPENDENCYPART_ARC
(17,10),-1.5604 # DEPENDENCYPART_ARC
(17,13),-0.836294 # DEPENDENCYPART_ARC
(17,14),-1.21385 # DEPENDENCYPART_ARC
(17,16),-0.438282 # DEPENDENCYPART_ARC
