# _root_ benetan , erdi tontolo geratu naiz leihotik begira : muxuka zeuden txirikorda eta nicolasito , biak eskutik helduta ! .
#goldHeads=5,3,4,5,0,5,5,7,8,11,0,13,11,13,14,18,18,11,18,19,
#predictedHeads=5,3,4,5,0,5,5,11,8,11,5,13,11,13,14,18,18,11,18,19,
(6,3),-0.795126 # DEPENDENCYPART_ARC
(6,4),-0.503558 # DEPENDENCYPART_ARC
(6,5),-0.442874 # DEPENDENCYPART_ARC
(6,7),-0.708452 # DEPENDENCYPART_ARC
(6,8),-0.557223 # DEPENDENCYPART_ARC
(6,9),-0.765118 # DEPENDENCYPART_ARC
(6,10),-1.20335 # DEPENDENCYPART_ARC
(6,11),-1.13721 # DEPENDENCYPART_ARC
(6,12),-2.13543 # DEPENDENCYPART_ARC
(6,13),-1.20421 # DEPENDENCYPART_ARC
(6,14),-2.08929 # DEPENDENCYPART_ARC
(6,15),-1.4831 # DEPENDENCYPART_ARC
(6,16),-2.02529 # DEPENDENCYPART_ARC
(6,17),-2.51862 # DEPENDENCYPART_ARC
(6,18),-1.82619 # DEPENDENCYPART_ARC
(6,19),-1.62797 # DEPENDENCYPART_ARC
(6,20),-1.77978 # DEPENDENCYPART_ARC
(7,1),-1.14494 # DEPENDENCYPART_ARC
(7,2),-1.37686 # DEPENDENCYPART_ARC
(7,3),-0.883328 # DEPENDENCYPART_ARC
(7,4),-1.39992 # DEPENDENCYPART_ARC
(7,5),-0.0611345 # DEPENDENCYPART_ARC
(7,6),-0.551302 # DEPENDENCYPART_ARC
(7,8),0.250815 # DEPENDENCYPART_ARC
(7,9),-0.332269 # DEPENDENCYPART_ARC
(7,10),-1.02043 # DEPENDENCYPART_ARC
(7,11),-2.22778 # DEPENDENCYPART_ARC
(7,12),-2.37741 # DEPENDENCYPART_ARC
(7,13),-1.41189 # DEPENDENCYPART_ARC
(7,14),-1.97773 # DEPENDENCYPART_ARC
(7,15),-1.27175 # DEPENDENCYPART_ARC
(7,16),-4.20261 # DEPENDENCYPART_ARC
(7,17),-2.48206 # DEPENDENCYPART_ARC
(7,18),-1.67241 # DEPENDENCYPART_ARC
(7,19),-1.61447 # DEPENDENCYPART_ARC
(7,20),-1.60415 # DEPENDENCYPART_ARC
(8,1),-0.871116 # DEPENDENCYPART_ARC
(8,2),-0.989287 # DEPENDENCYPART_ARC
(8,3),-0.730416 # DEPENDENCYPART_ARC
(8,4),-1.2078 # DEPENDENCYPART_ARC
(8,5),-0.709969 # DEPENDENCYPART_ARC
(8,6),-0.732755 # DEPENDENCYPART_ARC
(8,7),0.110884 # DEPENDENCYPART_ARC
(8,9),1.70138 # DEPENDENCYPART_ARC
(8,10),-0.152447 # DEPENDENCYPART_ARC
(8,11),-0.304227 # DEPENDENCYPART_ARC
(8,12),-0.541881 # DEPENDENCYPART_ARC
(8,13),-0.44754 # DEPENDENCYPART_ARC
(8,14),-0.686333 # DEPENDENCYPART_ARC
(8,15),0.0138541 # DEPENDENCYPART_ARC
(8,16),-0.866568 # DEPENDENCYPART_ARC
(8,17),-0.778911 # DEPENDENCYPART_ARC
(8,18),-1.08358 # DEPENDENCYPART_ARC
(8,19),-0.0982506 # DEPENDENCYPART_ARC
(8,20),-0.267084 # DEPENDENCYPART_ARC
(9,1),-1.49999 # DEPENDENCYPART_ARC
(9,2),-1.2622 # DEPENDENCYPART_ARC
(9,3),-1.3078 # DEPENDENCYPART_ARC
(9,4),-1.41608 # DEPENDENCYPART_ARC
(9,5),-0.971542 # DEPENDENCYPART_ARC
(9,6),-0.726988 # DEPENDENCYPART_ARC
(9,7),-0.853636 # DEPENDENCYPART_ARC
(9,8),-0.51868 # DEPENDENCYPART_ARC
(9,10),-0.794234 # DEPENDENCYPART_ARC
(9,11),-0.890548 # DEPENDENCYPART_ARC
(9,12),-1.25865 # DEPENDENCYPART_ARC
(9,13),-1.25068 # DEPENDENCYPART_ARC
(9,14),-1.41587 # DEPENDENCYPART_ARC
(9,15),-0.77828 # DEPENDENCYPART_ARC
(9,16),-1.83969 # DEPENDENCYPART_ARC
(9,17),-1.56733 # DEPENDENCYPART_ARC
(9,18),-1.37539 # DEPENDENCYPART_ARC
(9,19),-1.04713 # DEPENDENCYPART_ARC
(9,20),-1.05095 # DEPENDENCYPART_ARC
(10,1),-0.838845 # DEPENDENCYPART_ARC
(10,2),-0.902116 # DEPENDENCYPART_ARC
(10,3),-0.648997 # DEPENDENCYPART_ARC
(10,4),-1.47317 # DEPENDENCYPART_ARC
(10,5),-0.864068 # DEPENDENCYPART_ARC
(10,6),-0.870172 # DEPENDENCYPART_ARC
(10,7),-0.591171 # DEPENDENCYPART_ARC
(10,8),-0.192792 # DEPENDENCYPART_ARC
(10,9),0.354606 # DEPENDENCYPART_ARC
(10,11),0.080068 # DEPENDENCYPART_ARC
(10,12),-0.461689 # DEPENDENCYPART_ARC
(10,13),-0.301475 # DEPENDENCYPART_ARC
(10,14),-0.675092 # DEPENDENCYPART_ARC
(10,15),-0.227928 # DEPENDENCYPART_ARC
(10,16),-0.814024 # DEPENDENCYPART_ARC
(10,17),-0.850702 # DEPENDENCYPART_ARC
(10,18),-1.27373 # DEPENDENCYPART_ARC
(10,19),-0.477986 # DEPENDENCYPART_ARC
(10,20),-0.567469 # DEPENDENCYPART_ARC
(11,1),-0.290522 # DEPENDENCYPART_ARC
(11,2),-1.34796 # DEPENDENCYPART_ARC
(11,3),-0.0435891 # DEPENDENCYPART_ARC
(11,4),-0.373634 # DEPENDENCYPART_ARC
(11,5),-0.121954 # DEPENDENCYPART_ARC
(11,6),-0.391783 # DEPENDENCYPART_ARC
(11,7),0.192804 # DEPENDENCYPART_ARC
(11,8),0.354025 # DEPENDENCYPART_ARC
(11,9),-0.362166 # DEPENDENCYPART_ARC
(11,10),1.84568 # DEPENDENCYPART_ARC
(11,12),0.928766 # DEPENDENCYPART_ARC
(11,13),0.850325 # DEPENDENCYPART_ARC
(11,14),0.868587 # DEPENDENCYPART_ARC
(11,15),-0.0418448 # DEPENDENCYPART_ARC
(11,16),0.419483 # DEPENDENCYPART_ARC
(11,17),-0.6789 # DEPENDENCYPART_ARC
(11,18),0.897025 # DEPENDENCYPART_ARC
(11,19),-0.398294 # DEPENDENCYPART_ARC
(11,20),-0.422733 # DEPENDENCYPART_ARC
(12,1),-1.76566 # DEPENDENCYPART_ARC
(12,2),-1.98676 # DEPENDENCYPART_ARC
(12,3),-1.57087 # DEPENDENCYPART_ARC
(12,4),-2.05399 # DEPENDENCYPART_ARC
(12,5),-3.58173 # DEPENDENCYPART_ARC
(12,6),-2.45515 # DEPENDENCYPART_ARC
(12,7),-3.13105 # DEPENDENCYPART_ARC
(12,8),-1.35996 # DEPENDENCYPART_ARC
(12,9),-1.43547 # DEPENDENCYPART_ARC
(12,10),-0.827011 # DEPENDENCYPART_ARC
(12,11),-1.09408 # DEPENDENCYPART_ARC
(12,13),-0.327448 # DEPENDENCYPART_ARC
(12,14),-0.497316 # DEPENDENCYPART_ARC
(12,15),-0.977078 # DEPENDENCYPART_ARC
(12,16),-4.31375 # DEPENDENCYPART_ARC
(12,17),-2.14734 # DEPENDENCYPART_ARC
(12,18),-1.76434 # DEPENDENCYPART_ARC
(12,19),-1.42049 # DEPENDENCYPART_ARC
(12,20),-1.40032 # DEPENDENCYPART_ARC
(13,1),-0.711162 # DEPENDENCYPART_ARC
(13,2),-2.04603 # DEPENDENCYPART_ARC
(13,3),-0.732514 # DEPENDENCYPART_ARC
(13,4),-1.38363 # DEPENDENCYPART_ARC
(13,5),-0.270904 # DEPENDENCYPART_ARC
(13,6),-1.0604 # DEPENDENCYPART_ARC
(13,7),-1.11336 # DEPENDENCYPART_ARC
(13,8),-0.83933 # DEPENDENCYPART_ARC
(13,9),-1.24122 # DEPENDENCYPART_ARC
(13,10),-0.4332 # DEPENDENCYPART_ARC
(13,11),0.765442 # DEPENDENCYPART_ARC
(13,12),2.13561 # DEPENDENCYPART_ARC
(13,14),2.10963 # DEPENDENCYPART_ARC
(13,15),-0.014601 # DEPENDENCYPART_ARC
(13,16),-0.493255 # DEPENDENCYPART_ARC
(13,17),0.470923 # DEPENDENCYPART_ARC
(13,18),-0.523475 # DEPENDENCYPART_ARC
(13,19),-0.459808 # DEPENDENCYPART_ARC
(13,20),-0.913666 # DEPENDENCYPART_ARC
(14,1),-2.36091 # DEPENDENCYPART_ARC
(14,2),-3.02343 # DEPENDENCYPART_ARC
(14,3),-2.37408 # DEPENDENCYPART_ARC
(14,4),-2.93321 # DEPENDENCYPART_ARC
(14,5),-3.79819 # DEPENDENCYPART_ARC
(14,6),-3.35774 # DEPENDENCYPART_ARC
(14,7),-3.94114 # DEPENDENCYPART_ARC
(14,8),-2.27485 # DEPENDENCYPART_ARC
(14,9),-2.66623 # DEPENDENCYPART_ARC
(14,10),-2.09476 # DEPENDENCYPART_ARC
(14,11),-3.43979 # DEPENDENCYPART_ARC
(14,12),-2.78273 # DEPENDENCYPART_ARC
(14,13),-1.03502 # DEPENDENCYPART_ARC
(14,15),1.36643 # DEPENDENCYPART_ARC
(14,16),-3.42579 # DEPENDENCYPART_ARC
(14,17),-1.8507 # DEPENDENCYPART_ARC
(14,18),-1.35163 # DEPENDENCYPART_ARC
(14,19),-0.930649 # DEPENDENCYPART_ARC
(14,20),-0.887594 # DEPENDENCYPART_ARC
(15,1),-1.38212 # DEPENDENCYPART_ARC
(15,2),-1.28041 # DEPENDENCYPART_ARC
(15,3),-1.27626 # DEPENDENCYPART_ARC
(15,4),-1.50904 # DEPENDENCYPART_ARC
(15,5),-0.70148 # DEPENDENCYPART_ARC
(15,6),-1.03147 # DEPENDENCYPART_ARC
(15,7),-1.06402 # DEPENDENCYPART_ARC
(15,8),-1.20027 # DEPENDENCYPART_ARC
(15,9),-1.10936 # DEPENDENCYPART_ARC
(15,10),-1.07854 # DEPENDENCYPART_ARC
(15,11),-0.185777 # DEPENDENCYPART_ARC
(15,12),-0.623262 # DEPENDENCYPART_ARC
(15,13),-0.634074 # DEPENDENCYPART_ARC
(15,14),-0.0644217 # DEPENDENCYPART_ARC
(15,16),-0.512972 # DEPENDENCYPART_ARC
(15,17),-0.594381 # DEPENDENCYPART_ARC
(15,18),-0.574599 # DEPENDENCYPART_ARC
(15,19),-0.452803 # DEPENDENCYPART_ARC
(15,20),-0.463938 # DEPENDENCYPART_ARC
(16,1),-1.13807 # DEPENDENCYPART_ARC
(16,2),-1.60658 # DEPENDENCYPART_ARC
(16,3),-0.935593 # DEPENDENCYPART_ARC
(16,4),-1.70761 # DEPENDENCYPART_ARC
(16,5),-2.00511 # DEPENDENCYPART_ARC
(16,6),-1.92961 # DEPENDENCYPART_ARC
(16,7),-1.1525 # DEPENDENCYPART_ARC
(16,8),-0.911372 # DEPENDENCYPART_ARC
(16,9),-1.35315 # DEPENDENCYPART_ARC
(16,10),-1.04301 # DEPENDENCYPART_ARC
(16,11),-1.52872 # DEPENDENCYPART_ARC
(16,12),-1.77728 # DEPENDENCYPART_ARC
(16,13),-0.296195 # DEPENDENCYPART_ARC
(16,14),-0.893222 # DEPENDENCYPART_ARC
(16,15),-0.0719031 # DEPENDENCYPART_ARC
(16,17),-0.0455273 # DEPENDENCYPART_ARC
(16,18),-1.67813 # DEPENDENCYPART_ARC
(16,19),-0.563511 # DEPENDENCYPART_ARC
(16,20),-0.818891 # DEPENDENCYPART_ARC
(17,1),-0.938889 # DEPENDENCYPART_ARC
(17,2),-1.67035 # DEPENDENCYPART_ARC
(17,3),-0.953211 # DEPENDENCYPART_ARC
(17,4),-1.62872 # DEPENDENCYPART_ARC
(17,5),-1.45194 # DEPENDENCYPART_ARC
(17,6),-1.61938 # DEPENDENCYPART_ARC
(17,7),-1.41352 # DEPENDENCYPART_ARC
(17,8),-0.893268 # DEPENDENCYPART_ARC
(17,9),-1.38789 # DEPENDENCYPART_ARC
(17,10),-0.716861 # DEPENDENCYPART_ARC
(17,11),-1.86825 # DEPENDENCYPART_ARC
(17,12),-1.37201 # DEPENDENCYPART_ARC
(17,13),-0.292318 # DEPENDENCYPART_ARC
(17,14),-1.21625 # DEPENDENCYPART_ARC
(17,15),-0.572206 # DEPENDENCYPART_ARC
(17,16),0.107363 # DEPENDENCYPART_ARC
(17,18),-0.279432 # DEPENDENCYPART_ARC
(17,19),-0.312976 # DEPENDENCYPART_ARC
(17,20),-0.833877 # DEPENDENCYPART_ARC
(18,1),-1.1166 # DEPENDENCYPART_ARC
(18,2),-2.02898 # DEPENDENCYPART_ARC
(18,3),-0.868476 # DEPENDENCYPART_ARC
(18,4),-0.746131 # DEPENDENCYPART_ARC
(18,5),-1.5264 # DEPENDENCYPART_ARC
(18,6),-0.316187 # DEPENDENCYPART_ARC
(18,7),-1.47613 # DEPENDENCYPART_ARC
(18,8),-0.767136 # DEPENDENCYPART_ARC
(18,9),-1.06064 # DEPENDENCYPART_ARC
(18,10),-0.18239 # DEPENDENCYPART_ARC
(18,11),-1.93206 # DEPENDENCYPART_ARC
(18,12),-0.659451 # DEPENDENCYPART_ARC
(18,13),0.295919 # DEPENDENCYPART_ARC
(18,14),-0.976424 # DEPENDENCYPART_ARC
(18,15),-0.948948 # DEPENDENCYPART_ARC
(18,16),0.708596 # DEPENDENCYPART_ARC
(18,17),1.78237 # DEPENDENCYPART_ARC
(18,19),2.24292 # DEPENDENCYPART_ARC
(18,20),0.546124 # DEPENDENCYPART_ARC
(19,1),-1.67539 # DEPENDENCYPART_ARC
(19,2),-1.47274 # DEPENDENCYPART_ARC
(19,3),-1.60563 # DEPENDENCYPART_ARC
(19,4),-1.89365 # DEPENDENCYPART_ARC
(19,5),-1.59687 # DEPENDENCYPART_ARC
(19,6),-1.41825 # DEPENDENCYPART_ARC
(19,7),-1.565 # DEPENDENCYPART_ARC
(19,8),-1.67506 # DEPENDENCYPART_ARC
(19,9),-1.51975 # DEPENDENCYPART_ARC
(19,10),-1.48364 # DEPENDENCYPART_ARC
(19,11),-0.925675 # DEPENDENCYPART_ARC
(19,12),-1.38262 # DEPENDENCYPART_ARC
(19,13),-0.992184 # DEPENDENCYPART_ARC
(19,14),-1.47099 # DEPENDENCYPART_ARC
(19,15),-1.36071 # DEPENDENCYPART_ARC
(19,16),-1.37925 # DEPENDENCYPART_ARC
(19,17),-0.816037 # DEPENDENCYPART_ARC
(19,18),-0.405461 # DEPENDENCYPART_ARC
(19,20),2.17642 # DEPENDENCYPART_ARC
(20,1),-1.90196 # DEPENDENCYPART_ARC
(20,2),-1.61646 # DEPENDENCYPART_ARC
(20,3),-1.75386 # DEPENDENCYPART_ARC
(20,4),-2.1086 # DEPENDENCYPART_ARC
(20,5),-2.0841 # DEPENDENCYPART_ARC
(20,6),-1.63004 # DEPENDENCYPART_ARC
(20,7),-1.87863 # DEPENDENCYPART_ARC
(20,8),-1.82773 # DEPENDENCYPART_ARC
(20,9),-1.82077 # DEPENDENCYPART_ARC
(20,10),-1.64418 # DEPENDENCYPART_ARC
(20,11),-1.35526 # DEPENDENCYPART_ARC
(20,12),-1.66405 # DEPENDENCYPART_ARC
(20,13),-1.20438 # DEPENDENCYPART_ARC
(20,14),-1.75813 # DEPENDENCYPART_ARC
(20,15),-1.67327 # DEPENDENCYPART_ARC
(20,16),-1.75227 # DEPENDENCYPART_ARC
(20,17),-0.888701 # DEPENDENCYPART_ARC
(20,18),-1.36135 # DEPENDENCYPART_ARC
(20,19),-0.757493 # DEPENDENCYPART_ARC
