# _root_ ybarra eta gonzalezen_arabera , bbvak banku bakar bezala egingo du lan bere unitate eta negozio guztietan , " espainiako merkatuan jada ezagunenetakoa den marka bakarrarekin " .
#goldHeads=2,9,2,3,9,9,6,7,0,9,9,13,2,9,2,15,16,17,20,23,23,23,24,9,24,25,26,
#predictedHeads=2,9,2,3,9,9,6,7,0,9,9,13,14,9,14,15,16,17,20,23,23,21,24,9,24,25,26,
(5,24),-3.49887 # DEPENDENCYPART_ARC
(5,25),-5.30179 # DEPENDENCYPART_ARC
(5,26),-2.70556 # DEPENDENCYPART_ARC
(5,27),-2.10378 # DEPENDENCYPART_ARC
(6,1),-0.426285 # DEPENDENCYPART_ARC
(6,2),-0.350986 # DEPENDENCYPART_ARC
(6,3),-0.902031 # DEPENDENCYPART_ARC
(6,4),-0.680454 # DEPENDENCYPART_ARC
(6,5),1.09624 # DEPENDENCYPART_ARC
(6,7),2.20516 # DEPENDENCYPART_ARC
(6,8),0.197248 # DEPENDENCYPART_ARC
(6,9),-0.687025 # DEPENDENCYPART_ARC
(6,10),-0.766575 # DEPENDENCYPART_ARC
(6,11),-0.307786 # DEPENDENCYPART_ARC
(6,12),-0.550642 # DEPENDENCYPART_ARC
(6,13),-0.988228 # DEPENDENCYPART_ARC
(6,14),-0.693507 # DEPENDENCYPART_ARC
(6,15),-1.03021 # DEPENDENCYPART_ARC
(6,16),-0.398799 # DEPENDENCYPART_ARC
(6,17),-1.13603 # DEPENDENCYPART_ARC
(6,18),-1.19773 # DEPENDENCYPART_ARC
(6,19),-1.12164 # DEPENDENCYPART_ARC
(6,20),-1.14938 # DEPENDENCYPART_ARC
(6,21),-0.880969 # DEPENDENCYPART_ARC
(6,22),-0.552427 # DEPENDENCYPART_ARC
(6,23),-1.76873 # DEPENDENCYPART_ARC
(6,24),-1.60823 # DEPENDENCYPART_ARC
(6,25),-1.52619 # DEPENDENCYPART_ARC
(6,26),-1.69907 # DEPENDENCYPART_ARC
(6,27),-1.37214 # DEPENDENCYPART_ARC
(7,1),-0.926479 # DEPENDENCYPART_ARC
(7,2),-0.815102 # DEPENDENCYPART_ARC
(7,3),-0.672231 # DEPENDENCYPART_ARC
(7,4),-0.886597 # DEPENDENCYPART_ARC
(7,5),0.70535 # DEPENDENCYPART_ARC
(7,6),0.447954 # DEPENDENCYPART_ARC
(7,8),1.00143 # DEPENDENCYPART_ARC
(7,9),-0.678637 # DEPENDENCYPART_ARC
(7,10),-0.180769 # DEPENDENCYPART_ARC
(7,11),-0.263531 # DEPENDENCYPART_ARC
(7,12),-0.719361 # DEPENDENCYPART_ARC
(7,13),-0.968535 # DEPENDENCYPART_ARC
(7,14),-0.332857 # DEPENDENCYPART_ARC
(7,15),-1.1332 # DEPENDENCYPART_ARC
(7,16),-1.18944 # DEPENDENCYPART_ARC
(7,17),-0.231864 # DEPENDENCYPART_ARC
(7,18),-0.0795035 # DEPENDENCYPART_ARC
(7,19),-0.967702 # DEPENDENCYPART_ARC
(7,20),-0.87648 # DEPENDENCYPART_ARC
(7,21),-0.618155 # DEPENDENCYPART_ARC
(7,22),-0.408291 # DEPENDENCYPART_ARC
(7,23),-0.385959 # DEPENDENCYPART_ARC
(7,24),-1.51144 # DEPENDENCYPART_ARC
(7,25),-1.53999 # DEPENDENCYPART_ARC
(7,26),-0.329846 # DEPENDENCYPART_ARC
(7,27),-0.574286 # DEPENDENCYPART_ARC
(8,1),-1.11019 # DEPENDENCYPART_ARC
(8,2),-0.637034 # DEPENDENCYPART_ARC
(8,3),-1.01543 # DEPENDENCYPART_ARC
(8,4),-1.07869 # DEPENDENCYPART_ARC
(8,5),-0.616655 # DEPENDENCYPART_ARC
(8,6),-0.550675 # DEPENDENCYPART_ARC
(8,7),-0.299597 # DEPENDENCYPART_ARC
(8,9),-0.0581699 # DEPENDENCYPART_ARC
(8,10),-0.0531775 # DEPENDENCYPART_ARC
(8,11),-0.548595 # DEPENDENCYPART_ARC
(8,12),-0.726527 # DEPENDENCYPART_ARC
(8,13),-0.665006 # DEPENDENCYPART_ARC
(8,14),-0.504625 # DEPENDENCYPART_ARC
(8,15),-0.822712 # DEPENDENCYPART_ARC
(8,16),-0.991275 # DEPENDENCYPART_ARC
(8,17),-0.281188 # DEPENDENCYPART_ARC
(8,18),-0.29599 # DEPENDENCYPART_ARC
(8,19),-0.993086 # DEPENDENCYPART_ARC
(8,20),-0.990082 # DEPENDENCYPART_ARC
(8,21),-0.680772 # DEPENDENCYPART_ARC
(8,22),-0.850783 # DEPENDENCYPART_ARC
(8,23),-1.0228 # DEPENDENCYPART_ARC
(8,24),-1.09737 # DEPENDENCYPART_ARC
(8,25),-1.53422 # DEPENDENCYPART_ARC
(8,26),-0.694467 # DEPENDENCYPART_ARC
(8,27),-0.821355 # DEPENDENCYPART_ARC
(9,1),-0.130222 # DEPENDENCYPART_ARC
(9,2),-0.204143 # DEPENDENCYPART_ARC
(9,3),0.381259 # DEPENDENCYPART_ARC
(9,4),-1.40062 # DEPENDENCYPART_ARC
(9,5),1.39189 # DEPENDENCYPART_ARC
(9,6),0.89568 # DEPENDENCYPART_ARC
(9,7),0.582072 # DEPENDENCYPART_ARC
(9,8),0.54467 # DEPENDENCYPART_ARC
(9,10),2.15944 # DEPENDENCYPART_ARC
(9,11),1.48481 # DEPENDENCYPART_ARC
(9,12),-0.48326 # DEPENDENCYPART_ARC
(9,13),0.42345 # DEPENDENCYPART_ARC
(9,14),0.206313 # DEPENDENCYPART_ARC
(9,15),-0.444869 # DEPENDENCYPART_ARC
(9,16),0.0753328 # DEPENDENCYPART_ARC
(9,17),-0.215734 # DEPENDENCYPART_ARC
(9,18),-0.307978 # DEPENDENCYPART_ARC
(9,19),-1.88647 # DEPENDENCYPART_ARC
(9,20),0.0150281 # DEPENDENCYPART_ARC
(9,21),-1.13799 # DEPENDENCYPART_ARC
(9,22),-0.685772 # DEPENDENCYPART_ARC
(9,23),-0.363975 # DEPENDENCYPART_ARC
(9,24),-0.806882 # DEPENDENCYPART_ARC
(9,25),-0.510521 # DEPENDENCYPART_ARC
(9,26),-0.619206 # DEPENDENCYPART_ARC
(9,27),-1.0012 # DEPENDENCYPART_ARC
(10,1),-1.73306 # DEPENDENCYPART_ARC
(10,2),-1.41259 # DEPENDENCYPART_ARC
(10,3),-2.04711 # DEPENDENCYPART_ARC
(10,4),-1.789 # DEPENDENCYPART_ARC
(10,5),-1.16283 # DEPENDENCYPART_ARC
(10,6),-0.729279 # DEPENDENCYPART_ARC
(10,7),-1.76861 # DEPENDENCYPART_ARC
(10,8),-0.809228 # DEPENDENCYPART_ARC
(10,9),-1.57579 # DEPENDENCYPART_ARC
(10,11),-0.821037 # DEPENDENCYPART_ARC
(10,12),-1.12169 # DEPENDENCYPART_ARC
(10,13),-1.54904 # DEPENDENCYPART_ARC
(10,14),-1.36925 # DEPENDENCYPART_ARC
(10,15),-1.86249 # DEPENDENCYPART_ARC
(10,16),-1.70228 # DEPENDENCYPART_ARC
(10,17),-0.830919 # DEPENDENCYPART_ARC
(10,18),-0.888326 # DEPENDENCYPART_ARC
(10,19),-2.9936 # DEPENDENCYPART_ARC
(10,20),-2.57238 # DEPENDENCYPART_ARC
(10,21),-0.863178 # DEPENDENCYPART_ARC
(10,22),-1.54736 # DEPENDENCYPART_ARC
(10,23),-1.36624 # DEPENDENCYPART_ARC
(10,24),-2.83004 # DEPENDENCYPART_ARC
(10,25),-2.17519 # DEPENDENCYPART_ARC
(10,26),-1.35163 # DEPENDENCYPART_ARC
(10,27),-1.61255 # DEPENDENCYPART_ARC
(11,1),-2.00845 # DEPENDENCYPART_ARC
(11,2),-1.25252 # DEPENDENCYPART_ARC
(11,3),-2.70462 # DEPENDENCYPART_ARC
(11,4),-1.88148 # DEPENDENCYPART_ARC
(11,5),-1.98504 # DEPENDENCYPART_ARC
(11,6),-0.920939 # DEPENDENCYPART_ARC
(11,7),-1.99104 # DEPENDENCYPART_ARC
(11,8),-0.953153 # DEPENDENCYPART_ARC
(11,9),0.321589 # DEPENDENCYPART_ARC
(11,10),-1.29451 # DEPENDENCYPART_ARC
(11,12),0.350125 # DEPENDENCYPART_ARC
(11,13),-1.05675 # DEPENDENCYPART_ARC
(11,14),-1.06607 # DEPENDENCYPART_ARC
(11,15),-1.61751 # DEPENDENCYPART_ARC
(11,16),-1.40529 # DEPENDENCYPART_ARC
(11,17),-1.31223 # DEPENDENCYPART_ARC
(11,18),-1.34973 # DEPENDENCYPART_ARC
(11,19),-2.26976 # DEPENDENCYPART_ARC
(11,20),-1.88892 # DEPENDENCYPART_ARC
(11,21),-1.20497 # DEPENDENCYPART_ARC
(11,22),-0.325285 # DEPENDENCYPART_ARC
(11,23),-2.1302 # DEPENDENCYPART_ARC
(11,24),-2.52484 # DEPENDENCYPART_ARC
(11,25),-2.68843 # DEPENDENCYPART_ARC
(11,26),-1.82739 # DEPENDENCYPART_ARC
(11,27),-1.55673 # DEPENDENCYPART_ARC
(12,1),-2.13893 # DEPENDENCYPART_ARC
(12,2),-0.948843 # DEPENDENCYPART_ARC
(12,3),-2.02805 # DEPENDENCYPART_ARC
(12,4),-1.46101 # DEPENDENCYPART_ARC
(12,5),-1.9857 # DEPENDENCYPART_ARC
(12,6),-1.77667 # DEPENDENCYPART_ARC
(12,7),-1.77772 # DEPENDENCYPART_ARC
(12,8),-0.610414 # DEPENDENCYPART_ARC
(12,9),-1.2796 # DEPENDENCYPART_ARC
(12,10),-1.07176 # DEPENDENCYPART_ARC
(12,11),0.166254 # DEPENDENCYPART_ARC
(12,13),-0.00850964 # DEPENDENCYPART_ARC
(12,14),-0.878799 # DEPENDENCYPART_ARC
(12,15),-1.15207 # DEPENDENCYPART_ARC
(12,16),-0.984507 # DEPENDENCYPART_ARC
(12,17),-0.569585 # DEPENDENCYPART_ARC
(12,18),-0.64643 # DEPENDENCYPART_ARC
(12,19),-0.784226 # DEPENDENCYPART_ARC
(12,20),-1.60646 # DEPENDENCYPART_ARC
(12,21),-1.19427 # DEPENDENCYPART_ARC
(12,22),-1.19657 # DEPENDENCYPART_ARC
(12,23),-1.80702 # DEPENDENCYPART_ARC
(12,24),-1.91877 # DEPENDENCYPART_ARC
(12,25),-2.33427 # DEPENDENCYPART_ARC
(12,26),-1.13068 # DEPENDENCYPART_ARC
(12,27),-1.32234 # DEPENDENCYPART_ARC
(13,1),-1.57685 # DEPENDENCYPART_ARC
(13,2),-1.22365 # DEPENDENCYPART_ARC
(13,3),-2.08445 # DEPENDENCYPART_ARC
(13,4),-1.55258 # DEPENDENCYPART_ARC
(13,5),-1.92396 # DEPENDENCYPART_ARC
(13,6),-0.705381 # DEPENDENCYPART_ARC
(13,7),-1.89019 # DEPENDENCYPART_ARC
(13,8),-0.996291 # DEPENDENCYPART_ARC
(13,9),-0.865045 # DEPENDENCYPART_ARC
(13,10),-1.17013 # DEPENDENCYPART_ARC
(13,11),-0.35824 # DEPENDENCYPART_ARC
(13,12),1.32463 # DEPENDENCYPART_ARC
(13,14),0.795922 # DEPENDENCYPART_ARC
(13,15),-0.38858 # DEPENDENCYPART_ARC
(13,16),-0.0192271 # DEPENDENCYPART_ARC
(13,17),-0.96968 # DEPENDENCYPART_ARC
(13,18),-1.04187 # DEPENDENCYPART_ARC
(13,19),-0.906237 # DEPENDENCYPART_ARC
(13,20),-0.92541 # DEPENDENCYPART_ARC
(13,21),-1.19791 # DEPENDENCYPART_ARC
(13,22),-0.635337 # DEPENDENCYPART_ARC
(13,23),-1.82399 # DEPENDENCYPART_ARC
(13,24),-1.61075 # DEPENDENCYPART_ARC
(13,25),-1.32458 # DEPENDENCYPART_ARC
(13,26),-1.68477 # DEPENDENCYPART_ARC
(13,27),-1.28848 # DEPENDENCYPART_ARC
(14,1),-0.269013 # DEPENDENCYPART_ARC
(14,2),-0.905141 # DEPENDENCYPART_ARC
(14,3),-0.0424501 # DEPENDENCYPART_ARC
(14,4),-1.9923 # DEPENDENCYPART_ARC
(14,5),-0.939757 # DEPENDENCYPART_ARC
(14,6),-0.770642 # DEPENDENCYPART_ARC
(14,7),-1.23667 # DEPENDENCYPART_ARC
(14,8),-0.58154 # DEPENDENCYPART_ARC
(14,9),0.227256 # DEPENDENCYPART_ARC
(14,10),-1.00656 # DEPENDENCYPART_ARC
(14,11),0.31043 # DEPENDENCYPART_ARC
(14,12),0.0642906 # DEPENDENCYPART_ARC
(14,13),2.23633 # DEPENDENCYPART_ARC
(14,15),1.99847 # DEPENDENCYPART_ARC
(14,16),-0.282921 # DEPENDENCYPART_ARC
(14,17),-0.237287 # DEPENDENCYPART_ARC
(14,18),-0.481943 # DEPENDENCYPART_ARC
(14,19),-0.33694 # DEPENDENCYPART_ARC
(14,20),-0.0630058 # DEPENDENCYPART_ARC
(14,21),-0.558479 # DEPENDENCYPART_ARC
(14,22),0.016415 # DEPENDENCYPART_ARC
(14,23),-0.946733 # DEPENDENCYPART_ARC
(14,24),-0.906023 # DEPENDENCYPART_ARC
(14,25),-0.804401 # DEPENDENCYPART_ARC
(14,26),-1.28299 # DEPENDENCYPART_ARC
(14,27),-1.69951 # DEPENDENCYPART_ARC
(15,1),-2.67911 # DEPENDENCYPART_ARC
(15,2),-2.53029 # DEPENDENCYPART_ARC
(15,3),-3.24451 # DEPENDENCYPART_ARC
(15,4),-2.87664 # DEPENDENCYPART_ARC
(15,5),-2.89305 # DEPENDENCYPART_ARC
(15,6),-2.06265 # DEPENDENCYPART_ARC
(15,7),-2.96133 # DEPENDENCYPART_ARC
(15,8),-1.87892 # DEPENDENCYPART_ARC
(15,9),-1.77929 # DEPENDENCYPART_ARC
(15,10),-2.47039 # DEPENDENCYPART_ARC
(15,11),-2.43979 # DEPENDENCYPART_ARC
(15,12),-1.19472 # DEPENDENCYPART_ARC
(15,13),-0.444148 # DEPENDENCYPART_ARC
(15,14),-0.620152 # DEPENDENCYPART_ARC
(15,16),1.88923 # DEPENDENCYPART_ARC
(15,17),-0.187252 # DEPENDENCYPART_ARC
(15,18),-0.709463 # DEPENDENCYPART_ARC
(15,19),-0.619187 # DEPENDENCYPART_ARC
(15,20),-0.540354 # DEPENDENCYPART_ARC
(15,21),-0.939555 # DEPENDENCYPART_ARC
(15,22),-0.504925 # DEPENDENCYPART_ARC
(15,23),-1.73937 # DEPENDENCYPART_ARC
(15,24),-1.44651 # DEPENDENCYPART_ARC
(15,25),-1.09054 # DEPENDENCYPART_ARC
(15,26),-1.32542 # DEPENDENCYPART_ARC
(15,27),-1.16042 # DEPENDENCYPART_ARC
(16,1),-2.12504 # DEPENDENCYPART_ARC
(16,2),-0.876373 # DEPENDENCYPART_ARC
(16,3),-2.84547 # DEPENDENCYPART_ARC
(16,4),-1.58261 # DEPENDENCYPART_ARC
(16,5),-2.48844 # DEPENDENCYPART_ARC
(16,6),-1.83117 # DEPENDENCYPART_ARC
(16,7),-1.89707 # DEPENDENCYPART_ARC
(16,8),-0.407585 # DEPENDENCYPART_ARC
(16,9),-1.38964 # DEPENDENCYPART_ARC
(16,10),-1.52144 # DEPENDENCYPART_ARC
(16,11),-1.55299 # DEPENDENCYPART_ARC
(16,12),-0.495293 # DEPENDENCYPART_ARC
(16,13),-1.01171 # DEPENDENCYPART_ARC
(16,14),0.0155897 # DEPENDENCYPART_ARC
(16,15),0.0560793 # DEPENDENCYPART_ARC
(16,17),1.58591 # DEPENDENCYPART_ARC
(16,18),0.204324 # DEPENDENCYPART_ARC
(16,19),-0.453091 # DEPENDENCYPART_ARC
(16,20),-1.38681 # DEPENDENCYPART_ARC
(16,21),-0.938239 # DEPENDENCYPART_ARC
(16,22),-0.967522 # DEPENDENCYPART_ARC
(16,23),-1.00614 # DEPENDENCYPART_ARC
(16,24),-1.40038 # DEPENDENCYPART_ARC
(16,25),-1.45026 # DEPENDENCYPART_ARC
(16,26),-0.506754 # DEPENDENCYPART_ARC
(16,27),-0.80606 # DEPENDENCYPART_ARC
(17,1),-1.58179 # DEPENDENCYPART_ARC
(17,2),-1.0087 # DEPENDENCYPART_ARC
(17,3),-1.58989 # DEPENDENCYPART_ARC
(17,4),-1.82379 # DEPENDENCYPART_ARC
(17,5),-1.31303 # DEPENDENCYPART_ARC
(17,6),-1.38816 # DEPENDENCYPART_ARC
(17,7),-1.4804 # DEPENDENCYPART_ARC
(17,8),-1.40829 # DEPENDENCYPART_ARC
(17,9),-0.923853 # DEPENDENCYPART_ARC
(17,10),-0.915299 # DEPENDENCYPART_ARC
(17,11),-1.19692 # DEPENDENCYPART_ARC
(17,12),-1.72659 # DEPENDENCYPART_ARC
(17,13),-0.987184 # DEPENDENCYPART_ARC
(17,14),-0.469696 # DEPENDENCYPART_ARC
(17,15),-0.770987 # DEPENDENCYPART_ARC
(17,16),-0.729268 # DEPENDENCYPART_ARC
(17,18),1.7547 # DEPENDENCYPART_ARC
(17,19),-0.950674 # DEPENDENCYPART_ARC
(17,20),-0.695908 # DEPENDENCYPART_ARC
(17,21),-1.30334 # DEPENDENCYPART_ARC
(17,22),-0.833551 # DEPENDENCYPART_ARC
(17,23),-0.833712 # DEPENDENCYPART_ARC
(17,24),-1.01562 # DEPENDENCYPART_ARC
(17,25),-1.20833 # DEPENDENCYPART_ARC
(17,26),-0.42761 # DEPENDENCYPART_ARC
(17,27),-0.386732 # DEPENDENCYPART_ARC
(18,1),-1.47921 # DEPENDENCYPART_ARC
(18,2),-1.6844 # DEPENDENCYPART_ARC
(18,3),-1.6224 # DEPENDENCYPART_ARC
(18,4),-2.10367 # DEPENDENCYPART_ARC
(18,5),-1.34974 # DEPENDENCYPART_ARC
(18,6),-1.59415 # DEPENDENCYPART_ARC
(18,7),-2.06719 # DEPENDENCYPART_ARC
(18,8),-1.69193 # DEPENDENCYPART_ARC
(18,9),-1.67383 # DEPENDENCYPART_ARC
(18,10),-1.29298 # DEPENDENCYPART_ARC
(18,11),-1.40322 # DEPENDENCYPART_ARC
(18,12),-1.98314 # DEPENDENCYPART_ARC
(18,13),-1.35426 # DEPENDENCYPART_ARC
(18,14),-1.20351 # DEPENDENCYPART_ARC
(18,15),-1.10978 # DEPENDENCYPART_ARC
(18,16),-1.62028 # DEPENDENCYPART_ARC
(18,17),-0.82267 # DEPENDENCYPART_ARC
(18,19),-1.11961 # DEPENDENCYPART_ARC
(18,20),-1.74143 # DEPENDENCYPART_ARC
(18,21),-1.56668 # DEPENDENCYPART_ARC
(18,22),-1.24 # DEPENDENCYPART_ARC
(18,23),-1.19931 # DEPENDENCYPART_ARC
(18,24),-1.93316 # DEPENDENCYPART_ARC
(18,25),-1.47334 # DEPENDENCYPART_ARC
(18,26),-0.67288 # DEPENDENCYPART_ARC
(18,27),-0.725903 # DEPENDENCYPART_ARC
(19,1),-4.27058 # DEPENDENCYPART_ARC
(19,2),-2.15924 # DEPENDENCYPART_ARC
(19,3),-5.51151 # DEPENDENCYPART_ARC
(19,4),-2.33715 # DEPENDENCYPART_ARC
(19,5),-6.94077 # DEPENDENCYPART_ARC
(19,6),-2.93191 # DEPENDENCYPART_ARC
(19,7),-2.43359 # DEPENDENCYPART_ARC
(19,8),-1.70661 # DEPENDENCYPART_ARC
