# _root_ bestalde , iñaki_sanchez preso ohia basaurin espetxeratu zuten atzo , ezarritako zigorra osorik bete dezan .
#goldHeads=0,3,4,7,4,7,0,7,7,9,12,14,14,7,14,15,
#predictedHeads=0,3,4,7,4,7,0,7,7,9,12,14,14,7,14,15,
(3,7),-2.43354 # DEPENDENCYPART_ARC
(3,9),-0.991384 # DEPENDENCYPART_ARC
(3,10),-0.810471 # DEPENDENCYPART_ARC
(3,11),-1.80137 # DEPENDENCYPART_ARC
(3,12),-2.60571 # DEPENDENCYPART_ARC
(3,13),-0.912869 # DEPENDENCYPART_ARC
(3,14),-1.63393 # DEPENDENCYPART_ARC
(3,16),-0.999872 # DEPENDENCYPART_ARC
(4,1),-0.886688 # DEPENDENCYPART_ARC
(4,2),-1.16824 # DEPENDENCYPART_ARC
(4,3),1.37624 # DEPENDENCYPART_ARC
(4,5),2.52782 # DEPENDENCYPART_ARC
(4,6),0.264888 # DEPENDENCYPART_ARC
(4,7),-0.602639 # DEPENDENCYPART_ARC
(4,8),-0.734496 # DEPENDENCYPART_ARC
(4,9),-0.884303 # DEPENDENCYPART_ARC
(4,10),-0.552686 # DEPENDENCYPART_ARC
(4,11),-0.659868 # DEPENDENCYPART_ARC
(4,12),-0.967092 # DEPENDENCYPART_ARC
(4,13),-0.804443 # DEPENDENCYPART_ARC
(4,14),-0.954816 # DEPENDENCYPART_ARC
(4,15),-1.14369 # DEPENDENCYPART_ARC
(4,16),-0.793769 # DEPENDENCYPART_ARC
(5,1),-1.14712 # DEPENDENCYPART_ARC
(5,2),-1.23649 # DEPENDENCYPART_ARC
(5,3),0.181556 # DEPENDENCYPART_ARC
(5,4),0.166107 # DEPENDENCYPART_ARC
(5,6),-1.40267 # DEPENDENCYPART_ARC
(5,7),-2.16949 # DEPENDENCYPART_ARC
(5,8),-1.80443 # DEPENDENCYPART_ARC
(5,9),-1.1587 # DEPENDENCYPART_ARC
(5,10),-0.915958 # DEPENDENCYPART_ARC
(5,11),-1.81092 # DEPENDENCYPART_ARC
(5,12),-1.62612 # DEPENDENCYPART_ARC
(5,13),-1.29967 # DEPENDENCYPART_ARC
(5,14),-1.90123 # DEPENDENCYPART_ARC
(5,15),-1.83153 # DEPENDENCYPART_ARC
(5,16),-1.07093 # DEPENDENCYPART_ARC
(6,2),-1.63864 # DEPENDENCYPART_ARC
(6,3),-1.99649 # DEPENDENCYPART_ARC
(6,4),0.251173 # DEPENDENCYPART_ARC
(6,5),-0.63134 # DEPENDENCYPART_ARC
(6,7),-1.80977 # DEPENDENCYPART_ARC
(6,9),-1.10496 # DEPENDENCYPART_ARC
(6,10),-0.956867 # DEPENDENCYPART_ARC
(6,11),-1.8214 # DEPENDENCYPART_ARC
(6,12),-1.80308 # DEPENDENCYPART_ARC
(6,13),-1.09872 # DEPENDENCYPART_ARC
(6,14),-1.75066 # DEPENDENCYPART_ARC
(6,16),-1.18445 # DEPENDENCYPART_ARC
(7,1),-0.0934182 # DEPENDENCYPART_ARC
(7,2),-1.54809 # DEPENDENCYPART_ARC
(7,3),0.294304 # DEPENDENCYPART_ARC
(7,4),0.342374 # DEPENDENCYPART_ARC
(7,5),0.118753 # DEPENDENCYPART_ARC
(7,6),1.86212 # DEPENDENCYPART_ARC
(7,8),2.23746 # DEPENDENCYPART_ARC
(7,9),1.54683 # DEPENDENCYPART_ARC
(7,10),-0.239509 # DEPENDENCYPART_ARC
(7,11),-0.380097 # DEPENDENCYPART_ARC
(7,12),0.662491 # DEPENDENCYPART_ARC
(7,13),-0.487183 # DEPENDENCYPART_ARC
(7,14),0.106436 # DEPENDENCYPART_ARC
(7,15),-0.22659 # DEPENDENCYPART_ARC
(7,16),-0.638795 # DEPENDENCYPART_ARC
(8,1),-1.92757 # DEPENDENCYPART_ARC
(8,2),-1.8064 # DEPENDENCYPART_ARC
(8,3),-1.50907 # DEPENDENCYPART_ARC
(8,4),-1.13717 # DEPENDENCYPART_ARC
(8,5),-1.89528 # DEPENDENCYPART_ARC
(8,6),-1.04817 # DEPENDENCYPART_ARC
(8,7),-1.60001 # DEPENDENCYPART_ARC
(8,9),-0.404914 # DEPENDENCYPART_ARC
(8,10),-0.861918 # DEPENDENCYPART_ARC
(8,11),-2.15411 # DEPENDENCYPART_ARC
(8,12),-3.01386 # DEPENDENCYPART_ARC
(8,13),-1.55737 # DEPENDENCYPART_ARC
(8,14),-2.50097 # DEPENDENCYPART_ARC
(8,15),-1.61936 # DEPENDENCYPART_ARC
(8,16),-1.43071 # DEPENDENCYPART_ARC
(9,1),-0.734409 # DEPENDENCYPART_ARC
(9,2),-1.43092 # DEPENDENCYPART_ARC
(9,3),-1.19648 # DEPENDENCYPART_ARC
(9,4),-1.18868 # DEPENDENCYPART_ARC
(9,5),-1.4113 # DEPENDENCYPART_ARC
(9,6),-0.813481 # DEPENDENCYPART_ARC
(9,7),-0.60134 # DEPENDENCYPART_ARC
(9,8),-0.301071 # DEPENDENCYPART_ARC
(9,10),1.39842 # DEPENDENCYPART_ARC
(9,11),-0.946568 # DEPENDENCYPART_ARC
(9,12),-0.934246 # DEPENDENCYPART_ARC
(9,13),-0.838931 # DEPENDENCYPART_ARC
(9,14),-1.33189 # DEPENDENCYPART_ARC
(9,15),-1.07929 # DEPENDENCYPART_ARC
(9,16),-0.575795 # DEPENDENCYPART_ARC
(10,3),-0.998492 # DEPENDENCYPART_ARC
(10,4),-1.0484 # DEPENDENCYPART_ARC
(10,5),-1.20343 # DEPENDENCYPART_ARC
(10,7),-0.564016 # DEPENDENCYPART_ARC
(10,8),-0.908324 # DEPENDENCYPART_ARC
(10,11),-0.279174 # DEPENDENCYPART_ARC
(10,12),-1.21701 # DEPENDENCYPART_ARC
(10,14),-1.0116 # DEPENDENCYPART_ARC
(10,15),-0.745947 # DEPENDENCYPART_ARC
(11,1),-0.745436 # DEPENDENCYPART_ARC
(11,2),-2.15167 # DEPENDENCYPART_ARC
(11,3),-1.03969 # DEPENDENCYPART_ARC
(11,4),-1.27733 # DEPENDENCYPART_ARC
(11,5),-1.20501 # DEPENDENCYPART_ARC
(11,6),-0.234177 # DEPENDENCYPART_ARC
(11,7),-0.92752 # DEPENDENCYPART_ARC
(11,8),-1.23527 # DEPENDENCYPART_ARC
(11,9),-0.53623 # DEPENDENCYPART_ARC
(11,10),-0.437103 # DEPENDENCYPART_ARC
(11,12),-0.994585 # DEPENDENCYPART_ARC
(11,13),-0.814943 # DEPENDENCYPART_ARC
(11,14),-0.780793 # DEPENDENCYPART_ARC
(11,15),-0.894136 # DEPENDENCYPART_ARC
(11,16),-1.26823 # DEPENDENCYPART_ARC
(12,1),-1.61117 # DEPENDENCYPART_ARC
(12,2),-1.58269 # DEPENDENCYPART_ARC
(12,3),-1.12985 # DEPENDENCYPART_ARC
(12,4),-1.19288 # DEPENDENCYPART_ARC
(12,5),-2.40567 # DEPENDENCYPART_ARC
(12,6),-2.64928 # DEPENDENCYPART_ARC
(12,7),-1.12562 # DEPENDENCYPART_ARC
(12,8),-1.78376 # DEPENDENCYPART_ARC
(12,9),-0.847477 # DEPENDENCYPART_ARC
(12,10),-0.507071 # DEPENDENCYPART_ARC
(12,11),2.67705 # DEPENDENCYPART_ARC
(12,13),0.00583007 # DEPENDENCYPART_ARC
(12,14),-1.0722 # DEPENDENCYPART_ARC
(12,15),-1.68781 # DEPENDENCYPART_ARC
(12,16),-1.07653 # DEPENDENCYPART_ARC
(13,1),-0.78737 # DEPENDENCYPART_ARC
(13,2),-1.75494 # DEPENDENCYPART_ARC
(13,3),-1.04557 # DEPENDENCYPART_ARC
(13,4),-1.24648 # DEPENDENCYPART_ARC
(13,5),-1.67946 # DEPENDENCYPART_ARC
(13,6),-1.08802 # DEPENDENCYPART_ARC
(13,7),-1.13181 # DEPENDENCYPART_ARC
(13,8),-1.26286 # DEPENDENCYPART_ARC
(13,9),-0.745727 # DEPENDENCYPART_ARC
(13,10),-0.821575 # DEPENDENCYPART_ARC
(13,11),-0.564982 # DEPENDENCYPART_ARC
(13,12),-0.0263743 # DEPENDENCYPART_ARC
(13,14),-0.318916 # DEPENDENCYPART_ARC
(13,15),-0.22463 # DEPENDENCYPART_ARC
(13,16),-0.0806558 # DEPENDENCYPART_ARC
(14,1),-0.51715 # DEPENDENCYPART_ARC
(14,2),-2.10944 # DEPENDENCYPART_ARC
(14,3),-1.27799 # DEPENDENCYPART_ARC
(14,4),-0.623013 # DEPENDENCYPART_ARC
(14,5),-0.567217 # DEPENDENCYPART_ARC
(14,6),-0.761004 # DEPENDENCYPART_ARC
(14,7),-0.323168 # DEPENDENCYPART_ARC
(14,8),-0.872461 # DEPENDENCYPART_ARC
(14,9),-0.210817 # DEPENDENCYPART_ARC
(14,10),-1.14123 # DEPENDENCYPART_ARC
(14,11),0.090471 # DEPENDENCYPART_ARC
(14,12),1.81093 # DEPENDENCYPART_ARC
(14,13),1.0727 # DEPENDENCYPART_ARC
(14,15),2.35411 # DEPENDENCYPART_ARC
(14,16),-0.362931 # DEPENDENCYPART_ARC
(15,1),-1.86066 # DEPENDENCYPART_ARC
(15,2),-1.73595 # DEPENDENCYPART_ARC
(15,3),-2.02782 # DEPENDENCYPART_ARC
(15,4),-1.35402 # DEPENDENCYPART_ARC
(15,5),-2.68813 # DEPENDENCYPART_ARC
(15,6),-2.24545 # DEPENDENCYPART_ARC
(15,7),-2.25453 # DEPENDENCYPART_ARC
(15,8),-1.21441 # DEPENDENCYPART_ARC
(15,9),-1.18858 # DEPENDENCYPART_ARC
(15,10),-1.5129 # DEPENDENCYPART_ARC
(15,11),-1.45511 # DEPENDENCYPART_ARC
(15,12),-0.684597 # DEPENDENCYPART_ARC
(15,13),-0.690146 # DEPENDENCYPART_ARC
(15,14),-0.542488 # DEPENDENCYPART_ARC
(15,16),1.85305 # DEPENDENCYPART_ARC
(16,2),-1.41607 # DEPENDENCYPART_ARC
(16,4),-1.25269 # DEPENDENCYPART_ARC
(16,6),-1.09332 # DEPENDENCYPART_ARC
(16,7),-1.71162 # DEPENDENCYPART_ARC
(16,10),-1.23278 # DEPENDENCYPART_ARC
(16,11),-1.28043 # DEPENDENCYPART_ARC
(16,12),-0.854692 # DEPENDENCYPART_ARC
(16,14),-0.855913 # DEPENDENCYPART_ARC
