# _root_ hura ikustean arkitektoa izan behar_nuen burutazioa sartu zitzaion aitari , etxetxoak ganbarara bazterreratu eta traste_artean zapuztu , potortu eta hautsatu ziren arte .
#goldHeads=2,7,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,14,7,14,20,21,22,
#predictedHeads=2,3,4,5,6,7,14,7,7,9,13,13,14,18,16,14,16,19,0,19,20,20,22,
(1,18),-2.30733 # DEPENDENCYPART_ARC
(1,19),-2.99174 # DEPENDENCYPART_ARC
(1,20),-2.66804 # DEPENDENCYPART_ARC
(1,22),-3.61599 # DEPENDENCYPART_ARC
(1,23),-3.25734 # DEPENDENCYPART_ARC
(2,1),1.22246 # DEPENDENCYPART_ARC
(2,3),0.430567 # DEPENDENCYPART_ARC
(2,4),-0.0119091 # DEPENDENCYPART_ARC
(2,5),-0.183379 # DEPENDENCYPART_ARC
(2,6),-0.808679 # DEPENDENCYPART_ARC
(2,7),-1.27126 # DEPENDENCYPART_ARC
(2,8),-1.38916 # DEPENDENCYPART_ARC
(2,9),-0.53594 # DEPENDENCYPART_ARC
(2,10),-0.703351 # DEPENDENCYPART_ARC
(2,11),-1.55891 # DEPENDENCYPART_ARC
(2,12),-1.08416 # DEPENDENCYPART_ARC
(2,13),-0.913475 # DEPENDENCYPART_ARC
(2,14),-0.214105 # DEPENDENCYPART_ARC
(2,15),-2.30476 # DEPENDENCYPART_ARC
(2,16),-1.03704 # DEPENDENCYPART_ARC
(2,17),-0.480349 # DEPENDENCYPART_ARC
(2,18),-1.56618 # DEPENDENCYPART_ARC
(2,19),-0.428125 # DEPENDENCYPART_ARC
(2,20),-2.43582 # DEPENDENCYPART_ARC
(2,21),-1.16722 # DEPENDENCYPART_ARC
(2,22),-2.71795 # DEPENDENCYPART_ARC
(2,23),-1.86458 # DEPENDENCYPART_ARC
(3,1),-2.32477 # DEPENDENCYPART_ARC
(3,2),2.09282 # DEPENDENCYPART_ARC
(3,4),0.954823 # DEPENDENCYPART_ARC
(3,5),-0.478264 # DEPENDENCYPART_ARC
(3,6),-0.638189 # DEPENDENCYPART_ARC
(3,7),-1.87052 # DEPENDENCYPART_ARC
(3,8),-0.943681 # DEPENDENCYPART_ARC
(3,9),-1.42402 # DEPENDENCYPART_ARC
(3,10),-0.532609 # DEPENDENCYPART_ARC
(3,11),-1.32047 # DEPENDENCYPART_ARC
(3,12),-1.09888 # DEPENDENCYPART_ARC
(3,13),-1.06078 # DEPENDENCYPART_ARC
(3,14),-0.802047 # DEPENDENCYPART_ARC
(3,15),-1.45354 # DEPENDENCYPART_ARC
(3,16),-1.3741 # DEPENDENCYPART_ARC
(3,17),-1.42987 # DEPENDENCYPART_ARC
(3,18),-1.34402 # DEPENDENCYPART_ARC
(3,19),-1.05059 # DEPENDENCYPART_ARC
(3,20),-2.55318 # DEPENDENCYPART_ARC
(3,21),-1.33125 # DEPENDENCYPART_ARC
(3,22),-0.977805 # DEPENDENCYPART_ARC
(3,23),-0.690306 # DEPENDENCYPART_ARC
(4,1),-0.255488 # DEPENDENCYPART_ARC
(4,2),0.569778 # DEPENDENCYPART_ARC
(4,3),2.01146 # DEPENDENCYPART_ARC
(4,5),0.411644 # DEPENDENCYPART_ARC
(4,6),0.428975 # DEPENDENCYPART_ARC
(4,7),-0.172957 # DEPENDENCYPART_ARC
(4,8),-0.0874499 # DEPENDENCYPART_ARC
(4,9),0.368381 # DEPENDENCYPART_ARC
(4,10),-0.852511 # DEPENDENCYPART_ARC
(4,11),-1.029 # DEPENDENCYPART_ARC
(4,12),-0.536091 # DEPENDENCYPART_ARC
(4,13),-0.319056 # DEPENDENCYPART_ARC
(4,14),-0.63298 # DEPENDENCYPART_ARC
(4,15),-1.22736 # DEPENDENCYPART_ARC
(4,16),-0.579353 # DEPENDENCYPART_ARC
(4,17),-0.896745 # DEPENDENCYPART_ARC
(4,18),-1.01159 # DEPENDENCYPART_ARC
(4,19),-0.976119 # DEPENDENCYPART_ARC
(4,20),-1.50738 # DEPENDENCYPART_ARC
(4,21),-0.841019 # DEPENDENCYPART_ARC
(4,22),-2.02959 # DEPENDENCYPART_ARC
(4,23),-1.77573 # DEPENDENCYPART_ARC
(5,1),-0.09793 # DEPENDENCYPART_ARC
(5,2),1.49431 # DEPENDENCYPART_ARC
(5,3),0.717668 # DEPENDENCYPART_ARC
(5,4),1.91539 # DEPENDENCYPART_ARC
(5,6),-1.92541 # DEPENDENCYPART_ARC
(5,7),-1.85549 # DEPENDENCYPART_ARC
(5,8),-0.221227 # DEPENDENCYPART_ARC
(5,9),-1.84073 # DEPENDENCYPART_ARC
(5,10),-0.976323 # DEPENDENCYPART_ARC
(5,11),-3.84976 # DEPENDENCYPART_ARC
(5,12),-3.17986 # DEPENDENCYPART_ARC
(5,13),-0.86034 # DEPENDENCYPART_ARC
(5,14),-0.417434 # DEPENDENCYPART_ARC
(5,15),-4.58231 # DEPENDENCYPART_ARC
(5,16),-0.974083 # DEPENDENCYPART_ARC
(5,17),-0.85798 # DEPENDENCYPART_ARC
(5,18),-1.50424 # DEPENDENCYPART_ARC
(5,19),-0.853367 # DEPENDENCYPART_ARC
(5,20),-3.08787 # DEPENDENCYPART_ARC
(5,21),-0.420092 # DEPENDENCYPART_ARC
(5,22),-4.25868 # DEPENDENCYPART_ARC
(5,23),-1.87053 # DEPENDENCYPART_ARC
(6,1),-3.86334 # DEPENDENCYPART_ARC
(6,2),-0.420273 # DEPENDENCYPART_ARC
(6,3),-2.3658 # DEPENDENCYPART_ARC
(6,4),0.321457 # DEPENDENCYPART_ARC
(6,5),1.84673 # DEPENDENCYPART_ARC
(6,7),-1.24446 # DEPENDENCYPART_ARC
(6,8),-0.951054 # DEPENDENCYPART_ARC
(6,9),-2.02815 # DEPENDENCYPART_ARC
(6,10),-0.827545 # DEPENDENCYPART_ARC
(6,11),-1.64158 # DEPENDENCYPART_ARC
(6,12),-1.36806 # DEPENDENCYPART_ARC
(6,13),-1.30985 # DEPENDENCYPART_ARC
(6,14),-1.08049 # DEPENDENCYPART_ARC
(6,15),-2.35386 # DEPENDENCYPART_ARC
(6,16),-1.35896 # DEPENDENCYPART_ARC
(6,17),-1.66032 # DEPENDENCYPART_ARC
(6,18),-1.69102 # DEPENDENCYPART_ARC
(6,19),-1.45574 # DEPENDENCYPART_ARC
(6,20),-3.06659 # DEPENDENCYPART_ARC
(6,21),-1.67481 # DEPENDENCYPART_ARC
(6,22),-1.68897 # DEPENDENCYPART_ARC
(6,23),-1.13383 # DEPENDENCYPART_ARC
(7,1),0.0516707 # DEPENDENCYPART_ARC
(7,2),0.903526 # DEPENDENCYPART_ARC
(7,3),0.400169 # DEPENDENCYPART_ARC
(7,4),0.153192 # DEPENDENCYPART_ARC
(7,5),0.751426 # DEPENDENCYPART_ARC
(7,6),2.06244 # DEPENDENCYPART_ARC
(7,8),2.12214 # DEPENDENCYPART_ARC
(7,9),1.93454 # DEPENDENCYPART_ARC
(7,10),-0.370941 # DEPENDENCYPART_ARC
(7,11),-0.216865 # DEPENDENCYPART_ARC
(7,12),0.357235 # DEPENDENCYPART_ARC
(7,13),0.0517734 # DEPENDENCYPART_ARC
(7,14),-0.050669 # DEPENDENCYPART_ARC
(7,15),-1.10611 # DEPENDENCYPART_ARC
(7,16),-0.169257 # DEPENDENCYPART_ARC
(7,17),-0.342238 # DEPENDENCYPART_ARC
(7,18),-0.752085 # DEPENDENCYPART_ARC
(7,19),-0.371341 # DEPENDENCYPART_ARC
(7,20),-1.66754 # DEPENDENCYPART_ARC
(7,21),0.0717767 # DEPENDENCYPART_ARC
(7,22),-0.949752 # DEPENDENCYPART_ARC
(7,23),-1.19707 # DEPENDENCYPART_ARC
(8,1),-1.36186 # DEPENDENCYPART_ARC
(8,2),-1.79819 # DEPENDENCYPART_ARC
(8,3),-1.78716 # DEPENDENCYPART_ARC
(8,4),-2.13484 # DEPENDENCYPART_ARC
(8,5),-2.30199 # DEPENDENCYPART_ARC
(8,6),-0.816333 # DEPENDENCYPART_ARC
(8,7),-1.62246 # DEPENDENCYPART_ARC
(8,9),-0.506385 # DEPENDENCYPART_ARC
(8,10),-0.323334 # DEPENDENCYPART_ARC
(8,11),-2.32422 # DEPENDENCYPART_ARC
(8,12),-2.10093 # DEPENDENCYPART_ARC
(8,13),-1.59279 # DEPENDENCYPART_ARC
(8,14),-1.66365 # DEPENDENCYPART_ARC
(8,15),-2.17546 # DEPENDENCYPART_ARC
(8,16),-1.82841 # DEPENDENCYPART_ARC
(8,17),-1.36076 # DEPENDENCYPART_ARC
(8,18),-1.78509 # DEPENDENCYPART_ARC
(8,19),-2.08273 # DEPENDENCYPART_ARC
(8,20),-2.40696 # DEPENDENCYPART_ARC
(8,21),-1.07772 # DEPENDENCYPART_ARC
(8,22),-2.45913 # DEPENDENCYPART_ARC
(8,23),-1.6607 # DEPENDENCYPART_ARC
(9,1),-3.21143 # DEPENDENCYPART_ARC
(9,2),-1.54441 # DEPENDENCYPART_ARC
(9,3),-2.91893 # DEPENDENCYPART_ARC
(9,4),-0.638933 # DEPENDENCYPART_ARC
(9,5),-0.022775 # DEPENDENCYPART_ARC
(9,6),-1.85752 # DEPENDENCYPART_ARC
(9,7),0.346515 # DEPENDENCYPART_ARC
(9,8),-0.666563 # DEPENDENCYPART_ARC
(9,10),1.57578 # DEPENDENCYPART_ARC
(9,11),-0.658114 # DEPENDENCYPART_ARC
(9,12),-0.643076 # DEPENDENCYPART_ARC
(9,13),-0.952309 # DEPENDENCYPART_ARC
(9,14),-0.956881 # DEPENDENCYPART_ARC
(9,15),-1.42951 # DEPENDENCYPART_ARC
(9,16),-1.11144 # DEPENDENCYPART_ARC
(9,17),-0.947549 # DEPENDENCYPART_ARC
(9,18),-1.22121 # DEPENDENCYPART_ARC
(9,19),-0.952796 # DEPENDENCYPART_ARC
(9,20),-2.28049 # DEPENDENCYPART_ARC
(9,21),-2.0304 # DEPENDENCYPART_ARC
(9,22),-1.75831 # DEPENDENCYPART_ARC
(9,23),-0.506139 # DEPENDENCYPART_ARC
(10,2),-0.600452 # DEPENDENCYPART_ARC
(10,3),-0.883591 # DEPENDENCYPART_ARC
(10,4),-0.811858 # DEPENDENCYPART_ARC
(10,5),-0.736623 # DEPENDENCYPART_ARC
(10,6),-0.702017 # DEPENDENCYPART_ARC
(10,7),-0.42245 # DEPENDENCYPART_ARC
(10,8),-0.873085 # DEPENDENCYPART_ARC
(10,9),-0.160776 # DEPENDENCYPART_ARC
(10,11),-0.32088 # DEPENDENCYPART_ARC
(10,12),-0.908084 # DEPENDENCYPART_ARC
(10,13),-0.733362 # DEPENDENCYPART_ARC
(10,14),-1.25067 # DEPENDENCYPART_ARC
(10,15),-1.21623 # DEPENDENCYPART_ARC
(10,16),-0.931453 # DEPENDENCYPART_ARC
(10,18),-1.23234 # DEPENDENCYPART_ARC
(10,19),-1.53629 # DEPENDENCYPART_ARC
(10,20),-0.893895 # DEPENDENCYPART_ARC
(10,21),-1.11169 # DEPENDENCYPART_ARC
(10,22),-2.06557 # DEPENDENCYPART_ARC
(11,1),-4.59385 # DEPENDENCYPART_ARC
(11,2),-1.89827 # DEPENDENCYPART_ARC
(11,3),-3.86096 # DEPENDENCYPART_ARC
(11,4),-1.2087 # DEPENDENCYPART_ARC
(11,5),-0.751934 # DEPENDENCYPART_ARC
(11,6),-3.1698 # DEPENDENCYPART_ARC
(11,7),-1.01519 # DEPENDENCYPART_ARC
(11,8),-1.97717 # DEPENDENCYPART_ARC
(11,9),-2.022 # DEPENDENCYPART_ARC
(11,10),0.049439 # DEPENDENCYPART_ARC
(11,12),0.234427 # DEPENDENCYPART_ARC
(11,13),-1.30348 # DEPENDENCYPART_ARC
(11,14),-1.29212 # DEPENDENCYPART_ARC
(11,15),-2.07508 # DEPENDENCYPART_ARC
(11,16),-1.69548 # DEPENDENCYPART_ARC
(11,17),-1.46914 # DEPENDENCYPART_ARC
(11,18),-1.93778 # DEPENDENCYPART_ARC
(11,19),-1.42822 # DEPENDENCYPART_ARC
(11,20),-3.16473 # DEPENDENCYPART_ARC
(11,21),-1.47187 # DEPENDENCYPART_ARC
(11,22),-1.76933 # DEPENDENCYPART_ARC
(11,23),-1.23599 # DEPENDENCYPART_ARC
(12,1),-4.36801 # DEPENDENCYPART_ARC
(12,2),-2.29841 # DEPENDENCYPART_ARC
(12,3),-3.95186 # DEPENDENCYPART_ARC
(12,4),-1.61924 # DEPENDENCYPART_ARC
(12,5),-1.85254 # DEPENDENCYPART_ARC
(12,6),-3.78695 # DEPENDENCYPART_ARC
(12,7),-1.41008 # DEPENDENCYPART_ARC
(12,8),-2.08621 # DEPENDENCYPART_ARC
(12,9),-2.65081 # DEPENDENCYPART_ARC
(12,10),-0.916289 # DEPENDENCYPART_ARC
(12,11),-0.420556 # DEPENDENCYPART_ARC
(12,13),-0.111754 # DEPENDENCYPART_ARC
(12,14),-0.584328 # DEPENDENCYPART_ARC
(12,15),-1.86754 # DEPENDENCYPART_ARC
(12,16),-1.50169 # DEPENDENCYPART_ARC
(12,17),-1.11538 # DEPENDENCYPART_ARC
(12,18),-1.60902 # DEPENDENCYPART_ARC
(12,19),-0.980504 # DEPENDENCYPART_ARC
(12,20),-3.10503 # DEPENDENCYPART_ARC
(12,21),-2.23542 # DEPENDENCYPART_ARC
(12,22),-1.27961 # DEPENDENCYPART_ARC
(12,23),-0.91831 # DEPENDENCYPART_ARC
(13,1),-0.342334 # DEPENDENCYPART_ARC
(13,2),-0.567021 # DEPENDENCYPART_ARC
(13,3),-0.494234 # DEPENDENCYPART_ARC
(13,4),-1.01634 # DEPENDENCYPART_ARC
(13,5),-0.818943 # DEPENDENCYPART_ARC
(13,6),-0.0854724 # DEPENDENCYPART_ARC
(13,7),-0.578247 # DEPENDENCYPART_ARC
(13,8),-0.654984 # DEPENDENCYPART_ARC
(13,9),-0.072029 # DEPENDENCYPART_ARC
(13,10),-1.1185 # DEPENDENCYPART_ARC
(13,11),1.58767 # DEPENDENCYPART_ARC
(13,12),2.26296 # DEPENDENCYPART_ARC
(13,14),-0.0152899 # DEPENDENCYPART_ARC
(13,15),-0.445684 # DEPENDENCYPART_ARC
(13,16),-0.297337 # DEPENDENCYPART_ARC
(13,17),-0.83955 # DEPENDENCYPART_ARC
(13,18),-0.706451 # DEPENDENCYPART_ARC
(13,19),-0.947016 # DEPENDENCYPART_ARC
(13,20),-1.12407 # DEPENDENCYPART_ARC
(13,21),-0.36766 # DEPENDENCYPART_ARC
(13,22),-1.58692 # DEPENDENCYPART_ARC
(13,23),-1.39976 # DEPENDENCYPART_ARC
(14,1),-1.28013 # DEPENDENCYPART_ARC
(14,2),-1.10946 # DEPENDENCYPART_ARC
(14,3),-1.17986 # DEPENDENCYPART_ARC
(14,4),-1.00282 # DEPENDENCYPART_ARC
(14,5),-1.11993 # DEPENDENCYPART_ARC
(14,6),-0.573936 # DEPENDENCYPART_ARC
(14,7),0.152684 # DEPENDENCYPART_ARC
(14,8),-1.16872 # DEPENDENCYPART_ARC
(14,9),-0.213607 # DEPENDENCYPART_ARC
(14,10),-1.44249 # DEPENDENCYPART_ARC
(14,11),0.0555493 # DEPENDENCYPART_ARC
(14,12),-0.178203 # DEPENDENCYPART_ARC
(14,13),2.5573 # DEPENDENCYPART_ARC
(14,15),1.08866 # DEPENDENCYPART_ARC
(14,16),1.19961 # DEPENDENCYPART_ARC
(14,17),-0.394673 # DEPENDENCYPART_ARC
(14,18),0.244178 # DEPENDENCYPART_ARC
(14,19),-0.319098 # DEPENDENCYPART_ARC
(14,20),0.51008 # DEPENDENCYPART_ARC
(14,21),-0.392277 # DEPENDENCYPART_ARC
(14,22),-1.22172 # DEPENDENCYPART_ARC
(14,23),-0.909796 # DEPENDENCYPART_ARC
(15,1),-6.04574 # DEPENDENCYPART_ARC
(15,2),-2.67558 # DEPENDENCYPART_ARC
(15,3),-5.46962 # DEPENDENCYPART_ARC
(15,4),-2.52215 # DEPENDENCYPART_ARC
(15,5),-0.814716 # DEPENDENCYPART_ARC
(15,6),-4.70271 # DEPENDENCYPART_ARC
(15,7),-2.1195 # DEPENDENCYPART_ARC
(15,8),-3.06174 # DEPENDENCYPART_ARC
(15,9),-4.67345 # DEPENDENCYPART_ARC
(15,10),-2.34017 # DEPENDENCYPART_ARC
(15,11),-4.00996 # DEPENDENCYPART_ARC
(15,12),-2.654 # DEPENDENCYPART_ARC
(15,13),-0.335843 # DEPENDENCYPART_ARC
(15,14),-0.789403 # DEPENDENCYPART_ARC
(15,16),-0.662958 # DEPENDENCYPART_ARC
(15,17),-0.367249 # DEPENDENCYPART_ARC
(15,18),-1.68223 # DEPENDENCYPART_ARC
(15,19),-1.19833 # DEPENDENCYPART_ARC
(15,20),-3.31916 # DEPENDENCYPART_ARC
(15,21),-2.29635 # DEPENDENCYPART_ARC
(15,22),-1.6991 # DEPENDENCYPART_ARC
(15,23),-0.925901 # DEPENDENCYPART_ARC
(16,1),-0.026646 # DEPENDENCYPART_ARC
(16,2),-0.376845 # DEPENDENCYPART_ARC
(16,3),-0.584089 # DEPENDENCYPART_ARC
(16,4),-1.00735 # DEPENDENCYPART_ARC
(16,5),-0.931696 # DEPENDENCYPART_ARC
(16,6),-0.198601 # DEPENDENCYPART_ARC
(16,7),-0.463074 # DEPENDENCYPART_ARC
(16,8),-0.3869 # DEPENDENCYPART_ARC
(16,9),-0.488855 # DEPENDENCYPART_ARC
(16,10),-1.43578 # DEPENDENCYPART_ARC
(16,11),0.465372 # DEPENDENCYPART_ARC
(16,12),0.708093 # DEPENDENCYPART_ARC
(16,13),0.234431 # DEPENDENCYPART_ARC
(16,14),0.322963 # DEPENDENCYPART_ARC
(16,15),2.35216 # DEPENDENCYPART_ARC
(16,17),1.4661 # DEPENDENCYPART_ARC
(16,18),0.275127 # DEPENDENCYPART_ARC
(16,19),-0.19211 # DEPENDENCYPART_ARC
(16,20),-0.360155 # DEPENDENCYPART_ARC
(16,21),0.471787 # DEPENDENCYPART_ARC
(16,22),-0.786022 # DEPENDENCYPART_ARC
(16,23),-0.559703 # DEPENDENCYPART_ARC
(17,2),-0.6326 # DEPENDENCYPART_ARC
(17,3),-0.843409 # DEPENDENCYPART_ARC
(17,4),-0.854368 # DEPENDENCYPART_ARC
(17,5),-0.874762 # DEPENDENCYPART_ARC
(17,6),-0.888801 # DEPENDENCYPART_ARC
(17,7),-0.848341 # DEPENDENCYPART_ARC
(17,8),-1.00584 # DEPENDENCYPART_ARC
(17,9),-1.02936 # DEPENDENCYPART_ARC
(17,11),-0.800907 # DEPENDENCYPART_ARC
(17,12),-0.74461 # DEPENDENCYPART_ARC
(17,13),-0.591001 # DEPENDENCYPART_ARC
(17,14),-0.155106 # DEPENDENCYPART_ARC
(17,15),-0.35111 # DEPENDENCYPART_ARC
(17,16),0.534214 # DEPENDENCYPART_ARC
(17,18),0.0394495 # DEPENDENCYPART_ARC
(17,19),-0.615783 # DEPENDENCYPART_ARC
(17,20),-0.453031 # DEPENDENCYPART_ARC
(17,21),-0.664408 # DEPENDENCYPART_ARC
(17,22),-1.37413 # DEPENDENCYPART_ARC
(18,1),-0.842689 # DEPENDENCYPART_ARC
(18,2),-1.03167 # DEPENDENCYPART_ARC
(18,3),-1.69767 # DEPENDENCYPART_ARC
(18,4),-1.77371 # DEPENDENCYPART_ARC
(18,5),-1.44225 # DEPENDENCYPART_ARC
(18,6),-1.4033 # DEPENDENCYPART_ARC
(18,7),-1.42437 # DEPENDENCYPART_ARC
(18,8),-1.43453 # DEPENDENCYPART_ARC
(18,9),-1.13627 # DEPENDENCYPART_ARC
(18,10),-1.93476 # DEPENDENCYPART_ARC
(18,11),-0.339522 # DEPENDENCYPART_ARC
(18,12),-0.789413 # DEPENDENCYPART_ARC
(18,13),-1.06333 # DEPENDENCYPART_ARC
(18,14),0.018496 # DEPENDENCYPART_ARC
(18,15),0.020472 # DEPENDENCYPART_ARC
(18,16),-0.356611 # DEPENDENCYPART_ARC
(18,17),-0.580267 # DEPENDENCYPART_ARC
(18,19),-0.0356608 # DEPENDENCYPART_ARC
(18,20),-0.0370068 # DEPENDENCYPART_ARC
(18,21),0.367662 # DEPENDENCYPART_ARC
(18,22),-0.035213 # DEPENDENCYPART_ARC
(18,23),-0.903453 # DEPENDENCYPART_ARC
(19,1),-1.24799 # DEPENDENCYPART_ARC
(19,2),-1.43916 # DEPENDENCYPART_ARC
(19,3),-2.08678 # DEPENDENCYPART_ARC
(19,4),-1.89266 # DEPENDENCYPART_ARC
(19,5),-1.40838 # DEPENDENCYPART_ARC
(19,6),-1.52156 # DEPENDENCYPART_ARC
(19,7),-0.867917 # DEPENDENCYPART_ARC
(19,8),-1.22014 # DEPENDENCYPART_ARC
(19,9),-1.4284 # DEPENDENCYPART_ARC
(19,10),-1.67182 # DEPENDENCYPART_ARC
(19,11),-1.30724 # DEPENDENCYPART_ARC
(19,12),-1.74031 # DEPENDENCYPART_ARC
(19,13),0.154508 # DEPENDENCYPART_ARC
(19,14),-0.195831 # DEPENDENCYPART_ARC
(19,15),-0.98728 # DEPENDENCYPART_ARC
(19,16),0.719443 # DEPENDENCYPART_ARC
(19,17),-0.855512 # DEPENDENCYPART_ARC
(19,18),2.21786 # DEPENDENCYPART_ARC
(19,20),1.95128 # DEPENDENCYPART_ARC
(19,21),0.313347 # DEPENDENCYPART_ARC
(19,22),-0.30264 # DEPENDENCYPART_ARC
(19,23),-0.453717 # DEPENDENCYPART_ARC
(20,1),-1.08692 # DEPENDENCYPART_ARC
(20,2),-0.918947 # DEPENDENCYPART_ARC
(20,3),-2.48499 # DEPENDENCYPART_ARC
(20,4),-1.76451 # DEPENDENCYPART_ARC
(20,5),-2.02382 # DEPENDENCYPART_ARC
(20,6),-2.23441 # DEPENDENCYPART_ARC
(20,7),-0.896072 # DEPENDENCYPART_ARC
(20,8),-2.10038 # DEPENDENCYPART_ARC
(20,9),-1.78335 # DEPENDENCYPART_ARC
(20,10),-2.50434 # DEPENDENCYPART_ARC
(20,11),-1.0917 # DEPENDENCYPART_ARC
(20,12),-1.47504 # DEPENDENCYPART_ARC
(20,13),-1.11906 # DEPENDENCYPART_ARC
(20,14),-1.00956 # DEPENDENCYPART_ARC
(20,15),-0.916981 # DEPENDENCYPART_ARC
(20,16),-0.847772 # DEPENDENCYPART_ARC
(20,17),-1.44101 # DEPENDENCYPART_ARC
(20,18),0.127681 # DEPENDENCYPART_ARC
(20,19),-0.409751 # DEPENDENCYPART_ARC
(20,21),2.45939 # DEPENDENCYPART_ARC
(20,22),1.32079 # DEPENDENCYPART_ARC
(20,23),-0.178897 # DEPENDENCYPART_ARC
(21,1),-1.81579 # DEPENDENCYPART_ARC
(21,2),-1.21753 # DEPENDENCYPART_ARC
(21,3),-2.23909 # DEPENDENCYPART_ARC
(21,4),-1.85095 # DEPENDENCYPART_ARC
(21,5),-1.8145 # DEPENDENCYPART_ARC
(21,6),-2.12195 # DEPENDENCYPART_ARC
(21,7),-2.23016 # DEPENDENCYPART_ARC
(21,8),-1.6441 # DEPENDENCYPART_ARC
(21,9),-1.59419 # DEPENDENCYPART_ARC
(21,10),-1.89113 # DEPENDENCYPART_ARC
(21,11),-1.8272 # DEPENDENCYPART_ARC
(21,12),-2.40261 # DEPENDENCYPART_ARC
(21,13),-1.94255 # DEPENDENCYPART_ARC
(21,14),-1.27451 # DEPENDENCYPART_ARC
(21,15),-1.62056 # DEPENDENCYPART_ARC
(21,16),-1.97168 # DEPENDENCYPART_ARC
(21,17),-1.41562 # DEPENDENCYPART_ARC
(21,18),-1.53455 # DEPENDENCYPART_ARC
(21,19),-1.01846 # DEPENDENCYPART_ARC
(21,20),-0.97665 # DEPENDENCYPART_ARC
(21,22),0.328868 # DEPENDENCYPART_ARC
(21,23),0.2342 # DEPENDENCYPART_ARC
(22,1),-4.98053 # DEPENDENCYPART_ARC
(22,2),-3.51216 # DEPENDENCYPART_ARC
(22,3),-4.98173 # DEPENDENCYPART_ARC
(22,4),-2.8216 # DEPENDENCYPART_ARC
(22,5),-2.91976 # DEPENDENCYPART_ARC
(22,6),-4.36715 # DEPENDENCYPART_ARC
(22,7),-2.95764 # DEPENDENCYPART_ARC
(22,8),-3.21875 # DEPENDENCYPART_ARC
(22,9),-3.81148 # DEPENDENCYPART_ARC
(22,10),-2.24171 # DEPENDENCYPART_ARC
(22,11),-3.32514 # DEPENDENCYPART_ARC
(22,12),-2.82139 # DEPENDENCYPART_ARC
(22,13),-1.92579 # DEPENDENCYPART_ARC
(22,14),-1.42107 # DEPENDENCYPART_ARC
(22,15),-2.83431 # DEPENDENCYPART_ARC
(22,16),-1.69139 # DEPENDENCYPART_ARC
(22,17),-1.98578 # DEPENDENCYPART_ARC
(22,18),-0.767545 # DEPENDENCYPART_ARC
(22,19),-0.744847 # DEPENDENCYPART_ARC
(22,20),-0.673736 # DEPENDENCYPART_ARC
(22,21),-1.32977 # DEPENDENCYPART_ARC
(22,23),2.12558 # DEPENDENCYPART_ARC
(23,2),-2.08807 # DEPENDENCYPART_ARC
(23,3),-1.71172 # DEPENDENCYPART_ARC
(23,4),-2.10362 # DEPENDENCYPART_ARC
(23,6),-1.77172 # DEPENDENCYPART_ARC
(23,7),-2.01184 # DEPENDENCYPART_ARC
(23,9),-2.2246 # DEPENDENCYPART_ARC
(23,10),-1.70389 # DEPENDENCYPART_ARC
