# _root_ kasu honetan gutuna posta arruntaren_bidez etorri da , eta etako presoek bizi duten egoeraren erantzule egiten gaituzte " , azaldu zuen .
#goldHeads=6,1,6,6,4,9,6,7,20,11,12,14,12,15,16,9,16,17,18,0,0,21,
#predictedHeads=6,1,6,6,4,9,6,7,0,11,12,9,12,15,16,9,16,17,18,0,20,21,
(7,14),-1.75548 # DEPENDENCYPART_ARC
(7,15),-1.3189 # DEPENDENCYPART_ARC
(7,16),-2.06248 # DEPENDENCYPART_ARC
(7,17),-1.1307 # DEPENDENCYPART_ARC
(7,18),-0.592455 # DEPENDENCYPART_ARC
(7,19),-1.75421 # DEPENDENCYPART_ARC
(7,20),-2.6213 # DEPENDENCYPART_ARC
(7,21),-1.21103 # DEPENDENCYPART_ARC
(7,22),-1.22406 # DEPENDENCYPART_ARC
(8,1),-1.29386 # DEPENDENCYPART_ARC
(8,3),-1.04628 # DEPENDENCYPART_ARC
(8,4),-0.972503 # DEPENDENCYPART_ARC
(8,6),-0.544059 # DEPENDENCYPART_ARC
(8,7),-0.344207 # DEPENDENCYPART_ARC
(8,9),-0.619282 # DEPENDENCYPART_ARC
(8,10),-1.46175 # DEPENDENCYPART_ARC
(8,11),-1.30647 # DEPENDENCYPART_ARC
(8,12),-1.43357 # DEPENDENCYPART_ARC
(8,13),-1.33873 # DEPENDENCYPART_ARC
(8,14),-1.75734 # DEPENDENCYPART_ARC
(8,15),-1.77159 # DEPENDENCYPART_ARC
(8,16),-1.81239 # DEPENDENCYPART_ARC
(8,17),-1.5299 # DEPENDENCYPART_ARC
(8,18),-1.20856 # DEPENDENCYPART_ARC
(8,20),-1.45788 # DEPENDENCYPART_ARC
(8,21),-1.58586 # DEPENDENCYPART_ARC
(9,1),-0.0446596 # DEPENDENCYPART_ARC
(9,2),-1.23876 # DEPENDENCYPART_ARC
(9,3),-0.959129 # DEPENDENCYPART_ARC
(9,4),-0.428314 # DEPENDENCYPART_ARC
(9,5),-0.953149 # DEPENDENCYPART_ARC
(9,6),1.90526 # DEPENDENCYPART_ARC
(9,7),-0.410007 # DEPENDENCYPART_ARC
(9,8),-0.234843 # DEPENDENCYPART_ARC
(9,10),0.415459 # DEPENDENCYPART_ARC
(9,11),0.281158 # DEPENDENCYPART_ARC
(9,12),0.00534044 # DEPENDENCYPART_ARC
(9,13),-0.0951662 # DEPENDENCYPART_ARC
(9,14),-0.908707 # DEPENDENCYPART_ARC
(9,15),-0.391582 # DEPENDENCYPART_ARC
(9,16),0.510042 # DEPENDENCYPART_ARC
(9,17),-0.44698 # DEPENDENCYPART_ARC
(9,18),-0.56348 # DEPENDENCYPART_ARC
(9,19),-1.21223 # DEPENDENCYPART_ARC
(9,20),-0.874968 # DEPENDENCYPART_ARC
(9,21),-1.04987 # DEPENDENCYPART_ARC
(9,22),-1.11147 # DEPENDENCYPART_ARC
(10,1),-3.37802 # DEPENDENCYPART_ARC
(10,3),-6.42256 # DEPENDENCYPART_ARC
(10,4),-3.10446 # DEPENDENCYPART_ARC
(10,5),-1.52365 # DEPENDENCYPART_ARC
(10,6),-3.27784 # DEPENDENCYPART_ARC
(10,8),-2.28119 # DEPENDENCYPART_ARC
(10,11),-0.643302 # DEPENDENCYPART_ARC
(10,12),-1.13533 # DEPENDENCYPART_ARC
(10,14),-3.24896 # DEPENDENCYPART_ARC
(10,15),-1.10831 # DEPENDENCYPART_ARC
(10,16),-2.7302 # DEPENDENCYPART_ARC
(10,18),-1.77164 # DEPENDENCYPART_ARC
(10,19),-2.00172 # DEPENDENCYPART_ARC
(10,20),-4.0899 # DEPENDENCYPART_ARC
(10,22),-1.69951 # DEPENDENCYPART_ARC
(11,1),-1.01477 # DEPENDENCYPART_ARC
(11,2),-2.55425 # DEPENDENCYPART_ARC
(11,3),-2.56946 # DEPENDENCYPART_ARC
(11,4),-0.830973 # DEPENDENCYPART_ARC
(11,5),-2.06748 # DEPENDENCYPART_ARC
(11,6),-0.834666 # DEPENDENCYPART_ARC
(11,7),-1.92064 # DEPENDENCYPART_ARC
(11,8),-1.36549 # DEPENDENCYPART_ARC
(11,9),0.0720239 # DEPENDENCYPART_ARC
(11,10),1.59535 # DEPENDENCYPART_ARC
(11,12),-0.471488 # DEPENDENCYPART_ARC
(11,13),-1.53655 # DEPENDENCYPART_ARC
(11,14),-2.58364 # DEPENDENCYPART_ARC
(11,15),-1.68042 # DEPENDENCYPART_ARC
(11,16),-2.15025 # DEPENDENCYPART_ARC
(11,17),-2.8595 # DEPENDENCYPART_ARC
(11,18),-1.69041 # DEPENDENCYPART_ARC
(11,19),-1.97395 # DEPENDENCYPART_ARC
(11,20),-3.17977 # DEPENDENCYPART_ARC
(11,21),-2.46255 # DEPENDENCYPART_ARC
(11,22),-1.70498 # DEPENDENCYPART_ARC
(12,1),-0.608795 # DEPENDENCYPART_ARC
(12,2),-2.98838 # DEPENDENCYPART_ARC
(12,3),-2.17193 # DEPENDENCYPART_ARC
(12,4),-0.465777 # DEPENDENCYPART_ARC
(12,5),-0.841546 # DEPENDENCYPART_ARC
(12,6),-1.10886 # DEPENDENCYPART_ARC
(12,7),-1.91365 # DEPENDENCYPART_ARC
(12,8),-1.15846 # DEPENDENCYPART_ARC
(12,9),-0.16298 # DEPENDENCYPART_ARC
(12,10),1.53995 # DEPENDENCYPART_ARC
(12,11),0.465084 # DEPENDENCYPART_ARC
(12,13),1.4426 # DEPENDENCYPART_ARC
(12,14),-1.69019 # DEPENDENCYPART_ARC
(12,15),-0.892857 # DEPENDENCYPART_ARC
(12,16),-1.99016 # DEPENDENCYPART_ARC
(12,17),-1.50998 # DEPENDENCYPART_ARC
(12,18),-1.48202 # DEPENDENCYPART_ARC
(12,19),-1.73163 # DEPENDENCYPART_ARC
(12,20),-2.41026 # DEPENDENCYPART_ARC
(12,21),-1.45165 # DEPENDENCYPART_ARC
(12,22),-1.60666 # DEPENDENCYPART_ARC
(13,1),-1.5388 # DEPENDENCYPART_ARC
(13,2),-1.63833 # DEPENDENCYPART_ARC
(13,3),-1.14872 # DEPENDENCYPART_ARC
(13,4),-1.24781 # DEPENDENCYPART_ARC
(13,6),-2.09021 # DEPENDENCYPART_ARC
(13,7),-0.739969 # DEPENDENCYPART_ARC
(13,8),-1.42369 # DEPENDENCYPART_ARC
(13,9),-1.5169 # DEPENDENCYPART_ARC
(13,10),-0.288197 # DEPENDENCYPART_ARC
(13,11),0.292675 # DEPENDENCYPART_ARC
(13,12),0.789458 # DEPENDENCYPART_ARC
(13,14),0.0448169 # DEPENDENCYPART_ARC
(13,15),-0.195781 # DEPENDENCYPART_ARC
(13,16),-1.56848 # DEPENDENCYPART_ARC
(13,17),-0.964443 # DEPENDENCYPART_ARC
(13,18),-0.168629 # DEPENDENCYPART_ARC
(13,19),-0.664349 # DEPENDENCYPART_ARC
(13,20),-2.03997 # DEPENDENCYPART_ARC
(13,21),-1.3572 # DEPENDENCYPART_ARC
(13,22),-0.689212 # DEPENDENCYPART_ARC
(14,1),-1.06175 # DEPENDENCYPART_ARC
(14,2),-3.73278 # DEPENDENCYPART_ARC
(14,3),-3.46064 # DEPENDENCYPART_ARC
(14,4),-0.912447 # DEPENDENCYPART_ARC
(14,5),-0.338358 # DEPENDENCYPART_ARC
(14,6),-0.990005 # DEPENDENCYPART_ARC
(14,7),-2.14906 # DEPENDENCYPART_ARC
(14,8),-1.11571 # DEPENDENCYPART_ARC
(14,9),-0.401762 # DEPENDENCYPART_ARC
(14,10),0.892603 # DEPENDENCYPART_ARC
(14,11),-2.10271 # DEPENDENCYPART_ARC
(14,12),-0.712712 # DEPENDENCYPART_ARC
(14,13),-0.311076 # DEPENDENCYPART_ARC
(14,15),1.38077 # DEPENDENCYPART_ARC
(14,16),-1.26793 # DEPENDENCYPART_ARC
(14,17),-2.20282 # DEPENDENCYPART_ARC
(14,18),-1.0721 # DEPENDENCYPART_ARC
(14,19),-1.30071 # DEPENDENCYPART_ARC
(14,20),-2.8194 # DEPENDENCYPART_ARC
(14,21),-1.99381 # DEPENDENCYPART_ARC
(14,22),-1.28981 # DEPENDENCYPART_ARC
(15,1),-1.76773 # DEPENDENCYPART_ARC
(15,2),-3.2764 # DEPENDENCYPART_ARC
(15,3),-2.41115 # DEPENDENCYPART_ARC
(15,4),-1.50437 # DEPENDENCYPART_ARC
(15,5),-1.82418 # DEPENDENCYPART_ARC
(15,6),-1.5414 # DEPENDENCYPART_ARC
(15,7),-2.25562 # DEPENDENCYPART_ARC
(15,8),-1.77223 # DEPENDENCYPART_ARC
(15,9),-0.958212 # DEPENDENCYPART_ARC
(15,10),-0.255994 # DEPENDENCYPART_ARC
(15,11),-1.75938 # DEPENDENCYPART_ARC
(15,12),-0.566819 # DEPENDENCYPART_ARC
(15,13),-1.06809 # DEPENDENCYPART_ARC
(15,14),1.92562 # DEPENDENCYPART_ARC
(15,16),-0.14346 # DEPENDENCYPART_ARC
(15,17),0.38333 # DEPENDENCYPART_ARC
(15,18),-0.232072 # DEPENDENCYPART_ARC
(15,19),-0.531395 # DEPENDENCYPART_ARC
(15,20),-1.42448 # DEPENDENCYPART_ARC
(15,21),-0.0736924 # DEPENDENCYPART_ARC
(15,22),-0.63737 # DEPENDENCYPART_ARC
(16,1),-0.713202 # DEPENDENCYPART_ARC
(16,2),-0.404095 # DEPENDENCYPART_ARC
(16,3),-0.696708 # DEPENDENCYPART_ARC
(16,4),-1.54795 # DEPENDENCYPART_ARC
(16,5),-1.48465 # DEPENDENCYPART_ARC
(16,6),-0.974433 # DEPENDENCYPART_ARC
(16,7),-0.746028 # DEPENDENCYPART_ARC
(16,8),-2.08023 # DEPENDENCYPART_ARC
(16,9),-1.19403 # DEPENDENCYPART_ARC
(16,10),-1.52001 # DEPENDENCYPART_ARC
(16,11),0.219936 # DEPENDENCYPART_ARC
(16,12),-0.26873 # DEPENDENCYPART_ARC
(16,13),-0.48677 # DEPENDENCYPART_ARC
(16,14),-0.508157 # DEPENDENCYPART_ARC
(16,15),1.63243 # DEPENDENCYPART_ARC
(16,17),1.21447 # DEPENDENCYPART_ARC
(16,18),-0.66258 # DEPENDENCYPART_ARC
(16,19),-1.33345 # DEPENDENCYPART_ARC
(16,20),-1.50277 # DEPENDENCYPART_ARC
(16,21),-1.47684 # DEPENDENCYPART_ARC
(16,22),-1.51691 # DEPENDENCYPART_ARC
(17,1),-1.29475 # DEPENDENCYPART_ARC
(17,2),-1.42154 # DEPENDENCYPART_ARC
(17,3),-0.951283 # DEPENDENCYPART_ARC
(17,4),-0.862404 # DEPENDENCYPART_ARC
(17,6),-1.83652 # DEPENDENCYPART_ARC
(17,7),-1.22908 # DEPENDENCYPART_ARC
(17,8),-1.62866 # DEPENDENCYPART_ARC
(17,9),-1.4329 # DEPENDENCYPART_ARC
(17,10),-0.828881 # DEPENDENCYPART_ARC
(17,11),-0.913791 # DEPENDENCYPART_ARC
(17,12),-0.479887 # DEPENDENCYPART_ARC
(17,13),-1.00183 # DEPENDENCYPART_ARC
(17,14),-0.38963 # DEPENDENCYPART_ARC
(17,15),-0.350528 # DEPENDENCYPART_ARC
(17,16),-0.836018 # DEPENDENCYPART_ARC
(17,18),1.62845 # DEPENDENCYPART_ARC
(17,19),-0.223778 # DEPENDENCYPART_ARC
(17,20),-1.87156 # DEPENDENCYPART_ARC
(17,21),-1.47201 # DEPENDENCYPART_ARC
(17,22),-0.263597 # DEPENDENCYPART_ARC
(18,1),-1.17969 # DEPENDENCYPART_ARC
(18,3),-1.06992 # DEPENDENCYPART_ARC
(18,4),-1.12457 # DEPENDENCYPART_ARC
(18,5),-1.7546 # DEPENDENCYPART_ARC
(18,6),-1.49145 # DEPENDENCYPART_ARC
(18,7),-1.51604 # DEPENDENCYPART_ARC
(18,8),-1.67456 # DEPENDENCYPART_ARC
(18,10),-1.02691 # DEPENDENCYPART_ARC
(18,11),-1.00079 # DEPENDENCYPART_ARC
(18,12),-1.11345 # DEPENDENCYPART_ARC
(18,13),-1.28025 # DEPENDENCYPART_ARC
(18,14),-0.998275 # DEPENDENCYPART_ARC
(18,15),-0.778698 # DEPENDENCYPART_ARC
(18,16),-0.862029 # DEPENDENCYPART_ARC
(18,17),-0.289008 # DEPENDENCYPART_ARC
(18,19),2.02509 # DEPENDENCYPART_ARC
(18,20),-1.19752 # DEPENDENCYPART_ARC
(18,21),-0.8517 # DEPENDENCYPART_ARC
(18,22),-0.31217 # DEPENDENCYPART_ARC
(19,1),-0.653972 # DEPENDENCYPART_ARC
(19,3),-0.702602 # DEPENDENCYPART_ARC
(19,4),-0.70873 # DEPENDENCYPART_ARC
(19,6),-0.754092 # DEPENDENCYPART_ARC
(19,7),-0.89259 # DEPENDENCYPART_ARC
(19,9),-0.640831 # DEPENDENCYPART_ARC
(19,10),-0.569899 # DEPENDENCYPART_ARC
(19,11),-0.489756 # DEPENDENCYPART_ARC
(19,12),-0.567035 # DEPENDENCYPART_ARC
(19,13),-0.643904 # DEPENDENCYPART_ARC
(19,14),-0.496745 # DEPENDENCYPART_ARC
(19,15),-0.400398 # DEPENDENCYPART_ARC
(19,16),-0.389421 # DEPENDENCYPART_ARC
(19,17),-0.398356 # DEPENDENCYPART_ARC
(19,18),0.0445844 # DEPENDENCYPART_ARC
(19,20),-0.735842 # DEPENDENCYPART_ARC
(19,21),-0.193537 # DEPENDENCYPART_ARC
(20,1),-2.01785 # DEPENDENCYPART_ARC
(20,2),-0.696711 # DEPENDENCYPART_ARC
(20,3),-1.60721 # DEPENDENCYPART_ARC
(20,4),-2.55167 # DEPENDENCYPART_ARC
(20,5),-1.4819 # DEPENDENCYPART_ARC
(20,6),0.0373357 # DEPENDENCYPART_ARC
(20,7),-0.79018 # DEPENDENCYPART_ARC
(20,8),-1.70085 # DEPENDENCYPART_ARC
(20,9),0.189619 # DEPENDENCYPART_ARC
(20,10),-2.41206 # DEPENDENCYPART_ARC
(20,11),-0.898783 # DEPENDENCYPART_ARC
(20,12),-1.44951 # DEPENDENCYPART_ARC
(20,13),-0.780855 # DEPENDENCYPART_ARC
(20,14),-1.99169 # DEPENDENCYPART_ARC
(20,15),-0.871235 # DEPENDENCYPART_ARC
(20,16),-0.106251 # DEPENDENCYPART_ARC
(20,17),-0.672807 # DEPENDENCYPART_ARC
(20,18),-0.5939 # DEPENDENCYPART_ARC
(20,19),-0.0176872 # DEPENDENCYPART_ARC
(20,21),1.80678 # DEPENDENCYPART_ARC
(20,22),0.0984423 # DEPENDENCYPART_ARC
(21,1),-1.32385 # DEPENDENCYPART_ARC
(21,2),-1.94075 # DEPENDENCYPART_ARC
(21,3),-1.34596 # DEPENDENCYPART_ARC
(21,4),-1.20421 # DEPENDENCYPART_ARC
(21,6),-2.74184 # DEPENDENCYPART_ARC
(21,7),-1.7381 # DEPENDENCYPART_ARC
(21,8),-1.99046 # DEPENDENCYPART_ARC
(21,9),-2.01201 # DEPENDENCYPART_ARC
(21,10),-1.36052 # DEPENDENCYPART_ARC
(21,11),-1.44833 # DEPENDENCYPART_ARC
(21,12),-1.80447 # DEPENDENCYPART_ARC
(21,13),-1.52048 # DEPENDENCYPART_ARC
(21,14),-1.42627 # DEPENDENCYPART_ARC
(21,15),-2.17927 # DEPENDENCYPART_ARC
(21,16),-2.88394 # DEPENDENCYPART_ARC
(21,17),-1.30339 # DEPENDENCYPART_ARC
(21,18),-1.36966 # DEPENDENCYPART_ARC
(21,19),-1.34321 # DEPENDENCYPART_ARC
(21,20),-1.66863 # DEPENDENCYPART_ARC
(21,22),1.74852 # DEPENDENCYPART_ARC
(22,1),-1.97154 # DEPENDENCYPART_ARC
(22,3),-1.61578 # DEPENDENCYPART_ARC
(22,4),-1.37827 # DEPENDENCYPART_ARC
(22,6),-2.01847 # DEPENDENCYPART_ARC
(22,8),-1.49525 # DEPENDENCYPART_ARC
(22,9),-1.20746 # DEPENDENCYPART_ARC
(22,11),-1.0554 # DEPENDENCYPART_ARC
(22,12),-1.07891 # DEPENDENCYPART_ARC
(22,14),-1.03306 # DEPENDENCYPART_ARC
(22,15),-0.80616 # DEPENDENCYPART_ARC
(22,16),-1.64919 # DEPENDENCYPART_ARC
(22,18),-1.20999 # DEPENDENCYPART_ARC
(22,19),-0.900503 # DEPENDENCYPART_ARC
(22,20),-0.749151 # DEPENDENCYPART_ARC
