# _root_ " bizitzeko eskubidearen errespetuak du orain lehentasuna ; indarkeria desagertuta , edozertaz hitz_egin ahal_izango dugu " , dio .
#goldHeads=0,3,4,5,8,5,5,18,10,14,10,13,14,8,14,15,16,0,18,
#predictedHeads=0,3,4,5,0,5,5,7,10,14,10,10,14,5,14,15,16,0,18,
(3,8),-1.03498 # DEPENDENCYPART_ARC
(3,9),-1.77086 # DEPENDENCYPART_ARC
(3,10),-1.5584 # DEPENDENCYPART_ARC
(3,11),-1.77482 # DEPENDENCYPART_ARC
(3,12),-3.55802 # DEPENDENCYPART_ARC
(3,13),-2.03797 # DEPENDENCYPART_ARC
(3,14),-1.58428 # DEPENDENCYPART_ARC
(3,15),-2.45165 # DEPENDENCYPART_ARC
(3,16),-1.99068 # DEPENDENCYPART_ARC
(3,17),-2.21773 # DEPENDENCYPART_ARC
(3,18),-2.65463 # DEPENDENCYPART_ARC
(3,19),-1.74605 # DEPENDENCYPART_ARC
(4,1),-1.17921 # DEPENDENCYPART_ARC
(4,2),1.46231 # DEPENDENCYPART_ARC
(4,3),1.86387 # DEPENDENCYPART_ARC
(4,5),-1.95511 # DEPENDENCYPART_ARC
(4,6),-0.846931 # DEPENDENCYPART_ARC
(4,7),-2.0139 # DEPENDENCYPART_ARC
(4,8),-0.967843 # DEPENDENCYPART_ARC
(4,9),-1.95444 # DEPENDENCYPART_ARC
(4,10),-1.64775 # DEPENDENCYPART_ARC
(4,11),-1.70533 # DEPENDENCYPART_ARC
(4,12),-3.59259 # DEPENDENCYPART_ARC
(4,13),-2.23116 # DEPENDENCYPART_ARC
(4,14),-1.681 # DEPENDENCYPART_ARC
(4,15),-3.11995 # DEPENDENCYPART_ARC
(4,16),-1.87905 # DEPENDENCYPART_ARC
(4,17),-2.305 # DEPENDENCYPART_ARC
(4,18),-3.31184 # DEPENDENCYPART_ARC
(4,19),-1.82033 # DEPENDENCYPART_ARC
(5,1),-0.976501 # DEPENDENCYPART_ARC
(5,2),-0.365074 # DEPENDENCYPART_ARC
(5,3),0.33867 # DEPENDENCYPART_ARC
(5,4),2.92102 # DEPENDENCYPART_ARC
(5,6),0.551069 # DEPENDENCYPART_ARC
(5,7),1.16061 # DEPENDENCYPART_ARC
(5,8),-0.335369 # DEPENDENCYPART_ARC
(5,9),-0.0485347 # DEPENDENCYPART_ARC
(5,10),0.488941 # DEPENDENCYPART_ARC
(5,11),-0.650886 # DEPENDENCYPART_ARC
(5,13),-0.491642 # DEPENDENCYPART_ARC
(5,14),0.0109042 # DEPENDENCYPART_ARC
(5,15),-1.11498 # DEPENDENCYPART_ARC
(5,16),-0.884069 # DEPENDENCYPART_ARC
(5,17),-1.02425 # DEPENDENCYPART_ARC
(5,18),-1.76167 # DEPENDENCYPART_ARC
(5,19),-0.971016 # DEPENDENCYPART_ARC
(6,1),-1.59146 # DEPENDENCYPART_ARC
(6,2),-1.29031 # DEPENDENCYPART_ARC
(6,3),-0.975534 # DEPENDENCYPART_ARC
(6,4),-0.81424 # DEPENDENCYPART_ARC
(6,5),-0.355254 # DEPENDENCYPART_ARC
(6,7),0.0663001 # DEPENDENCYPART_ARC
(6,8),-0.0735529 # DEPENDENCYPART_ARC
(6,9),-0.872772 # DEPENDENCYPART_ARC
(6,10),-1.27821 # DEPENDENCYPART_ARC
(6,11),-0.78475 # DEPENDENCYPART_ARC
(6,13),-1.39031 # DEPENDENCYPART_ARC
(6,14),-1.54423 # DEPENDENCYPART_ARC
(6,15),-1.33291 # DEPENDENCYPART_ARC
(6,16),-0.852719 # DEPENDENCYPART_ARC
(6,17),-1.38834 # DEPENDENCYPART_ARC
(6,18),-1.47956 # DEPENDENCYPART_ARC
(6,19),-1.26691 # DEPENDENCYPART_ARC
(7,1),-1.92842 # DEPENDENCYPART_ARC
(7,2),0.0731324 # DEPENDENCYPART_ARC
(7,3),-0.228099 # DEPENDENCYPART_ARC
(7,4),-3.03518 # DEPENDENCYPART_ARC
(7,5),-1.46442 # DEPENDENCYPART_ARC
(7,6),0.062023 # DEPENDENCYPART_ARC
(7,8),1.2174 # DEPENDENCYPART_ARC
(7,9),-0.785308 # DEPENDENCYPART_ARC
(7,10),-0.902542 # DEPENDENCYPART_ARC
(7,11),-1.07875 # DEPENDENCYPART_ARC
(7,12),-2.82399 # DEPENDENCYPART_ARC
(7,13),-1.55808 # DEPENDENCYPART_ARC
(7,14),-0.756576 # DEPENDENCYPART_ARC
(7,15),-2.15682 # DEPENDENCYPART_ARC
(7,16),-1.22037 # DEPENDENCYPART_ARC
(7,17),-1.53512 # DEPENDENCYPART_ARC
(7,18),-1.61318 # DEPENDENCYPART_ARC
(7,19),-1.34816 # DEPENDENCYPART_ARC
(8,1),-0.819952 # DEPENDENCYPART_ARC
(8,2),-0.382988 # DEPENDENCYPART_ARC
(8,3),-0.512777 # DEPENDENCYPART_ARC
(8,4),-0.679495 # DEPENDENCYPART_ARC
(8,5),0.2154 # DEPENDENCYPART_ARC
(8,7),-0.0477551 # DEPENDENCYPART_ARC
(8,9),-0.100323 # DEPENDENCYPART_ARC
(8,10),-0.15619 # DEPENDENCYPART_ARC
(8,15),-0.376426 # DEPENDENCYPART_ARC
(8,16),-0.440637 # DEPENDENCYPART_ARC
(8,18),-0.412755 # DEPENDENCYPART_ARC
(9,1),-1.84545 # DEPENDENCYPART_ARC
(9,2),-0.517312 # DEPENDENCYPART_ARC
(9,3),-1.01237 # DEPENDENCYPART_ARC
(9,4),-3.72281 # DEPENDENCYPART_ARC
(9,5),-2.32236 # DEPENDENCYPART_ARC
(9,6),-0.817669 # DEPENDENCYPART_ARC
(9,7),-2.0141 # DEPENDENCYPART_ARC
(9,8),0.0884277 # DEPENDENCYPART_ARC
(9,10),0.0467039 # DEPENDENCYPART_ARC
(9,11),-0.539298 # DEPENDENCYPART_ARC
(9,12),-2.58733 # DEPENDENCYPART_ARC
(9,13),-1.5749 # DEPENDENCYPART_ARC
(9,14),-1.0985 # DEPENDENCYPART_ARC
(9,15),-2.07209 # DEPENDENCYPART_ARC
(9,16),-1.27444 # DEPENDENCYPART_ARC
(9,17),-1.62194 # DEPENDENCYPART_ARC
(9,18),-1.8264 # DEPENDENCYPART_ARC
(9,19),-1.45337 # DEPENDENCYPART_ARC
(10,1),-1.90125 # DEPENDENCYPART_ARC
(10,2),-1.04001 # DEPENDENCYPART_ARC
(10,3),-1.97899 # DEPENDENCYPART_ARC
(10,4),-0.64471 # DEPENDENCYPART_ARC
(10,5),-1.16672 # DEPENDENCYPART_ARC
(10,6),0.117345 # DEPENDENCYPART_ARC
(10,7),-0.327623 # DEPENDENCYPART_ARC
(10,8),-0.807849 # DEPENDENCYPART_ARC
(10,9),1.96228 # DEPENDENCYPART_ARC
(10,11),1.51028 # DEPENDENCYPART_ARC
(10,12),-0.453734 # DEPENDENCYPART_ARC
(10,13),-0.708493 # DEPENDENCYPART_ARC
(10,14),-0.973793 # DEPENDENCYPART_ARC
(10,15),-0.622288 # DEPENDENCYPART_ARC
(10,16),-0.606597 # DEPENDENCYPART_ARC
(10,17),-0.941513 # DEPENDENCYPART_ARC
(10,18),-2.55164 # DEPENDENCYPART_ARC
(10,19),-0.848761 # DEPENDENCYPART_ARC
(11,1),-1.1624 # DEPENDENCYPART_ARC
(11,2),-0.960505 # DEPENDENCYPART_ARC
(11,3),-0.772486 # DEPENDENCYPART_ARC
(11,4),-0.855544 # DEPENDENCYPART_ARC
(11,5),-0.550146 # DEPENDENCYPART_ARC
(11,7),-0.874136 # DEPENDENCYPART_ARC
(11,9),-0.385257 # DEPENDENCYPART_ARC
(11,10),0.14321 # DEPENDENCYPART_ARC
(11,13),-0.32053 # DEPENDENCYPART_ARC
(11,14),-0.280755 # DEPENDENCYPART_ARC
(11,15),-0.72247 # DEPENDENCYPART_ARC
(11,16),-0.0376375 # DEPENDENCYPART_ARC
(11,18),-0.610692 # DEPENDENCYPART_ARC
(12,5),-2.04026 # DEPENDENCYPART_ARC
(12,18),-1.10499 # DEPENDENCYPART_ARC
(13,1),-1.83089 # DEPENDENCYPART_ARC
(13,2),-0.961363 # DEPENDENCYPART_ARC
(13,3),-0.748342 # DEPENDENCYPART_ARC
(13,4),-0.111082 # DEPENDENCYPART_ARC
(13,5),-0.692951 # DEPENDENCYPART_ARC
(13,6),-0.319412 # DEPENDENCYPART_ARC
(13,7),-0.270411 # DEPENDENCYPART_ARC
(13,8),-1.07538 # DEPENDENCYPART_ARC
(13,9),0.726157 # DEPENDENCYPART_ARC
(13,10),-0.0760082 # DEPENDENCYPART_ARC
(13,11),-0.578373 # DEPENDENCYPART_ARC
(13,14),1.13123 # DEPENDENCYPART_ARC
(13,15),1.59456 # DEPENDENCYPART_ARC
(13,16),-0.407596 # DEPENDENCYPART_ARC
(13,17),-0.79568 # DEPENDENCYPART_ARC
(13,18),-1.48342 # DEPENDENCYPART_ARC
(13,19),-0.663619 # DEPENDENCYPART_ARC
(14,1),-1.29127 # DEPENDENCYPART_ARC
(14,2),-0.843835 # DEPENDENCYPART_ARC
(14,3),-2.34177 # DEPENDENCYPART_ARC
(14,4),0.00632454 # DEPENDENCYPART_ARC
(14,5),-1.61375 # DEPENDENCYPART_ARC
(14,6),0.227282 # DEPENDENCYPART_ARC
(14,7),-0.174796 # DEPENDENCYPART_ARC
(14,8),-0.770911 # DEPENDENCYPART_ARC
(14,9),0.0498721 # DEPENDENCYPART_ARC
(14,10),1.17574 # DEPENDENCYPART_ARC
(14,11),-0.234628 # DEPENDENCYPART_ARC
(14,13),2.158 # DEPENDENCYPART_ARC
(14,15),2.34191 # DEPENDENCYPART_ARC
(14,16),0.0757642 # DEPENDENCYPART_ARC
(14,17),-0.61773 # DEPENDENCYPART_ARC
(14,18),-0.647674 # DEPENDENCYPART_ARC
(14,19),-0.560863 # DEPENDENCYPART_ARC
(15,1),-1.36372 # DEPENDENCYPART_ARC
(15,2),-1.09676 # DEPENDENCYPART_ARC
(15,3),-2.12394 # DEPENDENCYPART_ARC
(15,4),-1.57779 # DEPENDENCYPART_ARC
(15,5),-1.73171 # DEPENDENCYPART_ARC
(15,6),-1.36703 # DEPENDENCYPART_ARC
(15,7),-1.71325 # DEPENDENCYPART_ARC
(15,8),-1.33756 # DEPENDENCYPART_ARC
(15,9),-1.60032 # DEPENDENCYPART_ARC
(15,10),-2.11831 # DEPENDENCYPART_ARC
(15,11),-1.15576 # DEPENDENCYPART_ARC
(15,13),-0.892609 # DEPENDENCYPART_ARC
(15,14),-1.44469 # DEPENDENCYPART_ARC
(15,16),1.66737 # DEPENDENCYPART_ARC
(15,17),-0.185328 # DEPENDENCYPART_ARC
(15,18),-1.22171 # DEPENDENCYPART_ARC
(15,19),-0.620781 # DEPENDENCYPART_ARC
(16,1),-1.79135 # DEPENDENCYPART_ARC
(16,2),-1.48861 # DEPENDENCYPART_ARC
(16,3),-1.08496 # DEPENDENCYPART_ARC
(16,4),-1.24462 # DEPENDENCYPART_ARC
(16,5),-1.28641 # DEPENDENCYPART_ARC
(16,7),-1.59469 # DEPENDENCYPART_ARC
(16,8),-1.54026 # DEPENDENCYPART_ARC
(16,9),-1.26481 # DEPENDENCYPART_ARC
(16,10),-1.51949 # DEPENDENCYPART_ARC
(16,11),-1.55885 # DEPENDENCYPART_ARC
(16,13),-0.818808 # DEPENDENCYPART_ARC
(16,14),-0.818919 # DEPENDENCYPART_ARC
(16,15),-0.291555 # DEPENDENCYPART_ARC
(16,17),1.77626 # DEPENDENCYPART_ARC
(16,18),-1.01744 # DEPENDENCYPART_ARC
(16,19),-0.0658423 # DEPENDENCYPART_ARC
(17,1),-1.03635 # DEPENDENCYPART_ARC
(17,2),-0.872486 # DEPENDENCYPART_ARC
(17,3),-0.599007 # DEPENDENCYPART_ARC
(17,4),-0.634046 # DEPENDENCYPART_ARC
(17,5),-0.548995 # DEPENDENCYPART_ARC
(17,7),-0.893757 # DEPENDENCYPART_ARC
(17,9),-0.602452 # DEPENDENCYPART_ARC
(17,10),-0.813658 # DEPENDENCYPART_ARC
(17,13),-0.283583 # DEPENDENCYPART_ARC
(17,14),-0.254225 # DEPENDENCYPART_ARC
(17,15),-0.328149 # DEPENDENCYPART_ARC
(17,16),0.0897234 # DEPENDENCYPART_ARC
(17,18),-0.185346 # DEPENDENCYPART_ARC
(18,1),-1.75563 # DEPENDENCYPART_ARC
(18,2),-1.73201 # DEPENDENCYPART_ARC
(18,3),-2.67664 # DEPENDENCYPART_ARC
(18,4),-0.882115 # DEPENDENCYPART_ARC
(18,5),-0.111257 # DEPENDENCYPART_ARC
(18,6),-0.447491 # DEPENDENCYPART_ARC
(18,7),-1.11956 # DEPENDENCYPART_ARC
(18,8),-1.28243 # DEPENDENCYPART_ARC
(18,9),-1.14699 # DEPENDENCYPART_ARC
(18,10),-0.254927 # DEPENDENCYPART_ARC
(18,11),-1.1693 # DEPENDENCYPART_ARC
(18,13),0.166326 # DEPENDENCYPART_ARC
(18,14),-0.403207 # DEPENDENCYPART_ARC
(18,15),-0.391569 # DEPENDENCYPART_ARC
(18,16),-0.638397 # DEPENDENCYPART_ARC
(18,17),0.119708 # DEPENDENCYPART_ARC
(18,19),2.11502 # DEPENDENCYPART_ARC
(19,1),-1.90291 # DEPENDENCYPART_ARC
(19,2),-2.273 # DEPENDENCYPART_ARC
(19,3),-1.99176 # DEPENDENCYPART_ARC
(19,4),-1.89508 # DEPENDENCYPART_ARC
(19,7),-2.16229 # DEPENDENCYPART_ARC
(19,9),-1.6388 # DEPENDENCYPART_ARC
(19,10),-2.18403 # DEPENDENCYPART_ARC
(19,11),-1.6542 # DEPENDENCYPART_ARC
(19,16),-1.32991 # DEPENDENCYPART_ARC
(19,17),-1.35835 # DEPENDENCYPART_ARC
