# _root_ belandiako eliza altua da , labore baten erlaizea bailitzan , ( )
#goldHeads=2,4,4,0,4,8,6,9,4,9,0,0,
#predictedHeads=2,4,4,0,4,9,6,9,0,9,0,0,
(6,3),-0.307161 # DEPENDENCYPART_ARC
(6,4),-0.0991865 # DEPENDENCYPART_ARC
(6,5),-0.168033 # DEPENDENCYPART_ARC
(6,7),2.54103 # DEPENDENCYPART_ARC
(6,8),0.11461 # DEPENDENCYPART_ARC
(6,9),-0.417003 # DEPENDENCYPART_ARC
(6,10),-0.435256 # DEPENDENCYPART_ARC
(6,11),-0.712032 # DEPENDENCYPART_ARC
(6,12),-0.501455 # DEPENDENCYPART_ARC
(7,1),-1.47738 # DEPENDENCYPART_ARC
(7,2),-1.84664 # DEPENDENCYPART_ARC
(7,3),-2.30301 # DEPENDENCYPART_ARC
(7,4),-2.06351 # DEPENDENCYPART_ARC
(7,5),-1.13895 # DEPENDENCYPART_ARC
(7,6),-0.3524 # DEPENDENCYPART_ARC
(7,8),0.622188 # DEPENDENCYPART_ARC
(7,9),-1.2547 # DEPENDENCYPART_ARC
(7,10),-0.140122 # DEPENDENCYPART_ARC
(7,11),-0.328732 # DEPENDENCYPART_ARC
(7,12),-0.431448 # DEPENDENCYPART_ARC
(8,1),-0.0772902 # DEPENDENCYPART_ARC
(8,2),-1.54753 # DEPENDENCYPART_ARC
(8,3),-1.32086 # DEPENDENCYPART_ARC
(8,4),-1.94468 # DEPENDENCYPART_ARC
(8,5),-1.03228 # DEPENDENCYPART_ARC
(8,6),0.573694 # DEPENDENCYPART_ARC
(8,7),1.23688 # DEPENDENCYPART_ARC
(8,9),-0.125234 # DEPENDENCYPART_ARC
(8,10),-0.380711 # DEPENDENCYPART_ARC
(8,11),-1.19128 # DEPENDENCYPART_ARC
(8,12),-1.15042 # DEPENDENCYPART_ARC
(9,1),-1.54589 # DEPENDENCYPART_ARC
(9,2),0.255569 # DEPENDENCYPART_ARC
(9,3),-0.967003 # DEPENDENCYPART_ARC
(9,4),-0.420052 # DEPENDENCYPART_ARC
(9,5),-0.539493 # DEPENDENCYPART_ARC
(9,6),0.795337 # DEPENDENCYPART_ARC
(9,7),-0.051519 # DEPENDENCYPART_ARC
(9,8),1.89764 # DEPENDENCYPART_ARC
(9,10),1.74578 # DEPENDENCYPART_ARC
(9,11),0.368275 # DEPENDENCYPART_ARC
(9,12),0.106162 # DEPENDENCYPART_ARC
(10,1),-1.46546 # DEPENDENCYPART_ARC
(10,2),-1.372 # DEPENDENCYPART_ARC
(10,3),-1.50459 # DEPENDENCYPART_ARC
(10,4),-0.859168 # DEPENDENCYPART_ARC
(10,5),-1.60366 # DEPENDENCYPART_ARC
(10,6),-1.07804 # DEPENDENCYPART_ARC
(10,7),-1.43586 # DEPENDENCYPART_ARC
(10,8),-0.806952 # DEPENDENCYPART_ARC
(10,9),0.0831548 # DEPENDENCYPART_ARC
(10,11),1.33598 # DEPENDENCYPART_ARC
(10,12),0.239147 # DEPENDENCYPART_ARC
(11,1),-1.56537 # DEPENDENCYPART_ARC
(11,2),-1.61261 # DEPENDENCYPART_ARC
(11,3),-1.85069 # DEPENDENCYPART_ARC
(11,4),-1.36719 # DEPENDENCYPART_ARC
(11,5),-1.65291 # DEPENDENCYPART_ARC
(11,6),-1.47455 # DEPENDENCYPART_ARC
(11,7),-1.83898 # DEPENDENCYPART_ARC
(11,8),-1.10971 # DEPENDENCYPART_ARC
(11,9),-0.986024 # DEPENDENCYPART_ARC
(11,10),-0.819305 # DEPENDENCYPART_ARC
(11,12),0.753084 # DEPENDENCYPART_ARC
(12,1),-1.35608 # DEPENDENCYPART_ARC
(12,2),-1.30204 # DEPENDENCYPART_ARC
(12,3),-1.83051 # DEPENDENCYPART_ARC
(12,4),-1.29486 # DEPENDENCYPART_ARC
(12,5),-1.56538 # DEPENDENCYPART_ARC
(12,6),-1.32409 # DEPENDENCYPART_ARC
(12,7),-1.88735 # DEPENDENCYPART_ARC
(12,8),-1.143 # DEPENDENCYPART_ARC
(12,9),-0.917946 # DEPENDENCYPART_ARC
(12,10),-1.40576 # DEPENDENCYPART_ARC
(12,11),-0.632867 # DEPENDENCYPART_ARC
