# _root_ bestalde , benegasek eajko buruzagiei aurkeztu zien proposamena duela bi aste , iñaki_anasagastik atzo jakitera_eman zuenez .
#goldHeads=0,3,6,5,6,0,6,6,6,11,9,11,15,15,6,15,16,
#predictedHeads=0,3,6,5,6,0,6,9,6,11,9,11,15,15,6,15,16,
(3,1),-0.815969 # DEPENDENCYPART_ARC
(3,2),-0.023711 # DEPENDENCYPART_ARC
(3,4),-3.54367 # DEPENDENCYPART_ARC
(3,5),-1.29593 # DEPENDENCYPART_ARC
(3,6),-2.97919 # DEPENDENCYPART_ARC
(3,8),-2.6914 # DEPENDENCYPART_ARC
(3,9),-2.98201 # DEPENDENCYPART_ARC
(3,10),-3.89153 # DEPENDENCYPART_ARC
(3,11),-2.71754 # DEPENDENCYPART_ARC
(3,12),-1.482 # DEPENDENCYPART_ARC
(3,13),-3.91923 # DEPENDENCYPART_ARC
(3,14),-1.70773 # DEPENDENCYPART_ARC
(3,15),-2.43637 # DEPENDENCYPART_ARC
(3,17),-1.50978 # DEPENDENCYPART_ARC
(4,1),-0.950578 # DEPENDENCYPART_ARC
(4,2),-1.52585 # DEPENDENCYPART_ARC
(4,3),-5.93251 # DEPENDENCYPART_ARC
(4,5),0.478706 # DEPENDENCYPART_ARC
(4,6),-3.33713 # DEPENDENCYPART_ARC
(4,8),-2.75684 # DEPENDENCYPART_ARC
(4,9),-5.10422 # DEPENDENCYPART_ARC
(4,10),-4.60992 # DEPENDENCYPART_ARC
(4,11),-2.11477 # DEPENDENCYPART_ARC
(4,12),-1.11835 # DEPENDENCYPART_ARC
(4,13),-4.13763 # DEPENDENCYPART_ARC
(4,14),-1.40628 # DEPENDENCYPART_ARC
(4,15),-2.76317 # DEPENDENCYPART_ARC
(4,17),-1.35828 # DEPENDENCYPART_ARC
(5,1),-0.365203 # DEPENDENCYPART_ARC
(5,2),-1.31937 # DEPENDENCYPART_ARC
(5,3),-1.78844 # DEPENDENCYPART_ARC
(5,4),2.67126 # DEPENDENCYPART_ARC
(5,6),-1.31859 # DEPENDENCYPART_ARC
(5,7),-0.0993598 # DEPENDENCYPART_ARC
(5,8),-0.683604 # DEPENDENCYPART_ARC
(5,9),-2.75162 # DEPENDENCYPART_ARC
(5,10),-2.38603 # DEPENDENCYPART_ARC
(5,11),-0.560335 # DEPENDENCYPART_ARC
(5,12),-0.839718 # DEPENDENCYPART_ARC
(5,13),-1.5759 # DEPENDENCYPART_ARC
(5,14),-1.26561 # DEPENDENCYPART_ARC
(5,15),-2.07913 # DEPENDENCYPART_ARC
(5,16),-2.49201 # DEPENDENCYPART_ARC
(5,17),-1.15735 # DEPENDENCYPART_ARC
(6,1),-0.0712913 # DEPENDENCYPART_ARC
(6,2),-1.49036 # DEPENDENCYPART_ARC
(6,3),1.41106 # DEPENDENCYPART_ARC
(6,4),0.732543 # DEPENDENCYPART_ARC
(6,5),2.26131 # DEPENDENCYPART_ARC
(6,7),1.86162 # DEPENDENCYPART_ARC
(6,8),0.926221 # DEPENDENCYPART_ARC
(6,9),0.775249 # DEPENDENCYPART_ARC
(6,10),-0.782542 # DEPENDENCYPART_ARC
(6,11),0.953255 # DEPENDENCYPART_ARC
(6,12),-0.404203 # DEPENDENCYPART_ARC
(6,13),-0.50221 # DEPENDENCYPART_ARC
(6,14),-0.685404 # DEPENDENCYPART_ARC
(6,15),-0.348636 # DEPENDENCYPART_ARC
(6,16),-0.553308 # DEPENDENCYPART_ARC
(6,17),-0.950063 # DEPENDENCYPART_ARC
(7,1),-2.14884 # DEPENDENCYPART_ARC
(7,2),-2.01706 # DEPENDENCYPART_ARC
(7,3),-1.70533 # DEPENDENCYPART_ARC
(7,4),-2.2205 # DEPENDENCYPART_ARC
(7,5),-1.91891 # DEPENDENCYPART_ARC
(7,6),-2.26371 # DEPENDENCYPART_ARC
(7,8),-1.33979 # DEPENDENCYPART_ARC
(7,9),-1.57478 # DEPENDENCYPART_ARC
(7,10),-1.70562 # DEPENDENCYPART_ARC
(7,11),-1.74871 # DEPENDENCYPART_ARC
(7,12),-1.19585 # DEPENDENCYPART_ARC
(7,13),-2.89072 # DEPENDENCYPART_ARC
(7,14),-1.10279 # DEPENDENCYPART_ARC
(7,15),-2.81996 # DEPENDENCYPART_ARC
(7,16),-0.399279 # DEPENDENCYPART_ARC
(7,17),-1.21691 # DEPENDENCYPART_ARC
(8,1),-1.14684 # DEPENDENCYPART_ARC
(8,2),-1.40372 # DEPENDENCYPART_ARC
(8,3),-3.44812 # DEPENDENCYPART_ARC
(8,4),-0.337876 # DEPENDENCYPART_ARC
(8,5),-2.25343 # DEPENDENCYPART_ARC
(8,6),0.782507 # DEPENDENCYPART_ARC
(8,7),-1.03557 # DEPENDENCYPART_ARC
(8,9),-1.15755 # DEPENDENCYPART_ARC
(8,10),-2.08768 # DEPENDENCYPART_ARC
(8,11),-1.26227 # DEPENDENCYPART_ARC
(8,12),-1.1607 # DEPENDENCYPART_ARC
(8,13),-3.39647 # DEPENDENCYPART_ARC
(8,14),-1.51129 # DEPENDENCYPART_ARC
(8,15),-1.61409 # DEPENDENCYPART_ARC
(8,16),-2.4792 # DEPENDENCYPART_ARC
(8,17),-1.45999 # DEPENDENCYPART_ARC
(9,1),-1.15034 # DEPENDENCYPART_ARC
(9,2),-1.71374 # DEPENDENCYPART_ARC
(9,3),-1.07625 # DEPENDENCYPART_ARC
(9,4),-0.30914 # DEPENDENCYPART_ARC
(9,5),-0.576722 # DEPENDENCYPART_ARC
(9,6),-0.451302 # DEPENDENCYPART_ARC
(9,7),-0.493361 # DEPENDENCYPART_ARC
(9,8),2.3324 # DEPENDENCYPART_ARC
(9,10),0.00948035 # DEPENDENCYPART_ARC
(9,11),1.39047 # DEPENDENCYPART_ARC
(9,12),-0.433748 # DEPENDENCYPART_ARC
(9,13),-2.19884 # DEPENDENCYPART_ARC
(9,14),-0.987501 # DEPENDENCYPART_ARC
(9,15),-0.506758 # DEPENDENCYPART_ARC
(9,16),-1.661 # DEPENDENCYPART_ARC
(9,17),-0.997936 # DEPENDENCYPART_ARC
(10,1),-1.27153 # DEPENDENCYPART_ARC
(10,2),-1.61067 # DEPENDENCYPART_ARC
(10,5),-1.62809 # DEPENDENCYPART_ARC
(10,6),-1.56109 # DEPENDENCYPART_ARC
(10,8),-0.685713 # DEPENDENCYPART_ARC
(10,9),-0.109147 # DEPENDENCYPART_ARC
(10,11),-0.208911 # DEPENDENCYPART_ARC
(10,12),-0.1639 # DEPENDENCYPART_ARC
(10,14),-0.87022 # DEPENDENCYPART_ARC
(10,17),-0.816235 # DEPENDENCYPART_ARC
(11,1),-1.1766 # DEPENDENCYPART_ARC
(11,2),-1.54213 # DEPENDENCYPART_ARC
(11,3),-2.62735 # DEPENDENCYPART_ARC
(11,4),0.147928 # DEPENDENCYPART_ARC
(11,5),-1.94024 # DEPENDENCYPART_ARC
(11,6),-0.696903 # DEPENDENCYPART_ARC
(11,7),-1.86358 # DEPENDENCYPART_ARC
(11,8),-1.18732 # DEPENDENCYPART_ARC
(11,9),0.64661 # DEPENDENCYPART_ARC
(11,10),2.58872 # DEPENDENCYPART_ARC
(11,12),1.46141 # DEPENDENCYPART_ARC
(11,13),-1.86445 # DEPENDENCYPART_ARC
(11,14),-1.02355 # DEPENDENCYPART_ARC
(11,15),-0.863415 # DEPENDENCYPART_ARC
(11,16),-0.536711 # DEPENDENCYPART_ARC
(11,17),-0.610086 # DEPENDENCYPART_ARC
(12,3),-0.922692 # DEPENDENCYPART_ARC
(12,4),-0.890112 # DEPENDENCYPART_ARC
(12,5),-0.988041 # DEPENDENCYPART_ARC
(12,6),-0.769264 # DEPENDENCYPART_ARC
(12,7),-1.06584 # DEPENDENCYPART_ARC
(12,8),-0.732637 # DEPENDENCYPART_ARC
(12,9),-0.0631192 # DEPENDENCYPART_ARC
(12,10),-1.04626 # DEPENDENCYPART_ARC
(12,11),-0.118011 # DEPENDENCYPART_ARC
(12,13),-0.408703 # DEPENDENCYPART_ARC
(12,15),-0.756447 # DEPENDENCYPART_ARC
(12,16),-0.70137 # DEPENDENCYPART_ARC
(13,1),-2.39499 # DEPENDENCYPART_ARC
(13,2),-2.46911 # DEPENDENCYPART_ARC
(13,3),-5.52596 # DEPENDENCYPART_ARC
(13,4),-3.10716 # DEPENDENCYPART_ARC
(13,5),-5.01524 # DEPENDENCYPART_ARC
(13,6),-2.56967 # DEPENDENCYPART_ARC
(13,8),-4.17876 # DEPENDENCYPART_ARC
(13,9),-3.41733 # DEPENDENCYPART_ARC
(13,10),-0.832155 # DEPENDENCYPART_ARC
(13,11),-2.91895 # DEPENDENCYPART_ARC
(13,12),-0.462447 # DEPENDENCYPART_ARC
(13,14),0.412007 # DEPENDENCYPART_ARC
(13,15),-1.24606 # DEPENDENCYPART_ARC
(13,17),-0.585804 # DEPENDENCYPART_ARC
(14,1),-0.780051 # DEPENDENCYPART_ARC
(14,2),-2.18172 # DEPENDENCYPART_ARC
(14,3),-1.29388 # DEPENDENCYPART_ARC
(14,4),-1.32884 # DEPENDENCYPART_ARC
(14,5),-1.3753 # DEPENDENCYPART_ARC
(14,6),-1.39338 # DEPENDENCYPART_ARC
(14,7),-1.47052 # DEPENDENCYPART_ARC
(14,8),-1.31922 # DEPENDENCYPART_ARC
(14,9),-1.42314 # DEPENDENCYPART_ARC
(14,10),-1.27357 # DEPENDENCYPART_ARC
(14,11),-0.968672 # DEPENDENCYPART_ARC
(14,12),-1.03597 # DEPENDENCYPART_ARC
(14,13),-0.173087 # DEPENDENCYPART_ARC
(14,15),-0.835971 # DEPENDENCYPART_ARC
(14,16),-0.697142 # DEPENDENCYPART_ARC
(14,17),-0.588366 # DEPENDENCYPART_ARC
(15,1),-0.948385 # DEPENDENCYPART_ARC
(15,2),-2.12705 # DEPENDENCYPART_ARC
(15,3),-0.436678 # DEPENDENCYPART_ARC
(15,4),-2.0337 # DEPENDENCYPART_ARC
(15,5),0.0365939 # DEPENDENCYPART_ARC
(15,6),-0.379479 # DEPENDENCYPART_ARC
(15,7),-0.186156 # DEPENDENCYPART_ARC
(15,8),-0.727164 # DEPENDENCYPART_ARC
(15,9),0.229025 # DEPENDENCYPART_ARC
(15,10),-0.705894 # DEPENDENCYPART_ARC
(15,11),-0.677369 # DEPENDENCYPART_ARC
(15,12),-1.04104 # DEPENDENCYPART_ARC
(15,13),1.15004 # DEPENDENCYPART_ARC
(15,14),1.09767 # DEPENDENCYPART_ARC
(15,16),1.51462 # DEPENDENCYPART_ARC
(15,17),-0.302385 # DEPENDENCYPART_ARC
(16,1),-1.99104 # DEPENDENCYPART_ARC
(16,2),-1.88317 # DEPENDENCYPART_ARC
(16,3),-1.83006 # DEPENDENCYPART_ARC
(16,4),-2.68518 # DEPENDENCYPART_ARC
(16,5),-2.37731 # DEPENDENCYPART_ARC
(16,6),-2.25476 # DEPENDENCYPART_ARC
(16,7),-1.31913 # DEPENDENCYPART_ARC
(16,8),-1.56875 # DEPENDENCYPART_ARC
(16,9),-1.28323 # DEPENDENCYPART_ARC
(16,10),-1.26742 # DEPENDENCYPART_ARC
(16,11),-1.46672 # DEPENDENCYPART_ARC
(16,12),-1.37291 # DEPENDENCYPART_ARC
(16,13),-1.4727 # DEPENDENCYPART_ARC
(16,14),-0.687385 # DEPENDENCYPART_ARC
(16,15),-1.0329 # DEPENDENCYPART_ARC
(16,17),1.92081 # DEPENDENCYPART_ARC
(17,2),-1.37729 # DEPENDENCYPART_ARC
(17,5),-1.07413 # DEPENDENCYPART_ARC
(17,6),-1.7941 # DEPENDENCYPART_ARC
(17,8),-1.30213 # DEPENDENCYPART_ARC
(17,11),-1.37007 # DEPENDENCYPART_ARC
(17,12),-1.22899 # DEPENDENCYPART_ARC
