# _root_ orduan alexander potzu izoztuaren erdialdera joan zen , besoak zabalduta , otsoaren ihesa gordeaz adiunez .
#goldHeads=6,6,5,3,6,0,6,7,10,11,6,13,14,11,14,15,
#predictedHeads=6,3,4,6,6,0,6,7,10,6,10,13,14,6,14,15,
(8,6),-0.0947292 # DEPENDENCYPART_ARC
(8,7),0.28793 # DEPENDENCYPART_ARC
(8,9),-0.432172 # DEPENDENCYPART_ARC
(8,10),-0.331791 # DEPENDENCYPART_ARC
(8,11),-0.172161 # DEPENDENCYPART_ARC
(8,12),-1.1986 # DEPENDENCYPART_ARC
(8,13),-0.947098 # DEPENDENCYPART_ARC
(8,14),-0.672556 # DEPENDENCYPART_ARC
(8,15),-1.16512 # DEPENDENCYPART_ARC
(8,16),-0.730293 # DEPENDENCYPART_ARC
(9,1),-1.01475 # DEPENDENCYPART_ARC
(9,2),-3.97909 # DEPENDENCYPART_ARC
(9,3),-1.28295 # DEPENDENCYPART_ARC
(9,4),-0.572145 # DEPENDENCYPART_ARC
(9,5),-1.78679 # DEPENDENCYPART_ARC
(9,6),-0.353194 # DEPENDENCYPART_ARC
(9,7),-0.759433 # DEPENDENCYPART_ARC
(9,8),0.131889 # DEPENDENCYPART_ARC
(9,10),0.0128737 # DEPENDENCYPART_ARC
(9,11),-0.379702 # DEPENDENCYPART_ARC
(9,12),-1.71233 # DEPENDENCYPART_ARC
(9,13),-1.59367 # DEPENDENCYPART_ARC
(9,14),-1.69499 # DEPENDENCYPART_ARC
(9,15),-1.69791 # DEPENDENCYPART_ARC
(9,16),-0.675115 # DEPENDENCYPART_ARC
(10,1),0.0401471 # DEPENDENCYPART_ARC
(10,2),-1.27915 # DEPENDENCYPART_ARC
(10,3),-0.718365 # DEPENDENCYPART_ARC
(10,4),-1.16832 # DEPENDENCYPART_ARC
(10,5),-0.416791 # DEPENDENCYPART_ARC
(10,6),-0.463439 # DEPENDENCYPART_ARC
(10,7),-0.0884776 # DEPENDENCYPART_ARC
(10,8),-0.799832 # DEPENDENCYPART_ARC
(10,9),2.21392 # DEPENDENCYPART_ARC
(10,11),1.66764 # DEPENDENCYPART_ARC
(10,12),-0.834034 # DEPENDENCYPART_ARC
(10,13),-0.411298 # DEPENDENCYPART_ARC
(10,14),-0.134853 # DEPENDENCYPART_ARC
(10,15),-0.61158 # DEPENDENCYPART_ARC
(10,16),-0.378129 # DEPENDENCYPART_ARC
(11,1),-1.2824 # DEPENDENCYPART_ARC
(11,2),-1.06885 # DEPENDENCYPART_ARC
(11,3),-1.02499 # DEPENDENCYPART_ARC
(11,4),-0.964823 # DEPENDENCYPART_ARC
(11,5),-0.899876 # DEPENDENCYPART_ARC
(11,6),-0.955211 # DEPENDENCYPART_ARC
(11,7),-0.913063 # DEPENDENCYPART_ARC
(11,8),-1.11447 # DEPENDENCYPART_ARC
(11,9),-0.515129 # DEPENDENCYPART_ARC
(11,10),0.0124747 # DEPENDENCYPART_ARC
(11,12),-0.522061 # DEPENDENCYPART_ARC
(11,13),-1.05177 # DEPENDENCYPART_ARC
(11,14),-0.472555 # DEPENDENCYPART_ARC
(11,15),-1.03455 # DEPENDENCYPART_ARC
(11,16),-0.590562 # DEPENDENCYPART_ARC
(12,1),-1.78306 # DEPENDENCYPART_ARC
(12,2),-3.31826 # DEPENDENCYPART_ARC
(12,3),-2.06774 # DEPENDENCYPART_ARC
(12,4),-2.3571 # DEPENDENCYPART_ARC
(12,5),-2.70884 # DEPENDENCYPART_ARC
(12,6),-2.28163 # DEPENDENCYPART_ARC
(12,7),-1.75874 # DEPENDENCYPART_ARC
(12,8),-1.45207 # DEPENDENCYPART_ARC
(12,9),-1.85237 # DEPENDENCYPART_ARC
(12,10),-0.771813 # DEPENDENCYPART_ARC
(12,11),-0.162381 # DEPENDENCYPART_ARC
(12,13),0.251818 # DEPENDENCYPART_ARC
(12,14),-2.09026 # DEPENDENCYPART_ARC
(12,15),-1.09233 # DEPENDENCYPART_ARC
(12,16),-0.386035 # DEPENDENCYPART_ARC
(13,1),-1.22298 # DEPENDENCYPART_ARC
(13,2),-2.34587 # DEPENDENCYPART_ARC
(13,3),-1.69674 # DEPENDENCYPART_ARC
(13,4),-1.69171 # DEPENDENCYPART_ARC
(13,5),-2.17262 # DEPENDENCYPART_ARC
(13,6),-1.05706 # DEPENDENCYPART_ARC
(13,7),-1.5675 # DEPENDENCYPART_ARC
(13,8),-1.58175 # DEPENDENCYPART_ARC
(13,9),-1.70725 # DEPENDENCYPART_ARC
(13,10),-0.768225 # DEPENDENCYPART_ARC
(13,11),-0.858675 # DEPENDENCYPART_ARC
(13,12),2.02267 # DEPENDENCYPART_ARC
(13,14),-0.207199 # DEPENDENCYPART_ARC
(13,15),-0.734766 # DEPENDENCYPART_ARC
(13,16),-0.478623 # DEPENDENCYPART_ARC
(14,1),-0.0609523 # DEPENDENCYPART_ARC
(14,2),-1.58119 # DEPENDENCYPART_ARC
(14,3),-1.29678 # DEPENDENCYPART_ARC
(14,4),-2.36345 # DEPENDENCYPART_ARC
(14,5),-1.28355 # DEPENDENCYPART_ARC
(14,6),-1.91346 # DEPENDENCYPART_ARC
(14,7),-1.23766 # DEPENDENCYPART_ARC
(14,8),-1.54212 # DEPENDENCYPART_ARC
(14,9),0.230027 # DEPENDENCYPART_ARC
(14,10),-0.500055 # DEPENDENCYPART_ARC
(14,11),-1.15434 # DEPENDENCYPART_ARC
(14,12),-1.0298 # DEPENDENCYPART_ARC
(14,13),2.48346 # DEPENDENCYPART_ARC
(14,15),0.533351 # DEPENDENCYPART_ARC
(14,16),-0.398882 # DEPENDENCYPART_ARC
(15,1),-1.49192 # DEPENDENCYPART_ARC
(15,2),-2.68244 # DEPENDENCYPART_ARC
(15,3),-2.2954 # DEPENDENCYPART_ARC
(15,4),-3.56313 # DEPENDENCYPART_ARC
(15,5),-2.30483 # DEPENDENCYPART_ARC
(15,6),-2.46032 # DEPENDENCYPART_ARC
(15,7),-1.66457 # DEPENDENCYPART_ARC
(15,8),-1.7552 # DEPENDENCYPART_ARC
(15,9),-1.54972 # DEPENDENCYPART_ARC
(15,10),-1.77459 # DEPENDENCYPART_ARC
(15,11),-1.48632 # DEPENDENCYPART_ARC
(15,12),-0.746053 # DEPENDENCYPART_ARC
(15,13),-0.675868 # DEPENDENCYPART_ARC
(15,14),-0.885781 # DEPENDENCYPART_ARC
(15,16),2.45364 # DEPENDENCYPART_ARC
(16,1),-1.36088 # DEPENDENCYPART_ARC
(16,2),-1.54571 # DEPENDENCYPART_ARC
(16,3),-1.38311 # DEPENDENCYPART_ARC
(16,4),-1.67439 # DEPENDENCYPART_ARC
(16,5),-1.40332 # DEPENDENCYPART_ARC
(16,6),-1.49521 # DEPENDENCYPART_ARC
(16,7),-1.33558 # DEPENDENCYPART_ARC
(16,8),-1.37907 # DEPENDENCYPART_ARC
(16,9),-1.32315 # DEPENDENCYPART_ARC
(16,10),-1.47487 # DEPENDENCYPART_ARC
(16,11),-1.3732 # DEPENDENCYPART_ARC
(16,12),-0.988624 # DEPENDENCYPART_ARC
(16,13),-0.696544 # DEPENDENCYPART_ARC
(16,14),-0.818117 # DEPENDENCYPART_ARC
(16,15),-0.327802 # DEPENDENCYPART_ARC
