# _root_ gainera , finantza entitateekin hitzarmena negoziatzen ari_da , baldintza onenak emateko .
#goldHeads=0,3,4,6,6,7,0,7,11,9,7,11,
#predictedHeads=0,3,4,7,6,7,0,7,11,9,7,11,
(6,12),-0.936102 # DEPENDENCYPART_ARC
(7,1),-0.0506337 # DEPENDENCYPART_ARC
(7,2),-1.24423 # DEPENDENCYPART_ARC
(7,3),0.396916 # DEPENDENCYPART_ARC
(7,4),1.40623 # DEPENDENCYPART_ARC
(7,5),1.43101 # DEPENDENCYPART_ARC
(7,6),2.6449 # DEPENDENCYPART_ARC
(7,8),1.90417 # DEPENDENCYPART_ARC
(7,9),-0.564438 # DEPENDENCYPART_ARC
(7,10),-0.708565 # DEPENDENCYPART_ARC
(7,11),0.700028 # DEPENDENCYPART_ARC
(7,12),0.286083 # DEPENDENCYPART_ARC
(8,3),-0.8778 # DEPENDENCYPART_ARC
(8,4),-0.793555 # DEPENDENCYPART_ARC
(8,5),-0.6294 # DEPENDENCYPART_ARC
(8,6),-0.520131 # DEPENDENCYPART_ARC
(8,7),-0.0695046 # DEPENDENCYPART_ARC
(8,9),-0.90919 # DEPENDENCYPART_ARC
(8,10),-0.613584 # DEPENDENCYPART_ARC
(8,11),-0.435836 # DEPENDENCYPART_ARC
(9,1),-1.51665 # DEPENDENCYPART_ARC
(9,2),-1.56728 # DEPENDENCYPART_ARC
(9,3),-1.25037 # DEPENDENCYPART_ARC
(9,4),-2.04463 # DEPENDENCYPART_ARC
(9,5),-2.33777 # DEPENDENCYPART_ARC
(9,6),-1.29545 # DEPENDENCYPART_ARC
(9,7),-1.28116 # DEPENDENCYPART_ARC
(9,8),-0.139697 # DEPENDENCYPART_ARC
(9,10),3.23438 # DEPENDENCYPART_ARC
(9,11),-0.194033 # DEPENDENCYPART_ARC
(9,12),-0.186251 # DEPENDENCYPART_ARC
(10,1),-1.66692 # DEPENDENCYPART_ARC
(10,2),-1.82634 # DEPENDENCYPART_ARC
(10,3),-2.29489 # DEPENDENCYPART_ARC
(10,4),-3.03483 # DEPENDENCYPART_ARC
(10,5),-3.00408 # DEPENDENCYPART_ARC
(10,6),-1.57469 # DEPENDENCYPART_ARC
(10,7),-1.7281 # DEPENDENCYPART_ARC
(10,8),-1.22537 # DEPENDENCYPART_ARC
(10,9),-0.178264 # DEPENDENCYPART_ARC
(10,11),-0.797514 # DEPENDENCYPART_ARC
(10,12),-0.0137105 # DEPENDENCYPART_ARC
(11,1),0.399991 # DEPENDENCYPART_ARC
(11,2),-1.66767 # DEPENDENCYPART_ARC
(11,3),-0.151832 # DEPENDENCYPART_ARC
(11,4),-0.644951 # DEPENDENCYPART_ARC
(11,5),0.382671 # DEPENDENCYPART_ARC
(11,6),0.165007 # DEPENDENCYPART_ARC
(11,7),-2.23933 # DEPENDENCYPART_ARC
(11,8),-0.638678 # DEPENDENCYPART_ARC
(11,9),1.69019 # DEPENDENCYPART_ARC
(11,10),0.222829 # DEPENDENCYPART_ARC
(11,12),1.8275 # DEPENDENCYPART_ARC
(12,2),-1.65134 # DEPENDENCYPART_ARC
(12,3),-1.64454 # DEPENDENCYPART_ARC
(12,4),-1.43561 # DEPENDENCYPART_ARC
(12,5),-1.34117 # DEPENDENCYPART_ARC
(12,6),-1.68544 # DEPENDENCYPART_ARC
(12,8),-1.41754 # DEPENDENCYPART_ARC
(12,9),-0.997697 # DEPENDENCYPART_ARC
(12,11),-0.55628 # DEPENDENCYPART_ARC
