# _root_ " azken_finean , bez zerga da denetarik bidegabeena , denek berdin pagatzen baitugu irabazi ezberdinak ukanik ere " .
#goldHeads=0,0,2,5,6,0,6,6,8,12,12,6,12,16,14,12,16,17,18,
#predictedHeads=0,0,2,5,6,0,6,12,8,12,12,14,12,16,14,6,0,17,18,
(2,14),-2.12587 # DEPENDENCYPART_ARC
(2,15),-1.76069 # DEPENDENCYPART_ARC
(2,16),-1.98161 # DEPENDENCYPART_ARC
(2,17),-0.575881 # DEPENDENCYPART_ARC
(2,18),-0.49056 # DEPENDENCYPART_ARC
(2,19),-1.31853 # DEPENDENCYPART_ARC
(3,1),-1.2815 # DEPENDENCYPART_ARC
(3,2),-0.232201 # DEPENDENCYPART_ARC
(3,4),-0.768086 # DEPENDENCYPART_ARC
(3,5),-1.1788 # DEPENDENCYPART_ARC
(3,6),-0.728748 # DEPENDENCYPART_ARC
(3,7),-1.42272 # DEPENDENCYPART_ARC
(3,8),-1.09837 # DEPENDENCYPART_ARC
(3,9),-0.83734 # DEPENDENCYPART_ARC
(3,10),-1.55945 # DEPENDENCYPART_ARC
(3,11),-1.77843 # DEPENDENCYPART_ARC
(3,12),-1.71407 # DEPENDENCYPART_ARC
(3,13),-1.16181 # DEPENDENCYPART_ARC
(3,14),-1.91214 # DEPENDENCYPART_ARC
(3,15),-1.39289 # DEPENDENCYPART_ARC
(3,16),-1.99502 # DEPENDENCYPART_ARC
(3,17),-1.32325 # DEPENDENCYPART_ARC
(3,18),-1.16898 # DEPENDENCYPART_ARC
(3,19),-1.42457 # DEPENDENCYPART_ARC
(4,1),-2.13496 # DEPENDENCYPART_ARC
(4,2),-1.30796 # DEPENDENCYPART_ARC
(4,3),-0.332588 # DEPENDENCYPART_ARC
(4,5),1.00822 # DEPENDENCYPART_ARC
(4,6),-0.274071 # DEPENDENCYPART_ARC
(4,7),-0.648148 # DEPENDENCYPART_ARC
(4,8),-1.13 # DEPENDENCYPART_ARC
(4,9),-0.688509 # DEPENDENCYPART_ARC
(4,10),-1.15164 # DEPENDENCYPART_ARC
(4,11),-0.806323 # DEPENDENCYPART_ARC
(4,12),-1.45631 # DEPENDENCYPART_ARC
(4,13),-1.49285 # DEPENDENCYPART_ARC
(4,14),-1.84716 # DEPENDENCYPART_ARC
(4,15),-1.88474 # DEPENDENCYPART_ARC
(4,16),-1.69372 # DEPENDENCYPART_ARC
(4,17),-1.72634 # DEPENDENCYPART_ARC
(4,18),-1.40018 # DEPENDENCYPART_ARC
(4,19),-1.05284 # DEPENDENCYPART_ARC
(5,1),-1.53871 # DEPENDENCYPART_ARC
(5,2),-0.956271 # DEPENDENCYPART_ARC
(5,3),-0.745962 # DEPENDENCYPART_ARC
(5,4),1.73968 # DEPENDENCYPART_ARC
(5,6),-0.119729 # DEPENDENCYPART_ARC
(5,7),-0.161054 # DEPENDENCYPART_ARC
(5,8),-1.36094 # DEPENDENCYPART_ARC
(5,9),-0.68822 # DEPENDENCYPART_ARC
(5,10),-1.13827 # DEPENDENCYPART_ARC
(5,11),-0.874369 # DEPENDENCYPART_ARC
(5,12),-1.54069 # DEPENDENCYPART_ARC
(5,13),-2.42186 # DEPENDENCYPART_ARC
(5,14),-1.67834 # DEPENDENCYPART_ARC
(5,15),-3.6433 # DEPENDENCYPART_ARC
(5,16),-1.77835 # DEPENDENCYPART_ARC
(5,17),-1.4664 # DEPENDENCYPART_ARC
(5,18),-1.56128 # DEPENDENCYPART_ARC
(5,19),-1.41737 # DEPENDENCYPART_ARC
(6,1),-0.925399 # DEPENDENCYPART_ARC
(6,2),0.425171 # DEPENDENCYPART_ARC
(6,3),-0.488005 # DEPENDENCYPART_ARC
(6,4),1.39649 # DEPENDENCYPART_ARC
(6,5),2.18495 # DEPENDENCYPART_ARC
(6,7),0.156165 # DEPENDENCYPART_ARC
(6,8),0.792595 # DEPENDENCYPART_ARC
(6,9),-0.229197 # DEPENDENCYPART_ARC
(6,10),-1.0382 # DEPENDENCYPART_ARC
(6,11),-0.413943 # DEPENDENCYPART_ARC
(6,12),-0.269149 # DEPENDENCYPART_ARC
(6,13),-0.51993 # DEPENDENCYPART_ARC
(6,14),-0.809502 # DEPENDENCYPART_ARC
(6,15),-0.362366 # DEPENDENCYPART_ARC
(6,16),0.31962 # DEPENDENCYPART_ARC
(6,17),-0.589269 # DEPENDENCYPART_ARC
(6,18),-1.05029 # DEPENDENCYPART_ARC
(6,19),-1.25356 # DEPENDENCYPART_ARC
(7,1),-1.5336 # DEPENDENCYPART_ARC
(7,2),-0.930091 # DEPENDENCYPART_ARC
(7,3),-1.27965 # DEPENDENCYPART_ARC
(7,4),-1.61995 # DEPENDENCYPART_ARC
(7,5),-1.87082 # DEPENDENCYPART_ARC
(7,6),-0.529299 # DEPENDENCYPART_ARC
(7,8),-0.0376975 # DEPENDENCYPART_ARC
(7,9),-0.378247 # DEPENDENCYPART_ARC
(7,10),-1.49525 # DEPENDENCYPART_ARC
(7,11),-1.11064 # DEPENDENCYPART_ARC
(7,12),-1.54429 # DEPENDENCYPART_ARC
(7,13),-2.06004 # DEPENDENCYPART_ARC
(7,14),-1.53973 # DEPENDENCYPART_ARC
(7,15),-1.67137 # DEPENDENCYPART_ARC
(7,16),-1.75083 # DEPENDENCYPART_ARC
(7,17),-1.39174 # DEPENDENCYPART_ARC
(7,18),-1.0013 # DEPENDENCYPART_ARC
(7,19),-1.34721 # DEPENDENCYPART_ARC
(8,1),-1.47146 # DEPENDENCYPART_ARC
(8,2),-1.11578 # DEPENDENCYPART_ARC
(8,3),-1.06967 # DEPENDENCYPART_ARC
(8,4),0.277068 # DEPENDENCYPART_ARC
(8,5),-1.03742 # DEPENDENCYPART_ARC
(8,6),-1.37712 # DEPENDENCYPART_ARC
(8,7),-0.0792146 # DEPENDENCYPART_ARC
(8,9),1.06118 # DEPENDENCYPART_ARC
(8,10),-1.33934 # DEPENDENCYPART_ARC
(8,11),-0.880197 # DEPENDENCYPART_ARC
(8,12),-1.20707 # DEPENDENCYPART_ARC
(8,13),-2.3042 # DEPENDENCYPART_ARC
(8,14),-1.82627 # DEPENDENCYPART_ARC
(8,15),-3.35854 # DEPENDENCYPART_ARC
(8,16),-1.19837 # DEPENDENCYPART_ARC
(8,17),-1.34006 # DEPENDENCYPART_ARC
(8,18),-1.14031 # DEPENDENCYPART_ARC
(8,19),-1.1369 # DEPENDENCYPART_ARC
(9,1),-1.23725 # DEPENDENCYPART_ARC
(9,2),-0.765523 # DEPENDENCYPART_ARC
(9,3),-1.14523 # DEPENDENCYPART_ARC
(9,4),-0.729268 # DEPENDENCYPART_ARC
(9,5),-0.673812 # DEPENDENCYPART_ARC
(9,6),0.225407 # DEPENDENCYPART_ARC
(9,7),-0.979797 # DEPENDENCYPART_ARC
(9,8),0.160971 # DEPENDENCYPART_ARC
(9,10),-0.478172 # DEPENDENCYPART_ARC
(9,11),-1.23353 # DEPENDENCYPART_ARC
(9,12),-0.496801 # DEPENDENCYPART_ARC
(9,13),-0.685852 # DEPENDENCYPART_ARC
(9,14),-1.14293 # DEPENDENCYPART_ARC
(9,15),-1.10094 # DEPENDENCYPART_ARC
(9,16),-0.983639 # DEPENDENCYPART_ARC
(9,17),-0.781163 # DEPENDENCYPART_ARC
(9,18),-0.487398 # DEPENDENCYPART_ARC
(9,19),-0.652533 # DEPENDENCYPART_ARC
(10,1),-1.53851 # DEPENDENCYPART_ARC
(10,2),-0.825043 # DEPENDENCYPART_ARC
(10,3),-1.26952 # DEPENDENCYPART_ARC
(10,4),-1.8808 # DEPENDENCYPART_ARC
(10,5),-2.22157 # DEPENDENCYPART_ARC
(10,6),-1.71198 # DEPENDENCYPART_ARC
(10,7),-0.360468 # DEPENDENCYPART_ARC
(10,8),-0.736397 # DEPENDENCYPART_ARC
(10,9),0.00262465 # DEPENDENCYPART_ARC
(10,11),0.0828435 # DEPENDENCYPART_ARC
(10,12),-1.45526 # DEPENDENCYPART_ARC
(10,13),-1.86495 # DEPENDENCYPART_ARC
(10,14),-1.27176 # DEPENDENCYPART_ARC
(10,15),-1.61543 # DEPENDENCYPART_ARC
(10,16),-1.73386 # DEPENDENCYPART_ARC
(10,17),-1.21863 # DEPENDENCYPART_ARC
(10,18),-0.917118 # DEPENDENCYPART_ARC
(10,19),-1.13926 # DEPENDENCYPART_ARC
(11,1),-1.2524 # DEPENDENCYPART_ARC
(11,2),-0.530762 # DEPENDENCYPART_ARC
(11,3),-1.16049 # DEPENDENCYPART_ARC
(11,4),-0.655072 # DEPENDENCYPART_ARC
(11,5),-0.760925 # DEPENDENCYPART_ARC
(11,6),-0.924586 # DEPENDENCYPART_ARC
(11,7),-0.731269 # DEPENDENCYPART_ARC
(11,8),-0.419176 # DEPENDENCYPART_ARC
(11,9),-0.483275 # DEPENDENCYPART_ARC
(11,10),0.386064 # DEPENDENCYPART_ARC
(11,12),-0.559378 # DEPENDENCYPART_ARC
(11,13),-0.494211 # DEPENDENCYPART_ARC
(11,14),-1.03254 # DEPENDENCYPART_ARC
(11,15),-1.3649 # DEPENDENCYPART_ARC
(11,16),-1.35482 # DEPENDENCYPART_ARC
(11,17),-0.914531 # DEPENDENCYPART_ARC
(11,18),-0.56936 # DEPENDENCYPART_ARC
(11,19),-0.804073 # DEPENDENCYPART_ARC
(12,1),-1.39574 # DEPENDENCYPART_ARC
(12,2),0.00894743 # DEPENDENCYPART_ARC
(12,3),-1.30568 # DEPENDENCYPART_ARC
(12,4),-0.0618728 # DEPENDENCYPART_ARC
(12,5),0.0712997 # DEPENDENCYPART_ARC
(12,6),-0.947889 # DEPENDENCYPART_ARC
(12,7),-0.00333739 # DEPENDENCYPART_ARC
(12,8),0.859371 # DEPENDENCYPART_ARC
(12,9),-0.547477 # DEPENDENCYPART_ARC
(12,10),1.00016 # DEPENDENCYPART_ARC
(12,11),1.36766 # DEPENDENCYPART_ARC
(12,13),2.84743 # DEPENDENCYPART_ARC
(12,14),0.78379 # DEPENDENCYPART_ARC
(12,15),-0.618633 # DEPENDENCYPART_ARC
(12,16),0.0852405 # DEPENDENCYPART_ARC
(12,17),0.137543 # DEPENDENCYPART_ARC
(12,18),-0.375165 # DEPENDENCYPART_ARC
(12,19),-0.599456 # DEPENDENCYPART_ARC
(13,1),-1.94359 # DEPENDENCYPART_ARC
(13,2),-1.61553 # DEPENDENCYPART_ARC
(13,3),-1.86546 # DEPENDENCYPART_ARC
(13,4),-1.49616 # DEPENDENCYPART_ARC
(13,5),-1.0479 # DEPENDENCYPART_ARC
(13,6),-1.5263 # DEPENDENCYPART_ARC
(13,7),-1.0791 # DEPENDENCYPART_ARC
(13,8),-0.863939 # DEPENDENCYPART_ARC
(13,9),-1.4679 # DEPENDENCYPART_ARC
(13,10),-0.624607 # DEPENDENCYPART_ARC
(13,11),-0.773955 # DEPENDENCYPART_ARC
(13,12),-1.0912 # DEPENDENCYPART_ARC
(13,14),-0.852207 # DEPENDENCYPART_ARC
(13,15),-0.744427 # DEPENDENCYPART_ARC
(13,16),-0.872709 # DEPENDENCYPART_ARC
(13,17),-0.0815167 # DEPENDENCYPART_ARC
(13,18),-0.568881 # DEPENDENCYPART_ARC
(13,19),-0.740395 # DEPENDENCYPART_ARC
(14,1),-2.13896 # DEPENDENCYPART_ARC
(14,2),-1.60564 # DEPENDENCYPART_ARC
(14,3),-1.97228 # DEPENDENCYPART_ARC
(14,4),-1.28949 # DEPENDENCYPART_ARC
(14,5),-2.35957 # DEPENDENCYPART_ARC
(14,6),-2.27812 # DEPENDENCYPART_ARC
(14,7),-1.88196 # DEPENDENCYPART_ARC
(14,8),-2.50107 # DEPENDENCYPART_ARC
(14,9),-1.39799 # DEPENDENCYPART_ARC
(14,10),-1.59868 # DEPENDENCYPART_ARC
(14,11),-0.724181 # DEPENDENCYPART_ARC
(14,12),0.824786 # DEPENDENCYPART_ARC
(14,13),-0.327105 # DEPENDENCYPART_ARC
(14,15),2.57219 # DEPENDENCYPART_ARC
(14,16),-0.104441 # DEPENDENCYPART_ARC
(14,17),-0.414507 # DEPENDENCYPART_ARC
(14,18),-0.68327 # DEPENDENCYPART_ARC
(14,19),-0.772698 # DEPENDENCYPART_ARC
(15,1),-1.49165 # DEPENDENCYPART_ARC
(15,2),-0.934708 # DEPENDENCYPART_ARC
(15,3),-1.55116 # DEPENDENCYPART_ARC
(15,4),-1.32975 # DEPENDENCYPART_ARC
(15,5),-1.69835 # DEPENDENCYPART_ARC
(15,6),-1.45686 # DEPENDENCYPART_ARC
(15,7),-1.61187 # DEPENDENCYPART_ARC
(15,8),-1.79194 # DEPENDENCYPART_ARC
(15,9),-1.15582 # DEPENDENCYPART_ARC
(15,10),-1.4826 # DEPENDENCYPART_ARC
(15,11),-0.161276 # DEPENDENCYPART_ARC
(15,12),-0.306503 # DEPENDENCYPART_ARC
(15,13),-0.961944 # DEPENDENCYPART_ARC
(15,14),0.50383 # DEPENDENCYPART_ARC
(15,16),-0.780332 # DEPENDENCYPART_ARC
(15,17),-0.763888 # DEPENDENCYPART_ARC
(15,18),-0.31484 # DEPENDENCYPART_ARC
(15,19),-0.636193 # DEPENDENCYPART_ARC
(16,1),-1.59657 # DEPENDENCYPART_ARC
(16,2),-0.231602 # DEPENDENCYPART_ARC
(16,3),-1.65316 # DEPENDENCYPART_ARC
(16,4),-0.60606 # DEPENDENCYPART_ARC
(16,5),-0.805794 # DEPENDENCYPART_ARC
(16,6),-1.43646 # DEPENDENCYPART_ARC
(16,7),-0.76046 # DEPENDENCYPART_ARC
(16,8),-0.837363 # DEPENDENCYPART_ARC
(16,9),-1.25379 # DEPENDENCYPART_ARC
(16,10),-0.124073 # DEPENDENCYPART_ARC
(16,11),0.0219895 # DEPENDENCYPART_ARC
(16,12),-0.317406 # DEPENDENCYPART_ARC
(16,13),-0.202111 # DEPENDENCYPART_ARC
(16,14),1.28807 # DEPENDENCYPART_ARC
(16,15),-0.317961 # DEPENDENCYPART_ARC
(16,17),1.24432 # DEPENDENCYPART_ARC
(16,18),0.213027 # DEPENDENCYPART_ARC
(16,19),-0.443825 # DEPENDENCYPART_ARC
(17,1),-2.75396 # DEPENDENCYPART_ARC
(17,2),-2.45532 # DEPENDENCYPART_ARC
(17,3),-2.71065 # DEPENDENCYPART_ARC
(17,4),-2.61084 # DEPENDENCYPART_ARC
(17,5),-2.93929 # DEPENDENCYPART_ARC
(17,6),-1.58352 # DEPENDENCYPART_ARC
(17,7),-2.77571 # DEPENDENCYPART_ARC
(17,8),-2.669 # DEPENDENCYPART_ARC
(17,9),-2.37994 # DEPENDENCYPART_ARC
(17,10),-2.65347 # DEPENDENCYPART_ARC
(17,11),-1.94523 # DEPENDENCYPART_ARC
(17,12),-1.85919 # DEPENDENCYPART_ARC
(17,13),-2.11975 # DEPENDENCYPART_ARC
(17,14),-2.05017 # DEPENDENCYPART_ARC
(17,15),-1.66457 # DEPENDENCYPART_ARC
(17,16),-0.168395 # DEPENDENCYPART_ARC
(17,18),1.31976 # DEPENDENCYPART_ARC
(17,19),-0.381311 # DEPENDENCYPART_ARC
(18,1),-2.25457 # DEPENDENCYPART_ARC
(18,2),-1.84658 # DEPENDENCYPART_ARC
(18,3),-2.20495 # DEPENDENCYPART_ARC
(18,4),-1.74321 # DEPENDENCYPART_ARC
(18,5),-1.7476 # DEPENDENCYPART_ARC
(18,6),-1.54098 # DEPENDENCYPART_ARC
(18,7),-2.41449 # DEPENDENCYPART_ARC
(18,8),-2.00731 # DEPENDENCYPART_ARC
(18,9),-2.07459 # DEPENDENCYPART_ARC
(18,10),-2.1602 # DEPENDENCYPART_ARC
(18,11),-1.81419 # DEPENDENCYPART_ARC
(18,12),-1.51742 # DEPENDENCYPART_ARC
(18,13),-1.57696 # DEPENDENCYPART_ARC
(18,14),-1.60515 # DEPENDENCYPART_ARC
(18,15),-1.49497 # DEPENDENCYPART_ARC
(18,16),-1.23578 # DEPENDENCYPART_ARC
(18,17),-0.762828 # DEPENDENCYPART_ARC
(18,19),1.89651 # DEPENDENCYPART_ARC
(19,1),-1.56052 # DEPENDENCYPART_ARC
(19,2),-1.20649 # DEPENDENCYPART_ARC
(19,3),-1.48041 # DEPENDENCYPART_ARC
(19,4),-1.40068 # DEPENDENCYPART_ARC
(19,5),-1.35953 # DEPENDENCYPART_ARC
(19,6),-1.12391 # DEPENDENCYPART_ARC
(19,7),-1.88832 # DEPENDENCYPART_ARC
(19,8),-1.57414 # DEPENDENCYPART_ARC
(19,9),-1.41054 # DEPENDENCYPART_ARC
(19,10),-1.71085 # DEPENDENCYPART_ARC
(19,11),-1.28996 # DEPENDENCYPART_ARC
(19,12),-1.41168 # DEPENDENCYPART_ARC
(19,13),-0.99717 # DEPENDENCYPART_ARC
(19,14),-1.09575 # DEPENDENCYPART_ARC
(19,15),-1.14189 # DEPENDENCYPART_ARC
(19,16),-1.00775 # DEPENDENCYPART_ARC
(19,17),-0.9288 # DEPENDENCYPART_ARC
(19,18),-0.419323 # DEPENDENCYPART_ARC
