# _root_ - abuztuaren 9an , berriozarren espainiako ejerzitoaren_aurka armaz burututako ekintza , zeinaren ondorioz francisco_casanova vicente tenienteordea hilik gertatu zen .
#goldHeads=0,3,9,3,9,7,9,9,10,0,10,13,18,16,14,18,18,10,18,19,
#predictedHeads=0,0,2,3,9,7,9,9,10,18,10,13,18,16,16,18,18,0,18,19,
(7,3),-3.44074 # DEPENDENCYPART_ARC
(7,4),-1.5085 # DEPENDENCYPART_ARC
(7,5),-1.64488 # DEPENDENCYPART_ARC
(7,6),2.26453 # DEPENDENCYPART_ARC
(7,8),-0.300229 # DEPENDENCYPART_ARC
(7,9),-2.07679 # DEPENDENCYPART_ARC
(7,10),-2.19349 # DEPENDENCYPART_ARC
(7,11),-1.02393 # DEPENDENCYPART_ARC
(7,12),-3.55305 # DEPENDENCYPART_ARC
(7,13),-2.34833 # DEPENDENCYPART_ARC
(7,14),-2.29574 # DEPENDENCYPART_ARC
(7,15),-1.08567 # DEPENDENCYPART_ARC
(7,16),-3.01489 # DEPENDENCYPART_ARC
(7,17),-1.35973 # DEPENDENCYPART_ARC
(7,18),-3.84256 # DEPENDENCYPART_ARC
(7,19),-2.23034 # DEPENDENCYPART_ARC
(7,20),-1.44161 # DEPENDENCYPART_ARC
(8,1),-1.86493 # DEPENDENCYPART_ARC
(8,2),-1.39161 # DEPENDENCYPART_ARC
(8,3),-3.10157 # DEPENDENCYPART_ARC
(8,4),-1.63961 # DEPENDENCYPART_ARC
(8,5),-2.07101 # DEPENDENCYPART_ARC
(8,6),0.479886 # DEPENDENCYPART_ARC
(8,7),1.18596 # DEPENDENCYPART_ARC
(8,9),0.060366 # DEPENDENCYPART_ARC
(8,10),-0.575923 # DEPENDENCYPART_ARC
(8,11),-0.622097 # DEPENDENCYPART_ARC
(8,12),-1.97206 # DEPENDENCYPART_ARC
(8,13),-0.838338 # DEPENDENCYPART_ARC
(8,14),-1.65766 # DEPENDENCYPART_ARC
(8,15),-0.811824 # DEPENDENCYPART_ARC
(8,16),-2.05797 # DEPENDENCYPART_ARC
(8,17),-1.15707 # DEPENDENCYPART_ARC
(8,18),-2.66761 # DEPENDENCYPART_ARC
(8,19),-1.61948 # DEPENDENCYPART_ARC
(8,20),-1.17518 # DEPENDENCYPART_ARC
(9,1),-1.67096 # DEPENDENCYPART_ARC
(9,2),-0.961356 # DEPENDENCYPART_ARC
(9,3),-0.277977 # DEPENDENCYPART_ARC
(9,4),-1.89991 # DEPENDENCYPART_ARC
(9,5),1.01071 # DEPENDENCYPART_ARC
(9,6),-0.435172 # DEPENDENCYPART_ARC
(9,7),1.31953 # DEPENDENCYPART_ARC
(9,8),2.00156 # DEPENDENCYPART_ARC
(9,10),-0.410649 # DEPENDENCYPART_ARC
(9,11),-0.494221 # DEPENDENCYPART_ARC
(9,12),-2.39516 # DEPENDENCYPART_ARC
(9,13),-1.70337 # DEPENDENCYPART_ARC
(9,14),-3.34073 # DEPENDENCYPART_ARC
(9,15),-1.58544 # DEPENDENCYPART_ARC
(9,16),-1.78233 # DEPENDENCYPART_ARC
(9,17),-2.18037 # DEPENDENCYPART_ARC
(9,18),-1.57056 # DEPENDENCYPART_ARC
(9,19),-1.63934 # DEPENDENCYPART_ARC
(9,20),-1.5224 # DEPENDENCYPART_ARC
(10,1),-1.4397 # DEPENDENCYPART_ARC
(10,2),-1.02998 # DEPENDENCYPART_ARC
(10,3),-3.53484 # DEPENDENCYPART_ARC
(10,4),-1.23703 # DEPENDENCYPART_ARC
(10,5),-2.39496 # DEPENDENCYPART_ARC
(10,6),0.163442 # DEPENDENCYPART_ARC
(10,7),-1.23661 # DEPENDENCYPART_ARC
(10,8),-1.19035 # DEPENDENCYPART_ARC
(10,9),2.396 # DEPENDENCYPART_ARC
(10,11),1.41795 # DEPENDENCYPART_ARC
(10,12),-1.0685 # DEPENDENCYPART_ARC
(10,13),-1.52977 # DEPENDENCYPART_ARC
(10,14),-2.03632 # DEPENDENCYPART_ARC
(10,15),-0.548714 # DEPENDENCYPART_ARC
(10,16),-2.22613 # DEPENDENCYPART_ARC
(10,17),-0.940827 # DEPENDENCYPART_ARC
(10,18),-2.17044 # DEPENDENCYPART_ARC
(10,19),-1.63875 # DEPENDENCYPART_ARC
(10,20),-0.59917 # DEPENDENCYPART_ARC
(11,1),-1.01142 # DEPENDENCYPART_ARC
(11,2),-0.841145 # DEPENDENCYPART_ARC
(11,7),-0.608185 # DEPENDENCYPART_ARC
(11,8),-0.467159 # DEPENDENCYPART_ARC
(11,9),-0.194869 # DEPENDENCYPART_ARC
(11,10),0.13653 # DEPENDENCYPART_ARC
(11,13),-0.429683 # DEPENDENCYPART_ARC
(11,15),-0.450328 # DEPENDENCYPART_ARC
(11,16),-0.628743 # DEPENDENCYPART_ARC
(11,18),-1.31087 # DEPENDENCYPART_ARC
(11,19),-1.00616 # DEPENDENCYPART_ARC
(12,1),-1.86413 # DEPENDENCYPART_ARC
(12,2),-1.90005 # DEPENDENCYPART_ARC
(12,4),-1.70757 # DEPENDENCYPART_ARC
(12,7),-1.03585 # DEPENDENCYPART_ARC
(12,8),-1.92964 # DEPENDENCYPART_ARC
(12,10),-0.933394 # DEPENDENCYPART_ARC
(12,11),-0.201003 # DEPENDENCYPART_ARC
(12,13),1.30308 # DEPENDENCYPART_ARC
(12,16),-1.32746 # DEPENDENCYPART_ARC
(12,17),-1.01021 # DEPENDENCYPART_ARC
(13,1),-2.09755 # DEPENDENCYPART_ARC
(13,2),-1.62124 # DEPENDENCYPART_ARC
(13,3),-3.30268 # DEPENDENCYPART_ARC
(13,4),-2.01128 # DEPENDENCYPART_ARC
(13,5),-2.8395 # DEPENDENCYPART_ARC
(13,6),-0.844332 # DEPENDENCYPART_ARC
(13,7),-1.29001 # DEPENDENCYPART_ARC
(13,8),-2.4507 # DEPENDENCYPART_ARC
(13,9),-0.380872 # DEPENDENCYPART_ARC
(13,10),-2.1404 # DEPENDENCYPART_ARC
(13,11),-1.04484 # DEPENDENCYPART_ARC
(13,12),1.46628 # DEPENDENCYPART_ARC
(13,14),-0.572666 # DEPENDENCYPART_ARC
(13,15),-0.57547 # DEPENDENCYPART_ARC
(13,16),-2.01562 # DEPENDENCYPART_ARC
(13,17),-1.557 # DEPENDENCYPART_ARC
(13,18),-2.88686 # DEPENDENCYPART_ARC
(13,19),-2.18906 # DEPENDENCYPART_ARC
(13,20),-1.36698 # DEPENDENCYPART_ARC
(14,1),-2.34949 # DEPENDENCYPART_ARC
(14,2),-2.33567 # DEPENDENCYPART_ARC
(14,3),-6.13 # DEPENDENCYPART_ARC
(14,4),-2.35932 # DEPENDENCYPART_ARC
(14,5),-5.78402 # DEPENDENCYPART_ARC
(14,6),-1.5694 # DEPENDENCYPART_ARC
(14,7),-3.85583 # DEPENDENCYPART_ARC
(14,8),-5.264 # DEPENDENCYPART_ARC
(14,9),-0.464375 # DEPENDENCYPART_ARC
(14,10),-4.60945 # DEPENDENCYPART_ARC
(14,11),-1.65257 # DEPENDENCYPART_ARC
(14,13),-3.03449 # DEPENDENCYPART_ARC
(14,15),0.978575 # DEPENDENCYPART_ARC
(14,16),-1.79397 # DEPENDENCYPART_ARC
(14,17),-1.24023 # DEPENDENCYPART_ARC
(14,18),-4.12238 # DEPENDENCYPART_ARC
(14,20),-1.11096 # DEPENDENCYPART_ARC
(15,1),-2.72592 # DEPENDENCYPART_ARC
(15,2),-3.06591 # DEPENDENCYPART_ARC
(15,4),-2.79366 # DEPENDENCYPART_ARC
(15,5),-3.78849 # DEPENDENCYPART_ARC
(15,6),-3.2064 # DEPENDENCYPART_ARC
(15,7),-3.09977 # DEPENDENCYPART_ARC
(15,8),-2.99831 # DEPENDENCYPART_ARC
(15,9),-1.70234 # DEPENDENCYPART_ARC
(15,10),-2.9366 # DEPENDENCYPART_ARC
(15,11),-2.171 # DEPENDENCYPART_ARC
(15,13),-1.38633 # DEPENDENCYPART_ARC
(15,14),-0.777452 # DEPENDENCYPART_ARC
(15,16),1.17666 # DEPENDENCYPART_ARC
(15,17),-0.386544 # DEPENDENCYPART_ARC
(15,18),-1.15514 # DEPENDENCYPART_ARC
(15,20),-0.694024 # DEPENDENCYPART_ARC
(16,1),-2.28846 # DEPENDENCYPART_ARC
(16,2),-2.16099 # DEPENDENCYPART_ARC
(16,3),-4.12172 # DEPENDENCYPART_ARC
(16,4),-2.40497 # DEPENDENCYPART_ARC
(16,5),-2.87611 # DEPENDENCYPART_ARC
(16,6),-1.02506 # DEPENDENCYPART_ARC
(16,7),-1.66986 # DEPENDENCYPART_ARC
(16,8),-2.77154 # DEPENDENCYPART_ARC
(16,9),-0.465815 # DEPENDENCYPART_ARC
(16,10),-2.44204 # DEPENDENCYPART_ARC
(16,11),-1.85326 # DEPENDENCYPART_ARC
(16,12),-1.29219 # DEPENDENCYPART_ARC
(16,13),-1.70601 # DEPENDENCYPART_ARC
(16,14),0.83829 # DEPENDENCYPART_ARC
(16,15),1.15214 # DEPENDENCYPART_ARC
(16,17),-0.0873749 # DEPENDENCYPART_ARC
(16,18),-1.92194 # DEPENDENCYPART_ARC
(16,19),-1.86186 # DEPENDENCYPART_ARC
(16,20),-1.21556 # DEPENDENCYPART_ARC
(17,1),-1.9491 # DEPENDENCYPART_ARC
(17,2),-0.96421 # DEPENDENCYPART_ARC
(17,4),-1.99784 # DEPENDENCYPART_ARC
(17,5),-1.04543 # DEPENDENCYPART_ARC
(17,6),-1.15829 # DEPENDENCYPART_ARC
(17,7),-1.10101 # DEPENDENCYPART_ARC
(17,8),-1.14746 # DEPENDENCYPART_ARC
(17,9),-1.29399 # DEPENDENCYPART_ARC
(17,10),-1.16874 # DEPENDENCYPART_ARC
(17,11),-1.43324 # DEPENDENCYPART_ARC
(17,13),-0.873922 # DEPENDENCYPART_ARC
(17,14),-0.687927 # DEPENDENCYPART_ARC
(17,15),-0.502256 # DEPENDENCYPART_ARC
(17,16),0.0023852 # DEPENDENCYPART_ARC
(17,18),-0.501197 # DEPENDENCYPART_ARC
(17,19),-0.378003 # DEPENDENCYPART_ARC
(17,20),-0.234029 # DEPENDENCYPART_ARC
(18,1),-1.46729 # DEPENDENCYPART_ARC
(18,2),-1.04591 # DEPENDENCYPART_ARC
(18,3),0.109569 # DEPENDENCYPART_ARC
(18,4),-2.27805 # DEPENDENCYPART_ARC
(18,5),0.65895 # DEPENDENCYPART_ARC
(18,6),-1.43287 # DEPENDENCYPART_ARC
(18,7),0.307692 # DEPENDENCYPART_ARC
(18,8),0.102944 # DEPENDENCYPART_ARC
(18,9),-0.738041 # DEPENDENCYPART_ARC
(18,10),0.374353 # DEPENDENCYPART_ARC
(18,11),-1.32563 # DEPENDENCYPART_ARC
(18,12),-0.45825 # DEPENDENCYPART_ARC
(18,13),1.40299 # DEPENDENCYPART_ARC
(18,14),-0.0597585 # DEPENDENCYPART_ARC
(18,15),0.647926 # DEPENDENCYPART_ARC
(18,16),2.15668 # DEPENDENCYPART_ARC
(18,17),1.47546 # DEPENDENCYPART_ARC
(18,19),1.60175 # DEPENDENCYPART_ARC
(18,20),-0.142324 # DEPENDENCYPART_ARC
(19,1),-2.11284 # DEPENDENCYPART_ARC
(19,2),-1.63281 # DEPENDENCYPART_ARC
(19,4),-2.20175 # DEPENDENCYPART_ARC
(19,5),-1.74279 # DEPENDENCYPART_ARC
(19,6),-1.49203 # DEPENDENCYPART_ARC
(19,7),-1.51864 # DEPENDENCYPART_ARC
(19,8),-1.73619 # DEPENDENCYPART_ARC
(19,9),-1.74937 # DEPENDENCYPART_ARC
(19,10),-1.53181 # DEPENDENCYPART_ARC
(19,11),-1.84809 # DEPENDENCYPART_ARC
(19,13),-1.39025 # DEPENDENCYPART_ARC
(19,14),-1.14051 # DEPENDENCYPART_ARC
(19,15),-0.9841 # DEPENDENCYPART_ARC
(19,16),-0.578517 # DEPENDENCYPART_ARC
(19,17),-0.902054 # DEPENDENCYPART_ARC
(19,18),-1.27163 # DEPENDENCYPART_ARC
(19,20),1.79931 # DEPENDENCYPART_ARC
(20,1),-1.7284 # DEPENDENCYPART_ARC
(20,2),-1.92558 # DEPENDENCYPART_ARC
(20,4),-1.65778 # DEPENDENCYPART_ARC
(20,5),-1.71165 # DEPENDENCYPART_ARC
(20,6),-1.50256 # DEPENDENCYPART_ARC
(20,7),-1.35445 # DEPENDENCYPART_ARC
(20,8),-1.39581 # DEPENDENCYPART_ARC
(20,9),-1.84263 # DEPENDENCYPART_ARC
(20,10),-1.78016 # DEPENDENCYPART_ARC
(20,11),-1.46409 # DEPENDENCYPART_ARC
(20,13),-1.23036 # DEPENDENCYPART_ARC
(20,14),-0.994904 # DEPENDENCYPART_ARC
(20,16),-0.835396 # DEPENDENCYPART_ARC
(20,18),-0.942927 # DEPENDENCYPART_ARC
