# _root_ gai ekonomikoetarako komisario pedro_solbes , hala_ere , pozik azaldu zen ebko ekonomiaren hazkunde tasarekin .
#goldHeads=3,1,4,9,4,0,6,9,0,9,12,13,14,9,14,
#predictedHeads=3,1,4,9,4,0,6,9,0,9,12,13,14,9,14,
(4,13),-0.511395 # DEPENDENCYPART_ARC
(4,14),-0.923522 # DEPENDENCYPART_ARC
(4,15),0.201375 # DEPENDENCYPART_ARC
(5,1),-1.1685 # DEPENDENCYPART_ARC
(5,2),-0.861659 # DEPENDENCYPART_ARC
(5,3),-0.70121 # DEPENDENCYPART_ARC
(5,4),-0.440049 # DEPENDENCYPART_ARC
(5,6),-0.27984 # DEPENDENCYPART_ARC
(5,7),-0.297556 # DEPENDENCYPART_ARC
(5,8),-1.41408 # DEPENDENCYPART_ARC
(5,9),-0.745106 # DEPENDENCYPART_ARC
(5,10),-0.764282 # DEPENDENCYPART_ARC
(5,11),-1.27381 # DEPENDENCYPART_ARC
(5,12),-1.23754 # DEPENDENCYPART_ARC
(5,13),-1.28939 # DEPENDENCYPART_ARC
(5,14),-1.11801 # DEPENDENCYPART_ARC
(5,15),-1.10358 # DEPENDENCYPART_ARC
(6,1),-1.04473 # DEPENDENCYPART_ARC
(6,2),-2.33981 # DEPENDENCYPART_ARC
(6,3),-0.856064 # DEPENDENCYPART_ARC
(6,4),-1.55589 # DEPENDENCYPART_ARC
(6,5),0.0549124 # DEPENDENCYPART_ARC
(6,7),2.6941 # DEPENDENCYPART_ARC
(6,8),-0.102959 # DEPENDENCYPART_ARC
(6,9),0.43073 # DEPENDENCYPART_ARC
(6,10),-0.327738 # DEPENDENCYPART_ARC
(6,11),-1.50028 # DEPENDENCYPART_ARC
(6,12),-1.54709 # DEPENDENCYPART_ARC
(6,13),-1.29822 # DEPENDENCYPART_ARC
(6,14),-0.994215 # DEPENDENCYPART_ARC
(6,15),0.0138989 # DEPENDENCYPART_ARC
(7,1),-1.41475 # DEPENDENCYPART_ARC
(7,2),-1.3499 # DEPENDENCYPART_ARC
(7,3),-1.11457 # DEPENDENCYPART_ARC
(7,4),-1.11203 # DEPENDENCYPART_ARC
(7,5),-1.35704 # DEPENDENCYPART_ARC
(7,6),-0.249376 # DEPENDENCYPART_ARC
(7,8),-0.810455 # DEPENDENCYPART_ARC
(7,9),-1.01767 # DEPENDENCYPART_ARC
(7,10),-0.826272 # DEPENDENCYPART_ARC
(7,11),-1.46273 # DEPENDENCYPART_ARC
(7,12),-1.46984 # DEPENDENCYPART_ARC
(7,13),-1.58012 # DEPENDENCYPART_ARC
(7,14),-1.54435 # DEPENDENCYPART_ARC
(7,15),-1.03042 # DEPENDENCYPART_ARC
(8,1),-1.02777 # DEPENDENCYPART_ARC
(8,2),-1.39297 # DEPENDENCYPART_ARC
(8,3),-0.837798 # DEPENDENCYPART_ARC
(8,4),-0.795699 # DEPENDENCYPART_ARC
(8,5),-0.543319 # DEPENDENCYPART_ARC
(8,6),-0.402993 # DEPENDENCYPART_ARC
(8,7),0.275015 # DEPENDENCYPART_ARC
(8,9),-0.653354 # DEPENDENCYPART_ARC
(8,10),-0.620279 # DEPENDENCYPART_ARC
(8,11),-1.14003 # DEPENDENCYPART_ARC
(8,12),-1.18762 # DEPENDENCYPART_ARC
(8,13),-1.21356 # DEPENDENCYPART_ARC
(8,14),-1.20913 # DEPENDENCYPART_ARC
(8,15),-0.782259 # DEPENDENCYPART_ARC
(9,1),-0.0779698 # DEPENDENCYPART_ARC
(9,2),-1.42268 # DEPENDENCYPART_ARC
(9,3),-0.653677 # DEPENDENCYPART_ARC
(9,4),-0.584526 # DEPENDENCYPART_ARC
(9,5),-0.977395 # DEPENDENCYPART_ARC
(9,6),0.0210679 # DEPENDENCYPART_ARC
(9,7),-0.700372 # DEPENDENCYPART_ARC
(9,8),1.51238 # DEPENDENCYPART_ARC
(9,10),2.21244 # DEPENDENCYPART_ARC
(9,11),-0.21525 # DEPENDENCYPART_ARC
(9,12),-0.143478 # DEPENDENCYPART_ARC
(9,13),-0.0159867 # DEPENDENCYPART_ARC
(9,14),1.2218 # DEPENDENCYPART_ARC
(9,15),-0.215381 # DEPENDENCYPART_ARC
(10,1),-1.45763 # DEPENDENCYPART_ARC
(10,2),-1.89754 # DEPENDENCYPART_ARC
(10,3),-1.3743 # DEPENDENCYPART_ARC
(10,4),-1.88293 # DEPENDENCYPART_ARC
(10,5),-1.67049 # DEPENDENCYPART_ARC
(10,6),-1.35244 # DEPENDENCYPART_ARC
(10,7),-1.28757 # DEPENDENCYPART_ARC
(10,8),-0.815574 # DEPENDENCYPART_ARC
(10,9),-1.29216 # DEPENDENCYPART_ARC
(10,11),-0.612187 # DEPENDENCYPART_ARC
(10,12),-1.16986 # DEPENDENCYPART_ARC
(10,13),-1.24517 # DEPENDENCYPART_ARC
(10,14),-1.33155 # DEPENDENCYPART_ARC
(10,15),-1.18998 # DEPENDENCYPART_ARC
(11,1),-2.68754 # DEPENDENCYPART_ARC
(11,2),-1.02003 # DEPENDENCYPART_ARC
(11,3),-1.98765 # DEPENDENCYPART_ARC
(11,4),-3.36533 # DEPENDENCYPART_ARC
(11,5),-2.10049 # DEPENDENCYPART_ARC
(11,6),-2.47915 # DEPENDENCYPART_ARC
(11,7),-1.93786 # DEPENDENCYPART_ARC
(11,8),-1.40376 # DEPENDENCYPART_ARC
(11,9),-1.87102 # DEPENDENCYPART_ARC
(11,10),-0.925875 # DEPENDENCYPART_ARC
(11,12),-1.26418 # DEPENDENCYPART_ARC
(11,13),-0.753177 # DEPENDENCYPART_ARC
(11,14),-1.38531 # DEPENDENCYPART_ARC
(11,15),-1.00242 # DEPENDENCYPART_ARC
(12,1),-1.47869 # DEPENDENCYPART_ARC
(12,2),-1.25126 # DEPENDENCYPART_ARC
(12,3),-1.40969 # DEPENDENCYPART_ARC
(12,4),-1.16391 # DEPENDENCYPART_ARC
(12,5),-1.70982 # DEPENDENCYPART_ARC
(12,6),-1.9295 # DEPENDENCYPART_ARC
(12,7),-1.69241 # DEPENDENCYPART_ARC
(12,8),-1.05576 # DEPENDENCYPART_ARC
(12,9),-1.00576 # DEPENDENCYPART_ARC
(12,10),-1.05796 # DEPENDENCYPART_ARC
(12,11),2.51321 # DEPENDENCYPART_ARC
(12,13),0.431313 # DEPENDENCYPART_ARC
(12,14),-0.925715 # DEPENDENCYPART_ARC
(12,15),-0.703547 # DEPENDENCYPART_ARC
(13,1),-2.01617 # DEPENDENCYPART_ARC
(13,2),-1.88647 # DEPENDENCYPART_ARC
(13,3),-1.77539 # DEPENDENCYPART_ARC
(13,4),-2.10269 # DEPENDENCYPART_ARC
(13,5),-1.99646 # DEPENDENCYPART_ARC
(13,6),-1.71814 # DEPENDENCYPART_ARC
(13,7),-2.03273 # DEPENDENCYPART_ARC
(13,8),-1.39805 # DEPENDENCYPART_ARC
(13,9),-0.64626 # DEPENDENCYPART_ARC
(13,10),-1.21239 # DEPENDENCYPART_ARC
(13,11),0.244243 # DEPENDENCYPART_ARC
(13,12),1.22572 # DEPENDENCYPART_ARC
(13,14),0.461361 # DEPENDENCYPART_ARC
(13,15),0.377316 # DEPENDENCYPART_ARC
(14,1),-1.56005 # DEPENDENCYPART_ARC
(14,2),-3.4097 # DEPENDENCYPART_ARC
(14,3),-1.94507 # DEPENDENCYPART_ARC
(14,4),-1.71011 # DEPENDENCYPART_ARC
(14,5),-1.99152 # DEPENDENCYPART_ARC
(14,6),-2.0024 # DEPENDENCYPART_ARC
(14,7),-2.00005 # DEPENDENCYPART_ARC
(14,8),-1.27534 # DEPENDENCYPART_ARC
(14,9),-1.24533 # DEPENDENCYPART_ARC
(14,10),-1.66562 # DEPENDENCYPART_ARC
(14,11),0.374424 # DEPENDENCYPART_ARC
(14,12),0.780575 # DEPENDENCYPART_ARC
(14,13),1.12588 # DEPENDENCYPART_ARC
(14,15),2.00357 # DEPENDENCYPART_ARC
(15,1),-2.04811 # DEPENDENCYPART_ARC
(15,2),-1.75137 # DEPENDENCYPART_ARC
(15,3),-1.72143 # DEPENDENCYPART_ARC
(15,4),-1.99289 # DEPENDENCYPART_ARC
(15,5),-1.43968 # DEPENDENCYPART_ARC
(15,6),-1.18755 # DEPENDENCYPART_ARC
(15,7),-1.24353 # DEPENDENCYPART_ARC
(15,8),-1.30799 # DEPENDENCYPART_ARC
(15,9),-1.26639 # DEPENDENCYPART_ARC
(15,10),-1.33567 # DEPENDENCYPART_ARC
(15,11),-1.05479 # DEPENDENCYPART_ARC
(15,12),-0.804605 # DEPENDENCYPART_ARC
(15,13),-0.75476 # DEPENDENCYPART_ARC
(15,14),-0.497589 # DEPENDENCYPART_ARC
