# _root_ ehiztariek oihu_egin ziguten , otsoarengandik apartatzeko esanaz , eta eztarriek ez zieten bere belarriei gure lasaitzeko eta ez tiratzeko hitzik entzuten utzi .
#goldHeads=2,9,2,3,6,7,2,7,0,22,22,22,14,22,20,17,20,19,17,21,22,9,22,
#predictedHeads=2,9,2,3,6,7,9,7,0,9,22,22,14,16,16,17,22,19,20,21,22,4,22,
(1,9),-1.54813 # DEPENDENCYPART_ARC
(1,10),-1.81411 # DEPENDENCYPART_ARC
(1,11),-2.39886 # DEPENDENCYPART_ARC
(1,12),-2.49484 # DEPENDENCYPART_ARC
(1,13),-3.10298 # DEPENDENCYPART_ARC
(1,14),-3.04086 # DEPENDENCYPART_ARC
(1,15),-2.14563 # DEPENDENCYPART_ARC
(1,16),-2.65024 # DEPENDENCYPART_ARC
(1,17),-1.95191 # DEPENDENCYPART_ARC
(1,18),-2.44296 # DEPENDENCYPART_ARC
(1,19),-2.80914 # DEPENDENCYPART_ARC
(1,20),-2.61563 # DEPENDENCYPART_ARC
(1,21),-2.8788 # DEPENDENCYPART_ARC
(1,22),-3.57004 # DEPENDENCYPART_ARC
(1,23),-2.51342 # DEPENDENCYPART_ARC
(2,1),2.26406 # DEPENDENCYPART_ARC
(2,3),1.99893 # DEPENDENCYPART_ARC
(2,4),-0.320174 # DEPENDENCYPART_ARC
(2,5),-0.420007 # DEPENDENCYPART_ARC
(2,6),-0.178721 # DEPENDENCYPART_ARC
(2,7),-0.238676 # DEPENDENCYPART_ARC
(2,8),-0.443932 # DEPENDENCYPART_ARC
(2,9),-0.612141 # DEPENDENCYPART_ARC
(2,10),-1.01894 # DEPENDENCYPART_ARC
(2,11),-0.694711 # DEPENDENCYPART_ARC
(2,12),-0.935509 # DEPENDENCYPART_ARC
(2,13),-1.94322 # DEPENDENCYPART_ARC
(2,14),-1.5857 # DEPENDENCYPART_ARC
(2,15),-2.28542 # DEPENDENCYPART_ARC
(2,16),-1.03853 # DEPENDENCYPART_ARC
(2,17),-0.463365 # DEPENDENCYPART_ARC
(2,18),-0.708549 # DEPENDENCYPART_ARC
(2,19),-1.35925 # DEPENDENCYPART_ARC
(2,20),-2.17982 # DEPENDENCYPART_ARC
(2,21),-1.49986 # DEPENDENCYPART_ARC
(2,22),-2.12203 # DEPENDENCYPART_ARC
(2,23),-1.3295 # DEPENDENCYPART_ARC
(3,1),-0.236636 # DEPENDENCYPART_ARC
(3,2),-0.674741 # DEPENDENCYPART_ARC
(3,4),1.45045 # DEPENDENCYPART_ARC
(3,5),-1.61161 # DEPENDENCYPART_ARC
(3,6),-1.34738 # DEPENDENCYPART_ARC
(3,7),-1.46622 # DEPENDENCYPART_ARC
(3,8),-0.52887 # DEPENDENCYPART_ARC
(3,9),-1.73178 # DEPENDENCYPART_ARC
(3,10),-2.75911 # DEPENDENCYPART_ARC
(3,11),-0.978566 # DEPENDENCYPART_ARC
(3,12),-1.04546 # DEPENDENCYPART_ARC
(3,13),-2.00611 # DEPENDENCYPART_ARC
(3,14),-1.86153 # DEPENDENCYPART_ARC
(3,15),-2.11165 # DEPENDENCYPART_ARC
(3,16),-1.85749 # DEPENDENCYPART_ARC
(3,17),-2.30514 # DEPENDENCYPART_ARC
(3,18),-0.960256 # DEPENDENCYPART_ARC
(3,19),-1.81406 # DEPENDENCYPART_ARC
(3,20),-2.81457 # DEPENDENCYPART_ARC
(3,21),-1.84252 # DEPENDENCYPART_ARC
(3,22),-2.8835 # DEPENDENCYPART_ARC
(3,23),-1.42983 # DEPENDENCYPART_ARC
(4,1),-0.0839304 # DEPENDENCYPART_ARC
(4,2),0.00880565 # DEPENDENCYPART_ARC
(4,3),0.484254 # DEPENDENCYPART_ARC
(4,5),-0.540252 # DEPENDENCYPART_ARC
(4,6),-0.387062 # DEPENDENCYPART_ARC
(4,7),-0.23081 # DEPENDENCYPART_ARC
(4,8),-0.472264 # DEPENDENCYPART_ARC
(4,9),-0.858741 # DEPENDENCYPART_ARC
(4,10),-1.44875 # DEPENDENCYPART_ARC
(4,11),-1.31059 # DEPENDENCYPART_ARC
(4,12),-0.878153 # DEPENDENCYPART_ARC
(4,13),-1.76231 # DEPENDENCYPART_ARC
(4,14),-1.56336 # DEPENDENCYPART_ARC
(4,15),-1.2747 # DEPENDENCYPART_ARC
(4,16),-1.0147 # DEPENDENCYPART_ARC
(4,17),-1.26107 # DEPENDENCYPART_ARC
(4,18),-1.45696 # DEPENDENCYPART_ARC
(4,19),-0.627446 # DEPENDENCYPART_ARC
(4,20),-2.16596 # DEPENDENCYPART_ARC
(4,21),-0.668708 # DEPENDENCYPART_ARC
(4,22),0.0885046 # DEPENDENCYPART_ARC
(4,23),-1.50027 # DEPENDENCYPART_ARC
(5,1),-2.48905 # DEPENDENCYPART_ARC
(5,2),-1.49001 # DEPENDENCYPART_ARC
(5,3),-0.853938 # DEPENDENCYPART_ARC
(5,4),-0.0213507 # DEPENDENCYPART_ARC
(5,6),-0.141556 # DEPENDENCYPART_ARC
(5,7),-2.32691 # DEPENDENCYPART_ARC
(5,8),-0.791331 # DEPENDENCYPART_ARC
(5,9),-1.16958 # DEPENDENCYPART_ARC
(5,10),-1.25442 # DEPENDENCYPART_ARC
(5,11),-2.01189 # DEPENDENCYPART_ARC
(5,12),-2.43846 # DEPENDENCYPART_ARC
(5,13),-2.95854 # DEPENDENCYPART_ARC
(5,14),-2.19578 # DEPENDENCYPART_ARC
(5,15),-1.96651 # DEPENDENCYPART_ARC
(5,16),-2.30004 # DEPENDENCYPART_ARC
(5,17),-1.48416 # DEPENDENCYPART_ARC
(5,18),-2.29046 # DEPENDENCYPART_ARC
(5,19),-2.51595 # DEPENDENCYPART_ARC
(5,20),-1.73664 # DEPENDENCYPART_ARC
(5,21),-2.30786 # DEPENDENCYPART_ARC
(5,22),-3.11408 # DEPENDENCYPART_ARC
(5,23),-1.43309 # DEPENDENCYPART_ARC
(6,1),-0.36789 # DEPENDENCYPART_ARC
(6,2),0.006622 # DEPENDENCYPART_ARC
(6,3),-1.39235 # DEPENDENCYPART_ARC
(6,4),-0.754106 # DEPENDENCYPART_ARC
(6,5),2.19742 # DEPENDENCYPART_ARC
(6,7),0.680665 # DEPENDENCYPART_ARC
(6,8),-0.257155 # DEPENDENCYPART_ARC
(6,9),-0.560557 # DEPENDENCYPART_ARC
(6,10),-1.98298 # DEPENDENCYPART_ARC
(6,11),-1.50892 # DEPENDENCYPART_ARC
(6,12),-3.43586 # DEPENDENCYPART_ARC
(6,13),-2.13467 # DEPENDENCYPART_ARC
(6,14),-1.93244 # DEPENDENCYPART_ARC
(6,15),-2.56617 # DEPENDENCYPART_ARC
(6,16),-1.72543 # DEPENDENCYPART_ARC
(6,17),-0.545835 # DEPENDENCYPART_ARC
(6,18),-1.78852 # DEPENDENCYPART_ARC
(6,19),-2.58023 # DEPENDENCYPART_ARC
(6,20),-2.70865 # DEPENDENCYPART_ARC
(6,21),-1.84035 # DEPENDENCYPART_ARC
(6,22),-2.96612 # DEPENDENCYPART_ARC
(6,23),-1.34534 # DEPENDENCYPART_ARC
(7,1),-0.159827 # DEPENDENCYPART_ARC
(7,2),-0.930823 # DEPENDENCYPART_ARC
(7,3),-1.50206 # DEPENDENCYPART_ARC
(7,4),-0.603541 # DEPENDENCYPART_ARC
(7,5),0.309878 # DEPENDENCYPART_ARC
(7,6),1.33119 # DEPENDENCYPART_ARC
(7,8),1.59632 # DEPENDENCYPART_ARC
(7,9),-0.582961 # DEPENDENCYPART_ARC
(7,10),-1.24822 # DEPENDENCYPART_ARC
(7,11),-1.2391 # DEPENDENCYPART_ARC
(7,12),-2.68077 # DEPENDENCYPART_ARC
(7,13),-2.23496 # DEPENDENCYPART_ARC
(7,14),-1.67712 # DEPENDENCYPART_ARC
(7,15),-2.46788 # DEPENDENCYPART_ARC
(7,16),-2.48768 # DEPENDENCYPART_ARC
(7,17),-0.68019 # DEPENDENCYPART_ARC
(7,18),-1.44215 # DEPENDENCYPART_ARC
(7,19),-3.03101 # DEPENDENCYPART_ARC
(7,20),-2.09987 # DEPENDENCYPART_ARC
(7,21),-2.74146 # DEPENDENCYPART_ARC
(7,22),-2.94815 # DEPENDENCYPART_ARC
(7,23),-0.645735 # DEPENDENCYPART_ARC
(8,1),-1.34941 # DEPENDENCYPART_ARC
(8,2),-1.2031 # DEPENDENCYPART_ARC
(8,3),-1.16775 # DEPENDENCYPART_ARC
(8,4),-1.54682 # DEPENDENCYPART_ARC
(8,5),-0.768592 # DEPENDENCYPART_ARC
(8,6),-0.694768 # DEPENDENCYPART_ARC
(8,7),-0.154803 # DEPENDENCYPART_ARC
(8,9),-0.566538 # DEPENDENCYPART_ARC
(8,10),-1.4054 # DEPENDENCYPART_ARC
(8,11),-1.52475 # DEPENDENCYPART_ARC
(8,12),-1.17523 # DEPENDENCYPART_ARC
(8,13),-1.87896 # DEPENDENCYPART_ARC
(8,14),-1.52302 # DEPENDENCYPART_ARC
(8,15),-1.67612 # DEPENDENCYPART_ARC
(8,16),-1.47958 # DEPENDENCYPART_ARC
(8,17),-1.47431 # DEPENDENCYPART_ARC
(8,18),-1.87585 # DEPENDENCYPART_ARC
(8,19),-1.03092 # DEPENDENCYPART_ARC
(8,20),-2.11331 # DEPENDENCYPART_ARC
(8,21),-1.3112 # DEPENDENCYPART_ARC
(8,22),-0.648119 # DEPENDENCYPART_ARC
(8,23),-1.47726 # DEPENDENCYPART_ARC
(9,1),-0.415267 # DEPENDENCYPART_ARC
(9,2),1.30498 # DEPENDENCYPART_ARC
(9,3),-1.02961 # DEPENDENCYPART_ARC
(9,4),-1.27344 # DEPENDENCYPART_ARC
(9,5),-0.241687 # DEPENDENCYPART_ARC
(9,6),0.754143 # DEPENDENCYPART_ARC
(9,7),0.529811 # DEPENDENCYPART_ARC
(9,8),-0.178804 # DEPENDENCYPART_ARC
(9,10),1.63229 # DEPENDENCYPART_ARC
(9,11),-0.225894 # DEPENDENCYPART_ARC
(9,12),-0.158778 # DEPENDENCYPART_ARC
(9,13),-0.782074 # DEPENDENCYPART_ARC
(9,14),0.0556628 # DEPENDENCYPART_ARC
(9,15),-1.32985 # DEPENDENCYPART_ARC
(9,16),0.156679 # DEPENDENCYPART_ARC
(9,17),-0.17676 # DEPENDENCYPART_ARC
(9,18),-1.15252 # DEPENDENCYPART_ARC
(9,19),-0.123832 # DEPENDENCYPART_ARC
(9,20),-0.61617 # DEPENDENCYPART_ARC
(9,21),-0.0651367 # DEPENDENCYPART_ARC
(9,22),-0.189877 # DEPENDENCYPART_ARC
(9,23),-1.0038 # DEPENDENCYPART_ARC
(10,1),-3.99725 # DEPENDENCYPART_ARC
(10,2),-2.49145 # DEPENDENCYPART_ARC
(10,3),-2.24596 # DEPENDENCYPART_ARC
(10,4),-1.98148 # DEPENDENCYPART_ARC
(10,5),-2.68439 # DEPENDENCYPART_ARC
(10,6),-3.51932 # DEPENDENCYPART_ARC
(10,7),-2.28815 # DEPENDENCYPART_ARC
(10,8),-1.24101 # DEPENDENCYPART_ARC
(10,9),0.0349246 # DEPENDENCYPART_ARC
(10,11),-0.828742 # DEPENDENCYPART_ARC
(10,12),-1.57353 # DEPENDENCYPART_ARC
(10,13),-1.97399 # DEPENDENCYPART_ARC
(10,14),-2.54477 # DEPENDENCYPART_ARC
(10,15),-1.01203 # DEPENDENCYPART_ARC
(10,16),-2.62296 # DEPENDENCYPART_ARC
(10,17),-1.37361 # DEPENDENCYPART_ARC
(10,18),-2.37068 # DEPENDENCYPART_ARC
(10,19),-2.87372 # DEPENDENCYPART_ARC
(10,20),-2.38403 # DEPENDENCYPART_ARC
(10,21),-2.92285 # DEPENDENCYPART_ARC
(10,22),-3.35185 # DEPENDENCYPART_ARC
(10,23),-1.57224 # DEPENDENCYPART_ARC
(11,1),-1.56507 # DEPENDENCYPART_ARC
(11,2),-1.93835 # DEPENDENCYPART_ARC
(11,3),-1.57081 # DEPENDENCYPART_ARC
(11,4),-1.37841 # DEPENDENCYPART_ARC
(11,5),-1.56206 # DEPENDENCYPART_ARC
(11,6),-1.7498 # DEPENDENCYPART_ARC
(11,7),-1.6749 # DEPENDENCYPART_ARC
(11,8),-0.988244 # DEPENDENCYPART_ARC
(11,9),-0.946086 # DEPENDENCYPART_ARC
(11,10),-0.456057 # DEPENDENCYPART_ARC
(11,12),-0.836174 # DEPENDENCYPART_ARC
(11,13),-0.750351 # DEPENDENCYPART_ARC
(11,14),-1.1119 # DEPENDENCYPART_ARC
(11,15),-1.04554 # DEPENDENCYPART_ARC
(11,16),-1.16956 # DEPENDENCYPART_ARC
(11,17),-0.820173 # DEPENDENCYPART_ARC
(11,18),-0.693787 # DEPENDENCYPART_ARC
(11,19),-1.40729 # DEPENDENCYPART_ARC
(11,20),-0.798267 # DEPENDENCYPART_ARC
(11,21),-1.45548 # DEPENDENCYPART_ARC
(11,22),-1.31718 # DEPENDENCYPART_ARC
(11,23),-0.691664 # DEPENDENCYPART_ARC
(12,1),-1.66811 # DEPENDENCYPART_ARC
(12,2),-1.83827 # DEPENDENCYPART_ARC
(12,3),-1.23437 # DEPENDENCYPART_ARC
(12,4),-1.56691 # DEPENDENCYPART_ARC
(12,5),-1.87624 # DEPENDENCYPART_ARC
(12,6),-1.35225 # DEPENDENCYPART_ARC
(12,7),-2.64746 # DEPENDENCYPART_ARC
(12,8),-1.30347 # DEPENDENCYPART_ARC
(12,9),-1.15831 # DEPENDENCYPART_ARC
(12,10),0.0736257 # DEPENDENCYPART_ARC
(12,11),0.0346949 # DEPENDENCYPART_ARC
(12,13),-0.479202 # DEPENDENCYPART_ARC
(12,14),-0.939878 # DEPENDENCYPART_ARC
(12,15),-1.60017 # DEPENDENCYPART_ARC
(12,16),-1.14191 # DEPENDENCYPART_ARC
(12,17),-1.47254 # DEPENDENCYPART_ARC
(12,18),-0.798357 # DEPENDENCYPART_ARC
(12,19),-1.34071 # DEPENDENCYPART_ARC
(12,20),-2.31882 # DEPENDENCYPART_ARC
(12,21),-1.45713 # DEPENDENCYPART_ARC
(12,22),-2.48925 # DEPENDENCYPART_ARC
(12,23),-1.01245 # DEPENDENCYPART_ARC
(13,1),-2.25722 # DEPENDENCYPART_ARC
(13,2),-1.90739 # DEPENDENCYPART_ARC
(13,3),-1.72979 # DEPENDENCYPART_ARC
(13,4),-1.60924 # DEPENDENCYPART_ARC
(13,5),-1.49014 # DEPENDENCYPART_ARC
(13,6),-1.97302 # DEPENDENCYPART_ARC
(13,7),-2.11194 # DEPENDENCYPART_ARC
(13,8),-1.34383 # DEPENDENCYPART_ARC
(13,9),-0.854035 # DEPENDENCYPART_ARC
(13,10),-1.47396 # DEPENDENCYPART_ARC
(13,11),-0.585495 # DEPENDENCYPART_ARC
(13,12),-0.446363 # DEPENDENCYPART_ARC
(13,14),-0.303301 # DEPENDENCYPART_ARC
(13,15),-1.20051 # DEPENDENCYPART_ARC
(13,16),-0.871101 # DEPENDENCYPART_ARC
(13,17),-1.08685 # DEPENDENCYPART_ARC
(13,18),-0.951271 # DEPENDENCYPART_ARC
(13,19),-1.03596 # DEPENDENCYPART_ARC
(13,20),-1.03965 # DEPENDENCYPART_ARC
(13,21),-1.4083 # DEPENDENCYPART_ARC
(13,22),-1.66074 # DEPENDENCYPART_ARC
(13,23),-1.14281 # DEPENDENCYPART_ARC
(14,1),-2.80348 # DEPENDENCYPART_ARC
(14,2),-1.52558 # DEPENDENCYPART_ARC
(14,3),-1.66238 # DEPENDENCYPART_ARC
(14,4),-1.42183 # DEPENDENCYPART_ARC
(14,5),-2.13875 # DEPENDENCYPART_ARC
(14,6),-2.78128 # DEPENDENCYPART_ARC
(14,7),-2.42552 # DEPENDENCYPART_ARC
(14,8),-1.323 # DEPENDENCYPART_ARC
(14,9),-0.0440196 # DEPENDENCYPART_ARC
(14,10),-1.43824 # DEPENDENCYPART_ARC
(14,11),-0.0690364 # DEPENDENCYPART_ARC
(14,12),-0.485193 # DEPENDENCYPART_ARC
(14,13),2.43181 # DEPENDENCYPART_ARC
(14,15),-0.0645568 # DEPENDENCYPART_ARC
(14,16),-1.28726 # DEPENDENCYPART_ARC
(14,17),-0.693871 # DEPENDENCYPART_ARC
(14,18),-1.55748 # DEPENDENCYPART_ARC
(14,19),-1.81638 # DEPENDENCYPART_ARC
(14,20),-1.45882 # DEPENDENCYPART_ARC
(14,21),-1.96077 # DEPENDENCYPART_ARC
(14,22),-2.44004 # DEPENDENCYPART_ARC
(14,23),-0.999344 # DEPENDENCYPART_ARC
(15,1),-2.18151 # DEPENDENCYPART_ARC
(15,2),-2.2691 # DEPENDENCYPART_ARC
(15,3),-1.99718 # DEPENDENCYPART_ARC
(15,4),-1.4706 # DEPENDENCYPART_ARC
(15,5),-2.43507 # DEPENDENCYPART_ARC
(15,6),-2.57403 # DEPENDENCYPART_ARC
(15,7),-2.56409 # DEPENDENCYPART_ARC
(15,8),-1.26826 # DEPENDENCYPART_ARC
(15,9),-1.11613 # DEPENDENCYPART_ARC
(15,10),-2.4452 # DEPENDENCYPART_ARC
(15,11),-0.702864 # DEPENDENCYPART_ARC
(15,12),-1.33941 # DEPENDENCYPART_ARC
(15,13),-0.484705 # DEPENDENCYPART_ARC
(15,14),-0.321255 # DEPENDENCYPART_ARC
(15,16),0.010881 # DEPENDENCYPART_ARC
(15,17),-0.488947 # DEPENDENCYPART_ARC
(15,18),-1.13423 # DEPENDENCYPART_ARC
(15,19),-0.969552 # DEPENDENCYPART_ARC
(15,20),-1.19528 # DEPENDENCYPART_ARC
(15,21),-1.33044 # DEPENDENCYPART_ARC
(15,22),-0.961086 # DEPENDENCYPART_ARC
(15,23),-0.61423 # DEPENDENCYPART_ARC
(16,1),-1.36959 # DEPENDENCYPART_ARC
(16,2),-1.10722 # DEPENDENCYPART_ARC
(16,3),-1.98882 # DEPENDENCYPART_ARC
(16,4),-1.80955 # DEPENDENCYPART_ARC
(16,5),-0.65766 # DEPENDENCYPART_ARC
(16,6),-0.661458 # DEPENDENCYPART_ARC
(16,7),-0.579592 # DEPENDENCYPART_ARC
(16,8),-1.56806 # DEPENDENCYPART_ARC
(16,9),-0.490181 # DEPENDENCYPART_ARC
(16,10),0.302535 # DEPENDENCYPART_ARC
(16,11),0.207016 # DEPENDENCYPART_ARC
(16,12),-0.59275 # DEPENDENCYPART_ARC
(16,13),-0.411101 # DEPENDENCYPART_ARC
(16,14),1.81756 # DEPENDENCYPART_ARC
(16,15),1.69668 # DEPENDENCYPART_ARC
(16,17),0.246359 # DEPENDENCYPART_ARC
(16,18),-0.581784 # DEPENDENCYPART_ARC
(16,19),-1.45892 # DEPENDENCYPART_ARC
(16,20),-1.94746 # DEPENDENCYPART_ARC
(16,21),-1.67969 # DEPENDENCYPART_ARC
(16,22),-1.97013 # DEPENDENCYPART_ARC
(16,23),-0.948698 # DEPENDENCYPART_ARC
(17,1),-1.79187 # DEPENDENCYPART_ARC
(17,2),-0.0803202 # DEPENDENCYPART_ARC
(17,3),-1.28922 # DEPENDENCYPART_ARC
(17,4),-1.66155 # DEPENDENCYPART_ARC
(17,5),-1.99596 # DEPENDENCYPART_ARC
(17,6),-0.791874 # DEPENDENCYPART_ARC
(17,7),-0.868171 # DEPENDENCYPART_ARC
(17,8),-1.52452 # DEPENDENCYPART_ARC
(17,9),-0.132487 # DEPENDENCYPART_ARC
(17,10),-0.886739 # DEPENDENCYPART_ARC
(17,11),-0.583861 # DEPENDENCYPART_ARC
(17,12),-0.919051 # DEPENDENCYPART_ARC
(17,13),-0.353622 # DEPENDENCYPART_ARC
(17,14),-0.386642 # DEPENDENCYPART_ARC
(17,15),0.849424 # DEPENDENCYPART_ARC
(17,16),1.83909 # DEPENDENCYPART_ARC
(17,18),0.439069 # DEPENDENCYPART_ARC
(17,19),0.928124 # DEPENDENCYPART_ARC
(17,20),0.228642 # DEPENDENCYPART_ARC
(17,21),1.33536 # DEPENDENCYPART_ARC
(17,22),0.774418 # DEPENDENCYPART_ARC
(17,23),-0.416051 # DEPENDENCYPART_ARC
(18,1),-2.31285 # DEPENDENCYPART_ARC
(18,2),-2.79247 # DEPENDENCYPART_ARC
(18,3),-2.49444 # DEPENDENCYPART_ARC
(18,4),-2.26871 # DEPENDENCYPART_ARC
(18,5),-2.32732 # DEPENDENCYPART_ARC
(18,6),-2.75876 # DEPENDENCYPART_ARC
(18,7),-2.82308 # DEPENDENCYPART_ARC
(18,8),-2.15627 # DEPENDENCYPART_ARC
(18,9),-2.1352 # DEPENDENCYPART_ARC
(18,10),-2.46705 # DEPENDENCYPART_ARC
(18,11),-2.04903 # DEPENDENCYPART_ARC
(18,12),-2.20327 # DEPENDENCYPART_ARC
(18,13),-2.47638 # DEPENDENCYPART_ARC
(18,14),-1.98923 # DEPENDENCYPART_ARC
(18,15),-2.14458 # DEPENDENCYPART_ARC
(18,16),-1.63834 # DEPENDENCYPART_ARC
(18,17),-0.94254 # DEPENDENCYPART_ARC
(18,19),-0.292421 # DEPENDENCYPART_ARC
(18,20),-0.405629 # DEPENDENCYPART_ARC
(18,21),-1.09624 # DEPENDENCYPART_ARC
(18,22),-1.05928 # DEPENDENCYPART_ARC
(18,23),-0.445822 # DEPENDENCYPART_ARC
(19,1),-1.56928 # DEPENDENCYPART_ARC
(19,2),-1.07562 # DEPENDENCYPART_ARC
(19,3),-2.05088 # DEPENDENCYPART_ARC
(19,4),-1.71102 # DEPENDENCYPART_ARC
(19,5),-0.577683 # DEPENDENCYPART_ARC
(19,6),-0.635213 # DEPENDENCYPART_ARC
(19,7),-0.468746 # DEPENDENCYPART_ARC
(19,8),-1.69919 # DEPENDENCYPART_ARC
(19,9),-0.361664 # DEPENDENCYPART_ARC
(19,10),0.247518 # DEPENDENCYPART_ARC
(19,11),0.0481692 # DEPENDENCYPART_ARC
(19,12),-0.723718 # DEPENDENCYPART_ARC
(19,13),-0.741429 # DEPENDENCYPART_ARC
(19,14),0.820205 # DEPENDENCYPART_ARC
(19,15),0.183664 # DEPENDENCYPART_ARC
(19,16),0.206111 # DEPENDENCYPART_ARC
(19,17),0.355018 # DEPENDENCYPART_ARC
(19,18),1.22409 # DEPENDENCYPART_ARC
(19,20),-0.297353 # DEPENDENCYPART_ARC
(19,21),-0.758362 # DEPENDENCYPART_ARC
(19,22),-1.09511 # DEPENDENCYPART_ARC
(19,23),-0.595523 # DEPENDENCYPART_ARC
(20,1),-3.71309 # DEPENDENCYPART_ARC
(20,2),-2.31535 # DEPENDENCYPART_ARC
(20,3),-2.02125 # DEPENDENCYPART_ARC
(20,4),-1.68883 # DEPENDENCYPART_ARC
(20,5),-2.90822 # DEPENDENCYPART_ARC
(20,6),-4.09223 # DEPENDENCYPART_ARC
(20,7),-3.49492 # DEPENDENCYPART_ARC
(20,8),-1.68423 # DEPENDENCYPART_ARC
(20,9),-1.38517 # DEPENDENCYPART_ARC
(20,10),-2.16356 # DEPENDENCYPART_ARC
(20,11),-1.18344 # DEPENDENCYPART_ARC
(20,12),-1.65325 # DEPENDENCYPART_ARC
(20,13),-0.849529 # DEPENDENCYPART_ARC
(20,14),-2.44626 # DEPENDENCYPART_ARC
(20,15),-0.0148659 # DEPENDENCYPART_ARC
(20,16),-0.342742 # DEPENDENCYPART_ARC
(20,17),-0.0920001 # DEPENDENCYPART_ARC
(20,18),-0.193072 # DEPENDENCYPART_ARC
(20,19),1.38746 # DEPENDENCYPART_ARC
(20,21),0.653265 # DEPENDENCYPART_ARC
(20,22),-1.08153 # DEPENDENCYPART_ARC
(20,23),-0.347058 # DEPENDENCYPART_ARC
(21,1),-1.6193 # DEPENDENCYPART_ARC
(21,2),-1.05274 # DEPENDENCYPART_ARC
(21,3),-1.98714 # DEPENDENCYPART_ARC
(21,4),-1.88831 # DEPENDENCYPART_ARC
(21,5),-0.401937 # DEPENDENCYPART_ARC
(21,6),-0.377779 # DEPENDENCYPART_ARC
(21,7),-0.24984 # DEPENDENCYPART_ARC
(21,8),-1.72585 # DEPENDENCYPART_ARC
(21,9),-0.864207 # DEPENDENCYPART_ARC
(21,10),0.962709 # DEPENDENCYPART_ARC
(21,11),-0.114079 # DEPENDENCYPART_ARC
(21,12),-0.66528 # DEPENDENCYPART_ARC
(21,13),-0.928427 # DEPENDENCYPART_ARC
(21,14),0.596286 # DEPENDENCYPART_ARC
(21,15),0.29738 # DEPENDENCYPART_ARC
(21,16),0.101387 # DEPENDENCYPART_ARC
(21,17),0.0872578 # DEPENDENCYPART_ARC
(21,18),0.28552 # DEPENDENCYPART_ARC
(21,19),1.11957 # DEPENDENCYPART_ARC
(21,20),2.83546 # DEPENDENCYPART_ARC
(21,22),0.419239 # DEPENDENCYPART_ARC
(21,23),0.0617413 # DEPENDENCYPART_ARC
(22,1),-1.31468 # DEPENDENCYPART_ARC
(22,2),0.221414 # DEPENDENCYPART_ARC
(22,3),-0.480251 # DEPENDENCYPART_ARC
(22,4),-1.38849 # DEPENDENCYPART_ARC
(22,5),-1.12235 # DEPENDENCYPART_ARC
(22,6),0.155502 # DEPENDENCYPART_ARC
(22,7),0.254312 # DEPENDENCYPART_ARC
(22,8),-1.30373 # DEPENDENCYPART_ARC
(22,9),0.309351 # DEPENDENCYPART_ARC
(22,10),0.602301 # DEPENDENCYPART_ARC
(22,11),0.568598 # DEPENDENCYPART_ARC
(22,12),0.862031 # DEPENDENCYPART_ARC
(22,13),-0.719858 # DEPENDENCYPART_ARC
(22,14),0.388946 # DEPENDENCYPART_ARC
(22,15),0.0380273 # DEPENDENCYPART_ARC
(22,16),-0.114031 # DEPENDENCYPART_ARC
(22,17),0.823363 # DEPENDENCYPART_ARC
(22,18),1.01825 # DEPENDENCYPART_ARC
(22,19),0.41429 # DEPENDENCYPART_ARC
(22,20),0.957672 # DEPENDENCYPART_ARC
